a8f870f850bfc08994be650f02a8a53429f4e6fbe49a85778bf4026ce19963bc,b76e2bdd07b28395371949f735cd9044f6d6fe942e40950c6464db6198790873,0c11c82476887bf8ecede93daad5553e5ebc8a8b006207cd38db3f829ced35a2,f271bba0c0440963ddc2d0d5c262c8d609db114113bafba2f039138df22cbe16,5d8d9480c5d5b6c91b5ab49937941165c13946af462ebeb9d10658442716bc63,8bfaf70298a06699f6b55ab86213b79d86a41cc887f8d2f37436b45690b9f650
"300402","0","102","2146012","803100260","105"
"300403","1","113","2146013","803100260","202"
"300404","1","114","2146014","803100260","203"
"300405","0","102","2146015","803100260","105"
"300406","1","113","2146016","803100260","202"
"300407","1","114","2146017","803100260","203"
"300408","0","102","2146018","803100260","105"
"300409","0","102","2146019","803100260","105"
"300410","0","102","2146020","803100260","105"
"300411","0","102","2146021","803100261","105"
"300412","1","113","2146022","803100261","202"
"300413","1","114","2146023","803100261","203"
"300414","0","102","2146024","803100261","105"
"300415","1","113","2146025","803100261","202"
"300416","1","114","2146026","803100261","203"
"300417","0","102","2146027","803100261","105"
"300418","0","102","2146028","803100261","105"
"300419","1","113","2146029","803100261","202"
"300420","1","113","2146030","803100261","202"
"300421","1","113","2146031","803100262","202"
"300422","1","114","2146032","803100262","203"
"300423","0","102","2146033","803100262","105"
"300424","1","112","2146034","803100262","208"
"300425","1","110","2146035","803100262","212"
"300426","1","113","2146036","803100262","202"
"300427","1","113","2146037","803100262","202"
"300428","0","102","2146038","803100262","105"
"300501","0","100","2146051","803100264","104"
"300502","0","100","2146052","803100264","104"
"300503","0","100","2146053","803100264","104"
"300504","0","100","2146054","803100264","104"
"300505","0","102","2146055","803100264","105"
"300506","0","103","2146056","803100264","106"
"300507","0","100","2146057","803100264","104"
"300508","0","100","2146058","803100264","104"
"300509","0","102","2146059","803100264","105"
"300510","0","103","2146060","803100264","106"
"300511","0","100","2146061","803100265","104"
"300512","0","100","2146062","803100265","104"
"300513","0","100","2146063","803100265","104"
"300514","0","100","2146064","803100265","104"
"300515","0","102","2146065","803100265","105"
"300516","0","103","2146066","803100265","106"
"300517","0","100","2146067","803100265","104"
"300518","0","100","2146068","803100265","104"
"300519","0","102","2146069","803100265","105"
"300520","0","103","2146070","803100265","106"
"300521","0","100","2146071","803100266","104"
"300522","0","100","2146072","803100266","104"
"300523","1","113","2146073","803100266","202"
"300524","1","114","2146074","803100266","203"
"300525","0","100","2146075","803100266","104"
"300526","1","112","2146076","803100266","208"
"300527","1","110","2146077","803100266","212"
"300528","1","113","2146078","803100266","202"
"300529","1","114","2146079","803100266","203"
"300530","0","100","2146080","803100266","104"
"300601","1","114","2146091","803100268","203"
"300602","1","113","2146092","803100268","202"
"300603","0","102","2146093","803100268","105"
"300604","1","114","2146094","803100268","203"
"300605","0","103","2146095","803100268","106"
"300606","1","114","2146096","803100268","203"
"300607","1","111","2146097","803100268","204"
"300608","1","114","2146098","803100268","203"
"300609","1","113","2146099","803100268","202"
"300610","0","102","2146100","803100268","105"
"300611","1","114","2147011","803100269","203"
"300612","0","103","2147012","803100269","106"
"300613","1","114","2147013","803100269","203"
"300614","1","111","2147014","803100269","204"
"300615","1","110","2147015","803100269","212"
"300616","1","114","2147016","803100269","203"
"300617","0","102","2147017","803100269","105"
"300618","0","103","2147018","803100269","106"
"300701","1","111","2147021","803100270","204"
"300702","0","100","2147022","803100270","104"
"300703","0","101","2147023","803100270","107"
"300704","1","113","2147024","803100270","202"
"300705","1","114","2147025","803100270","203"
"300706","0","102","2147026","803100270","105"
"300707","1","112","2147027","803100270","205"
"300708","1","111","2147028","803100270","204"
"300709","0","100","2147029","803100270","104"
"300710","0","101","2147030","803100270","107"
"300711","1","113","2147031","803100271","202"
"300712","1","114","2147032","803100271","203"
"300713","0","102","2147033","803100271","105"
"300714","1","112","2147034","803100271","205"
"300715","0","107","2147035","803100271","110"
"300716","1","111","2147036","803100271","204"
"300717","0","100","2147037","803100271","104"
"300718","0","101","2147038","803100271","107"
