7498a59ef381b522015c2a30e5cd961293a90f0556125ece0167038a414a4f34,9d1f3eeb83981094e0c0bd7e089d75d65c85893888a4169768c7fa616021a10f,c7ca2069cdbe7358c8a04c7b7255a548dab29f0b06ced723c940968a41544267,664620793952983834537ba0942be210aacd45657814496ef4046bab56f3cc32,d9f143864eafaed2047b167c04e1ad1de4dd0cc964d215a4388f42669b001832,16ceeb69af6954c46970f3b5fe4f0ad5b7e041ea54fb43fa4702f3a31d324989,61c4e4b36ce720c33e42583fa3b69d714046f249ac6da7d095f1fa709da0b20e,e20943d03cd60d6d60415bb3fa2204cf7ffc4c504b854dcf82114150e7db5cc8,c51ec9ab8288178d9a5352af9e946eb75ae5f33f4d176b7bd8910a1c094dac70,893ff4fbac00f88a594a4e21c61c3c10fdb22d528c448b684afa7ea0a20aad26,2e0d1dc9c2bffb0c36fafe560750975ac79f606cb1fd7e6920ac1f4febd18221,9c234d9c268129a5c7fff5f49aad8fa144b5b997526e4ef0d79af8031e0fc78e
"29","0","4","0","0","0","104","29","2","11041","28","2901"
"30","0","3","0","0","0","51","30","1","10511","29","3001"
"31","0","2","0","0","0","100","31","2","11001","30","3101"
"32","0","1","0","0","0","101","32","3","11011","31","3201"
"33","0","4","0","0","0","104","33","4","11041","32","3301"
"34","0","3","0","0","0","100","34","3","11001","33","3401"
"35","0","4","0","0","0","104","35","2","11041","34","3501"
"36","0","2","0","0","0","103","36","3","11031","35","3601"
"37","0","1","0","0","0","102","37","2","11021","36","3701"
"38","0","2","0","0","0","50","38","1","10501","37","3801"
"39","0","3","0","0","0","102","39","3","11021","38","3901"
"40","0","4","0","0","0","104","40","4","11041","39","4001"
"41","0","1","0","0","0","100","41","3","11001","40","4101"
"42","0","3","0","0","0","52","42","2","10521","41","4201"
"43","0","4","0","0","0","104","43","1","11041","42","4301"
"44","0","1","0","0","0","103","44","2","11031","43","4401"
"45","0","4","0","0","0","104","45","1","11041","44","4501"
"46","0","3","0","0","0","101","46","3","11011","45","4601"
"47","0","1","0","0","0","102","47","4","11021","46","4701"
"48","0","4","0","0","0","104","48","2","11041","47","4801"
"49","0","2","0","0","0","103","49","3","11031","48","4901"
"50","0","4","0","0","0","104","50","2","11041","49","5001"
"51","0","2","0","0","0","101","51","1","11011","50","5101"
"52","0","3","0","0","0","102","52","2","11021","51","5201"
"53","0","4","0","0","0","104","53","3","11041","52","5301"
"54","0","1","0","0","0","52","54","4","10521","53","5401"
"55","0","3","0","0","0","103","55","3","11031","54","5501"
"56","0","4","0","0","0","104","56","4","11041","55","5601"
"57","0","1","0","0","0","100","57","2","11001","56","5701"
"58","0","3","0","0","0","101","58","3","11011","57","5801"
"59","0","2","0","0","0","103","59","4","11031","58","5901"
"60","0","4","0","0","0","104","60","3","11041","59","6001"
"61","0","1","0","0","0","102","61","1","11021","60","6101"
"62","0","3","0","0","0","50","62","2","10501","61","6201"
"63","0","4","0","0","0","104","63","1","11041","62","6301"
"64","0","2","0","0","0","103","64","2","11031","63","6401"
"65","0","1","0","0","0","102","65","3","11021","64","6501"
"66","0","4","0","0","0","104","66","2","11041","65","6601"
"67","0","1","0","0","0","52","67","3","10521","66","6701"
"68","0","2","0","0","0","102","68","2","11021","67","6801"
"69","0","4","0","0","0","104","69","4","11041","68","6901"
"70","0","2","0","0","0","103","70","3","11031","69","7001"
"71","0","3","0","0","0","101","71","2","11011","70","7101"
"72","0","2","0","0","0","100","72","3","11001","71","7201"
"73","0","4","0","0","0","104","73","1","11041","72","7301"
"74","0","1","0","0","0","103","74","1","11031","73","7401"
"75","0","3","0","0","0","102","75","3","11021","74","7501"
"76","0","1","0","0","0","50","76","4","10501","75","7601"
"77","0","4","0","0","0","104","77","3","11041","76","7701"
"78","0","2","0","0","0","101","78","2","11011","77","7801"
"79","0","3","0","0","0","100","79","3","11001","78","7901"
"80","0","4","0","0","0","104","80","2","11041","79","8001"
"81","0","3","0","0","0","52","81","1","10521","80","8101"
"82","0","1","0","0","0","101","82","2","11011","81","8201"
"83","0","3","0","0","0","50","83","4","10501","82","8301"
"84","0","1","0","0","0","103","84","3","11031","83","8401"
"85","0","4","0","0","0","104","85","2","11041","84","8501"
"86","0","2","0","0","0","100","86","3","11001","85","8601"
"87","0","2","0","0","0","102","87","2","11021","86","8701"
"88","0","2","0","0","0","103","88","1","11031","87","8801"
"89","0","4","0","0","0","104","89","3","11041","88","8901"
"90","0","1","0","0","0","102","90","2","11021","89","9001"
"91","0","4","0","0","0","104","91","3","11041","90","9101"
"92","0","3","0","0","0","50","92","4","10501","91","9201"
"93","0","4","0","0","0","104","93","3","11041","92","9301"
"94","0","1","0","0","0","102","94","2","11021","93","9401"
"95","0","2","0","0","0","103","95","2","11031","94","9501"
"96","0","4","0","0","0","104","96","3","11041","95","9601"
"97","0","4","0","0","0","104","97","2","11041","96","9701"
"98","0","2","0","0","0","101","98","2","11011","97","9801"
"99","0","4","0","0","0","104","99","3","11041","98","9901"
"100","0","1","0","0","0","102","100","1","11021","99","10001"
"101","0","3","0","0","0","103","101","3","11031","100","10101"
"102","0","4","0","0","0","104","102","4","11041","101","10201"
"103","0","3","0","0","0","50","103","2","10501","102","10301"
"104","0","1","0","0","0","100","104","3","11001","103","10401"
"105","0","4","0","0","0","104","105","4","11041","104","10501"
"106","0","2","0","0","0","103","106","2","11031","105","10601"
"107","0","4","0","0","0","104","107","1","11041","106","10701"
"108","0","2","0","0","0","103","108","3","11031","107","10801"
"109","0","3","0","0","0","100","109","3","11001","108","10901"
"110","0","4","0","0","0","104","110","1","11041","109","11001"
"111","0","3","0","0","0","101","111","2","11011","110","11101"
"112","0","4","0","0","0","104","112","4","11041","111","11201"
"113","0","1","0","0","0","102","113","3","11021","112","11301"
"114","0","4","0","0","0","104","114","2","11041","113","11401"
"115","0","2","0","0","0","103","115","4","11031","114","11501"
"116","0","4","0","0","0","104","116","3","11041","115","11601"
"117","0","2","0","0","0","102","117","2","11021","116","11701"
"118","0","4","0","0","0","104","118","2","11041","117","11801"
"119","0","3","0","0","0","52","119","1","10521","118","11901"
"120","0","4","0","0","0","104","120","3","11041","119","12001"
"121","0","1","0","0","0","102","121","3","11021","120","12101"
"122","0","3","0","0","0","103","122","4","11031","121","12201"
"123","0","2","0","0","0","100","123","2","11001","122","12301"
"124","0","1","0","0","0","102","124","1","11021","123","12401"
"125","0","4","0","0","0","104","125","3","11041","124","12501"
"126","0","2","0","0","0","101","126","2","11011","125","12601"
