0c93067b6fadfe495b95e93b674b54e0f641b1284a0ca79d8905116da6ed3f3e,d129e045c7b09918704a9082f3d9b20f1681d3f891bd13a2ff6fa461955a638c,84b23c34d663dadddd45e7525d2de3be60565d1cddc975717c804ec0b47a56a3,bb57e3ef32494e47ea1d97633a4d9b268a5539d4d171298f1fdeebd72fc7be39,c01206aea24a005ade0d49dae6ff211e4e0cb7c2ef4ff3b59aca9dccf7915655,29ad32474bc1255745b5024928bb3f8dabcdce53be0ef1a4c44b30e8caa0180d,3a5cf123b58b90e3ab37ceade0f6da5030f6c09ea48f82dd26a0a81d58fcf6fc,c3375d861f2c992c066c52e914643ab570bcb05602d565815a46f763e8bd7686,2c31d2c9ec91e060cad361954949b19431ec9e70e1669de42942be4f75fbb806,9cb60df5d3d23057450cb2e511956dd051674c1bf68af960fe9db949be090c33,2418d0e38bba5ea0f8067a511eb7190c7d07c0b5be7663554e0bb15a6cc0cf35,45e4aa5573846eb505639e838a68a73585aedea05b94e6f1ab629795f1a50a30,3bba287ded9215ab468898f04142e9c3b083e360ec67c2533ff16ee268566d09,9787b66ef9de4888954a1758940602ae98a42dea8f1067d4d1753382041e158c,ad21fd692c1e97dc1d79dbb513dd212d7c48b0bf87407e29470bfcb258219ecc,60312bb638507f2c3c0f855759bac956f594f033d030a757caba8c7fb8482f46,565887dd0d3546d0fe0ff750822166575149da0fa4fe0dbec71aafa066c85ce6,f8655ac4bc548f6e285a47b4b6c4c3f28cefc65833c7820d8af71bb4f64d7951
"15","bgm_M220","2020/04/01 7:59:59","巨影復活","0","100584","2500000000000","1","480","1002001","4004101","1","1250000000001","bgm_M220","1002","バトル オブ ランドソル 巨影復活　～04/01 23：59","0","2020/04/01"
"16","bgm_M220","2020/04/01 12:59:59","巨影復活","0","100584","1250000000000","1","300","1002002","4004102","2","750000000001","bgm_M220","1002","バトル オブ ランドソル 巨影復活　～04/01 23：59","0","2020/04/01 8:00:00"
"17","bgm_M220","2020/04/01 17:59:59","巨影復活","0","100584","750000000000","1","300","1002003","4004103","3","250000000001","bgm_M220","1002","バトル オブ ランドソル 巨影復活　～04/01 23：59","0","2020/04/01 13:00:00"
"18","bgm_M220","2020/04/01 19:59:59","巨影復活","0","100584","250000000000","1","120","1002001","4004104","1","125000000001","bgm_M220","1002","バトル オブ ランドソル 巨影復活　～04/01 23：59","0","2020/04/01 18:00:00"
"19","bgm_M220","2020/04/01 23:59:59","巨影復活","0","100584","125000000000","1","240","1002002","0","2","0","bgm_M220","1002","バトル オブ ランドソル 巨影復活　～04/01 23：59","0","2020/04/01 20:00:00"
"22","bgm_M220","2020/04/01 7:59:59","巨影復活","0","100584","0","1","480","1002004","4004109","1","0","bgm_M220","1002","バトル オブ ランドソル 巨影復活　～04/01 23：59","0","2020/04/01"
"23","bgm_M220","2020/04/01 12:59:59","巨影復活","0","100584","0","1","300","1002005","0","2","0","bgm_M220","1002","バトル オブ ランドソル 巨影復活　～04/01 23：59","0","2020/04/01 8:00:00"
"24","bgm_M220","2020/04/01 17:59:59","巨影復活","0","100584","0","1","300","1002006","0","3","0","bgm_M220","1002","バトル オブ ランドソル 巨影復活　～04/01 23：59","0","2020/04/01 13:00:00"
"25","bgm_M220","2020/04/01 20:59:59","巨影復活","0","100584","0","1","180","1002004","0","1","0","bgm_M220","1002","バトル オブ ランドソル 巨影復活　～04/01 23：59","0","2020/04/01 18:00:00"
"26","bgm_M220","2020/04/01 21:59:59","巨影復活","0","100584","0","1","60","1002005","0","2","0","bgm_M220","1002","バトル オブ ランドソル 巨影復活　～04/01 23：59","0","2020/04/01 21:00:00"
"27","bgm_M220","2020/04/01 22:59:59","巨影復活","0","100584","0","1","60","1002006","0","3","0","bgm_M220","1002","バトル オブ ランドソル 巨影復活　～04/01 23：59","0","2020/04/01 22:00:00"
"28","bgm_M220","2020/04/01 23:59:59","巨影復活","0","100584","0","1","60","1002004","0","1","0","bgm_M220","1002","バトル オブ ランドソル 巨影復活　～04/01 23：59","0","2020/04/01 23:00:00"
