173b8b4dea7b47b0b88efea6a5f72b3f7d5f6f79a30327f1af642471188f81d2,b454af36fdfd2112852d723d4d00622381f4ef130308aee555ae260ea6b96d28,ab84a127a89b066748b4eedf2da21399e37b17ff7cbfa54cff216b86742826ed,613219f356feae4ad664182ea2ae43a0635e2ac103f3b202f3d77f99f6705817,5af6da5103f3989e92df2a8e12e8aa3750c2bb8e07ae54bc280ab7ad4b6a09c5,cda2a6177b3bf946a78fbe65bed5068da48ee373e74a0825ff5c47f37df46f62
"100013","100353","10021112","501","10021","10021006"
"100014","100354","10021112","501","10021","10021007"
"100015","100355","10021112","501","10021","10021008"
"100016","100356","10021112","501","10021","10021009"
"100017","100357","10021112","501","10021","10021010"
"100018","100358","10021112","501","10021","10021011"
"100019","100359","10021112","501","10021","10021012"
"211","0","1003904","3","10039","10039531"
"1","0","10053102","1","10053","10053001"
"2","0","10053108","1","10053","10053002"
"3","0","10053115","1","10053","10053003"
"105801","0","0","101","10053","10053301"
"109901","0","10053102","101","10053","10053302"
"109901","0","0","102","10053","10053303"
"211","0","1005304","3","10053","10053531"
"1","0","10084102","1","10084","10084001"
"2","0","10084112","1","10084","10084002"
"3","0","10084115","1","10084","10084003"
"1","0","10085102","1","10085","10085001"
"2","0","10085108","1","10085","10085002"
"3","0","10085115","1","10085","10085003"
"1","0","10112102","1","10112","10112001"
"2","0","10112112","1","10112","10112002"
"3","0","10112115","1","10112","10112003"
"1","0","10113102","1","10113","10113001"
"2","0","10113108","1","10113","10113002"
"3","0","10113115","1","10113","10113003"
"1","0","10153102","1","10153","10153001"
"2","0","10153108","1","10153","10153002"
"3","0","10153115","1","10153","10153003"
"105801","0","0","101","10153","10153301"
"109901","0","10153102","101","10153","10153302"
"109901","0","0","102","10153","10153303"
"211","0","1015304","3","10153","10153531"
"1","0","20008103","1","20008","20008001"
"2","0","20008104","1","20008","20008002"
"3","0","20008105","1","20008","20008003"
"4","0","20008107","1","20008","20008004"
"5","0","20008111","1","20008","20008005"
"201","0","0","2","20008","20008006"
"101","0","20008105","201","20008","20008201"
"102","0","20008107","201","20008","20008202"
"103","0","20008111","201","20008","20008203"
"111","0","20008115","202","20008","20008204"
"105601","0","0","101","20008","20008301"
"100901","0","20008103","101","20008","20008302"
"101301","0","20008104","101","20008","20008303"
"105601","0","20008105","101","20008","20008304"
"101301","0","20008107","101","20008","20008305"
"100901","0","20008111","101","20008","20008306"
"105601","0","0","102","20008","20008307"
"201","0","0","2","20010","20010001"
"1","0","20010110","1","20010","20010002"
"2","0","20010112","1","20010","20010003"
"3","0","20010115","1","20010","20010004"
"4","0","20010103","1","20010","20010005"
"5","0","20010105","1","20010","20010006"
"6","0","20010107","1","20010","20010007"
"7","0","20010109","1","20010","20010008"
"101","0","20010112","211","20010","20010201"
"0","0","20010115","211","20010","20010202"
"101461","101471","20010110","501","20010","20010501"
"101462","101472","20010110","501","20010","20010502"
"101463","101473","20010110","501","20010","20010503"
"211","0","2001004","3","20010","20010531"
"1","0","2001201","4","20012","20012001"
"2","0","2001202","4","20012","20012002"
"3","0","2001203","4","20012","20012003"
"4","0","2001204","4","20012","20012004"
"101","0","2001201","5","20012","20012301"
"101","0","2001202","5","20012","20012302"
"101","0","2001203","5","20012","20012303"
"501","0","0","6","20012","20012401"
"211","0","2001204","3","20012","20012531"
"211","0","2001404","3","20014","20014531"
"101921","101931","20016112","501","20016","20016001"
"101922","101932","20016112","501","20016","20016002"
"101923","101933","20016112","501","20016","20016003"
"100011","100351","20016112","501","20016","20016004"
"100012","100352","20016112","501","20016","20016005"
"100013","100353","20016112","501","20016","20016006"
"100014","100354","20016112","501","20016","20016007"
"100015","100355","20016112","501","20016","20016008"
"100016","100356","20016112","501","20016","20016009"
"100017","100357","20016112","501","20016","20016010"
"100018","100358","20016112","501","20016","20016011"
"100019","100359","20016112","501","20016","20016012"
"1","0","20046102","1","20046","20046001"
"2","0","20046112","1","20046","20046002"
"3","0","20046115","1","20046","20046003"
"1","0","20047102","1","20047","20047001"
"2","0","20047108","1","20047","20047002"
"3","0","20047115","1","20047","20047003"
