624fd43ae959fa0f5550e558c3333519b68309d8e018cb102cc9a0409ac49684,e353687e5fbdef450971a072d83926482aca446c9ef85bc5a77ca3d372d6590b,a26d1c2948c3c11d10f8d8ea79e260780ec54093659373810aa6bf8b2a4a8dd1,6fc35597fd8c63d8752efd948cd13884b15f8302458facde92609be3a91e02be,d46f7e907f7c40e02f253b1522d142f332a8606afd96550d478797a0a468297a,35be01983903995b48ff4aa073e2cae90f2fed1d0b7643a51e012dc101850c8f,f1eeb6825d472c22099e71dd863a146322eed717682d08360d36de64f9cada0e,cca25d5dbb687096d1af04b6d0d6ce58e021144ce14f1122602053ba05fc302a,2ea3ea034dcc00c795ca47c2eef0eca65a7ca4a0a50a1398ef404f2c01f7d081,ef863faa5fe9537ac3a5dcd787d48179737297f2f3981d0be10288afadee5bda,3ff0b2a6d8c703dc83351f5d47109dee2f6f57feedc1ff511f35ca65890d1daa
"6","122511","1","こうして競い合うのも\nいいものだね\nキミも応援\nよろしく頼むよ","6","0","0","11","1","6004","0"
"6","0","","","","","","91","","6005",""
"6","122511","","sjr_talk_idle","1","0.2","","3","","6006",""
"7","1","sjr_talk_idle","122511","100","1.65","-194","1","40","7001","1"
"7","122511","","sjr_talk_mouth_hidden2_shy","1","0.2","","3","","7002",""
"7","vo_minigame_1010","","vo_minigame_1010_top_talk_1_007","0","","","21","0","7003",""
"7","122511","1","この格好で走るのは\n気恥ずかしいな…\nあまり見ないでくれ…","6","0","0","11","1","7004","0"
"7","0","","","","","","91","","7005",""
"7","122511","","sjr_talk_idle","1","0.2","","3","","7006",""
"8","1","sjr_talk_idle","122511","100","1.65","-194","1","40","8001","1"
"8","122511","","sjr_talk_mouth_hidden","1","0.2","","3","","8002",""
"8","vo_minigame_1010","","vo_minigame_1010_top_talk_1_008","0","","","21","0","8003",""
"8","122511","1","へぇ、強者が揃って\nいるようだね\nこれは私も全力で\n挑まないと…！","6","0","0","11","1","8004","0"
"8","0","","","","","","91","","8005",""
"8","122511","","sjr_talk_idle","1","0.2","","3","","8006",""
"9","1","sjr_talk_idle","122511","100","1.65","-194","1","40","9001","1"
"9","122511","","sjr_talk_stepback_surprise","1","0.2","","3","","9002",""
"9","vo_minigame_1010","","vo_minigame_1010_top_talk_1_009","0","","","21","0","9003",""
"9","122511","1","コースには障害物や\n魔物が…？\nビーチフラッグスとは\nこんな競技だったかな","6","0","0","11","1","9004","0"
"9","0","","","","","","91","","9005",""
"9","122511","","sjr_talk_idle","1","0.2","","3","","9006",""
"10","1","sjr_talk_idle","122511","100","1.65","-194","1","40","10001","1"
"10","122511","","sjr_talk_thinking_blink","1","0.2","","3","","10002",""
"10","vo_minigame_1010","","vo_minigame_1010_top_talk_1_010","0","","","21","0","10003",""
"10","122511","1","ユイは大丈夫だろうか\nヒヨリは喜んでそう\nだけど…\nいや、信じるのみ、か","5","0","0","11","1","10004","0"
"10","0","","","","","","91","","10005",""
"10","122511","","sjr_talk_idle","1","0.2","","3","","10006",""
"11","1","sjr_talk_idle","122411","100","1.65","-194","1","40","11001","1"
"11","122411","","sjr_talk_eieio","0","0.2","1","3","sjr_talk_eieio_loop","11002","0"
"11","vo_minigame_1010","","vo_minigame_1010_top_talk_1_011","0","","","21","0","11003",""
"11","122411","1","準備運動も完璧っ！\nあたしが一番\nとっちゃうからねー！","6","0","0","11","1","11004","0"
"11","0","","","","","","91","","11005",""
"11","122411","","sjr_talk_idle","1","0.2","","3","","11006",""
"12","1","sjr_talk_idle","122411","100","1.65","-194","1","40","12001","1"
"12","122411","","sjr_talk_arm_opened_wink","1","0.2","","3","","12002",""
"12","vo_minigame_1010","","vo_minigame_1010_top_talk_1_012","0","","","21","0","12003",""
"12","122411","1","えっへへー！\n水着って動きやすくて\nいいよねー！\n調子出てきたー！","6","0","0","11","1","12004","0"
"12","0","","","","","","91","","12005",""
"12","122411","","sjr_talk_idle","1","0.2","","3","","12006",""
"13","1","sjr_talk_idle","122411","100","1.65","-194","1","40","13001","1"
"13","122411","","sjr_talk_doya","0","0.2","1","3","sjr_talk_doya_loop","13002","0"
"13","vo_minigame_1010","","vo_minigame_1010_top_talk_1_013","0","","","21","0","13003",""
"13","122411","1","あ、困ってる人\nはっけーん！\n困った時はお互い\nさまさまっ♪","8","0","0","11","1","13004","0"
"13","0","","","","","","91","","13005",""
"13","122411","","sjr_talk_idle","1","0.2","","3","","13006",""
"14","1","sjr_talk_idle","122411","100","1.65","-194","1","40","14001","1"
"14","122411","","sjr_talk_watch_arm_opened","0","0.2","1","3","sjr_talk_swing_joy","14002","0"
"14","vo_minigame_1010","","vo_minigame_1010_top_talk_1_014","0","","","21","0","14003",""
"14","122411","1","どのコースを\n走ろうかなー♪\nどれもおもしろそー！\nウズウズしてきたー！","7","0","0","11","1","14004","0"
"14","0","","","","","","91","","14005",""
"14","122411","","sjr_talk_idle","1","0.2","","3","","14006",""
"15","1","sjr_talk_idle","122411","100","1.65","-194","1","40","15001","1"
"15","122411","","sjr_talk_wish_doya","1","0.2","","3","","15002",""
"15","vo_minigame_1010","","vo_minigame_1010_top_talk_1_015","0","","","21","0","15003",""
"15","122411","1","ユイちゃんとレイさん\n二人と一緒に\n競い合いたいな！","7","0","0","11","1","15004","0"
"15","0","","","","","","91","","15005",""
"15","122411","","sjr_talk_idle","1","0.2","","3","","15006",""
"16","1","sjr_talk_idle","122611","100","1.65","-194","1","72","16001","1"
"16","1","sjr_talk_idle","122511","100","1.65","-194","1","-72","16002","0"
"16","122611","","sjr_talk_wish_doya","1","0.2","","3","","16003",""
"16","vo_minigame_1010","","vo_minigame_1010_top_talk_2_001","0","","","21","0","16004",""
"16","122611","1","レイちゃん\nお互い全力で走ろうね\nわたし本気で挑むから","5","0","0","11","1","16005","0"
"16","0","","","","","","91","","16006",""
"16","122611","","sjr_talk_idle","1","0.2","","3","","16007",""
"16","122511","","sjr_talk_arm_crossed_normal_joy","0","0.2","1","3","sjr_talk_arm_crossed_joy_loop","16008","0"
"16","vo_minigame_1010","","vo_minigame_1010_top_talk_2_002","0","","","21","0","16009",""
"16","122511","0.5","ユイ…言うように\nなったじゃないか\nふふっ、だったら私も\nその意気に応えよう","6","0","0","11","1","16010","0"
"16","0","","","","","","91","","16011",""
"16","122511","","sjr_talk_idle","1","0.2","","3","","16012",""
"17","1","sjr_talk_idle","122611","100","1.65","-194","1","72","17001","1"
"17","1","sjr_talk_idle","122511","100","1.65","-194","1","-72","17002","0"
"17","122511","","sjr_talk_worry_shy","1","0.2","","3","","17003",""
"17","vo_minigame_1010","","vo_minigame_1010_top_talk_2_003","0","","","21","0","17004",""
"17","122511","0.5","ねぇユイ\n水着で走るのって\nちょっと…","6","0","0","11","1","17005","0"
"17","0","","","","","","91","","17006",""
"17","122511","","sjr_talk_idle","1","0.2","","3","","17007",""
"17","122611","","sjr_talk_wish_shy","1","0.2","","3","","17008",""
"17","vo_minigame_1010","","vo_minigame_1010_top_talk_2_004","0","","","21","0","17009",""
"17","122611","0.5","うん、恥ずかしいよね\n騎士クンに\n見られてると思うと…\n…うぅ～～～！","5","0","0","11","1","17010","0"
"17","0","","","","","","91","","17011",""
"17","122611","","sjr_talk_idle","1","0.2","","3","","17012",""
"17","122511","","sjr_talk_thinking_blink_light","0","0.2","1","3","sjr_talk_thinking_light","17013","0"
"17","vo_minigame_1010","","vo_minigame_1010_top_talk_2_005","0","","","21","0","17014",""
"17","122511","0.5","いや、待てよ…\nユイは恥ずかしい時\n逃げ足が速くなる…\nそれを利用すれば…！","6","0","0","11","1","17015","0"
"17","0","","","","","","91","","17016",""
"17","122511","","sjr_talk_idle","1","0.2","","3","","17017",""
"18","1","sjr_talk_idle","122611","100","1.65","-194","1","72","18001","1"
"18","1","sjr_talk_idle","122511","100","1.65","-194","1","-72","18002","0"
"18","122611","","sjr_talk_wish_surprise","1","0.2","","3","","18003",""
"18","vo_minigame_1010","","vo_minigame_1010_top_talk_2_006","0","","","21","0","18004",""
"18","122611","0.5","なんだかすごいコース\nばかりだね…\nどうやって\n作ったんだろう…","7","0","0","11","1","18005","0"
"18","0","","","","","","91","","18006",""
"18","122611","","sjr_talk_idle","1","0.2","","3","","18007",""
"18","122511","","sjr_talk_arm_crossed_normal2","0","0.2","1","3","sjr_talk_arm_crossed_normal2_loop","18008","0"
"18","vo_minigame_1010","","vo_minigame_1010_top_talk_2_007","0","","","21","0","18009",""
"18","122511","0.5","気にしちゃダメだよ\nこういう時は素直に\n楽しむのが一番さ","7","0","0","11","1","18010","0"
"18","0","","","","","","91","","18011",""
"18","122511","","sjr_talk_idle","1","0.2","","3","","18012",""
"19","1","sjr_talk_idle","122611","100","1.65","-194","1","72","19001","1"
"19","1","sjr_talk_idle","122411","100","1.65","-194","1","-72","19002","0"
"19","122611","","sjr_talk_wave_hand","0","0.2","1","3","sjr_talk_idle_joy","19003","0"
"19","vo_minigame_1010","","vo_minigame_1010_top_talk_2_008","0","","","21","0","19004",""
"19","122611","0.5","ヒヨリちゃん\n楽しんでる？","11","0","0","11","1","19005","0"
"19","0","","","","","","91","","19006",""
"19","122611","","sjr_talk_idle","1","0.2","","3","","19007",""
"19","122411","","sjr_talk_fun","0","0.2","1","3","sjr_talk_swing_joy2","19008","0"
"19","vo_minigame_1010","","vo_minigame_1010_top_talk_2_009","0","","","21","0","19009",""
"19","122411","0.5","もっちろん！\nこんな面白いこと\n楽しまないと\nもったいないよー！","8","0","0","11","1","19010","0"
"19","0","","","","","","91","","19011",""
"19","122411","","sjr_talk_idle","1","0.2","","3","","19012",""
"19","122611","","sjr_talk_laugh","1","0.2","","3","","19013",""
"19","vo_minigame_1010","","vo_minigame_1010_top_talk_2_010","0","","","21","0","19014",""
"19","122611","0.5","そうだね\nふふっ、わたしも\nヒヨリちゃんを\n見習わないと…！","8","0","0","11","1","19015","0"
"19","0","","","","","","91","","19016",""
"19","122611","","sjr_talk_idle","1","0.2","","3","","19017",""
"20","1","sjr_talk_idle","122611","100","1.65","-194","1","72","20001","1"
"20","1","sjr_talk_idle","122411","100","1.65","-194","1","-72","20002","0"
"20","122411","","sjr_talk_guts2","0","0.2","1","3","sjr_talk_guts2_loop","20003","0"
"20","vo_minigame_1010","","vo_minigame_1010_top_talk_2_011","0","","","21","0","20004",""
"20","122411","0.5","ユイちゃんっ！\nさっきの走りは\nすごかったね！\n追いつけなかったよー","9","0","0","11","1","20005","0"
"20","0","","","","","","91","","20006",""
"20","122411","","sjr_talk_idle","1","0.2","","3","","20007",""
"20","122611","","sjr_talk_mouth_hidden_dere_guru","0","0.2","1","3","sjr_talk_mouth_hidden_guru","20008","0"
"20","vo_minigame_1010","","vo_minigame_1010_top_talk_2_012","0","","","21","0","20009",""
"20","122611","0.5","夢中で走ってたら\nなんだか\n気持ちよくなって…\nふふ、ふふふ…","5","0","0","11","1","20010","0"
"20","0","","","","","","91","","20011",""
"20","122411","","sjr_talk_shock","0","0.2","1","3","sjr_talk_shock_loop","20012","0"
"20","vo_minigame_1010","","vo_minigame_1010_top_talk_2_013","0","","","21","0","20013",""
"20","122411","0.5","わーっ！？\nユイちゃん！？\n目がグルグルだー！？","17","0","0","11","1","20014","0"
"20","0","","","","","","91","","20015",""
"20","122611","","sjr_talk_idle","1","0.2","","3","","20016",""
"20","122411","","sjr_talk_idle","1","0.2","","3","","20017",""
"21","1","sjr_talk_idle","122611","100","1.65","-194","1","72","21001","1"
"21","1","sjr_talk_idle","122411","100","1.65","-194","1","-72","21002","0"
"21","122611","","sjr_talk_worry_sad","1","0.2","","3","","21003",""
"21","vo_minigame_1010","","vo_minigame_1010_top_talk_2_014","0","","","21","0","21004",""
"21","122611","0.5","ヒヨリちゃん、ずっと\n走ってるけど大丈夫？\n水分補給はちゃんと\nしなくちゃダメだよ？","9","0","0","11","1","21005","0"
"21","0","","","","","","91","","21006",""
"21","122611","","sjr_talk_idle","1","0.2","","3","","21007",""
"21","122411","","sjr_talk_laugh_guts","0","0.2","0","3","sjr_talk_guts2_joy_loop","21008","0"
"21","vo_minigame_1010","","vo_minigame_1010_top_talk_2_015","0","","","21","0","21009",""
"21","122411","0.5","心配性だなぁ\nユイちゃんはー\nあ、だったら一緒に\nかき氷食べに行こー♪","6","0","0","11","1","21010","0"
"21","0","","","","","","91","","21011",""
"21","122411","","sjr_talk_idle","1","0.2","","3","","21012",""
"22","1","sjr_talk_idle","122511","100","1.65","-194","1","72","22001","1"
"22","1","sjr_talk_idle","122411","100","1.65","-194","1","-72","22002","0"
"22","122511","","sjr_talk_arm_crossed_normal","0","0.2","1","3","sjr_talk_arm_crossed_normal_loop","22003","0"
"22","vo_minigame_1010","","vo_minigame_1010_top_talk_2_016","0","","","21","0","22004",""
"22","122511","0.5","相手がヒヨリとはいえ\n負けるつもりは\nないからね","7","0","0","11","1","22005","0"
"22","0","","","","","","91","","22006",""
"22","122511","","sjr_talk_idle","1","0.2","","3","","22007",""
"22","122411","","sjr_talk_guts","0","0.2","1","3","sjr_talk_guts_loop","22008","0"
"22","vo_minigame_1010","","vo_minigame_1010_top_talk_2_017","0","","","21","0","22009",""
"22","122411","0.5","レイさんが相手なら\nあたしだって\n全力全開だよ！","8","0","0","11","1","22010","0"
"22","0","","","","","","91","","22011",""
"22","122411","","sjr_talk_idle","1","0.2","","3","","22012",""
"23","1","sjr_talk_idle","122511","100","1.65","-194","1","72","23001","1"
"23","1","sjr_talk_idle","122411","100","1.65","-194","1","-72","23002","0"
"23","122411","","sjr_talk_fun_eieio","0","0.2","1","3","sjr_talk_eieio_loop","23003","0"
"23","vo_minigame_1010","","vo_minigame_1010_top_talk_2_018","0","","","21","0","23004",""
"23","122411","0.5","夏と言えばかき氷！\nシロップはー……\n禁断の全部混ぜだー！","5","0","0","11","1","23005","0"
"23","0","","","","","","91","","23006",""
"23","122411","","sjr_talk_idle","1","0.2","","3","","23007",""
"23","122511","","sjr_talk_mouth_hidden_sad","1","0.2","","3","","23008",""
"23","vo_minigame_1010","","vo_minigame_1010_top_talk_2_019","0","","","21","0","23009",""
"23","122511","0.5","そんなに冷たいもの\nばかり食べて…\n走れなくなっても\n知らないよ？","7","0","0","11","1","23010","0"
"23","0","","","","","","91","","23011",""
"23","122511","","sjr_talk_idle","1","0.2","","3","","23012",""
"23","122411","","sjr_talk_arm_opened_joy_guru","0","0.2","1","3","sjr_talk_arm_opened_guru","23013","0"
"23","vo_minigame_1010","","vo_minigame_1010_top_talk_2_020","0","","","21","0","23014",""
"23","122411","0.5","平気平気ぃ♪\n…あれっ？\nなんか頭がキーンって\nいたたたたぁー！？","5","0","0","11","1","23015","0"
"23","0","","","","","","91","","23016",""
"23","122411","","sjr_talk_idle","1","0.2","","3","","23017",""
"24","1","sjr_talk_idle","122511","100","1.65","-194","1","72","24001","1"
"24","1","sjr_talk_idle","122411","100","1.65","-194","1","-72","24002","0"
"24","122411","","sjr_talk_mouth_hidden_sad","1","0.2","","3","","24003",""
"24","vo_minigame_1010","","vo_minigame_1010_top_talk_2_021","0","","","21","0","24004",""
"24","122411","1","ユイちゃん\n大丈夫かなー\n転んだりしてないと\nいいけど…","7","0","0","11","1","24005","0"
"24","0","","","","","","91","","24006",""
"24","122411","","sjr_talk_idle","1","0.2","","3","","24007",""
"24","122511","","sjr_talk_arm_crossed_normal_joy","0","0.2","0","3","sjr_talk_arm_crossed_joy_loop","24008","0"
"24","vo_minigame_1010","","vo_minigame_1010_top_talk_2_022","0","","","21","0","24009",""
"24","122511","0.5","心配はいらないさ\nユイは強くなった\nむしろ私たちが\n負けてしまうかもね","5","0","0","11","1","24010","0"
"24","0","","","","","","91","","24011",""
"24","122511","","sjr_talk_idle","1","0.2","","3","","24012",""
"24","122411","","sjr_talk_laugh","1","0.2","","3","","24013",""
"24","vo_minigame_1010","","vo_minigame_1010_top_talk_2_023","0","","","21","0","24014",""
"24","122411","0.5","えへへっ、そうだね！\n一緒に走るのが\n楽しみだなー♪","7","0","0","11","1","24015","0"
"24","0","","","","","","91","","24016",""
"24","122411","","sjr_talk_idle","1","0.2","","3","","24017",""
