0ff940d871a1368e0b0c75a1e1e9622aa4a4c9a6d0814a336264e37e683ee31a,689ec86f2ee2d3eb12c4e696ed0dfb3ec3b0832016d1f43038e616459e6e3f93,31de78b1f319e2a6a1ba8d1c48f242332d471176be8f8655b35f8b8c03f31818,7be76ed031b21bd622c87fb2b7ea600ab104beb95134adb08f87273764f6fdb9,1852961ce0ba1c18a2b8ff41bce0e43c24407e4e4ef50919c4f40030b8f0b56e,26abf870a67b4217262cefd39f4da751f4927bc51ab82bb93ab9f02b8d2886e7,82ac34ce943a6a076b491f9a7fc1b9789f6c0537237ca1002011b503cb45b591,9bd545709790bc166dbcf598f29c96d1f77245ce9f0276778871636c87e796d0,e595eb4f08ca6f51fc3bec419246197535a9844f3fce189757643bf60b6cd957,6c59f2cef82c5d689db30706cdfb0d605ed876c574be02800ca7b61a594591e1,d90cdb5abba29913d9ef1db648166aad3cf33a25eef26f6c8d0132cde67aade4
"vo_minigame_1008_drama_0103","1","vo_minigame_1008","","0","0","","","","21","1036"
"オマエはミヤコを手伝うの！\nめんどくさいことは全部\nオマエに任せるの！","1","119931","0","1","6","0","0","0.5","11","1037"
"","1","0","","","","","","","91","1038"
"0","1","0","","","","","","","22","1039"
"11","1","1","0","0","1","0","0","0","12","1040"
"psy_item00_talk_guts","1","1","0.2","psy_item00_idle_guts","0","1","0.2","","3","1041"
"","1","2","","","","","","","93","1042"
"psy_miyako_talk_joy2","1","119931","","","1","","0.2","","3","1043"
"vo_minigame_1008_drama_0104","1","vo_minigame_1008","","0","0","","","","21","1044"
"みんなみんな\nおいしいプリンにしてやるの～♪","1","119931","0","1","5","0","0","0.5","11","1045"
"1","1","4","","","","","","","93","1046"
"psy_miyako_fight_in","1","119931","0.2","psy_miyako_fight_loop","0","1","0.2","","3","1047"
"psy_item00_handsup","1","1","0.2","psy_item00_handsup_loop","0","1","0.2","","3","1048"
"","1","1.5","","","","","","","93","1049"
"","1","1045","","","","","","","91","1050"
"0","1","0","","","","","","","22","1051"
"119931","2","1","0","-300","100","-200","1.7","psy_miyako_start","1","2001"
"106011","2","1","1","300","100","-220","1.7","psy_walk","1","2002"
"11","2","1","","0","0","1","1","","31","2003"
"1","2","1","0","-300","101","-200","1.7","psy_smoke_start","5","2004"
"185","2","106011","","2","-220","0","","","2","2005"
"","2","2","","","","","","","93","2006"
"psy_kyaru_talk_arm_crossed","2","106011","0","psy_kyaru_talk_arm_crossed_loop","0","1","0.2","","3","2007"
"vo_minigame_1008_drama_0305","2","vo_minigame_1008","","0","0","","","","21","2008"
"ねぇ、あんた。\nペコリーヌに差し入れるのにちょうど\nいいお菓子を適当に見つくろって……","2","106011","0","1","8","0","0","0.5","11","2009"
"","2","0","","","","","","","91","2010"
"vo_minigame_1008_drama_0306","2","vo_minigame_1008","","0","0","","","","21","2011"
"psy_talk_sad","2","106011","","","1","","0.2","","3","2012"
"って、居ないじゃない。\nあいつが働いてるって聞いたから\n来たのに……というか、誰もいないし。\n不用心な店ね。","2","106011","0","1","8","0","0","0.5","11","2013"
"1","2","4","","","","","","","93","2014"
"psy_talk_sad","2","106011","","","1","","0.2","","3","2015"
"","2","2013","","","","","","","91","2016"
"psy_idle_sad","2","106011","","","1","","0.2","","3","2017"
"psy_miyako_appear","2","119931","0.2","psy_miyako_thinking4","0","1","0.2","","3","2018"
"psy_smoke_appear","2","1","0","psy_smoke_start","0","0","0","","3","2019"
"vo_minigame_1008_drama_0301","2","vo_minigame_1008","","0","0","","","","21","2020"
"プリン……プリン……\n究極のプリン作りは難しいの……\n何かひらめくキッカケが欲しいの……","2","119931","0","1","4","0","0","1","11","2021"
"1","2","1","","","","","","","93","2022"
"psy_surprise","2","106011","0.2","psy_idle_surprise2","0","1","0.2","","3","2023"
"","2","2021","","","","","","","91","2024"
"0","2","0","","","","","","","22","2025"
"psy_miyako_idle_thinking","2","119931","","","1","","0.2","","3","2026"
"psy_talk_surprise2","2","106011","","","1","","0.2","","3","2027"
"vo_minigame_1008_drama_0307","2","vo_minigame_1008","","0","0","","","","21","2028"
"キャッ！？\nいきなり出てきてなんなのよあんた！","2","106011","0","1","8","0","0","0.5","11","2029"
"","2","0","","","","","","","91","2030"
"psy_idle_surprise2","2","106011","","","1","","0.2","","3","2031"
"psy_miyako_anger1","2","119931","","","1","","0.2","","3","2032"
"vo_minigame_1008_drama_0302","2","vo_minigame_1008","","0","0","","","","21","2033"
"オマエが勝手に入ってきたの。\nミヤコは悪くないの。\nミヤコの邪魔をするななの……ん？\nオマエ……","2","119931","0","1","5","0","0","1","11","2034"
"1","2","8","","","","","","","93","2035"
"psy_miyako_thinking2","2","119931","","","1","","0.2","","3","2036"
"","2","2034","","","","","","","91","2037"
"0","2","0","","","","","","","22","2038"
"psy_talk_sad","2","106011","","","1","","0.2","","3","2039"
"vo_minigame_1008_drama_0308","2","vo_minigame_1008","","0","0","","","","21","2040"
"な、何よ……","2","106011","0","1","8","0","0","0.5","11","2041"
"","2","0","","","","","","","91","2042"
"psy_idle_sad","2","106011","","","1","","0.2","","3","2043"
"psy_miyako_run","2","119931","","","1","","0.2","","3","2044"
"0","2","119931","","2","-200","0","","","2","2045"
"","2","2","","","","","","","93","2046"
"psy_miyako_thinking2","2","119931","","","1","","0.2","","3","2047"
"vo_minigame_1008_drama_0303","2","vo_minigame_1008","","0","0","","","","21","2048"
"むむむむむ……\nオマエ、なんかおいしそうなの……","2","119931","0","1","6","0","0","1","11","2049"
"","2","0","","","","","","","91","2050"
"0","2","0","","","","","","","22","2051"
"","2","0.5","","","","","","","93","2052"
"psy_talk_sad","2","106011","","","1","","0.2","","3","2053"
"vo_minigame_1008_drama_0309","2","vo_minigame_1008","","0","0","","","","21","2054"
"はぁ～？","2","106011","0","1","8","0","0","0.5","11","2055"
"","2","0","","","","","","","91","2056"
"psy_idle_sad","2","106011","","","1","","0.2","","3","2057"
"vo_minigame_1008_drama_0304","2","vo_minigame_1008","","0","0","","","","21","2058"
"オマエをプリンにしてやるの～～！！","2","119931","0","1","6","0","0","0.5","11","2059"
"1","2","0.5","","","","","","","93","2060"
"psy_miyako_attack_in","2","119931","0","psy_miyako_attack_loop","0","1","0.2","","3","2061"
"1","2","0.2","","","","","","","93","2062"
"psy_surprise","2","106011","0.2","psy_idle_surprise2","0","1","0.2","","3","2063"
"","2","2059","","","","","","","91","2064"
"0","2","0","","","","","","","22","2065"
"psy_talk_surprise2","2","106011","","","1","","0.2","","3","2066"
"vo_minigame_1008_drama_0310","2","vo_minigame_1008","","0","0","","","","21","2067"
"な、なんなのよこの店～～！！","2","106011","0","1","8","0","0","0.5","11","2068"
"","2","0","","","","","","","91","2069"
"0","2","106011","","","","","","","4","2070"
"psy_run_shy","2","106011","","","1","","0.2","","3","2071"
"psy_miyako_attack_loop_move","2","119931","","","1","","0.2","","3","2072"
"1000","2","106011","","3","-220","0","","","2","2073"
"1000","2","119931","","5","-220","0","","","2","2074"
"","2","3.5","","","","","","","93","2075"
"0","2","0","","","","","","","22","2076"
"","2","0","","","","","","","91","2077"
"119931","3","1","1","-250","100","-150","1.65","psy_miyako_gasagoso_B","1","3001"
"105511","3","1","1","340","100","-180","1.7","psy_walk","1","3002"
"11","3","1","","0","0","1","1","","31","3003"
"1","3","1","0","-300","101","-220","1.7","psy_smoke_start","5","3004"
"225","3","105511","","2","-180","0","","","2","3005"
"","3","2","","","","","","","93","3006"
"psy_talk_wish","3","105511","","","1","","0.2","","3","3007"
"vo_minigame_1008_drama_0203","3","vo_minigame_1008","","0","0","","","","21","3008"
"こ、ここで先輩が働いてるんですよね？","3","105511","0","1","8","0","0","0.5","11","3009"
"","3","0","","","","","","","91","3010"
"psy_ayumi_kyoro_in","3","105511","0","psy_ayumi_kyoro_loop","0","1","0.2","","3","3011"
"","3","1.8","","","","","","","93","3012"
"psy_talk_joy1","3","105511","","","1","","0.2","","3","3013"
"vo_minigame_1008_drama_0204","3","vo_minigame_1008","","0","0","","","","21","3014"
"わぁ、おいしそうなお菓子がたくさん\n並んでますね……先輩が作ったお菓子も\nあったりするのかな？","3","105511","0","1","8","0","0","0.5","11","3015"
"","3","0","","","","","","","91","3016"
"psy_talk_call","3","105511","","","1","","0.2","","3","3017"
"vo_minigame_1008_drama_0205","3","vo_minigame_1008","","0","0","","","","21","3018"
"あの……このお菓子一つください。\nあの～すみませ～ん。\n聞こえてないのかな？","3","105511","0","1","8","0","0","0.5","11","3019"
"1","3","3","","","","","","","93","3020"
"5","3","119931","0","1","0.8","0","0","0","12","3021"
"0","3","119931","","","","","","","4","3022"
"psy_miyako_idle_thinking","3","119931","","","1","","0","","3","3023"
"1","3","1.5","","","","","","","93","3024"
"1","3","119931","","","","","","","4","3025"
"psy_miyako_gasagoso_B","3","119931","","","1","","0","","3","3026"
"1","3","0.5","","","","","","","93","3027"
"psy_talk_sad","3","105511","","","1","","0.2","","3","3028"
"","3","3019","","","","","","","91","3029"
"psy_talk_wish","3","105511","","","1","","0.2","","3","3030"
"vo_minigame_1008_drama_0206","3","vo_minigame_1008","","0","0","","","","21","3031"
"と、とりあえずお金はおいておきますね\n失礼します！","3","105511","0","1","8","0","0","0.5","11","3032"
"1","3","2","","","","","","","93","3033"
"psy_gasagoso_B2","3","105511","","","1","","0.2","","3","3034"
"1","3","1","","","","","","","93","3035"
"psy_pekori","3","105511","0.2","psy_idle_normal","0","1","0.2","","3","3036"
"","3","3032","","","","","","","91","3037"
"0","3","105511","","","","","","","4","3038"
"psy_run","3","105511","","","1","","0.2","","3","3039"
"1000","3","105511","","3","-180","0","","","2","3040"
"","3","3","","","","","","","93","3041"
"","3","0.5","","","","","","","93","3042"
"psy_miyako_idle_thinking","3","119931","","","1","","0","","3","3043"
"","3","2","","","","","","","93","3044"
"0","3","119931","","","","","","","4","3045"
"psy_miyako_run","3","119931","","","1","","0.2","","3","3046"
"0","3","119931","","2","-165","0","","","2","3047"
"","3","2","","","","","","","93","3048"
"psy_miyako_thinking4","3","119931","","","1","","0.2","","3","3049"
"vo_minigame_1008_drama_0201","3","vo_minigame_1008","","0","0","","","","21","3050"
"……？\nいつの間にかお金があるの！\nさっきまでなかったはずなの！\n怖いの！　お化けでも出たの？","3","119931","0","1","5","0","0","0.5","11","3051"
"1","3","4","","","","","","","93","3052"
"psy_miyako_panic1","3","119931","","","1","","0.2","","3","3053"
"","3","3051","","","","","","","91","3054"
"0","3","0","","","","","","","22","3055"
"psy_miyako_surprise2_in","3","119931","0","psy_miyako_surprise2_loop","0","1","0.2","","3","3056"
"vo_minigame_1008_drama_0202","3","vo_minigame_1008","","0","0","","","","21","3057"
"……！\n急にプリンのアイデアが下りて来たの！\nでも、思い浮かんだ顔は記憶にないの。\nコイツは…………誰なの？","3","119931","0","1","5","0","0","1","11","3058"
"1","3","4","","","","","","","93","3059"
"psy_miyako_thinking4","3","119931","","","1","","0.2","","3","3060"
"","3","3058","","","","","","","91","3061"
"0","3","0","","","","","","","22","3062"
"","3","1","","","","","","","93","3063"
"","3","0","","","","","","","91","3064"
"119931","4","1","0","-300","100","-200","1.7","psy_miyako_start","1","4001"
"107131","4","1","1","300","100","-220","1.7","psy_walk","1","4002"
"11","4","1","","0","0","1","1","","31","4003"
"1","4","1","0","-300","101","-200","1.7","psy_smoke_start","5","4004"
"185","4","107131","","2","-220","0","","","2","4005"
"","4","2","","","","","","","93","4006"
"psy_talk_doya","4","107131","0.2","psy_talk_doya_loop","0","1","0.2","","3","4007"
"vo_minigame_1008_drama_0405","4","vo_minigame_1008","","0","0","","","","21","4008"
"この店が話題になっていると聞いて、\nクリスティーナさんが来てやったぞ☆","4","107131","0","1","8","0","0","0.5","11","4009"
"","4","0","","","","","","","91","4010"
"psy_idle_doya","4","107131","","","1","","0.2","","3","4011"
"psy_talk_sad","4","107131","","","1","","0.2","","3","4012"
"vo_minigame_1008_drama_0406","4","vo_minigame_1008","","0","0","","","","21","4013"
"……む？　誰もいないではないか。\nせっかくカルミナへの差し入れを\n買いに来たというのに。\nおい、誰かいないのか。","4","107131","0","1","8","0","0","0.5","11","4014"
"1","4","6","","","","","","","93","4015"
"psy_talk_call","4","107131","","","1","","0.2","","3","4016"
"","4","4014","","","","","","","91","4017"
"psy_idle_arm_crossed","4","107131","","","1","","0.2","","3","4018"
"psy_miyako_appear","4","119931","0.2","psy_miyako_talk_joy1","0","1","0","","3","4019"
"psy_smoke_appear","4","1","0","psy_smoke_start","0","0","0","","3","4020"
"vo_minigame_1008_drama_0401","4","vo_minigame_1008","","0","0","","","","21","4021"
"あ！　オマエ！\n大きいプリンくれたヤツなの！\nまたミヤコにプリンを持ってきたの？","4","119931","0","1","6","0","0","0.5","11","4022"
"","4","0","","","","","","","91","4023"
"0","4","0","","","","","","","22","4024"
"psy_miyako_idle","4","119931","","","1","","0.2","","3","4025"
"psy_talk_normal","4","107131","","","1","","0.2","","3","4026"
"vo_minigame_1008_drama_0407","4","vo_minigame_1008","","0","0","","","","21","4027"
"おまえは……ああ、いつぞやの\nクリスマスで会ったことがあったな。\n今日はサンタとしてではなく\n客として来たのだ。","4","107131","0","1","8","0","0","0.5","11","4028"
"","4","0","","","","","","","91","4029"
"psy_idle_normal","4","107131","","","1","","0.2","","3","4030"
"psy_miyako_sad1","4","119931","","","1","","0.2","","3","4031"
"vo_minigame_1008_drama_0402","4","vo_minigame_1008","","0","0","","","","21","4032"
"プリンをくれないオマエに用はないの。\nおばあちゃんも留守だし、\nおとといきやがれなの。","4","119931","0","1","6","0","0","0.5","11","4033"
"1","4","5","","","","","","","93","4034"
"psy_miyako_talk4","4","119931","","","1","","0.2","","3","4035"
"","4","4033","","","","","","","91","4036"
"0","4","0","","","","","","","22","4037"
"psy_miyako_idle2","4","119931","","","1","","0.2","","3","4038"
"psy_ahaha_in","4","107131","0.2","psy_ahaha_loop","0","1","0.2","","3","4039"
"vo_minigame_1008_drama_0408","4","vo_minigame_1008","","0","0","","","","21","4040"
"はっはっは！\nこのクリスティーナさんに向かって\nずいぶんな物言いだな。おもしろい☆","4","107131","0","1","8","0","0","0.5","11","4041"
"1","4","1.7","","","","","","","93","4042"
"psy_talk_joy1","4","107131","","","1","","0.2","","3","4043"
"","4","4041","","","","","","","91","4044"
"psy_talk_doya","4","107131","0.2","psy_talk_doya_loop","0","1","0.2","","3","4045"
"vo_minigame_1008_drama_0409","4","vo_minigame_1008","","0","0","","","","21","4046"
"なんとしてもおまえからお菓子を\n買わせてもらおう。","4","107131","0","1","8","0","0","0.5","11","4047"
"","4","0","","","","","","","91","4048"
"psy_idle_wish","4","107131","","","1","","0.2","","3","4049"
"psy_miyako_panic1","4","119931","","","1","","0.2","","3","4050"
"vo_minigame_1008_drama_0403","4","vo_minigame_1008","","0","0","","","","21","4051"
"なんでそうなるの！？\nいいから帰れなの！","4","119931","0","1","6","0","0","0.5","11","4052"
"","4","0","","","","","","","91","4053"
"0","4","0","","","","","","","22","4054"
"psy_miyako_idle_panic","4","119931","","","1","","0.2","","3","4055"
"psy_cris_approach_in","4","107131","0","psy_cris_approach_loop","0","1","0.2","","3","4056"
"vo_minigame_1008_drama_0410","4","vo_minigame_1008","","0","0","","","","21","4057"
"ほぅ、作りかけのプリンが\nあるではないか。\nうーむ……手作りの差し入れというのも\n喜ばれそうだな。","4","107131","0","1","8","0","0","0.5","11","4058"
"1","4","4","","","","","","","93","4059"
"psy_talk_arm_crossed","4","107131","0","psy_talk_arm_crossed_loop","0","1","0.2","","3","4060"
"","4","4058","","","","","","","91","4061"
"psy_talk_joy1","4","107131","","","1","","0.2","","3","4062"
"vo_minigame_1008_drama_0411","4","vo_minigame_1008","","0","0","","","","21","4063"
"よし！　ワタシがプリンを作ろう！\nおまえも手伝え。\nクリスマスの貸しを返してもらおう。","4","107131","0","1","8","0","0","0.5","11","4064"
"","4","0","","","","","","","91","4065"
"psy_idle_joy1","4","107131","","","1","","0.2","","3","4066"
"psy_miyako_anger2","4","119931","","","1","","0.2","","3","4067"
"vo_minigame_1008_drama_0404","4","vo_minigame_1008","","0","0","","","","21","4068"
"な、なんでそうなるのーー！？","4","119931","0","1","6","0","0","0.5","11","4069"
"","4","4","","","","","","","93","4070"
"","4","0","","","","","","","91","4071"
"119931","5","1","0","-300","100","-200","1.7","psy_miyako_start","1","5001"
"104931","5","1","1","300","100","-220","1.7","psy_walk","1","5002"
"11","5","1","","0","0","1","1","","31","5003"
"1","5","1","0","-300","101","-200","1.7","psy_smoke_start","5","5004"
"185","5","104931","","2","-220","0","","","2","5005"
"","5","2","","","","","","","93","5006"
"psy_talk_wish","5","104931","","","1","","0.2","","3","5007"
"vo_minigame_1008_drama_0504","5","vo_minigame_1008","","0","0","","","","21","5008"
"ここが弟くんとリノちゃんが\n手伝ってるっていうお菓子屋さんだね！\n弟くん！　お姉ちゃんが来たよ！！","5","104931","0","1","8","0","0","0.5","11","5009"
"1","5","4.3","","","","","","","93","5010"
"psy_talk_joy1","5","104931","","","1","","0.2","","3","5011"
"","5","5009","","","","","","","91","5012"
"psy_idle_joy1","5","104931","","","1","","0.2","","3","5013"
"psy_miyako_appear","5","119931","0.2","psy_miyako_talk3","0","1","0","","3","5014"
"psy_smoke_appear","5","1","0","psy_smoke_start","0","0","0","","3","5015"
"vo_minigame_1008_drama_0501","5","vo_minigame_1008","","0","0","","","","21","5016"
"うるさいの。\nいきなりなんなの？","5","119931","0","1","6","0","0","0.5","11","5017"
"","5","0","","","","","","","91","5018"
"0","5","0","","","","","","","22","5019"
"psy_miyako_idle","5","119931","","","1","","0.2","","3","5020"
"psy_talk_joy1","5","104931","","","1","","0.2","","3","5021"
"vo_minigame_1008_drama_0505","5","vo_minigame_1008","","0","0","","","","21","5022"
"あっ！　ミヤコちゃんだよね？\nリノちゃんから聞いてるよ！\n初めまして弟くんのお姉ちゃんだよ！","5","104931","0","1","8","0","0","0.5","11","5023"
"","5","4","","","","","","","93","5024"
"psy_talk_wish","5","104931","","","1","","0.2","","3","5025"
"","5","5023","","","","","","","91","5026"
"","5","0","","","","","","","91","5027"
"psy_idle_wish","5","104931","","","1","","0.2","","3","5028"
"psy_miyako_anger3","5","119931","","","1","","0.2","","3","5029"
"vo_minigame_1008_drama_0502","5","vo_minigame_1008","","0","0","","","","21","5030"
"オマエがアイツのお姉ちゃんか\nどうかなんてどうでもいいの。\nミヤコはプリン作りに忙しいの。","5","119931","0","1","6","0","0","0.5","11","5031"
"1","5","5","","","","","","","93","5032"
"psy_miyako_arm_crossed_in","5","119931","0","psy_miyako_arm_crossed_loop","0","1]","0.2","","3","5033"
"","5","5031","","","","","","","91","5034"
"0","5","0","","","","","","","22","5035"
"psy_miyako_arm_crossed_idle","5","119931","","","1","","0.2","","3","5036"
"psy_talk_wish","5","104931","","","1","","0.2","","3","5037"
"vo_minigame_1008_drama_0506","5","vo_minigame_1008","","0","0","","","","21","5038"
"どうでもいいって反応は初めてで\nお姉ちゃんそれはそれで\n傷ついちゃうな！\n愛の反対は無関心っていうし！","5","104931","0","1","8","0","0","0.5","11","5039"
"","5","0","","","","","","","91","5040"
"psy_talk_joy2","5","104931","","","1","","0.2","","3","5041"
"vo_minigame_1008_drama_0507","5","vo_minigame_1008","","0","0","","","","21","5042"
"よーし！\n今からミヤコちゃんに\n弟くんとお姉ちゃんの愛と運命の物語を\nお届けしちゃうよ！","5","104931","0","1","8","0","0","0.5","11","5043"
"","5","0","","","","","","","91","5044"
"psy_talk_memory","5","104931","","","1","","0.2","","3","5045"
"vo_minigame_1008_drama_0508","5","vo_minigame_1008","","0","0","","","","21","5046"
"まずはそう、運命の出会いから……","5","104931","0","1","8","0","0","0.5","11","5047"
"","5","0","","","","","","","91","5048"
"psy_idle_memory","5","104931","","","1","","0.2","","3","5049"
"psy_miyako_sad1","5","119931","","","1","","0.2","","3","5050"
"vo_minigame_1008_drama_0503","5","vo_minigame_1008","","0","0","","","","21","5051"
"（なんか始まったの……\nめんどくさいからミヤコは消えるの……）","5","119931","0","1","6","0","0","0.5","11","5052"
"","5","0","","","","","","","91","5053"
"0","5","0","","","","","","","22","5054"
"psy_miyako_hide","5","119931","","","0","","0.2","","3","5055"
"psy_smoke_hide","5","1","0","psy_smoke_start","0","0","0","","3","5056"
"","5","2","","","","","","","93","5057"
"","5","0","","","","","","","91","5058"
"119931","6","1","1","-300","100","-200","1.7","psy_miyako_idle_thinking","1","6001"
"103131","6","1","1","300","100","-220","1.7","psy_walk","1","6002"
"11","6","1","","0","0","1","1","","31","6003"
"17","6","119931","0","0","2","0","0","0","12","6004"
"185","6","103131","","2","-220","0","","","2","6005"
"","6","2","","","","","","","93","6006"
"psy_talk_wish","6","103131","","","1","","0.2","","3","6007"
"vo_minigame_1008_drama_0605","6","vo_minigame_1008","","0","0","","","","21","6008"
"こんにちは。\nミヤコさんがお菓子屋のお手伝いを\nしていると聞いたので、\n様子を見に来ました。","6","103131","0","1","8","0","0","0.5","11","6009"
"","6","0","","","","","","","91","6010"
"psy_idle_wish","6","103131","","","1","","0.2","","3","6011"
"0","6","119931","","","","","","","4","6012"
"psy_miyako_surprise2_in","6","119931","0.2","psy_miyako_talk_joy2","0","1","0.2","","3","6013"
"","6","1","","","","","","","93","6014"
"vo_minigame_1008_drama_0601","6","vo_minigame_1008","","0","0","","","","21","6015"
"シノブ！　いいところに来たの！\nミヤコちょっと困ってるの！","6","119931","0","1","6","0","0","0.5","11","6016"
"1","6","3","","","","","","","93","6017"
"psy_miyako_talk2","6","119931","","","1","","0.2","","3","6018"
"","6","6016","","","","","","","91","6019"
"0","6","0","","","","","","","22","6020"
"psy_miyako_idle_sad","6","119931","","","1","","0.2","","3","6021"
"psy_talk_sad","6","103131","","","1","","0.2","","3","6022"
"vo_minigame_1008_drama_0606","6","vo_minigame_1008","","0","0","","","","21","6023"
"どうしたんですか？\nあ、まさか売り物のプリンを\n食べてしまったんですか？\nそれなら一緒に謝りましょう。","6","103131","0","1","8","0","0","0.5","11","6024"
"","6","0","","","","","","","91","6025"
"psy_idle_sad","6","103131","","","1","","0.2","","3","6026"
"psy_miyako_panic3","6","119931","","","1","","0.2","","3","6027"
"vo_minigame_1008_drama_0602","6","vo_minigame_1008","","0","0","","","","21","6028"
"違うの！　ミヤコは今究極のプリンを\n作ろうとしてるの！\nでも、いいアイデアが\n浮かばなくなっちゃったの……","6","119931","0","1","5","0","0","0.5","11","6029"
"1","6","5.5","","","","","","","93","6030"
"psy_miyako_sad2","6","119931","","","1","","0.2","","3","6031"
"","6","6029","","","","","","","91","6032"
"0","6","0","","","","","","","22","6033"
"psy_miyako_idle_sad","6","119931","","","1","","0.2","","3","6034"
"psy_surprise","6","103131","0.2","psy_talk_surprise1","0","1","0.2","","3","6035"
"vo_minigame_1008_drama_0607","6","vo_minigame_1008","","0","0","","","","21","6036"
"ミヤコさんが……自分で……\nプリンを……","6","103131","0","1","8","0","0","0.5","11","6037"
"","6","0","","","","","","","91","6038"
"psy_idle_surprise1","6","103131","","","1","","0.2","","3","6039"
"psy_miyako_talk2","6","119931","","","1","","0.2","","3","6040"
"vo_minigame_1008_drama_0603","6","vo_minigame_1008","","0","0","","","","21","6041"
"どうしたの？","6","119931","0","1","6","0","0","0.5","11","6042"
"","6","0","","","","","","","91","6043"
"0","6","0","","","","","","","22","6044"
"psy_miyako_idle","6","119931","","","1","","0.2","","3","6045"
"psy_talk_joy1","6","103131","","","1","","0.2","","3","6046"
"vo_minigame_1008_drama_0608","6","vo_minigame_1008","","0","0","","","","21","6047"
"ふふっ、いえ。なんでもありませんよ。\n私で力になれるかはわかりませんが、\n精一杯手伝わせていただきます。","6","103131","0","1","8","0","0","0.5","11","6048"
"1","6","4","","","","","","","93","6049"
"psy_talk_wish","6","103131","","","1","","0.2","","3","6050"
"","6","6048","","","","","","","91","6051"
"psy_idle_wish","6","103131","","","1","","0.2","","3","6052"
"psy_miyako_joy1","6","119931","","","1","","0.2","","3","6053"
"vo_minigame_1008_drama_0604","6","vo_minigame_1008","","0","0","","","","21","6054"
"ありがとうなの！\nシノブとミヤコが揃えば最強なの！\n絶対においしいプリンが\nできるはずなの！","6","119931","0","1","6","0","0","0.5","11","6055"
"1","6","5","","","","","","","93","6056"
"psy_miyako_guts1_in","6","119931","0","psy_miyako_guts1_loop","0","1","0.2","","3","6057"
"","6","6055","","","","","","","91","6058"
"0","6","0","","","","","","","22","6059"
"","6","1.5","","","","","","","93","6060"
"","6","0","","","","","","","91","6061"
"119931","7","1","0","-200","100","-200","1.7","psy_miyako_idle","1","7001"
"1","7","1","0","125","100","-220","1.7","psy_fairy_idle","5","7002"
"11","7","1","","0","0","1","1","","31","7003"
