4eba76dccfc06c55ba7a945d594b7be193624755d81b3e8d157168c5412fb47c,dd9b988b9679d0621c44712ef7f78f389bf414ceb3c42e2a153db23b1da7aabd,82a02a7360d326c4d03b08b8a98709b9ed69f79f5695be8a877a61aaf85543d7,06321d850d79cefae8337940e18e616692ac510f78abef534b01e07ed258011e,7c7c30b6187c30bf8cea29e98622baafb57214847669c204d2465ec008396f51,93e666ca40ac02a6cd2a7353c58cb119daaf0fc9b8d4b5b86ad7a66c95f68812,95fb0cd3cc3d5466ca1d18fe0c1d664bcbe3c24a8bbc241d51be1a12a03b025e,876d864d9380f3f5c1c3f6b86ef77a7a81ae9f41790090819f0abbdb0654a80f,4aa902e9b37b205861bfe6a2abb721caddf683778e91c1418d5284e5063268e6
"4","","15","63000","252000","21600","12","94002",""
"4","","16","70500","282000","21600","12","94002",""
"4","","17","79500","318000","21600","12","94002",""
"4","","18","88500","354000","21600","12","94002",""
"4","","19","97500","390000","21600","12","94002",""
"4","","20","108000","432000","21600","12","94002",""
"4","","21","118500","474000","21600","12","94002",""
"4","","22","129000","516000","21600","12","94002",""
"4","","23","140500","562000","21600","12","94002",""
"4","","24","150000","600000","21600","12","94002",""
"4","","25","160500","642000","21600","12","94002",""
"4","","26","171000","684000","21600","12","94002",""
"4","","27","181500","726000","21600","12","94002",""
"4","","28","192000","768000","21600","12","94002",""
"4","","29","202500","810000","21600","12","94002",""
"4","","30","213000","852000","21600","12","94002",""
"4","","31","223500","894000","21600","12","94002",""
"4","","32","230000","920000","21600","12","94002",""
"4","","33","235000","940000","21600","12","94002",""
"4","","34","240000","960000","21600","12","94002",""
"4","","35","245000","980000","21600","12","94002",""
"5","","1","12","48","21600","6","93001",""
"6","","1","12","48","21600","6","93001",""
"7","","1","12","48","21600","6","93001",""
"8","","1","12","48","21600","6","93001",""
"11","","1","12","48","21600","6","93001",""
"12","","1","12","48","21600","6","93001",""
"19","","1","12","48","21600","6","93001",""
"23","14999999999","0","1","0","0","0","0","4999999999"
"25","","1","12","48","21600","6","93001",""
"28","","1","12","48","21600","6","93001",""
"30","","1","12","48","21600","6","93001",""
