7dd2865f76e0f0f666f44d2a6e2b32229ed6afed9dd11a44e20136ef7bfcfafc,5410912cff742191069f0637b715f51f07fa34638674af83b3a1f4921c773ae2,62b9ba86919dd0ab126f54358f4f21c18030bf55405d58fbc21f44ef6afe9710,e18e3f155e660eb4c9a779e6e84dc76f78cf6dfbfe7564c75848840230e9b4ab,f1971617d6f2ec6df23a832a33ddde1ab68d3b6dc323e58f0f838accdac19042,6b3ba86853519aa739cb9aed2fc556a99adb636d6bab5ee500737b73d68cb120,493995a697128677ae46a8ef8ce4248e87246859f688c2f409e48bdcd5d9b3f2,5cf1e649e092133e9fc69ff6a20e3d7e80eaa263eeadfe4f44e43e81e79a3a51,cf62422e7ef60151b718086a62f9fd87660341908580f9eabe7451f69b592fe0,5797af20d450f802a87f4fcb7bd42a3414aa71cfcdd7483a2f46f4d0864691d5,f3a8b784971652a6b3159f6dd51a19ca8946d7d540f43a77fd4bd94618b4cb77
"","","se_10053800","","","301","","23","","se_fpc_water_random","13010001"
"-850","0","1","-180","1.75","301","cmn_swm_flutterKick_floatRing","1","23","<unit_id>","13010002"
"-850","0","1","-180","1.75","301","cmn_swm_flutterKick_floatRing_pink","5","22","1","13010003"
"-180","","1","1","1","301","","31","-850","1","13010004"
"","","0","","","301","","91","","0","13010005"
"10","","<unit_id>","","","301","","2","-180","1050","13010006"
"10","","1","","","301","","2","-180","1050","13010007"
"10","","1","","","301","","33","-180","1050","13010008"
"","","se_10053800","","","302","","23","","se_fpc_water_random","13020001"
"-850","0","1","-180","1.75","302","cmn_swm_flutterKick_floatRing","1","23","<unit_id>","13020002"
"-850","0","1","-180","1.75","302","cmn_swm_flutterKick_floatRing_blue","5","22","1","13020003"
"-180","","1","1","1","302","","31","-850","1","13020004"
"","","0","","","302","","91","","0","13020005"
"10","","<unit_id>","","","302","","2","-180","1050","13020006"
"10","","1","","","302","","2","-180","1050","13020007"
"10","","1","","","302","","33","-180","1050","13020008"
"","","se_10053800","","","303","","23","","se_fpc_water_random","13030001"
"-850","0","1","-180","1.75","303","cmn_swm_flutterKick_floatRing","1","23","<unit_id>","13030002"
"-850","0","1","-180","1.75","303","cmn_swm_flutterKick_floatRing","5","22","1","13030003"
"-180","","1","1","1","303","","31","-850","1","13030004"
"","","0","","","303","","91","","0","13030005"
"10","","<unit_id>","","","303","","2","-180","1050","13030006"
"10","","1","","","303","","2","-180","1050","13030007"
"10","","1","","","303","","33","-180","1050","13030008"
"","","se_10053800","","","351","","23","","se_fpc_water_random","13510001"
"-850","0","1","-180","1.75","351","cmn_swm_flutterKick_floatRing","1","23","<unit_id>","13510002"
"-850","0","1","-180","1.75","351","cmn_swm_flutterKick_floatBoad","5","22","1","13510003"
"-180","","1","1","1","351","","31","-850","1","13510004"
"","","0","","","351","","91","","0","13510005"
"10","","<unit_id>","","","351","","2","-180","1050","13510006"
"10","","1","","","351","","2","-180","1050","13510007"
"10","","1","","","351","","33","-180","1050","13510008"
"","","se_10053800","","","352","","23","","se_fpc_water_random","13520001"
"-850","0","1","-180","1.75","352","cmn_swm_flutterKick_floatRing","1","23","<unit_id>","13520002"
"-850","0","1","-180","1.75","352","cmn_swm_flutterKick_floatBoad_blue","5","22","1","13520003"
"-180","","1","1","1","352","","31","-850","1","13520004"
"","","0","","","352","","91","","0","13520005"
"10","","<unit_id>","","","352","","2","-180","1050","13520006"
"10","","1","","","352","","2","-180","1050","13520007"
"10","","1","","","352","","33","-180","1050","13520008"
"","","se_10053800","","","401","","23","","se_fpc_water_random","14010001"
"-850","0","1","-180","1.75","401","cmn_float","1","22","<unit_id>","14010002"
"-180","","6","1","1","401","","31","-850","6","14010003"
"","","0","","","401","","91","","0","14010004"
"10","","<unit_id>","","","401","","2","-180","1050","14010005"
"10","","6","","","401","","33","-180","1050","14010006"
"","","se_10053800","","","402","","23","","se_fpc_water_random","14020001"
"-850","0","1","-180","1.75","402","cmn_float_4","1","22","<unit_id>","14020002"
"-180","","6","1","1","402","","31","-850","6","14020003"
"","","0","","","402","","91","","0","14020004"
"10","","<unit_id>","","","402","","2","-180","1050","14020005"
"10","","6","","","402","","33","-180","1050","14020006"
"","","se_10053800","","","451","","23","","se_fpc_water_random","14510001"
"-850","0","1","-180","1.75","451","cmn_crawl","1","22","<unit_id>","14510002"
"-180","","1","1","1","451","","31","-850","1","14510003"
"","","0","","","451","","91","","0","14510004"
"10","","<unit_id>","","","451","","2","-180","1050","14510005"
"10","","1","","","451","","33","-180","1050","14510006"
"","","se_10053800","","","501","","23","","se_fpc_water_random","15010001"
"-850","0","1","-250","1.75","501","cmn_surfing","1","45","<unit_id>","15010002"
"-850","0","6","-250","1.75","501","cmn_surfing","5","44","6","15010003"
"-250","","11","1","1","501","","31","-850","11","15010004"
"","","0","","","501","","91","","0","15010005"
"6","","<unit_id>","","","501","","2","-250","1800","15010006"
"6","","6","","","501","","2","-250","1800","15010007"
"6","","11","","","501","","33","-250","1800","15010008"
"","","se_10053800","","","501","","23","","se_10053800_surfing_wave","15010009"
"","","se_10053800","","","851","","23","","se_fpc_water_random","18510001"
"-850","0","1","-125","1.75","851","cmn_surfing","1","45","107511","18510002"
"-1100","0","1","-250","1.75","851","cmn_surfing","1","45","107611","18510003"
"-1350","0","1","-125","1.75","851","cmn_surfing","1","45","107811","18510004"
"-850","0","6","-125","1.75","851","cmn_surfing","5","44","1","18510005"
"-1100","0","6","-250","1.75","851","cmn_surfing","5","44","2","18510006"
"-1350","0","6","-125","1.75","851","cmn_surfing","5","44","3","18510007"
"-125","","11","1","1","851","","31","-850","1","18510008"
"-250","","11","1","1","851","","31","-1100","2","18510009"
"-125","","11","1","1","851","","31","-1350","3","18510010"
"6","","107511","","","851","","2","-125","2350","18510011"
"6","","107611","","","851","","2","-250","2100","18510012"
"6","","107811","","","851","","2","-125","1850","18510013"
"6","","1","","","851","","2","-125","2350","18510014"
"6","","2","","","851","","2","-250","2100","18510015"
"6","","3","","","851","","2","-125","1850","18510016"
"6","","1","","","851","","33","-125","2350","18510017"
"6","","2","","","851","","33","-250","2100","18510018"
"6","","3","","","851","","33","-125","1850","18510019"
"","","se_10053800","","","851","","23","","se_10053800_surfing_wave","18510020"
"","","0.3","","","851","","93","","","18510021"
"0","","vo_fpc","","","851","","21","","vo_fpc_85101","18510022"
"","","se_10053800","","","852","","23","","se_fpc_water_random","18520001"
"-850","0","1","-125","1.75","852","cmn_swm_flutterKick_floatRing","1","13","122411","18520002"
"-1100","0","1","-250","1.75","852","cmn_swm_flutterKick_floatRing","1","33","122511","18520003"
"-1350","0","1","-125","1.75","852","cmn_swm_flutterKick_floatRing","1","13","122611","18520004"
"-850","0","1","-125","1.75","852","cmn_swm_flutterKick_floatRing","5","12","1","18520005"
"-1100","0","1","-250","1.75","852","cmn_swm_flutterKick_floatRing_blue","5","32","2","18520006"
"-1350","0","1","-125","1.75","852","cmn_swm_flutterKick_floatRing_pink","5","12","3","18520007"
"-125","","7","1","1","852","","31","-850","1","18520008"
"-250","","1","1","1","852","","31","-1100","2","18520009"
"-125","","7","1","1","852","","31","-1350","3","18520010"
"10","","122411","","","852","","2","-125","1750","18520011"
"10","","122511","","","852","","2","-250","1500","18520012"
"10","","122611","","","852","","2","-125","1250","18520013"
"10","","1","","","852","","2","-125","1750","18520014"
"10","","2","","","852","","2","-250","1500","18520015"
"10","","3","","","852","","2","-125","1250","18520016"
"10","","1","","","852","","33","-125","1750","18520017"
"10","","2","","","852","","33","-250","1500","18520018"
"10","","3","","","852","","33","-125","1250","18520019"
"","","se_10053800","","","853","","23","","se_fpc_water_random","18530001"
"-850","0","1","-125","1.75","853","cmn_swm_breastStroke","1","12","117211","18530002"
"-1100","0","1","-250","1.75","853","cmn_swm_breastStroke","1","32","117311","18530003"
"-1350","0","1","-125","1.75","853","cmn_swm_breastStroke","1","12","117411","18530004"
"-125","","2","1","1","853","","31","-850","1","18530005"
"-250","","2","1","1","853","","31","-1100","2","18530006"
"-125","","2","1","1","853","","31","-1350","3","18530007"
"10","","117211","","","853","","2","-125","1750","18530008"
"10","","117311","","","853","","2","-250","1500","18530009"
"10","","117411","","","853","","2","-125","1250","18530010"
"10","","1","","","853","","33","-125","1750","18530011"
"10","","2","","","853","","33","-250","1500","18530012"
"10","","3","","","853","","33","-125","1250","18530013"
"","","se_10053800","","","854","","23","","se_fpc_water_random","18540001"
"-850","0","1","-125","1.75","854","cmn_swm_flutterKick_floatRing","1","13","122711","18540002"
"-1100","0","1","-250","1.75","854","cmn_swm_flutterKick_floatRing","1","33","122811","18540003"
"-1350","0","1","-125","1.75","854","cmn_swm_flutterKick_floatRing","1","13","122911","18540004"
"-850","0","1","-125","1.75","854","cmn_swm_flutterKick_floatBoad","5","12","1","18540005"
"-1100","0","1","-250","1.75","854","cmn_swm_flutterKick_floatBoad_blue","5","32","2","18540006"
"-1350","0","1","-125","1.75","854","cmn_swm_flutterKick_floatBoad","5","12","3","18540007"
"-125","","7","1","1","854","","31","-850","1","18540008"
"-250","","1","1","1","854","","31","-1100","2","18540009"
"-125","","7","1","1","854","","31","-1350","3","18540010"
"10","","122711","","","854","","2","-125","1750","18540011"
"10","","122811","","","854","","2","-250","1500","18540012"
"10","","122911","","","854","","2","-125","1250","18540013"
"10","","1","","","854","","2","-125","1750","18540014"
"10","","2","","","854","","2","-250","1500","18540015"
"10","","3","","","854","","2","-125","1250","18540016"
"10","","1","","","854","","33","-125","1750","18540017"
"10","","2","","","854","","33","-250","1500","18540018"
"10","","3","","","854","","33","-125","1250","18540019"
"","","se_10053800","","","855","","23","","se_fpc_water_random","18550001"
"-850","0","1","-125","1.75","855","cmn_swm_flutterKick_floatRing","1","13","113411","18550002"
"-1100","0","1","-250","1.75","855","cmn_swm_flutterKick_floatRing","1","33","113511","18550003"
"-850","0","1","-125","1.75","855","cmn_swm_flutterKick_floatBoad","5","12","1","18550004"
"-1100","0","1","-250","1.75","855","cmn_swm_flutterKick_floatBoad_blue","5","32","2","18550005"
"-125","","7","1","1","855","","31","-850","1","18550006"
"-250","","1","1","1","855","","31","-1100","2","18550007"
"10","","113411","","","855","","2","-125","1750","18550008"
"10","","113511","","","855","","2","-250","1500","18550009"
"10","","1","","","855","","2","-125","1750","18550010"
"10","","2","","","855","","2","-250","1500","18550011"
"10","","1","","","855","","33","-125","1750","18550012"
"10","","2","","","855","","33","-250","1500","18550013"
"","","se_10053800","","","856","","23","","se_fpc_water_random","18560001"
"-850","0","1","-125","1.75","856","cmn_swm_tread","1","13","110311","18560002"
"-1100","0","1","-250","1.75","856","cmn_swm_tread","1","33","107711","18560003"
"-850","0","1","-125","1.75","856","cmn_swm_tread_pink","5","12","1","18560004"
"-1100","0","1","-250","1.75","856","cmn_swm_tread","5","32","2","18560005"
"-125","","13","1","1","856","","31","-850","1","18560006"
"-250","","3","1","1","856","","31","-1100","2","18560007"
"13.5","","110311","","","856","","2","-125","1750","18560008"
"13.5","","107711","","","856","","2","-250","1500","18560009"
"13.5","","1","","","856","","2","-125","1750","18560010"
"13.5","","2","","","856","","2","-250","1500","18560011"
"13.5","","1","","","856","","33","-125","1750","18560012"
"13.5","","2","","","856","","33","-250","1500","18560013"
"","","se_10053800","","","857","","23","","se_fpc_water_random","18570001"
"-850","0","1","-125","1.75","857","cmn_swm_tread","1","13","110411","18570002"
"-1100","0","1","-250","1.75","857","cmn_swm_tread","1","33","110511","18570003"
"-1350","0","1","-125","1.75","857","cmn_swm_tread","1","13","115711","18570004"
"-1600","0","1","-250","1.75","857","cmn_boat_relax","1","33","110611","18570005"
"-850","0","1","-125","1.75","857","cmn_swm_tread_blue","5","12","1","18570006"
"-1100","0","1","-250","1.75","857","cmn_swm_tread","5","32","2","18570007"
"-1350","0","1","-125","1.75","857","cmn_swm_tread_pink","5","12","3","18570008"
"-1600","0","2","-250","1.75","857","cmn_boat_idle_l","5","32","4","18570009"
"-125","","13","1","1","857","","31","-850","1","18570010"
"-250","","3","1","1","857","","31","-1100","2","18570011"
"-125","","13","1","1","857","","31","-1350","3","18570012"
"-250","","116","1","1","857","","31","-1600","4","18570013"
"13.5","","110411","","","857","","2","-125","1750","18570014"
"13.5","","110511","","","857","","2","-250","1500","18570015"
"13.5","","115711","","","857","","2","-125","1250","18570016"
"13.5","","110611","","","857","","2","-250","1000","18570017"
"13.5","","1","","","857","","2","-125","1750","18570018"
"13.5","","2","","","857","","2","-250","1500","18570019"
"13.5","","3","","","857","","2","-125","1250","18570020"
"13.5","","4","","","857","","2","-250","1000","18570021"
"13.5","","1","","","857","","33","-125","1750","18570022"
"13.5","","2","","","857","","33","-250","1500","18570023"
"13.5","","3","","","857","","33","-125","1250","18570024"
"13.5","","4","","","857","","33","-250","1000","18570025"
"","","se_10053800","","","858","","23","","se_fpc_water_random","18580001"
"-850","0","1","-125","1.75","858","cmn_swm_tread","1","13","126711","18580002"
"-850","0","1","-125","1.75","858","cmn_swm_tread","1","13","126711","18580003"
"-1100","0","1","-250","1.75","858","cmn_swm_tread","1","33","126811","18580004"
"-1350","0","1","-125","1.75","858","cmn_swm_tread","1","13","108011","18580005"
"-1600","0","1","-250","1.75","858","cmn_boat_cat","1","33","107911","18580006"
"-850","0","1","-125","1.75","858","cmn_swm_tread_pink","5","12","1","18580007"
"-1100","0","1","-250","1.75","858","cmn_swm_tread","5","32","2","18580008"
"-1350","0","1","-125","1.75","858","cmn_swm_tread_blue","5","12","3","18580009"
"-1600","0","2","-250","1.75","858","cmn_boat_idle_l","5","32","4","18580010"
"-125","","13","1","1","858","","31","-850","1","18580011"
"-250","","3","1","1","858","","31","-1100","2","18580012"
"-125","","13","1","1","858","","31","-1350","3","18580013"
"-250","","116","1","1","858","","31","-1600","4","18580014"
"13.5","","126711","","","858","","2","-125","1750","18580015"
"13.5","","126811","","","858","","2","-250","1500","18580016"
"13.5","","108011","","","858","","2","-125","1250","18580017"
"13.5","","107911","","","858","","2","-250","1000","18580018"
"13.5","","1","","","858","","2","-125","1750","18580019"
"13.5","","2","","","858","","2","-250","1500","18580020"
"13.5","","3","","","858","","2","-125","1250","18580021"
"13.5","","4","","","858","","2","-250","1000","18580022"
"13.5","","1","","","858","","33","-125","1750","18580023"
"13.5","","2","","","858","","33","-250","1500","18580024"
"13.5","","3","","","858","","33","-125","1250","18580025"
"13.5","","4","","","858","","33","-250","1000","18580026"
"","","se_10053800","","","859","","23","","se_fpc_water_random","18590001"
"-850","0","1","-125","1.75","859","cmn_surfing","1","45","113111","18590002"
"-1100","0","1","-250","1.75","859","cmn_surfing","1","45","113211","18590003"
"-1350","0","1","-125","1.75","859","cmn_surfing","1","45","113311","18590004"
"-1600","0","1","-250","1.75","859","cmn_surfing","1","45","117011","18590005"
"-850","0","6","-125","1.75","859","cmn_surfing","5","44","1","18590006"
"-1100","0","6","-250","1.75","859","cmn_surfing","5","44","2","18590007"
"-1350","0","6","-125","1.75","859","cmn_surfing","5","44","3","18590008"
"-1600","0","6","-250","1.75","859","cmn_surfing","5","44","4","18590009"
"-125","","11","1","1","859","","31","-850","1","18590010"
"-250","","11","1","1","859","","31","-1100","2","18590011"
"-125","","11","1","1","859","","31","-1350","3","18590012"
"-250","","11","1","1","859","","31","-1600","4","18590013"
"6","","113111","","","859","","2","-125","2350","18590014"
"6","","113211","","","859","","2","-250","2100","18590015"
"6","","113311","","","859","","2","-125","1850","18590016"
"6","","117011","","","859","","2","-250","1600","18590017"
"6","","1","","","859","","2","-125","2350","18590018"
"6","","2","","","859","","2","-250","2100","18590019"
"6","","3","","","859","","2","-125","1850","18590020"
"6","","4","","","859","","2","-250","1600","18590021"
"6","","1","","","859","","33","-125","2350","18590022"
"6","","2","","","859","","33","-250","2100","18590023"
"6","","3","","","859","","33","-125","1850","18590024"
"6","","4","","","859","","33","-250","1600","18590025"
"","","se_10053800","","","859","","23","","se_10053800_surfing_wave","18590026"
"","","0.3","","","859","","93","","","18590027"
"0","","vo_fpc","","","859","","21","","vo_fpc_85901","18590028"
"","","se_10053800","","","860","","23","","se_fpc_water_random","18600001"
"-850","0","1","-180","1.75","860","cmn_boat_relax_l","1","23","110011","18600002"
"-1200","0","1","-180","1.75","860","cmn_boat_relax","1","23","110111","18600003"
"-850","0","2","-180","1.75","860","cmn_boat_idle_blue","5","22","1","18600004"
"-1200","0","2","-180","1.75","860","cmn_boat_idle_l","5","22","2","18600005"
"-180","","116","1","1","860","","31","-850","1","18600006"
"-180","","116","1","1","860","","31","-1200","2","18600007"
"13.5","","110011","","","860","","2","-180","1750","18600008"
"13.5","","110111","","","860","","2","-180","1400","18600009"
"13.5","","1","","","860","","2","-180","1750","18600010"
"13.5","","2","","","860","","2","-180","1400","18600011"
"13.5","","1","","","860","","33","-180","1750","18600012"
"13.5","","2","","","860","","33","-180","1400","18600013"
"","","2.7","","","860","","93","","","18600014"
"0","","vo_fpc","","","860","","21","","vo_fpc_86001","18600015"
"","","se_10053800","","","861","","23","","se_fpc_water_random","18610001"
"-850","0","1","-125","1.75","861","cmn_swm_tread","1","13","129511","18610002"
"-1100","0","1","-250","1.75","861","cmn_swm_tread","1","33","129411","18610003"
"-1350","0","1","-125","1.75","861","cmn_swm_tread","1","13","129311","18610004"
"-850","0","1","-125","1.75","861","cmn_swm_tread_pink","5","12","1","18610005"
"-1100","0","1","-250","1.75","861","cmn_swm_tread_blue","5","32","2","18610006"
"-1350","0","1","-125","1.75","861","cmn_swm_tread","5","12","3","18610007"
"-125","","13","1","1","861","","31","-850","1","18610008"
"-250","","3","1","1","861","","31","-1100","2","18610009"
"-125","","13","1","1","861","","31","-1350","3","18610010"
"13.5","","129511","","","861","","2","-125","1750","18610011"
"13.5","","129411","","","861","","2","-250","1500","18610012"
"13.5","","129311","","","861","","2","-125","1250","18610013"
"13.5","","1","","","861","","2","-125","1750","18610014"
"13.5","","2","","","861","","2","-250","1500","18610015"
"13.5","","3","","","861","","2","-125","1250","18610016"
"13.5","","1","","","861","","33","-125","1750","18610017"
"13.5","","2","","","861","","33","-250","1500","18610018"
"13.5","","3","","","861","","33","-125","1250","18610019"
"","","se_10053800","","","862","","23","","se_fpc_water_random","18620001"
"-850","0","1","-125","1.75","862","cmn_swm_tread","1","13","126711","18620002"
"-1100","0","1","-250","1.75","862","cmn_swm_tread","1","33","126811","18620003"
"-1350","0","21","-180","1.66","862","02_neneka_floatRing","5","22","21","18620004"
"-850","0","1","-125","1.75","862","cmn_swm_tread","5","12","1","18620005"
"-1100","0","1","-250","1.75","862","cmn_swm_tread_blue","5","32","2","18620006"
"-125","","13","1","1","862","","31","-850","1","18620007"
"-250","","3","1","1","862","","31","-1100","2","18620008"
"-180","","102","1","1","862","","31","-1350","3","18620009"
"13.5","","126711","","","862","","2","-125","1750","18620010"
"13.5","","126811","","","862","","2","-250","1500","18620011"
"13.5","","21","","","862","","2","-180","1250","18620012"
"13.5","","1","","","862","","2","-125","1750","18620013"
"13.5","","2","","","862","","2","-250","1500","18620014"
"13.5","","1","","","862","","33","-125","1750","18620015"
"13.5","","2","","","862","","33","-250","1500","18620016"
"13.5","","3","","","862","","33","-180","1250","18620017"
"","","se_10053800","","","863","","23","","se_fpc_water_random","18630001"
"-1100","1","1","-180","1.75","863","cmn_float","1","22","126911","18630002"
"-1350","0","1","-125","1.75","863","cmn_float","1","12","127011","18630003"
"-1600","0","1","-180","1.75","863","cmn_float","1","22","127111","18630004"
"-180","","6","1","1","863","","31","-1070","2","18630005"
"-125","","6","1","1","863","","31","-1350","3","18630006"
"-180","","6","1","1","863","","31","-1600","4","18630007"
"13.5","","126911","","","863","","2","-180","1500","18630008"
"13.5","","127011","","","863","","2","-125","1250","18630009"
"13.5","","127111","","","863","","2","-180","1000","18630010"
"13.5","","2","","","863","","33","-180","1530","18630011"
"13.5","","3","","","863","","33","-125","1250","18630012"
"13.5","","4","","","863","","33","-180","1000","18630013"
"","","2.3","","","863","","93","","","18630014"
"0","","vo_fpc","","","863","","21","","vo_fpc_86301","18630015"
"","","se_10053800","","","864","","23","","se_fpc_water_random","18640001"
"-850","0","1","-125","1.75","864","cmn_surfing","1","45","107811","18640002"
"-1100","0","1","-250","1.75","864","cmn_surfing","1","45","110011","18640003"
"-850","0","6","-125","1.75","864","cmn_surfing","5","44","1","18640004"
"-1100","0","6","-250","1.75","864","cmn_surfing","5","44","2","18640005"
"-125","","11","1","1","864","","31","-850","1","18640006"
"-250","","11","1","1","864","","31","-1100","2","18640007"
"6","","107811","","","864","","2","-125","2350","18640008"
"6","","110011","","","864","","2","-250","2100","18640009"
"6","","1","","","864","","2","-125","2350","18640010"
"6","","2","","","864","","2","-250","2100","18640011"
"6","","1","","","864","","33","-125","2350","18640012"
"6","","2","","","864","","33","-250","2100","18640013"
"","","se_10053800","","","864","","23","","se_10053800_surfing_wave","18640014"
"","","0.2","","","864","","93","","","18640015"
"0","","vo_fpc","","","864","","21","","vo_fpc_86401","18640016"
"","","se_10053800","","","865","","23","","se_fpc_water_random","18650001"
"-850","0","1","-125","1.75","865","cmn_swm_flutterKick_floatRing","1","13","110311","18650002"
"-1100","0","1","-250","1.75","865","cmn_swm_flutterKick_floatRing","1","33","113111","18650003"
"-850","0","1","-125","1.75","865","cmn_swm_flutterKick_floatRing_pink","5","12","1","18650004"
"-1100","0","1","-250","1.75","865","cmn_swm_flutterKick_floatRing_blue","5","32","2","18650005"
"-125","","7","1","1","865","","31","-850","1","18650006"
"-250","","1","1","1","865","","31","-1100","2","18650007"
"10","","110311","","","865","","2","-125","1750","18650008"
"10","","113111","","","865","","2","-250","1500","18650009"
"10","","1","","","865","","2","-125","1750","18650010"
"10","","2","","","865","","2","-250","1500","18650011"
"10","","1","","","865","","33","-125","1750","18650012"
"10","","2","","","865","","33","-250","1500","18650013"
"","","se_10053800","","","866","","23","","se_fpc_water_random","18660001"
"-850","0","1","-125","1.75","866","cmn_swm_flutterKick_floatRing","1","13","113411","18660002"
"-1100","0","1","-250","1.75","866","cmn_swm_flutterKick_floatRing","1","33","115711","18660003"
"-850","0","1","-125","1.75","866","cmn_swm_flutterKick_floatRing_pink","5","12","1","18660004"
"-1100","0","1","-250","1.75","866","cmn_swm_flutterKick_floatRing_blue","5","32","2","18660005"
"-125","","7","1","1","866","","31","-850","1","18660006"
"-250","","1","1","1","866","","31","-1100","2","18660007"
"10","","113411","","","866","","2","-125","1750","18660008"
"10","","115711","","","866","","2","-250","1500","18660009"
"10","","1","","","866","","2","-125","1750","18660010"
"10","","2","","","866","","2","-250","1500","18660011"
"10","","1","","","866","","33","-125","1750","18660012"
"10","","2","","","866","","33","-250","1500","18660013"
"","","se_10053800","","","867","","23","","se_fpc_water_random","18670001"
"-850","0","1","-125","1.75","867","cmn_swm_tread","1","13","113211","18670002"
"-1100","0","1","-250","1.75","867","cmn_swm_tread","1","33","127111","18670003"
"-850","0","1","-125","1.75","867","cmn_swm_tread_pink","5","12","1","18670004"
"-1100","0","1","-250","1.75","867","cmn_swm_tread_blue","5","32","2","18670005"
"-125","","13","1","1","867","","31","-850","1","18670006"
"-250","","3","1","1","867","","31","-1100","2","18670007"
"13.5","","113211","","","867","","2","-125","1750","18670008"
"13.5","","127111","","","867","","2","-250","1500","18670009"
"13.5","","1","","","867","","2","-125","1750","18670010"
"13.5","","2","","","867","","2","-250","1500","18670011"
"13.5","","1","","","867","","33","-125","1750","18670012"
"13.5","","2","","","867","","33","-250","1500","18670013"
"","","se_10053800","","","868","","23","","se_fpc_water_random","18680001"
"-850","0","1","-125","1.75","868","cmn_swm_diving","1","12","117011","18680002"
"-1100","0","1","-180","1.75","868","cmn_swm_diving","1","22","117111","18680003"
"-125","","9","1","1","868","","31","-850","1","18680004"
"-180","","9","1","1","868","","31","-1100","2","18680005"
"13.5","","117011","","","868","","2","-125","1750","18680006"
"13.5","","117111","","","868","","2","-180","1500","18680007"
"13.5","","1","","","868","","33","-125","1750","18680008"
"13.5","","2","","","868","","33","-180","1500","18680009"
"","","se_10053800","","","869","","23","","se_fpc_water_random","18690001"
"-850","0","1","-125","1.75","869","cmn_swm_flutterKick_floatRing","1","13","110511","18690002"
"-1100","0","1","-250","1.75","869","cmn_swm_flutterKick_floatRing","1","33","110011","18690003"
"-850","0","1","-125","1.75","869","cmn_swm_flutterKick_floatBoad","5","12","1","18690004"
"-1100","0","1","-250","1.75","869","cmn_swm_flutterKick_floatBoad_blue","5","32","2","18690005"
"-125","","7","1","1","869","","31","-850","1","18690006"
