e1beabb179d8316cfc6e16207ca9559ee05c09aac8831329e23ab63865edc020,76d6a7ed3a41505085a388789785a5c0f72e36f0d4e9e5e08ca260af6c544a6c,83bb8d51dcdf1a2d9ec4836eab4326c073d83b3e29422891198878c192af8f9a,28596a9bb46e1988502c659372ed77f7856248ede33961248c2e48642c2159f6,01d6d5c317e12bd4e90a6ebe3b9683a379ca09df6defcf42814ee425372655e8,8c7f664e3f0ed82e2d0ccbf60401982388e3b7997a965b3a2dc1a2f0a274b8b3,a844a0c09f11f852b6554f80c26e3aa0a8f0a767783ca75b15e2c6462d135c80,6efbf240f1154f92c48a0cb0448a39e871b8b28367e371279f1974e37e4d43d4,4ebb787918cf237a3162268d14d6e8b994682fbd1f3a77325ce1d662af22d697,e41493775cc73bf17141969ec08f35f2be218c0ebee34f7ae6c53e3da3fa92b4,3ac124372c0897224a5cdd74c02e1b895a8f88ea0c99fccb892106c71f6160cd,1b75b57659375c92c389ea99234bb3b5091b9e58c2edaa02870f788db876f98e
"260312012","53","0","600","バトルアリーナかプリンセスアリーナで合計20回戦おう","20","2","4","26031","2026/03/01 05:00:00","2026/03/28 04:59:59","20"
"260312013","50","0","200","深域クエストを50回クリアしよう","50","2","4","26031","2026/03/01 05:00:00","2026/03/28 04:59:59","21"
"260312014","50","0","400","深域クエストを100回クリアしよう","100","2","4","26031","2026/03/01 05:00:00","2026/03/28 04:59:59","22"
"260312015","50","0","600","深域クエストを250回クリアしよう","250","2","4","26031","2026/03/01 05:00:00","2026/03/28 04:59:59","23"
"260312016","54","0","500","黎明界ラビリンスをスキップせずに1回クリアしよう","1","2","4","26031","2026/03/01 05:00:00","2026/03/28 04:59:59","24"
"260312017","66","0","100","次元断層で1回勝利しよう（トレジャークエストは除く）","1","3","5","26031","2026/03/10 12:00:00","2026/03/15 20:59:59","201"
"260312018","66","0","100","次元断層で5回勝利しよう（トレジャークエストは除く）","5","3","5","26031","2026/03/10 12:00:00","2026/03/15 20:59:59","202"
"260312019","66","0","200","次元断層で10回勝利しよう（トレジャークエストは除く）","10","3","5","26031","2026/03/10 12:00:00","2026/03/15 20:59:59","203"
"260312020","66","0","300","次元断層で15回勝利しよう（トレジャークエストは除く）","15","3","5","26031","2026/03/10 12:00:00","2026/03/15 20:59:59","204"
"260312021","66","0","400","次元断層で20回勝利しよう（トレジャークエストは除く）","20","3","5","26031","2026/03/10 12:00:00","2026/03/15 20:59:59","205"
"260312022","66","0","500","次元断層で25回勝利しよう（トレジャークエストは除く）","25","3","5","26031","2026/03/10 12:00:00","2026/03/15 20:59:59","206"
"260312023","58","0","500","クランバトルに合計3回挑戦しよう","3","3","5","26031","2026/03/26 05:00:00","2026/03/30 23:59:59","501"
"260312024","58","0","500","クランバトルに合計6回挑戦しよう","6","3","5","26031","2026/03/26 05:00:00","2026/03/30 23:59:59","502"
"260312025","58","0","500","クランバトルに合計9回挑戦しよう","9","3","5","26031","2026/03/26 05:00:00","2026/03/30 23:59:59","503"
"260312026","58","0","500","クランバトルに合計12回挑戦しよう","12","3","5","26031","2026/03/26 05:00:00","2026/03/30 23:59:59","504"
"260312027","58","0","1000","クランバトルに合計15回挑戦しよう","15","3","5","26031","2026/03/26 05:00:00","2026/03/30 23:59:59","505"
"260312028","59","0","100","深淵討伐戦でボスに10回挑戦しよう","10","3","5","26031","2026/03/04 12:00:00","2026/03/09 04:59:59","101"
"260312029","59","0","200","深淵討伐戦でボスに20回挑戦しよう","20","3","5","26031","2026/03/04 12:00:00","2026/03/09 04:59:59","102"
"260312030","59","0","300","深淵討伐戦でボスに30回挑戦しよう","30","3","5","26031","2026/03/04 12:00:00","2026/03/09 04:59:59","103"
"260312031","59","0","400","深淵討伐戦でボスに40回挑戦しよう","40","3","5","26031","2026/03/04 12:00:00","2026/03/09 04:59:59","104"
"260312032","59","0","500","深淵討伐戦でボスに50回挑戦しよう","50","3","5","26031","2026/03/04 12:00:00","2026/03/09 04:59:59","105"
"260312033","59","0","1000","深淵討伐戦でボスに60回挑戦しよう","60","3","5","26031","2026/03/04 12:00:00","2026/03/09 04:59:59","106"
"260312034","60","1000000000","100","深淵討伐戦で10億Pt獲得しよう","1","3","5","26031","2026/03/04 12:00:00","2026/03/09 04:59:59","107"
"260312035","60","5000000000","200","深淵討伐戦で50億Pt獲得しよう","1","3","5","26031","2026/03/04 12:00:00","2026/03/09 04:59:59","108"
"260312036","60","10000000000","300","深淵討伐戦で100億Pt獲得しよう","1","3","5","26031","2026/03/04 12:00:00","2026/03/09 04:59:59","109"
"260312037","60","15000000000","400","深淵討伐戦で150億Pt獲得しよう","1","3","5","26031","2026/03/04 12:00:00","2026/03/09 04:59:59","110"
"260312038","60","20000000000","500","深淵討伐戦で200億Pt獲得しよう","1","3","5","26031","2026/03/04 12:00:00","2026/03/09 04:59:59","111"
"260312039","60","50000000000","1000","深淵討伐戦で500億Pt獲得しよう","1","3","5","26031","2026/03/04 12:00:00","2026/03/09 04:59:59","112"
"260312040","61","0","100","イベントクエストを合計10回クリアしよう（復刻は除く）","10","3","5","26031","2026/02/28 12:00:00","2026/03/23 04:59:59","401"
"260312041","61","0","200","イベントクエストを合計30回クリアしよう（復刻は除く）","30","3","5","26031","2026/02/28 12:00:00","2026/03/23 04:59:59","402"
"260312042","61","0","300","イベントクエストを合計50回クリアしよう（復刻は除く）","50","3","5","26031","2026/02/28 12:00:00","2026/03/23 04:59:59","403"
"260312043","61","0","400","イベントクエストを合計100回クリアしよう（復刻は除く）","100","3","5","26031","2026/02/28 12:00:00","2026/03/23 04:59:59","404"
"260312044","61","0","1000","イベントクエストを合計150回クリアしよう（復刻は除く）","150","3","5","26031","2026/02/28 12:00:00","2026/03/23 04:59:59","405"
"260312045","62","0","1000","ストーリーイベントのボスバトル(SCENARIO)をクリアしよう（復刻は除く）","1","3","5","26031","2026/02/28 12:00:00","2026/03/23 04:59:59","406"
"260312046","63","0","1000","ストーリーイベントのボスバトル(SPECIAL)をクリアしよう（復刻は除く）","1","3","5","26031","2026/02/28 12:00:00","2026/03/23 04:59:59","407"
"260312047","64","5214007","1000","ストーリーイベントの最終話を閲覧しよう（復刻は除く）","1","3","5","26031","2026/02/28 12:00:00","2026/03/23 04:59:59","408"
"260312048","70","0","1000","エルピス討魔戦線でボスバトルを30回クリアしよう","30","3","5","26031","2026/03/16 12:00:00","2026/03/21 04:59:59","301"
"260312049","70","0","2000","エルピス討魔戦線でボスバトルを75回クリアしよう","75","3","5","26031","2026/03/16 12:00:00","2026/03/21 04:59:59","302"
"260312050","71","0","500","追憶の戦域 追憶戦・覇を3回クリアしよう","3","3","5","26031","2026/03/02 12:00:00","2026/03/31 04:59:59","601"
"260312051","71","0","750","追憶の戦域 追憶戦・覇を6回クリアしよう","6","3","5","26031","2026/03/02 12:00:00","2026/03/31 04:59:59","602"
"260312052","71","0","1000","追憶の戦域 追憶戦・覇を9回クリアしよう","9","3","5","26031","2026/03/02 12:00:00","2026/03/31 04:59:59","603"
"260312053","71","0","1250","追憶の戦域 追憶戦・覇を12回クリアしよう","12","3","5","26031","2026/03/02 12:00:00","2026/03/31 04:59:59","604"
"260312054","71","0","1500","追憶の戦域 追憶戦・覇を18回クリアしよう","18","3","5","26031","2026/03/02 12:00:00","2026/03/31 04:59:59","605"
"260312055","71","0","2000","追憶の戦域 追憶戦・覇を27回クリアしよう","27","3","5","26031","2026/03/02 12:00:00","2026/03/31 04:59:59","606"
"260412001","44","0","500","ゲームに合計5回ログインしよう","5","2","4","26041","2026/03/31 05:00:00","2026/04/28 04:59:59","11"
"260412002","46","0","200","スタミナを合計1000消費しよう","1000","2","4","26041","2026/03/01 05:00:00","2026/04/28 04:59:59","12"
"260412003","46","0","400","スタミナを合計3000消費しよう","3000","2","4","26041","2026/03/01 05:00:00","2026/04/28 04:59:59","13"
"260412004","46","0","600","スタミナを合計5000消費しよう","5000","2","4","26041","2026/03/01 05:00:00","2026/04/28 04:59:59","14"
"260412005","53","0","200","バトルアリーナかプリンセスアリーナで合計5回戦おう","5","2","4","26041","2026/03/01 05:00:00","2026/04/28 04:59:59","18"
"260412006","53","0","400","バトルアリーナかプリンセスアリーナで合計10回戦おう","10","2","4","26041","2026/03/01 05:00:00","2026/04/28 04:59:59","19"
"260412007","53","0","600","バトルアリーナかプリンセスアリーナで合計20回戦おう","20","2","4","26041","2026/03/01 05:00:00","2026/04/28 04:59:59","20"
"260412008","50","0","200","深域クエストを50回クリアしよう","50","2","4","26041","2026/03/01 05:00:00","2026/04/28 04:59:59","21"
"260412009","50","0","400","深域クエストを100回クリアしよう","100","2","4","26041","2026/03/01 05:00:00","2026/04/28 04:59:59","22"
"260412010","50","0","600","深域クエストを250回クリアしよう","250","2","4","26041","2026/03/01 05:00:00","2026/04/28 04:59:59","23"
"260412011","54","0","500","黎明界ラビリンスをスキップせずに1回クリアしよう","1","2","4","26041","2026/03/01 05:00:00","2026/04/28 04:59:59","24"
"260412012","59","0","100","深淵討伐戦でボスに10回挑戦しよう","10","3","5","26041","2026/04/04 12:00:00","2026/04/09 04:59:59","101"
"260412013","59","0","200","深淵討伐戦でボスに20回挑戦しよう","20","3","5","26041","2026/04/04 12:00:00","2026/04/09 04:59:59","102"
"260412014","59","0","300","深淵討伐戦でボスに30回挑戦しよう","30","3","5","26041","2026/04/04 12:00:00","2026/04/09 04:59:59","103"
"260412015","59","0","400","深淵討伐戦でボスに40回挑戦しよう","40","3","5","26041","2026/04/04 12:00:00","2026/04/09 04:59:59","104"
"260412016","59","0","500","深淵討伐戦でボスに50回挑戦しよう","50","3","5","26041","2026/04/04 12:00:00","2026/04/09 04:59:59","105"
"260412017","59","0","1000","深淵討伐戦でボスに60回挑戦しよう","60","3","5","26041","2026/04/04 12:00:00","2026/04/09 04:59:59","106"
"260412018","60","1000000000","100","深淵討伐戦で10億Pt獲得しよう","1","3","5","26041","2026/04/04 12:00:00","2026/04/09 04:59:59","107"
"260412019","60","5000000000","200","深淵討伐戦で50億Pt獲得しよう","1","3","5","26041","2026/04/04 12:00:00","2026/04/09 04:59:59","108"
"260412020","60","10000000000","300","深淵討伐戦で100億Pt獲得しよう","1","3","5","26041","2026/04/04 12:00:00","2026/04/09 04:59:59","109"
"260412021","60","15000000000","400","深淵討伐戦で150億Pt獲得しよう","1","3","5","26041","2026/04/04 12:00:00","2026/04/09 04:59:59","110"
"260412022","60","20000000000","500","深淵討伐戦で200億Pt獲得しよう","1","3","5","26041","2026/04/04 12:00:00","2026/04/09 04:59:59","111"
"260412023","60","50000000000","1000","深淵討伐戦で500億Pt獲得しよう","1","3","5","26041","2026/04/04 12:00:00","2026/04/09 04:59:59","112"
"260412024","57","0","100","バトルスタジアムで★を合計9個獲得しよう","9","3","5","26041","2026/04/10 12:00:00","2026/04/14 20:59:59","201"
"260412025","57","0","100","バトルスタジアムで★を合計18個獲得しよう","18","3","5","26041","2026/04/10 12:00:00","2026/04/14 20:59:59","202"
"260412026","57","0","200","バトルスタジアムで★を合計27個獲得しよう","27","3","5","26041","2026/04/10 12:00:00","2026/04/14 20:59:59","203"
"260412027","57","0","300","バトルスタジアムで★を合計36個獲得しよう","36","3","5","26041","2026/04/10 12:00:00","2026/04/14 20:59:59","204"
"260412028","57","0","400","バトルスタジアムで★を合計45個獲得しよう","45","3","5","26041","2026/04/10 12:00:00","2026/04/14 20:59:59","205"
"260412029","57","0","500","バトルスタジアムで★を合計54個獲得しよう","54","3","5","26041","2026/04/10 12:00:00","2026/04/14 20:59:59","206"
"260412030","70","0","1000","エルピス討魔戦線でボスバトルを30回クリアしよう","30","3","5","26041","2026/04/15 12:00:00","2026/04/20 04:59:59","301"
"260412031","70","0","2000","エルピス討魔戦線でボスバトルを75回クリアしよう","75","3","5","26041","2026/04/15 12:00:00","2026/04/20 04:59:59","302"
"260412032","61","0","100","イベントクエストを合計10回クリアしよう（復刻は除く）","10","3","5","26041","2026/03/31 12:00:00","2026/04/23 04:59:59","401"
"260412033","61","0","200","イベントクエストを合計30回クリアしよう（復刻は除く）","30","3","5","26041","2026/03/31 12:00:00","2026/04/23 04:59:59","402"
"260412034","61","0","300","イベントクエストを合計50回クリアしよう（復刻は除く）","50","3","5","26041","2026/03/31 12:00:00","2026/04/23 04:59:59","403"
"260412035","61","0","400","イベントクエストを合計100回クリアしよう（復刻は除く）","100","3","5","26041","2026/03/31 12:00:00","2026/04/23 04:59:59","404"
"260412036","61","0","1000","イベントクエストを合計150回クリアしよう（復刻は除く）","150","3","5","26041","2026/03/31 12:00:00","2026/04/23 04:59:59","405"
"260412037","62","0","1000","ストーリーイベントのボスバトル(SCENARIO)をクリアしよう（復刻は除く）","1","3","5","26041","2026/03/31 12:00:00","2026/04/23 04:59:59","406"
"260412038","63","0","1000","ストーリーイベントのボスバトル(SPECIAL)をクリアしよう（復刻は除く）","1","3","5","26041","2026/03/31 12:00:00","2026/04/23 04:59:59","407"
"260412039","64","5215007","1000","ストーリーイベントの最終話を閲覧しよう（復刻は除く）","1","3","5","26041","2026/03/31 12:00:00","2026/04/23 04:59:59","408"
"260412040","58","0","500","クランバトルに合計3回挑戦しよう","3","3","5","26041","2026/04/25 05:00:00","2026/04/29 23:59:59","501"
"260412041","58","0","500","クランバトルに合計6回挑戦しよう","6","3","5","26041","2026/04/25 05:00:00","2026/04/29 23:59:59","502"
"260412042","58","0","500","クランバトルに合計9回挑戦しよう","9","3","5","26041","2026/04/25 05:00:00","2026/04/29 23:59:59","503"
"260412043","58","0","500","クランバトルに合計12回挑戦しよう","12","3","5","26041","2026/04/25 05:00:00","2026/04/29 23:59:59","504"
"260412044","58","0","1000","クランバトルに合計15回挑戦しよう","15","3","5","26041","2026/04/25 05:00:00","2026/04/29 23:59:59","505"
"260412045","71","0","500","追憶の戦域 追憶戦・覇を3回クリアしよう","3","3","5","26041","2026/04/06 12:00:00","2026/04/30 04:59:59","601"
"260412046","71","0","750","追憶の戦域 追憶戦・覇を6回クリアしよう","6","3","5","26041","2026/04/06 12:00:00","2026/04/30 04:59:59","602"
"260412047","71","0","1000","追憶の戦域 追憶戦・覇を9回クリアしよう","9","3","5","26041","2026/04/06 12:00:00","2026/04/30 04:59:59","603"
"260412048","71","0","1250","追憶の戦域 追憶戦・覇を12回クリアしよう","12","3","5","26041","2026/04/06 12:00:00","2026/04/30 04:59:59","604"
"260412049","71","0","1500","追憶の戦域 追憶戦・覇を18回クリアしよう","18","3","5","26041","2026/04/06 12:00:00","2026/04/30 04:59:59","605"
"260412050","71","0","2000","追憶の戦域 追憶戦・覇を27回クリアしよう","27","3","5","26041","2026/04/06 12:00:00","2026/04/30 04:59:59","606"
"260512001","44","0","500","ゲームに合計5回ログインしよう","5","2","4","26051","2026/04/30 05:00:00","2026/05/28 04:59:59","11"
"260512002","46","0","200","スタミナを合計1000消費しよう","1000","2","4","26051","2026/04/30 05:00:00","2026/05/28 04:59:59","12"
"260512003","46","0","400","スタミナを合計3000消費しよう","3000","2","4","26051","2026/04/30 05:00:00","2026/05/28 04:59:59","13"
"260512004","46","0","600","スタミナを合計5000消費しよう","5000","2","4","26051","2026/04/30 05:00:00","2026/05/28 04:59:59","14"
"260512005","53","0","200","バトルアリーナかプリンセスアリーナで合計5回戦おう","5","2","4","26051","2026/04/30 05:00:00","2026/05/28 04:59:59","18"
"260512006","53","0","400","バトルアリーナかプリンセスアリーナで合計10回戦おう","10","2","4","26051","2026/04/30 05:00:00","2026/05/28 04:59:59","19"
"260512007","53","0","600","バトルアリーナかプリンセスアリーナで合計20回戦おう","20","2","4","26051","2026/04/30 05:00:00","2026/05/28 04:59:59","20"
"260512008","50","0","200","深域クエストを50回クリアしよう","50","2","4","26051","2026/04/30 05:00:00","2026/05/28 04:59:59","21"
"260512009","50","0","400","深域クエストを100回クリアしよう","100","2","4","26051","2026/04/30 05:00:00","2026/05/28 04:59:59","22"
"260512010","50","0","600","深域クエストを250回クリアしよう","250","2","4","26051","2026/04/30 05:00:00","2026/05/28 04:59:59","23"
"260512011","54","0","500","黎明界ラビリンスをスキップせずに1回クリアしよう","1","2","4","26051","2026/04/30 05:00:00","2026/05/28 04:59:59","24"
"260512012","59","0","100","深淵討伐戦でボスに10回挑戦しよう","10","3","5","26051","2026/05/04 12:00:00","2026/05/09 04:59:59","101"
"260512013","59","0","200","深淵討伐戦でボスに20回挑戦しよう","20","3","5","26051","2026/05/04 12:00:00","2026/05/09 04:59:59","102"
"260512014","59","0","300","深淵討伐戦でボスに30回挑戦しよう","30","3","5","26051","2026/05/04 12:00:00","2026/05/09 04:59:59","103"
"260512015","59","0","400","深淵討伐戦でボスに40回挑戦しよう","40","3","5","26051","2026/05/04 12:00:00","2026/05/09 04:59:59","104"
"260512016","59","0","500","深淵討伐戦でボスに50回挑戦しよう","50","3","5","26051","2026/05/04 12:00:00","2026/05/09 04:59:59","105"
"260512017","59","0","1000","深淵討伐戦でボスに60回挑戦しよう","60","3","5","26051","2026/05/04 12:00:00","2026/05/09 04:59:59","106"
"260512018","60","1000000000","100","深淵討伐戦で10億Pt獲得しよう","1","3","5","26051","2026/05/04 12:00:00","2026/05/09 04:59:59","107"
"260512019","60","5000000000","200","深淵討伐戦で50億Pt獲得しよう","1","3","5","26051","2026/05/04 12:00:00","2026/05/09 04:59:59","108"
"260512020","60","10000000000","300","深淵討伐戦で100億Pt獲得しよう","1","3","5","26051","2026/05/04 12:00:00","2026/05/09 04:59:59","109"
"260512021","60","15000000000","400","深淵討伐戦で150億Pt獲得しよう","1","3","5","26051","2026/05/04 12:00:00","2026/05/09 04:59:59","110"
"260512022","60","20000000000","500","深淵討伐戦で200億Pt獲得しよう","1","3","5","26051","2026/05/04 12:00:00","2026/05/09 04:59:59","111"
"260512023","60","50000000000","1000","深淵討伐戦で500億Pt獲得しよう","1","3","5","26051","2026/05/04 12:00:00","2026/05/09 04:59:59","112"
"260512024","57","0","100","バトルスタジアムで★を合計9個獲得しよう","9","3","5","26051","2026/05/11 12:00:00","2026/05/15 20:59:59","201"
"260512025","57","0","100","バトルスタジアムで★を合計18個獲得しよう","18","3","5","26051","2026/05/11 12:00:00","2026/05/15 20:59:59","202"
"260512026","57","0","200","バトルスタジアムで★を合計27個獲得しよう","27","3","5","26051","2026/05/11 12:00:00","2026/05/15 20:59:59","203"
"260512027","57","0","300","バトルスタジアムで★を合計36個獲得しよう","36","3","5","26051","2026/05/11 12:00:00","2026/05/15 20:59:59","204"
"260512028","57","0","400","バトルスタジアムで★を合計45個獲得しよう","45","3","5","26051","2026/05/11 12:00:00","2026/05/15 20:59:59","205"
"260512029","57","0","500","バトルスタジアムで★を合計54個獲得しよう","54","3","5","26051","2026/05/11 12:00:00","2026/05/15 20:59:59","206"
"260512030","31","30002","1000","レイドバトルでボスを合計5回倒そう（全難易度共通）","5","3","5","26051","2026/05/15 12:00:00","2026/05/23 04:59:59","301"
"260512031","31","30002","2000","レイドバトルでボスを合計25回倒そう（全難易度共通）","25","3","5","26051","2026/05/15 12:00:00","2026/05/23 04:59:59","302"
"260512032","61","0","100","イベントクエストを合計10回クリアしよう（復刻は除く）","10","3","5","26051","2026/04/30 12:00:00","2026/05/23 04:59:59","401"
"260512033","61","0","200","イベントクエストを合計30回クリアしよう（復刻は除く）","30","3","5","26051","2026/04/30 12:00:00","2026/05/23 04:59:59","402"
"260512034","61","0","300","イベントクエストを合計50回クリアしよう（復刻は除く）","50","3","5","26051","2026/04/30 12:00:00","2026/05/23 04:59:59","403"
"260512035","61","0","400","イベントクエストを合計100回クリアしよう（復刻は除く）","100","3","5","26051","2026/04/30 12:00:00","2026/05/23 04:59:59","404"
"260512036","61","0","1000","イベントクエストを合計150回クリアしよう（復刻は除く）","150","3","5","26051","2026/04/30 12:00:00","2026/05/23 04:59:59","405"
"260512037","62","0","1000","ストーリーイベントのボスバトル(SCENARIO)をクリアしよう（復刻は除く）","1","3","5","26051","2026/04/30 12:00:00","2026/05/23 04:59:59","406"
"260512038","63","0","1000","ストーリーイベントのボスバトル(SPECIAL)をクリアしよう（復刻は除く）","1","3","5","26051","2026/04/30 12:00:00","2026/05/23 04:59:59","407"
"260512039","64","5216008","1000","ストーリーイベントの最終話を閲覧しよう（復刻は除く）","1","3","5","26051","2026/04/30 12:00:00","2026/05/23 04:59:59","408"
"260512040","58","0","500","クランバトルに合計3回挑戦しよう","3","3","5","26051","2026/05/26 05:00:00","2026/05/30 23:59:59","501"
"260512041","58","0","500","クランバトルに合計6回挑戦しよう","6","3","5","26051","2026/05/26 05:00:00","2026/05/30 23:59:59","502"
"260512042","58","0","500","クランバトルに合計9回挑戦しよう","9","3","5","26051","2026/05/26 05:00:00","2026/05/30 23:59:59","503"
"260512043","58","0","500","クランバトルに合計12回挑戦しよう","12","3","5","26051","2026/05/26 05:00:00","2026/05/30 23:59:59","504"
"260512044","58","0","1000","クランバトルに合計15回挑戦しよう","15","3","5","26051","2026/05/26 05:00:00","2026/05/30 23:59:59","505"
"260512045","71","0","500","追憶の戦域 追憶戦・覇を3回クリアしよう","3","3","5","26051","2026/05/04 12:00:00","2026/05/31 04:59:59","601"
"260512046","71","0","750","追憶の戦域 追憶戦・覇を6回クリアしよう","6","3","5","26051","2026/05/04 12:00:00","2026/05/31 04:59:59","602"
"260512047","71","0","1000","追憶の戦域 追憶戦・覇を9回クリアしよう","9","3","5","26051","2026/05/04 12:00:00","2026/05/31 04:59:59","603"
"260512048","71","0","1250","追憶の戦域 追憶戦・覇を12回クリアしよう","12","3","5","26051","2026/05/04 12:00:00","2026/05/31 04:59:59","604"
"260512049","71","0","1500","追憶の戦域 追憶戦・覇を18回クリアしよう","18","3","5","26051","2026/05/04 12:00:00","2026/05/31 04:59:59","605"
"260512050","71","0","2000","追憶の戦域 追憶戦・覇を27回クリアしよう","27","3","5","26051","2026/05/04 12:00:00","2026/05/31 04:59:59","606"
"260612001","44","0","500","ゲームに合計5回ログインしよう","5","2","4","26061","2026/05/31 05:00:00","2026/06/28 04:59:59","11"
"260612002","46","0","200","スタミナを合計1000消費しよう","1000","2","4","26061","2026/05/31 05:00:00","2026/06/28 04:59:59","12"
"260612003","46","0","400","スタミナを合計3000消費しよう","3000","2","4","26061","2026/05/31 05:00:00","2026/06/28 04:59:59","13"
"260612004","46","0","600","スタミナを合計5000消費しよう","5000","2","4","26061","2026/05/31 05:00:00","2026/06/28 04:59:59","14"
"260612005","53","0","200","バトルアリーナかプリンセスアリーナで合計5回戦おう","5","2","4","26061","2026/05/31 05:00:00","2026/06/28 04:59:59","18"
"260612006","53","0","400","バトルアリーナかプリンセスアリーナで合計10回戦おう","10","2","4","26061","2026/05/31 05:00:00","2026/06/28 04:59:59","19"
"260612007","53","0","600","バトルアリーナかプリンセスアリーナで合計20回戦おう","20","2","4","26061","2026/05/31 05:00:00","2026/06/28 04:59:59","20"
"260612008","50","0","200","深域クエストを50回クリアしよう","50","2","4","26061","2026/05/31 05:00:00","2026/06/28 04:59:59","21"
"260612009","50","0","400","深域クエストを100回クリアしよう","100","2","4","26061","2026/05/31 05:00:00","2026/06/28 04:59:59","22"
"260612010","50","0","600","深域クエストを250回クリアしよう","250","2","4","26061","2026/05/31 05:00:00","2026/06/28 04:59:59","23"
"260612011","54","0","500","黎明界ラビリンスをスキップせずに1回クリアしよう","1","2","4","26061","2026/05/31 05:00:00","2026/06/28 04:59:59","24"
"260612012","59","0","100","深淵討伐戦でボスに10回挑戦しよう","10","3","5","26061","2026/06/04 12:00:00","2026/06/09 04:59:59","101"
"260612013","59","0","200","深淵討伐戦でボスに20回挑戦しよう","20","3","5","26061","2026/06/04 12:00:00","2026/06/09 04:59:59","102"
"260612014","59","0","300","深淵討伐戦でボスに30回挑戦しよう","30","3","5","26061","2026/06/04 12:00:00","2026/06/09 04:59:59","103"
"260612015","59","0","400","深淵討伐戦でボスに40回挑戦しよう","40","3","5","26061","2026/06/04 12:00:00","2026/06/09 04:59:59","104"
"260612016","59","0","500","深淵討伐戦でボスに50回挑戦しよう","50","3","5","26061","2026/06/04 12:00:00","2026/06/09 04:59:59","105"
"260612017","59","0","1000","深淵討伐戦でボスに60回挑戦しよう","60","3","5","26061","2026/06/04 12:00:00","2026/06/09 04:59:59","106"
"260612018","60","1000000000","100","深淵討伐戦で10億Pt獲得しよう","1","3","5","26061","2026/06/04 12:00:00","2026/06/09 04:59:59","107"
"260612019","60","5000000000","200","深淵討伐戦で50億Pt獲得しよう","1","3","5","26061","2026/06/04 12:00:00","2026/06/09 04:59:59","108"
"260612020","60","10000000000","300","深淵討伐戦で100億Pt獲得しよう","1","3","5","26061","2026/06/04 12:00:00","2026/06/09 04:59:59","109"
"260612021","60","15000000000","400","深淵討伐戦で150億Pt獲得しよう","1","3","5","26061","2026/06/04 12:00:00","2026/06/09 04:59:59","110"
"260612022","60","20000000000","500","深淵討伐戦で200億Pt獲得しよう","1","3","5","26061","2026/06/04 12:00:00","2026/06/09 04:59:59","111"
"260612023","60","50000000000","1000","深淵討伐戦で500億Pt獲得しよう","1","3","5","26061","2026/06/04 12:00:00","2026/06/09 04:59:59","112"
"260612024","65","0","150","スペシャルダンジョンのバトルを10回クリアしよう","10","3","5","26061","2026/06/17 12:00:00","2026/06/22 04:59:59","201"
