7f223e859bdb1407ba363e07f3f0b2bd685c658f7f2ccb040e8aa1a03f2142df,d867c461ca5288a3edb4884a1ecddb50bb8dbb88dda71b5deccb10c23b1a8948,10ef2a09fbab93a5bd428cf9845916630325791315501162f918ce42a8f79631,10216d95b2c97b7482e388b306c7c98cb54efd116a5c6b3cfd63a911c69b48ec,bff103eb19bb2471ba35c9080bd961fdf09ab3113bc80f2666a739d24ed9dfce,91032c72c36d9dec09077c5a107db1f106fff739082ea7a1b0f295f23db6617d,500f40a9ce778431cd5ae7a85ea78b9ba4128fde53910b2e9ac0f694ec86e0e9,a4542bd1a7ace5025777419d4b23030ae00526c28f15ece7f61f4feaa2ee2b12,4cefa1a4ed6a2b1cc1053ef0e1509c67b6f1e476fcd1f0bd97174d1602fcbab7,5428b9272cb3a65186f0c044f2fd288c79c8f5b5ccbd34917b2bbc52c35ec587,3203aa38061a042b6ef570ad93ef2a5f6b7aabc7998878abff1ef79ae4f01e5d
"","61110","","","0108_out","203","3","","0","0","5146061"
"","61111","","","0","0.2","93","","","","5146061"
"0","61112","0","","315","201","2","","","16","5146061"
"","61113","","","30","30","122","","","0.5","5146061"
"","61114","0","","vo_apg_0109","vo_apg","21","","","0","5146061"
"","61115","","","0109_in","201","3","","0","0","5146061"
"","61116","","","1","1.1","93","","","","5146061"
"","61117","","","0109_mid","201","3","","0","0","5146061"
"","61118","","","","","92","","","","5146061"
"","61119","","","0109_out","201","3","","0","0","5146061"
"","61120","","","0","0.2","93","","","","5146061"
"","61121","","","30","30","122","","","0.5","5146061"
"","61122","0","","vo_apg_0110","vo_apg","21","","","0","5146061"
"","61123","","","0107_in","202","3","","0","0","5146061"
"","61124","","","0108_in","203","3","","0","0","5146061"
"","61125","","","0109_in","201","3","","0","0","5146061"
"","61126","","","1","1.1","93","","","","5146061"
"","61127","","","0107_mid","202","3","","0","0","5146061"
"","61128","","","0108_mid","203","3","","0","0","5146061"
"","61129","","","0109_mid","201","3","","0","0","5146061"
"","61130","","","","","92","","","","5146061"
"","61131","","","0107_out","202","3","","0","0","5146061"
"","61132","","","0108_out","203","3","","0","0","5146061"
"","61133","","","0109_out","201","3","","0","0","5146061"
"","61134","","","0","0.2","93","","","","5146061"
"0","61135","0","","216","201","2","","","0","5146061"
"","61136","0","","vo_apg_0111","vo_apg","21","","","0","5146061"
"","61137","","","0111_in","201","3","","0","0","5146061"
"","61138","","","1","1.8","93","","","","5146061"
"","61139","","","0111_mid","201","3","","0","0","5146061"
"","61140","","","","","92","","","","5146061"
"","61141","","","0111_out","201","3","","0","0","5146061"
"","61142","","","0","0.2","93","","","","5146061"
"","61143","","","0","0","22","","","","5146061"
"","61144","","","","0.5","93","","","","5146061"
"","61145","","","1","11","32","","","","5146061"
"","61146","","","se_10055900_camera","se_10055900","23","","","0","5146061"
"","61147","","","0","0.2","93","","","","5146061"
"","61148","","","0","10","32","","","","5146061"
"","61149","","","0","1.8","93","","","","5146061"
"","61150","","","0.5","se_10055900_coaster_02","24","","","","5146061"
"","61151","","","iris_out","2","37","","","","5146061"
"0","61152","0","","129","106011","2","","","-278","5146061"
"0","61153","0","","129","1060","2","","","-278","5146061"
"0","61154","0","","-34","105811","2","","","-278","5146061"
"0","61155","0","","-34","1058","2","","","-278","5146061"
"0","61156","0","","-194","105911","2","","","-288","5146061"
"0","61157","0","","-194","1059","2","","","-288","5146061"
"","61158","","","walk_normal_dere2","106011","3","","0.2","1","5146061"
"","61159","","","walk_normal_dere2","1060","3","","0.2","1","5146061"
"","61160","","","walk_normal_joy","105811","3","","0.2","1","5146061"
"","61161","","","walk_normal_joy","1058","3","","0.2","1","5146061"
"","61162","","","kokkoro_walk_normal_dere","105911","3","","0.2","1","5146061"
"","61163","","","kokkoro_walk_normal_dere","1059","3","","0.2","1","5146061"
"0","61164","2","","290","106011","2","","","-278","5146061"
"0","61165","2","","290","1060","2","","","-278","5146061"
"0","61166","2","","-225","105811","2","","","-278","5146061"
"0","61167","2","","-225","1058","2","","","-278","5146061"
"0","61168","2","","-385","105911","2","","","-288","5146061"
"0","61169","2","","-385","1059","2","","","-288","5146061"
"","61170","","","0","106011","4","","","","5146061"
"","61171","","","0","1060","4","","","","5146061"
"","61172","","","1","105811","4","","","","5146061"
"","61173","","","1","1058","4","","","","5146061"
"","61174","","","1","105911","4","","","","5146061"
"","61175","","","1","1059","4","","","","5146061"
"","61176","","","0","2","93","","","","5146061"
"","61177","","","1","106011","4","","","","5146061"
"","61178","","","1","1060","4","","","","5146061"
"","61179","","","0","105811","4","","","","5146061"
"","61180","","","0","1058","4","","","","5146061"
"","61181","","","0","105911","4","","","","5146061"
"","61182","","","0","1059","4","","","","5146061"
"","61183","","","joy_idle_doya_shy","106011","3","","0.2","1","5146061"
"","61184","","","joy_idle_doya_shy","1060","3","","0.2","1","5146061"
"","61185","","","idle_normal","105811","3","","0.2","1","5146061"
"","61186","","","idle_normal","1058","3","","0.2","1","5146061"
"","61187","","","kokkoro_idle_normal_joy","105911","3","","0.2","1","5146061"
"","61188","","","kokkoro_idle_normal_joy","1059","3","","0.2","1","5146061"
"","61189","","","0","0.3","93","","","","5146061"
"1","61190","guts2_talk_joy","","jump_short","105811","3","0.2","0.2","0","5146061"
"1","61191","guts2_talk_joy","","jump_short","1058","3","0.2","0.2","0","5146061"
"","61192","0","","vo_apg_0112","vo_apg","21","","","0","5146061"
"1","61193","1","0","はぁ～♪\n楽しかったですねー☆","105811","11","0","0","10","5146061"
"","61194","","","","0","91","","","","5146061"
"","61195","","","idle_normal","105811","3","","0.2","1","5146061"
"","61196","","","idle_normal","1058","3","","0.2","1","5146061"
"","61197","","","kokkoro_talk_normal","105911","3","","0.2","1","5146061"
"","61198","","","kokkoro_talk_normal","1059","3","","0.2","1","5146061"
"","61199","0","","vo_apg_0113","vo_apg","21","","","0","5146061"
"1","61200","1","0","みなさま。\nお写真が\n仕上がったみたいです","105911","11","0","0","10","5146061"
"","61201","","","","0","91","","","","5146061"
"","61202","","","kokkoro_idle_normal_joy","105911","3","","0.2","1","5146061"
"","61203","","","kokkoro_idle_normal_joy","1059","3","","0.2","1","5146061"
"1","61204","armcrossed_talk_dere_shy","","armcrossed_in_dere_shy","106011","3","0","0.2","0","5146061"
"1","61205","armcrossed_talk_dere_shy","","armcrossed_in_dere_shy","1060","3","0","0.2","0","5146061"
"","61206","0","","vo_apg_0114","vo_apg","21","","","0","5146061"
"1","61207","1","0","は～最悪。\n…ま、どんなもんか\n一応見てやるけど♪","106011","11","0","0","10","5146061"
"","61208","","","","0","91","","","","5146061"
"","61209","","","0","0","22","","","","5146061"
"","61210","","","armcrossed_idle_anger_lookup","106011","3","","0.2","0","5146061"
"","61211","","","armcrossed_idle_anger_lookup","1060","3","","0.2","0","5146061"
"","61212","","","idle_normal_lookup","105811","3","","0.2","1","5146061"
"","61213","","","idle_normal_lookup","1058","3","","0.2","1","5146061"
"","61214","","","kokkoro_wish_idle_joy_lookup","105911","3","","0.2","1","5146061"
"","61215","","","kokkoro_wish_idle_joy_lookup","1059","3","","0.2","1","5146061"
"","61216","","","coaster_1_in","21","3","","0","0","5146061"
"","61217","","","se_10055900_photo","se_10055900","23","","","0","5146061"
"","61218","","","0","2.3","93","","","","5146061"
"","61219","","","idle_normal_surprise","105811","3","","0.2","1","5146061"
"","61220","","","idle_normal_surprise","1058","3","","0.2","1","5146061"
"","61221","","","kokkoro_idle_normal_surprise","105911","3","","0.2","1","5146061"
"","61222","","","kokkoro_idle_normal_surprise","1059","3","","0.2","1","5146061"
"1","61223","pointing_loop_noface","","pointing_in_noface","106011","3","0","0.2","0","5146061"
"1","61224","pointing_loop_kyaru","","pointing_in_kyaru","1060","3","0","0.2","0","5146061"
"","61225","0","","vo_apg_0115","vo_apg","21","","","0","5146061"
"1","61226","1","0","ってなによこれーっ！！！\nあたし写ってないじゃない！！？","106011","11","0","0","10","5146061"
"","61227","","","1","0.5","93","","","","5146061"
"","61228","","","30","30","122","","","0.5","5146061"
"","61229","","","","61226","91","","","","5146061"
"","61230","","","surprise_talk","105811","3","","0.2","1","5146061"
"","61231","","","surprise_talk","1058","3","","0.2","1","5146061"
"","61232","0","","vo_apg_0116","vo_apg","21","","","0","5146061"
"1","61233","1","0","……へ？\nキャルちゃんほんとは\n写りたかったんですか？","105811","11","0","0","10","5146061"
"","61234","","","","0","91","","","","5146061"
"","61235","","","idle_normal_talk1R","105811","3","","0.2","1","5146061"
"","61236","","","idle_normal_talk1R","1058","3","","0.2","1","5146061"
"","61237","","","kokkoro_sad_talk","105911","3","","0.2","1","5146061"
"","61238","","","kokkoro_sad_talk","1059","3","","0.2","1","5146061"
"","61239","0","","vo_apg_0117","vo_apg","21","","","0","5146061"
"1","61240","1","0","写りたくないのではと思って\nキャルさまを隠しましたが。\n余計なお世話だったみたいです","105911","11","0","0","10","5146061"
"","61241","","","","0","91","","","","5146061"
"","61242","","","kokkoro_idle_normal","105911","3","","0.2","1","5146061"
"","61243","","","kokkoro_idle_normal","1059","3","","0.2","1","5146061"
"1","61244","shock_loop_shy_red","","shock_in_shy_red","106011","3","0","0.2","0","5146061"
"1","61245","shock_loop_shy_red","","shock_in_shy_red","1060","3","0","0.2","0","5146061"
"","61246","0","","vo_apg_0118","vo_apg","21","","","0","5146061"
"1","61247","1","0","い…いやそういう訳じゃ\nないけどっ！！？","106011","11","0","0","10","5146061"
"","61248","","","","0","91","","","","5146061"
"","61249","","","coaster_1_out","21","3","","0","0","5146061"
"","61250","","","kokkoro_idle_normal_joy","105911","3","0.2","0.2","1","5146061"
"","61251","","","kokkoro_idle_normal_joy","1059","3","0.2","0.2","1","5146061"
"","61252","","","joy_talk","105811","3","0.2","0.2","1","5146061"
"","61253","","","joy_talk","1058","3","0.2","0.2","1","5146061"
"","61254","0","","vo_apg_0119","vo_apg","21","","","0","5146061"
"1","61255","1","0","なんだ♪\nじゃあもう一回乗りましょー♪","105811","11","0","0","10","5146061"
"","61256","","","","0","91","","","","5146061"
"","61257","","","joy_idle","105811","3","","0.2","1","5146061"
"","61258","","","joy_idle","1058","3","","0.2","1","5146061"
"","61259","","","kokkoro_wish_talk_normal2","105911","3","","0.2","1","5146061"
"","61260","","","kokkoro_wish_talk_normal2","1059","3","","0.2","1","5146061"
"","61261","0","","vo_apg_0120","vo_apg","21","","","0","5146061"
"1","61262","1","0","はい、そういたしましょう♪","105911","11","0","0","10","5146061"
"","61263","","","","0","91","","","","5146061"
"","61264","","","0","0","22","","","","5146061"
"","61265","","","kokkoro_wish_idle_joy","105911","3","","0.2","1","5146061"
"","61266","","","kokkoro_wish_idle_joy","1059","3","","0.2","1","5146061"
"","61267","","","anger_talk_anger2_red","106011","3","","0.2","1","5146061"
"","61268","","","anger_talk_anger2_red","1060","3","","0.2","1","5146061"
"0","61269","0","0","2","106011","12","0","0","2","5146061"
"0","61270","0","0","10","105811","12","0","0","2","5146061"
"0","61271","0","0","10","105911","12","0","0","2","5146061"
"","61272","","","0","2","93","","","","5146061"
"","61273","","","","61274","101","","","","5146061"
"","61274","","","0.2","0","22","","","","5146061"
"-278","62001","-290","idle_normal","100911","1","1","0","1.8","103","5146062"
"-278","62002","-290","idle_normal","1009","3","5","0","1.8","104","5146062"
"-278","62003","290","idle_normal","131011","1","1","1","1.8","100","5146062"
"","62004","","","203","100911","13","","","","5146062"
"","62005","","","200","131011","13","","","","5146062"
"-174","62006","0","idle","7","7","5","0","0.85","15","5146062"
"71","62007","-132","empty","20","20","5","0","1","210","5146062"
"-42","62008","0","empty","22","22","5","0","1","210","5146062"
"153","62009","0","empty","21","21","5","0","1","60","5146062"
"1","62010","0","","1","1","31","","1","0","5146062"
"1","62011","-57.7","","2","2","31","","0","0","5146062"
"1","62012","0","","10","10","31","","0","0","5146062"
"1","62013","0","","11","11","31","","0","0","5146062"
"1","62014","-278","","14","14","31","","0","-290","5146062"
"1","62015","0","","20","20","31","","1","0","5146062"
"","62016","","","100911","20","36","","","","5146062"
"","62017","","","20","20","36","","","","5146062"
"","62018","","","22","20","36","","","","5146062"
"","62019","","","0","0","91","","","","5146062"
"","62020","","","0","0","102","","","0","5146062"
"","62021","","","0","1","93","","","","5146062"
"1","62022","cool_talk_dere","","cool_in_dere","100911","3","0","0.2","0","5146062"
"1","62023","cool_talk_dere","","cool_in_dere","1009","3","0","0.2","0","5146062"
"","62024","0","","vo_apg_0201","vo_apg","21","","","0","5146062"
"1","62025","1","0","いざ征かん、極滅禁断秘儀へ！\nさあ、案内を頼むぞ！","100911","11","0","0","10","5146062"
"","62026","","","","0","91","","","","5146062"
"","62027","","","cool_idle","100911","3","","0.2","1","5146062"
"","62028","","","cool_idle","1009","3","","0.2","1","5146062"
"","62029","","","wish_talk_joy","131011","3","","0.2","1","5146062"
"","62030","0","","vo_apg_0202","vo_apg","21","","","0","5146062"
"1","62031","1","0","アンナはんが興味持って\nくれるなんてうれしいわ～\nしっかり案内させてもらいます","131011","11","0","0","10","5146062"
"","62032","","","","0","91","","","","5146062"
"","62033","","","wish_idle","131011","3","","0.2","1","5146062"
"1","62034","sad_talk","","anna_armcrossed","100911","3","0.2","0.2","0","5146062"
"1","62035","sad_talk","","anna_armcrossed","1009","3","0.2","0.2","0","5146062"
"","62036","0","","vo_apg_0203","vo_apg","21","","","0","5146062"
"1","62037","1","0","うむ！　シグルドたちも\n挑んだというその試練、この冥姫も…\nって、え？　\nこれ、もしかして絶叫系…？","100911","11","0","0","10","5146062"
"","62038","","","","0","91","","","","5146062"
"","62039","","","sad_idle","100911","3","","0.2","1","5146062"
"","62040","","","sad_idle","1009","3","","0.2","1","5146062"
"1","62041","surprise_talk","","maho_talk_normal","131011","3","0.2","0.2","0","5146062"
"","62042","0","","vo_apg_0204","vo_apg","21","","","0","5146062"
"1","62043","1","0","このパークの大人気\nアトラクションなんよ～\nあら？　どないしはりました？\n顔色が良くないような…","131011","11","0","0","10","5146062"
"","62044","","","","0","91","","","","5146062"
"","62045","","","surprise_idle","131011","3","","0.2","1","5146062"
"","62046","","","anger_talk_shy","100911","3","","0.2","1","5146062"
"","62047","","","anger_talk_shy","1009","3","","0.2","1","5146062"
"","62048","0","","vo_apg_0205","vo_apg","21","","","0","5146062"
"1","62049","1","0","べべべ、別に　お、怯えてなぞ…\nまったくもって、一向に構わぬが？","100911","11","0","0","10","5146062"
"","62050","","","","0","91","","","","5146062"
"","62051","","","anger_idle_shy","100911","3","","0.2","1","5146062"
"","62052","","","anger_idle_shy","1009","3","","0.2","1","5146062"
"","62053","","","worry_talk","131011","3","","0.2","1","5146062"
"","62054","0","","vo_apg_0206","vo_apg","21","","","0","5146062"
"1","62055","1","0","せやけど、無理はせん方が\nええんとちゃいます？","131011","11","0","0","10","5146062"
"","62056","","","","0","91","","","","5146062"
"","62057","","","wish_idle_shy","131011","3","","0.2","1","5146062"
"","62058","","","anger_talk_pain","100911","3","","0.2","1","5146062"
"","62059","","","anger_talk_pain","1009","3","","0.2","1","5146062"
"","62060","0","","vo_apg_0207","vo_apg","21","","","0","5146062"
"1","62061","1","0","ええい！　か、構わんと言っている！\nここまで案内させて引くわけには…\nいくぞ！　突撃だーーーー！","100911","11","0","0","10","5146062"
"","62062","","","","0","91","","","","5146062"
"","62063","","","0","0","22","","","","5146062"
"","62064","","","run_dash_anger2","100911","3","","0.2","1","5146062"
"","62065","","","run_dash_anger2","1009","3","","0.2","1","5146062"
"","62066","","","walk_surprise","131011","3","","0.2","1","5146062"
"0","62067","2","","-129","100911","2","","","-278","5146062"
"0","62068","2","","-129","1009","2","","","-278","5146062"
"0","62069","2","","129","131011","2","","","-278","5146062"
"","62070","","","1","14","32","","","","5146062"
"","62071","","","left","14","37","","","","5146062"
"0","62072","2","","-129","14","33","","","-278","5146062"
"","62073","","","0","1","93","","","","5146062"
"","62074","","","1","2","32","","","","5146062"
"","62075","","","0","1.5","93","","","","5146062"
"","62076","","","0","14","32","","","","5146062"
"0","62077","0","","0","100911","2","","","-331","5146062"
"","62078","","","scale15","20","37","","","","5146062"
"","62079","","","se_10055900_coaster_01","se_10055900","23","","","1","5146062"
"","62080","0","","vo_apg_0208","vo_apg","21","","","0","5146062"
"","62081","","","0208_in","22","3","","0","0","5146062"
"","62082","","","1","3.3","93","","","","5146062"
"","62083","","","0208_mid","22","3","","0","0","5146062"
"","62084","","","","","92","","","","5146062"
"","62085","","","0208_out","22","3","","0","0","5146062"
"","62086","","","0","0.2","93","","","","5146062"
"","62087","","","0","0.3","93","","","","5146062"
"","62088","","","scale1","20","37","","","","5146062"
"","62089","","","1","10","32","","","","5146062"
"","62090","","","0.5","se_10055900_coaster_01","24","","","","5146062"
"","62091","","","se_10055900_coaster_02","se_10055900","23","","","1","5146062"
"0","62092","0","","0","20","2","","","0","5146062"
"","62093","","","30","30","122","","","0.5","5146062"
"","62094","0","","vo_apg_0209","vo_apg","21","","","0","5146062"
"","62095","","","0209_in","20","3","","0","0","5146062"
"","62096","","","1","2.6","93","","","","5146062"
"","62097","","","0209_mid","20","3","","0","0","5146062"
"","62098","","","","","92","","","","5146062"
"","62099","","","0209_out","20","3","","0","0","5146062"
"","62100","","","0","0.2","93","","","","5146062"
"","62101","","","30","30","122","","","1","5146062"
"","62102","0","","vo_apg_0210","vo_apg","21","","","0","5146062"
"","62103","","","0210_in","20","3","","0","0","5146062"
"","62104","","","1","2.7","93","","","","5146062"
"","62105","","","0210_mid","20","3","","0","0","5146062"
"","62106","","","","","92","","","","5146062"
"","62107","","","0210_out","20","3","","0","0","5146062"
"","62108","","","0","0.2","93","","","","5146062"
"","62109","","","0","0","22","","","","5146062"
"","62110","","","empty","20","3","","0","1","5146062"
"","62111","","","","1","93","","","","5146062"
"","62112","","","1","11","32","","","","5146062"
"","62113","","","se_10055900_camera","se_10055900","23","","","0","5146062"
"","62114","","","0","0.2","93","","","","5146062"
"","62115","","","0","10","32","","","","5146062"
"","62116","","","0","1.8","93","","","","5146062"
"","62117","","","0.5","se_10055900_coaster_02","24","","","","5146062"
"","62118","","","iris_out","2","37","","","","5146062"
"0","62119","0","","-129","100911","2","","","-278","5146062"
"0","62120","0","","-129","1009","2","","","-278","5146062"
"0","62121","0","","129","131011","2","","","-278","5146062"
"","62122","","","anna_walk","100911","3","","0.2","1","5146062"
"","62123","","","anna_walk","1009","3","","0.2","1","5146062"
"","62124","","","walk_normal_joy","131011","3","","0.2","1","5146062"
"0","62125","2","","-290","100911","2","","","-278","5146062"
"0","62126","2","","-290","1009","2","","","-278","5146062"
"0","62127","2","","290","131011","2","","","-278","5146062"
"","62128","","","1","100911","4","","","","5146062"
"","62129","","","1","1009","4","","","","5146062"
"","62130","","","0","131011","4","","","","5146062"
"","62131","","","0","2","93","","","","5146062"
"","62132","","","0","100911","4","","","","5146062"
"","62133","","","0","1009","4","","","","5146062"
"","62134","","","1","131011","4","","","","5146062"
"","62135","","","anna_idle","100911","3","","0.2","1","5146062"
"0","62136","","","anna_idle","1009","3","","0.2","1","5146062"
"","62137","","","idle_normal","131011","3","","0.2","1","5146062"
"","62138","","","0","0.5","93","","","","5146062"
"","62139","","","talk_normal_surprise","131011","3","","0.2","1","5146062"
"","62140","0","","vo_apg_0211","vo_apg","21","","","0","5146062"
"1","62141","1","0","どないでした？\nえらい声出してはったけど","131011","11","0","0","10","5146062"
"","62142","","","","0","91","","","","5146062"
"","62143","","","idle_normal_surprise","131011","3","","0.2","1","5146062"
"1","62144","anna_kukuku_loop","","anna_kukuku_in","100911","3","0","0.2","0","5146062"
"1","62145","anna_kukuku_loop","","anna_kukuku_in","1009","3","0","0.2","0","5146062"
"","62146","0","","vo_apg_0212","vo_apg","21","","","0","5146062"
"1","62147","1","0","ふ、ふふふ…シグルドよ…\n私にも、刻が…見える！","100911","11","0","20","10","5146062"
"","62148","","","","0","91","","","","5146062"
"","62149","","","coaster_2_in","21","3","","0","0","5146062"
"","62150","","","se_10055900_photo","se_10055900","23","","","0","5146062"
"","62151","","","0","0.1","93","","","","5146062"
"1","62152","anna_ahaha_loop","","anna_ahaha_in","100911","3","0","0.2","0","5146062"
"1","62153","anna_ahaha_loop","","anna_ahaha_in","1009","3","0","0.2","0","5146062"
"","62154","0","","vo_apg_0213","vo_apg","21","","","0","5146062"
"1","62155","1","0","今、冥姫は\n疾風を追い越した！","100911","11","0","-30","10","5146062"
"","62156","","","","0","91","","","","5146062"
