a59d390ef8e49c98d727048aca193576db947ac1eb5be3ab1f719ae00b357a66,445faffb0905ca14c72d1f4925e573d380b7b4ba7cd88ca9912dcdfc661bdcd5,988c70b94a993c763977fd391d8b4c14fafafc95a6b8dc40a37eefd4ef5b93a9,573d2fc404bbdfd8947db08c610bed635d781787ad0af76410df7a789ab648f9,8715672e3511ea1d754a475b0e0ad1c7151ac1cb5fa442868ac6d834fe043ada,6d26c9012bf7d00ecaa12537fcb274167b31eb5c48f0d01f3609d7292ccbf54e,5d2db8f5b527367a66d554beb9f7caa9b26c8397c2a363523a5040423169404c,09b67c9a91c302b157f268123848d0e1507cbf81ef1df7e07c29a341cd5aab69,4b3407c4ed9f8132028baefb202b36066a7b46caadb3d0a5afb2a5edc41d888f,833ed9e45eec3e0ba8193265ceddd20ff0cf2aaf02bc0e1570de457617952e73,7e52f051489c27639e4608efc5b63d6e219f75faf57c9f1ed5a6b74ac035d6dd,969a003201a843326f9cf05af2694b590522aa44188f8b0df647d2728ac5a15a
"515406408","0","5154064","0","0","8","2","0","0","vo_abd","vo_abd_0303","0"
"515406409","0","5154064","0","425","9","1","0","2.8","0","0","3"
"515406410","3.5","5154064","0","0","10","4","1","0","0","0","0"
"515406411","0","5154064","0","0","11","2","0","0","vo_abd","vo_abd_0304","0"
"515406412","0","5154064","0","450","12","1","0","3","0","0","4"
"515406413","4","5154064","0","0","13","4","1","0","0","0","0"
"515406414","0","5154064","0","0","14","2","0","0","vo_abd","vo_abd_0305","0"
"515406415","0","5154064","0","35","15","1","0","0.2","0","0","5"
"515406416","1.05","5154064","0","0","16","4","1","0","0","0","0"
"515406417","0","5154064","45","420","17","1","0","2","0","0","5"
"515406418","3.5","5154064","0","0","18","4","1","0","0","0","0"
"515406419","0","5154064","0","0","19","2","0","0","vo_abd","vo_abd_0306","0"
"515406420","0","5154064","0","175","20","1","0","1","0","0","6"
"515406421","1.7","5154064","0","0","21","4","1","0","0","0","0"
"515406422","0","5154064","175","260","22","1","0","1","0","0","6"
"515406423","2.8","5154064","0","0","23","4","1","0","0","0","0"
"515406424","0","5154064","260","400","24","1","0","0.8","0","0","6"
"515406425","0.96","5154064","0","0","25","4","1","0","0","0","0"
"515406426","0","5154064","0","0","26","2","0","0","vo_abd","vo_abd_0307","0"
"515406427","0","5154064","0","245","27","1","0","1.5","0","0","7"
"515406428","1.7","5154064","0","0","28","4","1","0","0","0","0"
"515406429","0","5154064","245","400","29","1","0","0.8","0","0","7"
"515406430","2","5154064","0","0","30","4","1","0","0","0","0"
"515406431","0","5154064","0","0","31","2","0","0","vo_abd","vo_abd_0308","0"
"515406432","0","5154064","0","208","32","1","0","1","0","0","8"
"515406433","2","5154064","0","0","33","4","1","0","0","0","0"
"515406434","0","5154064","208","270","34","1","0","0.3","0","0","8"
"515406435","1.5","5154064","0","0","35","4","1","0","0","0","0"
"515406436","0","5154064","275","400","36","1","0","0.8","0","0","8"
"515406437","2","5154064","0","0","37","4","1","0","0","0","0"
"515406438","0","5154064","0","0","38","2","0","0","vo_abd","vo_abd_0309","0"
"515406439","0","5154064","0","300","39","1","0","2","0","0","9"
"515406440","2.65","5154064","0","0","40","4","1","0","0","0","0"
"515406441","0","5154064","300","425","41","1","0","1","0","0","9"
"515406442","2","5154064","0","0","42","4","1","0","0","0","0"
"515406443","0","5154064","0","0","43","2","0","0","vo_abd","vo_abd_0310","0"
"515406444","0","5154064","0","375","44","1","0","2.5","0","0","10"
"515406445","4","5154064","0","0","45","4","1","0","0","0","0"
"515406446","0","5154064","0","0","46","2","0","0","vo_abd","vo_abd_0311","0"
"515406447","0","5154064","0","165","47","1","0","1.2","0","0","11"
"515406448","2","5154064","0","0","48","4","1","0","0","0","0"
"515406449","0","5154064","165","295","49","1","0","1","0","0","11"
"515406450","2.5","5154064","0","0","50","4","1","0","0","0","0"
"515406451","0","5154064","295","400","51","1","0","0.5","0","0","11"
"515406501","0.8","5154065","0","0","1","4","1","0","0","0","0"
"515406502","0","5154065","0","0","2","2","0","0","vo_abd","vo_abd_0401","0"
"515406503","0","5154065","0","400","3","1","0","2","0","0","1"
"515406504","3.2","5154065","0","0","4","4","1","0","0","0","0"
"515406505","0","5154065","0","0","5","2","0","0","vo_abd","vo_abd_0402","0"
"515406506","0","5154065","0","400","6","1","0","2","0","0","2"
"515406507","3.7","5154065","0","0","7","4","1","0","0","0","0"
"515406508","0","5154065","0","0","8","2","0","0","vo_abd","vo_abd_0403","0"
"515406509","0","5154065","0","400","9","1","0","2","0","0","3"
"515406510","3","5154065","0","0","10","4","1","0","0","0","0"
"515406511","0","5154065","0","0","11","2","0","0","vo_abd","vo_abd_0404","0"
"515406512","0","5154065","0","155","12","1","0","1","0","0","4"
"515406513","1.15","5154065","0","0","13","4","1","0","0","0","0"
"515406514","0","5154065","155","425","14","1","0","1","0","0","4"
"515406515","2.5","5154065","0","0","15","4","1","0","0","0","0"
"515406516","0","5154065","0","0","16","2","0","0","vo_abd","vo_abd_0405","0"
"515406517","0","5154065","0","450","17","1","0","2.4","0","0","5"
"515406518","2.9","5154065","0","0","18","4","1","0","0","0","0"
"515406519","0","5154065","0","0","19","2","0","0","vo_abd","vo_abd_0407","0"
"515406520","0","5154065","0","300","20","1","0","1","0","0","6"
"515406521","1.5","5154065","0","0","21","4","1","0","0","0","0"
"515406522","0","5154065","0","0","22","2","0","0","vo_abd","vo_abd_0408","0"
"515406523","0","5154065","0","250","23","1","0","1","0","0","7"
"515406524","1","5154065","0","0","24","4","1","0","0","0","0"
"515406525","0","5154065","0","0","25","2","0","0","vo_abd","vo_abd_0409","0"
"515406526","0","5154065","0","250","26","1","0","1","0","0","8"
"515406527","2","5154065","0","0","27","4","1","0","0","0","0"
"515406528","0","5154065","0","0","28","2","0","0","vo_abd","vo_abd_0410","0"
"515406529","0","5154065","0","50","29","1","0","0.2","0","0","9"
"515406530","0.7","5154065","0","0","30","4","1","0","0","0","0"
"515406531","0","5154065","50","280","31","1","0","1.5","0","0","9"
"515406532","2.5","5154065","0","0","32","4","1","0","0","0","0"
"515406533","0","5154065","0","0","33","2","0","0","vo_abd","vo_abd_0411","0"
"515406534","0","5154065","0","35","34","1","0","0.2","0","0","10"
"515406535","1.08","5154065","0","0","35","4","1","0","0","0","0"
"515406536","0","5154065","35","107","36","1","0","0.3","0","0","10"
"515406537","0.9","5154065","0","0","37","4","1","0","0","0","0"
"515406538","0","5154065","107","425","38","1","0","1.5","0","0","10"
