26c3c77f4c2726267f35b99cdf3dbdf8dd66889af09db5ea5153212e7e6b7119,ffddafddd607316963d796a7c9589923434856e7bbf467ddbd0e2751ac8baa29,99e3f732277b100830f42698c01ab73da47e4f795b391c26042a740b4dc428d9,43b7fc23fbaede385643fe8626285b96308d29fb0a03380a7501d01f7ff8f1e5,81c8842ca064e3c710cb55acc734979674f0c89bcd1e96f61bf55e1f103213e0,3dbde59f261611dd2295931e092810bdb1fa425ac07710bc6e3c49249067c717,da2ac29b3898895f2aed999d3520922b85b786c56b7e80ed404f39f61124a501
"46","0","80006","2022/02/01 4:59:59","9004002","2022/01/31 5:00:00","3"
"47","0","80006","2022/02/02 4:59:59","9004003","2022/02/01 5:00:00","3"
"48","0","80006","2022/02/03 4:59:59","9004004","2022/02/02 5:00:00","3"
"49","0","80006","2022/02/04 4:59:59","9004005","2022/02/03 5:00:00","3"
"50","0","80006","2022/02/05 4:59:59","9004006","2022/02/04 5:00:00","3"
"51","0","80006","2022/02/06 4:59:59","9004007","2022/02/05 5:00:00","3"
"52","0","80006","2022/02/07 4:59:59","9004008","2022/02/06 5:00:00","3"
"53","0","80006","2022/02/08 4:59:59","9004009","2022/02/07 5:00:00","3"
"54","0","80006","2022/02/09 4:59:59","9004010","2022/02/08 5:00:00","3"
"55","0","80006","2022/02/10 4:59:59","9004011","2022/02/09 5:00:00","3"
"56","0","80006","2022/02/11 4:59:59","9004012","2022/02/10 5:00:00","3"
"57","0","80006","2022/02/12 4:59:59","9004013","2022/02/11 5:00:00","3"
"58","0","80006","2022/02/13 4:59:59","9004014","2022/02/12 5:00:00","3"
"59","0","80006","2022/02/14 4:59:59","9004015","2022/02/13 5:00:00","3"
"60","0","80006","2022/02/15 4:59:59","9004016","2022/02/14 5:00:00","3"
"61","1","80006","2022/02/16 4:59:59","9004017","2022/02/15 5:00:00","3"
"62","0","70007","0","436","0","1"
"63","0","70007","0","437","0","2"
"64","0","70007","0","438","0","3"
"65","0","80007","2022/08/02 4:59:59","9005001","2022/08/01 5:00:00","3"
"66","0","80007","2022/08/03 4:59:59","9005002","2022/08/02 5:00:00","3"
"67","0","80007","2022/08/04 4:59:59","9005003","2022/08/03 5:00:00","3"
"68","0","80007","2022/08/05 4:59:59","9005004","2022/08/04 5:00:00","3"
"69","0","80007","2022/08/06 4:59:59","9005005","2022/08/05 5:00:00","3"
"70","0","80007","2022/08/07 4:59:59","9005006","2022/08/06 5:00:00","3"
"71","0","80007","2022/08/08 4:59:59","9005007","2022/08/07 5:00:00","3"
"72","0","80007","2022/08/09 4:59:59","9005008","2022/08/08 5:00:00","3"
"73","0","80007","2022/08/10 4:59:59","9005009","2022/08/09 5:00:00","3"
"74","0","80007","2022/08/11 4:59:59","9005010","2022/08/10 5:00:00","3"
"75","0","80007","2022/08/12 4:59:59","9005011","2022/08/11 5:00:00","3"
"76","0","80007","2022/08/13 4:59:59","9005012","2022/08/12 5:00:00","3"
"77","0","80007","2022/08/14 4:59:59","9005013","2022/08/13 5:00:00","3"
"78","0","80007","2022/08/15 4:59:59","9005014","2022/08/14 5:00:00","3"
"79","1","80007","2022/08/16 4:59:59","9005015","2022/08/15 5:00:00","3"
"80","0","70008","2022/12/25 4:59:59","400","2022/12/24 5:00:00","0"
"81","0","70008","2022/12/26 4:59:59","401","2022/12/25 5:00:00","0"
"82","0","70009","0","439","0","1"
"83","0","80008","2023/02/01 4:59:59","9006001","2023/01/31 5:00:00","3"
"84","0","80008","2023/02/02 4:59:59","9006002","2023/02/01 5:00:00","3"
"85","0","80008","2023/02/03 4:59:59","9006003","2023/02/02 5:00:00","3"
"86","0","80008","2023/02/04 4:59:59","9006004","2023/02/03 5:00:00","3"
"87","0","80008","2023/02/05 4:59:59","9006005","2023/02/04 5:00:00","3"
"88","0","80008","2023/02/06 4:59:59","9006006","2023/02/05 5:00:00","3"
"89","0","80008","2023/02/07 4:59:59","9006007","2023/02/06 5:00:00","3"
"90","0","80008","2023/02/08 4:59:59","9006008","2023/02/07 5:00:00","3"
"91","0","80008","2023/02/09 4:59:59","9006009","2023/02/08 5:00:00","3"
"92","0","80008","2023/02/10 4:59:59","9006010","2023/02/09 5:00:00","3"
"93","0","80008","2023/02/11 4:59:59","9006011","2023/02/10 5:00:00","3"
"94","0","80008","2023/02/12 4:59:59","9006012","2023/02/11 5:00:00","3"
"95","0","80008","2023/02/13 4:59:59","9006013","2023/02/12 5:00:00","3"
"96","0","80008","2023/02/14 4:59:59","9006014","2023/02/13 5:00:00","3"
"97","0","80008","2023/02/15 4:59:59","9006015","2023/02/14 5:00:00","3"
"98","1","80008","2023/02/16 4:59:59","9006016","2023/02/15 5:00:00","3"
"99","0","80009","2023/08/02 4:59:59","9007001","2023/08/01 5:00:00","3"
"100","0","80009","2023/08/03 4:59:59","9007002","2023/08/02 5:00:00","3"
"101","0","80009","2023/08/04 4:59:59","9007003","2023/08/03 5:00:00","3"
"102","0","80009","2023/08/05 4:59:59","9007004","2023/08/04 5:00:00","3"
"103","0","80009","2023/08/06 4:59:59","9007005","2023/08/05 5:00:00","3"
"104","0","80009","2023/08/07 4:59:59","9007006","2023/08/06 5:00:00","3"
"105","0","80009","2023/08/08 4:59:59","9007007","2023/08/07 5:00:00","3"
"106","0","80009","2023/08/09 4:59:59","9007008","2023/08/08 5:00:00","3"
"107","0","80009","2023/08/10 4:59:59","9007009","2023/08/09 5:00:00","3"
"108","0","80009","2023/08/11 4:59:59","9007010","2023/08/10 5:00:00","3"
"109","0","80009","2023/08/12 4:59:59","9007011","2023/08/11 5:00:00","3"
"110","0","80009","2023/08/13 4:59:59","9007012","2023/08/12 5:00:00","3"
"111","0","80009","2023/08/14 4:59:59","9007013","2023/08/13 5:00:00","3"
"112","0","80009","2023/08/15 4:59:59","9007014","2023/08/14 5:00:00","3"
"113","1","80009","2023/08/16 4:59:59","9007015","2023/08/15 5:00:00","3"
"114","0","70010","2023/12/25 4:59:59","400","2023/12/24 5:00:00","0"
"115","0","70012","2023/12/26 4:59:59","401","2023/12/25 5:00:00","0"
"116","0","70011","0","440","0","1"
"117","0","80010","2024/02/01 4:59:59","9008001","2024/01/31 5:00:00","3"
"118","0","80010","2024/02/02 4:59:59","9008002","2024/02/01 5:00:00","3"
"119","0","80010","2024/02/03 4:59:59","9008003","2024/02/02 5:00:00","3"
"120","0","80010","2024/02/04 4:59:59","9008004","2024/02/03 5:00:00","3"
"121","0","80010","2024/02/05 4:59:59","9008005","2024/02/04 5:00:00","3"
"122","0","80010","2024/02/06 4:59:59","9008006","2024/02/05 5:00:00","3"
"123","0","80010","2024/02/07 4:59:59","9008007","2024/02/06 5:00:00","3"
"124","0","80010","2024/02/08 4:59:59","9008008","2024/02/07 5:00:00","3"
"125","0","80010","2024/02/09 4:59:59","9008009","2024/02/08 5:00:00","3"
"126","0","80010","2024/02/10 4:59:59","9008010","2024/02/09 5:00:00","3"
"127","0","80010","2024/02/11 4:59:59","9008011","2024/02/10 5:00:00","3"
"128","1","80010","2024/02/12 4:59:59","9008012","2024/02/11 5:00:00","3"
"129","1","80010","2024/02/13 4:59:59","9008013","2024/02/12 5:00:00","3"
"130","1","80010","2024/02/14 4:59:59","9008014","2024/02/13 5:00:00","3"
"131","1","80010","2024/02/15 4:59:59","9008015","2024/02/14 5:00:00","3"
"132","1","80010","2024/02/16 4:59:59","9008016","2024/02/15 5:00:00","3"
"133","0","80011","2024/08/02 4:59:59","9009001","2024/08/01 5:00:00","3"
"134","0","80011","2024/08/03 4:59:59","9009002","2024/08/02 5:00:00","3"
"135","0","80011","2024/08/04 4:59:59","9009003","2024/08/03 5:00:00","3"
"136","0","80011","2024/08/05 4:59:59","9009004","2024/08/04 5:00:00","3"
"137","0","80011","2024/08/06 4:59:59","9009005","2024/08/05 5:00:00","3"
"138","0","80011","2024/08/07 4:59:59","9009006","2024/08/06 5:00:00","3"
"139","0","80011","2024/08/08 4:59:59","9009007","2024/08/07 5:00:00","3"
"140","0","80011","2024/08/09 4:59:59","9009008","2024/08/08 5:00:00","3"
"141","0","80011","2024/08/10 4:59:59","9009009","2024/08/09 5:00:00","3"
"142","0","80011","2024/08/11 4:59:59","9009010","2024/08/10 5:00:00","3"
"143","0","80011","2024/08/12 4:59:59","9009011","2024/08/11 5:00:00","3"
"144","0","80011","2024/08/13 4:59:59","9009012","2024/08/12 5:00:00","3"
"145","0","80011","2024/08/14 4:59:59","9009013","2024/08/13 5:00:00","3"
"146","0","80011","2024/08/15 4:59:59","9009014","2024/08/14 5:00:00","3"
"147","1","80011","2024/08/16 4:59:59","9009015","2024/08/15 5:00:00","3"
