ee4e31f8e97fdacae983ded7c63867de5ac74b3dc0c9b5ca2a260c94f81ae95f,226246bfc4e22bca2b46f8c9c0dfb7273fb38bfca1ae40dfa96e62cee0e7432f,02b5d3ed4927025143506a6290b8981619e11835d4a15185c6346875f48cfff6,40084925270b4045355971c7aef5ea23cfc28dc96fe5e02103f2b326cdcb7789,162e18e078ee78eef53d31043d25429d9f9fb26a17af114a717071d4cacfc42f
"42","box_rank_7-8","ランダムな装備が獲得できる。","ランダム装備BOX","99002"
"43","box_rank_8-10","ランダムな装備が獲得できる。","ランダム装備BOX","99002"
"44","box_rank_8-11","ランダムな装備が獲得できる。","ランダム装備BOX","99002"
"45","box_rank_9-12","ランダムな装備が獲得できる。","ランダム装備BOX","99002"
"46","1001720101","","ラムのメモリーピース","99002"
"47","1001720102","","スズメのメモリーピース","99002"
"48","1001820101","","マホのメモリーピース","99002"
"49","1001820102","","カオリのメモリーピース","99002"
"50","1001920101","","イオ（サマー）のメモリーピース","99002"
"51","1001920102","","ミサキのメモリーピース","99002"
"52","1002020103","","コッコロ（サマー）のメモリーピース","99002"
"53","1002020104","","サレンのメモリーピース","99002"
"54","1002120103","","カオリ（サマー）のメモリーピース","99002"
"55","1002120104","","カスミのメモリーピース","99002"
"56","1002220101","","ミフユ（サマー）のメモリーピース","99002"
"57","1002220102","","アキノのメモリーピース","99002"
"58","1002320101","","ルカのメモリーピース","99002"
"59","1002320102","","アオイのメモリーピース","99002"
"60","1002520101","","ミソギ（ハロウィン）のメモリーピース","99002"
"61","1002520102","","キョウカのメモリーピース","99002"
"62","1002420101","","ジュンのメモリーピース","99002"
"63","1002420102","","ユカリのメモリーピース","99002"
"64","1002620101","","ミヤコ（ハロウィン）のメモリーピース","99002"
"65","1002620102","","ヨリのメモリーピース","99002"
"66","1002720101","","トモのメモリーピース","99002"
"67","1002720102","","マツリのメモリーピース","99002"
"68","1002820101","","アンナのメモリーピース","99002"
"69","1002820102","","ミツキのメモリーピース","99002"
"70","1002920101","","ノゾミ（クリスマス）のメモリーピース","99002"
"71","1002920102","","イリヤのメモリーピース","99002"
"72","1003020101","","クルミ（クリスマス）のメモリーピース","99002"
"73","1003020102","","ノゾミのメモリーピース","99002"
"74","1003120101","","スズメ（ニューイヤー）のメモリーピース","99002"
"75","1003120102","","クルミのメモリーピース","99002"
"76","1003320101","","シオリ（マジカル）のメモリーピース","99002"
"77","1003320102","","シズルのメモリーピース","99002"
"80","1003220101","","レイ（ニューイヤー）のメモリーピース","99002"
"81","1003220102","","ユイのメモリーピース","99002"
"82","1003520101","","ミオ（デレマス）のメモリーピース","99002"
"83","1003520102","","チカのメモリーピース","99002"
"86","1003420101","","エリコ（バレンタイン）のメモリーピース","99002"
"87","1003420102","","リノのメモリーピース","99002"
"88","1003720101","","マコトのメモリーピース","99002"
"89","1003720102","","ユキのメモリーピース","99002"
"90","1003820101","","ノゾミ（クリスマス）のメモリーピース","99002"
"91","1003820102","","イリヤのメモリーピース","99002"
"92","1003920101","","ルゥのメモリーピース","99002"
"93","1003920102","","イオのメモリーピース","99002"
"94","1004020101","","サレンのメモリーピース","99002"
"95","1004020102","","マヒルのメモリーピース","99002"
"96","1004120101","","モニカのメモリーピース","99002"
"97","1004120102","","クウカのメモリーピース","99002"
"98","1004220101","","アユミ（ワンダー）のメモリーピース","99002"
"99","1004220102","","カヤのメモリーピース","99002"
"100","1004320101","","イオ（サマー）のメモリーピース","99002"
"101","1004320102","","ミサキのメモリーピース","99002"
"102","1004420101","","アンナ（サマー）のメモリーピース","99002"
"103","1004420102","","エリコのメモリーピース","99002"
"104","box_rank_3-8","ランダムな装備が獲得できる。","ランダム装備BOX","99002"
"105","box_rank_3-10","ランダムな装備が獲得できる。","ランダム装備BOX","99002"
"106","box_rank_9-13","ランダムな装備が獲得できる。","ランダム装備BOX","99002"
"107","box_rank_11-14","ランダムな装備が獲得できる。","ランダム装備BOX","99002"
"108","1004520103","","カオリ（サマー）のメモリーピース","99002"
"109","1004520104","","カスミのメモリーピース","99002"
"110","1004620101","","ミサト（サマー）のメモリーピース","99002"
"111","1004620102","","アヤネのメモリーピース","99002"
"112","1004720101","","ルカのメモリーピース","99002"
"113","1004720102","","アオイのメモリーピース","99002"
"114","1004820101","","スズナのメモリーピース","99002"
"115","1004820102","","ナナカのメモリーピース","99002"
"1004901","1004920101","","ミソギ（ハロウィン）のメモリーピース","99002"
"1004902","1004920102","","キョウカのメモリーピース","99002"
"1005001","1005020101","","マツリ（ハロウィン）のメモリーピース","99002"
"1005002","1005020102","","ツムギのメモリーピース","99002"
"1005101","1005120101","","トモのメモリーピース","99002"
"1005102","1005120102","","マツリのメモリーピース","99002"
"1005201","1005220101","","カスミのメモリーピース","99002"
"1005202","1005220102","","トモのメモリーピース","99002"
"1005301","1005320101","","ラムのメモリーピース","99002"
"1005302","1005320102","","スズメのメモリーピース","99002"
"1005401","1005420101","","ユカリ（クリスマス）のメモリーピース","99002"
"1005402","1005420102","","ミフユのメモリーピース","99002"
"1005501","1005520101","","ノゾミ（クリスマス）のメモリーピース","99002"
"1005502","1005520102","","イリヤのメモリーピース","99002"
"1005601","1005620101","","ムイミ（ニューイヤー）のメモリーピース","99002"
"1005602","1005620102","","キャルのメモリーピース","99002"
"1005603","box_rank_11-14","ランダムな装備が獲得できる。","ランダム装備BOX","99002"
"1005701","1005720101","","スズメ（ニューイヤー）のメモリーピース","99002"
"1005702","1005720102","","クルミのメモリーピース","99002"
"1005801","1005820101","","ユイ（儀装束）のメモリーピース","99002"
"1005802","1005820102","","レイのメモリーピース","99002"
"1006001","1006020101","","シオリ（マジカル）のメモリーピース","99002"
"1006002","1006020102","","シズルのメモリーピース","99002"
"1006101","1006120101","","リマ（シンデレラ）のメモリーピース","99002"
"1006102","1006120102","","マホのメモリーピース","99002"
"1006201","1006220101","","ミオ（デレマス）のメモリーピース","99002"
"1006202","1006220102","","チカのメモリーピース","99002"
"1006401","1006420101","","アキノのメモリーピース","99002"
"1006402","1006420102","","シノブのメモリーピース","99002"
"1006403","box_rank_4-11","ランダムな装備が獲得できる。","ランダム装備BOX","99002"
"1006501","1006520101","","アオイ（編入生）のメモリーピース","99002"
"1006502","1006520102","","タマキのメモリーピース","99002"
"1006601","1006620101","","カヤのメモリーピース","99002"
"1006602","1006620102","","ミサトのメモリーピース","99002"
"1006701","1006720101","","サレンのメモリーピース","99002"
"1006702","1006720102","","マヒルのメモリーピース","99002"
"1006801","1006820101","","タマキ（作業服）のメモリーピース","99002"
"1006802","1006820102","","アオイのメモリーピース","99002"
"1006901","1006920101","","アユミ（ワンダー）のメモリーピース","99002"
"1006902","1006920102","","カヤのメモリーピース","99002"
"1007001","1007020101","","イオのメモリーピース","99002"
"1007002","1007020102","","ミサキのメモリーピース","99002"
"1007003","box_rank_4-12","ランダムな装備が獲得できる。","ランダム装備BOX","99002"
"1007101","1007120101","","アンナ（サマー）のメモリーピース","99002"
"1007102","1007120102","","エリコのメモリーピース","99002"
"1007201","1007220101","","ツムギ（サマー）のメモリーピース","99002"
"1007202","1007220102","","チエルのメモリーピース","99002"
"1007301","1007320101","","ミサト（サマー）のメモリーピース","99002"
"1007302","1007320102","","アヤネのメモリーピース","99002"
"1007401","1007420101","","ニノン（オーエド）のメモリーピース","99002"
"1007402","1007420102","","ミツキのメモリーピース","99002"
"1007501","1007520101","","スズナのメモリーピース","99002"
"1007502","1007520102","","ナナカのメモリーピース","99002"
"1007601","1007620101","","ニノン（ハロウィン）のメモリーピース","99002"
"1007602","1007620102","","ジュンのメモリーピース","99002"
"1007603","box_rank_5-13","ランダムな装備が獲得できる。","ランダム装備BOX","99002"
"1007701","1007720101","","マツリ（ハロウィン）のメモリーピース","99002"
"1007702","1007720102","","ツムギのメモリーピース","99002"
"1007901","1007920101","","カスミのメモリーピース","99002"
"1007902","1007920102","","トモのメモリーピース","99002"
"1008001","1008020101","","マヒル（クリスマス）のメモリーピース","99002"
"1008002","1008020102","","アカリのメモリーピース","99002"
"1008101","1008120101","","ユカリ（クリスマス）のメモリーピース","99002"
"1008102","1008120102","","ミフユのメモリーピース","99002"
"1008201","1008220101","","ルカ（ニューイヤー）のメモリーピース","99002"
"1008202","1008220102","","イリヤのメモリーピース","99002"
"1008203","box_rank_6-14","ランダムな装備が獲得できる。","ランダム装備BOX","99002"
"1008301","1008320101","","ムイミ（ニューイヤー）のメモリーピース","99002"
"1008302","1008320102","","キャルのメモリーピース","99002"
"1008401","1008620101","","コッコロのメモリーピース","99002"
"1008402","1008620102","","キャルのメモリーピース","99002"
"1008601","1008620101","","ユイ（儀装束）のメモリーピース","99002"
"1008602","1008620102","","レイのメモリーピース","99002"
"1008801","1008820101","","マヒル（レンジャー）のメモリーピース","99002"
"1008802","1008820102","","リンのメモリーピース","99002"
"1008901","1008920101","","リマ（シンデレラ）のメモリーピース","99002"
"1008902","1008920102","","マホのメモリーピース","99002"
"1009001","1009020101","","カヤのメモリーピース","99002"
"1009002","1009020102","","タマキのメモリーピース","99002"
"1009003","box_rank_7-15","ランダムな装備が獲得できる。","ランダム装備BOX","99002"
"1009101","1009120101","","アキノのメモリーピース","99002"
"1009102","1009120102","","シノブのメモリーピース","99002"
"1009301","1009320101","","カヤのメモリーピース","99002"
"1009302","1009320102","","ミサトのメモリーピース","99002"
"1009401","1009420101","","アオイ（キャンプ）のメモリーピース","99002"
"1009402","1009420102","","ユカリのメモリーピース","99002"
"1009501","1009520101","","タマキ（作業服）のメモリーピース","99002"
"1009502","1009520102","","アオイのメモリーピース","99002"
"1009601","1009620101","","ヒヨリ（サマー）のメモリーピース","99002"
"1009602","1009620102","","ユイのメモリーピース","99002"
"1009603","box_rank_8-16","ランダムな装備が獲得できる。","ランダム装備BOX","99002"
"1009701","1009720101","","イオのメモリーピース","99002"
"1009702","1009720102","","ミサキのメモリーピース","99002"
"1009801","1009820101","","ミソギ（サマー）のメモリーピース","99002"
"1009802","1009820102","","キョウカのメモリーピース","99002"
"1009901","1009920101","","ツムギ（サマー）のメモリーピース","99002"
"1009902","1009920102","","チエルのメモリーピース","99002"
"1010001","1010020101","","マホのメモリーピース","99002"
"1010002","1010020102","","アヤネのメモリーピース","99002"
"1010101","1010120101","","ニノン（オーエド）のメモリーピース","99002"
"1010102","1010120102","","ミツキのメモリーピース","99002"
"1010201","1010220101","","リン（ハロウィン）のメモリーピース","99002"
"1010202","1010220102","","ナナカのメモリーピース","99002"
"1010203","box_rank_9-17","ランダムな装備が獲得できる。","ランダム装備BOX","99002"
"1010301","1010320101","","ニノン（ハロウィン）のメモリーピース","99002"
"1010302","1010320102","","ジュンのメモリーピース","99002"
"1010401","1010420101","","トモのメモリーピース","99002"
"1010402","1010420102","","マツリのメモリーピース","99002"
"1010501","1010520101","","モニカのメモリーピース","99002"
"1010502","1010520102","","アユミのメモリーピース","99002"
"1010601","1010620101","","ヨリ（クリスマス）のメモリーピース","99002"
"1010602","1010620102","","ジュンのメモリーピース","99002"
"1010701","1010720101","","マヒル（クリスマス）のメモリーピース","99002"
"1010702","1010720102","","アカリのメモリーピース","99002"
"1010801","1010820101","","ミツキ（ニューイヤー）のメモリーピース","99002"
"1010802","1010820102","","イノリのメモリーピース","99002"
"1010803","box_rank_10-18","ランダムな装備が獲得できる。","ランダム装備BOX","99002"
"1010901","1010920101","","ルカ（ニューイヤー）のメモリーピース","99002"
"1010902","1010920102","","イリヤのメモリーピース","99002"
"1011001","1011020101","","カヤ（リベレイター）のメモリーピース","99002"
"1011002","1011020102","","ノゾミのメモリーピース","99002"
"1011101","1011120101","","カヤ（リベレイター）のメモリーピース","99002"
"1011102","1011120102","","チカのメモリーピース","99002"
"1011201","1011220101","","コッコロのメモリーピース","99002"
"1011202","1011220102","","キャルのメモリーピース","99002"
"1011401","1011420101","","モニカのメモリーピース","99002"
"1011402","1011420102","","タマキのメモリーピース","99002"
"1011501","1011520101","","マヒル（レンジャー）のメモリーピース","99002"
"1011502","1011520102","","リンのメモリーピース","99002"
"1011601","1011620101","","ハツネのメモリーピース","99002"
"1011602","1011620102","","シオリのメモリーピース","99002"
"1011603","box_rank_11-19","ランダムな装備が獲得できる。","ランダム装備BOX","99002"
"1011701","1011720101","","カヤのメモリーピース","99002"
"1011702","1011720102","","タマキのメモリーピース","99002"
"1011801","1011820101","","カリン（アルケミスト）のメモリーピース","99002"
"1011802","1011820102","","ジータのメモリーピース","99002"
"1011901","1011920101","","カスミのメモリーピース","99002"
"1011902","1011920102","","シノブのメモリーピース","99002"
"1012001","1012020101","","イリヤのメモリーピース","99002"
"1012002","1012020102","","ユキのメモリーピース","99002"
"1012101","1012120101","","アオイ（キャンプ）のメモリーピース","99002"
"1012102","1012120102","","ユカリのメモリーピース","99002"
"1012201","1012220101","","アキノ（サマー）のメモリーピース","99002"
"1012202","1012220102","","ミフユのメモリーピース","99002"
"1012203","box_rank_12-20","ランダムな装備が獲得できる。","ランダム装備BOX","99002"
"1012301","1012320101","","ヒヨリ（サマー）のメモリーピース","99002"
"1012302","1012320102","","ユイのメモリーピース","99002"
"1012401","1012420101","","クウカ（サマー）のメモリーピース","99002"
"1012402","1012420102","","シノブのメモリーピース","99002"
"1012501","1012520101","","ミソギ（サマー）のメモリーピース","99002"
"1012502","1012520102","","キョウカのメモリーピース","99002"
"1012601","1012620101","","リノのメモリーピース","99002"
"1012602","1012620102","","キャルのメモリーピース","99002"
"1012701","1012720101","","マホのメモリーピース","99002"
"1012702","1012720102","","アヤネのメモリーピース","99002"
"1012801","1012820101","","ルカのメモリーピース","99002"
"1012802","1012820102","","チカのメモリーピース","99002"
"1012803","box_rank_13-21","ランダムな装備が獲得できる。","ランダム装備BOX","99002"
"1012901","1012920101","","リン（ハロウィン）のメモリーピース","99002"
"1012902","1012920102","","ナナカのメモリーピース","99002"
"1013001","1013020101","","イオのメモリーピース","99002"
"1013002","1013020102","","ツムギのメモリーピース","99002"
"1013101","1013120101","","トモのメモリーピース","99002"
"1013102","1013120102","","マツリのメモリーピース","99002"
"1013201","1013220101","","サレンのメモリーピース","99002"
"1013202","1013220102","","ペコリーヌのメモリーピース","99002"
"1013301","1013320101","","ヨリ（クリスマス）のメモリーピース","99002"
"1013302","1013320102","","ジュンのメモリーピース","99002"
"1013401","1013420101","","イノリ（ニューイヤー）のメモリーピース","99002"
"1013402","1013420102","","カスミのメモリーピース","99002"
"1013501","1013520101","","ミツキ（ニューイヤー）のメモリーピース","99002"
"1013502","1013520102","","イノリのメモリーピース","99002"
"1013601","1013620101","","レイ（アストラル）のメモリーピース","99002"
"1013602","1013620102","","ユイのメモリーピース","99002"
"1013603","box_rank_14-22","ランダムな装備が獲得できる。","ランダム装備BOX","99002"
"1013701","1013720101","","レイ（アストラル）のメモリーピース","99002"
"1013702","1013720102","","ヒヨリのメモリーピース","99002"
"1013801","1013820101","","カヤ（リベレイター）のメモリーピース","99002"
"1013802","1013820102","","ノゾミのメモリーピース","99002"
"1013901","1013920101","","カヤ（リベレイター）のメモリーピース","99002"
"1013902","1013920102","","チカのメモリーピース","99002"
"1014001","1014020101","","ユニのメモリーピース","99002"
"1014002","1014020102","","ユカリのメモリーピース","99002"
"1014101","1014120101","","タマキのメモリーピース","99002"
"1014102","1014120102","","モニカのメモリーピース","99002"
"1014201","1014220101","","マコトのメモリーピース","99002"
"1014202","1014220102","","エリコのメモリーピース","99002"
"1014401","1014420101","","キョウカのメモリーピース","99002"
"1014402","1014420102","","スズメのメモリーピース","99002"
"1014403","box_rank_15-23","ランダムな装備が獲得できる。","ランダム装備BOX","99002"
"1014601","1014620101","","マホのメモリーピース","99002"
"1014602","1014620102","","クルミのメモリーピース","99002"
"1014801","1014820101","","ノゾミのメモリーピース","99002"
"1014802","1014820102","","チカのメモリーピース","99002"
"1014901","1014920101","","アキノ（サマー）のメモリーピース","99002"
"1014902","1014920102","","ミフユのメモリーピース","99002"
"1015001","1015020101","","ジュンのメモリーピース","99002"
"1015002","1015020102","","ペコリーヌのメモリーピース","99002"
"1015003","box_rank_16-24","ランダムな装備が獲得できる。","ランダム装備BOX","99002"
"1015101","1015120101","","クウカ（サマー）のメモリーピース","99002"
"1015102","1015120102","","シノブのメモリーピース","99002"
"1015201","1015220101","","エミリア（サマー）のメモリーピース","99002"
"1015202","1015220102","","コッコロのメモリーピース","99002"
"1015301","1015320101","","ラムのメモリーピース","99002"
"1015302","1015320102","","スズメのメモリーピース","99002"
"1015401","1015420101","","ハツネのメモリーピース","99002"
"1015402","1015420102","","ミヤコのメモリーピース","99002"
