04d768326582f5d1de6b127915aa60276bfd3c60b6fbea99802bc6f511cbfeff,95a4c86264d7b34765e279c8b6090405d0c8307df09d2eea44bdbdef6c2ac994,8aff6f4767922f8b21662dd3a09c5fd20d931e0d5f702626ebd6e01c772a1949,cc4f723d8e48f80771e00c4b49dc1dba3d22491d920f69183b7b253edcc9b47a,4d59d5685e369d2608ea553a8dd54fe04836ee33d94445f698744556807f70d0,df3e2fed4c7b546e59630e9142085034312b0d0a594e127e6c82bfe477de84a9,cac89e3acfdd6d7a2fa090d3022bae58f6149b769cd31c045c70cdcfd8dc9241,bfeb971a968496217efddad0a7327e9b98c487afd40e65713e1ed6d675895c30,0f9813aaa4a71bc2167845ab8474c22921f4e54856d5693281f8dd01e107e5be,5d1780e5569164baaf7c1f48f8a8b6905a8876b90be6978294f1c54e1728a2fd,a9849163411f87d10877e4014e273d1cf638f3e86a5321a9a05305e2b38344b9,d2a9e068b15f5389d722adb8728ad8a093974cb9398c6fcfc76b474973edde73
"vo_won_10116135_03","10116135","2","0","1011613518","0","0","0","0","0","18","vo_won"
"0","10116135","1","1.26","1011613519","289","0","450","0","4","19","0"
"0","10116135","4","0","1011613520","0","1.26","0","1","0","20","0"
"0","10116135","1","1.394","1011613521","0","0","202","0","5","21","0"
"0","10116135","4","0","1011613522","0","2.162","0","1","0","22","0"
"0","10116135","1","2.355","1011613523","202","0","450","0","5","23","0"
"0","10116135","4","0","1011613524","0","2.355","0","1","0","24","0"
"0","10116135","1","2.646","1011613525","0","0","273","0","6","25","0"
"0","10116135","4","0","1011613526","0","4.005","0","1","0","26","0"
"vo_won_10116135_04","10116135","2","0","1011613527","0","0","0","0","0","27","vo_won"
"0","10116135","1","1.54","1011613528","273","0","450","0","6","28","0"
"0","10116135","4","0","1011613529","0","2.182","0","1","0","29","0"
"0","10116135","1","2.931","1011613530","0","0","334","0","7","30","0"
"0","10116135","4","0","1011613531","0","4.229","0","1","0","31","0"
"vo_won_10116135_05","10116135","2","0","1011613532","0","0","0","0","0","32","vo_won"
"0","10116135","1","0.876","1011613533","334","0","450","0","7","33","0"
"0","10116135","4","0","1011613534","0","1.994","0","1","0","34","0"
"vo_won_10116135_06","10116135","2","0","1011613535","0","0","0","0","0","35","vo_won"
"0","10116135","1","3.336","1011613536","0","0","450","0","8","36","0"
"0","10116135","4","0","1011613537","0","3.882","0","1","0","37","0"
"0","10116135","1","4.02399999999999","1011613538","0","0","450","0","9","38","0"
"0","10116135","4","0","1011613539","0","5.214","0","1","0","39","0"
"vo_won_10116135_07","10116135","2","0","1011613540","0","0","0","0","0","40","vo_won"
"0","10116135","1","0.536","1011613541","0","0","69","0","10","41","0"
"0","10116135","4","0","1011613542","0","0.952","0","1","0","42","0"
"0","10116135","1","1.989","1011613543","69","0","305","0","10","43","0"
"0","10116135","4","0","1011613544","0","3.059","0","1","0","44","0"
"vo_won_10116135_08","10116135","2","0","1011613545","0","0","0","0","0","45","vo_won"
"0","10116135","1","1.83600000000001","1011613546","305","0","450","0","10","46","0"
"0","10116135","4","0","1011613547","0","1.83600000000001","0","1","0","47","0"
"0","10116135","1","2.392","1011613548","0","0","386","0","11","48","0"
"0","10116135","4","0","1011613549","0","3.659","0","1","0","49","0"
"vo_won_10116135_09","10116135","2","0","1011613550","0","0","0","0","0","50","vo_won"
"0","10116135","1","0.558","1011613551","386","0","450","0","11","51","0"
"0","10116135","4","0","1011613552","0","0.558","0","1","0","52","0"
"0","10116135","1","2.208","1011613553","0","0","257","0","12","53","0"
"0","10116135","4","0","1011613554","0","3.355","0","1","0","54","0"
"vo_won_10116135_10","10116135","2","0","1011613555","0","0","0","0","0","55","vo_won"
"0","10116135","1","1.939","1011613556","257","0","450","0","12","56","0"
"0","10116135","4","0","1011613557","0","1.939","0","1","0","57","0"
"0","10116135","1","1.895","1011613558","0","0","228","0","13","58","0"
"0","10116135","4","0","1011613559","0","3.56","0","1","0","59","0"
"vo_won_10116135_11","10116135","2","0","1011613560","0","0","0","0","0","60","vo_won"
"0","10116135","1","1.826","1011613561","228","0","450","0","13","61","0"
"0","10116135","4","0","1011613562","0","2.452","0","1","0","62","0"
"vo_won_10116135_12","10116135","2","0","1011613563","0","0","0","0","0","63","vo_won"
"0","10116135","1","1.196","1011613564","0","0","153","0","14","64","0"
"0","10116135","4","0","1011613565","0","1.679","0","1","0","65","0"
"0","10116135","1","2.542","1011613566","153","0","450","0","14","66","0"
"0","10116215","4","0","1011621501","0","0.8","0","1","0","1","0"
"0","10116215","1","0.388","1011621502","0","0","58","0","1","2","0"
"0","10116215","4","0","1011621503","0","0.388","0","1","0","3","0"
"vo_won_10116215_01","10116215","2","0","1011621504","0","0","0","0","0","4","vo_won"
"0","10116215","1","2.36","1011621505","58","0","320","0","1","5","0"
"0","10116215","4","0","1011621506","0","3.141","0","1","0","6","0"
"vo_won_10116215_02","10116215","2","0","1011621507","0","0","0","0","0","7","vo_won"
"0","10116215","1","1.385","1011621508","0","0","164","0","2","8","0"
"0","10116215","4","0","1011621509","0","1.9","0","1","0","9","0"
"0","10116215","1","1.933","1011621510","164","0","450","0","2","10","0"
"0","10116215","4","0","1011621511","0","1.933","0","1","0","11","0"
"0","10116215","1","1.385","1011621512","0","0","132","0","3","12","0"
"0","10116215","4","0","1011621513","0","1.9","0","1","0","13","0"
"vo_won_10116215_03","10116215","2","0","1011621514","0","0","0","0","0","14","vo_won"
"0","10116215","1","2.347","1011621515","132","0","440","0","3","15","0"
"0","10116215","4","0","1011621516","0","2.347","0","1","0","16","0"
"0","10116215","1","1.01","1011621517","0","0","168","0","4","17","0"
"0","10116215","4","0","1011621518","0","1.545","0","1","0","18","0"
"0","10116215","1","1.84","1011621519","168","0","440","0","4","19","0"
"0","10116215","4","0","1011621520","0","2.212","0","1","0","20","0"
"0","10116215","1","2.916","1011621521","0","0","440","0","5","21","0"
"0","10116215","4","0","1011621522","0","4.146","0","1","0","22","0"
"vo_won_10116215_04","10116215","2","0","1011621523","0","0","0","0","0","23","vo_won"
"0","10116215","1","1.386","1011621524","0","0","216","0","6","24","0"
"0","10116215","4","0","1011621525","0","1.878","0","1","0","25","0"
"0","10116215","1","1.523","1011621526","216","0","440","0","6","26","0"
"0","10116215","4","0","1011621527","0","1.523","0","1","0","27","0"
"0","10116215","1","1.493","1011621528","0","0","190","0","7","28","0"
"0","10116215","4","0","1011621529","0","2.416","0","1","0","29","0"
"vo_won_10116215_05","10116215","2","0","1011621530","0","0","0","0","0","30","vo_won"
"0","10116215","1","0.341","1011621531","0","0","41","0","8","31","0"
"0","10116215","4","0","1011621532","0","0.921","0","1","0","32","0"
"0","10116215","1","3.701","1011621533","41","0","450","0","8","33","0"
"0","10116215","4","0","1011621534","0","4.45","0","1","0","34","0"
"vo_won_10116215_06","10116215","2","0","1011621535","0","0","0","0","0","35","vo_won"
"0","10116215","1","0.447","1011621536","0","0","56","0","9","36","0"
"0","10116215","4","0","1011621537","0","1.219","0","1","0","37","0"
"0","10116215","1","3.295","1011621538","56","0","410","0","9","38","0"
"0","10116215","4","0","1011621539","0","3.769","0","1","0","39","0"
"0","10116215","1","3.474","1011621540","0","0","430","0","10","40","0"
"0","10116215","4","0","1011621541","0","4.818","0","1","0","41","0"
"vo_won_10116215_07","10116215","2","0","1011621542","0","0","0","0","0","42","vo_won"
"0","10116215","1","2.628","1011621543","0","0","450","0","11","43","0"
"0","10116215","4","0","1011621544","0","3.159","0","1","0","44","0"
"0","10116215","1","2.454","1011621545","0","0","390","0","12","45","0"
"0","10116215","4","0","1011621546","0","3.582","0","1","0","46","0"
"vo_won_10116215_08","10116215","2","0","1011621547","0","0","0","0","0","47","vo_won"
"0","10116215","1","2.514","1011621548","0","0","360","0","13","48","0"
"0","10116215","4","0","1011621549","0","3.089","0","1","0","49","0"
"0","10116215","1","2.104","1011621550","0","0","300","0","14","50","0"
"0","10116215","4","0","1011621551","0","2.494","0","1","0","51","0"
"vo_won_10116215_09","10116215","2","0","1011621552","0","0","0","0","0","52","vo_won"
"0","10116215","1","0.799","1011621553","300","0","430","0","14","53","0"
"0","10116225","4","0","1011622501","0","0.8","0","1","0","1","0"
"vo_won_10116225_01","10116225","2","0","1011622502","0","0","0","0","0","2","vo_won"
"0","10116225","1","3.617","1011622503","0","0","430","0","1","3","0"
"0","10116225","4","0","1011622504","0","3.913","0","1","0","4","0"
"0","10116225","1","2.134","1011622505","0","0","311","0","2","5","0"
"0","10116225","4","0","1011622506","0","2.83","0","1","0","6","0"
"0","10116225","1","1.272","1011622507","311","0","450","0","2","7","0"
"0","10116225","4","0","1011622508","0","1.697","0","1","0","8","0"
"0","10116225","1","2.973","1011622509","0","0","400","0","3","9","0"
"0","10116225","4","0","1011622510","0","4.106","0","1","0","10","0"
"vo_won_10116225_02","10116225","2","0","1011622511","0","0","0","0","0","11","vo_won"
"0","10116225","1","3.799","1011622512","0","0","430","0","4","12","0"
"0","10116225","4","0","1011622513","0","4.289","0","1","0","13","0"
"0","10116225","1","3.027","1011622514","0","0","370","0","5","14","0"
"0","10116225","4","0","1011622515","0","3.596","0","1","0","15","0"
"0","10116225","1","2.979","1011622516","0","0","420","0","6","16","0"
"0","10116225","4","0","1011622517","0","3.713","0","1","0","17","0"
"0","10116225","1","3.625","1011622518","0","0","450","0","7","18","0"
"0","10116225","4","0","1011622519","0","4.113","0","1","0","19","0"
"0","10116225","1","4.389","1011622520","0","0","450","0","8","20","0"
"0","10116225","4","0","1011622521","0","5.693","0","1","0","21","0"
"vo_won_10116225_03","10116225","2","0","1011622522","0","0","0","0","0","22","vo_won"
"0","10116225","1","4.285","1011622523","0","0","450","0","9","23","0"
"0","10116225","4","0","1011622524","0","4.285","0","1","0","24","0"
"0","10116225","1","1.638","1011622525","0","0","230","0","10","25","0"
"0","10116225","4","0","1011622526","0","2.675","0","1","0","26","0"
"vo_won_10116225_04","10116225","2","0","1011622527","0","0","0","0","0","27","vo_won"
"0","10116225","1","2.181","1011622528","0","0","287","0","11","28","0"
"0","10116225","4","0","1011622529","0","2.757","0","1","0","29","0"
"0","10116225","1","0.688","1011622530","287","0","410","0","11","30","0"
"0","10116225","4","0","1011622531","0","1.004","0","1","0","31","0"
"0","10116225","1","4.031","1011622532","0","0","450","0","12","32","0"
"0","10116225","4","0","1011622533","0","4.031","0","1","0","33","0"
"0","10116225","1","1.989","1011622534","0","0","280","0","13","34","0"
"0","10116225","4","0","1011622535","0","2.935","0","1","0","35","0"
"vo_won_10116225_05","10116225","2","0","1011622536","0","0","0","0","0","36","vo_won"
"0","10116225","1","1.9","1011622537","0","0","272","0","14","37","0"
"0","10116225","4","0","1011622538","0","2.389","0","1","0","38","0"
"0","10116225","1","1.731","1011622539","272","0","430","0","14","39","0"
"0","10116235","4","0","1011623501","0","0.8","0","1","0","1","0"
"vo_won_10116235_01","10116235","2","0","1011623502","0","0","0","0","0","2","vo_won"
"0","10116235","1","3.959","1011623503","0","0","450","0","1","3","0"
"0","10116235","4","0","1011623504","0","4.004","0","1","0","4","0"
"0","10116235","1","3.661","1011623505","0","0","450","0","2","5","0"
"0","10116235","4","0","1011623506","0","4.388","0","1","0","6","0"
"0","10116235","1","4.078","1011623507","0","0","450","0","3","7","0"
"0","10116235","4","0","1011623508","0","4.692","0","1","0","8","0"
"0","10116235","1","3.755","1011623509","0","0","450","0","4","9","0"
"0","10116235","4","0","1011623510","0","3.755","0","1","0","10","0"
"0","10116235","1","0.508","1011623511","0","0","120","0","5","11","0"
"0","10116235","4","0","1011623512","0","1.54","0","1","0","12","0"
"vo_won_10116235_02","10116235","2","0","1011623513","0","0","0","0","0","13","vo_won"
"0","10116235","1","2.822","1011623514","0","0","430","0","6","14","0"
"0","10116235","4","0","1011623515","0","2.822","0","1","0","15","0"
"0","10116235","1","3.483","1011623516","0","0","450","0","7","16","0"
"0","10116235","4","0","1011623517","0","3.483","0","1","0","17","0"
"0","10116235","1","0.916","1011623518","0","0","125","0","8","18","0"
"0","10116235","4","0","1011623519","0","1.779","0","1","0","19","0"
"0","10116235","1","3.202","1011623520","125","0","450","0","8","20","0"
"0","10116235","4","0","1011623521","0","3.202","0","1","0","21","0"
"0","10116235","1","3.61","1011623522","0","0","440","0","9","22","0"
"0","10116235","4","0","1011623523","0","4.249","0","1","0","23","0"
"0","10116235","1","3.269","1011623524","0","0","380","0","10","24","0"
"0","10116235","4","0","1011623525","0","3.269","0","1","0","25","0"
"0","10116235","1","2.274","1011623526","0","0","260","0","11","26","0"
"0","10116235","4","0","1011623527","0","2.643","0","1","0","27","0"
"vo_won_10116235_03","10116235","2","0","1011623528","0","0","0","0","0","28","vo_won"
"0","10116235","1","3.522","1011623529","0","0","380","0","12","29","0"
"0","10116235","4","0","1011623530","0","4.483","0","1","0","30","0"
"0","10116235","1","2.691","1011623531","0","0","440","0","13","31","0"
"0","10116235","4","0","1011623532","0","2.828","0","1","0","32","0"
"0","10116235","1","1.702","1011623533","0","0","300","0","14","33","0"
