71a0c15a3ea3c25b6b00ffb016e618a6a544c681210654cd980b671acaeeb305,6b336aca326b5fb36b08441eac4d6e249363fa487c8865375a730fc773e0b65a,3a0d8702b9b2771798463609da130d7027e962f20624f0888b2ee38238b8003b,cf8afcc46f9440cf1828d627d1d04ad9350881ffbdbc8370c6159779ec79c78c,d159e3b66cfda74b8dce2efacd8aed21a1a7d20d3fe7189b87ce7dc7563d976b,6f510a43482f6f8704f757acdc43a757d764250574273664211109069e150d3c
"4","1","600","100","3040","73"
"4","1","600","100","3140","74"
"4","1","600","100","3240","75"
"4","1","600","100","3340","76"
"4","1","600","100","3440","77"
"4","1","600","100","3540","78"
"4","1","600","100","3640","79"
"4","1","600","100","3740","80"
"4","1","600","125","3865","81"
"4","1","600","125","3990","82"
"4","1","600","125","4115","83"
"4","1","600","125","4240","84"
"4","1","600","125","4365","85"
"4","1","600","125","4490","86"
"4","1","600","125","4615","87"
"4","1","600","125","4740","88"
"4","1","600","125","4865","89"
"4","1","600","125","4990","90"
"5","1","600","150","5140","91"
"5","1","600","150","5290","92"
"5","1","600","150","5440","93"
"5","1","600","150","5590","94"
"5","1","600","150","5740","95"
"5","1","600","150","5890","96"
"5","1","600","150","6040","97"
"5","1","600","150","6190","98"
"5","1","600","150","6340","99"
"5","1","600","150","6490","100"
"5","1","600","175","6665","101"
"5","1","600","175","6840","102"
"5","1","600","175","7015","103"
"5","1","600","175","7190","104"
"5","1","600","175","7365","105"
"5","1","600","175","7540","106"
"5","1","600","175","7715","107"
"5","1","600","175","7890","108"
"5","1","600","175","8065","109"
"5","1","600","175","8240","110"
"6","1","600","200","8440","111"
"6","1","600","200","8640","112"
"6","1","600","200","8840","113"
"6","1","600","200","9040","114"
"6","1","600","200","9240","115"
"6","1","600","200","9440","116"
"6","1","600","200","9640","117"
"6","1","600","200","9840","118"
"6","1","600","200","10040","119"
"6","1","600","200","10240","120"
"6","1","600","225","10465","121"
"6","1","600","225","10690","122"
"6","1","600","225","10915","123"
"6","1","600","225","11140","124"
"6","1","600","225","11365","125"
"6","1","600","225","11590","126"
"6","1","600","225","11815","127"
"6","1","600","225","12040","128"
"6","1","600","225","12265","129"
"6","1","600","225","12490","130"
"7","1","600","250","12740","131"
"7","1","600","250","12990","132"
"7","1","600","250","13240","133"
"7","1","600","250","13490","134"
"7","1","600","250","13740","135"
"7","1","600","250","13990","136"
"7","1","600","250","14240","137"
"7","1","600","250","14490","138"
"7","1","600","250","14740","139"
"7","1","600","250","14990","140"
"8","1","600","250","15240","141"
"8","1","600","250","15490","142"
"8","1","600","250","15740","143"
"8","1","600","250","15990","144"
"8","1","600","250","16240","145"
"8","1","600","250","16490","146"
"8","1","600","250","16740","147"
"8","1","600","250","16990","148"
"8","1","600","250","17240","149"
"8","1","600","250","17490","150"
"9","1","600","250","17740","151"
"9","1","600","250","17990","152"
"9","1","600","250","18240","153"
"9","1","600","250","18490","154"
"9","1","600","250","18740","155"
"9","1","600","250","18990","156"
"9","1","600","250","19240","157"
"9","1","600","250","19490","158"
"9","1","600","250","19740","159"
"9","1","600","250","19990","160"
"10","1","600","250","20240","161"
"10","1","600","250","20490","162"
"10","1","600","250","20740","163"
"10","1","600","250","20990","164"
"10","1","600","250","21240","165"
"10","1","600","250","21490","166"
"10","1","600","250","21740","167"
"10","1","600","250","21990","168"
"10","1","600","250","22240","169"
"10","1","600","250","22490","170"
"11","1","600","250","22740","171"
"11","1","600","250","22990","172"
"11","1","600","250","23240","173"
"11","1","600","250","23490","174"
"11","1","600","250","23740","175"
"11","1","600","250","23990","176"
"11","1","600","250","24240","177"
"11","1","600","250","24490","178"
"11","1","600","250","24740","179"
"11","1","600","250","24990","180"
"12","1","600","250","25240","181"
"12","1","600","250","25490","182"
"12","1","600","250","25740","183"
"12","1","600","250","25990","184"
"12","1","600","250","26240","185"
"12","1","600","250","26490","186"
"12","1","600","250","26740","187"
"12","1","600","250","26990","188"
"12","1","600","250","27240","189"
"12","1","600","250","27490","190"
"13","1","600","250","27740","191"
"13","1","600","250","27990","192"
"13","1","600","250","28240","193"
"13","1","600","250","28490","194"
"13","1","600","250","28740","195"
"13","1","600","250","28990","196"
"13","1","600","250","29240","197"
"13","1","600","250","29490","198"
"13","1","600","250","29740","199"
"13","1","600","250","29990","200"
"14","1","600","250","30240","201"
"14","1","600","250","30490","202"
"14","1","600","250","30740","203"
"14","1","600","250","30990","204"
"14","1","600","250","31240","205"
"14","1","600","250","31490","206"
"14","1","600","250","31740","207"
"14","1","600","250","31990","208"
"14","1","600","250","32240","209"
"14","1","600","250","32490","210"
"15","1","680","250","32740","211"
"15","1","680","250","32990","212"
"15","1","680","250","33240","213"
"15","1","680","250","33490","214"
"15","1","680","250","33740","215"
"15","1","680","250","33990","216"
"15","1","680","250","34240","217"
"15","1","680","250","34490","218"
"15","1","680","250","34740","219"
"15","1","680","250","34990","220"
"16","1","680","250","35240","221"
"16","1","680","250","35490","222"
"16","1","680","250","35740","223"
"16","1","680","250","35990","224"
"16","1","680","250","36240","225"
"16","1","680","250","36490","226"
"16","1","680","250","36740","227"
"16","1","680","250","36990","228"
"16","1","680","250","37240","229"
"16","1","680","250","37490","230"
"17","1","680","250","37740","231"
"17","1","680","250","37990","232"
"17","1","680","250","38240","233"
"17","1","680","250","38490","234"
"17","1","680","250","38740","235"
"17","1","680","250","38990","236"
"17","1","680","250","39240","237"
"17","1","680","250","39490","238"
"17","1","680","250","39740","239"
"17","1","680","250","39990","240"
"18","1","680","250","40240","241"
"18","1","680","250","40490","242"
"18","1","680","250","40740","243"
"18","1","680","250","40990","244"
"18","1","680","250","41240","245"
"18","1","680","250","41490","246"
"18","1","680","250","41740","247"
"18","1","680","250","41990","248"
"18","1","680","250","42240","249"
"18","1","680","250","42490","250"
"19","1","680","250","42740","251"
"19","1","680","250","42990","252"
"19","1","680","250","43240","253"
"19","1","680","250","43490","254"
"19","1","680","250","43740","255"
"19","1","680","250","43990","256"
"19","1","680","250","44240","257"
"19","1","680","250","44490","258"
"19","1","680","250","44740","259"
"19","1","680","250","44990","260"
"20","1","680","250","45240","261"
"20","1","680","250","45490","262"
"20","1","680","250","45740","263"
"20","1","680","250","45990","264"
"20","1","680","250","46240","265"
"20","1","680","250","46490","266"
"20","1","680","250","46740","267"
"20","1","680","250","46990","268"
"20","1","680","250","47240","269"
"20","1","680","250","47490","270"
"21","1","680","250","47740","271"
"21","1","680","250","47990","272"
"21","1","680","250","48240","273"
"21","1","680","250","48490","274"
"21","1","680","250","48740","275"
"21","1","680","250","48990","276"
"21","1","680","250","49240","277"
"21","1","680","250","49490","278"
"21","1","680","250","49740","279"
"21","1","680","250","49990","280"
"22","1","680","250","50240","281"
"22","1","680","250","50490","282"
"22","1","680","250","50740","283"
"22","1","680","250","50990","284"
"22","1","680","250","51240","285"
"22","1","680","250","51490","286"
"22","1","680","250","51740","287"
"22","1","680","250","51990","288"
"22","1","680","250","52240","289"
"22","1","680","250","52490","290"
"23","1","680","250","52740","291"
"23","1","680","250","52990","292"
"23","1","680","250","53240","293"
"23","1","680","250","53490","294"
"23","1","680","250","53740","295"
"23","1","680","250","53990","296"
"23","1","680","250","54240","297"
"23","1","680","250","54490","298"
"23","1","680","250","54740","299"
"23","1","680","250","54990","300"
"24","1","680","250","55240","301"
"24","1","680","250","55490","302"
"24","1","680","250","55740","303"
"24","1","680","250","55990","304"
"24","1","680","250","56240","305"
"24","1","680","250","56490","306"
"24","1","680","250","56740","307"
"24","1","680","250","56990","308"
"24","1","680","250","57240","309"
"24","1","680","250","57490","310"
"25","1","680","250","57740","311"
"25","1","680","250","57990","312"
"25","1","680","250","58240","313"
"25","1","680","250","58490","314"
"25","1","680","250","58740","315"
"25","1","680","250","58990","316"
"25","1","680","250","59240","317"
"25","1","680","250","59490","318"
"25","1","680","250","59740","319"
"25","1","680","250","59990","320"
"26","1","680","250","60240","321"
"26","1","680","250","60490","322"
"26","1","680","250","60740","323"
"26","1","680","250","60990","324"
"26","1","680","250","61240","325"
"26","1","680","250","61490","326"
"26","1","680","250","61740","327"
"26","1","680","250","61990","328"
"26","1","680","250","62240","329"
"26","1","680","250","62490","330"
"27","1","680","250","62740","331"
"27","1","680","250","62990","332"
"27","1","680","250","63240","333"
"27","1","680","250","63490","334"
"27","1","680","250","63740","335"
"27","1","680","250","63990","336"
"27","1","680","250","64240","337"
"27","1","680","250","64490","338"
"27","1","680","250","64740","339"
"27","1","680","250","64990","340"
"28","1","680","250","65240","341"
"28","1","680","250","65490","342"
"28","1","680","250","65740","343"
"28","1","680","250","65990","344"
"28","1","680","250","66240","345"
"28","1","680","250","66490","346"
"28","1","680","250","66740","347"
"28","1","680","250","66990","348"
"28","1","680","250","67240","349"
"28","1","680","250","67490","350"
"29","1","680","250","67740","351"
"29","1","680","250","67990","352"
"29","1","680","250","68240","353"
"29","1","680","250","68490","354"
"29","1","680","250","68740","355"
"29","1","680","250","68990","356"
"29","1","680","250","69240","357"
"29","1","680","250","69490","358"
"29","1","680","250","69740","359"
"29","1","680","250","69990","360"
"30","1","760","275","70265","361"
"30","1","760","275","70540","362"
"30","1","760","275","70815","363"
"30","1","760","275","71090","364"
"30","1","760","275","71365","365"
"30","1","760","275","71640","366"
"30","1","760","275","71915","367"
"30","1","760","275","72190","368"
"30","1","760","275","72465","369"
"30","1","760","275","72740","370"
"1","2","200000","50","50","0"
"1","2","500000","10","60","1"
"1","2","500000","15","75","2"
"1","2","500000","20","95","3"
"1","2","500000","25","120","4"
"1","2","500000","30","150","5"
