20721dc10df02449c0260c50b761e095045c94a7272bf7d8d62668b3d3f594ab,f4b9f25b566ba684f2218fcaaa836e2d55be29d1020071c6c9b3f29cbf6bb401,2a9d628bb2ecf21e3c1fcf8ea56c69985093c94c8c8aaa7a83cc0fa28fce1d4d,156259b323189e6986eecd9105926683a2358143a023dbebb81e8bbaa9b0970d,195e4479c028ec470a3b005d6544326554e2c741d8d502ac9cb2dd4eebc524fb,d27a8b4ab8982821f834e1ac81f452e28ab2b855aa8e95c166b629bd39c11e5e,5995b8029c85b35b76340f251514db57ca0878eee457a34feee142f5fbde2287,6bcaad19a83a25daf6a05c29285d344ef81da65a07125b4442a1eb313a652704,0c5ecd51f30f3c66476da05da6d8027b3402e5421ec5fe9e1368fe9fe0a9e80a,b725440e4a91bdf7aaac682e6ae87c0f69b1bd6a67f40bdfc172b96056f6c810,177370a3d4bd846ad77e40416d767d21102475ec01c48bca2982ee6d2319e068,02b31b948874fbd2d3ac114dfd29333d600ebbe3f5f178f25962fcb704ce5cbb,231ee6332fa4dbc8c2f1134681dd38d7781e71f8dabf75f67295584d6f65536b,aab2b1c4e3a984f186d11addecc66da17a751524ad7a9c0ead998c4d239f81c5,97a2f58e2e36950e797cf3e6fa1a8ec91a1945e72bd66683b55e169eaa945358
"2411","2022/03/10 5:00:00","1","2413","-107","241","0","100","0","2412","0","2816","0","24","1"
"2511","2022/03/11 5:00:00","1","2513","-149","251","0","100","0","2512","0","2816","0","25","1"
"2611","2022/03/12 5:00:00","1","2613","-188","261","0","100","0","2612","0","2816","0","26","1"
"2711","2022/03/13 5:00:00","1","2713","-96","271","0","100","0","2712","0","2816","0","27","1"
"2811","2022/03/14 5:00:00","1","2813","-133","281","0","100","0","2812","0","2816","0","28","1"
"2911","2022/03/15 5:00:00","1","2913","-174","291","0","100","0","2912","0","2816","0","29","1"
"3011","2022/03/16 5:00:00","1","3013","-230","301","0","100","0","3012","0","2816","0","30","1"
"3111","2022/03/17 5:00:00","1","3113","-272","311","0","100","0","3112","0","2816","0","31","1"
"3211","2022/03/18 5:00:00","1","3213","-313","321","0","100","0","3212","0","2816","0","32","1"
"3311","2022/03/19 5:00:00","1","3313","-240","331","0","100","0","3312","0","2816","0","33","1"
"3411","2022/03/20 5:00:00","1","3413","-260","341","0","100","0","3412","0","2816","0","34","1"
"3511","2022/03/21 5:00:00","1","3513","-280","351","0","100","0","3512","0","2816","0","35","1"
"3611","2022/03/22 5:00:00","1","3613","-354","361","0","100","0","3612","0","2816","0","36","1"
"3711","2022/03/23 5:00:00","1","3713","-395","371","0","100","0","3712","0","2816","0","37","1"
"3811","2022/03/24 5:00:00","1","3813","-436","381","0","100","0","3812","0","2816","0","38","1"
"3911","2022/03/25 5:00:00","1","3913","-477","391","0","100","0","3912","0","2816","0","39","1"
"4011","2022/03/26 5:00:00","1","4013","-400","401","0","100","0","4012","0","2816","0","40","1"
"4111","2022/03/27 5:00:00","1","4113","-438","411","0","100","0","4112","0","2816","0","41","1"
"4211","2022/03/28 5:00:00","1","4213","0","421","0","100","0","4212","0","2816","0","42","1"
"4311","2022/03/29 5:00:00","2","4313","371","431","0","200","0","4312","0","2816","0","43","2"
"4411","2022/03/30 5:00:00","2","4413","343","441","0","200","0","4412","0","2816","0","44","2"
"4511","2022/03/31 5:00:00","2","4513","260","451","0","200","105801","4512","9105803","2816","0","45","2"
"4611","2022/04/01 5:00:00","2","4613","313","461","0","200","0","4612","0","2816","0","46","2"
"4711","2022/04/02 5:00:00","2","4713","285","471","0","200","0","4712","0","2816","0","47","2"
"4811","2022/04/03 5:00:00","2","4813","260","481","0","200","102001","4812","9102003","2816","0","48","2"
"4911","2022/04/04 5:00:00","2","4913","257","491","0","200","0","4912","0","2816","0","49","2"
"5011","2022/04/05 5:00:00","2","5013","173","501","0","200","100201","5012","9100203","2816","0","50","2"
"5111","2022/04/06 5:00:00","2","5113","227","511","0","200","0","5112","0","2816","0","51","2"
"5211","2022/04/07 5:00:00","2","5213","57","521","0","200","105501","5212","9105503","2816","0","52","2"
"5311","2022/04/08 5:00:00","2","5313","197","531","0","200","0","5312","0","2816","0","53","2"
"5411","2022/04/09 5:00:00","2","5413","169","541","0","200","0","5412","0","2816","0","54","2"
"5511","2022/04/10 5:00:00","2","5513","-55","551","0","200","101601","5512","9101603","2816","0","55","2"
"5611","2022/04/11 5:00:00","2","5613","141","561","0","200","0","5612","0","2816","0","56","2"
"5711","2022/04/12 5:00:00","2","5713","111","571","0","200","0","5712","0","2816","0","57","2"
"5811","2022/04/13 5:00:00","2","5813","81","581","0","200","0","5812","0","2816","0","58","2"
"5911","2022/04/14 5:00:00","2","5913","53","591","0","200","0","5912","0","2816","0","59","2"
"6011","2022/04/15 5:00:00","2","6013","-180","601","0","200","0","6012","0","2816","0","60","2"
"6111","2022/04/16 5:00:00","2","6113","-210","611","0","200","0","6112","0","2816","0","61","2"
"6211","2022/04/17 5:00:00","2","6213","-221","621","0","200","106701","6212","9106703","2816","0","62","2"
"6311","2022/04/18 5:00:00","2","6313","24","631","0","200","0","6312","0","2816","0","63","2"
"6411","2022/04/19 5:00:00","2","6413","-6","641","0","200","0","6412","0","2816","0","64","2"
"6511","2022/04/20 5:00:00","2","6513","-33","651","0","200","0","6512","0","2816","0","65","2"
"6611","2022/04/21 5:00:00","2","6613","-63","661","0","200","0","6612","0","2816","0","66","2"
"6711","2022/04/22 5:00:00","2","6713","-91","671","0","200","0","6712","0","2816","0","67","2"
"6811","2022/04/23 5:00:00","2","6813","-121","681","0","200","0","6812","0","2816","0","68","2"
"6911","2022/04/24 5:00:00","2","6913","-150","691","0","200","0","6912","0","2816","0","69","2"
"7011","2022/04/25 5:00:00","2","7013","-180","701","0","200","0","7012","0","2816","0","70","2"
"7111","2022/04/26 5:00:00","2","7113","-208","711","0","200","0","7112","0","2816","0","71","2"
"7211","2022/04/27 5:00:00","2","7213","-236","721","0","200","0","7212","0","2816","0","72","2"
"7311","2022/04/28 5:00:00","2","7313","-266","731","0","200","0","7312","0","2816","0","73","2"
"7411","2022/04/29 5:00:00","2","7413","-295","741","0","200","0","7412","0","2816","0","74","2"
"7511","2022/04/30 5:00:00","2","7513","-360","751","0","200","0","7512","0","2816","1","75","2"
"7611","2022/05/01 5:00:00","3","7613","344","761","0","100","0","7612","0","2816","0","76","1"
"7711","2022/05/02 5:00:00","3","7713","306","771","0","100","0","7712","0","2816","0","77","1"
"7811","2022/05/03 5:00:00","3","7813","390","781","0","100","0","7812","0","2816","0","78","1"
"7911","2022/05/04 5:00:00","3","7913","267","791","0","100","0","7912","0","2816","0","79","1"
"8011","2022/05/05 5:00:00","3","8013","254","801","0","100","104401","8012","9104403","2816","0","80","1"
"8111","2022/05/06 5:00:00","3","8113","230","811","0","100","0","8112","0","2816","0","81","1"
"8211","2022/05/07 5:00:00","3","8213","192","821","0","100","0","8212","0","2816","0","82","1"
"8311","2022/05/08 5:00:00","3","8313","284","831","0","100","0","8312","0","2816","0","83","1"
"8411","2022/05/09 5:00:00","3","8413","153","841","0","100","0","8412","0","2816","0","84","1"
"8511","2022/05/10 5:00:00","3","8513","0","851","0","100","102301","8512","9102303","2816","0","85","1"
"8611","2022/05/11 5:00:00","3","8613","-207","861","0","100","105901","8612","9105903","2816","0","86","1"
"8711","2022/05/12 5:00:00","3","8713","116","871","0","100","0","8712","0","2816","0","87","1"
"8811","2022/05/13 5:00:00","3","8813","78","881","0","100","0","8812","0","2816","0","88","1"
"8911","2022/05/14 5:00:00","3","8913","173","891","0","100","0","8912","0","2816","0","89","1"
"9011","2022/05/15 5:00:00","3","9013","145","901","0","100","0","9012","0","2816","0","90","1"
"9111","2022/05/16 5:00:00","3","9113","40","911","0","100","0","9112","0","2816","0","91","1"
"9211","2022/05/17 5:00:00","3","9213","0","921","0","100","0","9212","0","2816","0","92","1"
"9311","2022/05/18 5:00:00","3","9313","-36","931","0","100","0","9312","0","2816","0","93","1"
"9411","2022/05/19 5:00:00","3","9413","-75","941","0","100","0","9412","0","2816","0","94","1"
"9511","2022/05/20 5:00:00","3","9513","-111","951","0","100","0","9512","0","2816","0","95","1"
"9611","2022/05/21 5:00:00","3","9613","-113","961","0","100","0","9612","0","2816","0","96","1"
"9711","2022/05/22 5:00:00","3","9713","-150","971","0","100","0","9712","0","2816","0","97","1"
"9811","2022/05/23 5:00:00","3","9813","-226","981","0","100","0","9812","0","2816","0","98","1"
"9911","2022/05/24 5:00:00","3","9913","0","991","0","100","0","9912","0","2816","0","99","1"
"10011","2022/05/25 5:00:00","3","10013","-70","1001","0","100","0","10012","0","2816","0","100","1"
"10111","2022/05/26 5:00:00","3","10113","-171","1011","0","100","0","10112","0","2816","0","101","1"
"10211","2022/05/27 5:00:00","3","10213","-263","1021","0","100","0","10212","0","2816","0","102","1"
"10311","2022/05/28 5:00:00","3","10313","-302","1031","0","100","0","10312","0","2816","0","103","1"
"10411","2022/05/29 5:00:00","3","10413","-245","1041","0","100","0","10412","0","2816","0","104","1"
"10511","2022/05/30 5:00:00","3","10513","-318","1051","0","100","0","10512","0","2816","0","105","1"
"10611","2022/05/31 5:00:00","3","10613","-348","1061","0","100","0","10612","0","2816","1","106","1"
"10711","2022/06/01 5:00:00","4","10713","328","1071","0","300","0","10712","0","2816","0","107","0"
"10811","2022/06/02 5:00:00","4","10813","287","1081","0","300","0","10812","0","2816","0","108","0"
"10911","2022/06/03 5:00:00","4","10913","220","1091","0","300","104201","10912","9104203","2816","0","109","0"
"11011","2022/06/04 5:00:00","4","11013","360","1101","0","300","0","11012","0","2816","0","110","0"
"11111","2022/06/05 5:00:00","4","11113","324","1111","0","300","0","11112","0","2816","0","111","0"
"11211","2022/06/06 5:00:00","4","11213","110","1121","0","300","104001","11212","9104003","2816","0","112","0"
"11311","2022/06/07 5:00:00","4","11313","246","1131","0","300","0","11312","0","2816","0","113","0"
"11411","2022/06/08 5:00:00","4","11413","205","1141","0","300","0","11412","0","2816","0","114","0"
"11511","2022/06/09 5:00:00","4","11513","-70","1151","0","300","102101","11512","9102103","2816","0","115","0"
"11611","2022/06/10 5:00:00","4","11613","334","1161","0","300","0","11612","0","2816","0","116","0"
"11711","2022/06/11 5:00:00","4","11713","280","1171","0","300","0","11712","0","2816","0","117","0"
"11811","2022/06/12 5:00:00","4","11813","164","1181","0","300","0","11812","0","2816","0","118","0"
"11911","2022/06/13 5:00:00","4","11913","123","1191","0","300","0","11912","0","2816","0","119","0"
"12011","2022/06/14 5:00:00","4","12013","82","1201","0","300","0","12012","0","2816","0","120","0"
"12111","2022/06/15 5:00:00","4","12113","122","1211","0","300","0","12112","0","2816","0","121","0"
"12211","2022/06/16 5:00:00","4","12213","92","1221","0","300","0","12212","0","2816","0","122","0"
"12311","2022/06/17 5:00:00","4","12313","-100","1231","0","300","106301","12312","9106303","2816","0","123","0"
"12411","2022/06/18 5:00:00","4","12413","41","1241","0","300","0","12412","0","2816","0","124","0"
"12511","2022/06/19 5:00:00","4","12513","0","1251","0","300","0","12512","0","2816","0","125","0"
"12611","2022/06/20 5:00:00","4","12613","70","1261","0","300","0","12612","0","2816","0","126","0"
"12711","2022/06/21 5:00:00","4","12713","31","1271","0","300","0","12712","0","2816","0","127","0"
"12811","2022/06/22 5:00:00","4","12813","-41","1281","0","300","0","12812","0","2816","0","128","0"
"12911","2022/06/23 5:00:00","4","12913","-82","1291","0","300","0","12912","0","2816","0","129","0"
"13011","2022/06/24 5:00:00","4","13013","-123","1301","0","300","0","13012","0","2816","0","130","0"
"13111","2022/06/25 5:00:00","4","13113","-180","1311","0","300","106501","13112","9106503","2816","0","131","0"
"13211","2022/06/26 5:00:00","4","13213","-164","1321","0","300","0","13212","0","2816","0","132","0"
"13311","2022/06/27 5:00:00","4","13313","-205","1331","0","300","0","13312","0","2816","0","133","0"
"13411","2022/06/28 5:00:00","4","13413","-246","1341","0","300","0","13412","0","2816","0","134","0"
"13511","2022/06/29 5:00:00","4","13513","-287","1351","0","300","0","13512","0","2816","0","135","0"
"13611","2022/06/30 5:00:00","4","13613","-370","1361","0","300","0","13612","0","2816","1","136","0"
"13711","2022/07/01 5:00:00","5","13713","357","1371","0","400","0","13712","0","2816","0","137","3"
"13811","2022/07/02 5:00:00","5","13813","319","1381","0","400","0","13812","0","2816","0","138","3"
"13911","2022/07/03 5:00:00","5","13913","330","1391","0","400","0","13912","0","2816","0","139","3"
"14011","2022/07/04 5:00:00","5","14013","305","1401","0","400","0","14012","0","2816","0","140","3"
"14111","2022/07/05 5:00:00","5","14113","310","1411","0","400","100901","14112","9100903","2816","0","141","3"
"14211","2022/07/06 5:00:00","5","14213","282","1421","0","400","0","14212","0","2816","0","142","3"
"14311","2022/07/07 5:00:00","5","14313","133","1431","0","400","101701","14312","9101703","2816","0","143","3"
"14411","2022/07/08 5:00:00","5","14413","246","1441","0","400","0","14412","0","2816","0","144","3"
"14511","2022/07/09 5:00:00","5","14513","209","1451","0","400","0","14512","0","2816","0","145","3"
"14611","2022/07/10 5:00:00","5","14613","172","1461","0","400","0","14612","0","2816","0","146","3"
"14711","2022/07/11 5:00:00","5","14713","129","1471","0","400","105601","14712","9105603","2816","0","147","3"
"14811","2022/07/12 5:00:00","5","14813","134","1481","0","400","0","14812","0","2816","0","148","3"
"14911","2022/07/13 5:00:00","5","14913","97","1491","0","400","0","14912","0","2816","0","149","3"
"15011","2022/07/14 5:00:00","5","15013","60","1501","0","400","0","15012","0","2816","0","150","3"
"15111","2022/07/15 5:00:00","5","15113","22","1511","0","400","0","15112","0","2816","0","151","3"
"15211","2022/07/16 5:00:00","5","15213","-12","1521","0","400","0","15212","0","2816","0","152","3"
"15311","2022/07/17 5:00:00","5","15313","-49","1531","0","400","0","15312","0","2816","0","153","3"
"15411","2022/07/18 5:00:00","5","15413","-86","1541","0","400","0","15412","0","2816","0","154","3"
"15511","2022/07/19 5:00:00","5","15513","-29","1551","0","400","0","15512","0","2816","0","155","3"
"15611","2022/07/20 5:00:00","5","15613","-55","1561","0","400","0","15612","0","2816","0","156","3"
"15711","2022/07/21 5:00:00","5","15713","-124","1571","0","400","0","15712","0","2816","0","157","3"
"15811","2022/07/22 5:00:00","5","15813","-161","1581","0","400","0","15812","0","2816","0","158","3"
"15911","2022/07/23 5:00:00","5","15913","-199","1591","0","400","0","15912","0","2816","0","159","3"
"16011","2022/07/24 5:00:00","5","16013","-235","1601","0","400","0","16012","0","2816","0","160","3"
"16111","2022/07/25 5:00:00","5","16113","0","1611","0","400","106801","16112","9106803","2816","0","161","3"
"16211","2022/07/26 5:00:00","5","16213","-272","1621","0","400","0","16212","0","2816","0","162","3"
"16311","2022/07/27 5:00:00","5","16313","-309","1631","0","400","0","16312","0","2816","0","163","3"
"16411","2022/07/28 5:00:00","5","16413","-172","1641","0","400","105301","16412","9105303","2816","0","164","3"
"16511","2022/07/29 5:00:00","5","16513","-299","1651","0","400","0","16512","0","2816","0","165","3"
"16611","2022/07/30 5:00:00","5","16613","-233","1661","0","400","102701","16612","9102703","2816","0","166","3"
"16711","2022/07/31 5:00:00","5","16713","-356","1671","0","400","0","16712","0","2816","1","167","3"
"16811","2022/08/01 5:00:00","6","16813","306","1681","0","400","0","16812","0","2816","0","168","3"
"16911","2022/08/02 5:00:00","6","16913","226","1691","0","400","0","16912","0","2816","0","169","3"
"17011","2022/08/03 5:00:00","6","17013","146","1701","0","400","0","17012","0","2816","0","170","3"
"17111","2022/08/04 5:00:00","6","17113","66","1711","0","400","0","17112","0","2816","0","171","3"
"17211","2022/08/05 5:00:00","6","17213","-14","1721","0","400","0","17212","0","2816","0","172","3"
"17311","2022/08/06 5:00:00","6","17313","-94","1731","0","400","0","17312","0","2816","0","173","3"
"17411","2022/08/07 5:00:00","6","17413","270","1741","0","400","110801","17412","9110803","2816","0","174","3"
"17511","2022/08/08 5:00:00","6","17513","-174","1751","0","400","0","17512","0","2816","0","175","3"
"17611","2022/08/09 5:00:00","6","17613","55","1761","0","400","104301","17612","9104303","2816","0","176","3"
"17711","2022/08/10 5:00:00","6","17713","50","1771","0","400","100401","17712","9100403","2816","0","177","3"
"17811","2022/08/11 5:00:00","6","17813","-120","1781","0","400","103701","17812","9103703","2816","0","178","3"
"17821","2022/08/11 5:00:00","6","17823","-210","1782","0","400","106101","17822","9106103","2816","0","179","3"
"17911","2022/08/12 5:00:00","6","17913","-254","1791","0","400","0","17912","0","2816","0","180","3"
"18011","2022/08/13 5:00:00","6","18013","-369","1801","0","400","0","18012","0","2816","1","181","3"
"18111","2022/08/14 5:00:00","7","18113","295","1811","0","400","101801","18112","9101803","2816","0","182","3"
"18211","2022/08/15 5:00:00","7","18213","326","1821","0","400","0","18212","0","2816","0","183","3"
"18311","2022/08/16 5:00:00","7","18313","271","1831","0","400","0","18312","0","2816","0","184","3"
"18411","2022/08/17 5:00:00","7","18413","216","1841","0","400","0","18412","0","2816","0","185","3"
"18511","2022/08/18 5:00:00","7","18513","161","1851","0","400","0","18512","0","2816","0","186","3"
"18611","2022/08/19 5:00:00","7","18613","106","1861","0","400","0","18612","0","2816","0","187","3"
"18711","2022/08/20 5:00:00","7","18713","51","1871","0","400","0","18712","0","2816","0","188","3"
"18811","2022/08/21 5:00:00","7","18813","150","1881","0","400","101301","18812","9101303","2816","0","189","3"
"18911","2022/08/22 5:00:00","7","18913","-4","1891","0","400","0","18912","0","2816","0","190","3"
"19011","2022/08/23 5:00:00","7","19013","-59","1901","0","400","0","19012","0","2816","0","191","3"
"19111","2022/08/24 5:00:00","7","19113","-114","1911","0","400","0","19112","0","2816","0","192","3"
"19211","2022/08/25 5:00:00","7","19213","5","1921","0","400","101101","19212","9101103","2816","0","193","3"
"19311","2022/08/26 5:00:00","7","19313","-169","1931","0","400","0","19312","0","2816","0","194","3"
"19411","2022/08/27 5:00:00","7","19413","-130","1941","0","400","100101","19412","9100103","2816","0","195","3"
"19511","2022/08/28 5:00:00","7","19513","-224","1951","0","400","0","19512","0","2816","0","196","3"
"19611","2022/08/29 5:00:00","7","19613","-279","1961","0","400","0","19612","0","2816","0","197","3"
"19711","2022/08/30 5:00:00","7","19713","-369","1971","0","400","0","19712","0","2816","0","198","3"
"19811","2022/08/31 5:00:00","7","19813","-250","1981","0","400","103001","19812","9103003","2816","1","199","3"
"19911","2022/09/01 5:00:00","8","19913","571","1991","0","500","0","19912","0","2816","0","200","0"
"20011","2022/09/02 5:00:00","8","20013","480","2001","0","500","106001","20012","9106003","2816","0","201","0"
"20111","2022/09/03 5:00:00","8","20113","516","2011","0","500","0","20112","0","2816","0","202","0"
"20211","2022/09/04 5:00:00","8","20213","461","2021","0","500","0","20212","0","2816","0","203","0"
"20311","2022/09/05 5:00:00","8","20313","390","2031","0","500","101501","20312","9101503","2816","0","204","0"
"20411","2022/09/06 5:00:00","8","20413","406","2041","0","500","0","20412","0","2816","0","205","0"
"20511","2022/09/07 5:00:00","8","20513","340","2051","0","500","105401","20512","9105403","2816","0","206","0"
"20611","2022/09/08 5:00:00","8","20613","351","2061","0","500","0","20612","0","2816","0","207","0"
"20711","2022/09/09 5:00:00","8","20713","296","2071","0","500","0","20712","0","2816","0","208","0"
"20811","2022/09/10 5:00:00","8","20813","241","2081","0","500","0","20812","0","2816","0","209","0"
"20911","2022/09/11 5:00:00","8","20913","186","2091","0","500","0","20912","0","2816","0","210","0"
"21011","2022/09/12 5:00:00","8","21013","170","2101","0","500","118501","21012","9118503","2816","0","211","0"
"21111","2022/09/13 5:00:00","8","21113","131","2111","0","500","0","21112","0","2816","0","212","0"
"21211","2022/09/14 5:00:00","8","21213","76","2121","0","500","0","21212","0","2816","0","213","0"
"21311","2022/09/15 5:00:00","8","21313","50","2131","0","500","110901","21312","9110903","2816","0","214","0"
"21411","2022/09/16 5:00:00","8","21413","21","2141","0","500","0","21412","0","2816","0","215","0"
"21511","2022/09/17 5:00:00","8","21513","-34","2151","0","500","0","21512","0","2816","0","216","0"
"21611","2022/09/18 5:00:00","8","21613","-89","2161","0","500","0","21612","0","2816","0","217","0"
"21711","2022/09/19 5:00:00","8","21713","-120","2171","0","500","118001","21712","9118003","2816","0","218","0"
"21811","2022/09/20 5:00:00","8","21813","-144","2181","0","500","0","21812","0","2816","0","219","0"
"21911","2022/09/21 5:00:00","8","21913","-199","2191","0","500","0","21912","0","2816","0","220","0"
"22011","2022/09/22 5:00:00","8","22013","-270","2201","0","500","101001","22012","9101003","2816","0","221","0"
"22111","2022/09/23 5:00:00","8","22113","-254","2211","0","500","0","22112","0","2816","0","222","0"
"22211","2022/09/24 5:00:00","8","22213","-309","2221","0","500","0","22212","0","2816","0","223","0"
"22311","2022/09/25 5:00:00","8","22313","-364","2231","0","500","0","22312","0","2816","0","224","0"
"22411","2022/09/26 5:00:00","8","22413","-419","2241","0","500","0","22412","0","2816","0","225","0"
"22511","2022/09/27 5:00:00","8","22513","-474","2251","0","500","0","22512","0","2816","0","226","0"
"22611","2022/09/28 5:00:00","8","22613","-529","2261","0","500","0","22612","0","2816","0","227","0"
"22711","2022/09/29 5:00:00","8","22713","-370","2271","0","500","106601","22712","9106603","2816","0","228","0"
"22811","2022/09/30 5:00:00","8","22813","-579","2281","0","500","0","22812","0","2816","1","229","0"
"22911","2022/10/01 5:00:00","9","22913","383","2291","0","500","0","22912","0","2816","0","230","0"
"23011","2022/10/02 5:00:00","9","23013","339","2301","0","500","0","23012","0","2816","0","231","0"
"23111","2022/10/03 5:00:00","9","23113","296","2311","0","500","0","23112","0","2816","0","232","0"
"23211","2022/10/04 5:00:00","9","23213","290","2321","0","500","102801","23212","9102803","2816","0","233","0"
"23311","2022/10/05 5:00:00","9","23313","253","2331","0","500","0","23312","0","2816","0","234","0"
"23411","2022/10/06 5:00:00","9","23413","210","2341","0","500","0","23412","0","2816","0","235","0"
"23511","2022/10/07 5:00:00","9","23513","167","2351","0","500","0","23512","0","2816","0","236","0"
"23611","2022/10/08 5:00:00","9","23613","200","2361","0","500","0","23612","0","2816","0","237","0"
"23711","2022/10/09 5:00:00","9","23713","180","2371","0","500","0","23712","0","2816","0","238","0"
"23811","2022/10/10 5:00:00","9","23813","130","2381","0","500","100801","23812","9100803","2816","0","239","0"
"23911","2022/10/11 5:00:00","9","23913","125","2391","0","500","0","23912","0","2816","0","240","0"
"24011","2022/10/12 5:00:00","9","24013","83","2401","0","500","0","24012","0","2816","0","241","0"
"24111","2022/10/13 5:00:00","9","24113","100","2411","0","500","0","24112","0","2816","0","242","0"
"24211","2022/10/14 5:00:00","9","24213","80","2421","0","500","0","24212","0","2816","0","243","0"
"24311","2022/10/15 5:00:00","9","24313","41","2431","0","500","0","24312","0","2816","0","244","0"
"24411","2022/10/16 5:00:00","9","24413","-1","2441","0","500","0","24412","0","2816","0","245","0"
"24511","2022/10/17 5:00:00","9","24513","-43","2451","0","500","0","24512","0","2816","0","246","0"
"24611","2022/10/18 5:00:00","9","24613","10","2461","0","500","0","24612","0","2816","0","247","0"
"24711","2022/10/19 5:00:00","9","24713","-10","2471","0","500","0","24712","0","2816","0","248","0"
"24811","2022/10/20 5:00:00","9","24813","-10","2481","0","500","0","24812","0","2816","0","249","0"
"24911","2022/10/21 5:00:00","9","24913","-40","2491","0","500","0","24912","0","2816","0","250","0"
"25011","2022/10/22 5:00:00","9","25013","-85","2501","0","500","0","25012","0","2816","0","251","0"
"25111","2022/10/23 5:00:00","9","25113","-127","2511","0","500","0","25112","0","2816","0","252","0"
"25211","2022/10/24 5:00:00","9","25213","-130","2521","0","500","104901","25212","9104903","2816","0","253","0"
"25311","2022/10/25 5:00:00","9","25313","-270","2531","0","500","104701","25312","9104703","2816","0","254","0"
"25411","2022/10/26 5:00:00","9","25413","-169","2541","0","500","0","25412","0","2816","0","255","0"
"25511","2022/10/27 5:00:00","9","25513","-211","2551","0","500","0","25512","0","2816","0","256","0"
"25611","2022/10/28 5:00:00","9","25613","-253","2561","0","500","0","25612","0","2816","0","257","0"
"25711","2022/10/29 5:00:00","9","25713","-295","2571","0","500","0","25712","0","2816","0","258","0"
"25811","2022/10/30 5:00:00","9","25813","-337","2581","0","500","0","25812","0","2816","0","259","0"
"25911","2022/10/31 5:00:00","9","25913","-379","2591","0","500","0","25912","0","2816","1","260","0"
"26011","2022/11/01 5:00:00","10","26013","600","2601","0","500","0","26012","0","2816","0","261","0"
"26111","2022/11/02 5:00:00","10","26113","560","2611","0","500","0","26112","0","2816","0","262","0"
