e5651807b65bf7b680b5ed1c086fcf1521447d4999f3b81e45c4b2684dfb692f,dfc1bc35d2d9d688416a387ae607f9f7453511bfaa49e263e207d5f6a440f96a,69a0a540c99fc4f81708aa98dbcb0b71e734b4cc915b5420e72050e88f2f195e,984feb74b1390352d44b4fb53ddabb0a20a4bbb7a57e24de279657a06839e480,303c75bbd605fcee3e1823fc248e5635174d609bf966cdb63986c930a31765ad,cb1923d6af9f45bb84a1f78183b76e3f0c9813cbd682fa0055d1f61b9cccb55c,57714dc9e975fa7e6207b0f9cf7d16269120110567e6b1447f74e17efedc72b6,8d8361a2ffd5f5cd01b9e99be933c4aaae3c35c25e76fe352725b1cc9b466231,efbaa0bc948b72c449845f0b5ca09fb5f8fdd6878b2ca59aabd313c5fe68d49b,9d5294d786fb75208097339c7d42ad347e452ea41003b1a0fed2d69480c45a50,b145f6a37af85508d3b6c48950ee67bf16fa698548879cb45d47566f1a053d58,bf60f8b980787615af2354dc1bb142d1010900826f34a3fcb30f4219a56b9666,905036411e6afd0b2b7a15161932ed7c4c376c541cf86064c23428171c720406,1de05d2a03c04491e299aac3365a8f6419531731e839124ccff839151827fc46,69e806a1708bc92ab3b90860910a1476a2a3252eb397f8e6fceecdd4346976c3,30a929a984e4b9efa549044e4dde45ff996c319e42cbf671aea209cfa1e24711,71fdc744959d05051a1189276feee959d89df821ccf912eb79d9f56029546e54,6e7bf5a34452b0fa429e15f83aadd72373998791dafcbdd7d8334be233220767,7e1af2435b076e43887cc90da2bde8e6e9417c6d54dbf28f4c7da58b40d56239
"42","invasion_reward_icon_connectpiece_1","0","25202","63000000","40","2","0","30","1002","0","25201","0","0","0","0","0","2","0"
"43","invasion_reward_icon_connectpiece_2","0","25204","70000000","40","2","0","15","1002","0","25203","0","0","0","0","0","2","0"
"44","invasion_reward_icon_connectpiece_3","0","25206","77000000","40","2","0","5","1002","0","25205","0","0","0","0","0","2","0"
"45","invasion_reward_icon_jewel","0","91002","84000000","50","8","0","200","1002","0","150003","0","0","0","0","0","4","0"
"46","invasion_reward_icon_hiseki","0","140001","92000000","0","4","0","10","1002","0","0","0","0","0","0","0","0","0"
"47","invasion_reward_icon_hiseki","0","140001","100000000","0","4","0","10","1002","0","0","0","0","0","0","0","0","0"
"48","invasion_reward_icon_hiseki","0","140001","108000000","0","4","0","20","1002","0","0","0","0","0","0","0","0","0"
"49","invasion_reward_icon_hiseki","0","90005","116000000","20","2","0","10","1002","0","140001","0","0","0","0","0","4","0"
"50","invasion_reward_icon_hiseki","0","90005","124000000","30","2","0","10","1002","0","140001","0","0","0","0","0","4","0"
"51","invasion_reward_icon_connectpiece_1","0","25202","500000","40","2","0","30","1003","0","25201","0","0","0","0","0","2","0"
"52","invasion_reward_icon_connectpiece_2","0","25204","1000000","40","2","0","15","1003","0","25203","0","0","0","0","0","2","0"
"53","invasion_reward_icon_connectpiece_3","0","25206","2000000","40","2","0","5","1003","0","25205","0","0","0","0","0","2","0"
"54","invasion_reward_icon_jewel","0","91002","3000000","50","8","0","50","1003","0","150001","0","0","0","0","0","4","0"
"55","invasion_reward_icon_connectpiece_1","0","25202","4000000","40","2","0","30","1003","0","25201","0","0","0","0","0","2","0"
"56","invasion_reward_icon_connectpiece_2","0","25204","7000000","40","2","0","15","1003","0","25203","0","0","0","0","0","2","0"
"57","invasion_reward_icon_connectpiece_3","0","25206","10000000","40","2","0","5","1003","0","25205","0","0","0","0","0","2","0"
"58","invasion_reward_icon_jewel","0","91002","13000000","50","8","0","50","1003","0","150001","0","0","0","0","0","4","0"
"59","invasion_reward_icon_connectpiece_1","0","25202","16000000","40","2","0","30","1003","0","25201","0","0","0","0","0","2","0"
"60","invasion_reward_icon_connectpiece_2","0","25204","19000000","40","2","0","15","1003","0","25203","0","0","0","0","0","2","0"
"61","invasion_reward_icon_connectpiece_3","0","25206","25000000","40","2","0","5","1003","0","25205","0","0","0","0","0","2","0"
"62","invasion_reward_icon_jewel","0","91002","31000000","50","8","0","100","1003","0","150002","0","0","0","0","0","4","0"
"63","invasion_reward_icon_connectpiece_1","0","25202","37000000","40","2","0","30","1003","0","25201","0","0","0","0","0","2","0"
"64","invasion_reward_icon_connectpiece_2","0","25204","43000000","40","2","0","15","1003","0","25203","0","0","0","0","0","2","0"
"65","invasion_reward_icon_connectpiece_3","0","25206","49000000","40","2","0","5","1003","0","25205","0","0","0","0","0","2","0"
"66","invasion_reward_icon_jewel","0","91002","56000000","50","8","0","100","1003","0","150002","0","0","0","0","0","4","0"
"67","invasion_reward_icon_connectpiece_1","0","25202","63000000","40","2","0","30","1003","0","25201","0","0","0","0","0","2","0"
"68","invasion_reward_icon_connectpiece_2","0","25204","70000000","40","2","0","15","1003","0","25203","0","0","0","0","0","2","0"
"69","invasion_reward_icon_connectpiece_3","0","25206","77000000","40","2","0","5","1003","0","25205","0","0","0","0","0","2","0"
"70","invasion_reward_icon_jewel","0","91002","84000000","50","8","0","200","1003","0","150003","0","0","0","0","0","4","0"
"71","invasion_reward_icon_hiseki","0","140001","92000000","0","4","0","10","1003","0","0","0","0","0","0","0","0","0"
"72","invasion_reward_icon_hiseki","0","140001","100000000","0","4","0","10","1003","0","0","0","0","0","0","0","0","0"
"73","invasion_reward_icon_hiseki","0","140001","108000000","0","4","0","20","1003","0","0","0","0","0","0","0","0","0"
"74","invasion_reward_icon_hiseki","0","90005","116000000","20","2","0","10","1003","0","140001","0","0","0","0","0","4","0"
"75","invasion_reward_icon_hiseki","0","90005","124000000","30","2","0","10","1003","0","140001","0","0","0","0","0","4","0"
