ac1a2a994743dc2ff309016508a6e59b99fa03df0bf3fae37b26c7dc5ee4198e,0b78568d7d577d0cbce4a8e35ce7e8240eab79b73e781bf0c7a43d32821ea7b1,da28464f3bc7d2acce4ec603090df8d169c8a7580b0a6572c646a95de3d87bbe,7a66202544c95e77954db5ce463670f4329cda305396d8b8f7c278e4acc4374f,c0ba4b8e96e79806b7ad3e7b68cee6d85548b25e8247cd0eb1c55ada173dfd87,17d473ebee82f0c5baff1d56a8bbd6b2066217d83046698cc87467e85be1b779,3a8b5323d93b6162a00ea0ecc291f9db1aa569b2fc3bb2bd625a61ffaa0d373c,b6d97668de3ff65afa141d877a01ddb4f449ef2cf60ece49daad5479b3347631,d196984187cdd9ee7fc5f57d23ab7aa23e20c05a977eaff2eb582aeea90d90f5,e2844ec47de79c2c2823d400a15693975c8ad897cfb3b58548c053f34a6a405a,cb469fa63ba6edf8a5560bab28f6689795f1a02760ff960dd4b52ac6bf1f2ca7
"","omp_psn_18","1","0","","3","3","","112611","1030013",""
"","omp_talk_joy1","1","0","","3","3","","112411","1030014",""
"","vo_omp_7003_002","0","","","21","3","0","vo_omp_7003","1030015",""
"","怖い魔物もたくさんいますけど\n探せばぴにゃこら太さんや\nプチグリフォンさんみたいに\nかわいい魔物もいると思うんですよね！","10","","","11","3","1","112411","1030016","1"
"","","","","","91","3","","0","1030017",""
"","omp_psn_20","1","0","","3","3","","112411","1030018",""
"","omp_talk_joy1","1","0","","3","3","","112611","1030019",""
"","vo_omp_7003_003","0","","","21","3","0","vo_omp_7003","1030020",""
"","そういうことか\nいや、ちょっとまって、しまむー\nプチグリフォンはかわいいかもだけど\nぴにゃこら太、かわいいかな～？","10","","","11","3","1","112611","1030021","1"
"","1","","","","93","3","","1.5","1030022",""
"","omp_psn_19","1","0.2","","3","3","","112611","1030023",""
"","","","","","91","3","","1030021","1030024",""
"","omp_psn_18","1","0","","3","3","","112611","1030025",""
"","omp_talk_joy1","1","0","","3","3","","112411","1030026",""
"","vo_omp_7003_004","0","","","21","3","0","vo_omp_7003","1030027",""
"","かわいいですよ～\n私たちの歌で、たくさんの\nぴにゃこら太さんを\n集められませんかね？","10","","","11","3","1","112411","1030028","1"
"","","","","","91","3","","0","1030029",""
"","omp_psn_20","1","0","","3","3","","112411","1030030",""
"","omp_psn_19","1","0","","3","3","","112611","1030031",""
"","vo_omp_7003_005","0","","","21","3","0","vo_omp_7003","1030032",""
"","いやー、どうだろう\nぴにゃこら太って\nオンリーワンみたいなところあるし…\nむしろオンリーワンであってほしいし…","10","","","11","3","1","112611","1030033","1"
"","","","","","91","3","","0","1030034",""
"","omp_psn_18","1","0","","3","3","","112611","1030035",""
"","omp_talk_joy2","1","0","","3","3","","112411","1030036",""
"","vo_omp_7003_006","0","","","21","3","0","vo_omp_7003","1030037",""
"","あっ、たしかにそうですね！\nまずは目の前のぴにゃこら太さんに\n認めてもらわなきゃですし♪","10","","","11","3","1","112411","1030038","1"
"","","","","","91","3","","0","1030039",""
"","omp_psn_20","1","0","","3","3","","112411","1030040",""
"","omp_talk_sad","1","0","","3","3","","112611","1030041",""
"","vo_omp_7003_007","0","","","21","3","0","vo_omp_7003","1030042",""
"","そういうことじゃないんだけど…\n集めるのあきらめてくれたなら\nまぁ、いっか！\nその調子で頑張ってこう、しまむー！","10","","","11","3","1","112611","1030043","1"
"","1","","","","93","3","","6","1030044",""
"","omp_talk_joy2","1","0.2","","3","3","","112611","1030045",""
"","","","","","91","3","","1030043","1030046",""
"","omp_idle_joy2","1","0","","3","3","","112611","1030047",""
"","omp_talk_joy2","1","0","","3","3","","112411","1030048",""
"","vo_omp_7003_008","0","","","21","3","0","vo_omp_7003","1030049",""
"","はい！\n一緒に頑張りましょう！","10","","","11","3","1","112411","1030050","1"
"","","","","","91","3","","0","1030051",""
"","","","","","93","3","","0.4","1030052",""
"0","105831","1600","1.8","omp_talk_normal","1","4","-180","1","1040001","-195"
"1","105931","1500","1.8","omp_idle_normal","1","4","20","1","1040002","-190"
"1","106031","1600","1.8","omp_idle_normal","1","4","220","1","1040003","-205"
"","1","0","1","","31","4","0","1","1040004","1"
"","","","","","93","4","","1","1040005",""
"","vo_omp_7004_000","0","","","21","4","0","vo_omp_7004","1040006",""
"","せっかくですから\nわたしたちもアイドルを\nしてみませんか？","10","","","11","4","1","105831","1040007","1"
"","","","","","91","4","","0","1040008",""
"","omp_idle_normal","1","0","","3","4","","105831","1040009",""
"","omp_talk_normal","1","0","","3","4","","105931","1040010",""
"","vo_omp_7004_001","0","","","21","4","0","vo_omp_7004","1040011",""
"","アイドルユニット\n【美食殿】でございますね\nとても楽しそうです","10","","","11","4","1","105931","1040012","1"
"","","","","","91","4","","0","1040013",""
"","0","","","","4","4","","105931","1040014",""
"","omp_idle_normal","1","0","","3","4","","105931","1040015",""
"","omp_surprise","0","0","","3","4","omp_idle_surprise1","106031","1040016","1"
"","vo_omp_7004_002","0","","","21","4","0","vo_omp_7004","1040017",""
"","えっ！？　ホントに…！？\nじゃ、じゃなくて\nバカじゃないのあんたたち！？","10","","","11","4","1","106031","1040018","1"
"","1","","","","93","4","","2","1040019",""
"","omp_talk_tsun","1","0.1","","3","4","","106031","1040020",""
"","","","","","91","4","","1040018","1040021",""
"","omp_talk_tsun","1","0","","3","4","","106031","1040022",""
"","vo_omp_7004_003","0","","","21","4","0","vo_omp_7004","1040023",""
"","あの３人を見て\nアイドルがどれだけ大変か\n分かんなかったっての？","10","","","11","4","1","106031","1040024","1"
"","","","","","91","4","","0","1040025",""
"","omp_idle_tsun","1","0","","3","4","","106031","1040026",""
"","omp_talk_worry","1","0","","3","4","","105931","1040027",""
"","vo_omp_7004_004","0","","","21","4","0","vo_omp_7004","1040028",""
"","それはそうでございますが…\n好奇心が勝ってしまいまして","10","","","11","4","1","105931","1040029","1"
"","","","","","91","4","","0","1040030",""
"","1","","","","4","4","","105931","1040031",""
"","omp_idle_worry","1","0","","3","4","","105931","1040032",""
"","omp_talk_joy1","1","0","","3","4","","105831","1040033",""
"","vo_omp_7004_005","0","","","21","4","0","vo_omp_7004","1040034",""
"","コッコロちゃんの言う通りですよ！\nさあ、決めポーズの練習をしましょう！\nいえーい！","10","","","11","4","1","105831","1040035","1"
"","1","","","","93","4","","5.5","1040036",""
"","omp_psn_11","0","0.2","","3","4","","105831","1040037",""
"","","","","","91","4","","1040035","1040038",""
"","omp_talk_normal","1","0","","3","4","","105931","1040039",""
"","vo_omp_7004_006","0","","","21","4","0","vo_omp_7004","1040040",""
"","はい♪\nいえーい、でございます…！","10","","","11","4","1","105931","1040041","1"
"","1","","","","93","4","","1.5","1040042",""
"","omp_psn_11","0","0.2","","3","4","","105931","1040043","1"
"","","","","","91","4","","1040041","1040044",""
"","0","","","","4","4","","105931","1040045",""
"","omp_idle_normal","1","0","","3","4","","105931","1040046",""
"","omp_idle_joy1","1","0.2","","3","4","","105831","1040047",""
"","omp_idle_tsun","1","0","","3","4","","106031","1040048",""
"","vo_omp_7004_007","0","","","21","4","0","vo_omp_7004","1040049",""
"","いえーい、ってねぇ\nこれくらいしてみせなさいよ！\n―よろしくにゃん♪","10","","","11","4","1","106031","1040050","1"
"","1","","","","93","4","","7","1040051",""
"","omp_psn_12","0","0.1","","3","4","","106031","1040052",""
"","","","","","93","4","","1.5","1040053",""
"","","","","","91","4","","1040050","1040054",""
"","omp_idle_normal","1","0.2","","3","4","","106031","1040055",""
"","omp_idle_surprise1","1","0","","3","4","","105831","1040056",""
"","vo_omp_7004_008","0","","","21","4","0","vo_omp_7004","1040057",""
"","キャ、キャルちゃん…","10","","","11","4","1","105831","1040058","1"
"","","","","","91","4","","0","1040059",""
"","omp_idle_surprise1","1","0","","3","4","","105831","1040060",""
"","omp_talk_sad","1","0","","3","4","","105931","1040061",""
"","vo_omp_7004_009","0","","","21","4","0","vo_omp_7004","1040062",""
"","ものすごく、本気でございますね","10","","","11","4","1","105931","1040063","1"
"","","","","","91","4","","0","1040064",""
"","omp_idle_sad","1","0","","3","4","","105931","1040065",""
"0.1","omp_surprise","0","0","","3","4","omp_talk_surprise2","106031","1040066","1"
"","vo_omp_7004_010","0","","","21","4","0","vo_omp_7004","1040067",""
"","はっ…！\nち、違うの今のは\n条件反射っていうか…\nも、もう！　こっち見んなバカ～！","10","","","11","4","1","106031","1040068","1"
"","1","","","","93","4","","6.5","1040069",""
"","omp_talk_tsun","1","0.2","","3","4","","106031","1040070",""
"","","","","","91","4","","1040068","1040071",""
"","","","","","93","4","","0.4","1040072",""
"0","112611","1500","1.8","omp_talk_joy1","1","5","-140","1","1050001","-190"
"1","112511","1500","1.8","omp_idle_normal","1","5","140","1","1050002","-190"
"","1","0","1","","31","5","0","1","1050003","1"
"","","","","","93","5","","1","1050004",""
"","vo_omp_7005_000","0","","","21","5","0","vo_omp_7005","1050005",""
"","冒険者としていろんなところへ\n行ったりしたけど\n今回の旅が一番楽しいね！","10","","","11","5","1","112611","1050006","1"
"","","","","","91","5","","0","1050007",""
"","omp_idle_joy1","1","0","","3","5","","112611","1050008",""
"","omp_talk_normal","1","0","","3","5","","112511","1050009",""
"","vo_omp_7005_001","0","","","21","5","0","vo_omp_7005","1050010",""
"","そう、かもね\n誰かの手伝いっていうわけじゃなくて\n自分たちの目的のために\n進んでるからかな","10","","","11","5","1","112511","1050011","1"
"","","","","","91","5","","0","1050012",""
"","omp_idle_normal","1","0","","3","5","","112511","1050013",""
"","omp_talk_joy1","1","0","","3","5","","112611","1050014",""
"","vo_omp_7005_002","0","","","21","5","0","vo_omp_7005","1050015",""
"","私たちが楽しんで\n私たちを見てくれる人も\n楽しんでくれたら最高だよね\nそんな風になれるかな…","10","","","11","5","1","112611","1050016","1"
"","1","","","","93","5","","6.2","1050017",""
"","omp_talk_thinking","1","0.2","","3","5","","112611","1050018",""
"","","","","","91","5","","1050016","1050019",""
"","omp_idle_thinking","1","0","","3","5","","112611","1050020",""
"","omp_talk_normal2","1","0","","3","5","","112511","1050021",""
"","vo_omp_7005_003","0","","","21","5","0","vo_omp_7005","1050022",""
"","ミオなら…ううん\n私たちならなれるよ\n一緒に頑張ろう","10","","","11","5","1","112511","1050023","1"
"","","","","","91","5","","0","1050024",""
"","omp_idle_calm","1","0","","3","5","","112511","1050025",""
"","omp_talk_sad","1","0.1","","3","5","","112611","1050026",""
"","vo_omp_7005_004","0","","","21","5","0","vo_omp_7005","1050027",""
"","し…し…","10","","","11","5","1","112611","1050028","1"
"","","","","","91","5","","0","1050029",""
"","omp_idle_sad","1","0","","3","5","","112611","1050030",""
"","omp_psn_19","1","0","","3","5","","112511","1050031",""
"","vo_omp_7005_005","0","","","21","5","0","vo_omp_7005","1050032",""
"","し…？","10","","","11","5","1","112511","1050033","1"
"","","","","","91","5","","0","1050034",""
"","omp_psn_18","1","0","","3","5","","112511","1050035",""
"","omp_talk_sad","1","0","","3","5","","112611","1050036",""
"","vo_omp_7005_006","0","","","21","5","0","vo_omp_7005","1050037",""
"","しぶりんがいつになく優しい…！？\nどうしたのっ、ヘンなものでも食べた！？","10","","","11","5","1","112611","1050038","1"
"","1","","","","93","5","","4.5","1050039",""
"","omp_talk_surprise2","1","0.2","","3","5","","112611","1050040",""
"","","","","","91","5","","1050038","1050041",""
"","omp_idle_surprise2","1","0","","3","5","","112611","1050042",""
"","omp_talk_normal","1","0","","3","5","","112511","1050043",""
"","vo_omp_7005_007","0","","","21","5","0","vo_omp_7005","1050044",""
"","さっき、ペコリーヌの魔物料理を…\nって、これじゃあいつもの\n私が優しくないみたいじゃん\nせっかく励まそうと思ったのに…","10","","","11","5","1","112511","1050045","1"
"","1","","","","93","5","","3.5","1050046",""
"","omp_talk_anger","1","0.2","","3","5","","112511","1050047",""
"","","","","","91","5","","1050045","1050048",""
"","omp_idle_anger","1","0","","3","5","","112511","1050049",""
"","omp_talk_joy1","1","0","","3","5","","112611","1050050",""
"","vo_omp_7005_008","0","","","21","5","0","vo_omp_7005","1050051",""
"","えへへ、ごめんごめん☆","10","","","11","5","1","112611","1050052","1"
"","","","","","91","5","","0","1050053",""
"","omp_idle_joy1","1","0","","3","5","","112611","1050054",""
"","omp_talk_sad","1","0","","3","5","","112511","1050055",""
"","vo_omp_7005_009","0","","","21","5","0","vo_omp_7005","1050056",""
"","まったく\n…けど、さっきのは\nほんとのことだからね","10","","","11","5","1","112511","1050057","1"
"","1","","","","93","5","","2","1050058",""
"","omp_talk_normal","1","0.2","","3","5","","112511","1050059",""
"","","","","","91","5","","1050057","1050060",""
"","omp_idle_normal","1","0","","3","5","","112511","1050061",""
"","omp_talk_joy2","1","0","","3","5","","112611","1050062",""
"","vo_omp_7005_010","0","","","21","5","0","vo_omp_7005","1050063",""
"","うん！\nありがとっ、しぶりん！","10","","","11","5","1","112611","1050064","1"
"","","","","","91","5","","0","1050065",""
"","","","","","93","5","","0.4","1050066",""
"0","112511","1600","1.8","omp_talk_normal","1","6","-180","1","1060001","-195"
"1","112411","1500","1.8","omp_idle_normal","1","6","20","1","1060002","-190"
"1","112611","1600","1.8","omp_idle_normal","1","6","220","1","1060003","-205"
"","1","0","1","","31","6","0","1","1060004","1"
"","","","","","93","6","","1","1060005",""
"","vo_omp_7006_000","0","","","21","6","0","vo_omp_7006","1060006",""
"","ウヅキ…\n今日のレッスン\nすごく気合が入ってたね","10","","","11","6","1","112511","1060007","1"
"","","","","","91","6","","0","1060008",""
"","omp_idle_normal","1","0","","3","6","","112511","1060009",""
"","omp_talk_joy1","1","0","","3","6","","112611","1060010",""
"","vo_omp_7006_001","0","","","21","6","0","vo_omp_7006","1060011",""
"","うんうん！\n一緒にレッスンしてるこっちが\n見とれちゃうくらいだったよ～！\nなにかあったのしまむー？","10","","","11","6","1","112611","1060012","1"
"","","","","","91","6","","0","1060013",""
"","0","","","","4","6","","112411","1060014",""
"","omp_idle_joy1","1","0","","3","6","","112611","1060015",""
"","omp_talk_joy1","1","0","","3","6","","112411","1060016",""
"","vo_omp_7006_002","0","","","21","6","0","vo_omp_7006","1060017",""
"","えへへっ、ありがとうございます！\nえっと…","10","","","11","6","1","112411","1060018","1"
"","","","","","91","6","","0","1060019",""
"","omp_talk_normal","1","0","","3","6","","112411","1060020",""
"","vo_omp_7006_003","0","","","21","6","0","vo_omp_7006","1060021",""
"","朝、一人でレッスンしてたら\nお散歩してた人から\n『いつも頑張ってるね』って\n言ってもらえたんです","10","","","11","6","1","112411","1060022","1"
"","","","","","91","6","","0","1060023",""
"","omp_talk_thinking","1","0","","3","6","","112411","1060024",""
"","vo_omp_7006_004","0","","","21","6","0","vo_omp_7006","1060025",""
"","あの人にとっては何気ない\n一言だったのかも知れないですけど\n私にはそれがとてもうれしくて","10","","","11","6","1","112411","1060026","1"
"","","","","","91","6","","0","1060027",""
"","omp_talk_normal2","1","0","","3","6","","112411","1060028",""
"","vo_omp_7006_005","0","","","21","6","0","vo_omp_7006","1060029",""
"","だからもっともっと頑張って\n最高のステージをすることで\nその言葉にお返しが\nできたらなって…","10","","","11","6","1","112411","1060030","1"
"","","","","","91","6","","0","1060031",""
"","omp_idle_calm","1","0","","3","6","","112411","1060032",""
"","omp_talk_sad","1","0","","3","6","","112611","1060033",""
"","vo_omp_7006_006","0","","","21","6","0","vo_omp_7006","1060034",""
"","しまむー…！","10","","","11","6","1","112611","1060035","1"
"","","","","","91","6","","0","1060036",""
"","1","","","","4","6","","112411","1060037",""
"","omp_idle_sad","1","0","","3","6","","112611","1060038",""
"","omp_talk_thinking","1","0","","3","6","","112511","1060039",""
"","vo_omp_7006_007","0","","","21","6","0","vo_omp_7006","1060040",""
"","そっか\nそんなウヅキだから、私たちは\n一緒にやっていきたいって思うんだよ\nミオもそうだよね？","10","","","11","6","1","112511","1060041","1"
"","","","","","91","6","","0","1060042",""
"","0","","","","4","6","","112411","1060043",""
"","omp_idle_thinking","1","0","","3","6","","112511","1060044",""
"","omp_talk_joy1","1","0","","3","6","","112611","1060045",""
"","vo_omp_7006_008","0","","","21","6","0","vo_omp_7006","1060046",""
"","うん！　これからも３人で\n頑張っていこうね！\nしまむー、しぶりん！","10","","","11","6","1","112611","1060047","1"
"","","","","","91","6","","0","1060048",""
"","1","","","","4","6","","112411","1060049",""
"","omp_idle_joy1","1","0","","3","6","","112611","1060050",""
"","omp_talk_joy2","1","0","","3","6","","112411","1060051",""
"","vo_omp_7006_009","0","","","21","6","0","vo_omp_7006","1060052",""
"","リンちゃん、ミオちゃん…！　はい！\n【ニュージェネレーションズ】みんなで\n最高のアイドルを目指しましょう！","10","","","11","6","1","112411","1060053","1"
"","1","","","","93","6","","1.2","1060054",""
"","0","","","","4","6","","112411","1060055",""
"","","","","","91","6","","1060053","1060056",""
"","-180","-195","","","2","6","0","112511","1060057","1"
"","0","-190","","","2","6","0","112411","1060058","1"
"","180","-195","","","2","6","0","112611","1060059","1"
"","omp_psn_dicision_rin","0","0.1","","3","6","","112511","1060060",""
"","omp_psn_dicision_uduki","0","0.1","","3","6","","112411","1060061",""
"","omp_psn_dicision_mio","0","0.1","","3","6","","112611","1060062",""
"","2","0","1","","31","6","0","2","1060063","1"
"","","","","","91","6","","1060062","1060064",""
"","","","","","93","6","","0.6","1060065",""
"0","105831","1600","1.8","omp_idle_normal","1","7","-100","1","1070001","-205"
"0","105931","1600","1.8","omp_idle_normal","1","7","-390","1","1070002","-225"
"0","106031","1500","1.8","omp_idle_normal","1","7","-260","1","1070003","-190"
"1","112511","1500","1.8","omp_idle_normal","1","7","250","1","1070004","-185"
"1","112411","1600","1.8","omp_idle_normal","1","7","385","1","1070005","-220"
"1","112611","1600","1.8","omp_idle_normal","1","7","100","1","1070006","-195"
"","1","0","1","","31","7","0","1","1070007","1"
"","","","","","93","7","","0.2","1070008",""
"","omp_idle_normal","1","0.1","","3","7","","112611","1070009",""
"","omp_talk_normal","1","0","","3","7","","112411","1070010",""
"","omp_idle_normal","1","0.1","","3","7","","112511","1070011",""
"","omp_idle_normal","1","0.1","","3","7","","105831","1070012",""
"","","","","","93","7","","0.1","1070013",""
"","","","","","93","7","","1","1070014",""
"","vo_omp_7007_000","0","","","21","7","0","vo_omp_7007","1070015",""
"","今思うと…最初のゲリラLIVEは\nほんとうにいっぱいいっぱいでしたね","10","","","11","7","1","112411","1070016","1"
"","","","","","91","7","","0","1070017",""
"","omp_idle_normal","1","0.1","","3","7","","112411","1070018",""
"","omp_talk_normal","1","0.1","","3","7","","105831","1070019",""
"","vo_omp_7007_001","0","","","21","7","0","vo_omp_7007","1070020",""
"","緊張してるのが見てて分かりましたよ\nなんだかこっちまで緊張して\nお腹が締め付けられる思いでしたよ～","10","","","11","7","1","105831","1070021","1"
"","","","","","91","7","","0","1070022",""
"","omp_idle_normal","1","0","","3","7","","105831","1070023",""
"","omp_talk_worry","1","0","","3","7","","105931","1070024",""
"","vo_omp_7007_002","0","","","21","7","0","vo_omp_7007","1070025",""
"","ペコリーヌさまの場合は、\n空腹で締め付けられていた\n可能性もありますが…","10","","","11","7","1","105931","1070026","1"
"","","","","","91","7","","0","1070027",""
"","omp_idle_worry","1","0","","3","7","","105931","1070028",""
"","omp_talk_normal","1","0","","3","7","","106031","1070029",""
"","vo_omp_7007_003","0","","","21","7","0","vo_omp_7007","1070030",""
"","まーたしかに、あのときの\nウヅキたちのゲリラLIVEは\nほんとにボロボロだったわね！","10","","","11","7","1","106031","1070031","1"
"","","","","","91","7","","0","1070032",""
"","omp_idle_normal","1","0","","3","7","","106031","1070033",""
"","omp_talk_worry","1","0","","3","7","","112611","1070034",""
"","vo_omp_7007_004","0","","","21","7","0","vo_omp_7007","1070035",""
"","もうっ、キャルキャル～\nあんま言わないでよ～！\n私たちだってわかってるんだからさ～","10","","","11","7","1","112611","1070036","1"
"","","","","","91","7","","0","1070037",""
"","omp_idle_worry","1","0","","3","7","","112611","1070038",""
"","omp_talk_normal2","1","0","","3","7","","105931","1070039",""
"","vo_omp_7007_005","0","","","21","7","0","vo_omp_7007","1070040",""
"","でも、自分たちで立ち上がって\n再び舞台に立つ姿…\nわたくし、感動いたしました","10","","","11","7","1","105931","1070041","1"
"","","","","","91","7","","0","1070042",""
"","omp_idle_calm","1","0","","3","7","","105931","1070043",""
"","omp_talk_normal2","1","0","","3","7","","112511","1070044",""
"","vo_omp_7007_006","0","","","21","7","0","vo_omp_7007","1070045",""
