2d83aae9c30cd9ad214ed51427383d01605b75cd9562d2e7461048b92217972f,28d9aaeaaaeac5c960323fbc0472f167ebc9745ccf1fba6627c85a324950083c,bc4a8a994c588ed39b25f6a6cf6e83e832791e908d046bd7d2e0eb763cf5d823,30f471ea01679a98324239164d1deda8a23a3d0b94f19ccef83414519b2d71fb,ce582f2cedf5674ca468b4d33f761e6ab246e80cc29470cb650f3d5fec99c333,969d149c6af89ea5e00bb50c1dec0cea1313797a315a66725cc7a7a45d8dead1,7017df4a966b55f74744a9769aec541b2e047d90a2cf717982fb2c83146bc099,d4a031616084d9368add4387ce734ef3b88d7730129839afdcedfb1aea7f0fcc,4c6739f1c75af06f3a154eb83e187dff896f09ccaf2ece985e3f858725d3314a,0bcb7adaf21ea41f6d1c620fbe8c41a2c0fabe055321acceecf9c96e91e1501c,dad6f39114c1dbf1d7c40b435b8a69a94a6bab5430a626f646ae6922038df3fc
"","61083","","0","0","5152061","","","","91","61093"
"vo_rag_6007","vo_rag","","0","0","5152061","","","","21","61094"
"フリフリ～、楽しくなってきましたぁ♪","102111","0.5","10","1","5152061","0","0","60","11","61095"
"0","5.2","","","","5152061","","","","93","61096"
"","61095","","0","0","5152061","","","","91","61097"
"joy_idle","131911","","1","","5152061","","0.2","","3","61098"
"joy_idle","102311","","1","","5152061","","0.2","","3","61099"
"joy_idle","102111","","1","","5152061","","0.2","","3","61100"
"joy_idle","107711","","1","","5152061","","0.2","","3","61101"
"joy_idle","122811","","1","","5152061","","0.2","","3","61102"
"joy_idle","122911","","1","","5152061","","0.2","","3","61103"
"joy_idle","122711","","1","","5152061","","0.2","","3","61104"
"kids_jump_in_saren","110311","","0","kids_jump_sideHair_out","5152061","0","0.2","0","3","61105"
"vo_rag_6008","vo_rag","","0","0","5152061","","","","21","61106"
"最後はみんなで大きく…ジャーンプ！","110311","1","10","1","5152061","0","0","0","11","61107"
"0","0.1","","","","5152061","","","","93","61108"
"kids_jump_in","131911","","0","kids_jump_mid","5152061","1","0.2","0","3","61109"
"kids_jump_in","102311","","0","kids_jump_mid","5152061","1","0.2","0","3","61110"
"kids_jump_in","102111","","0","kids_jump_mid","5152061","1","0.2","0","3","61111"
"kids_jump_in","107711","","0","kids_jump_mid","5152061","1","0.2","0","3","61112"
"kids_jump_in","122811","","0","kids_jump_mid","5152061","1","0.2","0","3","61113"
"kids_jump_in","122911","","0","kids_jump_mid","5152061","1","0.2","0","3","61114"
"kids_jump_in","122711","","0","kids_jump_mid","5152061","1","0.2","0","3","61115"
"0","4.1","","","","5152061","","","","93","61116"
"","61107","","0","0","5152061","","","","91","61117"
"finish","2","","","","5152061","","","","37","61118"
"se_10058300_kids_finish","se_10058300","","0","","5152061","","","","23","61119"
"kids_jump_out","131911","","0","","5152061","","0","","3","61120"
"kids_jump_out","102311","","0","","5152061","","0","","3","61121"
"kids_jump_out","102111","","0","","5152061","","0","","3","61122"
"kids_jump_sideHair_out","107711","","0","","5152061","","0","","3","61123"
"kids_jump_out","122811","","0","","5152061","","0","","3","61124"
"kids_jump_out","122911","","0","","5152061","","0","","3","61125"
"kids_jump_sideHair_out","122711","","0","","5152061","","0","","3","61126"
"vo_rag_6009","vo_rag","","0","0","5152061","","","","21","61127"
"1009_in","2","","0","","5152061","","0","","3","61128"
"1","0.4","","","","5152061","","","","93","61129"
"1009_mid","2","","0","","5152061","","0","","3","61130"
"","","","","","5152061","","","","92","61131"
"1009_out","2","","0","","5152061","","0","","3","61132"
"0","0.2","","","","5152061","","","","93","61133"
"kids_jump_end","131911","","0","idle_normal","5152061","1","0","0.2","3","61134"
"kids_jump_end","102311","","0","joy_idle_normal","5152061","1","0","0.2","3","61135"
"kids_jump_end","102111","","0","wish_idle","5152061","1","0","0.2","3","61136"
"kids_jump_sideHair_end","107711","","0","idle_normal","5152061","1","0","0.2","3","61137"
"kids_jump_end","122811","","0","doya_idle","5152061","1","0","0.2","3","61138"
"kids_jump_end","122911","","0","idle_normal","5152061","1","0","0.2","3","61139"
"kids_jump_sideHair_end","122711","","0","idle_normal","5152061","1","0","0.2","3","61140"
"bgm_MC173B","bgm_MC173B","","0.5","0.5","5152061","0","0","1","27","61141"
"kids_jump_sideHair_end","110311","","0","talk_normal","5152061","1","0","0.2","3","61142"
"vo_rag_6010","vo_rag","","0","0","5152061","","","","21","61143"
"はい、お疲れさま\nみんな、楽しかったかしら？","110311","0","10","1","5152061","1","0","0","11","61144"
"","0","","0","0","5152061","","","","91","61145"
"idle_normal","110311","","1","","5152061","","0.2","","3","61146"
"gutsB_in","131911","","0","gutsB_talk","5152061","1","0.2","0","3","61147"
"surprise3_in_joy2","102311","","0","surprise3_loop_joy2","5152061","1","0.2","0","3","61148"
"memory_talk","102111","","1","","5152061","","0.2","","3","61149"
"wish_talk_joy_shy","107711","","1","","5152061","","0.2","","3","61150"
"eieio_in","122811","","0","eieio_loop","5152061","1","0.2","0","3","61151"
"anger_talk_joy","122911","","1","","5152061","","0.2","","3","61152"
"sad_talk_dere2","122711","","1","","5152061","","0.2","","3","61153"
"vo_rag_6011","vo_rag","","0","0","5152061","","","","21","61154"
"ええ、とっても！\nすごーく新鮮な\nラジーオタイソーだったわ！","131911","0","10","1","5152061","1","0","60","11","61155"
"","0","","0","0","5152061","","","","91","61156"
"gutsB_idle","131911","","1","","5152061","","0.2","","3","61157"
"memory_talk","102111","","1","","5152061","","0.2","","3","61158"
"vo_rag_6012","vo_rag","","0","0","5152061","","","","21","61159"
"かわいくて元気が出て♪\nママ・サレンの体操、すごいですぅ♪","102111","0","10","1","5152061","1","0","56","11","61160"
"","0","","0","0","5152061","","","","91","61161"
"memory_talk","102111","","1","","5152061","","0.2","","3","61162"
"se_10058300_emotion_laugh","se_10058300","","0","","5152061","","","","23","61163"
"1","11","","","","5152061","","","","32","61164"
"sad_talk_normal","110311","","1","","5152061","","0.2","","3","61165"
"vo_rag_6013","vo_rag","","0","0","5152061","","","","21","61166"
"あはは、\nそんなに喜んでもらえるなんて、\n悪い気はしないわね","110311","0","10","1","5152061","1","0","0","11","61167"
"","0","","0","0","5152061","","","","91","61168"
"0","11","","","","5152061","","","","32","61169"
"0","0","","","","5152061","","","","22","61170"
"0","0.1","","","","5152061","","","","93","61171"
"wish_talk_joy_shy","110311","","1","","5152061","","0.2","","3","61172"
"smile2_joy","131911","","0","sad_idle_joy","5152061","1","0.2","0","3","61173"
"joy_idle","102311","","1","","5152061","","0.2","","3","61174"
"memory_idle","102111","","1","","5152061","","0.2","","3","61175"
"wish_idle_dere","107711","","1","","5152061","","0.2","","3","61176"
"cool_talk_dere2","122811","","1","","5152061","","0.2","","3","61177"
"anger_idle_normal2","122911","","1","","5152061","","0.2","","3","61178"
"sad_idle_dere","122711","","1","","5152061","","0.2","","3","61179"
"se_10058300_emotion_kids","se_10058300","","0","","5152061","","","","23","61180"
"9","110311","0","2","0","5152061","0","0","0","12","61181"
"7","131911","0","2","0","5152061","0","0","0","12","61182"
"10","102311","0","2","0","5152061","0","0","0","12","61183"
"6","102111","0","2","0","5152061","0","0","0","12","61184"
"0","2.5","","","","5152061","","","","93","61185"
"","61187","","","","5152061","","","","101","61186"
"bgm_MC173B","bgm_MC173B","","","","5152061","","","","25","61187"
"0","0","","","","5152061","","","","22","61188"
"107111","1","doya_idle","110","382","5152062","-280","1.55","1","1","62001"
"107611","1","idle_normal","105","145","5152062","-210","1.5","0","1","62002"
"131911","1","joy_idle_normal","107","-22","5152062","-296","1.57","0","1","62003"
"107511","1","wish_idle_joy","109","-217","5152062","-311","1.57","0","1","62004"
"107811","1","cool_idle","108","-440","5152062","-255","1.53","0","1","62005"
"131411","1","idle_normal","103","34","5152062","-136","1.45","0","1","62006"
"131311","1","riri_idle","104","-163","5152062","-146","1.45","0","1","62007"
"131511","1","sad_idle_surprise1","105","-350","5152062","-166","1.45","0","1","62008"
"5","5","empty","106","-13","5152062","-235","1.5","1","5","62009"
"11","1","empty","110","145","5152062","-210","1.5","0","5","62010"
"12","1","empty","110","-22","5152062","-296","1.57","0","5","62011"
"13","1","empty","110","-217","5152062","-311","1.57","0","5","62012"
"14","1","empty","110","-440","5152062","-255","1.53","0","5","62013"
"15","1","empty","107","34","5152062","-136","1.45","0","5","62014"
"16","1","empty","107","-163","5152062","-146","1.45","0","5","62015"
"17","1","empty","107","-350","5152062","-166","1.45","0","5","62016"
"210","107111","","","","5152062","","","","13","62017"
"207","131911","","","","5152062","","","","13","62018"
"209","107511","","","","5152062","","","","13","62019"
"205","107611","","","","5152062","","","","13","62020"
"208","107811","","","","5152062","","","","13","62021"
"203","131411","","","","5152062","","","","13","62022"
"204","131311","","","","5152062","","","","13","62023"
"205","131511","","","","5152062","","","","13","62024"
"1","1","empty","108","-13","5152062","-235","1.57","0","5","62025"
"2","2","empty","210","382","5152062","11","1","0","5","62026"
"1","1","","0","0","5152062","1","1","","31","62027"
"2","2","","0","0","5152062","1","0","","31","62028"
"12","12","","0","0","5152062","1","0","","31","62029"
"3","3","","0","0","5152062","1","1","","31","62030"
"","0","","","","5152062","","","","91","62031"
"telop_2","3","","","","5152062","","","","37","62032"
"0","0","","0","","5152062","","","","102","62033"
"0","1","","","","5152062","","","","93","62034"
"doya_talk","107111","","1","","5152062","","0.2","","3","62035"
"vo_rag_2001","vo_rag","","0","0","5152062","","","","21","62036"
"早朝にもかかわらず、よく集まった","107111","0","10","1","5152062","1","0","35","11","62037"
"","0","","0","0","5152062","","","","91","62038"
"cool_in_joy","107111","","0","cool_talk_joy","5152062","1","0.2","0","3","62039"
"vo_rag_2002","vo_rag","","0","0","5152062","","","","21","62040"
"オマエたちにとっておきの体操を\n伝授してやろう♪","107111","0","10","1","5152062","1","0","35","11","62041"
"","0","","0","0","5152062","","","","91","62042"
"cool_idle","107111","","1","","5152062","","0.2","","3","62043"
"gutsB_talk_anger","131311","","1","","5152062","","0.2","","3","62044"
"vo_rag_2003","vo_rag","","0","0","5152062","","","","21","62045"
"どんな苛烈な体操でも…\n頑張りぬく所存です…！","131311","0","10","1","5152062","1","0","0","11","62046"
"","0","","0","0","5152062","","","","91","62047"
"riri_idle","131311","","1","","5152062","","0.2","","3","62048"
"","1","","","","5152062","","","","26","62049"
"joy_talk_normal","107111","","1","","5152062","","0.2","","3","62050"
"idle_normal","131911","","1","","5152062","","0.2","","3","62051"
"idle_normal","107511","","1","","5152062","","0.2","","3","62052"
"idle_normal","107611","","1","","5152062","","0.2","","3","62053"
"idle_normal","107811","","1","","5152062","","0.2","","3","62054"
"idle_normal","131411","","1","","5152062","","0.2","","3","62055"
"idle_normal","131311","","1","","5152062","","0.2","","3","62056"
"idle_normal","131511","","1","","5152062","","0.2","","3","62057"
"vo_rag_2004","vo_rag","","0","0","5152062","","","","21","62058"
"ではいくぞ\nそれ、ワンツーワンツー\nもっと腕を高く！","107111","2","10","1","5152062","0","0","0","11","62059"
"0","1.1","","0","0","5152062","","","","93","62060"
"bgm_MC175A","bgm_MC175A","","","","5152062","","","","25","62061"
"1","2","","","","5152062","","","","32","62062"
"clapping_in","107111","","0","clapping_loop","5152062","1","0.2","0","3","62063"
"idol_before_dance","131911","","0","","5152062","","0.2","","3","62064"
"idol_before_dance","107511","","0","","5152062","","0.2","","3","62065"
"idol_before_dance","107611","","0","","5152062","","0.2","","3","62066"
"idol_before_dance","107811","","0","","5152062","","0.2","","3","62067"
"idol_before_dance","131411","","0","","5152062","","0.2","","3","62068"
"idol_before_dance","131311","","0","","5152062","","0.2","","3","62069"
"idol_before_dance","131511","","0","","5152062","","0.2","","3","62070"
"","0","","","","5152062","","","","91","62071"
"1","12","","","","5152062","","","","32","62072"
"idol_danceF","131911","","1","","5152062","","0.2","","3","62073"
"idol_danceF","107511","","1","","5152062","","0.2","","3","62074"
"idol_danceF","107611","","1","","5152062","","0.2","","3","62075"
"idol_danceF","107811","","1","","5152062","","0.2","","3","62076"
"idol_danceB_in","131411","","0","idol_danceB_loop","5152062","1","0.2","0","3","62077"
"idol_danceB_in","131311","","0","idol_danceB_loop","5152062","1","0.2","0","3","62078"
"idol_danceB_in","131511","","0","idol_danceB_loop","5152062","1","0.2","0","3","62079"
"idol_danceF","12","","1","","5152062","","0.2","","3","62080"
"idol_danceF","13","","1","","5152062","","0.2","","3","62081"
"idol_danceF","11","","1","","5152062","","0.2","","3","62082"
"idol_danceF","14","","1","","5152062","","0.2","","3","62083"
"idol_danceB_loop","15","","1","","5152062","","0.2","","3","62084"
"idol_danceB_loop","16","","1","","5152062","","0.2","","3","62085"
"idol_danceB_loop","17","","1","","5152062","","0.2","","3","62086"
"0","2.8","","0","0","5152062","","","","93","62087"
"0","0.1","","0","0","5152062","","","","93","62088"
"pointing_in_anger","107111","","0","pointing_loop_anger","5152062","1","0.2","0","3","62089"
"0","0.5","","0","0","5152062","","","","93","62090"
"vo_rag_2005","vo_rag","","0","0","5152062","","","","21","62091"
"0204_in","2","","0","","5152062","","0","","3","62092"
"0","2.5","","","","5152062","","","","93","62093"
"0204_out","2","","0","","5152062","","0","","3","62094"
"0","0.2","","","","5152062","","","","93","62095"
"angry_loop","107111","","1","","5152062","","0.2","","3","62096"
"vo_rag_2006","vo_rag","","0","0","5152062","","","","21","62097"
"0205_in","2","","0","","5152062","","0","","3","62098"
"0","2.2","","","","5152062","","","","93","62099"
"0205_out","2","","0","","5152062","","0","","3","62100"
"0","0.3","","","","5152062","","","","93","62101"
"clapping_in_talk2","107111","","0","clapping_loop_talk2","5152062","1","0.2","0","3","62102"
"0","2.1","","","","5152062","","","","93","62103"
"out","12","","","","5152062","","","","37","62104"
"idol_poseF_in","131911","","0","idol_poseF_loop","5152062","1","0.1","0","3","62105"
"idol_poseF_in","107511","","0","idol_poseF_loop","5152062","1","0.1","0","3","62106"
"idol_poseF_in","107611","","0","idol_poseF_loop","5152062","1","0.1","0","3","62107"
"idol_poseF_in","107811","","0","idol_poseF_loop","5152062","1","0.1","0","3","62108"
"idol_poseB_in","131411","","0","idol_poseB_loop","5152062","1","0.1","0","3","62109"
"idol_poseB_in","131311","","0","idol_poseB_loop","5152062","1","0.1","0","3","62110"
"idol_poseB_in","131511","","0","idol_poseB_loop","5152062","1","0.1","0","3","62111"
"empty","12","","1","","5152062","","0.2","","3","62112"
"empty","13","","1","","5152062","","0.2","","3","62113"
"empty","11","","1","","5152062","","0.2","","3","62114"
"empty","14","","1","","5152062","","0.2","","3","62115"
"empty","15","","1","","5152062","","0.2","","3","62116"
"empty","16","","1","","5152062","","0.2","","3","62117"
"empty","17","","1","","5152062","","0.2","","3","62118"
"93","107611","","-206","0.7","5152062","11","","","2","62119"
"-13","131911","","-235","0.7","5152062","11","","","2","62120"
"-152","107511","","-248","0.7","5152062","11","","","2","62121"
"-277","107811","","-243","0.7","5152062","11","","","2","62122"
"8","131411","","-151","0.7","5152062","11","","","2","62123"
"-102","131311","","-154","0.7","5152062","11","","","2","62124"
"-222","131511","","-167","0.7","5152062","11","","","2","62125"
"0","1.6","","","","5152062","","","","93","62126"
"finish","2","","","","5152062","","","","37","62127"
"se_10058300_idle_finish","se_10058300","","0","","5152062","","","","23","62128"
"bgm_MC173B","bgm_MC173B","","0.5","0.5","5152062","0","0","1","27","62129"
"0","0","","","","5152062","","","","93","62130"
"clapping_end","107111","","0","","5152062","","0.1","","3","62131"
"0","2","","","","5152062","","","","93","62132"
"armcrossed_in","107111","","0","armcrossed_talk","5152062","1","0.2","0","3","62133"
"vo_rag_2007","vo_rag","","0","0","5152062","","","","21","62134"
"これでフィニッシュ！　…見事だ☆\nアイドルの道は険しいが\nオマエたちならやれるだろう","107111","0","10","1","5152062","1","0","35","11","62135"
"","0","","0","0","5152062","","","","91","62136"
"armcrossed_idle","107111","","1","","5152062","","0.2","","3","62137"
"pack_in","5","","0","pack_talk","5152062","1","0","0","3","62138"
"se_10058300_pack_appear","se_10058300","","0","","5152062","","","","23","62139"
"idol_poseF_end_emilia_in","131911","","0","idol_poseF_end_emilia_loop","5152062","1","0.2","0","3","62140"
"0","1","","","","5152062","","","","93","62141"
"vo_rag_2008","vo_rag","","0","0","5152062","","","","21","62142"
"ねえリア、\nこれってラジーオタイソーなの？","5","0","10","1","5152062","1","5","24","11","62143"
"","0","","0","0","5152062","","","","91","62144"
"0","0","","","","5152062","","","","22","62145"
"idol_poseF_end_emilia_loop_nervous","131911","","1","","5152062","","0.2","","3","62146"
"idol_poseF_end_emilia_nervous_in","1","","0","idol_poseF_end_emilia_loop","5152062","1","0","0","3","62147"
"pack_idle","5","","1","","5152062","","0.2","","3","62148"
"chris_laugh","107111","","1","","5152062","","0.2","","3","62149"
"se_10058300_emotion_idol","se_10058300","","0","","5152062","","","","23","62150"
"5","5","0","2","0","5152062","0","5","5","12","62151"
"10","107111","0","2","0","5152062","0","0","0","12","62152"
"0","2.5","","","","5152062","","","","93","62153"
"","62155","","","","5152062","","","","101","62154"
"bgm_MC173B","bgm_MC173B","","","","5152062","","","","25","62155"
"0","0","","","","5152062","","","","22","62156"
"131711","1","ames_sit_idle","109","124","5152063","-215","1.8","1","1","63001"
"132011","1","echidna_sit_thinking_idle","108","-119","5152063","-215","1.8","0","1","63002"
"1","1","empty","109","-119","5152063","-215","1.8","0","5","63003"
"209","131711","","","","5152063","","","","13","63004"
"208","132011","","","","5152063","","","","13","63005"
"1","1","","0","0","5152063","1.16","1","","31","63006"
"10","10","","0","0","5152063","1","1","","31","63007"
"5","5","","0","0","5152063","1","0","","31","63008"
"3","3","","0","0","5152063","1","1","","31","63009"
"0","0","","","","5152063","","","","91","63010"
"telop_3","3","","","","5152063","","","","37","63011"
"0","0","","0","","5152063","","","","102","63012"
"0","1","","","","5152063","","","","93","63013"
"echidna_sit_thinking_talk","132011","","1","","5152063","","0.2","","3","63014"
"vo_rag_5001","vo_rag","","0","0","5152063","","","","21","63015"
"この世界には『アイドル』という\n種族にのみ伝わる、伝統の\nタイソーとやらがあるらしいね","132011","0","10","1","5152063","1","-20","50","11","63016"
"","0","","0","0","5152063","","","","91","63017"
"echidna_sit_talk","132011","","1","","5152063","","0.2","","3","63018"
"vo_rag_5002","vo_rag","","0","0","5152063","","","","21","63019"
"君は智に長けた存在だろう？\nボクにもその動きを\n教えてもらえないかな？","132011","0","10","1","5152063","1","-20","50","11","63020"
"","0","","0","0","5152063","","","","91","63021"
"echidna_sit_idle","132011","","1","","5152063","","0.2","","3","63022"
"ames_yareyare_in","131711","","0","ames_yareyare_talk","5152063","1","0.2","0","3","63023"
"vo_rag_5003","vo_rag","","0","0","5152063","","","","21","63024"
"随分と面倒なこと言ってくれちゃって","131711","0","10","1","5152063","1","20","50","11","63025"
"","0","","0","0","5152063","","","","91","63026"
"ames_sit_talk","131711","","1","","5152063","","0.2","","3","63027"
"vo_rag_5004","vo_rag","","0","0","5152063","","","","21","63028"
"色々誤解があるみたいだけど、\nまあいいわ","131711","0","10","1","5152063","1","20","50","11","63029"
"","0","","0","0","5152063","","","","91","63030"
"vo_rag_5005","vo_rag","","0","0","5152063","","","","21","63031"
"それじゃ、\nあたしと同じ動きをやってみて","131711","0","10","1","5152063","1","20","50","11","63032"
"","0","","0","0","5152063","","","","91","63033"
"ames_sit_out","131711","","0","idle_normal","5152063","1","0.2","0","3","63034"
"0","0.1","","","","5152063","","","","93","63035"
"echidna_sit_out","132011","","0","idle_normal","5152063","1","0.2","0","3","63036"
"out","10","","","","5152063","","","","37","63037"
"0","1","","","","5152063","","","","93","63038"
"","0","","0","0","5152063","","","","91","63039"
"bgm_MC175A","bgm_MC175A","","","","5152063","","","","25","63040"
"1","5","","","","5152063","","","","32","63041"
"isekai_dance","131711","","1","","5152063","","0.2","","3","63042"
"0","0.1","","","","5152063","","","","93","63043"
"isekai_dance","132011","","1","","5152063","","0.2","","3","63044"
"vo_rag_5006","vo_rag","","0","0","5152063","","","","21","63045"
"はい、ワンツーワンツー、\nステップステップ…","131711","1.7","10","1","5152063","0","0","0","11","63046"
"0","7","","","","5152063","","","","93","63047"
"","0","","0","0","5152063","","","","91","63048"
"vo_rag_5007","vo_rag","","0","0","5152063","","","","21","63049"
"ワン、ツー…ワン、ツ…\nはぁ、はぁ…\n今日のところは、ここまで、だね…","132011","0","10","1","5152063","1","0","0","11","63050"
"0","3.4","","","","5152063","","","","93","63051"
"bgm_MC173B","bgm_MC173B","","0.5","0.5","5152063","0","0","1","27","63052"
"out","5","","","","5152063","","","","37","63053"
"tired_in","1","","0","tired_talk","5152063","1","0","0","3","63054"
"echidna_tired_in","132011","","0","echidna_tired_talk","5152063","1","0","0","3","63055"
"se_10058300_isekai_breath","se_10058300","","0","","5152063","","","","23","63056"
"0","7.6","","","","5152063","","","","93","63057"
"","63050","","0","0","5152063","","","","91","63058"
"tired_idle","1","","1","","5152063","","0.2","","3","63059"
"echidna_tired_idle","132011","","1","","5152063","","0.2","","3","63060"
"shock_in","131711","","0","shock_talk","5152063","1","0","0","3","63061"
"vo_rag_5008","vo_rag","","0","0","5152063","","","","21","63062"
"ウソでしょ！　まだちょっとしか\nやってないわよ！","131711","0","10","1","5152063","1","0","0","11","63063"
"","0","","0","0","5152063","","","","91","63064"
