dd55519109440d848e78f6ac982480cbbd000292005fd44f0dceaaaed269684e,813ea3e13aa62dba4cd7a4363f4e60091d26308cce6cf3860f08a35fa3cd39c1,9072043d443447d7d7e5b4b24d778362f336ad9665ee82ccba5f896951509ff5,f9ebecb7d98cd976c07291f27ad5cade29491bbd7b7c9c0cfd6eb9f3b230777c,067beb66c1088fe23870bf7dd3a26423a4da23c597c5db3b51a15683755e750a,37665d825deac44d4aaae4d9e5c366d6b0072a11c209f93695ac93d2221e4e21,3f56373f5df772c51bb4add8f297fbf780af8084c48968c6955c2586fdd61b78,0c19be11f02316ada71e426221d3fc3785fb98e13e607f9c288e7b69163b89b2,16c2ae0413337aa72a617da803d38a46288477a7dfb58c865e1a442807540b23,f24a3bec9e307adec9c3e7b4b1ac1bd161319ce0caa3aaccb5b498d334098787,51dd25f82463467bd4412dd15dde29aff113b57a1d236b072bcc420699443ec0,d7cf47edc9c07b7a132af7a4c3ce29e4f187c0d3eb6edba8035dc7659d834ae6,1f5f38c09d7d61554e14f9f661ac8a53e7e620ad32e3850cf20e026dd313ddfe,1a119bf75fc0452afc1e137cd2f21081991d1dcd4207115bbe72a2288653ee37
"112","10046","24","6.85","みんなの力になりたくて\n先生も頑張ってみました～！\nうまく投げられたみたいで\nよかったわ～！","2020/07/31 12:00:00","2030/12/17 14:59:59","2","ミサト","1","0","113501","0","24014"
"113","10046","24","3","練習お疲れさま～！\n先生も協力できて\nとってもうれしいわ～♪\n次も頑張りましょうね～！","2020/07/31 12:00:00","2030/12/17 14:59:59","2","ミサト","1","0","113501","0","24015"
"611","10046","24","6.11","まだ練習が足りねえみてえだな\nこれっぽっちも本気で\n投げてねえっつーの\nもう一回やんぞ！","2020/07/31 12:00:00","2030/12/17 14:59:59","2","ダイチ","1","0","192401","0","24016"
"612","10046","24","6.75","ふん、当然の結果だな\n俺の球は、誰にも打てねえよ！\nまたやりてえっつーなら\nとことん付き合ってやるぜ！","2020/07/31 12:00:00","2030/12/17 14:59:59","2","ダイチ","1","0","192401","0","24017"
"613","10046","24","0","おっしゃあ！\nこの勢いで全国に行ってやるぜ！\n全員三振で仕留めてやる！","2020/07/31 12:00:00","2030/12/17 14:59:59","2","ダイチ","2","0","192401","0","24018"
"211","10046","24","4.52","きらーん☆\nハツネちゃんの大勝利なのだ～！\nみんながもっと上達できるように\n私もまだまだ頑張るからね！","2020/07/31 12:00:00","2030/12/17 14:59:59","1","ハツネ","2","0","113401","0","24019"
"212","10046","24","3.89","やったあ！　私の勝ちだね！\nチアリーダーもピッチャーも\nハツネちゃんに任せてよ！","2020/07/31 12:00:00","2030/12/17 14:59:59","1","ハツネ","2","0","113401","0","24020"
"213","10046","24","13.49","よお～し、この調子でもっと\n頑張ろう…と思ったけど\n超能力を使ったから…\n眠くなってきちゃった…すやぁ…","2020/07/31 12:00:00","2030/12/17 14:59:59","2","ハツネ","1","0","113401","0","24021"
"311","10046","24","3.17","いい勝負だったぜ！\nたぎっちまって\nつい本気で投げちまったよ","2020/07/31 12:00:00","2030/12/17 14:59:59","2","カヤ","1","0","106501","0","24022"
"312","10046","24","4.42","どうだ？\nオレ様のボールは熱かっただろ！\nま、でもおまえらの根性も\nなかなかのもんだったぜ","2020/07/31 12:00:00","2030/12/17 14:59:59","2","カヤ","1","0","106501","0","24023"
"313","10046","24","2.89","なんだよ、そんなもんか？\nこっちはまだまだ投げたりねえ\nもっと勝負しようぜ！","2020/07/31 12:00:00","2030/12/17 14:59:59","1","カヤ","6","0","106501","0","24024"
"421","10046","24","3.71","あとちょっとだったのに～！\n次こそぷうきちと一緒に\n勝ってみせるからね！","2020/07/31 12:00:00","2030/12/17 14:59:59","3","アヤネ","4","0","102301","0","24025"
"721","10046","24","5.1","いい勝負だったね！\nでも、やっぱり悔しいな…\nもっと練習して\n今度は絶対に俺が勝つから！","2020/07/31 12:00:00","2030/12/17 14:59:59","1","アサヒ","2","0","192201","0","24026"
"821","10046","24","4.34","ちっ…あと一歩足りなかったか\n次こそは絶対に勝つから\nそのつもりでいろ","2020/07/31 12:00:00","2030/12/17 14:59:59","3","部員３","1","0","192301","0","24027"
"521","10046","24","0","いい勝負だったよ\nまたやろうね","2020/07/31 12:00:00","2030/12/17 14:59:59","1","","1","0","192501","0","24028"
"101","10046","24","5.62","とってもよくできました～♪\n頑張ってくれて先生うれしいわ\nこれからも試合に向けて\n練習していきましょうね～","2020/07/31 12:00:00","2030/12/17 14:59:59","2","ミサト","1","-360","113501","0","24029"
"102","10046","24","9.58","頑張った成果ね～！\nこのまま練習を続ければ\nもっとすごい成績を残せそうよ\n期待してますからね～！","2020/07/31 12:00:00","2030/12/17 14:59:59","2","ミサト","1","-360","113501","0","24030"
"103","10046","24","0","いい子、いい子～♪\n頑張り屋さんのあなたを\nたっくさん褒めてあげますからね","2020/07/31 12:00:00","2030/12/17 14:59:59","2","ミサト","2","-360","113501","0","24031"
"104","10046","24","9.13","夢に向けて、一歩前進できたわね\nこの調子で、夢を叶えましょう\n目指せ、全国大会～！","2020/07/31 12:00:00","2030/12/17 14:59:59","1","ミサト","2","-360","113501","0","24032"
"105","10046","24","8.27","絶好調ね～♪\nきっと試合でも大活躍\n間違いなしだわ\n楽しみにしていますからね～！","2020/07/31 12:00:00","2030/12/17 14:59:59","2","ミサト","1","-360","113501","0","24033"
