3f35a2664e35fc856781fc6a9856494d1a921cda553b7f904dfc3bdc286880d7,9a48808966ccf8e3bc5d8a8326b7b74a5607d42800441f054787b6f332ee0fa6,80642156e16321369d271e8ece3af05ba4ad14685e836531f33270a8045b29ac,592d4d9be929697574af37eb6a6a3bc1850b8dc4dc471de629a786d747df3340,614891ca9874fb7e17b4f41cb6c904f5eb643086a65e23830f44d2305cef5815,ed18b53ac5cc8ec2c8964824eecb9d1b5ca57908df9ce4adc1db3d3f080b7f40,a42ce70d89d597d719514e36e7b6d3a84f3ccdc55641e682148170a692203173,2a15c38f772b6cda6ce8dc862ff0fe61c178e5aee91ab88e04756a2c0e9a3804
"srt_inori_thinking","","1","PLAYER_TURN1","","srt_kaya_waiting","srt_dragon_thinking","「{0}」ですか\n次は「{1}」で始まる言葉ですね"
"srt_inori_thinking","","1","PLAYER_TURN2","","srt_kaya_waiting","srt_dragon_thinking","「{0}」ですか\nうーん、「{1}」で始まる言葉は…"
"srt_inori_thinking","","1","PLAYER_TURN3","","srt_kaya_waiting","srt_dragon_thinking","なるほど「{0}」ですね\nふむふむ、「{1}」で始まる言葉は…"
"","","1","PLAYER_CUTIN_GREAT","sugoyomi_cutin_049,sugoyomi_cutin_051,sugoyomi_cutin_053","","",""
"","","1","PLAYER_CUTIN_PRICONNE","sugoyomi_cutin_050,sugoyomi_cutin_052","","",""
"srt_inori_select_1,srt_inori_idle","","1","PLAYER_SELECT1","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","srt_kaya_react_1,srt_kaya_waiting","srt_dragon_select_1,srt_dragon_idle","「{0}」です！"
"srt_inori_select_2,srt_inori_idle","","1","PLAYER_SELECT2","correct_030-correct_031,correct_035-correct_036","srt_kaya_react_2,srt_kaya_waiting","srt_dragon_select_2,srt_dragon_idle","「{0}」ですね！"
"srt_inori_select_1,srt_inori_idle","","1","PLAYER_SELECT_GREAT1","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","srt_kaya_react_1,srt_kaya_waiting","srt_dragon_select_1,srt_dragon_idle","「{0}」なんてどうです！"
"srt_inori_select_2,srt_inori_idle","","1","PLAYER_SELECT_GREAT2","correct_030-correct_031,correct_035-correct_036","srt_kaya_react_2,srt_kaya_waiting","srt_dragon_select_2,srt_dragon_idle","ふふ～ん♪「{0}」です！"
"srt_inori_select_1,srt_inori_idle","","1","PLAYER_SELECT_PRECONNE1","correct_028-correct_029,correct_032/correct_033-boss_emote_067-correct_034,correct_037-correct_038","srt_kaya_react_1,srt_kaya_waiting","srt_dragon_select_1,srt_dragon_idle","ふっふっふ、ずばり\n「{0}」です！"
"srt_inori_select_2,srt_inori_idle","","1","PLAYER_SELECT_PRECONNE2","correct_030-correct_031,correct_035-correct_036","srt_kaya_react_2,srt_kaya_waiting","srt_dragon_select_2,srt_dragon_idle","ひらめいたです！\n「{0}」ですね！"
"","","-1","PLAYER_SELECT_WAIT","","","",""
"srt_inori_miss,srt_inori_thinking","","1","PLAYER_MISS","mistake_039-mistake_040,mistake_041-mistake_042,mistake_043-mistake_044,mistake_045-mistake_046","srt_kaya_react_3,srt_kaya_waiting","srt_dragon_miss,srt_dragon_thinking","はうっ！ま、間違ったです…"
"srt_inori_shock","","2","PLAYER_SELECT_N","out_070","srt_kaya_react_4","","おいおい、「ん」がついてるじゃねえか……"
"srt_inori_thinking","","1","INFEVER","rush","srt_kaya_infever","srt_dragon_thinking","どんどんいくですよ！"
"srt_inori_select_1","","1","FEVER_SELECT1","correct_028-correct_029,correct_037-correct_038","","srt_dragon_select_1","「{0}」です！"
"srt_inori_select_2","","1","FEVER_SELECT2","correct_030-correct_031,correct_035-correct_036","","srt_dragon_select_2","「{0}」ですね！"
"srt_inori_miss","","1","FEVER_MISS","mistake_039-mistake_040,mistake_041-mistake_042,mistake_043-mistake_044,mistake_045-mistake_046,mistake_047-mistake_048","","srt_dragon_miss","はうっ！ま、間違ったです…"
"srt_inori_fever_attack","","1","FEVER_DAMAGE","rush_attack","srt_kaya_fever_damage","srt_dragon_fever_attack","覚悟するです！"
"srt_inori_win_1","","1","WIN_HP","win_005-win_006,win_012-win_013","srt_kaya_lose","srt_dragon_win","あたしたちの勝ちですよ！！"
"srt_inori_win_1","","1","WIN_N","win_005-win_006,win_012-win_013","","srt_dragon_win","あたしたちの勝ちですよ！！"
"srt_inori_lose","","1","LOSE_MISS","lose_017,lose_019,lose_023","srt_kaya_win","srt_dragon_lose","あうぅ…あたしの負けです…"
"","","1","LOSE_N","lose_017,lose_019,lose_023","","srt_dragon_miss","あうぅ…あたしの負けです…"
"srt_inori_lose","","1","TIMEUP","lose_025/lose_026-boss_emote_068,lose_021","srt_kaya_win","srt_dragon_lose","じ、時間切れですか！？油断したです… "
"srt_inori_lose","","1","LOSE_MISS2","lose_017,lose_019,lose_023","srt_kaya_win","srt_dragon_lose","あうぅ…あたしの負けです…\n「{0}」があったです…"
"","","1","LOSE_N2","lose_017,lose_019,lose_023","","srt_dragon_miss","あうぅ…あたしの負けです…\n「{0}」があったです…"
"srt_inori_lose","","1","TIMEUP2","lose_025/lose_026-boss_emote_068,lose_021","srt_kaya_win","srt_dragon_lose","じ、時間切れですか！？油断したです… \n「{0}」があったです…"
