732d195217c1ae03c4089c1de4c98813fadc03ecd64aeb1d3b1ab3da9a4b5df3,2683629e08f4fe3137b73b8e56f235d127453ce7aa5392fce8774f1920555c0c,68734de79da636da15078d5543bad0d15c345f3fd5559a39b352039c9c67c01a,cb173093900c48bc9b00e801f3be98012d24410a9750b35fd1e7e81fcc765a7f,29ce4eef1cc336e0a3827215d22a3344cc1c69a7d54fc007b5de20c8050b60a8,d2d1be4a49ee30f2027489f45655c572ec1671a1ef96769005e0c2ea994b5a3b
"2","クリスティーナ・モーガン","500090","0","ランドソル 王城入口","107101"
"4","ペコリーヌ（サマー）","500164","0","マルジェン海岸_昼","107501"
"4","コッコロ（サマー）","500164","0","マルジェン海岸_昼","107601"
"4","スズメ（サマー）","500164","0","マルジェン海岸_昼","107701"
"6","キャル（サマー）","500164","0","マルジェン海岸_昼","107801"
"2","タマキ（サマー）","500284","0","無人島","107901"
"2","ミフユ（サマー）","500284","0","無人島","108001"
"4","シノブ（ハロウィン）","500264","0","古城 ハロウィン","108101"
"4","ミヤコ（ハロウィン）","500264","0","古城 ハロウィン","108201"
"2","ミサキ（ハロウィン）","505030","0","ランドソル 繁華街 ハロウィン","108301"
"2","チカ（クリスマス）","500114","0","サレンディア救護院_広間_クリスマス","108401"
"4","クルミ（クリスマス）","500114","0","サレンディア救護院_広間_クリスマス","108501"
"4","アヤネ（クリスマス）","500114","0","サレンディア救護院_広間_クリスマス","108601"
"4","ヒヨリ（ニューイヤー）","500553","0","お正月神殿","108701"
"4","ユイ（ニューイヤー）","500553","0","お正月神殿","108801"
"2","レイ（ニューイヤー）","500553","0","お正月神殿","108901"
"4","エリコ（バレンタイン）","500600","0","キッチンスタジアム","109001"
"4","シズル（バレンタイン）","500600","0","キッチンスタジアム","109101"
"2","アン","500133","0","エステレラ街道","109201"
"4","ルゥ","500133","0","エステレラ街道","109301"
"4","グレア","500133","0","エステレラ街道","109401"
"4","クウカ（オーエド）","500650","0","オーエド横丁","109501"
"2","ニノン（オーエド）","500650","0","オーエド横丁","109601"
"2","レム","500175","0","ミステリオン森林","109701"
"12","ラム","500175","0","ミステリオン森林","109801"
"2","エミリア","500175","0","ミステリオン森林","109901"
"4","スズナ（サマー）","500683","0","海_ステージ","110001"
"2","イオ（サマー）","500683","0","海_ステージ","110101"
"2","サレン（サマー）","500164","0","マルジェン海岸_昼","110301"
"6","マコト（サマー）","500710","0","琉球風の海岸","110401"
"4","カオリ（サマー）","500710","0","琉球風の海岸","110501"
"4","マホ（サマー）","500710","0","琉球風の海岸","110601"
"2","アオイ（編入生）","500730","0","聖テレサ女学院_正門","110701"
"2","クロエ","500730","0","聖テレサ女学院_正門","110801"
"2","チエル","500730","0","聖テレサ女学院_正門","110901"
"4","ユニ","500730","0","聖テレサ女学院_正門","111001"
"2","キョウカ（ハロウィン）","500811","0","屋敷_メインホール","111101"
"4","ミソギ（ハロウィン）","500811","0","屋敷_メインホール","111201"
"4","ミミ（ハロウィン）","500811","0","屋敷_メインホール","111301"
"4","ルナ","500175","0","ミステリオン森林","111401"
"4","クリスティーナ（クリスマス）","500038","0","ランドソル_繁華街_クリスマス_夜","111501"
"4","ノゾミ（クリスマス）","500038","0","ランドソル_繁華街_クリスマス_夜","111601"
"4","イリヤ（クリスマス）","500038","0","ランドソル_繁華街_クリスマス_夜","111701"
"2","ぺコリーヌ（ニューイヤー）","500910","0","ランドソル_繁華街_駅伝","111801"
"2","コッコロ（ニューイヤー）","500910","0","ランドソル_繁華街_駅伝","111901"
"6","キャル（ニューイヤー）","500910","0","ランドソル_繁華街_駅伝","112001"
"2","スズメ（ニューイヤー）","500910","0","ランドソル_繁華街_駅伝","112101"
"2","カスミ（マジカル）","500010","0","ランドソル_市街地_昼","112201"
"2","シオリ（マジカル）","500010","0","ランドソル_市街地_昼","112301"
"4","ウヅキ（デレマス）","500920","0","ムーサの町_昼","112401"
"2","リン（デレマス）","500920","0","ムーサの町_昼","112501"
"4","ミオ（デレマス）","500920","0","ムーサの町_昼","112601"
"2","リン（レンジャー）","500995","0","牧場 昼","112701"
"2","マヒル（レンジャー）","500995","0","牧場 昼","112801"
"4","リノ（ワンダー）","501000","0","本の世界_平原","112901"
"2","アユミ（ワンダー）","501000","0","本の世界_平原","113001"
"6","ルカ（サマー）","501030","0","ウィッシュビーチ","113101"
"4","アンナ（サマー）","501030","0","ウィッシュビーチ","113201"
"4","ナナカ（サマー）","501030","0","ウィッシュビーチ","113301"
"4","ハツネ（サマー）","501100","0","ビーチグラウンド","113401"
"4","ミサト（サマー）","501100","0","ビーチグラウンド","113501"
"2","ジュン（サマー）","500164","0","マルジェン海岸_昼","113601"
"4","アカリ（エンジェル）","500010","0","ランドソル_市街地_昼","113701"
"2","ヨリ（エンジェル）","500010","0","ランドソル_市街地_昼","113801"
"4","ツムギ（ハロウィン）","501130","0","ハロウィンパーク_昼","113901"
"3","レイ（ハロウィン）","501130","0","ハロウィンパーク_昼","114001"
"4","マツリ（ハロウィン）","501130","0","ハロウィンパーク_昼","114101"
"4","モニカ（マジカル）","500010","0","ランドソル_市街地_昼","114201"
"2","トモ（マジカル）","500010","0","ランドソル_市街地_昼","114301"
"4","アキノ（クリスマス）","500874","0","舞台_クリスマス_昼","114401"
"2","サレン（クリスマス）","500874","0","舞台_クリスマス_昼","114501"
"2","ユカリ（クリスマス）","500874","0","舞台_クリスマス_昼","114601"
"4","ムイミ（ニューイヤー）","501162","0","オーマの町_昼","114701"
"2","ネネカ（ニューイヤー）","501162","0","オーマの町_昼","115001"
"4","コッコロ（儀装束）","500140","0","プラノ平原","115501"
"17","ユイ（儀装束）","500140","0","プラノ平原","115601"
"4","カスミ（サマー）","500160","0","マルジェン海岸_昼","115701"
"4","リマ（シンデレラ）","500130","0","エステレラ街道","115801"
"4","マコト（シンデレラ）","500130","0","エステレラ街道","115901"
"4","マホ（シンデレラ）","500060","0","自警団 拠点","116001"
"2","クロエ（聖学祭）","500732","0","聖テレサ女学院_正門_聖学祭","116201"
"2","チエル（聖学祭）","500732","0","聖テレサ女学院_正門_聖学祭","116301"
"4","ユニ（聖学祭）","500732","0","聖テレサ女学院_正門_聖学祭","116401"
"18","イノリ（タイムトラベル）","500010","0","ランドソル_市街地_昼","116501"
"4","カヤ（タイムトラベル）","500010","0","ランドソル_市街地_昼","116601"
"4","アオイ（作業服）","501340","0","おもちゃ工場","116701"
"4","タマキ（作業服）","501340","0","おもちゃ工場","116801"
"2","ミフユ（作業服）","501340","0","おもちゃ工場","116901"
"4","エリコ（サマー）","500160","0","マルジェン海岸_昼","117001"
"4","シズル（サマー）","500160","0","マルジェン海岸_昼","117101"
"4","ノゾミ（サマー）","501363","0","サマーフェス会場","117201"
"2","チカ（サマー）","501363","0","サマーフェス会場","117301"
"4","ツムギ（サマー）","501363","0","サマーフェス会場","117401"
"6","ミツキ（オーエド）","501380","0","オーエド_診察室_昼","117501"
"4","ユキ（オーエド）","501380","0","オーエド_診察室_昼","117601"
"4","カオリ（ハロウィン）","505035","0","ランドソル_繁華街_ハロウィン_夜","117701"
"4","ニノン（ハロウィン）","505035","0","ランドソル_繁華街_ハロウィン_夜","117801"
"4","スズナ（ハロウィン）","505035","0","ランドソル_繁華街_ハロウィン_夜","117901"
"4","クレジッタ","501070","0","ランドソル_王城周辺_執務室","118001"
"4","ランファ","501040","0","レイジ・レギオン拠点","118101"
"4","ミソラ","501040","0","レイジ・レギオン拠点","118201"
"4","カリン","500371","0","ランドソル_お役所","118501"
"4","ネビア","500360","0","美食殿_ギルドハウス","118601"
"4","イオ（ノワール）","501450","0","ノワールのアジト","119001"
"4","クウカ（ノワール）","501450","0","ノワールのアジト","119101"
"4","マヒル（クリスマス）","500863","0","牧場_雪_昼","119201"
"4","リノ（クリスマス）","500036","0","ランドソル_繁華街_クリスマス_昼","119301"
"4","ミヤコ（クリスマス）","500038","0","ランドソル_繁華街_クリスマス_夜","119901"
"2","シズル（ノワール）","501450","0","ノワールのアジト","120001"
"2","シェフィ（ニューイヤー）","501480","0","美食殿_ギルドハウス_外観_お正月","120701"
"3","ルカ（ニューイヤー）","500560","0","参道_昼","120801"
"4","イリヤ（ニューイヤー）","500260","0","古城","120901"
"3","ぺコリーヌ（オーバーロード）","500361","0","美食殿 ギルドハウス","121001"
"2","キャル（オーバーロード）","500361","0","美食殿 ギルドハウス","121101"
"3","ラビリスタ（オーバーロード）","500341","0","ラビリンスギルド拠点","121201"
"2","クルミ（ステージ）","501510","0","牧場_温泉施設_舞台","121301"
"2","ミサキ（ステージ）","500354","0","サレンディア救護院_物産展","121401"
"18","アユミ（怪盗）","500012","0","ランドソル_市街地_夜","121501"
"20","イノリ（怪盗）","500892","0","路地裏_夜","121601"
"2","アンナ（パイレーツ）","500843","0","船の甲板","121901"
"20","シノブ（パイレーツ）","500843","0","船の甲板","122001"
"20","アオイ（キャンプ）","501590","0","キャンプ場_昼","122101"
"2","ユカリ（キャンプ）","501590","0","キャンプ場_昼","122201"
"4","ヴァンピィ","500140","0","プラノ平原","122301"
"4","ヒヨリ（サマー）","501610","0","リゾートビーチ_昼","122401"
"2","レイ（サマー）","501610","0","リゾートビーチ_昼","122501"
"6","ユイ（サマー）","501610","0","リゾートビーチ_昼","122601"
"2","キョウカ（サマー）","500285","0","無人島","122701"
"4","ミソギ（サマー）","500160","0","マルジェン海岸_昼","122801"
"4","ミミ（サマー）","500160","0","マルジェン海岸_昼","122901"
"4","アメス","500270","0","ソルの塔_庭園","123001"
"4","マホ（エクスプローラー）","500833","0","密林_テント","123101"
"4","アヤネ（エクスプローラー）","501850","0","密林","123201"
"4","ネア","501040","0","レイジ・レギオン拠点","123301"
"2","リン（ハロウィン）","501870","0","舞台_コンテンツフェス_昼","123501"
"2","トモ（ハロウィン）","501860","0","ランドソル_繁華街_ハロウィン_フェス","123601"
"4","ナナカ（ハロウィン）","501870","0","舞台_コンテンツフェス_昼","123701"
"2","クリスティーナ（ワイルド）","500170","0","ミステリオン森林","123801"
"2","マツリ（ワイルド）","500090","0","ランドソル 王城入口","123901"
"2","アカリ（クリスマス）","500036","0","ランドソル_繁華街_クリスマス_昼","124001"
"2","ヨリ（クリスマス）","500036","0","ランドソル_繁華街_クリスマス_昼","124101"
"2","ジュン（クリスマス）","500036","0","ランドソル_繁華街_クリスマス_昼","124201"
"2","ホマレ（ニューイヤー）","501890","0","オーエド_温泉旅館_客室_昼","124501"
"4","ミサト（ニューイヤー）","500553","0","お正月神殿","124601"
"2","ミツキ（ニューイヤー）","501890","0","オーエド_温泉旅館_客室_昼","124701"
"2","ノゾミ（リベレイター）","500033","0","ランドソル_繁華街_祭_昼","124801"
"4","カヤ（リベレイター）","500033","0","ランドソル_繁華街_祭_昼","124901"
"2","ムイミ（リベレイター）","500033","0","ランドソル_繁華街_祭_昼","125001"
"4","タマキ（カフェ）","501950","0","ランドソル_飲食店内_猫カフェ_昼","125101"
"2","モニカ（カフェ）","501950","0","ランドソル_飲食店内_猫カフェ_昼","125201"
"2","コッコロ（レンジャー）","501690","0","平原_競技場_昼","125301"
"20","シオリ（レンジャー）","501690","0","平原_競技場_昼","125401"
"4","ジータ（ウォーロック）","500033","0","ランドソル_繁華街_祭_昼","125501"
"4","ビカラ","500033","0","ランドソル_繁華街_祭_昼","125601"
"2","カリン（アルケミスト）","500371","0","ランドソル_お役所","125701"
"2","リリ（フォールン）","501670","0","ジオ・テオゴニア_街道_昼","125801"
"2","クリア（フォールン）","501670","0","ジオ・テオゴニア_街道_昼","126001"
"2","プレシア（フォールン）","501670","0","ジオ・テオゴニア_街道_昼","126101"
"20","イリヤ（儀装束）","501372","0","滝壺_夜","126201"
"4","ユキ（儀装束）","500040","0","ランドソル ギルドハウス","126301"
"4","クローチェ","501660","0","ジオ・テオゴニア_平原_昼","126401"
"4","ライラエル","501720","0","ジオ・テオゴニア_キャッスル・オブ・パルフェ_玉座の間_昼","126501"
"2","ネネカ（サマー）","500692","0","海辺の店_夜","126601"
"4","アキノ（サマー）","501030","0","ウィッシュビーチ","126701"
"4","ユカリ（サマー）","500280","0","無人島","126801"
"2","ランファ（サマー）","501030","0","ウィッシュビーチ","126901"
"4","クウカ（サマー）","500160","0","マルジェン海岸_昼","127001"
"4","シノブ（サマー）","500162","0","マルジェン海岸_夜","127101"
"2","キャル（編入生）","502030","0","アンブローズ魔法学園_屋上_昼","127201"
"4","スズナ（編入生）","502030","0","アンブローズ魔法学園_屋上_昼","127301"
"2","サレン（サラサリア）","502060","0","砂漠の国の大通り_昼","127501"
"3","ルカ（サラサリア）","501370","0","滝壺_昼","127601"
"20","リンド","501730","0","ジオ・テオゴニア_キャッスル・オブ・パルフェ_大広間","127701"
"4","ヴルム","501730","0","ジオ・テオゴニア_キャッスル・オブ・パルフェ_大広間","127801"
"2","ペコリーヌ（クリスマス）","500036","0","ランドソル_繁華街_クリスマス_昼","127901"
"2","クレジッタ（クリスマス）","500036","0","ランドソル_繁華街_クリスマス_昼","128001"
"4","イノリ（ニューイヤー）","500893","0","路地裏_雪_昼","128301"
"4","ハツネ（ニューイヤー）","501470","0","ランドソル_繁華街_お正月_昼","128401"
"18","カスミ（ニューイヤー）","501470","0","ランドソル_繁華街_お正月_昼","128501"
"2","ヒヨリ（アストラル）","500140","0","プラノ平原","128701"
"3","レイ（アストラル）","500140","0","プラノ平原","128801"
"2","ユイ（アストラル）","500140","0","プラノ平原","128901"
"2","エリス","500510","0","花畑","129001"
"2","ユニ（ウィンター）","502220","0","メルクリゾート_プールエリア_昼","129301"
"2","クロエ（ウィンター）","502220","0","メルクリゾート_プールエリア_昼","129401"
"2","チエル（ウィンター）","502220","0","メルクリゾート_プールエリア_昼","129501"
"2","アネモネ","502071","0","ジオ・ゲヘナ_ジャングル_夜","129601"
"2","ネフィ＝ネラ","502170","0","ジオ・ゲヘナ_鬼岩城塞_王座の間_昼","129701"
"2","マコト（コマンダー）","501680","0","平原_昼","129801"
"4","エリコ（コマンダー）","500030","0","ランドソル 繁華街","129901"
"3","ヤマト","501760","0","バンディシャーク号_室内_居住部","130001"
"4","ワカナ","501760","0","バンディシャーク号_室内_居住部","130101"
"4","フブキ","501760","0","バンディシャーク号_室内_居住部","130201"
"20","キョウカ（スプリング）","500020","0","ランドソル_郊外","130701"
"2","スズメ（スプリング）","500351","0","サレンディア救護院_庭","130801"
"4","クルル","502270","0","グランドリームパーク_エントランス_昼","130901"
"2","マホ（ドリームパーク）","502280","0","グランドリームパーク_園内_昼","131001"
"3","ネア（サマー）","501030","0","ウィッシュビーチ","131101"
"4","ミソラ（サマー）","500690","0","海辺の店_昼","131201"
"2","リリ（サマー）","500163","0","海_パラソル_昼","131601"
"4","アメス（サマー）","500160","0","マルジェン海岸_昼","131701"
"2","ホマレ（サマー）","500285","0","無人島","131801"
"2","エミリア（サマー）","501030","0","ウィッシュビーチ","131901"
"2","エキドナ（サマー）","500160","0","マルジェン海岸_昼","132001"
"2","レム（サマー）","500160","0","マルジェン海岸_昼","132101"
"4","ノゾミ（アルケミスト）","502360","0","アルケス錬金堂_工房_昼","132201"
"4","ライラエル（クリスマス）","500038","0","ランドソル_繁華街_クリスマス_夜","132801"
"2","イオ（クリスマス）","500038","0","ランドソル_繁華街_クリスマス_夜","132901"
"4","グレイス","502290","0","ジオ・ニヴルヘル_遺灰砂漠","133001"
"4","モニカ（ニューイヤー）","501470","0","ランドソル_繁華街_お正月_昼","133201"
"2","サレン（ニューイヤー）","501470","0","ランドソル_繁華街_お正月_昼","133501"
"2","ヒヨリ（プリンセス）","500130","0","エステレラ街道","180101"
"4","ユイ（プリンセス）","500130","0","エステレラ街道","180201"
"3","レイ（プリンセス）","500130","0","エステレラ街道","180301"
"4","ぺコリーヌ（プリンセス）","500130","0","エステレラ街道","180401"
"2","コッコロ（プリンセス）","500130","0","エステレラ街道","180501"
"18","キャル（プリンセス）","500130","0","エステレラ街道","180601"
"2","ハツネ＆シオリ","501370","0","滝壺_昼","180701"
"2","ミソギ＆ミミ＆キョウカ","500194","0","エルフの森_秘密基地","180801"
"2","アキノ＆サレン","500140","0","プラノ平原","180901"
"2","アン＆グレア","500213","0","中腹_昼","181001"
"2","シズル＆リノ","500010","0","ランドソル_市街地_昼","181101"
"2","シェフィ（プリンセス）","500130","0","エステレラ街道","181201"
