0d98989bb31d49ab99ccad7bcd3252faf08a6af14a31e324eb5a6e0d73414567,2b4a127878aa60c5a27f75dda45c3d76727e855f598af7b6db0e70d72f80b89d,676995e16e0e0d9e85d508dfcfac16a6ac9f62399b8c92b15502e4034641a6d4,08a24ce1ceb825b1a4c6f53a61ae4f95b7977a75876fcb66fc0521511054758c,d1206cf529a155397a086a8ca28d88d1e0227ed95aed9c682fdf0c1651fa524d,a1e5adfb9fbfcede5ef7dee67a09f06c151839213b750e20e133514d33631e98,3d3108c50cba3508f17349438600b139fa671da7e3b5014f5190bdd41c9c6ebb,9f5fd27626a31e41a5f8749f2ddadb85108bcef38b4787bfc38f531cca48ec32,8f2db86c0134bf78de47977104f84f1056c8a9fc667bfd15e25b00bac99e9a33,efdb2ac88b89b482dba1c3c07b8408ef5c6f0e484c6d847a1eef7f26b082456a,76a049b4d06e78787034dc5064a9cb07348009a5569864c989a2103d63056621
"71","2","2","91002","25014","39","200","25021","8","10","284001071"
"72","2","2","91002","25014","39","204","25021","8","10","284001072"
"73","2","2","91002","25014","40","208","25021","8","10","284001073"
"74","2","2","91002","25014","40","212","25021","8","10","284001074"
"75","2","2","91002","25014","41","216","25021","8","10","284001075"
"76","2","2","91002","25014","41","220","25021","8","10","284001076"
"77","2","2","91002","25014","42","224","25021","8","10","284001077"
"78","2","2","91002","25014","42","228","25021","8","10","284001078"
"79","2","2","91002","25014","43","232","25021","8","10","284001079"
"80","2","2","91002","25014","43","236","25021","8","30","284001080"
"81","2","2","91002","25014","44","240","25021","8","10","284001081"
"82","2","2","91002","25014","44","244","25021","8","10","284001082"
"83","2","2","91002","25014","45","248","25021","8","10","284001083"
"84","2","2","91002","25014","45","252","25021","8","10","284001084"
"85","2","2","91002","25014","46","256","25021","8","10","284001085"
"86","2","2","91002","25014","46","260","25021","8","10","284001086"
"87","2","2","91002","25014","47","264","25021","8","10","284001087"
"88","2","2","91002","25014","47","268","25021","8","10","284001088"
"89","2","2","91002","25014","48","272","25021","8","10","284001089"
"90","2","2","91002","25014","48","276","25021","8","30","284001090"
