80e0da0596ef080c421b9d87d15bc8489c020d5b7f2eb1e3fbf40e68dbb6cd05,006e364733951974ea819e19e71632b45469ce587426e6294493481b25d1f5ed,6024c2119550e9e583723dba732a1c1d90c245094ac2ff3bfd820b2e8bd93466,70b3256f83d0f7fcc482ee1a31ba0504e2e72f4af3445c4d3dd066b61aed40bb,fb1dabddcbebf189392e5d10ac178235d81796dfc2a93877eb06c701247d0da5,eda3d4b480e1d66054733908b4752580f8b43360153e47d112a6a9d0c1d3c71f,ee5b2f1ff74000de6502aedb594215c4884a434f5e55d7c103aff101afe52ad1,08f1ed96ded69d109a5fc748d350b14f33cf3a27d7e3d8884ddcebfcef234fcf
"1641","5","9","9","247","211","204","45"
"1651","5","10","10","167","137","308","141"
"1661","5","11","11","174","175","282","-46"
"1741","6","1","1","240","222","-252","-11"
"1761","6","2","2","245","311","-19","-96"
"1771","6","3","3","221","261","-46","95"
"1781","6","4","4","237","166","152","83"
"1782","6","5","5","229","183","227","-100"
"1811","7","1","1","183","223","-249","-46"
"1881","7","2","2","247","337","-159","54"
"1921","7","3","3","191","202","30","-70"
"1941","7","4","4","215","176","173","0"
"1981","7","5","5","236","204","292","77"
"2001","8","1","1","254","209","-472","89"
"2031","8","2","2","282","250","-375","-77"
"2051","8","3","3","223","241","-280","110"
"2101","8","4","4","270","243","-148","-85"
"2131","8","5","5","264","274","3","74"
"2171","8","6","6","302","321","155","-36"
"2201","8","7","7","277","199","283","82"
"2271","8","8","8","344","349","374","0"
"2321","9","1","1","301","240","-275","-30"
"2361","9","2","2","108","106","-132","-115"
"2371","9","3","3","108","106","-132","-115"
"2381","9","4","4","246","202","-73","32"
"2411","9","5","5","84","114","-43","-140"
"2421","9","6","6","84","114","-43","-140"
"2461","9","7","8","84","86","50","65"
"2471","9","8","9","84","86","50","65"
"2481","9","9","10","137","185","80","-110"
"2491","9","10","11","137","185","80","-110"
"2521","9","11","7","377","301","131","24"
"2531","9","12","12","305","190","280","-50"
"2601","10","1","3","145","123","-527","-137"
"2611","10","2","4","145","123","-527","-137"
"2621","10","3","1","295","408","-379","35"
"2622","10","4","2","192","171","-299","103"
"2623","10","5","6","244","342","-138","-64"
"2701","10","6","5","254","224","-47","9"
"2781","10","7","8","204","253","131","-88"
"2791","10","8","9","139","110","89","23"
"2801","10","9","10","139","110","89","23"
"2811","10","10","7","249","292","275","42"
"2821","10","11","11","151","126","274","-120"
"2831","10","12","12","151","126","274","-120"
"2841","10","13","13","316","276","448","-17"
"2901","11","1","1","203","158","-292","-87"
"3011","11","2","2","187","256","-224","123"
"3031","11","3","3","225","144","-65","-80"
"3111","11","4","4","214","149","80","-84"
"3131","11","5","5","194","201","227","112"
"3141","11","6","6","111","161","159","-111"
"3151","11","7","7","111","161","159","-111"
"3171","11","8","8","209","166","307","-80"
"3211","12","1","3","206","364","-185","-106"
"3221","12","2","1","277","160","-304","34"
"3231","12","3","2","275","249","-107","45"
"3321","12","4","5","233","167","31","-46"
"3381","12","5","7","130","174","135","-122"
"3391","12","6","8","130","174","135","-122"
"3431","12","7","4","223","244","127","101"
"3441","12","8","6","246","235","254","-24"
"3461","12","9","9","156","167","303","-114"
"3471","12","10","10","156","167","303","-114"
"3491","12","11","11","94","108","338","152"
"3501","12","12","12","94","108","338","152"
"3531","13","1","3","270","210","-286","-48"
"3541","13","2","2","103","92","-310","144"
"3551","13","3","3","219","228","-152","-90"
"3561","13","4","4","103","94","-148","99"
"3571","13","5","5","71","110","-12","-157"
"3581","13","6","1","274","209","-5","-2"
"3691","13","7","6","292","219","141","-72"
"3701","13","8","7","104","88","146","143"
"3741","13","9","8","135","160","299","131"
"3751","13","10","9","135","160","299","131"
"3791","13","11","10","268","179","301","-82"
"3801","14","1","2","286","197","-470","6"
"3811","14","2","3","89","134","-520","-123"
"3821","14","3","1","236","204","-369","103"
"3861","14","4","5","241","176","-283","-74"
"3891","14","5","6","236","156","-151","-83"
"3911","14","6","4","226","219","-174","108"
"3921","14","7","10","96","107","-51","-130"
"3931","14","8","9","251","179","-5","50"
"3941","14","9","11","102","113","100","-106"
"3951","14","10","12","317","242","268","-41"
"3961","14","11","7","240","209","138","79"
"3971","14","12","8","240","209","138","79"
"4021","14","13","14","93","125","441","-125"
"4031","14","14","13","279","219","485","22"
