33b529296d255791c8ae086a5dfadf12628cc02de4d61aba17c65eb850701326,7ecb08f2b2aee2a92156064ca9463e64abbd69126f2831e45397b9fb75689684,2a988e6a9e735d2fdcf7d1e67cc187fe2607806a39d9a72fbecabfc12076693b,3f4c74944dd767699ca71000c1b901886edc4b372c55085fbbaba94812b4e0a2,c4cf897872caab0f6c798339a627b95120a2d55c416048c7b7e91284633cd24f,1018986534fc283eb4f209e55ad67d0397d3847f3a83323fb222d3ea608b2126,bbdb95f333c56f0f7dfb7098969da0455fa38792d75e960a59191ded1c904838
"20029","ボスNORMAL討伐で解放！","114101","[3C404E]ボスNORMAL討伐で解放！","32","72029021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20031","ボスNORMAL討伐で解放！","114601","[3C404E]ボスNORMAL討伐で解放！","33","72031021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20032","ボスNORMAL討伐で解放！","114701","[3C404E]ボスNORMAL討伐で解放！","34","72032021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20033","ボスNORMAL討伐で解放！","115601","[3C404E]ボスNORMAL討伐で解放！","35","72033021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20035","ボスNORMAL討伐で解放！","115801","[3C404E]ボスNORMAL討伐で解放！","36","72035021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20038","ボスNORMAL討伐で解放！","116801","[3C404E]ボスNORMAL討伐で解放！","37","72038021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20040","ボスNORMAL討伐で解放！","117401","[3C404E]ボスNORMAL討伐で解放！","38","72040021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20042","ボスNORMAL討伐で解放！","117801","[3C404E]ボスNORMAL討伐で解放！","39","72042021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20044","ボスNORMAL討伐で解放！","119201","[3C404E]ボスNORMAL討伐で解放！","40","72044021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20045","ボスNORMAL討伐で解放！","120801","[3C404E]ボスNORMAL討伐で解放！","41","72045021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20047","ボスNORMAL討伐で解放！","121201","[3C404E]ボスNORMAL討伐で解放！","42","72047021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20051","ボスNORMAL討伐で解放！","122101","[3C404E]ボスNORMAL討伐で解放！","43","72051021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20052","ボスNORMAL討伐で解放！","122401","[3C404E]ボスNORMAL討伐で解放！","44","72052021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20053","ボスNORMAL討伐で解放！","122801","[3C404E]ボスNORMAL討伐で解放！","45","72053021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20055","ボスNORMAL討伐で解放！","123501","[3C404E]ボスNORMAL討伐で解放！","46","72055021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20057","ボスNORMAL討伐で解放！","124101","[3C404E]ボスNORMAL討伐で解放！","47","72057021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20058","ボスNORMAL討伐で解放！","124701","[3C404E]ボスNORMAL討伐で解放！","48","72058021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20059","ボスNORMAL討伐で解放！","124901","[3C404E]ボスNORMAL討伐で解放！","49","72059021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20063","ボスNORMAL討伐で解放！","125701","[3C404E]ボスNORMAL討伐で解放！","50","72063021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20065","ボスNORMAL討伐で解放！","126701","[3C404E]ボスNORMAL討伐で解放！","51","72065021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20066","ボスNORMAL討伐で解放！","127001","[3C404E]ボスNORMAL討伐で解放！","52","72066021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20067","ボスNORMAL討伐で解放！","128801","[3C404E]ボスNORMAL討伐で解放！","53","72067021","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
"20073","ボスNORMAL討伐で解放！","128301","[3C404E]ボスNORMAL討伐で解放！","54","72073016","[3C404E]イベントを進めて、ボスに挑戦！\nボスNORMALを討伐すると、\n限定キャラ解放！！[-]"
