1e46d092bf7042bc158510e57021ff3cfbc167f9264feac1940bde7e7d31ba6b,b9621a1062aef490868760cae4e6d79a7b24c99450773699cafbb92caaaa1463,161aa6729a2dba934ca5f953c84f981648ca3ba5ca28b44ddd1caff4732594e3,531163aadb4c71853f24401173bac9b86edd9e382f85fc9be6e51b6b849aabab,fc9261b8d63ad2d9508a16f968c44da4cc8bf681463be4eb5b94906deda1cf45,2522edada5f9c9a4b5a51348c708076df82706a4fa6cad3b5b43fb3edc91ac47,951a0060350a5e39b653742e7af15e9802ac0743a4321e0ee537053170818476
"ノゾミのマグカップ","0.65625","ノゾミがデザインされたマグカップ。毎日の休憩やティータイムが\nもっと楽しくなるアイテム。彼女との素敵な時間をあなたに。","2","8","0.671875","11302"
"チカのマグカップ","0.65625","チカがデザインされたマグカップ。毎日の休憩やティータイムが\nもっと楽しくなるアイテム。彼女との素敵な時間をあなたに。","2","8","0.671875","11303"
"ツムギのペナント","0.984375","思い出を振り返るアイテムと言えばこれ。サマー衣装のツムギが\n眩しいペナントは、いつでもライブの興奮とアイドルの輝きを思い\n出させてくれる。","1","4","0.6328125","11401"
"ノゾミのペナント","0.984375","思い出を振り返るアイテムと言えばこれ。サマー衣装のノゾミが\n眩しいペナントは、いつでもライブの興奮とアイドルの輝きを思い\n出させてくれる。","1","4","0.640625","11402"
"チカのペナント","0.984375","思い出を振り返るアイテムと言えばこれ。サマー衣装のチカが\n眩しいペナントは、いつでもライブの興奮とアイドルの輝きを思い\n出させてくれる。","1","4","0.6328125","11403"
"ツムギのピンバッジ","1.21875","ポップでキュートに描かれたツムギのピンバッジ。つやつやキラキ\nラのコインのような質感が、コレクター心を刺激するアイテム。","1","3","1.21875","11501"
"ツムギのサマーピンバッジ","1.21875","サマー衣装のツムギがかわいく描かれたピンバッジ。限定バージョ\nンのデザインはサマーライブ参加の証。夏を満喫中のツムギの表情\nが魅力的な一品。","1","3","1.21875","11502"
"ノゾミのピンバッジ","1.21875","ポップでキュートに描かれたノゾミのピンバッジ。つやつやキラキ\nラのコインのような質感が、コレクター心を刺激するアイテム。","1","3","1.21875","11503"
"ノゾミのサマーピンバッジ","1.21875","サマー衣装のノゾミがかわいく描かれたピンバッジ。限定バージョ\nンのデザインはサマーライブ参加の証。夏を満喫中のノゾミの表情\nが魅力的な一品。","1","3","1.21875","11504"
"チカのピンバッジ","1.21875","ポップでキュートに描かれたチカのピンバッジ。つやつやキラキ\nラのコインのような質感が、コレクター心を刺激するアイテム。","1","3","1.21875","11505"
"チカのサマーピンバッジ","1.21875","サマー衣装のチカがかわいく描かれたピンバッジ。限定バージョ\nンのデザインはサマーライブ参加の証。夏を満喫中のチカの表情\nが魅力的な一品。","1","3","1.21875","11506"
"ツムギのボトルキャップ","0.625","ツムギ・オンステージ！ツムギがキャップのステージでかわいく\nポーズを決めている。どこでも好きな場所に気軽に飾ることが可\n能。","1","6","0.75","11601"
"ツムギのサマーボトルキャップ","0.625","サマー衣装のツムギが、キャップでオンステージ！涼しげな衣装を\nまとい、熱いステージを繰り広げた彼女の勇姿を思い出すことがで\nきる。","1","6","0.75","11602"
"ノゾミのボトルキャップ","0.625","ノゾミ・オンステージ！ノゾミがキャップのステージでかわいく\nポーズを決めている。どこでも好きな場所に気軽に飾ることが可\n能。","1","6","0.75","11603"
"ノゾミのサマーボトルキャップ","0.625","サマー衣装のノゾミが、キャップでオンステージ！涼しげな衣装を\nまとい、熱いステージを繰り広げた彼女の勇姿を思い出すことがで\nきる。","1","6","0.75","11604"
"チカのボトルキャップ","0.625","チカ・オンステージ！チカがキャップのステージでかわいく\nポーズを決めている。どこでも好きな場所に気軽に飾ることが可\n能。","1","6","0.75","11605"
"チカのサマーボトルキャップ","0.625","サマー衣装のチカが、キャップでオンステージ！涼しげな衣装を\nまとい、熱いステージを繰り広げた彼女の勇姿を思い出すことがで\nきる。","1","6","0.75","11606"
"ツムギのミニタペストリー","0.890625","ツムギのキーホルダーサイズのタペストリー。どこにでも飾れる\nうえに、身につけてお出掛けもできてしまう万能な一品。","1","4","0.8828125","11701"
"ノゾミのミニタペストリー","0.890625","ノゾミのキーホルダーサイズのタペストリー。どこにでも飾れる\nうえに、身につけてお出掛けもできてしまう万能な一品。","1","4","0.8828125","11702"
"チカのミニタペストリー","0.890625","チカのキーホルダーサイズのタペストリー。どこにでも飾れる\nうえに、身につけてお出掛けもできてしまう万能な一品。","1","4","0.8828125","11703"
