f4f0f310685cfe336af506dd8694eecc2f82782869a64c735f18bb78bb12bcce,b53646cf1ef8dcc5298b590261f078e1e5f352fbd7a1da7586e1a7f9b044ff06,994d2df8755660cedd0fbb7b6a507fa1c4ceb7af082d659c03f73699ca9ba49e,15a2044578aa738c6f2c2d0436457210252f00423992dba11ee0c2de8f2309ab,baea566145a7b5626ff774877b84193ba699d779c85613976704b6cba228a283,5bd157e08010df47a706f05c59f50b1b2b20b3cdf198f71b96c23598ebd0d8d5,f17e495600ffa8fb9fa3b9975afee061f2d3a127e2a188b66148603af2335154,e665c0bc55f78257bd061a51a1c7dad81fa1e1f165fe66e1e54d710eea13c017,79183d7069354f8e1bed69b5a042467cf41b3b2a31f3d2dfc2f039ec091c4c8d,afa40dc4bcd9c58298cf5a5bf0a09e30e6a788ef7749fde422de061ca09a2eb3,aee9a77a353090536d72d3248bf7c0a3dce6bd62d439a7adc552bae37e1399a4
"2.8","","","","","","0","93","","1021303","1021303059"
"vo_obtent_1021303","","0","","","0","vo_obtent_1021303_03","21","","1021303","1021303060"
"2.6","","","","","","0","93","","1021303","1021303061"
"2","","","","","","","26","","1021303","1021303062"
"vo_obtent_1021303","","0","","","0","vo_obtent_1021303_04","21","","1021303","1021303063"
"2.5","","","","","","0","93","","1021303","1021303064"
"1021303066","","","","","","","101","","1021303","1021303065"
"10","","","","","","0","32","","1021303","1021303066"
"100","","","","","","0","32","","1021303","1021303067"
"20","","","","","","1","32","","1021303","1021303068"
"200","","","","","","1","32","","1021303","1021303069"
"300","","","","","","1","32","","1021303","1021303070"
"se_obtent_10213_drama_eat","","","","","","0","24","","1021303","1021303071"
"0","","","","","","0","22","","1021303","1021303072"
"vo_obtent_1021303","","0","","","0","vo_obtent_1021303_05","21","","1021303","1021303073"
"bgm_MC319A","","","","","","bgm_MC319A","25","","1021303","1021303074"
"se_10067600","","0","","","","se_obtent_10213_drama_break_1","23","","1021303","1021303075"
"3.5","","","","","","0","93","","1021303","1021303076"
"1021303078","","","","","","","101","","1021303","1021303077"
"20","","","","","","break_2","37","","1021303","1021303078"
"200","","","","","","break_2","37","","1021303","1021303079"
"300","","","","","","break_2","37","","1021303","1021303080"
"se_obtent_10213_drama_break_1","","","","","","0","24","","1021303","1021303081"
"0","","","","","","0","22","","1021303","1021303082"
"vo_obtent_1021303","","0","","","0","vo_obtent_1021303_06","21","","1021303","1021303083"
"se_10067600","","0","","","","se_obtent_10213_drama_break_2","23","","1021303","1021303084"
"4","","","","","","0","93","","1021303","1021303085"
"1021303087","","","","","","","101","","1021303","1021303086"
"20","","","","","","break_3","37","","1021303","1021303087"
"200","","","","","","break_3","37","","1021303","1021303088"
"300","","","","","","break_3","37","","1021303","1021303089"
"se_obtent_10213_drama_break_2","","","","","","0","24","","1021303","1021303090"
"0","","","","","","0","22","","1021303","1021303091"
"vo_obtent_1021303","","0","","","0","vo_obtent_1021303_07","21","","1021303","1021303092"
"se_10067600","","0","","","","se_obtent_10213_drama_break_3","23","","1021303","1021303093"
"5","","","","","","0","93","","1021303","1021303094"
"1021303096","","","","","","","101","","1021303","1021303095"
"300","","","","","","break_4","37","","1021303","1021303096"
"21","","","","","","1","32","","1021303","1021303097"
"0.2","","","","","","0","93","","1021303","1021303098"
"0","","","","","","","141","","1021303","1021303099"
"0.1","","","","","","0","93","","1021303","1021303100"
"","","","","","","","92","","1021303","1021303101"
"1021303103","","","","","","","101","","1021303","1021303102"
"se_obtent_10213_drama_break_3","","","","","","0","24","","1021303","1021303103"
"0","","","","","","0","22","","1021303","1021303104"
"22","","","","","","1","32","","1021303","1021303105"
"0.4","","","","","","0","93","","1021303","1021303106"
"1","","0","","1","0","1","31","1","1021304","1021304001"
"2","","0","","1","0","2","31","1","1021304","1021304002"
"5","","0","","1","0","5","31","1","1021304","1021304003"
"10","","0","","0","0","10","31","1","1021304","1021304004"
"20","","0","","0","0","20","31","1","1021304","1021304005"
"21","","0","","0","0","21","31","1","1021304","1021304006"
"22","","0","","0","0","22","31","1","1021304","1021304007"
"104","","0","","0","0","100","31","1","1021304","1021304008"
"204","","0","","0","0","200","31","1","1021304","1021304009"
"304","","0","","0","0","300","31","1","1021304","1021304010"
"1","empty","27","0","1","0","1","5","-14","1021304","1021304011"
"2","empty","28","0","1","0","2","5","-14","1021304","1021304012"
"2","empty","26","0","1","0","3","5","-14","1021304","1021304013"
"11","empty","25","0","1","0","4","5","-14","1021304","1021304014"
"12","empty","24","0","1","0","5","5","-14","1021304","1021304015"
"11","empty","13","0","1","-10","6","5","-24","1021304","1021304016"
"12","empty","12","0","1","-10","7","5","-24","1021304","1021304017"
"0","empty","29","0","1","0","8","5","-14","1021304","1021304018"
"0","empty","10","0","1","-5","9","5","-19","1021304","1021304019"
"6","","0.63","0","0","0.56","0.23","6","1","1021304","1021304020"
"7","","0.63","0","0","0.56","0.23","6","1","1021304","1021304021"
"9","","0.63","0","0","0.56","0.23","6","1","1021304","1021304022"
"1","","","","","","","141","","1021304","1021304023"
"0","","","","","","","91","","1021304","1021304024"
"0.033","","","","","","0","93","","1021304","1021304025"
"se_10067600","","0","","","","se_obtent_10213_drama_cook_lyrael","23","","1021304","1021304026"
"1","","0","0","0","","raira_cook","3","","1021304","1021304027"
"2","","0","0","0","","raira_cook","3","","1021304","1021304028"
"3","","0","0","0","","raira_end","3","","1021304","1021304029"
"4","","0","0","0","","raira_cook","3","","1021304","1021304030"
"5","","0","0","0","","raira_white","3","","1021304","1021304031"
"6","","0","0","0","","raira_cook","3","","1021304","1021304032"
"7","","0","0","0","","raira_white","3","","1021304","1021304033"
"8","","0","0","0","","raira_cook","3","","1021304","1021304034"
"9","","0","0","0","","raira_cook_w","3","","1021304","1021304035"
"3","","","","","","0","93","","1021304","1021304036"
"vo_obtent_1021304","","0","","","0","vo_obtent_1021304_01","21","","1021304","1021304037"
"2.366","","","","","","0","93","","1021304","1021304038"
"1021304040","","","","","","","101","","1021304","1021304039"
"se_obtent_10213_drama_cook_lyrael","","","","","","0","24","","1021304","1021304040"
"0","","","","","","0","22","","1021304","1021304041"
"1","","1","0","0","1","1","6","0","1021304","1021304042"
"2","","1","0","0","1","1","6","0","1021304","1021304043"
"3","","1","0","0","1","1","6","0","1021304","1021304044"
"4","","1","0","0","1","1","6","0","1021304","1021304045"
"5","","1","0","0","1","1","6","0","1021304","1021304046"
"6","","1","0","0","1","1","6","0","1021304","1021304047"
"7","","1","0","0","1","1","6","0","1021304","1021304048"
"8","","1","0","0","1","1","6","0","1021304","1021304049"
"9","","1","0","0","1","1","6","0","1021304","1021304050"
"1","","","","","","eat","37","","1021304","1021304051"
"2","","","","","","0","32","","1021304","1021304052"
"5","","","","","","0","32","","1021304","1021304053"
"10","","","","","","1","32","","1021304","1021304054"
"100","","","","","","1","32","","1021304","1021304055"
"se_10067600","","0","","","","se_obtent_10213_drama_eat","23","","1021304","1021304056"
"0","","","","","","0","93","","1021304","1021304057"
"vo_obtent_1021304","","0","","","0","vo_obtent_1021304_02","21","","1021304","1021304058"
"2.8","","","","","","0","93","","1021304","1021304059"
"vo_obtent_1021304","","0","","","0","vo_obtent_1021304_03","21","","1021304","1021304060"
"2.8","","","","","","0","93","","1021304","1021304061"
"2","","","","","","","26","","1021304","1021304062"
"vo_obtent_1021304","","0","","","0","vo_obtent_1021304_04","21","","1021304","1021304063"
"2.3","","","","","","0","93","","1021304","1021304064"
"1021304066","","","","","","","101","","1021304","1021304065"
"10","","","","","","0","32","","1021304","1021304066"
"100","","","","","","0","32","","1021304","1021304067"
"20","","","","","","1","32","","1021304","1021304068"
"200","","","","","","1","32","","1021304","1021304069"
"300","","","","","","1","32","","1021304","1021304070"
"se_obtent_10213_drama_eat","","","","","","0","24","","1021304","1021304071"
"0","","","","","","0","22","","1021304","1021304072"
"vo_obtent_1021304","","0","","","0","vo_obtent_1021304_05","21","","1021304","1021304073"
"bgm_MC319A","","","","","","bgm_MC319A","25","","1021304","1021304074"
"se_10067600","","0","","","","se_obtent_10213_drama_break_1","23","","1021304","1021304075"
"3.5","","","","","","0","93","","1021304","1021304076"
"1021304078","","","","","","","101","","1021304","1021304077"
"20","","","","","","break_2","37","","1021304","1021304078"
"200","","","","","","break_2","37","","1021304","1021304079"
"300","","","","","","break_2","37","","1021304","1021304080"
"se_obtent_10213_drama_break_1","","","","","","0","24","","1021304","1021304081"
"0","","","","","","0","22","","1021304","1021304082"
"vo_obtent_1021304","","0","","","0","vo_obtent_1021304_06","21","","1021304","1021304083"
"se_10067600","","0","","","","se_obtent_10213_drama_break_2","23","","1021304","1021304084"
"4","","","","","","0","93","","1021304","1021304085"
"1021304087","","","","","","","101","","1021304","1021304086"
"20","","","","","","break_3","37","","1021304","1021304087"
"200","","","","","","break_3","37","","1021304","1021304088"
"300","","","","","","break_3","37","","1021304","1021304089"
"se_obtent_10213_drama_break_2","","","","","","0","24","","1021304","1021304090"
"0","","","","","","0","22","","1021304","1021304091"
"vo_obtent_1021304","","0","","","0","vo_obtent_1021304_07","21","","1021304","1021304092"
"se_10067600","","0","","","","se_obtent_10213_drama_break_3","23","","1021304","1021304093"
"5","","","","","","0","93","","1021304","1021304094"
"1021304096","","","","","","","101","","1021304","1021304095"
"300","","","","","","break_4","37","","1021304","1021304096"
"21","","","","","","1","32","","1021304","1021304097"
"0.2","","","","","","0","93","","1021304","1021304098"
"0","","","","","","","141","","1021304","1021304099"
"0.1","","","","","","0","93","","1021304","1021304100"
"","","","","","","","92","","1021304","1021304101"
"1021304103","","","","","","","101","","1021304","1021304102"
"se_obtent_10213_drama_break_3","","","","","","0","24","","1021304","1021304103"
"0","","","","","","0","22","","1021304","1021304104"
"22","","","","","","1","32","","1021304","1021304105"
"0.4","","","","","","0","93","","1021304","1021304106"
"1","","0","","1","0","1","31","1","1021305","1021305001"
"2","","0","","1","0","2","31","1","1021305","1021305002"
"5","","0","","1","0","5","31","1","1021305","1021305003"
"10","","0","","0","0","10","31","1","1021305","1021305004"
"20","","0","","0","0","20","31","1","1021305","1021305005"
"21","","0","","0","0","21","31","1","1021305","1021305006"
"22","","0","","0","0","22","31","1","1021305","1021305007"
"105","","0","","0","0","100","31","1","1021305","1021305008"
"205","","0","","0","0","200","31","1","1021305","1021305009"
"305","","0","","0","0","300","31","1","1021305","1021305010"
"1","empty","27","0","1","0","1","5","-14","1021305","1021305011"
"2","empty","28","0","1","0","2","5","-14","1021305","1021305012"
"2","empty","26","0","1","0","3","5","-14","1021305","1021305013"
"11","empty","25","0","1","0","4","5","-14","1021305","1021305014"
"12","empty","24","0","1","0","5","5","-14","1021305","1021305015"
"11","empty","13","0","1","-10","6","5","-24","1021305","1021305016"
"12","empty","12","0","1","-10","7","5","-24","1021305","1021305017"
"0","empty","29","0","1","0","8","5","-14","1021305","1021305018"
"0","empty","10","0","1","-5","9","5","-19","1021305","1021305019"
"6","","0.63","0","0","0.56","0.23","6","1","1021305","1021305020"
"7","","0.63","0","0","0.56","0.23","6","1","1021305","1021305021"
"9","","0.63","0","0","0.56","0.23","6","1","1021305","1021305022"
"1","","","","","","","141","","1021305","1021305023"
"0","","","","","","","91","","1021305","1021305024"
"0.033","","","","","","0","93","","1021305","1021305025"
"se_10067600","","0","","","","se_obtent_10213_drama_cook_lyrael","23","","1021305","1021305026"
