4f0daaeb871c4d69097cde4a78929dd8bf3ed544cae93d5902e7c6f8d1dde3c5,0000bb333d3dc05530cc5a81569efb69f2af20dbea41995b8ce6473d067aff86,e26eebabf7e342eb8a9a330cafca8708bae9e0d20085d1fd21df687f1e48aa6b,d48396ff479cc2972bce39510cc8cdf1ee66649a5cd010996faf36fa0003a15a,6b2db8ef5ecc2bd146ec04df2e3440e5b6a5260d8a3004114a9b20e533c87dfe,8a807fca2d016cd647f0cf27a1575cd7144aad1db8644a085251a1925040deea
"0","99001044","30","91002","8","83"
"1003","99001045","1","11001045","15","84"
"0","99001045","30","91002","8","85"
"1001","99001046","1","11001046","15","86"
"1001","99001046","1","11001050","15","87"
"0","99001046","30","91002","8","88"
"1001","99001047","1","11001047","15","89"
"0","99001047","30","91002","8","90"
"1002","99001048","1","11001048","15","91"
"0","99001048","30","91002","8","92"
"1003","99001049","1","11001049","15","93"
"0","99001049","30","91002","8","94"
"1001","99001051","1","11001051","15","95"
"0","99001051","30","91002","8","96"
"1001","99001052","1","11001052","15","97"
"0","99001052","30","91002","8","98"
"1002","99001053","1","11001053","15","99"
"0","99001053","30","91002","8","100"
"1003","99001054","1","11001054","15","101"
"0","99001054","30","91002","8","102"
"1001","99001055","1","11001055","15","103"
"0","99001055","30","91002","8","104"
"1001","99001056","1","11001056","15","105"
"0","99001056","30","91002","8","106"
"1002","99001057","1","11001057","15","107"
"0","99001057","30","91002","8","108"
"1003","99001058","1","11001058","15","109"
"0","99001058","30","91002","8","110"
"1001","99001059","1","11001059","15","111"
"0","99001059","30","91002","8","112"
"1001","99001060","1","11001060","15","113"
"0","99001060","30","91002","8","114"
"1002","99001061","1","11001061","15","115"
"0","99001061","30","91002","8","116"
"1003","99001062","1","11001062","15","117"
"0","99001062","30","91002","8","118"
"1001","99001063","1","11001063","15","119"
"0","99001063","30","91002","8","120"
"1001","99001064","1","11001064","15","121"
"0","99001064","30","91002","8","122"
"1002","99001065","1","11001065","15","123"
"0","99001065","30","91002","8","124"
"1003","99001066","1","11001066","15","125"
"0","99001066","30","91002","8","126"
"1001","99001067","1","11001067","15","127"
"0","99001067","30","91002","8","128"
"1001","99001068","1","11001068","15","129"
"0","99001068","30","91002","8","130"
"1002","99001069","1","11001069","15","131"
"0","99001069","30","91002","8","132"
"1003","99001070","1","11001070","15","133"
"0","99001070","30","91002","8","134"
"1001","99001071","0","11001071","15","135"
"1002","99001072","0","11001072","15","136"
"1003","99001073","0","11001073","15","137"
"1001","99001074","1","11001074","15","138"
"0","99001074","30","91002","8","139"
"1001","99001075","1","11001075","15","140"
"0","99001075","30","91002","8","141"
"1002","99001076","1","11001076","15","142"
"0","99001076","30","91002","8","143"
"1003","99001077","1","11001077","15","144"
"0","99001077","30","91002","8","145"
"1001","99001078","1","11001078","15","146"
"0","99001078","30","91002","8","147"
"1001","99001079","1","11001079","15","148"
"0","99001079","30","91002","8","149"
"1002","99001080","1","11001080","15","150"
"0","99001080","30","91002","8","151"
"1003","99001081","1","11001081","15","152"
"0","99001081","30","91002","8","153"
"1001","99001082","1","11001082","15","154"
"0","99001082","30","91002","8","155"
"1001","99001083","1","11001083","15","156"
"0","99001083","30","91002","8","157"
"1002","99001084","1","11001084","15","158"
"0","99001084","30","91002","8","159"
"1003","99001085","1","11001085","15","160"
"0","99001085","30","91002","8","161"
"1001","99001086","0","11001086","15","162"
"1002","99001087","0","11001087","15","163"
"1002","99001088","0","11001088","15","164"
"1002","99001089","0","11001089","15","165"
"1003","99001090","0","11001090","15","166"
"1001","99001091","1","11001091","15","167"
"0","99001091","30","91002","8","168"
"1001","99001092","1","11001092","15","169"
"0","99001092","30","91002","8","170"
"1002","99001093","1","11001093","15","171"
"0","99001093","30","91002","8","172"
"1003","99001094","1","11001094","15","173"
"0","99001094","30","91002","8","174"
"1001","99001095","1","11001095","15","175"
"0","99001095","30","91002","8","176"
"1001","99001096","1","11001096","15","177"
"0","99001096","30","91002","8","178"
"1002","99001097","1","11001097","15","179"
"0","99001097","30","91002","8","180"
"1003","99001098","1","11001098","15","181"
"0","99001098","30","91002","8","182"
"1001","99001099","1","11001099","15","183"
"0","99001099","30","91002","8","184"
"1001","99001100","1","11001100","15","185"
"0","99001100","30","91002","8","186"
"1002","99001101","1","11001101","15","187"
"0","99001101","30","91002","8","188"
"1003","99001102","1","11001102","15","189"
"0","99001102","30","91002","8","190"
"1001","99001103","1","11001103","15","191"
"0","99001103","30","91002","8","192"
"1001","99001104","1","11001104","15","193"
"0","99001104","30","91002","8","194"
"1002","99001105","1","11001105","15","195"
"0","99001105","30","91002","8","196"
"1003","99001106","1","11001106","15","197"
"0","99001106","30","91002","8","198"
"1001","99001107","1","11001107","15","199"
"0","99001107","30","91002","8","200"
"1001","99001108","1","11001108","15","201"
"0","99001108","30","91002","8","202"
"1002","99001109","1","11001109","15","203"
"0","99001109","30","91002","8","204"
"1003","99001110","1","11001110","15","205"
"0","99001110","30","91002","8","206"
"1001","99001111","1","11001111","15","207"
"0","99001111","30","91002","8","208"
"1001","99001112","1","11001112","15","209"
"0","99001112","30","91002","8","210"
"1002","99001113","1","11001113","15","211"
"0","99001113","30","91002","8","212"
"1003","99001114","1","11001114","15","213"
"0","99001114","30","91002","8","214"
"1001","99001115","1","11001115","15","215"
"0","99001115","30","91002","8","216"
"1001","99001116","1","11001116","15","217"
"0","99001116","30","91002","8","218"
"1002","99001117","1","11001117","15","219"
"0","99001117","30","91002","8","220"
"1003","99001118","1","11001118","15","221"
"0","99001118","30","91002","8","222"
"1001","99001119","1","11001119","15","223"
"0","99001119","30","91002","8","224"
"1001","99001120","1","11001120","15","225"
"0","99001120","30","91002","8","226"
"1002","99001121","1","11001121","15","227"
"0","99001121","30","91002","8","228"
"1003","99001122","1","11001122","15","229"
"0","99001122","30","91002","8","230"
"1001","99001123","1","11001123","15","231"
"0","99001123","30","91002","8","232"
"1001","99001124","1","11001124","15","233"
"0","99001124","30","91002","8","234"
"1002","99001125","1","11001125","15","235"
"0","99001125","30","91002","8","236"
"1003","99001126","1","11001126","15","237"
"0","99001126","30","91002","8","238"
"1001","99001127","1","11001127","15","239"
"0","99001127","30","91002","8","240"
"1001","99001128","1","11001128","15","241"
"0","99001128","30","91002","8","242"
"1002","99001129","1","11001129","15","243"
"0","99001129","30","91002","8","244"
"1003","99001130","1","11001130","15","245"
"0","99001130","30","91002","8","246"
"1003","99001131","1","11001131","15","247"
"1001","99001132","1","11001132","15","248"
"0","99001132","30","91002","8","249"
"1001","99001133","1","11001133","15","250"
"0","99001133","30","91002","8","251"
"1002","99001134","1","11001134","15","252"
"0","99001134","30","91002","8","253"
"1003","99001135","1","11001135","15","254"
"0","99001135","30","91002","8","255"
"1001","99001136","1","11001136","15","256"
"0","99001136","30","91002","8","257"
"1001","99001137","1","11001137","15","258"
"0","99001137","30","91002","8","259"
"1002","99001138","1","11001138","15","260"
"0","99001138","30","91002","8","261"
"1003","99001139","1","11001139","15","262"
"0","99001139","30","91002","8","263"
"1003","99001140","1","11001140","15","264"
"1001","99001142","1","11001142","15","265"
"0","99001142","30","91002","8","266"
"1001","99001143","1","11001143","15","267"
"0","99001143","30","91002","8","268"
"1002","99001144","1","11001144","15","269"
"0","99001144","30","91002","8","270"
"1003","99001145","1","11001145","15","271"
"0","99001145","30","91002","8","272"
"1001","99001146","0","11001146","15","273"
"1002","99001147","0","11001147","15","274"
"1001","99001148","1","11001148","15","275"
"0","99001148","30","91002","8","276"
"1001","99001149","1","11001149","15","277"
"0","99001149","30","91002","8","278"
"1002","99001150","1","11001150","15","279"
"0","99001150","30","91002","8","280"
"1003","99001151","1","11001151","15","281"
"0","99001151","30","91002","8","282"
"1001","99001152","1","11001152","15","283"
"0","99001152","30","91002","8","284"
"1001","99001153","1","11001153","15","285"
"0","99001153","30","91002","8","286"
"1002","99001154","1","11001154","15","287"
"0","99001154","30","91002","8","288"
"1003","99001155","1","11001155","15","289"
"0","99001155","30","91002","8","290"
"1001","99001156","1","11001156","15","291"
"0","99001156","30","91002","8","292"
"1001","99001157","1","11001157","15","293"
"0","99001157","30","91002","8","294"
"1002","99001158","1","11001158","15","295"
"0","99001158","30","91002","8","296"
"1003","99001159","1","11001159","15","297"
"0","99001159","30","91002","8","298"
"1001","99001160","1","11001160","15","299"
"0","99001160","30","91002","8","300"
"1001","99001161","1","11001161","15","301"
"0","99001161","30","91002","8","302"
"1002","99001162","1","11001162","15","303"
"0","99001162","30","91002","8","304"
"1003","99001163","1","11001163","15","305"
"0","99001163","30","91002","8","306"
"1002","99001164","1","11001164","15","307"
"1003","99001165","1","11001165","15","308"
"1001","99001166","1","11001166","15","309"
"0","99001166","30","91002","8","310"
"1001","99001167","1","11001167","15","311"
"0","99001167","30","91002","8","312"
"1002","99001168","1","11001168","15","313"
"0","99001168","30","91002","8","314"
"1003","99001169","1","11001169","15","315"
"0","99001169","30","91002","8","316"
"1001","99001170","1","11001170","15","317"
"0","99001170","30","91002","8","318"
"1001","99001171","1","11001171","15","319"
"0","99001171","30","91002","8","320"
"1002","99001172","1","11001172","15","321"
"0","99001172","30","91002","8","322"
"1003","99001173","1","11001173","15","323"
"0","99001173","30","91002","8","324"
"1001","99001174","1","11001174","15","325"
"0","99001174","30","91002","8","326"
"1001","99001175","1","11001175","15","327"
"0","99001175","30","91002","8","328"
"1002","99001176","1","11001176","15","329"
"0","99001176","30","91002","8","330"
"1003","99001177","1","11001177","15","331"
"0","99001177","30","91002","8","332"
"1001","99001178","1","11001178","15","333"
"0","99001178","30","91002","8","334"
"1001","99001179","1","11001179","15","335"
"0","99001179","30","91002","8","336"
"1002","99001180","1","11001180","15","337"
"0","99001180","30","91002","8","338"
"1003","99001181","1","11001181","15","339"
"0","99001181","30","91002","8","340"
"1001","99001182","1","11001182","15","341"
"0","99001182","30","91002","8","342"
"1001","99001183","1","11001183","15","343"
"0","99001183","30","91002","8","344"
"1002","99001184","1","11001184","15","345"
"0","99001184","30","91002","8","346"
"1003","99001185","1","11001185","15","347"
"0","99001185","30","91002","8","348"
"1001","99001186","1","11001186","15","349"
"0","99001186","30","91002","8","350"
"1001","99001187","1","11001187","15","351"
"0","99001187","30","91002","8","352"
"1002","99001188","1","11001188","15","353"
"0","99001188","30","91002","8","354"
"1003","99001189","1","11001189","15","355"
"0","99001189","30","91002","8","356"
"1001","99001190","1","11001190","15","357"
"0","99001190","30","91002","8","358"
"1001","99001191","1","11001191","15","359"
"0","99001191","30","91002","8","360"
"1002","99001192","1","11001192","15","361"
"0","99001192","30","91002","8","362"
"1003","99001193","1","11001193","15","363"
"0","99001193","30","91002","8","364"
"1001","99001194","1","11001194","15","365"
"0","99001194","30","91002","8","366"
"1001","99001195","1","11001195","15","367"
"0","99001195","30","91002","8","368"
"1002","99001196","1","11001196","15","369"
"0","99001196","30","91002","8","370"
"1003","99001197","1","11001197","15","371"
"0","99001197","30","91002","8","372"
"1002","99001198","1","11001198","15","373"
"1003","99001199","1","11001199","15","374"
"1001","99001200","1","11001200","15","375"
"0","99001200","30","91002","8","376"
"1001","99001201","1","11001201","15","377"
"0","99001201","30","91002","8","378"
"1002","99001202","1","11001202","15","379"
"0","99001202","30","91002","8","380"
"1003","99001203","1","11001203","15","381"
"0","99001203","30","91002","8","382"
"1003","99001204","1","11001204","15","383"
"1001","99001205","1","11001205","15","384"
"0","99001205","30","91002","8","385"
"1001","99001206","1","11001206","15","386"
"0","99001206","30","91002","8","387"
"1002","99001207","1","11001207","15","388"
"0","99001207","30","91002","8","389"
"1003","99001208","1","11001208","15","390"
"0","99001208","30","91002","8","391"
"1001","99001209","1","11001209","15","392"
"0","99001209","30","91002","8","393"
"1001","99001210","1","11001210","15","394"
"0","99001210","30","91002","8","395"
"1002","99001211","1","11001211","15","396"
"0","99001211","30","91002","8","397"
"1003","99001212","1","11001212","15","398"
"0","99001212","30","91002","8","399"
"1001","99001213","1","11001213","15","400"
"0","99001213","30","91002","8","401"
"1001","99001214","1","11001214","15","402"
"0","99001214","30","91002","8","403"
"1002","99001215","1","11001215","15","404"
"0","99001215","30","91002","8","405"
"1003","99001216","1","11001216","15","406"
"0","99001216","30","91002","8","407"
"1001","99001217","1","11001217","15","408"
"0","99001217","30","91002","8","409"
"1001","99001218","1","11001218","15","410"
"0","99001218","30","91002","8","411"
"1002","99001219","1","11001219","15","412"
"0","99001219","30","91002","8","413"
"1003","99001220","1","11001220","15","414"
"0","99001220","30","91002","8","415"
"1001","99001221","1","11001221","15","416"
"0","99001221","30","91002","8","417"
"1001","99001222","1","11001222","15","418"
"0","99001222","30","91002","8","419"
"1002","99001223","1","11001223","15","420"
"0","99001223","30","91002","8","421"
"1003","99001224","1","11001224","15","422"
"0","99001224","30","91002","8","423"
"1001","99001225","1","11001225","15","424"
"0","99001225","30","91002","8","425"
"1001","99001226","1","11001226","15","426"
"0","99001226","30","91002","8","427"
"1002","99001227","1","11001227","15","428"
"0","99001227","30","91002","8","429"
"1003","99001228","1","11001228","15","430"
"0","99001228","30","91002","8","431"
"1001","99001229","1","11001229","15","432"
"0","99001229","30","91002","8","433"
"1001","99001230","1","11001230","15","434"
"0","99001230","30","91002","8","435"
"1002","99001231","1","11001231","15","436"
"0","99001231","30","91002","8","437"
"1003","99001232","1","11001232","15","438"
"0","99001232","30","91002","8","439"
"1001","99001233","1","11001233","15","440"
"0","99001233","30","91002","8","441"
"1001","99001234","1","11001234","15","442"
"0","99001234","30","91002","8","443"
"1002","99001235","1","11001235","15","444"
"0","99001235","30","91002","8","445"
"1003","99001236","1","11001236","15","446"
"0","99001236","30","91002","8","447"
"1001","99001237","1","11001237","15","448"
"0","99001237","30","91002","8","449"
"1001","99001238","1","11001238","15","450"
"0","99001238","30","91002","8","451"
"1002","99001239","1","11001239","15","452"
"0","99001239","30","91002","8","453"
"1003","99001240","1","11001240","15","454"
"0","99001240","30","91002","8","455"
"1001","99001241","1","11001241","15","456"
"0","99001241","30","91002","8","457"
"1001","99001242","1","11001242","15","458"
"0","99001242","30","91002","8","459"
"1002","99001243","1","11001243","15","460"
"0","99001243","30","91002","8","461"
"1003","99001244","1","11001244","15","462"
"0","99001244","30","91002","8","463"
"1001","99001245","1","11001245","15","464"
"0","99001245","30","91002","8","465"
"1001","99001246","1","11001246","15","466"
"0","99001246","30","91002","8","467"
"1002","99001247","1","11001247","15","468"
"0","99001247","30","91002","8","469"
"1003","99001248","1","11001248","15","470"
"0","99001248","30","91002","8","471"
"1003","99001249","1","11001249","15","472"
"1001","99001250","1","11001250","15","473"
"0","99001250","30","91002","8","474"
"1001","99001251","1","11001251","15","475"
"0","99001251","30","91002","8","476"
"1002","99001252","1","11001252","15","477"
"0","99001252","30","91002","8","478"
"1003","99001253","1","11001253","15","479"
"0","99001253","30","91002","8","480"
"1001","99001254","1","11001254","15","481"
"0","99001254","30","91002","8","482"
"1001","99001255","1","11001255","15","483"
"0","99001255","30","91002","8","484"
"1002","99001256","1","11001256","15","485"
"0","99001256","30","91002","8","486"
"1003","99001257","1","11001257","15","487"
"0","99001257","30","91002","8","488"
"1001","99001258","1","11001258","15","489"
"0","99001258","30","91002","8","490"
"1001","99001259","1","11001259","15","491"
"0","99001259","30","91002","8","492"
"1002","99001260","1","11001260","15","493"
"0","99001260","30","91002","8","494"
"1003","99001261","1","11001261","15","495"
"0","99001261","30","91002","8","496"
"1001","99001262","1","11001262","15","497"
"1001","99001263","1","11001263","15","498"
"1001","99001264","1","11001264","15","499"
"1002","99001265","1","11001265","15","500"
"1003","99001266","1","11001266","15","501"
"1001","99001267","1","11001267","15","502"
"0","99001267","30","91002","8","503"
"1001","99001268","1","11001268","15","504"
"0","99001268","30","91002","8","505"
"1002","99001269","1","11001269","15","506"
"0","99001269","30","91002","8","507"
"1003","99001270","1","11001270","15","508"
"0","99001270","30","91002","8","509"
"1003","99001271","1","11001271","15","510"
"1001","99001272","1","11001272","15","511"
"0","99001272","30","91002","8","512"
"1001","99001273","1","11001273","15","513"
"0","99001273","30","91002","8","514"
"1002","99001274","1","11001274","15","515"
"0","99001274","30","91002","8","516"
"1003","99001275","1","11001275","15","517"
"0","99001275","30","91002","8","518"
"1003","99001276","1","11001276","15","519"
"1001","99001277","1","11001277","15","520"
"0","99001277","30","91002","8","521"
"1001","99001278","1","11001278","15","522"
"0","99001278","30","91002","8","523"
"1002","99001279","1","11001279","15","524"
"0","99001279","30","91002","8","525"
"1003","99001280","1","11001280","15","526"
"0","99001280","30","91002","8","527"
"1001","99001281","1","11001281","15","528"
"0","99001281","30","91002","8","529"
"1001","99001282","1","11001282","15","530"
"0","99001282","30","91002","8","531"
"1002","99001283","1","11001283","15","532"
"0","99001283","30","91002","8","533"
"1003","99001284","1","11001284","15","534"
"0","99001284","30","91002","8","535"
"1003","99001285","1","11001285","15","536"
"1001","99001286","1","11001286","15","537"
"0","99001286","30","91002","8","538"
"1001","99001287","1","11001287","15","539"
"0","99001287","30","91002","8","540"
"1002","99001288","1","11001288","15","541"
"0","99001288","30","91002","8","542"
"1003","99001289","1","11001289","15","543"
"0","99001289","30","91002","8","544"
"1001","99001290","1","11001290","15","545"
"0","99001290","30","91002","8","546"
"1001","99001291","1","11001291","15","547"
"0","99001291","30","91002","8","548"
"1002","99001292","1","11001292","15","549"
"0","99001292","30","91002","8","550"
"1003","99001293","1","11001293","15","551"
"0","99001293","30","91002","8","552"
"1001","99001294","1","11001294","15","553"
"0","99001294","30","91002","8","554"
"1001","99001295","1","11001295","15","555"
"0","99001295","30","91002","8","556"
"1002","99001296","1","11001296","15","557"
"0","99001296","30","91002","8","558"
"1003","99001297","1","11001297","15","559"
"0","99001297","30","91002","8","560"
"1001","99001298","1","11001298","15","561"
"0","99001298","30","91002","8","562"
"1001","99001299","1","11001299","15","563"
"0","99001299","30","91002","8","564"
"1002","99001300","1","11001300","15","565"
"0","99001300","30","91002","8","566"
"1003","99001301","1","11001301","15","567"
"0","99001301","30","91002","8","568"
"1003","99001302","1","11001302","15","569"
"1003","99001303","1","11001303","15","570"
"1003","99001304","1","11001304","15","571"
"1001","99001305","1","11001305","15","572"
"0","99001305","30","91002","8","573"
"1001","99001306","1","11001306","15","574"
"0","99001306","30","91002","8","575"
"1002","99001307","1","11001307","15","576"
"0","99001307","30","91002","8","577"
"1003","99001308","1","11001308","15","578"
"0","99001308","30","91002","8","579"
"1001","99001309","1","11001309","15","580"
"0","99001309","30","91002","8","581"
"1001","99001310","1","11001310","15","582"
"0","99001310","30","91002","8","583"
"1002","99001311","1","11001311","15","584"
"0","99001311","30","91002","8","585"
"1003","99001312","1","11001312","15","586"
"0","99001312","30","91002","8","587"
"1003","99001313","1","11001313","15","588"
"1001","99001314","1","11001314","15","589"
"0","99001314","30","91002","8","590"
"1001","99001315","1","11001315","15","591"
"0","99001315","30","91002","8","592"
"1002","99001316","1","11001316","15","593"
"0","99001316","30","91002","8","594"
"1003","99001317","1","11001317","15","595"
"0","99001317","30","91002","8","596"
"1003","99001318","1","11001318","15","597"
"1001","99001319","1","11001319","15","598"
"0","99001319","30","91002","8","599"
"1001","99001320","1","11001320","15","600"
"0","99001320","30","91002","8","601"
"1002","99001321","1","11001321","15","602"
"0","99001321","30","91002","8","603"
"1003","99001322","1","11001322","15","604"
"0","99001322","30","91002","8","605"
"1003","99001323","1","11001323","15","606"
"1001","99001324","1","11001324","15","607"
"0","99001324","30","91002","8","608"
"1001","99001325","1","11001325","15","609"
"0","99001325","30","91002","8","610"
"1002","99001326","1","11001326","15","611"
"0","99001326","30","91002","8","612"
"1003","99001327","1","11001327","15","613"
"0","99001327","30","91002","8","614"
"1003","99001328","1","11001328","15","615"
"1001","99001329","1","11001329","15","616"
"0","99001329","30","91002","8","617"
"1001","99001330","1","11001330","15","618"
"0","99001330","30","91002","8","619"
"1002","99001331","1","11001331","15","620"
"0","99001331","30","91002","8","621"
"1003","99001332","1","11001332","15","622"
"0","99001332","30","91002","8","623"
"1001","99001333","1","11001333","15","624"
"0","99001333","30","91002","8","625"
"1001","99001334","1","11001334","15","626"
"0","99001334","30","91002","8","627"
"1002","99001335","1","11001335","15","628"
"0","99001335","30","91002","8","629"
"1003","99001336","1","11001336","15","630"
"0","99001336","30","91002","8","631"
"1002","99001337","1","11001337","15","632"
"1002","99001338","1","11001338","15","633"
"1003","99001339","1","11001339","15","634"
"1001","99001340","1","11001340","15","635"
"0","99001340","30","91002","8","636"
"1001","99001341","1","11001341","15","637"
"0","99001341","30","91002","8","638"
"1002","99001342","1","11001342","15","639"
"0","99001342","30","91002","8","640"
"1003","99001343","1","11001343","15","641"
"0","99001343","30","91002","8","642"
"1003","99900001","1","19901001","15","643"
"1003","99900002","1","19901002","15","644"
"1003","99900003","1","19901003","15","645"
"1001","99001344","1","11001344","15","646"
"0","99001344","30","91002","8","647"
"1001","99001345","1","11001345","15","648"
"0","99001345","30","91002","8","649"
"1002","99001346","1","11001346","15","650"
"0","99001346","30","91002","8","651"
"1003","99001347","1","11001347","15","652"
"0","99001347","30","91002","8","653"
"1003","99900004","1","19901004","15","654"
"1003","99900005","1","19901005","15","655"
"1003","99900006","1","19901006","15","656"
