320e8cebe5803de104a492589ccf5fdf8418cc21c8b73245c4b307e8977679c0,6b43773ec6e3e7e9d198a2e398a153105357b1533d70c4bba7acf980214e8979,e13162fe9f3d9cdc67578ed751f3d971b6edea6d8323969846102ad5f3460c21,789d3a5d65041eea5bd11e115cf5d56bcbff1894943bada0634071dd1594efc5,091b8e4a532da2604c91377216baa2135e7ee3a33ceea7b42ab8a98f6c11be67,e23ba313e5f3d8b1841a19149bd5ccb713ba4341c3db8d5a43d3e32029e1770b,ecff4e4b205f425d62a000fd8d5cd1085a65021ef971702ece71f2ae4fbc27bc,a64532f63f8520010053d5f3054d5f45b91bcb518a6f43c45807de55bc8717de,e2c8164b616c5e4bdf1129f56f4b1411666a53a8fcf0781f286b81fb96192610
"-60","5","0","1","","0","0","0","610204504"
"0","1","160","1.38","","-60","1","0","610205101"
"0","1","160","0.94","","0","1","0","610205201"
"0","1","160","1.38","","-60","1","0","610205202"
"0","1","160","1.38","","-60","1","0","610205203"
"0","1","160","0.94","","0","1","0","610205301"
"0","1","160","1.38","","-60","1","0","610205302"
"0","1","160","1.38","","-60","1","0","610205303"
"-200","2","0","0.9","","0","0","0","610205401"
"-140","3","0","0.9","","0","0","0","610205402"
"-60","4","0","0.9","","0","0","0","610205403"
"-60","5","0","0.9","","0","0","0","610205404"
"-200","2","0","0.9","","0","0","0","610205501"
"-140","3","0","0.9","","0","0","0","610205502"
"-60","4","0","0.9","","0","0","0","610205503"
"-60","5","0","0.9","","0","0","0","610205504"
"0","1","295","0.86","","-80","1","0","610206101"
"0","1","295","0.68","","-50","1","0","610206201"
"0","1","295","0.68","","-50","1","0","610206202"
"0","1","295","0.86","","-80","1","0","610206203"
"0","1","295","0.68","","-50","1","0","610206301"
"0","1","295","0.68","","-50","1","0","610206302"
"0","1","295","0.86","","-80","1","0","610206303"
"-200","2","0","0.85","","0","0","0","610206401"
"-140","3","0","1","","0","0","0","610206402"
"-60","4","0","1","","0","0","0","610206403"
"-60","5","0","1","","0","0","0","610206404"
"-200","6","0","0.78","","0","0","0","610206405"
"-140","7","0","0.78","","0","0","0","610206406"
"-60","8","0","0.78","","0","0","0","610206407"
"-60","9","0","0.78","","0","0","0","610206408"
"-200","2","0","0.85","","0","0","0","610206501"
"-140","3","0","1","","0","0","0","610206502"
"-60","4","0","1","","0","0","0","610206503"
"-60","5","0","1","","0","0","0","610206504"
"-200","6","0","0.78","","0","0","0","610206505"
"-140","7","0","0.78","","0","0","0","610206506"
"-60","8","0","0.78","","0","0","0","610206507"
"-60","9","0","0.78","","0","0","0","610206508"
"0","1","250","1.35","","-17","1","0","610207101"
"0","1","250","0.95","","0","1","0","610207201"
"0","1","250","1.35","","-17","1","0","610207202"
"0","1","250","1.35","","-17","1","0","610207203"
"0","1","250","0.95","","0","1","0","610207301"
"0","1","250","1.35","","-17","1","0","610207302"
"0","1","250","1.35","","-17","1","0","610207303"
"-200","2","0","0.85","","-21","0","0","610207401"
"-140","3","0","0.85","","-21","0","0","610207402"
"-60","4","0","0.85","","-21","0","0","610207403"
"-60","5","0","0.73","","-21","0","0","610207404"
"-200","2","0","0.85","","-21","0","0","610207501"
"-140","3","0","0.85","","-21","0","0","610207502"
"-60","4","0","0.85","","-21","0","0","610207503"
"-60","5","0","0.73","","-21","0","0","610207504"
"0","1","405","1.01","","-90","1","0","610208101"
"0","4","0","0","","0","0","0","610208103"
"0","1","405","0.9","","-90","1","0","610208201"
"0","1","405","1.01","","-90","1","0","610208202"
"0","1","405","1.01","","-90","1","0","610208203"
"0","1","405","0.9","","-90","1","0","610208301"
"0","1","405","1.01","","-90","1","0","610208302"
"0","1","405","1.01","","-90","1","0","610208303"
"-140","2","0","0.78","","0","0","0","610208401"
"-60","3","0","0.78","","0","0","0","610208402"
"-140","2","0","0.78","","0","0","0","610208501"
"-60","3","0","0.78","","0","0","0","610208502"
"0","1","140","1.3","","-14","1","0","610209101"
"0","1","140","1.15","","-15","1","0","610209201"
"0","1","140","1.3","","-14","1","0","610209202"
"0","1","140","1.3","","-14","1","0","610209203"
"0","1","140","1.15","","-15","1","0","610209301"
"0","1","140","1.3","","-14","1","0","610209302"
"0","1","140","1.3","","-14","1","0","610209303"
"-200","2","0","1","","0","0","0","610209401"
"-140","3","0","1","","0","0","0","610209402"
"-60","4","0","1","","0","0","0","610209403"
"-60","5","0","1","","0","0","0","610209404"
"-200","2","0","1","","0","0","0","610209501"
"-140","3","0","1","","0","0","0","610209502"
"-60","4","0","1","","0","0","0","610209503"
"-60","5","0","1","","0","0","0","610209504"
"0","1","165","1.15","","-15","1","0","610210101"
"0","1","165","0.92","","0","1","0","610210201"
"0","1","165","1.15","","-15","1","0","610210202"
"0","1","165","1.15","","-15","1","0","610210203"
"0","1","165","0.92","","0","1","0","610210301"
"0","1","165","1.15","","-15","1","0","610210302"
"0","1","165","1.15","","-15","1","0","610210303"
"-200","2","0","0.68","","0","0","0","610210401"
"-140","3","0","0.68","","0","0","0","610210402"
"-60","4","0","0.68","","0","0","0","610210403"
"-60","5","0","0.68","","0","0","0","610210404"
"-200","2","0","0.68","","0","0","0","610210501"
"-140","3","0","0.68","","0","0","0","610210502"
"-60","4","0","0.68","","0","0","0","610210503"
"-60","5","0","0.68","","0","0","0","610210504"
"0","1","55","0.9","","30","1","0","610211101"
"0","1","55","0.9","","-5","1","0","610211201"
"0","1","55","0.9","","30","1","0","610211202"
"0","1","55","0.9","","30","1","0","610211203"
"0","1","55","0.9","","-5","1","0","610211301"
"0","1","55","0.9","","30","1","0","610211302"
"0","1","55","0.9","","30","1","0","610211303"
"-40","2","0","0.78","","0","0","0","610211401"
"-10","3","0","0.78","","0","0","0","610211402"
"50","4","0","0.78","","0","0","0","610211403"
"50","5","0","0.78","","0","0","0","610211404"
"-40","2","0","0.78","","0","0","0","610211501"
"-10","3","0","0.78","","0","0","0","610211502"
"50","4","0","0.78","","0","0","0","610211503"
"50","5","0","0.78","","0","0","0","610211504"
"0","1","35","0.9","","45","1","0","610212101"
"0","1","35","0.8","","0","1","0","610212201"
"0","1","35","0.9","","45","1","0","610212202"
"0","1","35","0.9","","45","1","0","610212203"
"0","1","35","0.8","","0","1","0","610212301"
"0","1","35","0.9","","45","1","0","610212302"
"0","1","35","0.9","","45","1","0","610212303"
"-220","2","0","0.6","","0","0","0","610212401"
"-200","3","0","0.6","","0","0","0","610212402"
"-140","4","0","0.6","","0","0","0","610212403"
"-140","5","0","0.6","","0","0","0","610212404"
"-60","2","0","0.6","","0","0","0","610212405"
"-60","3","0","0.6","","0","0","0","610212406"
"-220","4","0","0.6","","0","0","0","610212501"
"-200","5","0","0.6","","0","0","0","610212502"
"-140","2","0","0.6","","0","0","0","610212503"
"-140","3","0","0.6","","0","0","0","610212504"
"-60","4","0","0.6","","0","0","0","610212505"
"-60","5","0","0.6","","0","0","0","610212506"
