847d1baabc72a1d6643691e8a83572f193b5433c6afa8c0ec7137c39d97108c4,f52362898b48628eb38b625de898fec0e28fc197c7d7ee960f1214fb2f0b0d5f,74e757f1514a4278e851df4917176e518375c1375c7e73802efacb41b6e065f1,d258b74fba357726ed10b57720619eafbacc9644c4dfc1c5456b5f6b73673b4c,f280be45ef6880481fb87e82241583146864f6cfec00c410d0e321f1bf88898a,663eb2dd517f98040a604e3a0c7d4d90bf254e59ac087dece8d30ddcb4ae8401,66c954a680e1dc97970461bec8a938640d4c0feea27d6195e103bd64a246f0c8,8dd78b166dfa8dd4df16cc02fc666ac7afada5e4ea5262f80139b76091635fde,d926c1cbf2ec0e8e55fd05fee626ab358e723e788e173458e2a058dfc9bd087e,a964f3bc3ca8dd42bdd3500881a56ed8f234c25c62d07761e11e490f41669f83,8ac05dbe241e146026bdb1e87ae997f39ae9cea5a48924ad2729fdf12c959ea8
"","23","se_fpc_water_random","","","","","13010001","301","se_10053800",""
"-850","1","<unit_id>","0","1.75","23","cmn_swm_flutterKick_floatRing","13010002","301","1","-180"
"-850","5","1","0","1.75","22","cmn_swm_flutterKick_floatRing_pink","13010003","301","1","-180"
"-180","31","1","","1","-850","","13010004","301","1","1"
"","91","0","","","","","13010005","301","0",""
"10","2","1050","","","-180","","13010006","301","<unit_id>",""
"10","2","1050","","","-180","","13010007","301","1",""
"10","33","1050","","","-180","","13010008","301","1",""
"","23","se_fpc_water_random","","","","","13020001","302","se_10053800",""
"-850","1","<unit_id>","0","1.75","23","cmn_swm_flutterKick_floatRing","13020002","302","1","-180"
"-850","5","1","0","1.75","22","cmn_swm_flutterKick_floatRing_blue","13020003","302","1","-180"
"-180","31","1","","1","-850","","13020004","302","1","1"
"","91","0","","","","","13020005","302","0",""
"10","2","1050","","","-180","","13020006","302","<unit_id>",""
"10","2","1050","","","-180","","13020007","302","1",""
"10","33","1050","","","-180","","13020008","302","1",""
"","23","se_fpc_water_random","","","","","13030001","303","se_10053800",""
"-850","1","<unit_id>","0","1.75","23","cmn_swm_flutterKick_floatRing","13030002","303","1","-180"
"-850","5","1","0","1.75","22","cmn_swm_flutterKick_floatRing","13030003","303","1","-180"
"-180","31","1","","1","-850","","13030004","303","1","1"
"","91","0","","","","","13030005","303","0",""
"10","2","1050","","","-180","","13030006","303","<unit_id>",""
"10","2","1050","","","-180","","13030007","303","1",""
"10","33","1050","","","-180","","13030008","303","1",""
"","23","se_fpc_water_random","","","","","13510001","351","se_10053800",""
"-850","1","<unit_id>","0","1.75","23","cmn_swm_flutterKick_floatRing","13510002","351","1","-180"
"-850","5","1","0","1.75","22","cmn_swm_flutterKick_floatBoad","13510003","351","1","-180"
"-180","31","1","","1","-850","","13510004","351","1","1"
"","91","0","","","","","13510005","351","0",""
"10","2","1050","","","-180","","13510006","351","<unit_id>",""
"10","2","1050","","","-180","","13510007","351","1",""
"10","33","1050","","","-180","","13510008","351","1",""
"","23","se_fpc_water_random","","","","","13520001","352","se_10053800",""
"-850","1","<unit_id>","0","1.75","23","cmn_swm_flutterKick_floatRing","13520002","352","1","-180"
"-850","5","1","0","1.75","22","cmn_swm_flutterKick_floatBoad_blue","13520003","352","1","-180"
"-180","31","1","","1","-850","","13520004","352","1","1"
"","91","0","","","","","13520005","352","0",""
"10","2","1050","","","-180","","13520006","352","<unit_id>",""
"10","2","1050","","","-180","","13520007","352","1",""
"10","33","1050","","","-180","","13520008","352","1",""
"","23","se_fpc_water_random","","","","","14010001","401","se_10053800",""
"-850","1","<unit_id>","0","1.75","22","cmn_float","14010002","401","1","-180"
"-180","31","6","","1","-850","","14010003","401","6","1"
"","91","0","","","","","14010004","401","0",""
"10","2","1050","","","-180","","14010005","401","<unit_id>",""
"10","33","1050","","","-180","","14010006","401","6",""
"","23","se_fpc_water_random","","","","","14020001","402","se_10053800",""
"-850","1","<unit_id>","0","1.75","22","cmn_float_4","14020002","402","1","-180"
"-180","31","6","","1","-850","","14020003","402","6","1"
"","91","0","","","","","14020004","402","0",""
"10","2","1050","","","-180","","14020005","402","<unit_id>",""
"10","33","1050","","","-180","","14020006","402","6",""
"","23","se_fpc_water_random","","","","","14510001","451","se_10053800",""
"-850","1","<unit_id>","0","1.75","22","cmn_crawl","14510002","451","1","-180"
"-180","31","1","","1","-850","","14510003","451","1","1"
"","91","0","","","","","14510004","451","0",""
"10","2","1050","","","-180","","14510005","451","<unit_id>",""
"10","33","1050","","","-180","","14510006","451","1",""
"","23","se_fpc_water_random","","","","","15010001","501","se_10053800",""
"-850","1","<unit_id>","0","1.75","45","cmn_surfing","15010002","501","1","-250"
"-850","5","6","0","1.75","44","cmn_surfing","15010003","501","6","-250"
"-250","31","11","","1","-850","","15010004","501","11","1"
"","91","0","","","","","15010005","501","0",""
"6","2","1800","","","-250","","15010006","501","<unit_id>",""
"6","2","1800","","","-250","","15010007","501","6",""
"6","33","1800","","","-250","","15010008","501","11",""
"","23","se_10053800_surfing_wave","","","","","15010009","501","se_10053800",""
"","23","se_fpc_water_random","","","","","18510001","851","se_10053800",""
"-850","1","107511","0","1.75","45","cmn_surfing","18510002","851","1","-125"
"-1100","1","107611","0","1.75","45","cmn_surfing","18510003","851","1","-250"
"-1350","1","107811","0","1.75","45","cmn_surfing","18510004","851","1","-125"
"-850","5","1","0","1.75","44","cmn_surfing","18510005","851","6","-125"
"-1100","5","2","0","1.75","44","cmn_surfing","18510006","851","6","-250"
"-1350","5","3","0","1.75","44","cmn_surfing","18510007","851","6","-125"
"-125","31","1","","1","-850","","18510008","851","11","1"
"-250","31","2","","1","-1100","","18510009","851","11","1"
"-125","31","3","","1","-1350","","18510010","851","11","1"
"6","2","2350","","","-125","","18510011","851","107511",""
"6","2","2100","","","-250","","18510012","851","107611",""
"6","2","1850","","","-125","","18510013","851","107811",""
"6","2","2350","","","-125","","18510014","851","1",""
"6","2","2100","","","-250","","18510015","851","2",""
"6","2","1850","","","-125","","18510016","851","3",""
"6","33","2350","","","-125","","18510017","851","1",""
"6","33","2100","","","-250","","18510018","851","2",""
"6","33","1850","","","-125","","18510019","851","3",""
"","23","se_10053800_surfing_wave","","","","","18510020","851","se_10053800",""
"","93","","","","","","18510021","851","0.3",""
"0","21","vo_fpc_85101","","","","","18510022","851","vo_fpc",""
"","23","se_fpc_water_random","","","","","18520001","852","se_10053800",""
"-850","1","122411","0","1.75","13","cmn_swm_flutterKick_floatRing","18520002","852","1","-125"
"-1100","1","122511","0","1.75","33","cmn_swm_flutterKick_floatRing","18520003","852","1","-250"
"-1350","1","122611","0","1.75","13","cmn_swm_flutterKick_floatRing","18520004","852","1","-125"
"-850","5","1","0","1.75","12","cmn_swm_flutterKick_floatRing","18520005","852","1","-125"
"-1100","5","2","0","1.75","32","cmn_swm_flutterKick_floatRing_blue","18520006","852","1","-250"
"-1350","5","3","0","1.75","12","cmn_swm_flutterKick_floatRing_pink","18520007","852","1","-125"
"-125","31","1","","1","-850","","18520008","852","7","1"
"-250","31","2","","1","-1100","","18520009","852","1","1"
"-125","31","3","","1","-1350","","18520010","852","7","1"
"10","2","1750","","","-125","","18520011","852","122411",""
"10","2","1500","","","-250","","18520012","852","122511",""
"10","2","1250","","","-125","","18520013","852","122611",""
"10","2","1750","","","-125","","18520014","852","1",""
"10","2","1500","","","-250","","18520015","852","2",""
"10","2","1250","","","-125","","18520016","852","3",""
"10","33","1750","","","-125","","18520017","852","1",""
"10","33","1500","","","-250","","18520018","852","2",""
"10","33","1250","","","-125","","18520019","852","3",""
"","23","se_fpc_water_random","","","","","18530001","853","se_10053800",""
"-850","1","117211","0","1.75","12","cmn_swm_breastStroke","18530002","853","1","-125"
"-1100","1","117311","0","1.75","32","cmn_swm_breastStroke","18530003","853","1","-250"
"-1350","1","117411","0","1.75","12","cmn_swm_breastStroke","18530004","853","1","-125"
"-125","31","1","","1","-850","","18530005","853","2","1"
"-250","31","2","","1","-1100","","18530006","853","2","1"
"-125","31","3","","1","-1350","","18530007","853","2","1"
"10","2","1750","","","-125","","18530008","853","117211",""
"10","2","1500","","","-250","","18530009","853","117311",""
"10","2","1250","","","-125","","18530010","853","117411",""
"10","33","1750","","","-125","","18530011","853","1",""
"10","33","1500","","","-250","","18530012","853","2",""
"10","33","1250","","","-125","","18530013","853","3",""
"","23","se_fpc_water_random","","","","","18540001","854","se_10053800",""
"-850","1","122711","0","1.75","13","cmn_swm_flutterKick_floatRing","18540002","854","1","-125"
"-1100","1","122811","0","1.75","33","cmn_swm_flutterKick_floatRing","18540003","854","1","-250"
"-1350","1","122911","0","1.75","13","cmn_swm_flutterKick_floatRing","18540004","854","1","-125"
"-850","5","1","0","1.75","12","cmn_swm_flutterKick_floatBoad","18540005","854","1","-125"
"-1100","5","2","0","1.75","32","cmn_swm_flutterKick_floatBoad_blue","18540006","854","1","-250"
"-1350","5","3","0","1.75","12","cmn_swm_flutterKick_floatBoad","18540007","854","1","-125"
"-125","31","1","","1","-850","","18540008","854","7","1"
"-250","31","2","","1","-1100","","18540009","854","1","1"
"-125","31","3","","1","-1350","","18540010","854","7","1"
"10","2","1750","","","-125","","18540011","854","122711",""
"10","2","1500","","","-250","","18540012","854","122811",""
"10","2","1250","","","-125","","18540013","854","122911",""
"10","2","1750","","","-125","","18540014","854","1",""
"10","2","1500","","","-250","","18540015","854","2",""
"10","2","1250","","","-125","","18540016","854","3",""
"10","33","1750","","","-125","","18540017","854","1",""
"10","33","1500","","","-250","","18540018","854","2",""
"10","33","1250","","","-125","","18540019","854","3",""
"","23","se_fpc_water_random","","","","","18550001","855","se_10053800",""
"-850","1","113411","0","1.75","13","cmn_swm_flutterKick_floatRing","18550002","855","1","-125"
"-1100","1","113511","0","1.75","33","cmn_swm_flutterKick_floatRing","18550003","855","1","-250"
"-850","5","1","0","1.75","12","cmn_swm_flutterKick_floatBoad","18550004","855","1","-125"
"-1100","5","2","0","1.75","32","cmn_swm_flutterKick_floatBoad_blue","18550005","855","1","-250"
"-125","31","1","","1","-850","","18550006","855","7","1"
"-250","31","2","","1","-1100","","18550007","855","1","1"
"10","2","1750","","","-125","","18550008","855","113411",""
"10","2","1500","","","-250","","18550009","855","113511",""
"10","2","1750","","","-125","","18550010","855","1",""
"10","2","1500","","","-250","","18550011","855","2",""
"10","33","1750","","","-125","","18550012","855","1",""
"10","33","1500","","","-250","","18550013","855","2",""
"","23","se_fpc_water_random","","","","","18560001","856","se_10053800",""
"-850","1","110311","0","1.75","13","cmn_swm_tread","18560002","856","1","-125"
"-1100","1","107711","0","1.75","33","cmn_swm_tread","18560003","856","1","-250"
"-850","5","1","0","1.75","12","cmn_swm_tread_pink","18560004","856","1","-125"
"-1100","5","2","0","1.75","32","cmn_swm_tread","18560005","856","1","-250"
"-125","31","1","","1","-850","","18560006","856","13","1"
"-250","31","2","","1","-1100","","18560007","856","3","1"
"13.5","2","1750","","","-125","","18560008","856","110311",""
"13.5","2","1500","","","-250","","18560009","856","107711",""
"13.5","2","1750","","","-125","","18560010","856","1",""
"13.5","2","1500","","","-250","","18560011","856","2",""
"13.5","33","1750","","","-125","","18560012","856","1",""
"13.5","33","1500","","","-250","","18560013","856","2",""
"","23","se_fpc_water_random","","","","","18570001","857","se_10053800",""
"-850","1","110411","0","1.75","13","cmn_swm_tread","18570002","857","1","-125"
"-1100","1","110511","0","1.75","33","cmn_swm_tread","18570003","857","1","-250"
"-1350","1","115711","0","1.75","13","cmn_swm_tread","18570004","857","1","-125"
"-1600","1","110611","0","1.75","33","cmn_boat_relax","18570005","857","1","-250"
"-850","5","1","0","1.75","12","cmn_swm_tread_blue","18570006","857","1","-125"
"-1100","5","2","0","1.75","32","cmn_swm_tread","18570007","857","1","-250"
"-1350","5","3","0","1.75","12","cmn_swm_tread_pink","18570008","857","1","-125"
"-1600","5","4","0","1.75","32","cmn_boat_idle_l","18570009","857","2","-250"
"-125","31","1","","1","-850","","18570010","857","13","1"
"-250","31","2","","1","-1100","","18570011","857","3","1"
"-125","31","3","","1","-1350","","18570012","857","13","1"
"-250","31","4","","1","-1600","","18570013","857","116","1"
"13.5","2","1750","","","-125","","18570014","857","110411",""
"13.5","2","1500","","","-250","","18570015","857","110511",""
"13.5","2","1250","","","-125","","18570016","857","115711",""
"13.5","2","1000","","","-250","","18570017","857","110611",""
"13.5","2","1750","","","-125","","18570018","857","1",""
"13.5","2","1500","","","-250","","18570019","857","2",""
"13.5","2","1250","","","-125","","18570020","857","3",""
"13.5","2","1000","","","-250","","18570021","857","4",""
"13.5","33","1750","","","-125","","18570022","857","1",""
"13.5","33","1500","","","-250","","18570023","857","2",""
"13.5","33","1250","","","-125","","18570024","857","3",""
"13.5","33","1000","","","-250","","18570025","857","4",""
"","23","se_fpc_water_random","","","","","18580001","858","se_10053800",""
"-850","1","126711","0","1.75","13","cmn_swm_tread","18580002","858","1","-125"
"-850","1","126711","0","1.75","13","cmn_swm_tread","18580003","858","1","-125"
"-1100","1","126811","0","1.75","33","cmn_swm_tread","18580004","858","1","-250"
"-1350","1","108011","0","1.75","13","cmn_swm_tread","18580005","858","1","-125"
"-1600","1","107911","0","1.75","33","cmn_boat_cat","18580006","858","1","-250"
"-850","5","1","0","1.75","12","cmn_swm_tread_pink","18580007","858","1","-125"
"-1100","5","2","0","1.75","32","cmn_swm_tread","18580008","858","1","-250"
"-1350","5","3","0","1.75","12","cmn_swm_tread_blue","18580009","858","1","-125"
"-1600","5","4","0","1.75","32","cmn_boat_idle_l","18580010","858","2","-250"
"-125","31","1","","1","-850","","18580011","858","13","1"
"-250","31","2","","1","-1100","","18580012","858","3","1"
"-125","31","3","","1","-1350","","18580013","858","13","1"
"-250","31","4","","1","-1600","","18580014","858","116","1"
"13.5","2","1750","","","-125","","18580015","858","126711",""
"13.5","2","1500","","","-250","","18580016","858","126811",""
"13.5","2","1250","","","-125","","18580017","858","108011",""
"13.5","2","1000","","","-250","","18580018","858","107911",""
"13.5","2","1750","","","-125","","18580019","858","1",""
"13.5","2","1500","","","-250","","18580020","858","2",""
"13.5","2","1250","","","-125","","18580021","858","3",""
"13.5","2","1000","","","-250","","18580022","858","4",""
"13.5","33","1750","","","-125","","18580023","858","1",""
"13.5","33","1500","","","-250","","18580024","858","2",""
"13.5","33","1250","","","-125","","18580025","858","3",""
"13.5","33","1000","","","-250","","18580026","858","4",""
"","23","se_fpc_water_random","","","","","18590001","859","se_10053800",""
"-850","1","113111","0","1.75","45","cmn_surfing","18590002","859","1","-125"
"-1100","1","113211","0","1.75","45","cmn_surfing","18590003","859","1","-250"
"-1350","1","113311","0","1.75","45","cmn_surfing","18590004","859","1","-125"
"-1600","1","117011","0","1.75","45","cmn_surfing","18590005","859","1","-250"
"-850","5","1","0","1.75","44","cmn_surfing","18590006","859","6","-125"
"-1100","5","2","0","1.75","44","cmn_surfing","18590007","859","6","-250"
"-1350","5","3","0","1.75","44","cmn_surfing","18590008","859","6","-125"
"-1600","5","4","0","1.75","44","cmn_surfing","18590009","859","6","-250"
"-125","31","1","","1","-850","","18590010","859","11","1"
"-250","31","2","","1","-1100","","18590011","859","11","1"
"-125","31","3","","1","-1350","","18590012","859","11","1"
"-250","31","4","","1","-1600","","18590013","859","11","1"
"6","2","2350","","","-125","","18590014","859","113111",""
"6","2","2100","","","-250","","18590015","859","113211",""
"6","2","1850","","","-125","","18590016","859","113311",""
"6","2","1600","","","-250","","18590017","859","117011",""
"6","2","2350","","","-125","","18590018","859","1",""
"6","2","2100","","","-250","","18590019","859","2",""
"6","2","1850","","","-125","","18590020","859","3",""
"6","2","1600","","","-250","","18590021","859","4",""
"6","33","2350","","","-125","","18590022","859","1",""
"6","33","2100","","","-250","","18590023","859","2",""
"6","33","1850","","","-125","","18590024","859","3",""
"6","33","1600","","","-250","","18590025","859","4",""
"","23","se_10053800_surfing_wave","","","","","18590026","859","se_10053800",""
"","93","","","","","","18590027","859","0.3",""
"0","21","vo_fpc_85901","","","","","18590028","859","vo_fpc",""
"","23","se_fpc_water_random","","","","","18600001","860","se_10053800",""
"-850","1","110011","0","1.75","23","cmn_boat_relax_l","18600002","860","1","-180"
"-1200","1","110111","0","1.75","23","cmn_boat_relax","18600003","860","1","-180"
"-850","5","1","0","1.75","22","cmn_boat_idle_blue","18600004","860","2","-180"
"-1200","5","2","0","1.75","22","cmn_boat_idle_l","18600005","860","2","-180"
"-180","31","1","","1","-850","","18600006","860","116","1"
"-180","31","2","","1","-1200","","18600007","860","116","1"
"13.5","2","1750","","","-180","","18600008","860","110011",""
"13.5","2","1400","","","-180","","18600009","860","110111",""
"13.5","2","1750","","","-180","","18600010","860","1",""
"13.5","2","1400","","","-180","","18600011","860","2",""
"13.5","33","1750","","","-180","","18600012","860","1",""
"13.5","33","1400","","","-180","","18600013","860","2",""
"","93","","","","","","18600014","860","2.7",""
"0","21","vo_fpc_86001","","","","","18600015","860","vo_fpc",""
"","23","se_fpc_water_random","","","","","18610001","861","se_10053800",""
"-850","1","129511","0","1.75","13","cmn_swm_tread","18610002","861","1","-125"
"-1100","1","129411","0","1.75","33","cmn_swm_tread","18610003","861","1","-250"
"-1350","1","129311","0","1.75","13","cmn_swm_tread","18610004","861","1","-125"
"-850","5","1","0","1.75","12","cmn_swm_tread_pink","18610005","861","1","-125"
"-1100","5","2","0","1.75","32","cmn_swm_tread_blue","18610006","861","1","-250"
"-1350","5","3","0","1.75","12","cmn_swm_tread","18610007","861","1","-125"
"-125","31","1","","1","-850","","18610008","861","13","1"
"-250","31","2","","1","-1100","","18610009","861","3","1"
"-125","31","3","","1","-1350","","18610010","861","13","1"
"13.5","2","1750","","","-125","","18610011","861","129511",""
"13.5","2","1500","","","-250","","18610012","861","129411",""
"13.5","2","1250","","","-125","","18610013","861","129311",""
"13.5","2","1750","","","-125","","18610014","861","1",""
"13.5","2","1500","","","-250","","18610015","861","2",""
"13.5","2","1250","","","-125","","18610016","861","3",""
"13.5","33","1750","","","-125","","18610017","861","1",""
"13.5","33","1500","","","-250","","18610018","861","2",""
"13.5","33","1250","","","-125","","18610019","861","3",""
"","23","se_fpc_water_random","","","","","18620001","862","se_10053800",""
"-850","1","126711","0","1.75","13","cmn_swm_tread","18620002","862","1","-125"
"-1100","1","126811","0","1.75","33","cmn_swm_tread","18620003","862","1","-250"
"-1350","5","21","0","1.66","22","02_neneka_floatRing","18620004","862","21","-180"
"-850","5","1","0","1.75","12","cmn_swm_tread","18620005","862","1","-125"
"-1100","5","2","0","1.75","32","cmn_swm_tread_blue","18620006","862","1","-250"
"-125","31","1","","1","-850","","18620007","862","13","1"
"-250","31","2","","1","-1100","","18620008","862","3","1"
"-180","31","3","","1","-1350","","18620009","862","102","1"
"13.5","2","1750","","","-125","","18620010","862","126711",""
"13.5","2","1500","","","-250","","18620011","862","126811",""
"13.5","2","1250","","","-180","","18620012","862","21",""
"13.5","2","1750","","","-125","","18620013","862","1",""
"13.5","2","1500","","","-250","","18620014","862","2",""
"13.5","33","1750","","","-125","","18620015","862","1",""
"13.5","33","1500","","","-250","","18620016","862","2",""
"13.5","33","1250","","","-180","","18620017","862","3",""
"","23","se_fpc_water_random","","","","","18630001","863","se_10053800",""
"-1100","1","126911","1","1.75","22","cmn_float","18630002","863","1","-180"
"-1350","1","127011","0","1.75","12","cmn_float","18630003","863","1","-125"
"-1600","1","127111","0","1.75","22","cmn_float","18630004","863","1","-180"
"-180","31","2","","1","-1070","","18630005","863","6","1"
"-125","31","3","","1","-1350","","18630006","863","6","1"
"-180","31","4","","1","-1600","","18630007","863","6","1"
"13.5","2","1500","","","-180","","18630008","863","126911",""
"13.5","2","1250","","","-125","","18630009","863","127011",""
"13.5","2","1000","","","-180","","18630010","863","127111",""
"13.5","33","1530","","","-180","","18630011","863","2",""
"13.5","33","1250","","","-125","","18630012","863","3",""
"13.5","33","1000","","","-180","","18630013","863","4",""
"","93","","","","","","18630014","863","2.3",""
"0","21","vo_fpc_86301","","","","","18630015","863","vo_fpc",""
"","23","se_fpc_water_random","","","","","18640001","864","se_10053800",""
"-850","1","107811","0","1.75","45","cmn_surfing","18640002","864","1","-125"
"-1100","1","110011","0","1.75","45","cmn_surfing","18640003","864","1","-250"
"-850","5","1","0","1.75","44","cmn_surfing","18640004","864","6","-125"
"-1100","5","2","0","1.75","44","cmn_surfing","18640005","864","6","-250"
"-125","31","1","","1","-850","","18640006","864","11","1"
"-250","31","2","","1","-1100","","18640007","864","11","1"
"6","2","2350","","","-125","","18640008","864","107811",""
"6","2","2100","","","-250","","18640009","864","110011",""
"6","2","2350","","","-125","","18640010","864","1",""
"6","2","2100","","","-250","","18640011","864","2",""
"6","33","2350","","","-125","","18640012","864","1",""
"6","33","2100","","","-250","","18640013","864","2",""
"","23","se_10053800_surfing_wave","","","","","18640014","864","se_10053800",""
"","93","","","","","","18640015","864","0.2",""
"0","21","vo_fpc_86401","","","","","18640016","864","vo_fpc",""
"","23","se_fpc_water_random","","","","","18650001","865","se_10053800",""
"-850","1","110311","0","1.75","13","cmn_swm_flutterKick_floatRing","18650002","865","1","-125"
"-1100","1","113111","0","1.75","33","cmn_swm_flutterKick_floatRing","18650003","865","1","-250"
"-850","5","1","0","1.75","12","cmn_swm_flutterKick_floatRing_pink","18650004","865","1","-125"
"-1100","5","2","0","1.75","32","cmn_swm_flutterKick_floatRing_blue","18650005","865","1","-250"
"-125","31","1","","1","-850","","18650006","865","7","1"
"-250","31","2","","1","-1100","","18650007","865","1","1"
"10","2","1750","","","-125","","18650008","865","110311",""
"10","2","1500","","","-250","","18650009","865","113111",""
"10","2","1750","","","-125","","18650010","865","1",""
"10","2","1500","","","-250","","18650011","865","2",""
"10","33","1750","","","-125","","18650012","865","1",""
"10","33","1500","","","-250","","18650013","865","2",""
"","23","se_fpc_water_random","","","","","18660001","866","se_10053800",""
"-850","1","113411","0","1.75","13","cmn_swm_flutterKick_floatRing","18660002","866","1","-125"
"-1100","1","115711","0","1.75","33","cmn_swm_flutterKick_floatRing","18660003","866","1","-250"
"-850","5","1","0","1.75","12","cmn_swm_flutterKick_floatRing_pink","18660004","866","1","-125"
"-1100","5","2","0","1.75","32","cmn_swm_flutterKick_floatRing_blue","18660005","866","1","-250"
"-125","31","1","","1","-850","","18660006","866","7","1"
"-250","31","2","","1","-1100","","18660007","866","1","1"
"10","2","1750","","","-125","","18660008","866","113411",""
"10","2","1500","","","-250","","18660009","866","115711",""
"10","2","1750","","","-125","","18660010","866","1",""
"10","2","1500","","","-250","","18660011","866","2",""
"10","33","1750","","","-125","","18660012","866","1",""
"10","33","1500","","","-250","","18660013","866","2",""
"","23","se_fpc_water_random","","","","","18670001","867","se_10053800",""
"-850","1","113211","0","1.75","13","cmn_swm_tread","18670002","867","1","-125"
"-1100","1","127111","0","1.75","33","cmn_swm_tread","18670003","867","1","-250"
"-850","5","1","0","1.75","12","cmn_swm_tread_pink","18670004","867","1","-125"
"-1100","5","2","0","1.75","32","cmn_swm_tread_blue","18670005","867","1","-250"
"-125","31","1","","1","-850","","18670006","867","13","1"
"-250","31","2","","1","-1100","","18670007","867","3","1"
"13.5","2","1750","","","-125","","18670008","867","113211",""
"13.5","2","1500","","","-250","","18670009","867","127111",""
"13.5","2","1750","","","-125","","18670010","867","1",""
"13.5","2","1500","","","-250","","18670011","867","2",""
"13.5","33","1750","","","-125","","18670012","867","1",""
"13.5","33","1500","","","-250","","18670013","867","2",""
"","23","se_fpc_water_random","","","","","18680001","868","se_10053800",""
"-850","1","117011","0","1.75","12","cmn_swm_diving","18680002","868","1","-125"
"-1100","1","117111","0","1.75","22","cmn_swm_diving","18680003","868","1","-180"
"-125","31","1","","1","-850","","18680004","868","9","1"
"-180","31","2","","1","-1100","","18680005","868","9","1"
"13.5","2","1750","","","-125","","18680006","868","117011",""
"13.5","2","1500","","","-180","","18680007","868","117111",""
"13.5","33","1750","","","-125","","18680008","868","1",""
"13.5","33","1500","","","-180","","18680009","868","2",""
"","23","se_fpc_water_random","","","","","18690001","869","se_10053800",""
"-850","1","110511","0","1.75","13","cmn_swm_flutterKick_floatRing","18690002","869","1","-125"
"-1100","1","110011","0","1.75","33","cmn_swm_flutterKick_floatRing","18690003","869","1","-250"
"-850","5","1","0","1.75","12","cmn_swm_flutterKick_floatBoad","18690004","869","1","-125"
"-1100","5","2","0","1.75","32","cmn_swm_flutterKick_floatBoad_blue","18690005","869","1","-250"
"-125","31","1","","1","-850","","18690006","869","7","1"
"-250","31","2","","1","-1100","","18690007","869","1","1"
