794e048479f7be09f8c224bf4416b785fa34b38647578c0beb239ce7e46caa2c,8a6333dc0414078964576bcdc678db9c9502310c323790a1eda0f4153910a219,542b62a80240a807b82680f03dc0485fbcf3ddcac991e87f50b618c6e2a2bdd4,887de829acd5d40a672e27b12744afb275e33c2f00b177b53fff55e2eb678f31,6519a1590db0372817d0fc2d34bd883c1e16144ce27f8d8d3a078b6cdc020116,4b47a6eeb23f25de11ca775f99f9878a3abe57ef34aa296a92b5da6bb6f9d599,400823a72a4ef3bf7ed73cce959ca95c75a8f471cb40690819dd8285f541d84c,8a05fe18ee1182f096e91a9981b20211de60d97a315c4a9d5380436e83d8167a,f4b838ceb832b7047e3c1a9e378be5e31cceedcbf9aecf3f31b4c077b6d1b12d,625e68ccdfb0b3924c441e034ae31dbaaa9592d5b5bfecc6cd51af2352f43ee0,ce319ceeac701fc5b4e15fd042d01347dc559e3f0490248e824ba3e27f122e82,f6e3e35b9231e68232447184f29a685790ef78024993188425667f5d35b96086,7d9ae611dc8c139d1e98d32847e420db99269c5f6ad43a032447b3b055f21dd7,ccfb5e41c5e2d8f1ac6556dd505ef292f8f54fd933de18db7c45044d0423eee7
"ユイ","2030/01/01 14:59:59","10211","2025/11/30 12:00:00","4","騎士クンに想いを伝えたい…だから\nミソラちゃん、わたしがんばるね！\n…あれ？　わたし、なんでこんなに\n必死になってるんだろう…？","-285","136402","1021101","3","101","0","61","7.438"
"ミソラ","2030/01/01 14:59:59","10211","2025/11/30 12:00:00","5","騎士さんとのデートはわたしに\nお任せです★　なのでユイさんは\n安心して計画に専念して…たくさん\nドキドキしちゃってくださいね","-285","136302","1021102","1","201","0","61","8.35"
"シズル","2030/01/01 14:59:59","10212","2025/12/31 12:00:00","2","新しい年がやってくるね！\nお正月の料理も飾りつけも、\nお姉ちゃんにお任せだよ♪\nみんなで楽しく新年を迎えよう！","-285","136501","1021201","1","101","0","61","5"
"リノ","2030/01/01 14:59:59","10212","2025/12/31 12:00:00","2","おうちの掃除もトラブルも、 \n世界を揺るがす大ピンチも！\n今年のことは今年のうちに \nサッサと片付けちゃいますっ！","-285","137902","1021202","1","201","0","61","5.25"
"ラビリスタ","2030/01/01 14:59:59","10212","2025/12/31 12:00:00","2","年の瀬はギルドマスターも\nつい駆け回っちゃう忙しい時期だ！\n一年いろいろあったけど\nお互いイイ年を迎えよう、少年！","-285","106801","1021203","1","301","0","61","7.5"
"ライラエル","2030/01/01 14:59:59","10213","2026/01/31 12:00:00","2","漂う異国の料理の香り…それだけで\n世界中を旅した気分に浸れますね\nふふ、ほらクローチェ\nあまりはしゃぎすぎないように…♪","-285","126501","1021301","1","101","0","61","8.204"
"ネフィ＝ネラ","2030/01/01 14:59:59","10213","2026/01/31 12:00:00","2","異界の姫君と煮炊きにて競い合う…\n感奮興起、いとをかし\n華やかなる祭典と相成るよう、一肌\n脱がせていただきとう存じまする","-285","129701","1021302","1","201","0","61","7.176"
"ヴァイオレット","2030/01/01 14:59:59","10213","2026/01/31 12:00:00","5","『ビストロプリンセス』のために\n料理の特訓を重ねてまいりました\nこの料理で騎士様の…い、いえ\n皆様の心とお腹を満たしますわ！","-285","133101","1021303","1","301","0","61","8.602"
"ライラエル","2030/01/01 14:59:59","10213","2026/02/06 12:00:00","3","多様な味わいが織りなすハーモニー\nそれこそが我が国の矜持です\nもしもそれを乱すようであれば\nわたしも優しくはありませんよ？","-285","138101","1021304","1","102","0","61","10.14"
"ネフィ＝ネラ","2030/01/01 14:59:59","10213","2026/02/06 12:00:00","7","煉獄の穢土にてひと際輝く民草の心\n此れを守護りまするがわっちの責務\n如何な困難待ち受けようと\n不退転の矜持に揺らぎはありんせん","-285","138201","1021305","1","202","0","61","10.152"
"ヴァイオレット","2030/01/01 14:59:59","10213","2026/02/06 12:00:00","3","裏世界の皆様は危機を脱し、\n残るはランドソルの皆様のみ…\n彼らを救い出すために、どうか…\nお立ち下さいペコリーヌ姫…！","-285","138001","1021306","4","302","0","61","9.688"
"ペコリーヌ","2030/01/01 14:59:59","10213","2026/02/12 12:00:00","1","みなさん、お待たせしちゃいました\nペコリーヌ、完全復活です☆\nみなさんの食卓を守るため\nもう二度と、わたしはめげません！","-285","138301","1021307","2","401","0","61","5.928"
