a6fdfb0d044a672771302f25e7fb8a2e29c9d2b56710c9b0a843b3d35a6a6b5b,8522edd9f9b3b411872cf85dee1cbb114a88633092b6fec6225209661eb09cb4,3c1cfab8035b668a9f968181ea91965c5ac673dd6753c7a970ad094967c7fb52,8f89c25bc601ed97acfd36150f29c8ca8886635b6b8875caf2927a5cd2146719,3357c10d6b8fb08bea40c0f5147b5f8d3cf4873d11cff3a83936b3d274f0136b,d602a3e956d1b1dd9aefc6d3bdfd0eab8924fda68cb74f64e3424b7ee7943e5a,3eba5402f151939f41e9c4a31117396c6cbce9265c92b3aec18be94a30812764,c6133549b3911018383b7ed1f4cc44d75883c8773911eae23676c590c1c2d486,cffc11f0837d0281575fec805c82a1fe69f83ad7bc40b51212c098f12c8b87d5,72f46782262de3c4abe02e025d89352b4bdee27f1ec9075efc67b3552b661504,34f13b96bee2ce1bdd79dafb423fc7fe53fb42f6b67093212ee79b8d4915e1b1
"nyx_talk_sad","104631","","11030024","1","","0.2","103","","3",""
"…気を抜いたら\nやられるにゃ\n覚悟を決めるにゃ","104631","","11030025","10","","","103","","11",""
"","2.6","","11030026","","","","103","","93",""
"nyx_102_chloe_01","111031","","11030027","1","","0.2","103","","3",""
"","11030025","","11030028","","","","103","","91",""
"nyx_cmn_02","104631","1","11030029","0","","0.2","103","0.3","3","nyx_idle_sad"
"nyx_cmn_02","2","","11030030","0","","0.2","103","","3",""
"nyx_cmn_02","103431","1","11030031","0","","0.2","103","0.3","3","nyx_cmn_03"
"nyx_cmn_02","2","","11030032","0","","0.2","103","","3",""
"nyx_cmn_02","104831","1","11030033","0","","0.2","103","0.2","3","nyx_idle_normal"
"nyx_cmn_02","2","","11030034","0","","0.2","103","","3",""
"","1.5","","11030035","","","","103","","93",""
"nyx_303_yuni_01","111031","","11030036","1","","0.2","103","","3",""
"ふむ、次はぼくだな\nまさに真打登場と\n言ったところか","111031","","11030037","10","","","103","","11",""
"","2.8","","11030038","","","","103","","93",""
"13","104831","","11030039","1","","","103","","12",""
"nyx_talk_normal","104831","","11030040","1","","0.2","103","","3",""
"","11030037","","11030041","","","","103","","91",""
"チエル君、クロエ君\n君らの無念はぼくが\n晴らして見せよう","111031","","11030042","10","","","103","","11",""
"","0","","11030043","","","","103","","91",""
"nyx_103_yuni_02","111031","","11030044","1","","0.2","103","","3",""
"いざ上級生としての\n責務を果たす時だ","111031","","11030045","10","","","103","","11",""
"","1.5","","11030046","","","","103","","93",""
"17","103231","","11030047","1","","","103","","12",""
"nyx_idle_normal","104831","","11030048","1","","0.2","103","","3",""
"nyx_cmn_05","103231","","11030049","1","","0.2","103","","3",""
"","11030045","","11030050","","","","103","","91",""
"nyx_103_yuni_03","111031","0","11030051","0","","0.3","103","0.6","3","nyx_103_yuni_04"
"ユニちゃんズの\n名に懸けて…！","111031","","11030052","10","","","103","","11",""
"","0","","11030053","","","","103","","91",""
"nyx_idle_normal","103231","","11030054","1","","0.2","103","","3",""
"","0.6","","11030055","","","","103","","93",""
"12","111031","","11030056","1","","0.2","103","","12",""
"cmn_pose02_def_N","111031","1","11030057","0","","0.2","103","0.2","3","nyx_idle_normal"
"","1.5","","11030058","","","","103","","93",""
"15","104631","","11030059","1","","","103","","12",""
"nyx_talk_sad","104631","1","11030060","0","","0.2","103","0.2","3","nyx_idle_worry"
"","2","","11030061","","","","103","","93",""
"10","103231","","11030062","1","","","103","","12",""
"nyx_talk_joy1","103231","1","11030063","0","","0.2","103","0.2","3","nyx_idle_normal"
"nyx_103_yuni_01","111031","1","11030064","0","","0.2","103","0.2","3","nyx_idle_normal"
"","2.5","","11030065","","","","103","","93",""
"1","103431","","11030066","1","","","103","","12",""
"nyx_cmn_01","103431","1","11030067","0","","0.2","103","0.3","3","nyx_cmn_03"
"","2","","11030068","","","","103","","93",""
"12","104831","","11030069","1","","","103","","12",""
"nyx_talk_bitter","104831","","11030070","1","","0.2","103","","3",""
"","2","","11030071","","","","103","","93",""
"nyx_idle_bitter","104831","","11030072","1","","0.2","103","","3",""
"","1","","11030073","","","","103","","93",""
"","11030056","","11030074","","","","103","","101",""
"103231","1","-294.7","12010001","110","nyx_201_akino_01","1.2","201","1","1","-235.4"
"2","2","-294.7","12010002","120","nyx_201_akino_01","1.2","201","1","5","-235.4"
"104631","1","-281.6","12010003","110","nyx_idle_normal","1.2","201","0","1","-357"
"103431","1","-281.6","12010004","110","nyx_idle_normal","1.2","201","1","1","310.5"
"104831","1","-281.6","12010005","110","nyx_idle_normal","1.2","201","0","1","-453.3"
"1","2","1","12010006","0","","1","201","","31","0"
"2","11","1","12010007","0","","1","201","","31","0"
"bgm_M347","bgm_M347","","12010008","","","","201","","25",""
"","2","","12010009","","","","201","","93",""
"タマキさん、この\n部品の組み立てを\nお願いしますわ！","103231","","12010010","10","","","201","","11",""
"","0","","12010011","","","","201","","91",""
"nyx_surprise","104631","1","12010012","0","","0.3","201","0.3","3","nyx_idle_surprise1"
"わ、わかったにゃ！\n…こんなの設計図に\nあったかにゃ…？","104631","","12010013","10","","","201","","11",""
"","0","","12010014","","","","201","","91",""
"0","103231","","12010015","0","","","201","","4",""
"0","2","","12010016","","","","201","","4",""
"nyx_idle_bitter2","104631","","12010017","1","","0.3","201","0.3","3",""
"nyx_201_akino_02","103231","","12010018","1","","0.3","201","0.3","3",""
"nyx_201_akino_02","2","","12010019","1","","0.3","201","0.3","3",""
"199","103231","","12010020","-294.7","","","201","","2","2.2"
"199","2","","12010021","-294.7","","","201","","2","2.2"
"","2.2","","12010022","","","","201","","93",""
"nyx_201_akino_01","103231","","12010023","1","","0.3","201","0.3","3",""
"nyx_201_akino_01","2","","12010024","1","","0.3","201","0.3","3",""
"ユカリさん！\nこの回路の発注を\n至急お願いします！","103231","","12010025","10","","","201","","11",""
"","0","","12010026","","","","201","","91",""
"nyx_cmn_01","103431","","12010027","1","","0.3","201","0.3","3",""
"えっ？　えっ？\nちょっとアキノさん\nこれ何に使うの！？","103431","","12010028","10","","","201","","11",""
"","0","","12010029","","","","201","","91",""
"nyx_idle_bitter2","103431","","12010030","1","","0.3","201","0.3","3",""
"1","103231","","12010031","","","","201","","4",""
"1","2","","12010032","","","","201","","4",""
"nyx_201_akino_02","103231","","12010033","1","","0.3","201","0.3","3",""
"nyx_201_akino_02","2","","12010034","1","","0.3","201","0.3","3",""
"-235.4","103231","","12010035","-294.7","","","201","","2","2.2"
"-235.4","2","","12010036","-294.7","","","201","","2","2.2"
"","2.2","","12010037","","","","201","","93",""
"nyx_201_akino_01","103231","","12010038","1","","0.3","201","0.3","3",""
"nyx_201_akino_01","2","","12010039","1","","0.3","201","0.3","3",""
"ミフユさんは動作\nチェックを念入りに\nお願いします！","103231","","12010040","10","","","201","","11",""
"","0","","12010041","","","","201","","91",""
"nyx_surprise","104831","1","12010042","0","","0.3","201","0.3","3","nyx_idle_surprise1"
"は、はいっ！\n…アキノさんが\n燃えてるわ…","104831","","12010043","10","","0","201","","11",""
"","0","","12010044","","","","201","","91",""
"nyx_talk_sad","104831","","12010045","1","","0.3","201","0.3","3",""
"でもなぜかしら\n不安だわ…\n不安しかない…","104831","","12010046","10","","0","201","","11",""
"","0","","12010047","","","","201","","91",""
"nyx_idle_bitter2","104831","","12010048","1","","0.3","201","0.3","3",""
"","0","","12010049","","","","201","","91",""
"","0.4","","12010050","","","","201","","93",""
"0","103231","","12010051","0","","","201","","4",""
"0","2","","12010052","","","","201","","4",""
"nyx_201_akino_02","103231","","12010053","1","","0.2","201","0.2","3",""
"nyx_201_akino_02","2","","12010054","1","","0.2","201","0.2","3",""
"199","103231","","12010055","-294.7","","","201","","2","2.2"
"199","2","","12010056","-294.7","","","201","","2","2.2"
"nyx_cmn_03","103431","","12010057","1","","0.2","201","0.2","3",""
"","2.2","","12010058","","","","201","","93",""
"10","103231","","12010059","1","","","201","","12",""
"nyx_201_akino_01","103231","","12010060","1","","0.2","201","0.2","3",""
"nyx_201_akino_01","2","","12010061","1","","0.2","201","0.2","3",""
"","0","","12010062","","","","201","","91",""
"nyx_idle_surprise1","103431","","12010063","1","","0.2","201","0.2","3",""
"","0","","12010064","","","","201","","91",""
"nyx_102_chloe_02","103431","","12010065","1","","0.2","201","0.2","3",""
"1","103231","","12010066","","","","201","","4",""
"1","2","","12010067","","","","201","","4",""
"nyx_201_akino_02","103231","","12010068","1","","0.2","201","0.2","3",""
"nyx_201_akino_02","2","","12010069","1","","0.2","201","0.2","3",""
"-235.4","103231","","12010070","-294.7","","","201","","2","2.2"
"-235.4","2","","12010071","-294.7","","","201","","2","2.2"
"","2.2","","12010072","","","","201","","93",""
"10","103231","","12010073","1","","","201","","12",""
"nyx_201_akino_01","103231","","12010074","1","","0.2","201","0.2","3",""
"nyx_201_akino_01","2","","12010075","1","","","201","0.2","3",""
"","3","","12010076","","","","201","","93",""
"cmn_nod_def_N","104631","1","12010077","0","","0.2","201","0.2","3","nyx_idle_normal"
"","0.8","","12010078","","","","201","","93",""
"3","104831","","12010079","1","","","201","","12",""
"nyx_talk_worry","104831","1","12010080","0","","0.2","201","0.2","3","nyx_idle_sad"
"","1","","12010081","","","","201","","93",""
"","12010051","","12010082","","","","201","","101",""
"3","1","-255","12020001","100","nyx_202_tamaki_03_loop","1.2","202","0","5","-136"
"103231","1","-286.1","12020002","110","nyx_idle_joy1","1.2","202","1","1","183.7"
"5","2","-286.1","12020003","120","nyx_202_yukari_01","1.2","202","1","5","312.6"
"103431","1","-286.1","12020004","110","nyx_202_yukari_01","1.2","202","1","1","312.6"
"104831","1","-286.1","12020005","120","nyx_idle_normal","1.2","202","0","1","-269.8"
"1","2","1","12020006","0","","1","202","","31","0"
"2","12","1","12020007","0","","1","202","","31","34"
"7","16","1","12020008","-74","","0","202","","31","130"
"4","3","-255","12020009","110","nyx_yagura_idle","1","202","0","5","-208"
"6","2","-286.1","12020010","120","NoItem","1.2","202","0","5","-269.8"
"bgm_M347","bgm_M347","","12020011","","","","202","","25",""
"","2","","12020012","","","","202","","93",""
"開発もなんだか\n楽しくなってきた\nにゃ～！","3","","12020013","10","","","202","","11",""
"","0","","12020014","","","","202","","91",""
"ここまで来たら\n世界一のたい焼き\nメカにするにゃ！","3","","12020015","10","","","202","","11",""
"","0","","12020016","","","","202","","91",""
"あたしの全てを\n注ぎ込んでやる\nにゃあ～～！","3","","12020017","10","","","202","","11",""
"","0.4","","12020018","","","","202","","93",""
"nyx_202_tamaki_03_puton","3","1","12020019","0","","0.2","202","","3","nyx_202_tamaki_loop"
"","12020017","","12020020","","","","202","","91",""
"nyx_202_tamaki_up","3","1","12020021","0","","0.2","202","","3","nyx_202_tamaki_01"
"nyx_yagura_up","4","1","12020022","0","","","202","","3","nyx_yagura_up_idle"
"","2.4","","12020023","","","","202","","93",""
"1","7","","12020024","","","","202","","32",""
"nyx_202_akino_01_loop","103231","","12020025","1","","0.2","202","","3",""
"おーほっほっほ！\n素晴らしい意気込み\nですわ、タマキさん","103231","","12020026","10","","","202","","11",""
"","0","","12020027","","","","202","","91",""
"nyx_talk_anger2","104831","","12020028","1","","0.2","202","","3",""
"設計図のどこにも\nたい焼きなんて\n書いてないわよ！？","104831","","12020029","10","","","202","","11",""
"","0","","12020030","","","","202","","91",""
"nyx_idle_anger2","103431","","12020031","1","","0.2","202","","3",""
"nyx_202_yukari_01","103431","","12020032","1","","0.2","202","","3",""
"ミフユさん…\nタマキさんなら\n大丈夫よ…ひっく","103431","","12020033","10","","","202","","11",""
"","0","","12020034","","","","202","","91",""
"nyx_cmn_05","104831","","12020035","0","","0.2","202","0.2","3","nyx_cmn_04"
"ユカリさん？\n何を飲んでるの？\n…買収されたわね？","104831","","12020036","10","","0","202","","11",""
"","0","","12020037","","","","202","","91",""
"nyx_202_yukari_01","103431","","12020038","1","","0.2","202","","3",""
"え～？\nにゃんのことぉ～？\n…うっふふ～♪","103431","","12020039","10","","","202","","11",""
"","0","","12020040","","","","202","","91",""
"","2","","12020041","","","","202","","93",""
"13","103231","","12020042","1","","","202","","12",""
"nyx_talk_joy2","103231","1","12020043","0","","0.2","202","0.2","3","nyx_202_akino_01_loop"
"","2.5","","12020044","","","","202","","93",""
"3","104831","","12020045","1","","","202","","12",""
"nyx_talk_anger2","104831","","12020046","1","","0.2","202","","3",""
"","2","","12020047","","","","202","","93",""
"nyx_cmn_02","104831","","12020048","0","","0.2","202","","3",""
"nyx_cmn_02","6","1","12020049","0","","0.2","202","","3","NoItem"
"","1","","12020050","","","","202","","93",""
"nyx_cmn_05","104831","1","12020051","0","","0.2","202","0.2","3","nyx_cmn_04"
"","2","","12020052","","","","202","","93",""
"5","103431","","12020053","1","","","202","","12",""
"nyx_203_yukari_01","5","1","12020054","0","","0.2","202","0.2","3","nyx_202_yukari_01"
"nyx_203_yukari_01","103431","1","12020055","0","","0.2","202","0.2","3","nyx_202_yukari_01"
"","1.2","","12020056","","","","202","","93",""
"11","3","","12020057","1","","","202","","12",""
"","0.8","","12020058","","","","202","","93",""
"","12020041","","12020059","","","","202","","101",""
"104831","1","-286","12030001","130","nyx_idle_normal","1.2","203","0","1","-300"
"104631","1","-286","12030002","100","nyx_idle_normal","1.2","203","1","1","316"
"103231","1","-286","12030003","100","nyx_idle_normal","1.2","203","1","1","110"
"103431","1","-10","12030004","100","nyx_203_yukari_01","1.2","203","0","1","-200"
"1","2","1","12030005","0","","1","203","","31","0"
"2","13","1","12030006","-80","","1","203","","31","34"
"3","2","-10","12030007","110","nyx_203_yukari_01","1.2","203","0","5","-200"
"4","3","-255","12030008","120","nyx_yagura_up_harf","1","203","0","5","-250"
"bgm_M347","bgm_M347","","12030009","","","","203","","25",""
"","2","","12030010","","","","203","","93",""
"あっれぇ～？\nここはどこぉ～？\n私はだれ～？","103431","","12030011","10","","","203","","11",""
"","0.6","","12030012","","","","203","","93",""
"nyx_lookup","103231","1","12030013","0","","0.2","203","0.2","3","nyx_lookup_loop2"
"","12030011","","12030014","","","","203","","91",""
"ん～？\nにゃ～にこの\nでっかいのぉ～","103431","","12030015","10","","","203","","11",""
"","0.6","","12030016","","","","203","","93",""
"nyx_lookup","104631","1","12030017","0","","0.2","203","0.2","3","nyx_lookup_loop2"
"","12030015","","12030018","","","","203","","91",""
"nyx_203_yukari_02","3","1","12030019","0","","0.2","203","","3","nyx_203_yukari_05"
"nyx_203_yukari_02","103431","1","12030020","0","","0.2","203","","3","nyx_203_yukari_05"
"あんたも麦しゅわ\n飲む～？\nお～いしいわよ～？","103431","","12030021","10","","","203","","11",""
"","0.4","","12030022","","","","203","","93",""
"nyx_lookup","104831","1","12030023","0","","0.2","203","0.2","3","nyx_lookup_loop2"
"","12030021","","12030024","","","","203","","91",""
"","0.2","","12030025","","","","203","","93",""
"nyx_cmn_02","104831","1","12030026","0","","0.2","203","0.2","3","nyx_idle_sad"
"何してるのよ\nユカリさん…","104831","","12030027","10","","0","203","","11",""
"","0.1","","12030028","","","","203","","93",""
"nyx_cmn_02","103231","1","12030029","0","","0.2","203","0.2","3","nyx_cmn_04"
"何してますの…\nユカリさん…","103231","","12030030","10","","","203","","11",""
"","0.1","","12030031","","","","203","","93",""
"nyx_cmn_02","104631","1","12030032","0","","0.2","203","0.2","3","nyx_idle_sad"
"何してるのにゃ\nユカリ…","104631","","12030033","10","","","203","","11",""
"","0","","12030034","","","","203","","91",""
