88b6d42d798675ae157f7247f47b46757daf519fec145bd261e142b29b36c85c,039a2d5540f1d8fb4a3da953b38a0f206320c6c93065178ec221ed2c48d05d7d,1d8b365cac1850ecff210388d5438d08442e69617bae02202a5799cbbb4493a2,db1eace372bde4a7de87ac9bcfba7aa1804c6d9e6733f71922f85e260d39b2b0,95db5e3aaf497a4f467919d058dae1343fc4e11e1befc3ff7b30aa9b8b854987,f980f48222259ba9e97d4d9779fdb3a3bd353f115aa79d486fd5cc18702f3801,f5ac76d77b6397093c45e939cd9502c5b3e32f648b21850e6e1716df31f113b6,cac1d00fdde3dabdac7e2e40c7eec798919ba27a757a6749ecf6bdfd85d61a08,f492c82b285e6fce636f4dbb70ead4f7d6ba1a05de7cd0ee5b74e6f51e71814f,45826e19b779fb1d84d51634f264ce60c058cc6e29cf412d01d6387d811ff343,1fc2d3f7248b5b1d8e24a68354eee93b2e4f118898acbcc0ef4cc6ede3ac44a9,408780927b88e4ce0c5121fbcefeb76a4fb7e6e4a660ecd03018aa8b69157d39,fdc378882a161a702a2675ea5ac8e24ecbd6f433d2d6b267e8d9e6a8a815111e,a571e6b540777bc7252fd9a6a9898d74fe0446320399601e771223e5867c8b46,0626ce863b35dee916041233f93f434ddd7ff1c460a3168179a266dc3fa1fa5b,93566ef72ed673cd999a52b0141471abf22eaa7f5d9d81e576a7dde44bb7ac37,4fc25830eb0c6cb9366b29f4c93888e7a7246122afa51a7255733869cc501634,589f573b3040727a8969d47711138d6e9d2b3ef34f774b8740ddc4bbe7ac302e,228ef110048b7c280abbe032ea94498d455a69b7436b72edb161b641ec4941d6
"240809","0","3000","2","25014","0","25102","2","3000","2","2","9000000000","abyss_reward_icon_masterpieces_piece","0","25015","1000","25021","10","92408"
"240810","0","3000","2","25011","0","25102","2","3000","2","2","10000000000","abyss_reward_icon_masterpieces_piece","0","25012","1000","25021","10","92408"
"240811","0","3000","2","25013","0","25102","2","3000","2","2","12000000000","abyss_reward_icon_masterpieces_piece","0","25015","1000","25021","10","92408"
"240812","0","3000","2","25012","0","25021","2","3000","2","2","16000000000","abyss_reward_icon_astralshard","0","25014","3000","25011","1000","92408"
"240813","0","3000","2","25014","0","25021","2","3000","2","2","20000000000","abyss_reward_icon_astralshard","0","25015","3000","25013","1000","92408"
"240814","0","3000","2","25012","0","25021","2","3000","2","2","25000000000","abyss_reward_icon_astralshard","0","25013","3000","25011","1000","92408"
"240815","0","0","0","0","0","90005","0","0","0","2","30000000000","abyss_reward_icon_hiseki","0","0","0","0","10","92408"
"240816","0","0","0","0","0","90005","0","0","0","2","35000000000","abyss_reward_icon_hiseki","0","0","0","0","20","92408"
"240817","0","0","0","0","0","90005","0","0","0","2","40000000000","abyss_reward_icon_hiseki","0","0","0","0","30","92408"
"240818","0","0","0","0","0","90005","0","0","0","2","50000000000","abyss_reward_icon_hiseki","0","0","0","0","50","92408"
"240901","0","1000","2","25014","0","25102","2","1000","2","2","1000000000","abyss_reward_icon_masterpieces_piece","0","25015","200","25021","10","92409"
"240902","0","1000","2","25012","0","25021","2","1000","2","2","2000000000","abyss_reward_icon_astralshard","0","25013","1000","25011","300","92409"
"240903","0","1000","2","25014","0","25102","2","1000","2","2","3000000000","abyss_reward_icon_masterpieces_piece","0","25015","500","25021","10","92409"
"240904","0","1000","2","25012","0","25021","2","1000","2","2","4000000000","abyss_reward_icon_astralshard","0","25013","1000","25011","500","92409"
"240905","0","1000","2","25014","0","25102","2","1000","2","2","5000000000","abyss_reward_icon_masterpieces_piece","0","25015","1000","25021","10","92409"
"240906","0","1000","2","25012","0","25021","2","1000","2","2","6000000000","abyss_reward_icon_astralshard","0","25013","1000","25011","1000","92409"
"240907","0","3000","2","25014","0","25102","2","3000","2","2","7000000000","abyss_reward_icon_masterpieces_piece","0","25015","1000","25021","10","92409"
"240908","0","3000","2","25012","0","25021","2","3000","2","2","8000000000","abyss_reward_icon_astralshard","0","25013","3000","25011","1000","92409"
"240909","0","3000","2","25014","0","25102","2","3000","2","2","9000000000","abyss_reward_icon_masterpieces_piece","0","25015","1000","25021","10","92409"
"240910","0","3000","2","25011","0","25102","2","3000","2","2","10000000000","abyss_reward_icon_masterpieces_piece","0","25012","1000","25021","10","92409"
"240911","0","3000","2","25013","0","25102","2","3000","2","2","12000000000","abyss_reward_icon_masterpieces_piece","0","25015","1000","25021","10","92409"
"240912","0","3000","2","25012","0","25021","2","3000","2","2","16000000000","abyss_reward_icon_astralshard","0","25014","3000","25011","1000","92409"
"240913","0","3000","2","25014","0","25021","2","3000","2","2","20000000000","abyss_reward_icon_astralshard","0","25015","3000","25013","1000","92409"
"240914","0","3000","2","25012","0","25021","2","3000","2","2","25000000000","abyss_reward_icon_astralshard","0","25013","3000","25011","1000","92409"
"240915","0","0","0","0","0","90005","0","0","0","2","30000000000","abyss_reward_icon_hiseki","0","0","0","0","10","92409"
"240916","0","0","0","0","0","90005","0","0","0","2","35000000000","abyss_reward_icon_hiseki","0","0","0","0","20","92409"
"240917","0","0","0","0","0","90005","0","0","0","2","40000000000","abyss_reward_icon_hiseki","0","0","0","0","30","92409"
"240918","0","0","0","0","0","90005","0","0","0","2","50000000000","abyss_reward_icon_hiseki","0","0","0","0","50","92409"
"241001","0","1000","2","25014","0","25102","2","1000","2","2","1000000000","abyss_reward_icon_masterpieces_piece","0","25015","200","25021","10","92410"
"241002","0","1000","2","25012","0","25021","2","1000","2","2","2000000000","abyss_reward_icon_astralshard","0","25013","1000","25011","300","92410"
"241003","0","1000","2","25014","0","25102","2","1000","2","2","3000000000","abyss_reward_icon_masterpieces_piece","0","25015","500","25021","10","92410"
"241004","0","1000","2","25012","0","25021","2","1000","2","2","4000000000","abyss_reward_icon_astralshard","0","25013","1000","25011","500","92410"
"241005","0","1000","2","25014","0","25102","2","1000","2","2","5000000000","abyss_reward_icon_masterpieces_piece","0","25015","1000","25021","10","92410"
"241006","0","1000","2","25012","0","25021","2","1000","2","2","6000000000","abyss_reward_icon_astralshard","0","25013","1000","25011","1000","92410"
"241007","0","3000","2","25014","0","25102","2","3000","2","2","7000000000","abyss_reward_icon_masterpieces_piece","0","25015","1000","25021","10","92410"
"241008","0","3000","2","25012","0","25021","2","3000","2","2","8000000000","abyss_reward_icon_astralshard","0","25013","3000","25011","1000","92410"
"241009","0","3000","2","25014","0","25102","2","3000","2","2","9000000000","abyss_reward_icon_masterpieces_piece","0","25015","1000","25021","10","92410"
"241010","0","3000","2","25011","0","25102","2","3000","2","2","10000000000","abyss_reward_icon_masterpieces_piece","0","25012","1000","25021","10","92410"
"241011","0","3000","2","25013","0","25102","2","3000","2","2","12000000000","abyss_reward_icon_masterpieces_piece","0","25015","1000","25021","10","92410"
"241012","0","3000","2","25012","0","25021","2","3000","2","2","16000000000","abyss_reward_icon_astralshard","0","25014","3000","25011","1000","92410"
"241013","0","3000","2","25014","0","25021","2","3000","2","2","20000000000","abyss_reward_icon_astralshard","0","25015","3000","25013","1000","92410"
"241014","0","3000","2","25012","0","25021","2","3000","2","2","25000000000","abyss_reward_icon_astralshard","0","25013","3000","25011","1000","92410"
"241015","0","0","0","0","0","90005","0","0","0","2","30000000000","abyss_reward_icon_hiseki","0","0","0","0","10","92410"
"241016","0","0","0","0","0","90005","0","0","0","2","35000000000","abyss_reward_icon_hiseki","0","0","0","0","20","92410"
"241017","0","0","0","0","0","90005","0","0","0","2","40000000000","abyss_reward_icon_hiseki","0","0","0","0","30","92410"
"241018","0","0","0","0","0","90005","0","0","0","2","50000000000","abyss_reward_icon_hiseki","0","0","0","0","50","92410"
"241019","0","0","0","0","0","140001","0","0","0","4","60000000000","abyss_reward_icon_piece_p_heart","0","0","0","0","50","92410"
"241020","0","0","0","0","0","140001","0","0","0","4","70000000000","abyss_reward_icon_piece_p_heart","0","0","0","0","50","92410"
"241101","0","1000","2","25014","0","25102","2","1000","2","2","1000000000","abyss_reward_icon_masterpieces_piece","0","25015","200","25021","10","92411"
"241102","0","1000","2","25012","0","25021","2","1000","2","2","2000000000","abyss_reward_icon_astralshard","0","25013","1000","25011","300","92411"
"241103","0","1000","2","25014","0","25102","2","1000","2","2","3000000000","abyss_reward_icon_masterpieces_piece","0","25015","500","25021","10","92411"
"241104","0","1000","2","25012","0","25021","2","1000","2","2","4000000000","abyss_reward_icon_astralshard","0","25013","1000","25011","500","92411"
"241105","0","1000","2","25014","0","25102","2","1000","2","2","5000000000","abyss_reward_icon_masterpieces_piece","0","25015","1000","25021","10","92411"
"241106","0","1000","2","25012","0","25021","2","1000","2","2","6000000000","abyss_reward_icon_astralshard","0","25013","1000","25011","1000","92411"
"241107","0","3000","2","25014","0","25102","2","3000","2","2","7000000000","abyss_reward_icon_masterpieces_piece","0","25015","1000","25021","10","92411"
"241108","0","3000","2","25012","0","25021","2","3000","2","2","8000000000","abyss_reward_icon_astralshard","0","25013","3000","25011","1000","92411"
"241109","0","3000","2","25014","0","25102","2","3000","2","2","9000000000","abyss_reward_icon_masterpieces_piece","0","25015","1000","25021","10","92411"
"241110","0","3000","2","25011","0","25102","2","3000","2","2","10000000000","abyss_reward_icon_masterpieces_piece","0","25012","1000","25021","10","92411"
"241111","0","3000","2","25013","0","25102","2","3000","2","2","12000000000","abyss_reward_icon_masterpieces_piece","0","25015","1000","25021","10","92411"
"241112","0","3000","2","25012","0","25021","2","3000","2","2","16000000000","abyss_reward_icon_astralshard","0","25014","3000","25011","1000","92411"
"241113","0","3000","2","25014","0","25021","2","3000","2","2","20000000000","abyss_reward_icon_astralshard","0","25015","3000","25013","1000","92411"
"241114","0","3000","2","25012","0","25021","2","3000","2","2","25000000000","abyss_reward_icon_astralshard","0","25013","3000","25011","1000","92411"
"241115","0","0","0","0","0","90005","0","0","0","2","30000000000","abyss_reward_icon_hiseki","0","0","0","0","10","92411"
"241116","0","0","0","0","0","90005","0","0","0","2","35000000000","abyss_reward_icon_hiseki","0","0","0","0","20","92411"
"241117","0","0","0","0","0","90005","0","0","0","2","40000000000","abyss_reward_icon_hiseki","0","0","0","0","30","92411"
"241118","0","0","0","0","0","90005","0","0","0","2","50000000000","abyss_reward_icon_hiseki","0","0","0","0","50","92411"
"241119","0","0","0","0","0","140001","0","0","0","4","60000000000","abyss_reward_icon_piece_p_heart","0","0","0","0","50","92411"
"241120","0","0","0","0","0","140001","0","0","0","4","70000000000","abyss_reward_icon_piece_p_heart","0","0","0","0","50","92411"
