627dfda7ddbe4546261a7ddbcf06bfed7696bb06666a7485e764349eade760a4,d97c75e0c8c8657f517a17851e030f671afda0dbd86f0054e0db8937711bec53,498e593abcecb50154f02ea5fe8755d8d13db7c5071d8db64d678269b1abe8d0,5329f054cd8207b9b5b6db51ca3e40ae5cbacf54c1f7350b618702b67169e1c4,26e0c8d86964fa58625930e14f028a5dda9c8d8bfc3dd1cab33705be370ec227
"7000","120","45","10017","119"
"3000","300","90","10017","120"
"7000","120","90","10018","121"
"3000","200","30","10018","122"
"7000","190","50","10019","123"
"3000","350","60","10019","124"
"7000","95","90","10020","125"
"3000","95","90","10020","126"
"7000","200","60","10021","127"
"3000","200","60","10021","128"
"7000","200","60","10022","129"
"3000","200","60","10022","130"
"7000","200","60","10023","131"
"3000","200","60","10023","132"
"7000","130","30","11001","133"
"3000","5","5","11001","134"
"7000","140","30","11002","135"
"3000","5","5","11002","136"
"7000","150","40","11003","137"
"3000","5","5","11003","138"
"7000","155","45","11004","139"
"3000","200","5","11004","140"
"7000","155","60","11005","141"
"3000","200","10","11005","142"
"7000","150","60","11006","143"
"3000","200","15","11006","144"
"7000","150","60","11007","145"
"3000","200","15","11007","146"
"7000","160","50","11008","147"
"3000","200","15","11008","148"
"7000","140","70","11009","149"
"3000","200","30","11009","150"
"7000","180","35","11010","151"
"3000","200","120","11010","152"
"7000","140","65","11011","153"
"3000","200","30","11011","154"
"7000","200","35","11012","155"
"3000","5","5","11012","156"
"7000","150","70","11013","157"
"3000","200","15","11013","158"
"7000","150","60","11014","159"
"3000","200","15","11014","160"
"7000","150","60","11015","161"
"3000","200","15","11015","162"
"7000","150","60","11016","163"
"3000","200","15","11016","164"
"7000","150","60","11017","165"
"3000","200","15","11017","166"
"7000","120","50","11018","167"
"3000","200","60","11018","168"
"7000","102","67","11019","169"
"3000","200","60","11019","170"
"7000","120","35","11020","171"
"3000","250","60","11020","172"
"5000","200","30","20001","173"
"5000","5","30","20001","174"
"5000","220","60","20002","175"
"5000","5","60","20002","176"
"5000","200","60","20003","177"
"5000","200","15","20003","178"
"5000","200","60","20004","179"
"5000","200","10","20004","180"
"5000","150","40","20005","181"
"5000","5","40","20005","182"
"5000","150","60","20006","183"
"5000","200","10","20006","184"
"5000","150","40","20007","185"
"5000","5","40","20007","186"
"5000","150","50","20008","187"
"5000","200","15","20008","188"
"5000","150","45","20009","189"
"5000","200","10","20009","190"
"5000","145","40","20010","191"
"5000","5","10","20010","192"
"5000","300","40","20011","193"
"5000","5","10","20011","194"
"5000","200","65","20012","195"
"5000","200","10","20012","196"
"5000","150","40","20013","197"
"5000","5","10","20013","198"
"5000","100","40","20014","199"
"5000","5","10","20014","200"
"5000","200","50","20015","201"
"5000","5","10","20015","202"
"5000","250","60","20016","203"
"5000","200","30","20016","204"
"5000","120","45","20017","205"
"5000","300","90","20017","206"
"5000","120","90","20018","207"
"5000","200","30","20018","208"
"5000","190","50","20019","209"
"5000","350","60","20019","210"
"5000","95","90","20020","211"
"5000","95","90","20020","212"
"5000","200","60","20021","213"
"5000","200","60","20021","214"
"5000","200","60","20022","215"
"5000","200","60","20022","216"
"5000","200","60","20023","217"
"5000","200","60","20023","218"
"5000","130","30","21001","219"
"5000","5","5","21001","220"
"5000","140","30","21002","221"
"5000","5","5","21002","222"
"5000","150","40","21003","223"
"5000","5","5","21003","224"
"5000","155","45","21004","225"
"5000","200","5","21004","226"
"5000","155","60","21005","227"
"5000","200","10","21005","228"
"5000","150","60","21006","229"
"5000","200","15","21006","230"
"5000","150","60","21007","231"
"5000","200","15","21007","232"
"5000","160","50","21008","233"
"5000","200","15","21008","234"
"5000","140","70","21009","235"
"5000","200","30","21009","236"
"5000","180","35","21010","237"
"5000","200","120","21010","238"
"5000","140","65","21011","239"
"5000","200","30","21011","240"
"5000","200","35","21012","241"
"5000","5","5","21012","242"
"5000","150","70","21013","243"
"5000","200","15","21013","244"
"5000","150","60","21014","245"
"5000","200","15","21014","246"
"5000","150","60","21015","247"
"5000","200","15","21015","248"
"5000","150","60","21016","249"
"5000","200","15","21016","250"
"5000","150","60","21017","251"
"5000","200","15","21017","252"
"5000","120","50","21018","253"
"5000","200","60","21018","254"
"5000","102","67","21019","255"
"5000","200","60","21019","256"
"5000","120","35","21020","257"
"5000","250","60","21020","258"
