019a457c18cd0830bd4ef0e0632725bc4aa3ef1b811f5eb393da8568b05a0195,612f41570cf7644ea75db0bcacda05ffba5d4e6fb5d2cb17f57898c053c88669,121c8e8f4c141786e92e2c7cb1929394726b70212cbac39caab6168af3c77918,63b1911a3150a06fa96791f799c151104ef4d478f409b26a4a27120c3cead371,6e799e3ed7735b265fac4cfc5bd4514b636162c30995936b24b23b897985a417,6ca60a47a639118574b4326dde830df7568f826fd25b955c1a06c2665d603150,6648d1a4ae9195236d4612a6d0ea521e86577a9db044ce4f1a7e5083d6149e5e,088ada6554edc746156c48608c11c809d0e315a16cbf522dca887c8b4176d039,062cc568e2b21a5504c67120a76262db75e3bea884b8af7c06f3c7c3d3a46cd4,d24b319f35a757c0233df622d7b6925bb758c834856455dad73146fe7afd0570,a01564bff67be042ee4dfb5e849adc779d5f3ccc0d3562fed841384962ba799e
"","0.2","","1","3","","105911","4514","","wac_birthday_idle_wish","4514038"
"0.01","","","-360","2","","105911","4514","","300","4514039"
"","0.2","","1","3","","106431","4514","","wac_birthday_idle_smile","4514040"
"0.01","","","-340","2","","106431","4514","","420","4514041"
"","","","","93","","0","4514","","","4514042"
"","","","","32","","800","4514","","1","4514043"
"","","","","93","","0.7","4514","","","4514044"
"","","","","32","","702","4514","","1","4514045"
"","","","","93","","0.5","4514","","","4514046"
"","","","0","23","","se_common","4514","","se_sys_login_birthday_blow_candle","4514047"
"","","","","32","","701","4514","","0","4514048"
"","","","","93","","0.4","4514","","","4514049"
"","","","0","23","","se_common","4514","","se_sys_login_birthday_cracker","4514050"
"","","","","32","","700","4514","","1","4514051"
"","","","0","23","","se_common","4514","","se_sys_login_birthday_calendar_applause","4514052"
"wac_birthday_idle_doya","0.2","0.2","0","3","1","106011","4514","","wac_birthday_clap","4514053"
"","","","","93","","0.1","4514","","","4514054"
"wac_birthday_idle_wish","0.2","0.2","0","3","1","105911","4514","","wac_birthday_clap_to_wish","4514055"
"","","","","93","","0.1","4514","","","4514056"
"wac_birthday_idle_smile","0.2","0.2","0","3","1","106431","4514","","wac_birthday_clap","4514057"
"","","","","93","","2","4514","","","4514058"
"","","","","131","","1","4514","","","4514059"
"0","","","0","21","","vo_wac_04514","4514","","vo_wac_04514_000","4514060"
"1","0","0","10","11","1","105811","4514","0.5","これって、誕生日ケーキですか！？\nありがとうございます♪\nとってもおいしそう……\nさっそくパクっといっちゃいますね♪","4514061"
"","","","","91","","0","4514","","","4514062"
"","0.2","","1","3","","105811","4514","","wac_birthday_idle_kyapi","4514063"
"","0.2","","1","3","","106011","4514","","wac_birthday_talk_normal","4514064"
"0","","","0","21","","vo_wac_04514","4514","","vo_wac_04514_001","4514065"
"1","0","0","10","11","1","106011","4514","0.5","ちょちょ、ストーーーップ！！\nまだろうそく外してないわよ！？\nほんと相変わらずね、あんたってば……\nふふっ、おめでと。","4514066"
"","","","","91","","0","4514","","","4514067"
"","0.2","","1","3","","106011","4514","","wac_birthday_idle_doya","4514068"
"","0.2","","1","3","","105811","4514","","wac_birthday_talk_kyapi","4514069"
"0","","","0","21","","vo_wac_04514","4514","","vo_wac_04514_002","4514070"
"1","0","0","10","11","1","105811","4514","0.5","えへへ、ありがとうございます♪\nいっぱい味わって食べますね！\nみんなに祝ってもらえて\n今日は最高の記念日です♪","4514071"
"","","","","91","","0","4514","","","4514072"
"","0.2","","1","3","","105811","4514","","wac_birthday_talk_wish","4514073"
"0","","","0","21","","vo_wac_04514","4514","","vo_wac_04514_003","4514074"
"1","0","0","10","11","1","105811","4514","0.5","今日も、明日も、この先の未来も\n素敵な食卓を囲んでいけますように♪\nもちろんあなたも一緒ですよ！\nこれからもよろしくお願いしますね！","4514075"
"","","","","91","","0","4514","","","4514076"
"","","","","22","","0","4514","","","4514077"
"","","","","25","","bgm_M321","4814","","bgm_M321_2C","4814001"
"-1000","2","0","250","1","-70","1","4814","wac_birthday_idle_normal","102011","4814002"
"230","2","1","256","1","-270","1","4814","wac_birthday_idle_doya","103611","4814003"
"410","2","1","257","1","-310","1","4814","wac_birthday_idle_kyapi","100411","4814004"
"","","","","13","","102011","4814","","300","4814005"
"","","","","13","","103611","4814","","300","4814006"
"0","1","","0","31","1","600","4814","","600","4814007"
"0","0","","0","31","1","602","4814","","602","4814008"
"0","0","","0","31","1","603","4814","","603","4814009"
"60","1","","30","31","1","604","4814","","604","4814010"
"0","1","","0","31","1","611","4814","","611","4814011"
"0","0","","0","31","1","700","4814","","700","4814012"
"0","0","","0","31","1","701","4814","","701","4814013"
"0","0","","0","31","1","702","4814","","702","4814014"
"0","0","","0","31","1","800","4814","","800","4814015"
"60","1","","30","31","1","901","4814","","901","4814016"
"","","","","93","","1","4814","","","4814017"
"wac_birthday_reaction_03","0.2","0.2","0","3","1","100411","4814","","wac_birthday_reaction_02","4814018"
"","","","","93","","0.1","4814","","","4814019"
"wac_birthday_reaction_04","0.2","0.2","0","3","1","103611","4814","","wac_birthday_reaction_01","4814020"
"","","","","93","","0.3","4814","","","4814021"
"","0.2","","1","3","","102011","4814","","wac_birthday_run_01","4814022"
"3","","","-70","2","","102011","4814","","0","4814023"
"","","","","93","","2.5","4814","","","4814024"
"","","","","32","","602","4814","","1","4814025"
"","","","","93","","0.6","4814","","","4814026"
"","","","","32","","600","4814","","0","4814027"
"","","","","32","","611","4814","","0","4814028"
"","","","","32","","604","4814","","0","4814029"
"","","","","32","","701","4814","","1","4814030"
"0.01","","","0","33","","901","4814","","0","4814031"
"wac_birthday_wish_02","0.2","0.2","0","3","1","102011","4814","","wac_birthday_blowout_02","4814032"
"0.01","","","-330","2","","102011","4814","","-200","4814033"
"","0.2","","1","3","","103611","4814","","wac_birthday_idle_doya","4814034"
"0.01","","","-320","2","","103611","4814","","180","4814035"
"","0.2","","1","3","","100411","4814","","wac_birthday_idle_kyapi","4814036"
"0.01","","","-340","2","","100411","4814","","320","4814037"
"","","","","93","","0","4814","","","4814038"
"","","","","32","","800","4814","","1","4814039"
"","","","","93","","0.7","4814","","","4814040"
"","","","","32","","702","4814","","1","4814041"
"","","","","93","","0.5","4814","","","4814042"
"","","","0","23","","se_common","4814","","se_sys_login_birthday_blow_candle","4814043"
"","","","","32","","701","4814","","0","4814044"
"","","","","93","","0.4","4814","","","4814045"
"","","","0","23","","se_common","4814","","se_sys_login_birthday_cracker","4814046"
"","","","","32","","700","4814","","1","4814047"
"","","","0","23","","se_common","4814","","se_sys_login_birthday_calendar_applause","4814048"
"wac_birthday_idle_doya","0.2","0.2","0","3","1","103611","4814","","wac_birthday_clap","4814049"
"","","","","93","","0.1","4814","","","4814050"
"wac_birthday_idle_kyapi","0.2","0.2","0","3","1","100411","4814","","wac_birthday_clap","4814051"
"","","","","93","","2","4814","","","4814052"
"","","","","131","","1","4814","","","4814053"
"0","","","0","21","","vo_wac_04814","4814","","vo_wac_04814_000","4814054"
"1","0","0","10","11","1","102011","4814","0.5","わあ～、ケーキだ～！\nお店屋さんで売ってるのより\nおっきい……！　すごいすごい♪","4814055"
"","","","","91","","0","4814","","","4814056"
"","0.2","","1","3","","102011","4814","","wac_birthday_idle_smile","4814057"
"","0.2","","1","3","","103611","4814","","wac_birthday_talk_doya","4814058"
"0","","","0","21","","vo_wac_04814","4814","","vo_wac_04814_001","4814059"
"1","0","0","10","11","1","103611","4814","0.5","こっそり作っておいたの！\nミソギがイタズラしてきて\n大変だったけど……\nミミ、お誕生日おめでとう♪","4814060"
"","","","","91","","0","4814","","","4814061"
"","0.2","","1","3","","103611","4814","","wac_birthday_idle_doya","4814062"
"","0.2","","1","3","","102011","4814","","wac_birthday_talk_smile","4814063"
"0","","","0","21","","vo_wac_04814","4814","","vo_wac_04814_002","4814064"
"1","0","0","10","11","1","102011","4814","0.5","えへへ、ふたりともありがとう～\nおとうさんとおかあさん、みんなからも\nケーキがもらえるなんて夢みたい……","4814065"
"","","","","91","","0","4814","","","4814066"
"","0.2","","1","3","","102011","4814","","wac_birthday_talk_kyapi","4814067"
"0","","","0","21","","vo_wac_04814","4814","","vo_wac_04814_003","4814068"
"1","0","0","10","11","1","102011","4814","0.5","ミミ、とっても幸せだよ～♪\nおにいちゃんもありがとう！\nみんなのお誕生日がきたら、ミミも\nぜ～ったいおいわいするからね♪","4814069"
"","","","","91","","0","4814","","","4814070"
"","","","","22","","0","4814","","","4814071"
"","","","","25","","bgm_M321","5014","","bgm_M321_2C","5014001"
"-1000","2","0","250","1","-70","1","5014","wac_birthday_idle_normal","100211","5014002"
"230","2","1","256","1","-270","1","5014","wac_birthday_idle_normal","100311","5014003"
"410","2","1","257","1","-310","1","5014","wac_birthday_idle_smile","100111","5014004"
"","","","","13","","100211","5014","","300","5014005"
"","","","","13","","100311","5014","","300","5014006"
"0","1","","0","31","1","600","5014","","600","5014007"
"0","0","","0","31","1","602","5014","","602","5014008"
"0","0","","0","31","1","603","5014","","603","5014009"
"60","1","","30","31","1","604","5014","","604","5014010"
"0","1","","0","31","1","611","5014","","611","5014011"
"0","0","","0","31","1","700","5014","","700","5014012"
"0","0","","0","31","1","701","5014","","701","5014013"
"0","0","","0","31","1","702","5014","","702","5014014"
"0","0","","0","31","1","800","5014","","800","5014015"
"60","1","","30","31","1","902","5014","","902","5014016"
"","","","","93","","1","5014","","","5014017"
"wac_birthday_reaction_03","0.2","0.2","0","3","1","100111","5014","","wac_birthday_reaction_02","5014018"
"","","","","93","","0.1","5014","","","5014019"
"wac_birthday_reaction_04","0.2","0.2","0","3","1","100311","5014","","wac_birthday_reaction_01","5014020"
"","","","","93","","0.3","5014","","","5014021"
"","0.2","","1","3","","100211","5014","","wac_birthday_run_01","5014022"
"3","","","-70","2","","100211","5014","","0","5014023"
"","","","","93","","2.5","5014","","","5014024"
"","","","","32","","602","5014","","1","5014025"
"","","","","93","","0.6","5014","","","5014026"
"","","","","32","","600","5014","","0","5014027"
"","","","","32","","611","5014","","0","5014028"
"","","","","32","","604","5014","","0","5014029"
"","","","","32","","701","5014","","1","5014030"
"0.01","","","0","33","","902","5014","","0","5014031"
"wac_birthday_wish_04","0.2","0.2","0","3","1","100211","5014","","wac_birthday_blowout_01","5014032"
"0.01","","","-330","2","","100211","5014","","-200","5014033"
"","0.2","","1","3","","100311","5014","","wac_birthday_idle_normal","5014034"
"0.01","","","-320","2","","100311","5014","","180","5014035"
"","0.2","","1","3","","100111","5014","","wac_birthday_idle_smile","5014036"
"0.01","","","-340","2","","100111","5014","","320","5014037"
"","","","","93","","0","5014","","","5014038"
"","","","","32","","800","5014","","1","5014039"
"","","","","93","","0.7","5014","","","5014040"
"","","","","32","","702","5014","","1","5014041"
"","","","","93","","0.5","5014","","","5014042"
"","","","0","23","","se_common","5014","","se_sys_login_birthday_blow_candle","5014043"
"","","","","32","","701","5014","","0","5014044"
"","","","","93","","0.4","5014","","","5014045"
"","","","0","23","","se_common","5014","","se_sys_login_birthday_cracker","5014046"
"","","","","32","","700","5014","","1","5014047"
"","","","0","23","","se_common","5014","","se_sys_login_birthday_calendar_applause","5014048"
"wac_birthday_idle_normal","0.2","0.2","0","3","1","100311","5014","","wac_birthday_clap","5014049"
"","","","","93","","0.1","5014","","","5014050"
"wac_birthday_idle_smile","0.2","0.2","0","3","1","100111","5014","","wac_birthday_clap","5014051"
"","","","","93","","2","5014","","","5014052"
"","","","","131","","1","5014","","","5014053"
"0","","","0","21","","vo_wac_05014","5014","","vo_wac_05014_000","5014054"
"1","0","0","10","11","1","100211","5014","0.5","この誕生日ケーキ、わたしにっ！？\nあっ、ありがとう……！\n……もしかしてこれ、\nふたりで手作りしてくれたの？","5014055"
"","","","","91","","0","5014","","","5014056"
"","0.2","","1","3","","100211","5014","","wac_birthday_idle_wish","5014057"
"","0.2","","1","3","","100311","5014","","wac_birthday_talk_normal","5014058"
"0","","","0","21","","vo_wac_05014","5014","","vo_wac_05014_001","5014059"
"1","0","0","10","11","1","100311","5014","0.5","うん。私とヒヨリで作ったんだ。\nユイにはいつだって助けられてるから\nせめてものお返しだよ。\n……誕生日おめでとう。ユイ。","5014060"
"","","","","91","","0","5014","","","5014061"
"","0.2","","1","3","","100311","5014","","wac_birthday_idle_normal","5014062"
"","0.2","","1","3","","100211","5014","","wac_birthday_talk_sad","5014063"
"0","","","0","21","","vo_wac_05014","5014","","vo_wac_05014_002","5014064"
"1","0","0","10","11","1","100211","5014","0.5","そ、そんな……わたしだって、いつも\n助けられてばっかりで……ご、ごめん！\nせっかくお祝いしてもらってるのに\nうれしくて泣いちゃいそう……！","5014065"
"","","","","91","","0","5014","","","5014066"
"","0.2","","1","3","","100211","5014","","wac_birthday_talk_smile","5014067"
"0","","","0","21","","vo_wac_05014","5014","","vo_wac_05014_003","5014068"
"1","0","0","10","11","1","100211","5014","0.5","騎士クンも、本当にありがとうね。\nみんなに祝福してもらえて\nわたし、最高に幸せだよ……！\n大事に味わって食べるね！","5014069"
"","","","","91","","0","5014","","","5014070"
"","","","","22","","0","5014","","","5014071"
"","","","","25","","bgm_M321","5214","","bgm_M321_2C","5214001"
"-1000","2","0","250","1","-70","1","5214","wac_birthday_idle_normal","105511","5214002"
"170","2","1","256","1","-260","1","5214","wac_birthday_idle_doya","105311","5214003"
"270","2","1","259","1","-310","1","5214","wac_birthday_idle_normal","104511","5214004"
"410","2","1","257","1","-270","1","5214","wac_birthday_idle_wish","100811","5214005"
"510","2","1","258","1","-310","1","5214","wac_birthday_idle_kyapi","103011","5214006"
"","","","","13","","105511","5214","","300","5214007"
"","","","","13","","105311","5214","","300","5214008"
"0","1","","0","31","1","600","5214","","600","5214009"
"0","0","","0","31","1","602","5214","","602","5214010"
"0","0","","0","31","1","603","5214","","603","5214011"
"60","1","","30","31","1","604","5214","","604","5214012"
"0","1","","0","31","1","611","5214","","611","5214013"
"0","0","","0","31","1","700","5214","","700","5214014"
"0","0","","0","31","1","701","5214","","701","5214015"
"0","0","","0","31","1","702","5214","","702","5214016"
"0","0","","0","31","1","800","5214","","800","5214017"
"60","1","","30","31","1","903","5214","","903","5214018"
"","","","","93","","1","5214","","","5214019"
"wac_birthday_reaction_03","0.2","0.2","0","3","1","104511","5214","","wac_birthday_reaction_05","5214020"
"wac_birthday_reaction_03","0.2","0.2","0","3","1","105311","5214","","wac_birthday_reaction_01","5214021"
"","","","","93","","0.1","5214","","","5214022"
"wac_birthday_reaction_04","0.2","0.2","0","3","1","100811","5214","","wac_birthday_reaction_01","5214023"
"wac_birthday_reaction_03","0.2","0.2","0","3","1","103011","5214","","wac_birthday_reaction_02","5214024"
"","","","","93","","0.3","5214","","","5214025"
"","0.2","","1","3","","105511","5214","","wac_birthday_run_01","5214026"
"3","","","-70","2","","105511","5214","","0","5214027"
"","","","","93","","2.5","5214","","","5214028"
"","","","","32","","602","5214","","1","5214029"
"","","","","93","","0.6","5214","","","5214030"
"","","","","32","","600","5214","","0","5214031"
"","","","","32","","611","5214","","0","5214032"
"","","","","32","","604","5214","","0","5214033"
"","","","","32","","701","5214","","1","5214034"
"0.01","","","0","33","","903","5214","","0","5214035"
"wac_birthday_wish_04","0.2","0.2","0","3","1","105511","5214","","wac_birthday_blowout_03","5214036"
"0.01","","","-330","2","","105511","5214","","-200","5214037"
"","0.2","","1","3","","105311","5214","","wac_birthday_idle_doya","5214038"
"0.01","","","-320","2","","105311","5214","","150","5214039"
"","0.2","","1","3","","104511","5214","","wac_birthday_idle_normal","5214040"
"0.01","","","-360","2","","104511","5214","","260","5214041"
"","0.2","","1","3","","100811","5214","","wac_birthday_idle_wish","5214042"
"0.01","","","-320","2","","100811","5214","","400","5214043"
"","0.2","","1","3","","103011","5214","","wac_birthday_idle_kyapi","5214044"
"0.01","","","-340","2","","103011","5214","","500","5214045"
"","","","","93","","0","5214","","","5214046"
"","","","","32","","800","5214","","1","5214047"
"","","","","93","","0.7","5214","","","5214048"
"","","","","32","","702","5214","","1","5214049"
"","","","","93","","0.5","5214","","","5214050"
"","","","0","23","","se_common","5214","","se_sys_login_birthday_blow_candle","5214051"
"","","","","32","","701","5214","","0","5214052"
"","","","","93","","0.4","5214","","","5214053"
"","","","0","23","","se_common","5214","","se_sys_login_birthday_cracker","5214054"
"","","","","32","","700","5214","","1","5214055"
"","","","0","23","","se_common","5214","","se_sys_login_birthday_calendar_applause","5214056"
"wac_birthday_idle_doya","0.2","0.2","0","3","1","105311","5214","","wac_birthday_clap","5214057"
"wac_birthday_idle_wish","0.2","0.2","0","3","1","100811","5214","","wac_birthday_clap_to_wish","5214058"
"","","","","93","","0.1","5214","","","5214059"
"wac_birthday_idle_normal","0.2","0.2","0","3","1","104511","5214","","wac_birthday_clap","5214060"
"","","","","93","","0.1","5214","","","5214061"
"wac_birthday_idle_kyapi","0.2","0.2","0","3","1","103011","5214","","wac_birthday_clap","5214062"
"","","","","93","","2","5214","","","5214063"
"","","","","131","","1","5214","","","5214064"
"0","","","0","21","","vo_wac_05214","5214","","vo_wac_05214_000","5214065"
"1","0","0","10","11","1","105511","5214","0.5","わぁ、お誕生日ケーキですか？\nおめでとうございます～\nいったい誰の……えっ、わ、私！？\n誕生日、覚えててくれたんですか……？","5214066"
"","","","","91","","0","5214","","","5214067"
"","0.2","","1","3","","105511","5214","","wac_birthday_idle_wish","5214068"
"","0.2","","1","3","","105311","5214","","wac_birthday_talk_smile","5214069"
"0","","","0","21","","vo_wac_05214","5214","","vo_wac_05214_001","5214070"
"1","0","0","10","11","1","105311","5214","0.5","忘れるはずがないだろう！\nアユミは我がギルドの数少ない良心……\nいや、重要な存在なのだからな！\n盛大に祝福させてくれ！　おめでとう！","5214071"
"","","","","91","","0","5214","","","5214072"
"","0.2","","1","3","","105311","5214","","wac_birthday_idle_doya","5214073"
"","0.2","","1","3","","105511","5214","","wac_birthday_talk_wish","5214074"
"0","","","0","21","","vo_wac_05214","5214","","vo_wac_05214_002","5214075"
"1","0","0","10","11","1","105511","5214","0.5","え、えっと……\nこれ、夢じゃないですよね？\nほっぺをつねっても……いひゃい！\nやっぱり夢じゃないれす！","5214076"
"","","","","91","","0","5214","","","5214077"
"","0.2","","1","3","","105511","5214","","wac_birthday_talk_smile","5214078"
"0","","","0","21","","vo_wac_05214","5214","","vo_wac_05214_003","5214079"
"1","0","0","10","11","1","105511","5214","0.5","うぅっ……あっ、ありがとうございます！\n先輩にもお祝いしてもらえて\nとってもうれしいです！\nえへへ、大切にいただきますね……♪","5214080"
"","","","","91","","0","5214","","","5214081"
"","","","","22","","0","5214","","","5214082"
"","","","","25","","bgm_M321","5514","","bgm_M321_2C","5514001"
"-1000","2","0","250","1","-70","1","5514","wac_birthday_idle_normal","101611","5514002"
"230","2","1","256","1","-270","1","5514","wac_birthday_idle_normal","105011","5514003"
"410","2","1","257","1","-310","1","5514","wac_birthday_idle_smile","101811","5514004"
"","","","","13","","101611","5514","","300","5514005"
"","","","","13","","105011","5514","","300","5514006"
"0","1","","0","31","1","600","5514","","600","5514007"
"0","0","","0","31","1","602","5514","","602","5514008"
"0","0","","0","31","1","603","5514","","603","5514009"
"60","1","","30","31","1","604","5514","","604","5514010"
"0","1","","0","31","1","611","5514","","611","5514011"
"0","0","","0","31","1","700","5514","","700","5514012"
"0","0","","0","31","1","701","5514","","701","5514013"
"0","0","","0","31","1","702","5514","","702","5514014"
"0","0","","0","31","1","800","5514","","800","5514015"
"60","1","","30","31","1","904","5514","","904","5514016"
"","","","","93","","1","5514","","","5514017"
"wac_birthday_reaction_04","0.2","0.2","0","3","1","101811","5514","","wac_birthday_reaction_01","5514018"
"","","","","93","","0.1","5514","","","5514019"
"wac_birthday_reaction_03","0.2","0.2","0","3","1","105011","5514","","wac_birthday_reaction_05","5514020"
"","","","","93","","0.3","5514","","","5514021"
"","0.2","","1","3","","101611","5514","","wac_birthday_run_01","5514022"
"3","","","-70","2","","101611","5514","","0","5514023"
"","","","","93","","2.5","5514","","","5514024"
"","","","","32","","602","5514","","1","5514025"
"","","","","93","","0.6","5514","","","5514026"
"","","","","32","","600","5514","","0","5514027"
"","","","","32","","611","5514","","0","5514028"
"","","","","32","","604","5514","","0","5514029"
"","","","","32","","701","5514","","1","5514030"
"0.01","","","0","33","","904","5514","","0","5514031"
"wac_birthday_wish_03","0.2","0.2","0","3","1","101611","5514","","wac_birthday_blowout_02","5514032"
"0.01","","","-330","2","","101611","5514","","-200","5514033"
"","0.2","","1","3","","105011","5514","","wac_birthday_idle_smile","5514034"
"0.01","","","-320","2","","105011","5514","","180","5514035"
"","0.2","","1","3","","101811","5514","","wac_birthday_idle_wish","5514036"
"0.01","","","-340","2","","101811","5514","","320","5514037"
"","","","","93","","0","5514","","","5514038"
"","","","","32","","800","5514","","1","5514039"
"","","","","93","","0.7","5514","","","5514040"
"","","","","32","","702","5514","","1","5514041"
"","","","","93","","0.5","5514","","","5514042"
"","","","0","23","","se_common","5514","","se_sys_login_birthday_blow_candle","5514043"
"","","","","32","","701","5514","","0","5514044"
"","","","","93","","0.4","5514","","","5514045"
"","","","0","23","","se_common","5514","","se_sys_login_birthday_cracker","5514046"
"","","","","32","","700","5514","","1","5514047"
"","","","0","23","","se_common","5514","","se_sys_login_birthday_calendar_applause","5514048"
"wac_birthday_idle_smile","0.2","0.2","0","3","1","105011","5514","","wac_birthday_clap","5514049"
"","","","","93","","0.1","5514","","","5514050"
"wac_birthday_idle_wish","0.2","0.2","0","3","1","101811","5514","","wac_birthday_clap_to_wish","5514051"
"","","","","93","","2","5514","","","5514052"
"","","","","131","","1","5514","","","5514053"
"0","","","0","21","","vo_wac_05514","5514","","vo_wac_05514_000","5514054"
"1","0","0","10","11","1","101611","5514","0.5","わわ、これってうちの誕生日ケーキ？\nこんなのあるなんて聞いてないし～！\nオニ感激なんだけど！？","5514055"
"","","","","91","","0","5514","","","5514056"
"","0.2","","1","3","","101611","5514","","wac_birthday_idle_kyapi","5514057"
"","0.2","","1","3","","105011","5514","","wac_birthday_talk_smile","5514058"
"0","","","0","21","","vo_wac_05514","5514","","vo_wac_05514_001","5514059"
"1","0","0","10","11","1","105011","5514","0.5","フフン、感謝しなさいよね～\nアタシとイオちゃんで徹夜して作っ……いや！\n大して苦労はしなかったけど！\nえっと……誕生日おめでと、スズナ。","5514060"
"","","","","91","","0","5514","","","5514061"
"","0.2","","1","3","","105011","5514","","wac_birthday_idle_smile","5514062"
"","0.2","","1","3","","101611","5514","","wac_birthday_talk_smile","5514063"
"0","","","0","21","","vo_wac_05514","5514","","vo_wac_05514_002","5514064"
"1","0","0","10","11","1","101611","5514","0.5","あはは、うん、ありがとっ！\nそれでミサキっちとちゃんイオ\n朝から甘～い匂いしてたんだね～","5514065"
"","","","","91","","0","5514","","","5514066"
"","0.2","","1","3","","101611","5514","","wac_birthday_talk_kyapi","5514067"
"0","","","0","21","","vo_wac_05514","5514","","vo_wac_05514_003","5514068"
"1","0","0","10","11","1","101611","5514","0.5","やっぱ持つべきものは\n友達だし……♪\nよーし、みんなでパーティーしよー！\nもちヒデサイも一緒だからね！","5514069"
"","","","","91","","0","5514","","","5514070"
"","","","","22","","0","5514","","","5514071"
"","","","","25","","bgm_M321","6214","","bgm_M321_2C","6214001"
"-1000","2","0","250","1","-70","1","6214","wac_birthday_idle_normal","106731","6214002"
"230","2","1","256","1","-270","1","6214","wac_birthday_idle_doya","106611","6214003"
"410","2","1","257","1","-310","1","6214","wac_birthday_idle_normal","106511","6214004"
"","","","","13","","106731","6214","","300","6214005"
"","","","","13","","106611","6214","","300","6214006"
"0","1","","0","31","1","600","6214","","600","6214007"
"0","0","","0","31","1","602","6214","","602","6214008"
"0","0","","0","31","1","603","6214","","603","6214009"
"60","1","","30","31","1","604","6214","","604","6214010"
"0","1","","0","31","1","611","6214","","611","6214011"
"0","0","","0","31","1","700","6214","","700","6214012"
"0","0","","0","31","1","701","6214","","701","6214013"
"0","0","","0","31","1","702","6214","","702","6214014"
"0","0","","0","31","1","800","6214","","800","6214015"
"60","1","","30","31","1","905","6214","","905","6214016"
"","","","","93","","1","6214","","","6214017"
"wac_birthday_reaction_03","0.2","0.2","0","3","1","106511","6214","","wac_birthday_reaction_02","6214018"
"","","","","93","","0.1","6214","","","6214019"
"wac_birthday_reaction_03","0.2","0.2","0","3","1","106611","6214","","wac_birthday_reaction_01","6214020"
"","","","","93","","0.3","6214","","","6214021"
"","0.2","","1","3","","106731","6214","","wac_birthday_run_01","6214022"
"3","","","-70","2","","106731","6214","","0","6214023"
"","","","","93","","2.5","6214","","","6214024"
"","","","","32","","602","6214","","1","6214025"
"","","","","93","","0.6","6214","","","6214026"
"","","","","32","","600","6214","","0","6214027"
"","","","","32","","611","6214","","0","6214028"
"","","","","32","","604","6214","","0","6214029"
"","","","","32","","701","6214","","1","6214030"
"0.01","","","0","33","","905","6214","","0","6214031"
