a0cd0d6d5e32010ebe67751a93492c84dd93543206f327bd9976a1791737a9f1,6bd4fafb45413d06a912d8c684b7be183d76c9d92864e1904c8150a035b01597,b70a053d82c8e476fcbe6324ad9f82f2d74b2697e76a111733b24d2e72cb970f,671cc8b5f59a070a4e7d59a9df879f129f12b397fa728bfc67210b143e6cd6bb,ee5c8392cc1c60e582f285dcd8d0eb928cb36604e1168d718245da93846070a4,89b72150a0b2184b6b60913d78bf85153d456994487ebf1dc36af971ab02d4e3,4a55d8da8caf6f2dedc1861060efd1a198c23dcd5656afb73a77ff1a930b727c,767ea9c71c929daf4af90fd9f3dd703e130fe404d47f3d450642fd87d3d23b09,ed42755766a6ed5f2771ea83e0dbd3f6c3d48cb48b4bdc262fa473fe07368b47,3ad453e4a06f02536edb65ee7e5c42da297ce676d30acc53feb597e28870f80e,68c631b703892dfae092b3d4906b22183d5b715c03767d2cba436c24b8a08689
"11","","10","1","","","112411","1030028","1","3","かわいいですよ～\n私たちの歌で、たくさんの\nぴにゃこら太さんを\n集められませんかね？"
"91","","","","","","0","1030029","","3",""
"3","","1","","","0","112411","1030030","","3","omp_psn_20"
"3","","1","","","0","112611","1030031","","3","omp_psn_19"
"21","","0","","","","vo_omp_7003","1030032","0","3","vo_omp_7003_005"
"11","","10","1","","","112611","1030033","1","3","いやー、どうだろう\nぴにゃこら太って\nオンリーワンみたいなところあるし…\nむしろオンリーワンであってほしいし…"
"91","","","","","","0","1030034","","3",""
"3","","1","","","0","112611","1030035","","3","omp_psn_18"
"3","","1","","","0","112411","1030036","","3","omp_talk_joy2"
"21","","0","","","","vo_omp_7003","1030037","0","3","vo_omp_7003_006"
"11","","10","1","","","112411","1030038","1","3","あっ、たしかにそうですね！\nまずは目の前のぴにゃこら太さんに\n認めてもらわなきゃですし♪"
"91","","","","","","0","1030039","","3",""
"3","","1","","","0","112411","1030040","","3","omp_psn_20"
"3","","1","","","0","112611","1030041","","3","omp_talk_sad"
"21","","0","","","","vo_omp_7003","1030042","0","3","vo_omp_7003_007"
"11","","10","1","","","112611","1030043","1","3","そういうことじゃないんだけど…\n集めるのあきらめてくれたなら\nまぁ、いっか！\nその調子で頑張ってこう、しまむー！"
"93","","","","","","6","1030044","","3","1"
"3","","1","","","0.2","112611","1030045","","3","omp_talk_joy2"
"91","","","","","","1030043","1030046","","3",""
"3","","1","","","0","112611","1030047","","3","omp_idle_joy2"
"3","","1","","","0","112411","1030048","","3","omp_talk_joy2"
"21","","0","","","","vo_omp_7003","1030049","0","3","vo_omp_7003_008"
"11","","10","1","","","112411","1030050","1","3","はい！\n一緒に頑張りましょう！"
"91","","","","","","0","1030051","","3",""
"93","","","","","","0.4","1030052","","3",""
"1","omp_talk_normal","1600","-195","0","1.8","1","1040001","-180","4","105831"
"1","omp_idle_normal","1500","-190","1","1.8","1","1040002","20","4","105931"
"1","omp_idle_normal","1600","-205","1","1.8","1","1040003","220","4","106031"
"31","","0","1","","1","1","1040004","0","4","1"
"93","","","","","","1","1040005","","4",""
"21","","0","","","","vo_omp_7004","1040006","0","4","vo_omp_7004_000"
"11","","10","1","","","105831","1040007","1","4","せっかくですから\nわたしたちもアイドルを\nしてみませんか？"
"91","","","","","","0","1040008","","4",""
"3","","1","","","0","105831","1040009","","4","omp_idle_normal"
"3","","1","","","0","105931","1040010","","4","omp_talk_normal"
"21","","0","","","","vo_omp_7004","1040011","0","4","vo_omp_7004_001"
"11","","10","1","","","105931","1040012","1","4","アイドルユニット\n【美食殿】でございますね\nとても楽しそうです"
"91","","","","","","0","1040013","","4",""
"4","","","","","","105931","1040014","","4","0"
"3","","1","","","0","105931","1040015","","4","omp_idle_normal"
"3","","0","1","","0","106031","1040016","omp_idle_surprise1","4","omp_surprise"
"21","","0","","","","vo_omp_7004","1040017","0","4","vo_omp_7004_002"
"11","","10","1","","","106031","1040018","1","4","えっ！？　ホントに…！？\nじゃ、じゃなくて\nバカじゃないのあんたたち！？"
"93","","","","","","2","1040019","","4","1"
"3","","1","","","0.1","106031","1040020","","4","omp_talk_tsun"
"91","","","","","","1040018","1040021","","4",""
"3","","1","","","0","106031","1040022","","4","omp_talk_tsun"
"21","","0","","","","vo_omp_7004","1040023","0","4","vo_omp_7004_003"
"11","","10","1","","","106031","1040024","1","4","あの３人を見て\nアイドルがどれだけ大変か\n分かんなかったっての？"
"91","","","","","","0","1040025","","4",""
"3","","1","","","0","106031","1040026","","4","omp_idle_tsun"
"3","","1","","","0","105931","1040027","","4","omp_talk_worry"
"21","","0","","","","vo_omp_7004","1040028","0","4","vo_omp_7004_004"
"11","","10","1","","","105931","1040029","1","4","それはそうでございますが…\n好奇心が勝ってしまいまして"
"91","","","","","","0","1040030","","4",""
"4","","","","","","105931","1040031","","4","1"
"3","","1","","","0","105931","1040032","","4","omp_idle_worry"
"3","","1","","","0","105831","1040033","","4","omp_talk_joy1"
"21","","0","","","","vo_omp_7004","1040034","0","4","vo_omp_7004_005"
"11","","10","1","","","105831","1040035","1","4","コッコロちゃんの言う通りですよ！\nさあ、決めポーズの練習をしましょう！\nいえーい！"
"93","","","","","","5.5","1040036","","4","1"
"3","","0","","","0.2","105831","1040037","","4","omp_psn_11"
"91","","","","","","1040035","1040038","","4",""
"3","","1","","","0","105931","1040039","","4","omp_talk_normal"
"21","","0","","","","vo_omp_7004","1040040","0","4","vo_omp_7004_006"
"11","","10","1","","","105931","1040041","1","4","はい♪\nいえーい、でございます…！"
"93","","","","","","1.5","1040042","","4","1"
"3","","0","1","","0.2","105931","1040043","","4","omp_psn_11"
"91","","","","","","1040041","1040044","","4",""
"4","","","","","","105931","1040045","","4","0"
"3","","1","","","0","105931","1040046","","4","omp_idle_normal"
"3","","1","","","0.2","105831","1040047","","4","omp_idle_joy1"
"3","","1","","","0","106031","1040048","","4","omp_idle_tsun"
"21","","0","","","","vo_omp_7004","1040049","0","4","vo_omp_7004_007"
"11","","10","1","","","106031","1040050","1","4","いえーい、ってねぇ\nこれくらいしてみせなさいよ！\n―よろしくにゃん♪"
"93","","","","","","7","1040051","","4","1"
"3","","0","","","0.1","106031","1040052","","4","omp_psn_12"
"93","","","","","","1.5","1040053","","4",""
"91","","","","","","1040050","1040054","","4",""
"3","","1","","","0.2","106031","1040055","","4","omp_idle_normal"
"3","","1","","","0","105831","1040056","","4","omp_idle_surprise1"
"21","","0","","","","vo_omp_7004","1040057","0","4","vo_omp_7004_008"
"11","","10","1","","","105831","1040058","1","4","キャ、キャルちゃん…"
"91","","","","","","0","1040059","","4",""
"3","","1","","","0","105831","1040060","","4","omp_idle_surprise1"
"3","","1","","","0","105931","1040061","","4","omp_talk_sad"
"21","","0","","","","vo_omp_7004","1040062","0","4","vo_omp_7004_009"
"11","","10","1","","","105931","1040063","1","4","ものすごく、本気でございますね"
"91","","","","","","0","1040064","","4",""
"3","","1","","","0","105931","1040065","","4","omp_idle_sad"
"3","","0","1","0.1","0","106031","1040066","omp_talk_surprise2","4","omp_surprise"
"21","","0","","","","vo_omp_7004","1040067","0","4","vo_omp_7004_010"
"11","","10","1","","","106031","1040068","1","4","はっ…！\nち、違うの今のは\n条件反射っていうか…\nも、もう！　こっち見んなバカ～！"
"93","","","","","","6.5","1040069","","4","1"
"3","","1","","","0.2","106031","1040070","","4","omp_talk_tsun"
"91","","","","","","1040068","1040071","","4",""
"93","","","","","","0.4","1040072","","4",""
"1","omp_talk_joy1","1500","-190","0","1.8","1","1050001","-140","5","112611"
"1","omp_idle_normal","1500","-190","1","1.8","1","1050002","140","5","112511"
"31","","0","1","","1","1","1050003","0","5","1"
"93","","","","","","1","1050004","","5",""
"21","","0","","","","vo_omp_7005","1050005","0","5","vo_omp_7005_000"
"11","","10","1","","","112611","1050006","1","5","冒険者としていろんなところへ\n行ったりしたけど\n今回の旅が一番楽しいね！"
"91","","","","","","0","1050007","","5",""
"3","","1","","","0","112611","1050008","","5","omp_idle_joy1"
"3","","1","","","0","112511","1050009","","5","omp_talk_normal"
"21","","0","","","","vo_omp_7005","1050010","0","5","vo_omp_7005_001"
"11","","10","1","","","112511","1050011","1","5","そう、かもね\n誰かの手伝いっていうわけじゃなくて\n自分たちの目的のために\n進んでるからかな"
"91","","","","","","0","1050012","","5",""
"3","","1","","","0","112511","1050013","","5","omp_idle_normal"
"3","","1","","","0","112611","1050014","","5","omp_talk_joy1"
"21","","0","","","","vo_omp_7005","1050015","0","5","vo_omp_7005_002"
"11","","10","1","","","112611","1050016","1","5","私たちが楽しんで\n私たちを見てくれる人も\n楽しんでくれたら最高だよね\nそんな風になれるかな…"
"93","","","","","","6.2","1050017","","5","1"
"3","","1","","","0.2","112611","1050018","","5","omp_talk_thinking"
"91","","","","","","1050016","1050019","","5",""
"3","","1","","","0","112611","1050020","","5","omp_idle_thinking"
"3","","1","","","0","112511","1050021","","5","omp_talk_normal2"
"21","","0","","","","vo_omp_7005","1050022","0","5","vo_omp_7005_003"
"11","","10","1","","","112511","1050023","1","5","ミオなら…ううん\n私たちならなれるよ\n一緒に頑張ろう"
"91","","","","","","0","1050024","","5",""
"3","","1","","","0","112511","1050025","","5","omp_idle_calm"
"3","","1","","","0.1","112611","1050026","","5","omp_talk_sad"
"21","","0","","","","vo_omp_7005","1050027","0","5","vo_omp_7005_004"
"11","","10","1","","","112611","1050028","1","5","し…し…"
"91","","","","","","0","1050029","","5",""
"3","","1","","","0","112611","1050030","","5","omp_idle_sad"
"3","","1","","","0","112511","1050031","","5","omp_psn_19"
"21","","0","","","","vo_omp_7005","1050032","0","5","vo_omp_7005_005"
"11","","10","1","","","112511","1050033","1","5","し…？"
"91","","","","","","0","1050034","","5",""
"3","","1","","","0","112511","1050035","","5","omp_psn_18"
"3","","1","","","0","112611","1050036","","5","omp_talk_sad"
"21","","0","","","","vo_omp_7005","1050037","0","5","vo_omp_7005_006"
"11","","10","1","","","112611","1050038","1","5","しぶりんがいつになく優しい…！？\nどうしたのっ、ヘンなものでも食べた！？"
"93","","","","","","4.5","1050039","","5","1"
"3","","1","","","0.2","112611","1050040","","5","omp_talk_surprise2"
"91","","","","","","1050038","1050041","","5",""
"3","","1","","","0","112611","1050042","","5","omp_idle_surprise2"
"3","","1","","","0","112511","1050043","","5","omp_talk_normal"
"21","","0","","","","vo_omp_7005","1050044","0","5","vo_omp_7005_007"
"11","","10","1","","","112511","1050045","1","5","さっき、ペコリーヌの魔物料理を…\nって、これじゃあいつもの\n私が優しくないみたいじゃん\nせっかく励まそうと思ったのに…"
"93","","","","","","3.5","1050046","","5","1"
"3","","1","","","0.2","112511","1050047","","5","omp_talk_anger"
"91","","","","","","1050045","1050048","","5",""
"3","","1","","","0","112511","1050049","","5","omp_idle_anger"
"3","","1","","","0","112611","1050050","","5","omp_talk_joy1"
"21","","0","","","","vo_omp_7005","1050051","0","5","vo_omp_7005_008"
"11","","10","1","","","112611","1050052","1","5","えへへ、ごめんごめん☆"
"91","","","","","","0","1050053","","5",""
"3","","1","","","0","112611","1050054","","5","omp_idle_joy1"
"3","","1","","","0","112511","1050055","","5","omp_talk_sad"
"21","","0","","","","vo_omp_7005","1050056","0","5","vo_omp_7005_009"
"11","","10","1","","","112511","1050057","1","5","まったく\n…けど、さっきのは\nほんとのことだからね"
"93","","","","","","2","1050058","","5","1"
"3","","1","","","0.2","112511","1050059","","5","omp_talk_normal"
"91","","","","","","1050057","1050060","","5",""
"3","","1","","","0","112511","1050061","","5","omp_idle_normal"
"3","","1","","","0","112611","1050062","","5","omp_talk_joy2"
"21","","0","","","","vo_omp_7005","1050063","0","5","vo_omp_7005_010"
"11","","10","1","","","112611","1050064","1","5","うん！\nありがとっ、しぶりん！"
"91","","","","","","0","1050065","","5",""
"93","","","","","","0.4","1050066","","5",""
"1","omp_talk_normal","1600","-195","0","1.8","1","1060001","-180","6","112511"
"1","omp_idle_normal","1500","-190","1","1.8","1","1060002","20","6","112411"
"1","omp_idle_normal","1600","-205","1","1.8","1","1060003","220","6","112611"
"31","","0","1","","1","1","1060004","0","6","1"
"93","","","","","","1","1060005","","6",""
"21","","0","","","","vo_omp_7006","1060006","0","6","vo_omp_7006_000"
"11","","10","1","","","112511","1060007","1","6","ウヅキ…\n今日のレッスン\nすごく気合が入ってたね"
"91","","","","","","0","1060008","","6",""
"3","","1","","","0","112511","1060009","","6","omp_idle_normal"
"3","","1","","","0","112611","1060010","","6","omp_talk_joy1"
"21","","0","","","","vo_omp_7006","1060011","0","6","vo_omp_7006_001"
"11","","10","1","","","112611","1060012","1","6","うんうん！\n一緒にレッスンしてるこっちが\n見とれちゃうくらいだったよ～！\nなにかあったのしまむー？"
"91","","","","","","0","1060013","","6",""
"4","","","","","","112411","1060014","","6","0"
"3","","1","","","0","112611","1060015","","6","omp_idle_joy1"
"3","","1","","","0","112411","1060016","","6","omp_talk_joy1"
"21","","0","","","","vo_omp_7006","1060017","0","6","vo_omp_7006_002"
"11","","10","1","","","112411","1060018","1","6","えへへっ、ありがとうございます！\nえっと…"
"91","","","","","","0","1060019","","6",""
"3","","1","","","0","112411","1060020","","6","omp_talk_normal"
"21","","0","","","","vo_omp_7006","1060021","0","6","vo_omp_7006_003"
"11","","10","1","","","112411","1060022","1","6","朝、一人でレッスンしてたら\nお散歩してた人から\n『いつも頑張ってるね』って\n言ってもらえたんです"
"91","","","","","","0","1060023","","6",""
"3","","1","","","0","112411","1060024","","6","omp_talk_thinking"
"21","","0","","","","vo_omp_7006","1060025","0","6","vo_omp_7006_004"
"11","","10","1","","","112411","1060026","1","6","あの人にとっては何気ない\n一言だったのかも知れないですけど\n私にはそれがとてもうれしくて"
"91","","","","","","0","1060027","","6",""
"3","","1","","","0","112411","1060028","","6","omp_talk_normal2"
"21","","0","","","","vo_omp_7006","1060029","0","6","vo_omp_7006_005"
"11","","10","1","","","112411","1060030","1","6","だからもっともっと頑張って\n最高のステージをすることで\nその言葉にお返しが\nできたらなって…"
"91","","","","","","0","1060031","","6",""
"3","","1","","","0","112411","1060032","","6","omp_idle_calm"
"3","","1","","","0","112611","1060033","","6","omp_talk_sad"
"21","","0","","","","vo_omp_7006","1060034","0","6","vo_omp_7006_006"
"11","","10","1","","","112611","1060035","1","6","しまむー…！"
"91","","","","","","0","1060036","","6",""
"4","","","","","","112411","1060037","","6","1"
"3","","1","","","0","112611","1060038","","6","omp_idle_sad"
"3","","1","","","0","112511","1060039","","6","omp_talk_thinking"
"21","","0","","","","vo_omp_7006","1060040","0","6","vo_omp_7006_007"
"11","","10","1","","","112511","1060041","1","6","そっか\nそんなウヅキだから、私たちは\n一緒にやっていきたいって思うんだよ\nミオもそうだよね？"
"91","","","","","","0","1060042","","6",""
"4","","","","","","112411","1060043","","6","0"
"3","","1","","","0","112511","1060044","","6","omp_idle_thinking"
"3","","1","","","0","112611","1060045","","6","omp_talk_joy1"
"21","","0","","","","vo_omp_7006","1060046","0","6","vo_omp_7006_008"
"11","","10","1","","","112611","1060047","1","6","うん！　これからも３人で\n頑張っていこうね！\nしまむー、しぶりん！"
"91","","","","","","0","1060048","","6",""
"4","","","","","","112411","1060049","","6","1"
"3","","1","","","0","112611","1060050","","6","omp_idle_joy1"
"3","","1","","","0","112411","1060051","","6","omp_talk_joy2"
"21","","0","","","","vo_omp_7006","1060052","0","6","vo_omp_7006_009"
"11","","10","1","","","112411","1060053","1","6","リンちゃん、ミオちゃん…！　はい！\n【ニュージェネレーションズ】みんなで\n最高のアイドルを目指しましょう！"
"93","","","","","","1.2","1060054","","6","1"
"4","","","","","","112411","1060055","","6","0"
"91","","","","","","1060053","1060056","","6",""
"2","","-195","1","","","112511","1060057","0","6","-180"
"2","","-190","1","","","112411","1060058","0","6","0"
"2","","-195","1","","","112611","1060059","0","6","180"
"3","","0","","","0.1","112511","1060060","","6","omp_psn_dicision_rin"
"3","","0","","","0.1","112411","1060061","","6","omp_psn_dicision_uduki"
"3","","0","","","0.1","112611","1060062","","6","omp_psn_dicision_mio"
"31","","0","1","","1","2","1060063","0","6","2"
"91","","","","","","1060062","1060064","","6",""
"93","","","","","","0.6","1060065","","6",""
"1","omp_idle_normal","1600","-205","0","1.8","1","1070001","-100","7","105831"
"1","omp_idle_normal","1600","-225","0","1.8","1","1070002","-390","7","105931"
"1","omp_idle_normal","1500","-190","0","1.8","1","1070003","-260","7","106031"
"1","omp_idle_normal","1500","-185","1","1.8","1","1070004","250","7","112511"
"1","omp_idle_normal","1600","-220","1","1.8","1","1070005","385","7","112411"
"1","omp_idle_normal","1600","-195","1","1.8","1","1070006","100","7","112611"
"31","","0","1","","1","1","1070007","0","7","1"
"93","","","","","","0.2","1070008","","7",""
"3","","1","","","0.1","112611","1070009","","7","omp_idle_normal"
"3","","1","","","0","112411","1070010","","7","omp_talk_normal"
"3","","1","","","0.1","112511","1070011","","7","omp_idle_normal"
"3","","1","","","0.1","105831","1070012","","7","omp_idle_normal"
"93","","","","","","0.1","1070013","","7",""
"93","","","","","","1","1070014","","7",""
"21","","0","","","","vo_omp_7007","1070015","0","7","vo_omp_7007_000"
"11","","10","1","","","112411","1070016","1","7","今思うと…最初のゲリラLIVEは\nほんとうにいっぱいいっぱいでしたね"
"91","","","","","","0","1070017","","7",""
"3","","1","","","0.1","112411","1070018","","7","omp_idle_normal"
"3","","1","","","0.1","105831","1070019","","7","omp_talk_normal"
"21","","0","","","","vo_omp_7007","1070020","0","7","vo_omp_7007_001"
"11","","10","1","","","105831","1070021","1","7","緊張してるのが見てて分かりましたよ\nなんだかこっちまで緊張して\nお腹が締め付けられる思いでしたよ～"
"91","","","","","","0","1070022","","7",""
"3","","1","","","0","105831","1070023","","7","omp_idle_normal"
"3","","1","","","0","105931","1070024","","7","omp_talk_worry"
"21","","0","","","","vo_omp_7007","1070025","0","7","vo_omp_7007_002"
"11","","10","1","","","105931","1070026","1","7","ペコリーヌさまの場合は、\n空腹で締め付けられていた\n可能性もありますが…"
"91","","","","","","0","1070027","","7",""
"3","","1","","","0","105931","1070028","","7","omp_idle_worry"
"3","","1","","","0","106031","1070029","","7","omp_talk_normal"
"21","","0","","","","vo_omp_7007","1070030","0","7","vo_omp_7007_003"
"11","","10","1","","","106031","1070031","1","7","まーたしかに、あのときの\nウヅキたちのゲリラLIVEは\nほんとにボロボロだったわね！"
"91","","","","","","0","1070032","","7",""
"3","","1","","","0","106031","1070033","","7","omp_idle_normal"
"3","","1","","","0","112611","1070034","","7","omp_talk_worry"
"21","","0","","","","vo_omp_7007","1070035","0","7","vo_omp_7007_004"
"11","","10","1","","","112611","1070036","1","7","もうっ、キャルキャル～\nあんま言わないでよ～！\n私たちだってわかってるんだからさ～"
"91","","","","","","0","1070037","","7",""
"3","","1","","","0","112611","1070038","","7","omp_idle_worry"
"3","","1","","","0","105931","1070039","","7","omp_talk_normal2"
"21","","0","","","","vo_omp_7007","1070040","0","7","vo_omp_7007_005"
"11","","10","1","","","105931","1070041","1","7","でも、自分たちで立ち上がって\n再び舞台に立つ姿…\nわたくし、感動いたしました"
"91","","","","","","0","1070042","","7",""
"3","","1","","","0","105931","1070043","","7","omp_idle_calm"
"3","","1","","","0","112511","1070044","","7","omp_talk_normal2"
"21","","0","","","","vo_omp_7007","1070045","0","7","vo_omp_7007_006"
"11","","10","1","","","112511","1070046","1","7","あれくらいで立ち止まる気は\nなかったからね\nウヅキもミオも、絶対立ち上がるって\n信じてたよ"
