8814aa2b7a6eb0d2ceecbde1703a45df8e2f7ef72dd1f1511880ad16fc7a20cb,f772d0ad0be0db616c76800a5c06fecdc4100067a5083ad6f69a6cb1489c7ec4,bee12fbf53beefe10185700687ce7e7ab30db12e23d9219fc40d9792f5d11112,49d4527ee180838c44cefb0436d86228fd213225b8fead43c3004f44bd1ab9d1,92f7565e0fcad5bcca4f5d3b1d58e73274710c289c3b25438aad0a94213346ae,11c9f568897102769190c0161afdd8552c0852a86375e5202f8d2ccfae2e7dec,212add5d325b3896fc9e4b7143ca0210273691d64c9bbd7babfd8479e4366199,3056476b865b2a17786a87256e0e813def0770102e674a73a03e3db10ddec2ed,65b1dbaa387be5e6aeeffd053a092ab78ac087fd6b3192975dc9a74c54be722f,de6a53d36e7fcbae1c0e40e347628eb92ebb240f5c727b00ae98795dd33e6b5f,c5b6a421ea64e929924f1f3215562b67b69548ad6288079f9994f2a62b162351
"1","112411","10","","1","もしかして…\nリンちゃんは楽しくないですか？","11","","1","1010021",""
"","0","","","","","91","","1","1010022",""
"","112411","1","0","","omp_idle_sad","3","","1","1010023",""
"omp_idle_surprise1","112511","0","0","1","omp_surprise","3","0.1","1","1010024",""
"0","vo_omp_7001","0","","","vo_omp_7001_004","21","","1","1010025",""
"1","112511","10","","1","えっ？　どうして？\nそんなことないよ\n私も…すごく楽しい","11","","1","1010026",""
"","2.5","","","","1","93","","1","1010027",""
"","112511","1","0.2","","omp_talk_normal","3","","1","1010028",""
"","1010026","","","","","91","","1","1010029",""
"","112511","1","0","","omp_idle_normal","3","","1","1010030",""
"","112411","1","0","","omp_talk_joy2","3","","1","1010031",""
"0","vo_omp_7001","0","","","vo_omp_7001_005","21","","1","1010032",""
"1","112411","10","","1","えへへっ♪\nそれなら安心してください！\nリンちゃんが楽しいなら\n私も楽しいですから！","11","","1","1010033",""
"","0","","","","","91","","1","1010034",""
"","112511","1","","","0","4","","1","1010035",""
"","112411","1","0","","omp_psn_20","3","","1","1010036",""
"","112511","1","0","","omp_idle_normal","3","","1","1010037",""
"0","vo_omp_7001","0","","","vo_omp_7001_006","21","","1","1010038",""
"1","112511","10","","1","心配してたつもりなのに…\n私が励まされちゃった\nウヅキはやっぱりすごいな…","11","","1","1010039",""
"","0","","","","","91","","1","1010040",""
"","0.4","","","","","93","","1","1010041",""
"-180","1","1600","1.8","-195","112511","1","0","2","1020001","omp_idle_normal"
"20","1","1500","1.8","-190","112411","1","1","2","1020002","omp_talk_normal"
"220","1","1600","1.8","-205","112611","1","1","2","1020003","omp_idle_normal"
"0","1","0","1","1","1","31","","2","1020004",""
"","1","","","","","93","","2","1020005",""
"0","vo_omp_7002","0","","","vo_omp_7002_000","21","","2","1020006",""
"1","112411","10","","1","ペコリーヌちゃんの魔物料理、\n美味しかったですね♪","11","","2","1020007",""
"","0","","","","","91","","2","1020008",""
"","112411","","","","0","4","","2","1020009",""
"","112411","1","0","","omp_idle_normal","3","","2","1020010",""
"","112611","1","0","","omp_talk_joy1","3","","2","1020011",""
"0","vo_omp_7002","0","","","vo_omp_7002_001","21","","2","1020012",""
"1","112611","10","","1","うん！　美味しかったし\n冒険の醍醐味って感じがして…\nすごい経験しちゃったなって！","11","","2","1020013",""
"","0","","","","","91","","2","1020014",""
"","112611","1","0","","omp_idle_joy1","3","","2","1020015",""
"","112411","1","0","","omp_talk_surprise1","3","","2","1020016",""
"0","vo_omp_7002","0","","","vo_omp_7002_002","21","","2","1020017",""
"1","112411","10","","1","でも不思議ですよね\nあんな見た目の魔物が\nご馳走に変身しちゃうなんて！","11","","2","1020018",""
"","0","","","","","91","","2","1020019",""
"","112411","","","","1","4","","2","1020020",""
"","112411","1","0","","omp_idle_surprise1","3","","2","1020021",""
"","112511","1","0","","omp_talk_normal","3","","2","1020022",""
"0","vo_omp_7002","0","","","vo_omp_7002_003","21","","2","1020023",""
"1","112511","10","","1","全然想像できない味だったね\nいい意味で","11","","2","1020024",""
"","0","","","","","91","","2","1020025",""
"","112511","1","0","","omp_talk_sad","3","","2","1020026",""
"0","vo_omp_7002","0","","","vo_omp_7002_004","21","","2","1020027",""
"1","112511","10","","1","でも魔物が調理されてるところは\nまあ、何て言うか…","11","","2","1020028",""
"","0","","","","","91","","2","1020029",""
"","112511","1","0","","omp_idle_sad","3","","2","1020030",""
"","112411","1","0","","omp_talk_bitter","3","","2","1020031",""
"0","vo_omp_7002","0","","","vo_omp_7002_005","21","","2","1020032",""
"1","112411","10","","1","…す、すごかったですよね","11","","2","1020033",""
"","0","","","","","91","","2","1020034",""
"","112411","1","0","","omp_idle_bitter","3","","2","1020035",""
"","112611","1","0","","omp_talk_joy1","3","","2","1020036",""
"0","vo_omp_7002","0","","","vo_omp_7002_006","21","","2","1020037",""
"1","112611","10","","1","魔物料理は、おペコさんに\nまるっとお任せしちゃった方が\nいいかも。あはは～","11","","2","1020038",""
"","0","","","","","91","","2","1020039",""
"","112611","1","0","","omp_idle_joy1","3","","2","1020040",""
"","112511","1","0","","omp_talk_bitter","3","","2","1020041",""
"0","vo_omp_7002","0","","","vo_omp_7002_007","21","","2","1020042",""
"1","112511","10","","1","冒険って、奥が深いね…","11","","2","1020043",""
"","0","","","","","91","","2","1020044",""
"","0.4","","","","","93","","2","1020045",""
"-140","1","1500","1.8","-190","112411","1","0","3","1030001","omp_talk_joy1"
"140","1","1500","1.8","-190","112611","1","1","3","1030002","omp_idle_normal"
"0","1","0","1","1","1","31","","3","1030003",""
"","1","","","","","93","","3","1030004",""
"0","vo_omp_7003","0","","","vo_omp_7003_000","21","","3","1030005",""
"1","112411","10","","1","ミオちゃん！\nこのあたりっていろいろな\n魔物がいて楽しいですね！","11","","3","1030006",""
"","0","","","","","91","","3","1030007",""
"","112411","1","0","","omp_psn_20","3","","3","1030008",""
"","112611","1","0","","omp_psn_19","3","","3","1030009",""
"0","vo_omp_7003","0","","","vo_omp_7003_001","21","","3","1030010",""
"1","112611","10","","1","た、楽しいかな～？","11","","3","1030011",""
"","0","","","","","91","","3","1030012",""
"","112611","1","0","","omp_psn_18","3","","3","1030013",""
"","112411","1","0","","omp_talk_joy1","3","","3","1030014",""
"0","vo_omp_7003","0","","","vo_omp_7003_002","21","","3","1030015",""
"1","112411","10","","1","怖い魔物もたくさんいますけど\n探せばぴにゃこら太さんや\nプチグリフォンさんみたいに\nかわいい魔物もいると思うんですよね！","11","","3","1030016",""
"","0","","","","","91","","3","1030017",""
"","112411","1","0","","omp_psn_20","3","","3","1030018",""
"","112611","1","0","","omp_talk_joy1","3","","3","1030019",""
"0","vo_omp_7003","0","","","vo_omp_7003_003","21","","3","1030020",""
"1","112611","10","","1","そういうことか\nいや、ちょっとまって、しまむー\nプチグリフォンはかわいいかもだけど\nぴにゃこら太、かわいいかな～？","11","","3","1030021",""
"","1.5","","","","1","93","","3","1030022",""
"","112611","1","0.2","","omp_psn_19","3","","3","1030023",""
"","1030021","","","","","91","","3","1030024",""
"","112611","1","0","","omp_psn_18","3","","3","1030025",""
"","112411","1","0","","omp_talk_joy1","3","","3","1030026",""
"0","vo_omp_7003","0","","","vo_omp_7003_004","21","","3","1030027",""
"1","112411","10","","1","かわいいですよ～\n私たちの歌で、たくさんの\nぴにゃこら太さんを\n集められませんかね？","11","","3","1030028",""
"","0","","","","","91","","3","1030029",""
"","112411","1","0","","omp_psn_20","3","","3","1030030",""
"","112611","1","0","","omp_psn_19","3","","3","1030031",""
"0","vo_omp_7003","0","","","vo_omp_7003_005","21","","3","1030032",""
"1","112611","10","","1","いやー、どうだろう\nぴにゃこら太って\nオンリーワンみたいなところあるし…\nむしろオンリーワンであってほしいし…","11","","3","1030033",""
"","0","","","","","91","","3","1030034",""
"","112611","1","0","","omp_psn_18","3","","3","1030035",""
"","112411","1","0","","omp_talk_joy2","3","","3","1030036",""
"0","vo_omp_7003","0","","","vo_omp_7003_006","21","","3","1030037",""
"1","112411","10","","1","あっ、たしかにそうですね！\nまずは目の前のぴにゃこら太さんに\n認めてもらわなきゃですし♪","11","","3","1030038",""
"","0","","","","","91","","3","1030039",""
"","112411","1","0","","omp_psn_20","3","","3","1030040",""
"","112611","1","0","","omp_talk_sad","3","","3","1030041",""
"0","vo_omp_7003","0","","","vo_omp_7003_007","21","","3","1030042",""
"1","112611","10","","1","そういうことじゃないんだけど…\n集めるのあきらめてくれたなら\nまぁ、いっか！\nその調子で頑張ってこう、しまむー！","11","","3","1030043",""
"","6","","","","1","93","","3","1030044",""
"","112611","1","0.2","","omp_talk_joy2","3","","3","1030045",""
"","1030043","","","","","91","","3","1030046",""
"","112611","1","0","","omp_idle_joy2","3","","3","1030047",""
"","112411","1","0","","omp_talk_joy2","3","","3","1030048",""
"0","vo_omp_7003","0","","","vo_omp_7003_008","21","","3","1030049",""
"1","112411","10","","1","はい！\n一緒に頑張りましょう！","11","","3","1030050",""
"","0","","","","","91","","3","1030051",""
"","0.4","","","","","93","","3","1030052",""
"-180","1","1600","1.8","-195","105831","1","0","4","1040001","omp_talk_normal"
"20","1","1500","1.8","-190","105931","1","1","4","1040002","omp_idle_normal"
"220","1","1600","1.8","-205","106031","1","1","4","1040003","omp_idle_normal"
"0","1","0","1","1","1","31","","4","1040004",""
"","1","","","","","93","","4","1040005",""
"0","vo_omp_7004","0","","","vo_omp_7004_000","21","","4","1040006",""
"1","105831","10","","1","せっかくですから\nわたしたちもアイドルを\nしてみませんか？","11","","4","1040007",""
"","0","","","","","91","","4","1040008",""
"","105831","1","0","","omp_idle_normal","3","","4","1040009",""
"","105931","1","0","","omp_talk_normal","3","","4","1040010",""
"0","vo_omp_7004","0","","","vo_omp_7004_001","21","","4","1040011",""
"1","105931","10","","1","アイドルユニット\n【美食殿】でございますね\nとても楽しそうです","11","","4","1040012",""
"","0","","","","","91","","4","1040013",""
"","105931","","","","0","4","","4","1040014",""
"","105931","1","0","","omp_idle_normal","3","","4","1040015",""
"omp_idle_surprise1","106031","0","0","1","omp_surprise","3","","4","1040016",""
"0","vo_omp_7004","0","","","vo_omp_7004_002","21","","4","1040017",""
"1","106031","10","","1","えっ！？　ホントに…！？\nじゃ、じゃなくて\nバカじゃないのあんたたち！？","11","","4","1040018",""
"","2","","","","1","93","","4","1040019",""
"","106031","1","0.1","","omp_talk_tsun","3","","4","1040020",""
"","1040018","","","","","91","","4","1040021",""
"","106031","1","0","","omp_talk_tsun","3","","4","1040022",""
"0","vo_omp_7004","0","","","vo_omp_7004_003","21","","4","1040023",""
"1","106031","10","","1","あの３人を見て\nアイドルがどれだけ大変か\n分かんなかったっての？","11","","4","1040024",""
"","0","","","","","91","","4","1040025",""
"","106031","1","0","","omp_idle_tsun","3","","4","1040026",""
"","105931","1","0","","omp_talk_worry","3","","4","1040027",""
"0","vo_omp_7004","0","","","vo_omp_7004_004","21","","4","1040028",""
"1","105931","10","","1","それはそうでございますが…\n好奇心が勝ってしまいまして","11","","4","1040029",""
"","0","","","","","91","","4","1040030",""
"","105931","","","","1","4","","4","1040031",""
"","105931","1","0","","omp_idle_worry","3","","4","1040032",""
"","105831","1","0","","omp_talk_joy1","3","","4","1040033",""
"0","vo_omp_7004","0","","","vo_omp_7004_005","21","","4","1040034",""
"1","105831","10","","1","コッコロちゃんの言う通りですよ！\nさあ、決めポーズの練習をしましょう！\nいえーい！","11","","4","1040035",""
"","5.5","","","","1","93","","4","1040036",""
"","105831","0","0.2","","omp_psn_11","3","","4","1040037",""
"","1040035","","","","","91","","4","1040038",""
"","105931","1","0","","omp_talk_normal","3","","4","1040039",""
"0","vo_omp_7004","0","","","vo_omp_7004_006","21","","4","1040040",""
"1","105931","10","","1","はい♪\nいえーい、でございます…！","11","","4","1040041",""
"","1.5","","","","1","93","","4","1040042",""
"","105931","0","0.2","1","omp_psn_11","3","","4","1040043",""
"","1040041","","","","","91","","4","1040044",""
"","105931","","","","0","4","","4","1040045",""
"","105931","1","0","","omp_idle_normal","3","","4","1040046",""
"","105831","1","0.2","","omp_idle_joy1","3","","4","1040047",""
"","106031","1","0","","omp_idle_tsun","3","","4","1040048",""
"0","vo_omp_7004","0","","","vo_omp_7004_007","21","","4","1040049",""
"1","106031","10","","1","いえーい、ってねぇ\nこれくらいしてみせなさいよ！\n―よろしくにゃん♪","11","","4","1040050",""
"","7","","","","1","93","","4","1040051",""
"","106031","0","0.1","","omp_psn_12","3","","4","1040052",""
"","1.5","","","","","93","","4","1040053",""
"","1040050","","","","","91","","4","1040054",""
"","106031","1","0.2","","omp_idle_normal","3","","4","1040055",""
"","105831","1","0","","omp_idle_surprise1","3","","4","1040056",""
"0","vo_omp_7004","0","","","vo_omp_7004_008","21","","4","1040057",""
"1","105831","10","","1","キャ、キャルちゃん…","11","","4","1040058",""
"","0","","","","","91","","4","1040059",""
"","105831","1","0","","omp_idle_surprise1","3","","4","1040060",""
"","105931","1","0","","omp_talk_sad","3","","4","1040061",""
"0","vo_omp_7004","0","","","vo_omp_7004_009","21","","4","1040062",""
"1","105931","10","","1","ものすごく、本気でございますね","11","","4","1040063",""
"","0","","","","","91","","4","1040064",""
"","105931","1","0","","omp_idle_sad","3","","4","1040065",""
"omp_talk_surprise2","106031","0","0","1","omp_surprise","3","0.1","4","1040066",""
"0","vo_omp_7004","0","","","vo_omp_7004_010","21","","4","1040067",""
"1","106031","10","","1","はっ…！\nち、違うの今のは\n条件反射っていうか…\nも、もう！　こっち見んなバカ～！","11","","4","1040068",""
"","6.5","","","","1","93","","4","1040069",""
"","106031","1","0.2","","omp_talk_tsun","3","","4","1040070",""
"","1040068","","","","","91","","4","1040071",""
"","0.4","","","","","93","","4","1040072",""
"-140","1","1500","1.8","-190","112611","1","0","5","1050001","omp_talk_joy1"
"140","1","1500","1.8","-190","112511","1","1","5","1050002","omp_idle_normal"
"0","1","0","1","1","1","31","","5","1050003",""
"","1","","","","","93","","5","1050004",""
"0","vo_omp_7005","0","","","vo_omp_7005_000","21","","5","1050005",""
"1","112611","10","","1","冒険者としていろんなところへ\n行ったりしたけど\n今回の旅が一番楽しいね！","11","","5","1050006",""
"","0","","","","","91","","5","1050007",""
"","112611","1","0","","omp_idle_joy1","3","","5","1050008",""
"","112511","1","0","","omp_talk_normal","3","","5","1050009",""
"0","vo_omp_7005","0","","","vo_omp_7005_001","21","","5","1050010",""
"1","112511","10","","1","そう、かもね\n誰かの手伝いっていうわけじゃなくて\n自分たちの目的のために\n進んでるからかな","11","","5","1050011",""
"","0","","","","","91","","5","1050012",""
"","112511","1","0","","omp_idle_normal","3","","5","1050013",""
"","112611","1","0","","omp_talk_joy1","3","","5","1050014",""
"0","vo_omp_7005","0","","","vo_omp_7005_002","21","","5","1050015",""
"1","112611","10","","1","私たちが楽しんで\n私たちを見てくれる人も\n楽しんでくれたら最高だよね\nそんな風になれるかな…","11","","5","1050016",""
"","6.2","","","","1","93","","5","1050017",""
"","112611","1","0.2","","omp_talk_thinking","3","","5","1050018",""
"","1050016","","","","","91","","5","1050019",""
"","112611","1","0","","omp_idle_thinking","3","","5","1050020",""
"","112511","1","0","","omp_talk_normal2","3","","5","1050021",""
"0","vo_omp_7005","0","","","vo_omp_7005_003","21","","5","1050022",""
"1","112511","10","","1","ミオなら…ううん\n私たちならなれるよ\n一緒に頑張ろう","11","","5","1050023",""
"","0","","","","","91","","5","1050024",""
"","112511","1","0","","omp_idle_calm","3","","5","1050025",""
"","112611","1","0.1","","omp_talk_sad","3","","5","1050026",""
"0","vo_omp_7005","0","","","vo_omp_7005_004","21","","5","1050027",""
"1","112611","10","","1","し…し…","11","","5","1050028",""
"","0","","","","","91","","5","1050029",""
"","112611","1","0","","omp_idle_sad","3","","5","1050030",""
"","112511","1","0","","omp_psn_19","3","","5","1050031",""
"0","vo_omp_7005","0","","","vo_omp_7005_005","21","","5","1050032",""
"1","112511","10","","1","し…？","11","","5","1050033",""
"","0","","","","","91","","5","1050034",""
"","112511","1","0","","omp_psn_18","3","","5","1050035",""
"","112611","1","0","","omp_talk_sad","3","","5","1050036",""
"0","vo_omp_7005","0","","","vo_omp_7005_006","21","","5","1050037",""
"1","112611","10","","1","しぶりんがいつになく優しい…！？\nどうしたのっ、ヘンなものでも食べた！？","11","","5","1050038",""
"","4.5","","","","1","93","","5","1050039",""
"","112611","1","0.2","","omp_talk_surprise2","3","","5","1050040",""
"","1050038","","","","","91","","5","1050041",""
"","112611","1","0","","omp_idle_surprise2","3","","5","1050042",""
"","112511","1","0","","omp_talk_normal","3","","5","1050043",""
"0","vo_omp_7005","0","","","vo_omp_7005_007","21","","5","1050044",""
"1","112511","10","","1","さっき、ペコリーヌの魔物料理を…\nって、これじゃあいつもの\n私が優しくないみたいじゃん\nせっかく励まそうと思ったのに…","11","","5","1050045",""
"","3.5","","","","1","93","","5","1050046",""
"","112511","1","0.2","","omp_talk_anger","3","","5","1050047",""
"","1050045","","","","","91","","5","1050048",""
"","112511","1","0","","omp_idle_anger","3","","5","1050049",""
"","112611","1","0","","omp_talk_joy1","3","","5","1050050",""
"0","vo_omp_7005","0","","","vo_omp_7005_008","21","","5","1050051",""
"1","112611","10","","1","えへへ、ごめんごめん☆","11","","5","1050052",""
"","0","","","","","91","","5","1050053",""
"","112611","1","0","","omp_idle_joy1","3","","5","1050054",""
"","112511","1","0","","omp_talk_sad","3","","5","1050055",""
"0","vo_omp_7005","0","","","vo_omp_7005_009","21","","5","1050056",""
"1","112511","10","","1","まったく\n…けど、さっきのは\nほんとのことだからね","11","","5","1050057",""
"","2","","","","1","93","","5","1050058",""
"","112511","1","0.2","","omp_talk_normal","3","","5","1050059",""
"","1050057","","","","","91","","5","1050060",""
"","112511","1","0","","omp_idle_normal","3","","5","1050061",""
"","112611","1","0","","omp_talk_joy2","3","","5","1050062",""
"0","vo_omp_7005","0","","","vo_omp_7005_010","21","","5","1050063",""
"1","112611","10","","1","うん！\nありがとっ、しぶりん！","11","","5","1050064",""
"","0","","","","","91","","5","1050065",""
"","0.4","","","","","93","","5","1050066",""
"-180","1","1600","1.8","-195","112511","1","0","6","1060001","omp_talk_normal"
"20","1","1500","1.8","-190","112411","1","1","6","1060002","omp_idle_normal"
"220","1","1600","1.8","-205","112611","1","1","6","1060003","omp_idle_normal"
"0","1","0","1","1","1","31","","6","1060004",""
"","1","","","","","93","","6","1060005",""
"0","vo_omp_7006","0","","","vo_omp_7006_000","21","","6","1060006",""
"1","112511","10","","1","ウヅキ…\n今日のレッスン\nすごく気合が入ってたね","11","","6","1060007",""
"","0","","","","","91","","6","1060008",""
"","112511","1","0","","omp_idle_normal","3","","6","1060009",""
"","112611","1","0","","omp_talk_joy1","3","","6","1060010",""
"0","vo_omp_7006","0","","","vo_omp_7006_001","21","","6","1060011",""
"1","112611","10","","1","うんうん！\n一緒にレッスンしてるこっちが\n見とれちゃうくらいだったよ～！\nなにかあったのしまむー？","11","","6","1060012",""
"","0","","","","","91","","6","1060013",""
"","112411","","","","0","4","","6","1060014",""
"","112611","1","0","","omp_idle_joy1","3","","6","1060015",""
"","112411","1","0","","omp_talk_joy1","3","","6","1060016",""
"0","vo_omp_7006","0","","","vo_omp_7006_002","21","","6","1060017",""
"1","112411","10","","1","えへへっ、ありがとうございます！\nえっと…","11","","6","1060018",""
"","0","","","","","91","","6","1060019",""
"","112411","1","0","","omp_talk_normal","3","","6","1060020",""
"0","vo_omp_7006","0","","","vo_omp_7006_003","21","","6","1060021",""
"1","112411","10","","1","朝、一人でレッスンしてたら\nお散歩してた人から\n『いつも頑張ってるね』って\n言ってもらえたんです","11","","6","1060022",""
"","0","","","","","91","","6","1060023",""
"","112411","1","0","","omp_talk_thinking","3","","6","1060024",""
"0","vo_omp_7006","0","","","vo_omp_7006_004","21","","6","1060025",""
"1","112411","10","","1","あの人にとっては何気ない\n一言だったのかも知れないですけど\n私にはそれがとてもうれしくて","11","","6","1060026",""
"","0","","","","","91","","6","1060027",""
"","112411","1","0","","omp_talk_normal2","3","","6","1060028",""
"0","vo_omp_7006","0","","","vo_omp_7006_005","21","","6","1060029",""
"1","112411","10","","1","だからもっともっと頑張って\n最高のステージをすることで\nその言葉にお返しが\nできたらなって…","11","","6","1060030",""
"","0","","","","","91","","6","1060031",""
"","112411","1","0","","omp_idle_calm","3","","6","1060032",""
"","112611","1","0","","omp_talk_sad","3","","6","1060033",""
"0","vo_omp_7006","0","","","vo_omp_7006_006","21","","6","1060034",""
"1","112611","10","","1","しまむー…！","11","","6","1060035",""
"","0","","","","","91","","6","1060036",""
"","112411","","","","1","4","","6","1060037",""
"","112611","1","0","","omp_idle_sad","3","","6","1060038",""
"","112511","1","0","","omp_talk_thinking","3","","6","1060039",""
"0","vo_omp_7006","0","","","vo_omp_7006_007","21","","6","1060040",""
"1","112511","10","","1","そっか\nそんなウヅキだから、私たちは\n一緒にやっていきたいって思うんだよ\nミオもそうだよね？","11","","6","1060041",""
"","0","","","","","91","","6","1060042",""
"","112411","","","","0","4","","6","1060043",""
"","112511","1","0","","omp_idle_thinking","3","","6","1060044",""
"","112611","1","0","","omp_talk_joy1","3","","6","1060045",""
"0","vo_omp_7006","0","","","vo_omp_7006_008","21","","6","1060046",""
"1","112611","10","","1","うん！　これからも３人で\n頑張っていこうね！\nしまむー、しぶりん！","11","","6","1060047",""
"","0","","","","","91","","6","1060048",""
"","112411","","","","1","4","","6","1060049",""
"","112611","1","0","","omp_idle_joy1","3","","6","1060050",""
"","112411","1","0","","omp_talk_joy2","3","","6","1060051",""
"0","vo_omp_7006","0","","","vo_omp_7006_009","21","","6","1060052",""
"1","112411","10","","1","リンちゃん、ミオちゃん…！　はい！\n【ニュージェネレーションズ】みんなで\n最高のアイドルを目指しましょう！","11","","6","1060053",""
"","1.2","","","","1","93","","6","1060054",""
"","112411","","","","0","4","","6","1060055",""
"","1060053","","","","","91","","6","1060056",""
"0","112511","-195","","1","-180","2","","6","1060057",""
"0","112411","-190","","1","0","2","","6","1060058",""
"0","112611","-195","","1","180","2","","6","1060059",""
"","112511","0","0.1","","omp_psn_dicision_rin","3","","6","1060060",""
"","112411","0","0.1","","omp_psn_dicision_uduki","3","","6","1060061",""
"","112611","0","0.1","","omp_psn_dicision_mio","3","","6","1060062",""
"0","2","0","1","1","2","31","","6","1060063",""
"","1060062","","","","","91","","6","1060064",""
"","0.6","","","","","93","","6","1060065",""
"-100","1","1600","1.8","-205","105831","1","0","7","1070001","omp_idle_normal"
"-390","1","1600","1.8","-225","105931","1","0","7","1070002","omp_idle_normal"
"-260","1","1500","1.8","-190","106031","1","0","7","1070003","omp_idle_normal"
"250","1","1500","1.8","-185","112511","1","1","7","1070004","omp_idle_normal"
"385","1","1600","1.8","-220","112411","1","1","7","1070005","omp_idle_normal"
"100","1","1600","1.8","-195","112611","1","1","7","1070006","omp_idle_normal"
"0","1","0","1","1","1","31","","7","1070007",""
"","0.2","","","","","93","","7","1070008",""
"","112611","1","0.1","","omp_idle_normal","3","","7","1070009",""
"","112411","1","0","","omp_talk_normal","3","","7","1070010",""
"","112511","1","0.1","","omp_idle_normal","3","","7","1070011",""
"","105831","1","0.1","","omp_idle_normal","3","","7","1070012",""
"","0.1","","","","","93","","7","1070013",""
"","1","","","","","93","","7","1070014",""
"0","vo_omp_7007","0","","","vo_omp_7007_000","21","","7","1070015",""
"1","112411","10","","1","今思うと…最初のゲリラLIVEは\nほんとうにいっぱいいっぱいでしたね","11","","7","1070016",""
"","0","","","","","91","","7","1070017",""
"","112411","1","0.1","","omp_idle_normal","3","","7","1070018",""
"","105831","1","0.1","","omp_talk_normal","3","","7","1070019",""
"0","vo_omp_7007","0","","","vo_omp_7007_001","21","","7","1070020",""
"1","105831","10","","1","緊張してるのが見てて分かりましたよ\nなんだかこっちまで緊張して\nお腹が締め付けられる思いでしたよ～","11","","7","1070021",""
"","0","","","","","91","","7","1070022",""
"","105831","1","0","","omp_idle_normal","3","","7","1070023",""
"","105931","1","0","","omp_talk_worry","3","","7","1070024",""
"0","vo_omp_7007","0","","","vo_omp_7007_002","21","","7","1070025",""
"1","105931","10","","1","ペコリーヌさまの場合は、\n空腹で締め付けられていた\n可能性もありますが…","11","","7","1070026",""
"","0","","","","","91","","7","1070027",""
"","105931","1","0","","omp_idle_worry","3","","7","1070028",""
"","106031","1","0","","omp_talk_normal","3","","7","1070029",""
"0","vo_omp_7007","0","","","vo_omp_7007_003","21","","7","1070030",""
"1","106031","10","","1","まーたしかに、あのときの\nウヅキたちのゲリラLIVEは\nほんとにボロボロだったわね！","11","","7","1070031",""
"","0","","","","","91","","7","1070032",""
"","106031","1","0","","omp_idle_normal","3","","7","1070033",""
"","112611","1","0","","omp_talk_worry","3","","7","1070034",""
"0","vo_omp_7007","0","","","vo_omp_7007_004","21","","7","1070035",""
"1","112611","10","","1","もうっ、キャルキャル～\nあんま言わないでよ～！\n私たちだってわかってるんだからさ～","11","","7","1070036",""
"","0","","","","","91","","7","1070037",""
"","112611","1","0","","omp_idle_worry","3","","7","1070038",""
"","105931","1","0","","omp_talk_normal2","3","","7","1070039",""
"0","vo_omp_7007","0","","","vo_omp_7007_005","21","","7","1070040",""
"1","105931","10","","1","でも、自分たちで立ち上がって\n再び舞台に立つ姿…\nわたくし、感動いたしました","11","","7","1070041",""
"","0","","","","","91","","7","1070042",""
"","105931","1","0","","omp_idle_calm","3","","7","1070043",""
"","112511","1","0","","omp_talk_normal2","3","","7","1070044",""
"0","vo_omp_7007","0","","","vo_omp_7007_006","21","","7","1070045",""
"1","112511","10","","1","あれくらいで立ち止まる気は\nなかったからね\nウヅキもミオも、絶対立ち上がるって\n信じてたよ","11","","7","1070046",""
