80527df01fd79d52ed3d2bad0a43694385ecadb0a7b170e51999ee74c23407e8,35096cdb56801f8980aac1d0809d811c915cc858ba6d497e958e68b84eb2c2e6,90c69aab93de433c3b1bd4b9c57266bc92cf521bf5a8709d6023245954e2508f,985909673d26259752dd34aa1353bae8597f7f9f97670d2113dbd127bf413c5d,b3ddb53fe6c2a40ada395b0e5e34dc94c7d8a5588deb209074a13a84d4eee7b1,154673aebe02329bc154940271dd365aa1c3cbae66769f9613afb8bdadad2779,e8a5ecbc0ff8c57fab4b6433a47074fa933fe0b9983fa670bd3982f5eb78067c,1ca6d0753fa3f68245935bf18fe4ba8d75ecbb3eb0493aa28e099a34501481ba,4bd87c135eb9edd48800500e6bb78d5c8ae37fe0d439828f5ebd489eab764f4b,df42d1d6ea281c457a963f1fe3b6bdd27b63728df5e0797c1f7b475edf00cdeb,f227090fb0624f0fc4b5b35dbb142582a52457e1e64a792b2f77f7c7da6bc830
"あいつ絶対初見で\nちぇるちぇる言って\n現場冷やしてるし…","10","","11020014","","","","110831","102","11",""
"1","","","11020015","","","","0","102","91",""
"cmn_pose02_def_N","0","0.2","11020016","nyx_102_chloe_02","1","","110831","102","3","0.2"
"ま、いいけど何でも\n…てゆか中の人ら\nダイジョブか？","10","","11020017","","","","110831","102","11",""
"","","","11020018","","","","3","102","93",""
"nyx_idle_normal","1","","11020019","","","","103231","102","3","0.2"
"nyx_talk_sad","1","","11020020","","","","104631","102","3","0.2"
"0","","","11020021","","","","110831","102","4",""
"","","","11020022","","","","11020016","102","91",""
"","","","11020023","","","","1","102","93",""
"nyx_102_chloe_01","1","","11020024","","","","110831","102","3","0.2"
"ちぇる気にやられて\nおかしなことにとか\n…いや、まさかね","10","","11020025","","","","110831","102","11",""
"","","","11020026","","","","2.5","102","93",""
"nyx_102_chloe_03","0","","11020027","nyx_102_chloe_03_loop","1","","110831","102","3","0.2"
"nyx_102_chloe_03","0","","11020028","nyx_102_chloe_03_loop","1","","2","102","3","0.2"
"","","","11020029","","","","11020025","102","91",""
"","","","11020030","","","","1","102","93",""
"ちぇる…ちぇる…","10","","11020031","","","","104831","102","11",""
"","","","11020032","","","","1.5","102","93",""
"1","0","","11020033","","","","104631","102","4",""
"cmn_shock_def_N","0","0.2","11020034","nyx_idle_surprise2","1","","104631","102","3","0.2"
"cmn_shock_def_N","0","0.2","11020035","nyx_idle_surprise2","1","","103431","102","3","0.2"
"nyx_surprise","0","0.2","11020036","nyx_idle_surprise1","1","","103231","102","3","0.2"
"","","","11020037","","","","1.5","102","93",""
"nyx_talk_surprise2","1","0.2","11020038","","1","","104631","102","3","0.2"
"nyx_102_yukari_01","1","","11020039","","","","103431","102","3","0.2"
"ミフユさん！\nしっかりちぇる！\n傷は浅いちぇる！","10","","11020040","","","","103431","102","11",""
"1","","","11020041","","","","0","102","91",""
"cmn_shock_def_N","0","0.2","11020042","nyx_102_tamaki_01_loop","1","","103431","102","3","0.2"
"0","0","","11020043","","","","103231","102","4",""
"0","0","","11020044","","","","104631","102","4",""
"","","","11020045","","","","0","102","91",""
"ダメにゃ…\nミフユもユカリも\n手遅れちぇ…にゃ！","10","","11020046","","","","104631","102","11",""
"","","","11020047","","","","2.6","102","93",""
"nyx_102_tamaki_01","0","0.2","11020048","nyx_102_tamaki_01_loop","1","","104631","102","3","0.2"
"","","","11020049","","","","0.1","102","93",""
"1","0","","11020050","","","","103231","102","4",""
"","","","11020051","","","","1.5","102","93",""
"被害甚大ですわね…\n次の方が普通である\nことを祈りますわ…","10","","11020052","","","","103231","102","11",""
"","","","11020053","","","","0","102","91",""
"","","","11020054","","","","1","102","93",""
"nyx_102_chloe_04","0","","11020055","nyx_102_chloe_03_loop","1","","110831","102","3","0.2"
"nyx_102_chloe_04","0","","11020056","nyx_102_chloe_03_loop","1","","2","102","3","0.2"
"","","","11020057","","","","1.5","102","93",""
"12","1","","11020058","","","","110831","102","12",""
"","","","11020059","","","","1","102","93",""
"1","1","","11020060","","","","103431","102","12",""
"nyx_cmn_01","0","0.2","11020061","nyx_cmn_03","1","","103431","102","3","0.2"
"nyx_idle_worry","1","0.2","11020062","","1","","104631","102","3","0.2"
"","","","11020063","","","","2","102","93",""
"12","1","","11020064","","","","104831","102","12",""
"","","","11020065","","","","2","102","93",""
"10","1","","11020066","","","","103231","102","12",""
"nyx_talk_normal","0","0.2","11020067","nyx_idle_normal","1","","103231","102","3","0.2"
"","","","11020068","","","","2","102","93",""
"2","1","","11020069","","","","104631","102","12",""
"nyx_talk_sad","0","0.2","11020070","nyx_idle_worry","1","","104631","102","3","0.2"
"","","","11020071","","","","4","102","93",""
"1","","","11020072","","","","11020055","102","101",""
"111031","110","0","11030001","-421","-209.3","nyx_103_yuni_01","1","103","1","1.35"
"104831","110","0","11030002","121.8","-182.5","nyx_idle_normal","1","103","1","1.35"
"2","120","0","11030003","121.8","-182.5","NoItem","2","103","5","1.35"
"104631","110","0","11030004","227.7","-182.5","nyx_idle_normal","1","103","1","1.35"
"2","120","0","11030005","227.7","-182.5","NoItem","2","103","5","1.35"
"103231","110","1","11030006","340.3","-182.5","nyx_idle_normal","1","103","1","1.35"
"103431","110","1","11030007","449.6","-182.5","nyx_cmn_03","1","103","1","1.35"
"2","120","1","11030008","449.6","-182.5","NoItem","2","103","5","1.35"
"1","0","","11030009","0","1","","1","103","31","1"
"bgm_M347","","","11030010","","","","bgm_M347","103","25",""
"","","","11030011","","","","2","103","93",""
"nyx_talk_sad","1","","11030012","","","","103431","103","3","0.2"
"プレゼンって\nこんなに\n疲れるものなの…？","10","","11030013","","","","103431","103","11",""
"","","","11030014","","","","0","103","91",""
"nyx_cmn_03","1","","11030015","","","","103431","103","3","0.2"
"nyx_cmn_05","1","","11030016","","","","104831","103","3","0.2"
"きっと次は大丈夫よ\nまともな生徒のはず\n…そうよね？","10","","11030017","","","","104831","103","11",""
"","","","11030018","","","","0","103","91",""
"nyx_cmn_04","1","","11030019","","","","104831","103","3","0.2"
"nyx_talk_normal","1","","11030020","","","","103231","103","3","0.2"
"あら？\n次もなかよし部の方\nみたいですわよ？","10","","11030021","","","","103231","103","11",""
"","","","11030022","","","","0","103","91",""
"nyx_idle_normal","1","","11030023","","","","103231","103","3","0.2"
"nyx_talk_sad","1","","11030024","","","","104631","103","3","0.2"
"…気を抜いたら\nやられるにゃ\n覚悟を決めるにゃ","10","","11030025","","","","104631","103","11",""
"","","","11030026","","","","2.6","103","93",""
"nyx_102_chloe_01","1","","11030027","","","","111031","103","3","0.2"
"","","","11030028","","","","11030025","103","91",""
"nyx_cmn_02","0","0.3","11030029","nyx_idle_sad","1","","104631","103","3","0.2"
"nyx_cmn_02","0","","11030030","","","","2","103","3","0.2"
"nyx_cmn_02","0","0.3","11030031","nyx_cmn_03","1","","103431","103","3","0.2"
"nyx_cmn_02","0","","11030032","","","","2","103","3","0.2"
"nyx_cmn_02","0","0.2","11030033","nyx_idle_normal","1","","104831","103","3","0.2"
"nyx_cmn_02","0","","11030034","","","","2","103","3","0.2"
"","","","11030035","","","","1.5","103","93",""
"nyx_303_yuni_01","1","","11030036","","","","111031","103","3","0.2"
"ふむ、次はぼくだな\nまさに真打登場と\n言ったところか","10","","11030037","","","","111031","103","11",""
"","","","11030038","","","","2.8","103","93",""
"13","1","","11030039","","","","104831","103","12",""
"nyx_talk_normal","1","","11030040","","","","104831","103","3","0.2"
"","","","11030041","","","","11030037","103","91",""
"チエル君、クロエ君\n君らの無念はぼくが\n晴らして見せよう","10","","11030042","","","","111031","103","11",""
"","","","11030043","","","","0","103","91",""
"nyx_103_yuni_02","1","","11030044","","","","111031","103","3","0.2"
"いざ上級生としての\n責務を果たす時だ","10","","11030045","","","","111031","103","11",""
"","","","11030046","","","","1.5","103","93",""
"17","1","","11030047","","","","103231","103","12",""
"nyx_idle_normal","1","","11030048","","","","104831","103","3","0.2"
"nyx_cmn_05","1","","11030049","","","","103231","103","3","0.2"
"","","","11030050","","","","11030045","103","91",""
"nyx_103_yuni_03","0","0.6","11030051","nyx_103_yuni_04","0","","111031","103","3","0.3"
"ユニちゃんズの\n名に懸けて…！","10","","11030052","","","","111031","103","11",""
"","","","11030053","","","","0","103","91",""
"nyx_idle_normal","1","","11030054","","","","103231","103","3","0.2"
"","","","11030055","","","","0.6","103","93",""
"12","1","","11030056","","","","111031","103","12","0.2"
"cmn_pose02_def_N","0","0.2","11030057","nyx_idle_normal","1","","111031","103","3","0.2"
"","","","11030058","","","","1.5","103","93",""
"15","1","","11030059","","","","104631","103","12",""
"nyx_talk_sad","0","0.2","11030060","nyx_idle_worry","1","","104631","103","3","0.2"
"","","","11030061","","","","2","103","93",""
"10","1","","11030062","","","","103231","103","12",""
"nyx_talk_joy1","0","0.2","11030063","nyx_idle_normal","1","","103231","103","3","0.2"
"nyx_103_yuni_01","0","0.2","11030064","nyx_idle_normal","1","","111031","103","3","0.2"
"","","","11030065","","","","2.5","103","93",""
"1","1","","11030066","","","","103431","103","12",""
"nyx_cmn_01","0","0.3","11030067","nyx_cmn_03","1","","103431","103","3","0.2"
"","","","11030068","","","","2","103","93",""
"12","1","","11030069","","","","104831","103","12",""
"nyx_talk_bitter","1","","11030070","","","","104831","103","3","0.2"
"","","","11030071","","","","2","103","93",""
"nyx_idle_bitter","1","","11030072","","","","104831","103","3","0.2"
"","","","11030073","","","","1","103","93",""
"","","","11030074","","","","11030056","103","101",""
"103231","110","1","12010001","-235.4","-294.7","nyx_201_akino_01","1","201","1","1.2"
"2","120","1","12010002","-235.4","-294.7","nyx_201_akino_01","2","201","5","1.2"
"104631","110","0","12010003","-357","-281.6","nyx_idle_normal","1","201","1","1.2"
"103431","110","1","12010004","310.5","-281.6","nyx_idle_normal","1","201","1","1.2"
"104831","110","0","12010005","-453.3","-281.6","nyx_idle_normal","1","201","1","1.2"
"1","0","","12010006","0","1","","2","201","31","1"
"2","0","","12010007","0","1","","11","201","31","1"
"bgm_M347","","","12010008","","","","bgm_M347","201","25",""
"","","","12010009","","","","2","201","93",""
"タマキさん、この\n部品の組み立てを\nお願いしますわ！","10","","12010010","","","","103231","201","11",""
"","","","12010011","","","","0","201","91",""
"nyx_surprise","0","0.3","12010012","nyx_idle_surprise1","1","","104631","201","3","0.3"
"わ、わかったにゃ！\n…こんなの設計図に\nあったかにゃ…？","10","","12010013","","","","104631","201","11",""
"","","","12010014","","","","0","201","91",""
"0","0","","12010015","","","","103231","201","4",""
"0","","","12010016","","","","2","201","4",""
"nyx_idle_bitter2","1","0.3","12010017","","","","104631","201","3","0.3"
"nyx_201_akino_02","1","0.3","12010018","","","","103231","201","3","0.3"
"nyx_201_akino_02","1","0.3","12010019","","","","2","201","3","0.3"
"199","-294.7","","12010020","2.2","","","103231","201","2",""
"199","-294.7","","12010021","2.2","","","2","201","2",""
"","","","12010022","","","","2.2","201","93",""
"nyx_201_akino_01","1","0.3","12010023","","","","103231","201","3","0.3"
"nyx_201_akino_01","1","0.3","12010024","","","","2","201","3","0.3"
"ユカリさん！\nこの回路の発注を\n至急お願いします！","10","","12010025","","","","103231","201","11",""
"","","","12010026","","","","0","201","91",""
"nyx_cmn_01","1","0.3","12010027","","","","103431","201","3","0.3"
"えっ？　えっ？\nちょっとアキノさん\nこれ何に使うの！？","10","","12010028","","","","103431","201","11",""
"","","","12010029","","","","0","201","91",""
"nyx_idle_bitter2","1","0.3","12010030","","","","103431","201","3","0.3"
"1","","","12010031","","","","103231","201","4",""
"1","","","12010032","","","","2","201","4",""
"nyx_201_akino_02","1","0.3","12010033","","","","103231","201","3","0.3"
"nyx_201_akino_02","1","0.3","12010034","","","","2","201","3","0.3"
"-235.4","-294.7","","12010035","2.2","","","103231","201","2",""
"-235.4","-294.7","","12010036","2.2","","","2","201","2",""
"","","","12010037","","","","2.2","201","93",""
"nyx_201_akino_01","1","0.3","12010038","","","","103231","201","3","0.3"
"nyx_201_akino_01","1","0.3","12010039","","","","2","201","3","0.3"
"ミフユさんは動作\nチェックを念入りに\nお願いします！","10","","12010040","","","","103231","201","11",""
"","","","12010041","","","","0","201","91",""
"nyx_surprise","0","0.3","12010042","nyx_idle_surprise1","1","","104831","201","3","0.3"
"は、はいっ！\n…アキノさんが\n燃えてるわ…","10","","12010043","","","","104831","201","11","0"
"","","","12010044","","","","0","201","91",""
"nyx_talk_sad","1","0.3","12010045","","","","104831","201","3","0.3"
"でもなぜかしら\n不安だわ…\n不安しかない…","10","","12010046","","","","104831","201","11","0"
"","","","12010047","","","","0","201","91",""
"nyx_idle_bitter2","1","0.3","12010048","","","","104831","201","3","0.3"
"","","","12010049","","","","0","201","91",""
"","","","12010050","","","","0.4","201","93",""
"0","0","","12010051","","","","103231","201","4",""
"0","","","12010052","","","","2","201","4",""
"nyx_201_akino_02","1","0.2","12010053","","","","103231","201","3","0.2"
"nyx_201_akino_02","1","0.2","12010054","","","","2","201","3","0.2"
"199","-294.7","","12010055","2.2","","","103231","201","2",""
"199","-294.7","","12010056","2.2","","","2","201","2",""
"nyx_cmn_03","1","0.2","12010057","","","","103431","201","3","0.2"
"","","","12010058","","","","2.2","201","93",""
"10","1","","12010059","","","","103231","201","12",""
"nyx_201_akino_01","1","0.2","12010060","","","","103231","201","3","0.2"
"nyx_201_akino_01","1","0.2","12010061","","","","2","201","3","0.2"
"","","","12010062","","","","0","201","91",""
"nyx_idle_surprise1","1","0.2","12010063","","","","103431","201","3","0.2"
"","","","12010064","","","","0","201","91",""
"nyx_102_chloe_02","1","0.2","12010065","","","","103431","201","3","0.2"
"1","","","12010066","","","","103231","201","4",""
"1","","","12010067","","","","2","201","4",""
"nyx_201_akino_02","1","0.2","12010068","","","","103231","201","3","0.2"
"nyx_201_akino_02","1","0.2","12010069","","","","2","201","3","0.2"
"-235.4","-294.7","","12010070","2.2","","","103231","201","2",""
"-235.4","-294.7","","12010071","2.2","","","2","201","2",""
"","","","12010072","","","","2.2","201","93",""
"10","1","","12010073","","","","103231","201","12",""
"nyx_201_akino_01","1","0.2","12010074","","","","103231","201","3","0.2"
"nyx_201_akino_01","1","0.2","12010075","","","","2","201","3",""
"","","","12010076","","","","3","201","93",""
"cmn_nod_def_N","0","0.2","12010077","nyx_idle_normal","1","","104631","201","3","0.2"
"","","","12010078","","","","0.8","201","93",""
"3","1","","12010079","","","","104831","201","12",""
"nyx_talk_worry","0","0.2","12010080","nyx_idle_sad","1","","104831","201","3","0.2"
"","","","12010081","","","","1","201","93",""
"","","","12010082","","","","12010051","201","101",""
"3","100","0","12020001","-136","-255","nyx_202_tamaki_03_loop","1","202","5","1.2"
"103231","110","1","12020002","183.7","-286.1","nyx_idle_joy1","1","202","1","1.2"
"5","120","1","12020003","312.6","-286.1","nyx_202_yukari_01","2","202","5","1.2"
"103431","110","1","12020004","312.6","-286.1","nyx_202_yukari_01","1","202","1","1.2"
"104831","120","0","12020005","-269.8","-286.1","nyx_idle_normal","1","202","1","1.2"
"1","0","","12020006","0","1","","2","202","31","1"
"2","0","","12020007","34","1","","12","202","31","1"
"7","-74","","12020008","130","1","","16","202","31","0"
"4","110","0","12020009","-208","-255","nyx_yagura_idle","3","202","5","1"
"6","120","0","12020010","-269.8","-286.1","NoItem","2","202","5","1.2"
"bgm_M347","","","12020011","","","","bgm_M347","202","25",""
"","","","12020012","","","","2","202","93",""
"開発もなんだか\n楽しくなってきた\nにゃ～！","10","","12020013","","","","3","202","11",""
"","","","12020014","","","","0","202","91",""
"ここまで来たら\n世界一のたい焼き\nメカにするにゃ！","10","","12020015","","","","3","202","11",""
"","","","12020016","","","","0","202","91",""
"あたしの全てを\n注ぎ込んでやる\nにゃあ～～！","10","","12020017","","","","3","202","11",""
"","","","12020018","","","","0.4","202","93",""
"nyx_202_tamaki_03_puton","0","","12020019","nyx_202_tamaki_loop","1","","3","202","3","0.2"
"","","","12020020","","","","12020017","202","91",""
"nyx_202_tamaki_up","0","","12020021","nyx_202_tamaki_01","1","","3","202","3","0.2"
"nyx_yagura_up","0","","12020022","nyx_yagura_up_idle","1","","4","202","3",""
"","","","12020023","","","","2.4","202","93",""
"1","","","12020024","","","","7","202","32",""
"nyx_202_akino_01_loop","1","","12020025","","","","103231","202","3","0.2"
"おーほっほっほ！\n素晴らしい意気込み\nですわ、タマキさん","10","","12020026","","","","103231","202","11",""
"","","","12020027","","","","0","202","91",""
"nyx_talk_anger2","1","","12020028","","","","104831","202","3","0.2"
"設計図のどこにも\nたい焼きなんて\n書いてないわよ！？","10","","12020029","","","","104831","202","11",""
"","","","12020030","","","","0","202","91",""
"nyx_idle_anger2","1","","12020031","","","","103431","202","3","0.2"
"nyx_202_yukari_01","1","","12020032","","","","103431","202","3","0.2"
"ミフユさん…\nタマキさんなら\n大丈夫よ…ひっく","10","","12020033","","","","103431","202","11",""
"","","","12020034","","","","0","202","91",""
"nyx_cmn_05","0","0.2","12020035","nyx_cmn_04","","","104831","202","3","0.2"
"ユカリさん？\n何を飲んでるの？\n…買収されたわね？","10","","12020036","","","","104831","202","11","0"
"","","","12020037","","","","0","202","91",""
"nyx_202_yukari_01","1","","12020038","","","","103431","202","3","0.2"
"え～？\nにゃんのことぉ～？\n…うっふふ～♪","10","","12020039","","","","103431","202","11",""
"","","","12020040","","","","0","202","91",""
"","","","12020041","","","","2","202","93",""
"13","1","","12020042","","","","103231","202","12",""
"nyx_talk_joy2","0","0.2","12020043","nyx_202_akino_01_loop","1","","103231","202","3","0.2"
"","","","12020044","","","","2.5","202","93",""
"3","1","","12020045","","","","104831","202","12",""
"nyx_talk_anger2","1","","12020046","","","","104831","202","3","0.2"
"","","","12020047","","","","2","202","93",""
"nyx_cmn_02","0","","12020048","","","","104831","202","3","0.2"
"nyx_cmn_02","0","","12020049","NoItem","1","","6","202","3","0.2"
"","","","12020050","","","","1","202","93",""
"nyx_cmn_05","0","0.2","12020051","nyx_cmn_04","1","","104831","202","3","0.2"
"","","","12020052","","","","2","202","93",""
"5","1","","12020053","","","","103431","202","12",""
"nyx_203_yukari_01","0","0.2","12020054","nyx_202_yukari_01","1","","5","202","3","0.2"
"nyx_203_yukari_01","0","0.2","12020055","nyx_202_yukari_01","1","","103431","202","3","0.2"
"","","","12020056","","","","1.2","202","93",""
"11","1","","12020057","","","","3","202","12",""
"","","","12020058","","","","0.8","202","93",""
"","","","12020059","","","","12020041","202","101",""
"104831","130","0","12030001","-300","-286","nyx_idle_normal","1","203","1","1.2"
"104631","100","1","12030002","316","-286","nyx_idle_normal","1","203","1","1.2"
"103231","100","1","12030003","110","-286","nyx_idle_normal","1","203","1","1.2"
"103431","100","0","12030004","-200","-10","nyx_203_yukari_01","1","203","1","1.2"
"1","0","","12030005","0","1","","2","203","31","1"
"2","-80","","12030006","34","1","","13","203","31","1"
"3","110","0","12030007","-200","-10","nyx_203_yukari_01","2","203","5","1.2"
"4","120","0","12030008","-250","-255","nyx_yagura_up_harf","3","203","5","1"
"bgm_M347","","","12030009","","","","bgm_M347","203","25",""
"","","","12030010","","","","2","203","93",""
"あっれぇ～？\nここはどこぉ～？\n私はだれ～？","10","","12030011","","","","103431","203","11",""
"","","","12030012","","","","0.6","203","93",""
"nyx_lookup","0","0.2","12030013","nyx_lookup_loop2","1","","103231","203","3","0.2"
"","","","12030014","","","","12030011","203","91",""
"ん～？\nにゃ～にこの\nでっかいのぉ～","10","","12030015","","","","103431","203","11",""
"","","","12030016","","","","0.6","203","93",""
"nyx_lookup","0","0.2","12030017","nyx_lookup_loop2","1","","104631","203","3","0.2"
"","","","12030018","","","","12030015","203","91",""
"nyx_203_yukari_02","0","","12030019","nyx_203_yukari_05","1","","3","203","3","0.2"
"nyx_203_yukari_02","0","","12030020","nyx_203_yukari_05","1","","103431","203","3","0.2"
"あんたも麦しゅわ\n飲む～？\nお～いしいわよ～？","10","","12030021","","","","103431","203","11",""
"","","","12030022","","","","0.4","203","93",""
"nyx_lookup","0","0.2","12030023","nyx_lookup_loop2","1","","104831","203","3","0.2"
"","","","12030024","","","","12030021","203","91",""
"","","","12030025","","","","0.2","203","93",""
"nyx_cmn_02","0","0.2","12030026","nyx_idle_sad","1","","104831","203","3","0.2"
"何してるのよ\nユカリさん…","10","","12030027","","","","104831","203","11","0"
"","","","12030028","","","","0.1","203","93",""
"nyx_cmn_02","0","0.2","12030029","nyx_cmn_04","1","","103231","203","3","0.2"
"何してますの…\nユカリさん…","10","","12030030","","","","103231","203","11",""
"","","","12030031","","","","0.1","203","93",""
"nyx_cmn_02","0","0.2","12030032","nyx_idle_sad","1","","104631","203","3","0.2"
"何してるのにゃ\nユカリ…","10","","12030033","","","","104631","203","11",""
"","","","12030034","","","","0","203","91",""
