beeaf15b38d4113341b72867b7e18696d290de2fc156fe71899d2883e222d4a5,5524889dff3f0fff73610cfdf6e4fdd1893be46520e1b0377c538bf96cd125d7,cfa832ec01ef9a466f9bd5ca88eda1e23c932a88b7961e8c14945762d04a2819,f5fcc1600aeedbdc1ece7db415cbb25589c93b6c9b098552924173b597043aa8,a6d95812938db7a4483cd8ffba0e8a824fbe8fb924ce7fbad38ec9bda7b5327e,0467093bd8a26109e8495ba44a9903f5b18722894895c4bf0051af0626eae4fd,5d1d56b663b374abe91419eb835a6047d8b8002a9f343238bb44c9a0452a3b8b,f9a51e64827818c612d34b860cfd60db571431890e7dfdc72f08e78b2c979e9e,0bd8be0551c8ec6e973f89fcbee5348e6b5ba0d1e730b4f4afa522e147cd8fa4,5f4982cca89d4a131e9f9f89ef9ceb62440f52fee6503cf62b84e9dc21347597,99d119b0ec5f51764cedae80b6ada6997af69e651593d55fcc6813ff5a656b74
"1","","0","","0","","1001003","<weapon>_run","3","101110022","111"
"1","","0","","0","","1001004","<weapon>_run","3","101110023","111"
"1","","0","","0","","1001005","<weapon>_run","3","101110024","111"
"-150","","","","0","3","1001001","800","2","101110025","111"
"-75","","","","0","3","1001002","700","2","101110026","111"
"-180","","","","0","3","1001003","600","2","101110027","111"
"-75","","","","0","3","1001004","500","2","101110028","111"
"-150","","","","0","3","1001005","400","2","101110029","111"
"-150","","","","0","3","1001001","800","33","101110030","111"
"-75","","","","0","3","1001002","700","33","101110031","111"
"-180","","","","0","3","1001003","600","33","101110032","111"
"-75","","","","0","3","1001004","500","33","101110033","111"
"-150","","","","0","3","1001005","400","33","101110034","111"
"","","","","","","10020","1","32","101110035","111"
"","","","","","","2.5","0","93","101110036","111"
"","","","","","","10031","1","32","101110037","111"
"","","","","","","0.4","0","93","101110038","111"
"","","","","","","0","0","91","101110039","111"
"0","","","","","","se_travel","se_travel_start_2pt","23","102110001","211"
"0","","1","","1","0","10010","10010","31","102110002","211"
"0","","1","","1","0","10011","10011","31","102110003","211"
"0","","0","","1","0","10020","10020","31","102110004","211"
"62","0","0.68","<weapon>_idle","-90","-100","2","1001001","1","102110005","211"
"61","0","0.68","<weapon>_idle","-15","-170","2","1001002","1","102110006","211"
"63","0","0.68","<weapon>_idle","-105","-240","2","1001003","1","102110007","211"
"61","0","0.68","<weapon>_idle","-15","-310","2","1001004","1","102110008","211"
"62","0","0.68","<weapon>_idle","-90","-380","2","1001005","1","102110009","211"
"-100","0","1","","0.68","-90","10012","1001001","31","102110010","211"
"-170","0","1","","0.68","-15","10012","1001002","31","102110011","211"
"-240","0","1","","0.68","-105","10012","1001003","31","102110012","211"
"-310","0","1","","0.68","-15","10012","1001004","31","102110013","211"
"-380","0","1","","0.68","-90","10012","1001005","31","102110014","211"
"52","0","0.68","<weapon>_idle","-240","-500","2","1002001","1","102110015","211"
"51","0","0.68","<weapon>_idle","-165","-570","2","1002002","1","102110016","211"
"53","0","0.68","<weapon>_idle","-255","-640","2","1002003","1","102110017","211"
"51","0","0.68","<weapon>_idle","-165","-710","2","1002004","1","102110018","211"
"52","0","0.68","<weapon>_idle","-240","-780","2","1002005","1","102110019","211"
"-500","0","1","","0.68","-240","10012","1002001","31","102110020","211"
"-570","0","1","","0.68","-165","10012","1002002","31","102110021","211"
"-640","0","1","","0.68","-255","10012","1002003","31","102110022","211"
"-710","0","1","","0.68","-165","10012","1002004","31","102110023","211"
"-780","0","1","","0.68","-240","10012","1002005","31","102110024","211"
"0","","0","","1","0","10030","10030","31","102110025","211"
"0","","0","","1","0","10031","10031","31","102110026","211"
"","","","","","","","0","91","102110027","211"
"","","","","","","10030","1","32","102110028","211"
"","","","","","","0","0","91","102110029","211"
"1","","0","","0","","1001001","<weapon>_run","3","102110030","211"
"1","","0","","0","","1001002","<weapon>_run","3","102110031","211"
"1","","0","","0","","1001003","<weapon>_run","3","102110032","211"
"1","","0","","0","","1001004","<weapon>_run","3","102110033","211"
"1","","0","","0","","1001005","<weapon>_run","3","102110034","211"
"-90","","","","0","3","1001001","850","2","102110035","211"
"-15","","","","0","3","1001002","780","2","102110036","211"
"-105","","","","0","3","1001003","710","2","102110037","211"
"-15","","","","0","3","1001004","640","2","102110038","211"
"-90","","","","0","3","1001005","570","2","102110039","211"
"-90","","","","0","3","1001001","850","33","102110040","211"
"-15","","","","0","3","1001002","780","33","102110041","211"
"-105","","","","0","3","1001003","710","33","102110042","211"
"-15","","","","0","3","1001004","640","33","102110043","211"
"-90","","","","0","3","1001005","570","33","102110044","211"
"1","","0","","0","","1002001","<weapon>_run","3","102110045","211"
"1","","0","","0","","1002002","<weapon>_run","3","102110046","211"
"1","","0","","0","","1002003","<weapon>_run","3","102110047","211"
"1","","0","","0","","1002004","<weapon>_run","3","102110048","211"
"1","","0","","0","","1002005","<weapon>_run","3","102110049","211"
"-240","","","","0","3","1002001","450","2","102110050","211"
"-165","","","","0","3","1002002","380","2","102110051","211"
"-255","","","","0","3","1002003","310","2","102110052","211"
"-165","","","","0","3","1002004","240","2","102110053","211"
"-240","","","","0","3","1002005","170","2","102110054","211"
"-240","","","","0","3","1002001","450","33","102110055","211"
"-165","","","","0","3","1002002","380","33","102110056","211"
"-255","","","","0","3","1002003","310","33","102110057","211"
"-165","","","","0","3","1002004","240","33","102110058","211"
"-240","","","","0","3","1002005","170","33","102110059","211"
"","","","","","","10020","1","32","102110060","211"
"","","","","","","2.5","0","93","102110061","211"
"","","","","","","10031","1","32","102110062","211"
"","","","","","","0.4","0","93","102110063","211"
"","","","","","","0","0","91","102110064","211"
"0","","","","","","se_travel","se_travel_start_3pt","23","103110001","311"
"0","","1","","1","0","10010","10010","31","103110002","311"
"0","","1","","1","0","10011","10011","31","103110003","311"
"0","","0","","1","0","10020","10020","31","103110004","311"
"62","0","0.68","<weapon>_idle","-240","0","2","1001001","1","103110005","311"
"61","0","0.68","<weapon>_idle","-165","-70","2","1001002","1","103110006","311"
"63","0","0.68","<weapon>_idle","-255","-140","2","1001003","1","103110007","311"
"61","0","0.68","<weapon>_idle","-165","-210","2","1001004","1","103110008","311"
"62","0","0.68","<weapon>_idle","-240","-280","2","1001005","1","103110009","311"
"0","0","1","","0.68","-240","10012","1001001","31","103110010","311"
"-70","0","1","","0.68","-165","10012","1001002","31","103110011","311"
"-140","0","1","","0.68","-255","10012","1001003","31","103110012","311"
"-210","0","1","","0.68","-165","10012","1001004","31","103110013","311"
"-280","0","1","","0.68","-240","10012","1001005","31","103110014","311"
"52","0","0.68","<weapon>_idle","-60","-250","2","1002001","1","103110015","311"
"51","0","0.68","<weapon>_idle","15","-320","2","1002002","1","103110016","311"
"53","0","0.68","<weapon>_idle","-75","-390","2","1002003","1","103110017","311"
"51","0","0.68","<weapon>_idle","15","-460","2","1002004","1","103110018","311"
"52","0","0.68","<weapon>_idle","-60","-530","2","1002005","1","103110019","311"
"-250","0","1","","0.68","-60","10012","1002001","31","103110020","311"
"-320","0","1","","0.68","15","10012","1002002","31","103110021","311"
"-390","0","1","","0.68","-75","10012","1002003","31","103110022","311"
"-460","0","1","","0.68","15","10012","1002004","31","103110023","311"
"-530","0","1","","0.68","-60","10012","1002005","31","103110024","311"
"62","0","0.68","<weapon>_idle","-250","-500","2","1003001","1","103110025","311"
"61","0","0.68","<weapon>_idle","-175","-570","2","1003002","1","103110026","311"
"63","0","0.68","<weapon>_idle","-265","-640","2","1003003","1","103110027","311"
"61","0","0.68","<weapon>_idle","-175","-710","2","1003004","1","103110028","311"
"62","0","0.68","<weapon>_idle","-250","-780","2","1003005","1","103110029","311"
"-500","0","1","","0.68","-250","10012","1003001","31","103110030","311"
"-570","0","1","","0.68","-175","10012","1003002","31","103110031","311"
"-640","0","1","","0.68","-265","10012","1003003","31","103110032","311"
"-710","0","1","","0.68","-175","10012","1003004","31","103110033","311"
"-780","0","1","","0.68","-250","10012","1003005","31","103110034","311"
"0","","0","","1","0","10030","10030","31","103110035","311"
"0","","0","","1","0","10031","10031","31","103110036","311"
"","","","","","","","0","91","103110037","311"
"","","","","","","10030","1","32","103110038","311"
"","","","","","","0","0","91","103110039","311"
"1","","0","","0","","1001001","<weapon>_run","3","103110040","311"
"1","","0","","0","","1001002","<weapon>_run","3","103110041","311"
"1","","0","","0","","1001003","<weapon>_run","3","103110042","311"
"1","","0","","0","","1001004","<weapon>_run","3","103110043","311"
"1","","0","","0","","1001005","<weapon>_run","3","103110044","311"
"-240","","","","0","3","1001001","950","2","103110045","311"
"-165","","","","0","3","1001002","880","2","103110046","311"
"-255","","","","0","3","1001003","810","2","103110047","311"
"-165","","","","0","3","1001004","740","2","103110048","311"
"-240","","","","0","3","1001005","670","2","103110049","311"
"-240","","","","0","3","1001001","950","33","103110050","311"
"-165","","","","0","3","1001002","880","33","103110051","311"
"-255","","","","0","3","1001003","810","33","103110052","311"
"-165","","","","0","3","1001004","740","33","103110053","311"
"-240","","","","0","3","1001005","670","33","103110054","311"
"1","","0","","0","","1002001","<weapon>_run","3","103110055","311"
"1","","0","","0","","1002002","<weapon>_run","3","103110056","311"
"1","","0","","0","","1002003","<weapon>_run","3","103110057","311"
"1","","0","","0","","1002004","<weapon>_run","3","103110058","311"
"1","","0","","0","","1002005","<weapon>_run","3","103110059","311"
"-60","","","","0","3","1002001","700","2","103110060","311"
"15","","","","0","3","1002002","630","2","103110061","311"
"-75","","","","0","3","1002003","560","2","103110062","311"
"15","","","","0","3","1002004","490","2","103110063","311"
"-60","","","","0","3","1002005","420","2","103110064","311"
"-60","","","","0","3","1002001","700","33","103110065","311"
"15","","","","0","3","1002002","630","33","103110066","311"
"-75","","","","0","3","1002003","560","33","103110067","311"
"15","","","","0","3","1002004","490","33","103110068","311"
"-60","","","","0","3","1002005","420","33","103110069","311"
"1","","0","","0","","1003001","<weapon>_run","3","103110070","311"
"1","","0","","0","","1003002","<weapon>_run","3","103110071","311"
"1","","0","","0","","1003003","<weapon>_run","3","103110072","311"
"1","","0","","0","","1003004","<weapon>_run","3","103110073","311"
"1","","0","","0","","1003005","<weapon>_run","3","103110074","311"
"-250","","","","0","3","1003001","450","2","103110075","311"
"-175","","","","0","3","1003002","380","2","103110076","311"
"-265","","","","0","3","1003003","310","2","103110077","311"
"-175","","","","0","3","1003004","240","2","103110078","311"
"-250","","","","0","3","1003005","170","2","103110079","311"
"-250","","","","0","3","1003001","450","33","103110080","311"
"-175","","","","0","3","1003002","380","33","103110081","311"
"-265","","","","0","3","1003003","310","33","103110082","311"
"-175","","","","0","3","1003004","240","33","103110083","311"
"-250","","","","0","3","1003005","170","33","103110084","311"
"","","","","","","10020","1","32","103110085","311"
"","","","","","","2.5","0","93","103110086","311"
"","","","","","","10031","1","32","103110087","311"
"","","","","","","0.4","0","93","103110088","311"
"","","","","","","0","0","91","103110089","311"
