49e65d0a58a4e3ccc36b0ab25517402612dd92a7304c03925bb6213c9f4f38d9,b36966ce4802741061968c401ee1b62361e1d9aeb2e109bdaa822ec6c8957d19,1de290dbbb19e0679efda1c6d07d88baa4f9d65edce299877c3d059440f43588,7a885043e0f6cda92cf8d6aeeaf488d8c1658513cf3bb81e19dae28e135fc6e5,de9b002b29bd690762d702be45678eb211ff997bbfbf9b5b5dfe1d5afc05e26a,e15b374bcc0a613f151359cb9b5a073afb339ee17ad5daf0c9c17c26be43a4b2,1ebb399f8a944d13d5af5df381345a5bbe6f83ce43d28e7424432d1cdb5cab8e,e4f9a3aa34d9a78847ee63a24c647ef4100a123b8345fc5f1bd517c566135fea,95f1783805f888ac742f67435497955c9dd65511a9086092f02e0f262cf0957f,0d79c6527165fbe86a44850ac0f6aa08374994ae1d464aa0051f4a6b276d4fb2,e943d24a1872aa66bdec9a0cb5d455bd878920335b207659d53d9867e0e70dcf,722afcb9618045ad841d70878a940a83e64094764783e1fdeead2e78b4881c65,6fdb30a2a5cc368947dd430731f79c9213e958485b59d205af4b518fa6b378d5,6d35852e873c121d526ac52d21eeb2077c2a0a567d6bfb24d5aa90f64c7fed97,d03c4426c509265c39e18f851fa5aed016e9c5ebcfa84c84714211f94411b3a2,ded29a2c870aee68050ad4d2f478ece7d1ce79e54da9890058ebfe08cc3ad2e7,74d2bad532b916cf1908a3fac107eec3c1a1d011a1d5a6eddabe4c2f80bd2ac4,fb685fe7458defab39e6d21e88ee32b49c5cda99612025ee1ab25b1bd6d4cd0f,acc4df23771055516ebfa00d15095cb9403f702c4b5d9a97e6e968912148e34c
"12","140001","5","2","4","1","32012","25001","0","94002","50","4","2","5000","0","2000000","1","0","90008"
"12","140001","15","2","1","10","32013","90005","0","94002","5","4","2","500","0","500000","1","0","90008"
"2","21951","1","8","1","5","32013","140001","94002","25001","10","2","4","100","500000","1","1","12","91002"
"12","140001","15","2","2","5","32013","90005","0","94002","15","4","2","1000","0","750000","1","0","90008"
"12","140001","5","8","2","1","32013","25001","0","94002","20","4","2","150","0","750000","1","0","91002"
"12","140001","15","2","2","5","32013","90005","0","94002","25","4","2","1500","0","750000","1","0","90008"
"2","90008","3000","8","3","5","32013","140001","94002","25001","30","2","4","250","750000","1","1","12","91002"
"2","90008","3500","18","3","15","32013","140001","94002","90005","35","2","4","1","1000000","5","1","12","4110401"
"12","140001","5","2","4","1","32013","25001","0","94002","40","4","2","4000","0","1000000","1","0","90008"
"2","90008","4500","18","4","15","32013","140001","94002","90005","45","2","4","1","2000000","5","1","12","4102401"
"12","140001","5","2","4","1","32013","25001","0","94002","50","4","2","5000","0","2000000","1","0","90008"
