9bac9fff1fb2ee54140c77add84a29a281c1dfe91510290e980c2b7c592dab10,50ca44a1516df4e95f6aa3a3347b227d8e71c0e229bd5c88ee77026764f80aa9,8965f1683f2c713669ebf72447cc6eca628864b7a74c1ee620efea7cebc4d83a,a3af6a5e8299ec87ba979468c10059808c35a8e84fbd592763dab27ff00f133d,e93861edc92970c23f0e41fb512ef4360204107221b4a35183a57af5bb4a3727,7efaa55e3062a8d26d9839df90c93339cb18d395705391c29349c966a5873b7a,fff2ad7ce7f6dcd6419e53246a1d867d49d56cbca34af78be670ef9bb3d57758,c5a33fe9ee132223195f0cb1d0b0f1c953c732da0e57b51d0a4db0aab8a02ed2,6066a2dd5a1b31f1585b934f9107754e8e2b4baf45134e2cb8de748b39334d07,28a86cbfbb47c5f335b530b277f38c425f6cf52e7b934bf8ce1e9e7ef60804b5,7e949f6846d7605dfaae69cf32717a1d0a966582024dface80f739bb8541f6d0,884fd268c19c56f7ab6b04f45094d928c9c246f3e5c444e2bd9d84e18036e01d
"18","19","19","1901","0","0","4","0","11011","101","3","0"
"19","20","20","2001","0","0","3","0","11001","100","2","0"
"20","21","21","2101","0","0","2","0","11041","104","4","0"
"21","22","22","2201","0","0","1","0","10011","1","3","0"
"22","23","23","2301","0","0","3","0","11001","100","2","0"
"23","24","24","2401","0","0","2","0","11011","101","2","0"
"24","25","25","2501","0","0","3","0","11041","104","4","0"
"25","26","26","2601","0","0","4","0","10501","50","3","0"
"26","27","27","2701","0","0","3","0","10521","52","3","0"
"27","28","28","2801","0","0","1","0","10501","50","1","0"
"28","29","29","2901","0","0","2","0","11041","104","4","0"
"29","30","30","3001","0","0","1","0","10511","51","3","0"
"30","31","31","3101","0","0","2","0","11001","100","2","0"
"31","32","32","3201","0","0","3","0","11011","101","1","0"
"32","33","33","3301","0","0","4","0","11041","104","4","0"
"33","34","34","3401","0","0","3","0","11001","100","3","0"
"34","35","35","3501","0","0","2","0","11041","104","4","0"
"35","36","36","3601","0","0","3","0","11031","103","2","0"
"36","37","37","3701","0","0","2","0","11021","102","1","0"
"37","38","38","3801","0","0","1","0","10501","50","2","0"
"38","39","39","3901","0","0","3","0","11021","102","3","0"
"39","40","40","4001","0","0","4","0","11041","104","4","0"
"40","41","41","4101","0","0","3","0","11001","100","1","0"
"41","42","42","4201","0","0","2","0","10521","52","3","0"
"42","43","43","4301","0","0","1","0","11041","104","4","0"
"43","44","44","4401","0","0","2","0","11031","103","1","0"
"44","45","45","4501","0","0","1","0","11041","104","4","0"
"45","46","46","4601","0","0","3","0","11011","101","3","0"
"46","47","47","4701","0","0","4","0","11021","102","1","0"
"47","48","48","4801","0","0","2","0","11041","104","4","0"
"48","49","49","4901","0","0","3","0","11031","103","2","0"
"49","50","50","5001","0","0","2","0","11041","104","4","0"
"50","51","51","5101","0","0","1","0","11011","101","2","0"
"51","52","52","5201","0","0","2","0","11021","102","3","0"
"52","53","53","5301","0","0","3","0","11041","104","4","0"
"53","54","54","5401","0","0","4","0","10521","52","1","0"
"54","55","55","5501","0","0","3","0","11031","103","3","0"
"55","56","56","5601","0","0","4","0","11041","104","4","0"
"56","57","57","5701","0","0","2","0","11001","100","1","0"
"57","58","58","5801","0","0","3","0","11011","101","3","0"
"58","59","59","5901","0","0","4","0","11031","103","2","0"
"59","60","60","6001","0","0","3","0","11041","104","4","0"
"60","61","61","6101","0","0","1","0","11021","102","1","0"
"61","62","62","6201","0","0","2","0","10501","50","3","0"
"62","63","63","6301","0","0","1","0","11041","104","4","0"
"63","64","64","6401","0","0","2","0","11031","103","2","0"
"64","65","65","6501","0","0","3","0","11021","102","1","0"
"65","66","66","6601","0","0","2","0","11041","104","4","0"
"66","67","67","6701","0","0","3","0","10521","52","1","0"
"67","68","68","6801","0","0","2","0","11021","102","2","0"
"68","69","69","6901","0","0","4","0","11041","104","4","0"
"69","70","70","7001","0","0","3","0","11031","103","2","0"
"70","71","71","7101","0","0","2","0","11011","101","3","0"
"71","72","72","7201","0","0","3","0","11001","100","2","0"
"72","73","73","7301","0","0","1","0","11041","104","4","0"
"73","74","74","7401","0","0","1","0","11031","103","1","0"
"74","75","75","7501","0","0","3","0","11021","102","3","0"
"75","76","76","7601","0","0","4","0","10501","50","1","0"
"76","77","77","7701","0","0","3","0","11041","104","4","0"
"77","78","78","7801","0","0","2","0","11011","101","2","0"
"78","79","79","7901","0","0","3","0","11001","100","3","0"
"79","80","80","8001","0","0","2","0","11041","104","4","0"
"80","81","81","8101","0","0","1","0","10521","52","3","0"
"81","82","82","8201","0","0","2","0","11011","101","1","0"
"82","83","83","8301","0","0","4","0","10501","50","3","0"
"83","84","84","8401","0","0","3","0","11031","103","1","0"
"84","85","85","8501","0","0","2","0","11041","104","4","0"
"85","86","86","8601","0","0","3","0","11001","100","2","0"
"86","87","87","8701","0","0","2","0","11021","102","2","0"
"87","88","88","8801","0","0","1","0","11031","103","2","0"
"88","89","89","8901","0","0","3","0","11041","104","4","0"
"89","90","90","9001","0","0","2","0","11021","102","1","0"
"90","91","91","9101","0","0","3","0","11041","104","4","0"
"91","92","92","9201","0","0","4","0","10501","50","3","0"
"92","93","93","9301","0","0","3","0","11041","104","4","0"
"93","94","94","9401","0","0","2","0","11021","102","1","0"
"94","95","95","9501","0","0","2","0","11031","103","2","0"
"95","96","96","9601","0","0","3","0","11041","104","4","0"
