ef3d2b9ed01e3e237a963c9ea885d9597bc74a7a3494f6f9e491b7ecd93afb91,41ad48bdaeeb68ef22f8b7ed1c8cb781593e45b8d04bfe89e7b9ddfae4cd0b8e,59145d39f007413c2a5486b57b754cf742ca7e27bda876843f940f5708a2cd2b,429b8a8b295294ca6784eea5dfaf0d05104f1d395e1c62ae080b6532a5e8790b,b6db9ea4de9b51e738eb49ce9874253e1c29cceb6a894d6380b8924bf7b54e56,30c74d33df9f3d24a73828a4a39c3b10c237a8cd738a429293174ec6ff46c7b1,824a0578c7c7fbe3c1b40d254938fbc21f6a61b66d55a0878f49226f2bb4f275,20947e18f308ca086a5d0718cfb1952dc05e6f3ef87cebe1d005107122ac0a1a,bb5337053feaa8dd57475614bcaaa4be3c8e00561358b8534c2156885e79b349,f4965fe432992ab7cf27ab5119bf745ab6c19deed6b78db13081e3373470aedc,b89321b64b6c9e20517d1ee3d5e184bd8b7a525eb0fc5eb50e3e97405281aaf6
"","surprise_talk","5146061","3","","105811","61052","0.2","1","",""
"","surprise_talk","5146061","3","","1058","61053","0.2","1","",""
"0","vo_apg_0104","5146061","21","","vo_apg","61054","","0","",""
"1","……キャルちゃん、\n写真写りたくないんですかね…？","5146061","11","1","105811","61055","0","10","0","0"
"","","5146061","91","","0","61056","","","",""
"","surprise_idle_talk1R","5146061","3","","105811","61057","0.2","1","",""
"","surprise_idle_talk1R","5146061","3","","1058","61058","0.2","1","",""
"","kokkoro_surprise_talk","5146061","3","","105911","61059","0.2","1","",""
"","kokkoro_surprise_talk","5146061","3","","1059","61060","0.2","1","",""
"0","vo_apg_0105","5146061","21","","vo_apg","61061","","0","",""
"1","はい。\nどうやらそのようでございます","5146061","11","1","105911","61062","0","10","0","0"
"","","5146061","91","","0","61063","","","",""
"","kokkoro_idle_normal","5146061","3","","105911","61064","0.2","1","",""
"","kokkoro_idle_normal","5146061","3","","1059","61065","0.2","1","",""
"","idle_normal_talk1R","5146061","3","","105811","61066","0.2","1","",""
"","idle_normal_talk1R","5146061","3","","1058","61067","0.2","1","",""
"","0","5146061","4","","105811","61068","","","",""
"","0","5146061","4","","1058","61069","","","",""
"","1","5146061","4","","106011","61070","","","",""
"","1","5146061","4","","1060","61071","","","",""
"cool_talk_sing_shy","cool_in_sing_shy","5146061","3","1","106011","61072","0.2","0","","0"
"cool_talk_sing_shy","cool_in_sing_shy","5146061","3","1","1060","61073","0.2","0","","0"
"0","vo_apg_0106","5146061","21","","vo_apg","61074","","0","",""
"1","ほら、さっさと乗るわよー\nはーやだやだ…ふふふ","5146061","11","1","106011","61075","0","10","0","0"
"","","5146061","91","","0","61076","","","",""
"","0","5146061","22","","0","61077","","","",""
"","walk_kyapi_shy","5146061","3","","106011","61078","0.2","1","",""
"","walk_kyapi_shy","5146061","3","","1060","61079","0.2","1","",""
"","walk_furimuki","5146061","3","","105811","61080","0.2","1","",""
"","walk_furimuki","5146061","3","","1058","61081","0.2","1","",""
"","kokkoro_walk_surprise","5146061","3","","105911","61082","0.2","1","",""
"","kokkoro_walk_surprise","5146061","3","","1059","61083","0.2","1","",""
"2","149","5146061","2","0","106011","61084","","-278","",""
"2","149","5146061","2","0","1060","61085","","-278","",""
"2","-54","5146061","2","0","105811","61086","","-278","",""
"2","-54","5146061","2","0","1058","61087","","-278","",""
"2","-214","5146061","2","0","105911","61088","","-288","",""
"2","-214","5146061","2","0","1059","61089","","-288","",""
"","0","5146061","93","","1","61090","","","",""
"","iris_in","5146061","37","","2","61091","","","",""
"","0","5146061","93","","2","61092","","","",""
"","se_10055900_coaster_02","5146061","23","","se_10055900","61093","","1","",""
"","1","5146061","32","","10","61094","","","",""
"","30","5146061","122","","30","61095","","0.5","",""
"0","vo_apg_0107","5146061","21","","vo_apg","61096","","0","",""
"","0107_in","5146061","3","","202","61097","0","0","",""
"","1","5146061","93","","0.7","61098","","","",""
"","0107_mid","5146061","3","","202","61099","0","0","",""
"","","5146061","92","","","61100","","","",""
"","0107_out","5146061","3","","202","61101","0","0","",""
"","0","5146061","93","","0.2","61102","","","",""
"0","0","5146061","2","0","202","61103","","-211","",""
"","30","5146061","122","","30","61104","","0.5","",""
"0","vo_apg_0108","5146061","21","","vo_apg","61105","","0","",""
"","0108_in","5146061","3","","203","61106","0","0","",""
"","1","5146061","93","","0.8","61107","","","",""
"","0108_mid","5146061","3","","203","61108","0","0","",""
"","","5146061","92","","","61109","","","",""
"","0108_out","5146061","3","","203","61110","0","0","",""
"","0","5146061","93","","0.2","61111","","","",""
"0","315","5146061","2","0","201","61112","","16","",""
"","30","5146061","122","","30","61113","","0.5","",""
"0","vo_apg_0109","5146061","21","","vo_apg","61114","","0","",""
"","0109_in","5146061","3","","201","61115","0","0","",""
"","1","5146061","93","","1.1","61116","","","",""
"","0109_mid","5146061","3","","201","61117","0","0","",""
"","","5146061","92","","","61118","","","",""
"","0109_out","5146061","3","","201","61119","0","0","",""
"","0","5146061","93","","0.2","61120","","","",""
"","30","5146061","122","","30","61121","","0.5","",""
"0","vo_apg_0110","5146061","21","","vo_apg","61122","","0","",""
"","0107_in","5146061","3","","202","61123","0","0","",""
"","0108_in","5146061","3","","203","61124","0","0","",""
"","0109_in","5146061","3","","201","61125","0","0","",""
"","1","5146061","93","","1.1","61126","","","",""
"","0107_mid","5146061","3","","202","61127","0","0","",""
"","0108_mid","5146061","3","","203","61128","0","0","",""
"","0109_mid","5146061","3","","201","61129","0","0","",""
"","","5146061","92","","","61130","","","",""
"","0107_out","5146061","3","","202","61131","0","0","",""
"","0108_out","5146061","3","","203","61132","0","0","",""
"","0109_out","5146061","3","","201","61133","0","0","",""
"","0","5146061","93","","0.2","61134","","","",""
"0","216","5146061","2","0","201","61135","","0","",""
"0","vo_apg_0111","5146061","21","","vo_apg","61136","","0","",""
"","0111_in","5146061","3","","201","61137","0","0","",""
"","1","5146061","93","","1.8","61138","","","",""
"","0111_mid","5146061","3","","201","61139","0","0","",""
"","","5146061","92","","","61140","","","",""
"","0111_out","5146061","3","","201","61141","0","0","",""
"","0","5146061","93","","0.2","61142","","","",""
"","0","5146061","22","","0","61143","","","",""
"","","5146061","93","","0.5","61144","","","",""
"","1","5146061","32","","11","61145","","","",""
"","se_10055900_camera","5146061","23","","se_10055900","61146","","0","",""
"","0","5146061","93","","0.2","61147","","","",""
"","0","5146061","32","","10","61148","","","",""
"","0","5146061","93","","1.8","61149","","","",""
"","0.5","5146061","24","","se_10055900_coaster_02","61150","","","",""
"","iris_out","5146061","37","","2","61151","","","",""
"0","129","5146061","2","0","106011","61152","","-278","",""
"0","129","5146061","2","0","1060","61153","","-278","",""
"0","-34","5146061","2","0","105811","61154","","-278","",""
"0","-34","5146061","2","0","1058","61155","","-278","",""
"0","-194","5146061","2","0","105911","61156","","-288","",""
"0","-194","5146061","2","0","1059","61157","","-288","",""
"","walk_normal_dere2","5146061","3","","106011","61158","0.2","1","",""
"","walk_normal_dere2","5146061","3","","1060","61159","0.2","1","",""
"","walk_normal_joy","5146061","3","","105811","61160","0.2","1","",""
"","walk_normal_joy","5146061","3","","1058","61161","0.2","1","",""
"","kokkoro_walk_normal_dere","5146061","3","","105911","61162","0.2","1","",""
"","kokkoro_walk_normal_dere","5146061","3","","1059","61163","0.2","1","",""
"2","290","5146061","2","0","106011","61164","","-278","",""
"2","290","5146061","2","0","1060","61165","","-278","",""
"2","-225","5146061","2","0","105811","61166","","-278","",""
"2","-225","5146061","2","0","1058","61167","","-278","",""
"2","-385","5146061","2","0","105911","61168","","-288","",""
"2","-385","5146061","2","0","1059","61169","","-288","",""
"","0","5146061","4","","106011","61170","","","",""
"","0","5146061","4","","1060","61171","","","",""
"","1","5146061","4","","105811","61172","","","",""
"","1","5146061","4","","1058","61173","","","",""
"","1","5146061","4","","105911","61174","","","",""
"","1","5146061","4","","1059","61175","","","",""
"","0","5146061","93","","2","61176","","","",""
"","1","5146061","4","","106011","61177","","","",""
"","1","5146061","4","","1060","61178","","","",""
"","0","5146061","4","","105811","61179","","","",""
"","0","5146061","4","","1058","61180","","","",""
"","0","5146061","4","","105911","61181","","","",""
"","0","5146061","4","","1059","61182","","","",""
"","joy_idle_doya_shy","5146061","3","","106011","61183","0.2","1","",""
"","joy_idle_doya_shy","5146061","3","","1060","61184","0.2","1","",""
"","idle_normal","5146061","3","","105811","61185","0.2","1","",""
"","idle_normal","5146061","3","","1058","61186","0.2","1","",""
"","kokkoro_idle_normal_joy","5146061","3","","105911","61187","0.2","1","",""
"","kokkoro_idle_normal_joy","5146061","3","","1059","61188","0.2","1","",""
"","0","5146061","93","","0.3","61189","","","",""
"guts2_talk_joy","jump_short","5146061","3","1","105811","61190","0.2","0","","0.2"
"guts2_talk_joy","jump_short","5146061","3","1","1058","61191","0.2","0","","0.2"
"0","vo_apg_0112","5146061","21","","vo_apg","61192","","0","",""
"1","はぁ～♪\n楽しかったですねー☆","5146061","11","1","105811","61193","0","10","0","0"
"","","5146061","91","","0","61194","","","",""
"","idle_normal","5146061","3","","105811","61195","0.2","1","",""
"","idle_normal","5146061","3","","1058","61196","0.2","1","",""
"","kokkoro_talk_normal","5146061","3","","105911","61197","0.2","1","",""
"","kokkoro_talk_normal","5146061","3","","1059","61198","0.2","1","",""
"0","vo_apg_0113","5146061","21","","vo_apg","61199","","0","",""
"1","みなさま。\nお写真が\n仕上がったみたいです","5146061","11","1","105911","61200","0","10","0","0"
"","","5146061","91","","0","61201","","","",""
"","kokkoro_idle_normal_joy","5146061","3","","105911","61202","0.2","1","",""
"","kokkoro_idle_normal_joy","5146061","3","","1059","61203","0.2","1","",""
"armcrossed_talk_dere_shy","armcrossed_in_dere_shy","5146061","3","1","106011","61204","0.2","0","","0"
"armcrossed_talk_dere_shy","armcrossed_in_dere_shy","5146061","3","1","1060","61205","0.2","0","","0"
"0","vo_apg_0114","5146061","21","","vo_apg","61206","","0","",""
"1","は～最悪。\n…ま、どんなもんか\n一応見てやるけど♪","5146061","11","1","106011","61207","0","10","0","0"
"","","5146061","91","","0","61208","","","",""
"","0","5146061","22","","0","61209","","","",""
"","armcrossed_idle_anger_lookup","5146061","3","","106011","61210","0.2","0","",""
"","armcrossed_idle_anger_lookup","5146061","3","","1060","61211","0.2","0","",""
"","idle_normal_lookup","5146061","3","","105811","61212","0.2","1","",""
"","idle_normal_lookup","5146061","3","","1058","61213","0.2","1","",""
"","kokkoro_wish_idle_joy_lookup","5146061","3","","105911","61214","0.2","1","",""
"","kokkoro_wish_idle_joy_lookup","5146061","3","","1059","61215","0.2","1","",""
"","coaster_1_in","5146061","3","","21","61216","0","0","",""
"","se_10055900_photo","5146061","23","","se_10055900","61217","","0","",""
"","0","5146061","93","","2.3","61218","","","",""
"","idle_normal_surprise","5146061","3","","105811","61219","0.2","1","",""
"","idle_normal_surprise","5146061","3","","1058","61220","0.2","1","",""
"","kokkoro_idle_normal_surprise","5146061","3","","105911","61221","0.2","1","",""
"","kokkoro_idle_normal_surprise","5146061","3","","1059","61222","0.2","1","",""
"pointing_loop_noface","pointing_in_noface","5146061","3","1","106011","61223","0.2","0","","0"
"pointing_loop_kyaru","pointing_in_kyaru","5146061","3","1","1060","61224","0.2","0","","0"
"0","vo_apg_0115","5146061","21","","vo_apg","61225","","0","",""
"1","ってなによこれーっ！！！\nあたし写ってないじゃない！！？","5146061","11","1","106011","61226","0","10","0","0"
"","1","5146061","93","","0.5","61227","","","",""
"","30","5146061","122","","30","61228","","0.5","",""
"","","5146061","91","","61226","61229","","","",""
"","surprise_talk","5146061","3","","105811","61230","0.2","1","",""
"","surprise_talk","5146061","3","","1058","61231","0.2","1","",""
"0","vo_apg_0116","5146061","21","","vo_apg","61232","","0","",""
"1","……へ？\nキャルちゃんほんとは\n写りたかったんですか？","5146061","11","1","105811","61233","0","10","0","0"
"","","5146061","91","","0","61234","","","",""
"","idle_normal_talk1R","5146061","3","","105811","61235","0.2","1","",""
"","idle_normal_talk1R","5146061","3","","1058","61236","0.2","1","",""
"","kokkoro_sad_talk","5146061","3","","105911","61237","0.2","1","",""
"","kokkoro_sad_talk","5146061","3","","1059","61238","0.2","1","",""
"0","vo_apg_0117","5146061","21","","vo_apg","61239","","0","",""
"1","写りたくないのではと思って\nキャルさまを隠しましたが。\n余計なお世話だったみたいです","5146061","11","1","105911","61240","0","10","0","0"
"","","5146061","91","","0","61241","","","",""
"","kokkoro_idle_normal","5146061","3","","105911","61242","0.2","1","",""
"","kokkoro_idle_normal","5146061","3","","1059","61243","0.2","1","",""
"shock_loop_shy_red","shock_in_shy_red","5146061","3","1","106011","61244","0.2","0","","0"
"shock_loop_shy_red","shock_in_shy_red","5146061","3","1","1060","61245","0.2","0","","0"
"0","vo_apg_0118","5146061","21","","vo_apg","61246","","0","",""
"1","い…いやそういう訳じゃ\nないけどっ！！？","5146061","11","1","106011","61247","0","10","0","0"
"","","5146061","91","","0","61248","","","",""
"","coaster_1_out","5146061","3","","21","61249","0","0","",""
"","kokkoro_idle_normal_joy","5146061","3","","105911","61250","0.2","1","","0.2"
"","kokkoro_idle_normal_joy","5146061","3","","1059","61251","0.2","1","","0.2"
"","joy_talk","5146061","3","","105811","61252","0.2","1","","0.2"
"","joy_talk","5146061","3","","1058","61253","0.2","1","","0.2"
"0","vo_apg_0119","5146061","21","","vo_apg","61254","","0","",""
"1","なんだ♪\nじゃあもう一回乗りましょー♪","5146061","11","1","105811","61255","0","10","0","0"
"","","5146061","91","","0","61256","","","",""
"","joy_idle","5146061","3","","105811","61257","0.2","1","",""
"","joy_idle","5146061","3","","1058","61258","0.2","1","",""
"","kokkoro_wish_talk_normal2","5146061","3","","105911","61259","0.2","1","",""
"","kokkoro_wish_talk_normal2","5146061","3","","1059","61260","0.2","1","",""
"0","vo_apg_0120","5146061","21","","vo_apg","61261","","0","",""
"1","はい、そういたしましょう♪","5146061","11","1","105911","61262","0","10","0","0"
"","","5146061","91","","0","61263","","","",""
"","0","5146061","22","","0","61264","","","",""
"","kokkoro_wish_idle_joy","5146061","3","","105911","61265","0.2","1","",""
"","kokkoro_wish_idle_joy","5146061","3","","1059","61266","0.2","1","",""
"","anger_talk_anger2_red","5146061","3","","106011","61267","0.2","1","",""
"","anger_talk_anger2_red","5146061","3","","1060","61268","0.2","1","",""
"0","2","5146061","12","0","106011","61269","0","2","0","0"
"0","10","5146061","12","0","105811","61270","0","2","0","0"
"0","10","5146061","12","0","105911","61271","0","2","0","0"
"","0","5146061","93","","2","61272","","","",""
"","","5146061","101","","61274","61273","","","",""
"","0.2","5146061","22","","0","61274","","","",""
"-290","100911","5146062","1","-278","1","62001","1.8","103","idle_normal","0"
"-290","1009","5146062","5","-278","3","62002","1.8","104","idle_normal","0"
"290","131011","5146062","1","-278","1","62003","1.8","100","idle_normal","1"
"","203","5146062","13","","100911","62004","","","",""
"","200","5146062","13","","131011","62005","","","",""
"0","7","5146062","5","-174","7","62006","0.85","15","idle","0"
"-132","20","5146062","5","71","20","62007","1","210","empty","0"
"0","22","5146062","5","-42","22","62008","1","210","empty","0"
"0","21","5146062","5","153","21","62009","1","60","empty","0"
"0","1","5146062","31","1","1","62010","1","0","",""
"-57.7","2","5146062","31","1","2","62011","0","0","",""
"0","10","5146062","31","1","10","62012","0","0","",""
"0","11","5146062","31","1","11","62013","0","0","",""
"-278","14","5146062","31","1","14","62014","0","-290","",""
"0","20","5146062","31","1","20","62015","1","0","",""
"","100911","5146062","36","","20","62016","","","",""
"","20","5146062","36","","20","62017","","","",""
"","22","5146062","36","","20","62018","","","",""
"","0","5146062","91","","0","62019","","","",""
"","0","5146062","102","","0","62020","","0","",""
"","0","5146062","93","","1","62021","","","",""
"cool_talk_dere","cool_in_dere","5146062","3","1","100911","62022","0.2","0","","0"
"cool_talk_dere","cool_in_dere","5146062","3","1","1009","62023","0.2","0","","0"
"0","vo_apg_0201","5146062","21","","vo_apg","62024","","0","",""
"1","いざ征かん、極滅禁断秘儀へ！\nさあ、案内を頼むぞ！","5146062","11","1","100911","62025","0","10","0","0"
"","","5146062","91","","0","62026","","","",""
"","cool_idle","5146062","3","","100911","62027","0.2","1","",""
"","cool_idle","5146062","3","","1009","62028","0.2","1","",""
"","wish_talk_joy","5146062","3","","131011","62029","0.2","1","",""
"0","vo_apg_0202","5146062","21","","vo_apg","62030","","0","",""
"1","アンナはんが興味持って\nくれるなんてうれしいわ～\nしっかり案内させてもらいます","5146062","11","1","131011","62031","0","10","0","0"
"","","5146062","91","","0","62032","","","",""
"","wish_idle","5146062","3","","131011","62033","0.2","1","",""
"sad_talk","anna_armcrossed","5146062","3","1","100911","62034","0.2","0","","0.2"
"sad_talk","anna_armcrossed","5146062","3","1","1009","62035","0.2","0","","0.2"
"0","vo_apg_0203","5146062","21","","vo_apg","62036","","0","",""
"1","うむ！　シグルドたちも\n挑んだというその試練、この冥姫も…\nって、え？　\nこれ、もしかして絶叫系…？","5146062","11","1","100911","62037","0","10","0","0"
"","","5146062","91","","0","62038","","","",""
"","sad_idle","5146062","3","","100911","62039","0.2","1","",""
"","sad_idle","5146062","3","","1009","62040","0.2","1","",""
"surprise_talk","maho_talk_normal","5146062","3","1","131011","62041","0.2","0","","0.2"
"0","vo_apg_0204","5146062","21","","vo_apg","62042","","0","",""
"1","このパークの大人気\nアトラクションなんよ～\nあら？　どないしはりました？\n顔色が良くないような…","5146062","11","1","131011","62043","0","10","0","0"
"","","5146062","91","","0","62044","","","",""
"","surprise_idle","5146062","3","","131011","62045","0.2","1","",""
"","anger_talk_shy","5146062","3","","100911","62046","0.2","1","",""
"","anger_talk_shy","5146062","3","","1009","62047","0.2","1","",""
"0","vo_apg_0205","5146062","21","","vo_apg","62048","","0","",""
"1","べべべ、別に　お、怯えてなぞ…\nまったくもって、一向に構わぬが？","5146062","11","1","100911","62049","0","10","0","0"
"","","5146062","91","","0","62050","","","",""
"","anger_idle_shy","5146062","3","","100911","62051","0.2","1","",""
"","anger_idle_shy","5146062","3","","1009","62052","0.2","1","",""
"","worry_talk","5146062","3","","131011","62053","0.2","1","",""
"0","vo_apg_0206","5146062","21","","vo_apg","62054","","0","",""
"1","せやけど、無理はせん方が\nええんとちゃいます？","5146062","11","1","131011","62055","0","10","0","0"
"","","5146062","91","","0","62056","","","",""
"","wish_idle_shy","5146062","3","","131011","62057","0.2","1","",""
"","anger_talk_pain","5146062","3","","100911","62058","0.2","1","",""
"","anger_talk_pain","5146062","3","","1009","62059","0.2","1","",""
"0","vo_apg_0207","5146062","21","","vo_apg","62060","","0","",""
"1","ええい！　か、構わんと言っている！\nここまで案内させて引くわけには…\nいくぞ！　突撃だーーーー！","5146062","11","1","100911","62061","0","10","0","0"
"","","5146062","91","","0","62062","","","",""
"","0","5146062","22","","0","62063","","","",""
"","run_dash_anger2","5146062","3","","100911","62064","0.2","1","",""
"","run_dash_anger2","5146062","3","","1009","62065","0.2","1","",""
"","walk_surprise","5146062","3","","131011","62066","0.2","1","",""
"2","-129","5146062","2","0","100911","62067","","-278","",""
"2","-129","5146062","2","0","1009","62068","","-278","",""
"2","129","5146062","2","0","131011","62069","","-278","",""
"","1","5146062","32","","14","62070","","","",""
"","left","5146062","37","","14","62071","","","",""
"2","-129","5146062","33","0","14","62072","","-278","",""
"","0","5146062","93","","1","62073","","","",""
"","1","5146062","32","","2","62074","","","",""
"","0","5146062","93","","1.5","62075","","","",""
"","0","5146062","32","","14","62076","","","",""
"0","0","5146062","2","0","100911","62077","","-331","",""
"","scale15","5146062","37","","20","62078","","","",""
"","se_10055900_coaster_01","5146062","23","","se_10055900","62079","","1","",""
"0","vo_apg_0208","5146062","21","","vo_apg","62080","","0","",""
"","0208_in","5146062","3","","22","62081","0","0","",""
"","1","5146062","93","","3.3","62082","","","",""
"","0208_mid","5146062","3","","22","62083","0","0","",""
"","","5146062","92","","","62084","","","",""
"","0208_out","5146062","3","","22","62085","0","0","",""
"","0","5146062","93","","0.2","62086","","","",""
"","0","5146062","93","","0.3","62087","","","",""
"","scale1","5146062","37","","20","62088","","","",""
"","1","5146062","32","","10","62089","","","",""
"","0.5","5146062","24","","se_10055900_coaster_01","62090","","","",""
"","se_10055900_coaster_02","5146062","23","","se_10055900","62091","","1","",""
"0","0","5146062","2","0","20","62092","","0","",""
"","30","5146062","122","","30","62093","","0.5","",""
"0","vo_apg_0209","5146062","21","","vo_apg","62094","","0","",""
"","0209_in","5146062","3","","20","62095","0","0","",""
"","1","5146062","93","","2.6","62096","","","",""
"","0209_mid","5146062","3","","20","62097","0","0","",""
"","","5146062","92","","","62098","","","",""
"","0209_out","5146062","3","","20","62099","0","0","",""
"","0","5146062","93","","0.2","62100","","","",""
"","30","5146062","122","","30","62101","","1","",""
"0","vo_apg_0210","5146062","21","","vo_apg","62102","","0","",""
"","0210_in","5146062","3","","20","62103","0","0","",""
"","1","5146062","93","","2.7","62104","","","",""
"","0210_mid","5146062","3","","20","62105","0","0","",""
"","","5146062","92","","","62106","","","",""
"","0210_out","5146062","3","","20","62107","0","0","",""
"","0","5146062","93","","0.2","62108","","","",""
"","0","5146062","22","","0","62109","","","",""
"","empty","5146062","3","","20","62110","0","1","",""
"","","5146062","93","","1","62111","","","",""
"","1","5146062","32","","11","62112","","","",""
"","se_10055900_camera","5146062","23","","se_10055900","62113","","0","",""
"","0","5146062","93","","0.2","62114","","","",""
"","0","5146062","32","","10","62115","","","",""
"","0","5146062","93","","1.8","62116","","","",""
"","0.5","5146062","24","","se_10055900_coaster_02","62117","","","",""
"","iris_out","5146062","37","","2","62118","","","",""
"0","-129","5146062","2","0","100911","62119","","-278","",""
"0","-129","5146062","2","0","1009","62120","","-278","",""
"0","129","5146062","2","0","131011","62121","","-278","",""
"","anna_walk","5146062","3","","100911","62122","0.2","1","",""
"","anna_walk","5146062","3","","1009","62123","0.2","1","",""
"","walk_normal_joy","5146062","3","","131011","62124","0.2","1","",""
"2","-290","5146062","2","0","100911","62125","","-278","",""
"2","-290","5146062","2","0","1009","62126","","-278","",""
"2","290","5146062","2","0","131011","62127","","-278","",""
"","1","5146062","4","","100911","62128","","","",""
"","1","5146062","4","","1009","62129","","","",""
"","0","5146062","4","","131011","62130","","","",""
"","0","5146062","93","","2","62131","","","",""
"","0","5146062","4","","100911","62132","","","",""
"","0","5146062","4","","1009","62133","","","",""
"","1","5146062","4","","131011","62134","","","",""
"","anna_idle","5146062","3","","100911","62135","0.2","1","",""
"","anna_idle","5146062","3","0","1009","62136","0.2","1","",""
"","idle_normal","5146062","3","","131011","62137","0.2","1","",""
"","0","5146062","93","","0.5","62138","","","",""
"","talk_normal_surprise","5146062","3","","131011","62139","0.2","1","",""
"0","vo_apg_0211","5146062","21","","vo_apg","62140","","0","",""
"1","どないでした？\nえらい声出してはったけど","5146062","11","1","131011","62141","0","10","0","0"
"","","5146062","91","","0","62142","","","",""
"","idle_normal_surprise","5146062","3","","131011","62143","0.2","1","",""
"anna_kukuku_loop","anna_kukuku_in","5146062","3","1","100911","62144","0.2","0","","0"
"anna_kukuku_loop","anna_kukuku_in","5146062","3","1","1009","62145","0.2","0","","0"
"0","vo_apg_0212","5146062","21","","vo_apg","62146","","0","",""
"1","ふ、ふふふ…シグルドよ…\n私にも、刻が…見える！","5146062","11","1","100911","62147","20","10","0","0"
"","","5146062","91","","0","62148","","","",""
"","coaster_2_in","5146062","3","","21","62149","0","0","",""
"","se_10055900_photo","5146062","23","","se_10055900","62150","","0","",""
"","0","5146062","93","","0.1","62151","","","",""
"anna_ahaha_loop","anna_ahaha_in","5146062","3","1","100911","62152","0.2","0","","0"
"anna_ahaha_loop","anna_ahaha_in","5146062","3","1","1009","62153","0.2","0","","0"
"0","vo_apg_0213","5146062","21","","vo_apg","62154","","0","",""
"1","今、冥姫は\n疾風を追い越した！","5146062","11","1","100911","62155","-30","10","0","0"
