08fe51b0685ffa8606ccd0468ac340764f6444545caf5b3632936e2a051a4171,096d7071dce45e2ea74b3e562048636c89fad1ef53ff174c9620651ae6bc17f1,34d9b76c114ba6ef7e2c0ebe4c1fdd1f08f44ec214fc583f413c38db70e9e115,5231c6d2ff6cf551e045e5b71d9d68bd533971f6d5693c663a27d35768d01740,61c8e02c932f0b094f267d3696ee4a8e0f1259059a3aa5a56833b8ee94023581,950222c19c704fca3424e25ae0096cc52d692a51f9b661ec3bb26ca1a0a64e3c,bda21795176514d8a9a020a6c49bb83c9e57b4e51bbc8e1be29476ba4ff619b4,49d77a0d5eea09dd2ecbfe3d13012bf6356a20ef3a5b8ca5c93a7542a5e59892,13a6bfec05c6e3191f04f6824954a1034ac019d6518e7d31e3cfa32e4e936d2c,e6710a33348defc8174a8421b678a48e8d93bcb16d27ee75c259f95d0a3b812b
"0","2201005","0","2023/03/15 12:00:00","0","2","3","2023/08/15 14:59:59","1003","10032"
"0","0","1009","2023/08/15 15:00:00","0","1","1","2023/08/31 11:59:59","1001","10033"
"0","2015009","1009","2023/08/15 15:00:00","0","2","2","2023/08/31 11:59:59","1002","10034"
"0","0","0","2023/08/31 12:00:00","0","1","1","2024/02/14 23:59:59","1001","10035"
"0","2015009","0","2023/08/31 12:00:00","0","2","2","2024/02/14 23:59:59","1002","10036"
"0","2201005","1009","2023/08/15 15:00:00","0","2","3","2023/08/31 11:59:59","1003","10037"
"0","2201005","0","2023/08/31 12:00:00","0","3","3","2024/02/14 23:59:59","1003","10038"
"1006","0","1010","2024/02/15","1006","1","1","2024/02/29 11:59:59","1001","10039"
"1006","2015009","1010","2024/02/15","1006","2","2","2024/02/29 11:59:59","1002","10040"
"0","0","0","2024/02/29 12:00:00","0","1","1","2024/08/15 14:59:59","1001","10041"
"0","2015009","0","2024/02/29 12:00:00","0","2","2","2024/08/15 14:59:59","1002","10042"
"1006","2201005","1010","2024/02/15","1006","3","3","2024/02/29 11:59:59","1003","10043"
"0","2201005","0","2024/02/29 12:00:00","0","3","3","2024/08/15 14:59:59","1003","10044"
"0","0","1011","2024/08/15 15:00:00","0","1","1","2024/08/16 11:59:59","1001","10045"
"0","2015009","1011","2024/08/15 15:00:00","0","2","2","2024/08/16 11:59:59","1002","10046"
"0","2201005","1011","2024/08/15 15:00:00","0","3","3","2024/08/16 11:59:59","1003","10047"
"0","0","1011","2024/08/16 12:00:00","0","1","1","2024/08/21 11:59:59","1004","10048"
"0","2015009","1011","2024/08/16 12:00:00","0","2","2","2024/08/21 11:59:59","1004","10049"
"0","2201005","1011","2024/08/16 12:00:00","0","3","3","2024/08/21 11:59:59","1004","10050"
"0","0","1011","2024/08/21 12:00:00","0","1","1","2024/08/31 11:59:59","1001","10051"
"0","2015009","1011","2024/08/21 12:00:00","0","2","2","2024/08/31 11:59:59","1002","10052"
"0","0","0","2024/08/31 12:00:00","0","1","1","2025/02/14 23:59:59","1001","10053"
"0","2015009","0","2024/08/31 12:00:00","0","2","2","2025/02/14 23:59:59","1002","10054"
"0","2201005","1011","2024/08/21 12:00:00","0","3","3","2024/08/31 11:59:59","1003","10055"
"0","2201005","0","2024/08/31 12:00:00","0","3","3","2025/02/14 23:59:59","1003","10056"
