072491247dec5bb3cdaeb0ca21bb9efb8e1b4fd799ef6ebba3666c74c3502f29,8a6380526600f13a4c58260a62ee16c111d4e414f1365b3084dbac66107bf308,ec7a11f98e21643d127e94098757add0b6fad8f422ff647aefe9c43902f38e49,a6ab99a57dc82b38257ee34b6c5e65d2751722f55a4075890c35b8611f9580d8,1b43d9fbff6ec98457f29c164857afa0c1464b432e58a50f8d9f21d7cab84bd4
"シャドウ1体追加","74002102","カリンのシャドウが追加される。","add_shadow","53"
"シャドウ強化","74002103","ミヤコ、ユカリ、アユミのシャドウに専用装備が追加される。","star6_shadow","54"
"シャドウ1体追加","74002103","カリンのシャドウが追加される。","add_shadow","55"
"シャドウ強化","74002104","ミヤコ、ユカリ、アユミのシャドウが★6になる。","star6_shadow","56"
"シャドウ1体追加","74002104","カリンのシャドウが追加される。","add_shadow","57"
"シャドウ物理攻撃力アップ","74002105","すべてのシャドウの物理攻撃力が大幅に上昇する。","boss_atk_up","58"
"シャドウ強化","74002105","ミヤコ、ユカリ、アユミのシャドウが★6になる。","star6_shadow","59"
"シャドウ1体追加","74002105","カリンのシャドウが追加される。","add_shadow","60"
"シャドウ1体追加","74002202","カヤ（リベレイター）のシャドウが追加される。","add_shadow","61"
"シャドウ強化","74002203","ツムギ（ハロウィン）、マヒル（クリスマス）、ミツキ、カスミ（マジカル）のシャドウに専用装備が追加される。","star6_shadow","62"
"シャドウ1体追加","74002203","カヤ（リベレイター）のシャドウが追加される。","add_shadow","63"
"シャドウ強化","74002204","ミツキのシャドウが★6になる。ツムギ（ハロウィン）、マヒル（クリスマス）、カスミ（マジカル）のシャドウに専用装備が追加される。","star6_shadow","64"
"シャドウ1体追加","74002204","カヤ（リベレイター）のシャドウが追加される。","add_shadow","65"
"シャドウ魔法防御力アップ","74002205","すべてのシャドウの魔法防御力が大幅に上昇する。","boss_magic_def_up","66"
"シャドウ強化","74002205","ツムギ（ハロウィン）、マヒル（クリスマス）、カスミ（マジカル）のシャドウに専用装備が追加され、ミツキのシャドウが★6になる。","star6_shadow","67"
"シャドウ1体追加","74002205","カヤ（リベレイター）のシャドウが追加される。","add_shadow","68"
"シャドウ1体追加","74002302","ノゾミのシャドウが追加される。","add_shadow","69"
"シャドウ2体追加","74002303","ノゾミとキャル（プリンセス）のシャドウが追加される。","add_shadow","70"
"編成キャラ数制限","74002304","編成可能キャラ数が4キャラになる。","limit_chara_num","71"
"シャドウ強化","74002304","ノゾミのシャドウが★6になる。キャル（プリンセス）のシャドウに専用装備が追加される。","star6_shadow","72"
"シャドウ2体追加","74002304","ノゾミとキャル（プリンセス）のシャドウが追加される。","add_shadow","73"
"編成キャラ数制限","74002305","編成可能キャラ数が4キャラになる。","limit_chara_num","74"
"開始時物理防御力アップ","74002305","バトル開始時、ボスモンスターが敵全員の物理防御力を特大アップさせる。","boss_def_up","75"
"開始時魔法防御力アップ","74002305","バトル開始時、ボスモンスターが敵全員の魔法防御力を特大アップさせる。","boss_magic_def_up","76"
"シャドウ強化","74002305","ノゾミのシャドウが★6になる。キャル（プリンセス）のシャドウに専用装備が追加される。","star6_shadow","77"
"シャドウ2体追加","74002305","ノゾミとキャル（プリンセス）のシャドウが追加される。","add_shadow","78"
"シャドウ1体追加","74002402","アヤネのシャドウが追加される。","add_shadow","79"
"シャドウ2体追加","74002403","アヤネとぺコリーヌ（サマー）のシャドウが追加される。","add_shadow","80"
"編成キャラ数制限","74002404","編成可能キャラ数が4キャラになる。","limit_chara_num","81"
"シャドウ強化","74002404","アヤネとぺコリーヌ（サマー）のシャドウが★6になる。","star6_shadow","82"
"シャドウ2体追加","74002404","アヤネとぺコリーヌ（サマー）のシャドウが追加される。","add_shadow","83"
"編成キャラ数制限","74002405","編成可能キャラ数が4キャラになる。","limit_chara_num","84"
"開始時物理防御力アップ","74002405","バトル開始時、ボスモンスターが敵全員の物理防御力を特大アップさせる。","boss_def_up","85"
"開始時魔法防御力アップ","74002405","バトル開始時、ボスモンスターが敵全員の魔法防御力を特大アップさせる。","boss_magic_def_up","86"
"シャドウ強化","74002405","アヤネとぺコリーヌ（サマー）のシャドウが★6になる。","star6_shadow","87"
"シャドウ2体追加","74002405","アヤネとぺコリーヌ（サマー）のシャドウが追加される。","add_shadow","88"
"バトル時間制限","74002502","バトル時間が70秒になる。","limit_time","89"
"バトル時間制限","74002503","バトル時間が60秒になる。","limit_time","90"
"バトル時間制限","74002504","バトル時間が60秒になる。","limit_time","91"
"ボスUB強化","74002504","ボスモンスターのユニオンバーストが強化される。","boss_ub_enhance","92"
"バトル時間制限","74002505","バトル時間が45秒になる。","limit_time","93"
"ボスUB強化","74002505","ボスモンスターのユニオンバーストが強化される。","boss_ub_enhance","94"
"シャドウ強化","74003102","カスミ、ハツネ、ユイ（プリンセス）のシャドウに専用装備が追加される。","star6_shadow","95"
"シャドウ1体追加","74003103","ユキのシャドウが追加される。","add_shadow","96"
"シャドウ強化","74003103","ハツネ、ユキのシャドウが★6になる。","star6_shadow","97"
"編成キャラ数制限","74003104","編成可能キャラ数が4キャラになる。","limit_chara_num","98"
"編成キャラ数制限","74003105","編成可能キャラ数が4キャラになる。","limit_chara_num","99"
"シャドウ最大ＨＰアップ","74003105","すべてのシャドウの最大ＨＰが大幅に上昇する。","max_hp_up","100"
"モンスター1体追加","74003202","カーズ・レリックが追加される。","add_shadow","101"
"シャドウ強化","74003203","アオイのシャドウが★6になる。","star6_shadow","102"
"開始時魔法ダメージカット","74003204","バトル開始時、カーズ・レリックが味方全体を魔法ダメージ50%カット状態にさせる。","boss_magic_cut","103"
"モンスター強化","74003204","カーズ・レリックのスキルが強化される。","boss_ub_enhance","104"
"開始時魔法ダメージカット","74003205","バトル開始時、カーズ・レリックが味方全体を魔法ダメージ75%カット状態にさせる。","boss_magic_cut","105"
"編成キャラ数制限","74003205","編成可能キャラ数が4キャラになる。","limit_chara_num","106"
"モンスター1体追加","74003302","ヒール・レリックが追加される。","add_shadow","107"
"シャドウ強化","74003303","キャル（ニューイヤー）のシャドウに専用装備が追加される。","star6_shadow","108"
"開始時物理ダメージカット","74003304","バトル開始時、ヒール・レリックが味方全体を物理ダメージ50%カット状態にさせる。","boss_physics_cut","109"
"モンスター強化","74003304","ヒール・レリックのスキルが強化される。","boss_ub_enhance","110"
"開始時物理ダメージカット","74003305","バトル開始時、ヒール・レリックが味方全体を物理ダメージ75%カット状態にさせる。","boss_physics_cut","111"
"編成キャラ数制限","74003305","編成可能キャラ数が4キャラになる。","limit_chara_num","112"
"ボス物理防御力（ダウン不可）アップ","74003402","バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","113"
"ボス魔法防御力（ダウン不可）アップ","74003402","バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","114"
"バトル時間制限","74003403","バトル時間が70秒になる。","limit_time","115"
"ボス物理防御力（ダウン不可）アップ","74003403","バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","116"
"ボス魔法防御力（ダウン不可）アップ","74003403","バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","117"
"バトル時間制限","74003404","バトル時間が70秒になる。","limit_time","118"
"ボスUB強化","74003404","ボスモンスターのユニオンバーストが強化される。","boss_ub_enhance","119"
"ボスＴＰダウンカット","74003404","バトル開始時、ボスモンスターがＴＰダウン100％カット状態になる。","boss_tp_down_cut","120"
"ボス物理防御力（ダウン不可）アップ","74003404","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","121"
"ボス魔法防御力（ダウン不可）アップ","74003404","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","122"
"バトル時間制限","74003405","バトル時間が50秒になる。","limit_time","123"
"ボスUB強化","74003405","ボスモンスターのユニオンバーストが強化される。","boss_ub_enhance","124"
"ボスＴＰダウンカット","74003405","バトル開始時、ボスモンスターがＴＰダウン100％カット状態になる。","boss_tp_down_cut","125"
"ボス物理防御力（ダウン不可）アップ","74003405","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","126"
"ボス魔法防御力（ダウン不可）アップ","74003405","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","127"
"ボス物理防御力（ダウン不可）アップ","74003502","バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","128"
"ボス魔法防御力（ダウン不可）アップ","74003502","バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","129"
"ボス物理防御力（ダウン不可）アップ","74003503","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","130"
"ボス魔法防御力（ダウン不可）アップ","74003503","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","131"
"モンスター1体追加","74003504","ルナポッドが追加される。","add_shadow","132"
"ボス物理防御力（ダウン不可）アップ","74003504","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","133"
"ボス魔法防御力（ダウン不可）アップ","74003504","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","134"
"シャドウ1体追加","74003505","カイザーインサイトのシャドウが追加される。","add_shadow","135"
"ボス物理防御力（ダウン不可）アップ","74003505","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","136"
"ボス魔法防御力（ダウン不可）アップ","74003505","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","137"
"シャドウ強化","74004102","イノリ、サレン、ヨリ、ユニのシャドウに専用装備が追加される。","star6_shadow","138"
"シャドウ1体追加","74004103","サレン（サマー）のシャドウが追加される。","add_shadow","139"
"シャドウ強化","74004103","サレン、ヨリのシャドウが★6になる。","star6_shadow","140"
"編成キャラ数制限","74004104","編成可能キャラ数が4キャラになる。","limit_chara_num","141"
"編成キャラ数制限","74004105","編成可能キャラ数が4キャラになる。","limit_chara_num","142"
"シャドウ最大ＨＰアップ","74004105","すべてのシャドウの最大ＨＰが大幅に上昇する。","max_hp_up","143"
"モンスター1体追加","74004202","シールド・レリックが追加される。","add_shadow","144"
"シャドウ強化","74004203","ネネカ（ニューイヤー）のシャドウに専用装備が追加される。","star6_shadow","145"
"モンスター強化","74004204","シールド・レリックのスキルが強化される。","boss_ub_enhance","146"
"開始時ＨＰ回復","74004204","バトル開始時、シールド・レリックのが味方全体のＨＰを特大回復させる。","hp_recover","147"
"開始時ＨＰ回復","74004205","バトル開始時、シールド・レリックのが味方全体のＨＰを特大回復させる。","hp_recover","148"
"開始時ＴＰ継続回復付与","74004205","バトル開始時、シールド・レリックのが味方全体に継続ＴＰ回復状態を付与する。","energy_recover","149"
"モンスター1体追加","74004302","アタック・レリックが追加される。","add_shadow","150"
"シャドウ強化","74004303","リマのシャドウが★6になる。","star6_shadow","151"
"モンスター強化","74004304","アタック・レリックのスキルが強化される。","boss_ub_enhance","152"
"開始時行動速度アップフィールド","74004305","バトル開始時、アタック・レリックが味方全体の行動速度を特大アップさせるフィールドを展開する。","boss_haste","153"
"キャラ最大HPダウン","74004402","パーティキャラの最大HPが20％ダウンする。","max_hp_down","154"
"バトル時間制限","74004403","バトル時間が75秒になる。","limit_time","155"
"キャラ最大HPダウン","74004403","パーティキャラの最大HPが20％ダウンする。","max_hp_down","156"
"バトル時間制限","74004404","バトル時間が75秒になる。","limit_time","157"
"編成キャラ数制限","74004404","編成可能キャラ数が4キャラになる。","limit_chara_num","158"
"キャラ最大HPダウン","74004404","パーティキャラの最大HPが20％ダウンする。","max_hp_down","159"
"バトル時間制限","74004405","バトル時間が60秒になる。","limit_time","160"
"編成キャラ数制限","74004405","編成可能キャラ数が4キャラになる。","limit_chara_num","161"
"キャラ最大HPダウン","74004405","パーティキャラの最大HPが20％ダウンする。","max_hp_down","162"
"キャラ最大HPダウン","74004502","パーティキャラの最大HPが20％ダウンする。","max_hp_down","163"
"ボスUB・スキル強化","74004503","ボスモンスターのユニオンバーストとスキルが強化される。","boss_ub_enhance","164"
"ボスＴＰダウンカット","74004503","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","boss_tp_down_cut","165"
"キャラ最大HPダウン","74004503","パーティキャラの最大HPが20％ダウンする。","max_hp_down","166"
"モンスター1体追加","74004504","ルナポッドが追加される。","add_shadow","167"
"ボスＴＰダウンカット","74004504","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","boss_tp_down_cut","168"
"キャラ最大HPダウン","74004504","パーティキャラの最大HPが20％ダウンする。","max_hp_down","169"
"シャドウ1体追加","74004505","アヤネのシャドウが追加される。","add_shadow","170"
"ボスＴＰダウンカット","74004505","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","boss_tp_down_cut","171"
"キャラ最大HPダウン","74004505","パーティキャラの最大HPが20％ダウンする。","max_hp_down","172"
"シャドウ強化","74005102","リマ、カヤ、イノリ、サレン（サマー）のシャドウに専用装備が追加される。","star6_shadow","173"
"シャドウ強化","74005103","リマ、カヤ、イノリのシャドウが★6になる。","star6_shadow","174"
"物理ダメージカット","74005103","バトル開始時、すべてのモンスターが物理ダメージ50％カット状態になる。","boss_physics_cut","175"
"編成キャラ数制限","74005104","編成可能キャラ数が4キャラになる。","limit_chara_num","176"
"物理ダメージカット","74005104","バトル開始時、すべてのモンスターが物理ダメージ50％カット状態になる。","boss_physics_cut","177"
"編成キャラ数制限","74005105","編成可能キャラ数が4キャラになる。","limit_chara_num","178"
"物理ダメージカット","74005105","バトル開始時、すべてのモンスターが物理ダメージ100％カット状態になる。","boss_physics_cut","179"
"シャドウ強化","74005202","ミヤコ、レイ（ニューイヤー）、ユカリ、ハツネ、ミサキ（ハロウィン）のシャドウに専用装備が追加される。","star6_shadow","180"
"シャドウ強化","74005203","ミヤコ、レイ（ニューイヤー）、ユカリ、ハツネのシャドウが★6になる。","star6_shadow","181"
"魔法ダメージカット","74005203","バトル開始時、すべてのモンスターが魔法ダメージ50％カット状態になる。","boss_magic_cut","182"
"編成キャラ数制限","74005204","編成可能キャラ数が4キャラになる。","limit_chara_num","183"
"魔法ダメージカット","74005204","バトル開始時、すべてのモンスターが魔法ダメージ50％カット状態になる。","boss_magic_cut","184"
"編成キャラ数制限","74005205","編成可能キャラ数が4キャラになる。","limit_chara_num","185"
"魔法ダメージカット","74005205","バトル開始時、すべてのモンスターが魔法ダメージ100％カット状態になる。","boss_magic_cut","186"
"ダメージ減衰","74005301","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","187"
"ＴＰ上昇上限付与","74005301","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","188"
"物理防御力（ダウン不可）アップ","74005301","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","189"
"魔法防御力（ダウン不可）アップ","74005301","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","190"
"ＨＰ吸収ダウン","74005301","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","9","191"
"モンスター追加","74005302","ゼラチナ、エルダークラウドが追加される。","add_shadow","192"
"ダメージ減衰","74005302","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","193"
"ＴＰ上昇上限付与","74005302","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","194"
"物理防御力（ダウン不可）アップ","74005302","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","195"
"魔法防御力（ダウン不可）アップ","74005302","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","196"
"ＨＰ吸収ダウン","74005302","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","9","197"
"モンスター追加","74005303","ユカリ、ホマレ（ニューイヤー）が追加される。","add_shadow","198"
"ダメージ減衰","74005303","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","199"
"ＴＰ上昇上限付与","74005303","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","200"
"物理防御力（ダウン不可）アップ","74005303","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","201"
"魔法防御力（ダウン不可）アップ","74005303","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","202"
"ＨＰ吸収ダウン","74005303","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","9","203"
"モンスター追加","74005304","ルナポッドが追加される。","add_shadow","204"
"ダメージ減衰","74005304","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","205"
"ＴＰ上昇上限付与","74005304","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","206"
"物理防御力（ダウン不可）アップ","74005304","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","207"
"魔法防御力（ダウン不可）アップ","74005304","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","208"
"ＨＰ吸収ダウン","74005304","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","9","209"
"バトル時間制限","74005305","バトル時間が60秒になる。","limit_time","210"
"ダメージ減衰","74005305","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","211"
"ＴＰ上昇上限付与","74005305","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","212"
"物理防御力（ダウン不可）アップ","74005305","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","213"
"魔法防御力（ダウン不可）アップ","74005305","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","214"
"ＨＰ吸収ダウン","74005305","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","9","215"
"ダメージ減衰","74005401","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","216"
"ＴＰ上昇上限付与","74005401","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","217"
"物理防御力（ダウン不可）アップ","74005401","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","218"
"魔法防御力（ダウン不可）アップ","74005401","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","219"
"ＨＰ吸収ダウン","74005401","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","9","220"
"モンスター追加","74005402","タートルタイラント、ホオズキムシが追加される。","add_shadow","221"
"ダメージ減衰","74005402","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","222"
"ＴＰ上昇上限付与","74005402","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","223"
"物理防御力（ダウン不可）アップ","74005402","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","224"
"魔法防御力（ダウン不可）アップ","74005402","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","225"
"ＨＰ吸収ダウン","74005402","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","9","226"
"モンスター追加","74005403","シズル（ノワール）、コッコロ（サマー）が追加される。","add_shadow","227"
"ダメージ減衰","74005403","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","228"
"ＴＰ上昇上限付与","74005403","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","229"
"物理防御力（ダウン不可）アップ","74005403","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","230"
"魔法防御力（ダウン不可）アップ","74005403","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","231"
"ＨＰ吸収ダウン","74005403","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","9","232"
"モンスター追加","74005404","ルナポッドが追加される。","add_shadow","233"
"ダメージ減衰","74005404","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","234"
"ＴＰ上昇上限付与","74005404","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","235"
