67a05ea10b08274785f7df470c05a8a54c6cae69dba2fca31ac1cf4ecc36b04b,21f772a600462a3975dd3799730c9c90a8b0c2e4adc217be0764ba59c141a9de,08798652d1146494fcebc188046353aaeebc6f94869f5bf3f7c821d7f3d380d3
"11190101","111901","4"
"11200101","112001","5"
"11210101","112101","4"
"11220101","112201","4"
"11230101","112301","4"
"11240101","112401","4"
"11250101","112501","2"
"11260101","112601","1"
"11270101","112701","3"
"11280101","112801","3"
"11290101","112901","3"
"11300101","113001","3"
"11310101","113101","2"
"11320101","113201","2"
"11330101","113301","2"
"11340101","113401","2"
"11350101","113501","2"
"11360101","113601","1"
"11370101","113701","4"
"11380101","113801","4"
"11390101","113901","5"
"11400101","114001","5"
"11410101","114101","5"
"11420101","114201","4"
"11430101","114301","4"
"11440101","114401","4"
"11450101","114501","4"
"11460101","114601","4"
"11470101","114701","1"
"11500101","115001","3"
"11550101","115501","3"
"11560101","115601","3"
"11570101","115701","2"
"11580101","115801","4"
"11590101","115901","4"
"11600101","116001","4"
"11620101","116201","3"
"11630101","116301","3"
"11640101","116401","3"
"11650101","116501","1"
"11660101","116601","3"
"11670101","116701","1"
"11680101","116801","1"
"11690101","116901","1"
"11700101","117001","2"
"11710101","117101","2"
"11720101","117201","2"
"11730101","117301","2"
"11740101","117401","2"
"11750101","117501","5"
"11760101","117601","4"
"11770101","117701","1"
"11780101","117801","1"
"11790101","117901","5"
"11800101","118001","4"
"11810101","118101","5"
"11820101","118201","5"
"11850101","118501","3"
"11860101","118601","4"
"11900101","119001","5"
"11910101","119101","5"
"11920101","119201","3"
"11930101","119301","4"
"11990101","119901","2"
"12000101","120001","5"
"12070101","120701","4"
"12080101","120801","2"
"12090101","120901","5"
"12100101","121001","4"
"12110101","121101","4"
"12120101","121201","4"
"12130101","121301","4"
"12140101","121401","5"
"12150101","121501","5"
"12160101","121601","5"
"12190101","121901","2"
"12200101","122001","2"
"12210101","122101","3"
"12220101","122201","3"
"12230101","122301","5"
"12240101","122401","2"
"12250101","122501","2"
"12260101","122601","2"
"12270101","122701","2"
"12280101","122801","1"
"12290101","122901","2"
"12300101","123001","4"
"12310101","123101","3"
"12320101","123201","3"
"12330101","123301","2"
"12350101","123501","5"
"12360101","123601","1"
"12370101","123701","1"
"12380101","123801","3"
"12390101","123901","1"
"12400101","124001","3"
"12410101","124101","3"
"12420101","124201","4"
"12450101","124501","1"
"12460101","124601","4"
"12470101","124701","5"
"12480101","124801","4"
"12490101","124901","4"
"12500101","125001","4"
"12510101","125101","3"
"12520101","125201","3"
"12530101","125301","3"
"12540101","125401","3"
"12550101","125501","5"
"12560101","125601","5"
"12570101","125701","5"
"12580101","125801","5"
"12600101","126001","5"
"12610101","126101","5"
"12620101","126201","3"
"12630101","126301","3"
"12640101","126401","4"
"12650101","126501","4"
"12660101","126601","2"
"12670101","126701","1"
"12680101","126801","2"
"12690101","126901","2"
"12700101","127001","2"
"12710101","127101","5"
"12720101","127201","1"
"12730101","127301","4"
"12750101","127501","1"
"12760101","127601","2"
"12770101","127701","1"
"12780101","127801","1"
"12790101","127901","2"
"12800101","128001","4"
"12830101","128301","1"
"12840101","128401","4"
"12850101","128501","1"
"12870101","128701","1"
"12880101","128801","3"
"12890101","128901","4"
"12900101","129001","5"
"12930101","129301","2"
"12940101","129401","2"
"12950101","129501","2"
"12960101","129601","3"
"12970101","129701","1"
"12980101","129801","5"
"12990101","129901","5"
"13000101","130001","5"
"13010101","130101","3"
"13020101","130201","1"
"13070101","130701","3"
"13080101","130801","3"
"13090101","130901","4"
"13100101","131001","4"
"13110101","131101","1"
"13120101","131201","3"
"13160101","131601","2"
"13170101","131701","2"
"13180101","131801","5"
"13190101","131901","3"
"13200101","132001","5"
"13210101","132101","4"
"13220101","132201","2"
"13230101","132301","1"
"13240101","132401","4"
"13250101","132501","2"
"13280101","132801","1"
"13290101","132901","4"
"13300101","133001","5"
"13310101","133101","5"
"13320101","133201","4"
"13350101","133501","4"
"13360101","133601","5"
"13370101","133701","2"
"13380101","133801","5"
"13390101","133901","5"
"13400101","134001","3"
"13430101","134301","3"
"13440101","134401","3"
"13450101","134501","1"
"13460101","134601","4"
"13470101","134701","1"
"13480101","134801","4"
"13490101","134901","1"
"13500101","135001","3"
"13510101","135101","4"
"13520101","135201","3"
"13530101","135301","3"
"13540101","135401","4"
"13550101","135501","1"
"13560101","135601","3"
"13570101","135701","5"
"13580101","135801","2"
"13590101","135901","5"
"13600101","136001","1"
"13610101","136101","5"
"13620101","136201","1"
"13630101","136301","2"
"13640101","136401","1"
"13650101","136501","3"
"13710101","137101","2"
"13740101","137401","4"
"13760101","137601","3"
"13790101","137901","4"
"13800101","138001","2"
"13810101","138101","3"
"13820101","138201","4"
"13830101","138301","1"
"13870101","138701","5"
"13880101","138801","2"
"13890101","138901","2"
"13900101","139001","5"
"13910101","139101","5"
"13920101","139201","1"
"13930101","139301","1"
"17010101","170101","4"
"18010101","180101","1"
"18020101","180201","4"
"18030101","180301","3"
"18040101","180401","4"
"18050101","180501","3"
"18060101","180601","5"
"18070101","180701","4"
"18080101","180801","4"
"18090101","180901","1"
"18100101","181001","1"
"18110101","181101","4"
"18120101","181201","2"
"40310101","403101","5"
"40310201","403102","5"
"40310301","403103","5"
"40420101","404201","3"
"40420501","404205","3"
"40700101","407001","4"
"40770101","407701","2"
"40770201","407702","2"
"40840101","408401","2"
"40840201","408402","2"
"40840301","408403","2"
"41810101","418101","5"
"42330101","423301","2"
"42330201","423302","2"
"42580101","425801","5"
"42580201","425802","5"
"42620101","426201","3"
"42620201","426202","3"
"42710101","427101","5"
"43010101","430101","3"
"43190101","431901","3"
"43380101","433801","5"
"43560101","435601","3"
"43920101","439201","1"
