7c9cefbc9ba169eb12fa8f20e4e4b100a451d77d145b914e87cd4f2300758fef,a77ac8fff88d146a37a3053d8cea795156b276f06451d9753f8b1cf061f5111f,0d1bd19540ed775aecffab1df8a7bb1b1175583b8ae1c62a80a7824ad75f7af0,eef67c24dceeba78531637de785d587202ccfe8fdaae6a09b66165b8799d2d1a,9506a5fb2411d68df833496450fc8efa9804c50bad3d413750d83e1d09644196,24395b97a84571614283c9e19141e8ff0836e01962759577031a2d727bbc873d,48dadd6ddadb0829a32a80fc8b116a2ba8fe81467a1fa26e425eac9a434475ef
"1","2","13","0","2","2","14"
"3","11","10","0","1","3","14"
"1","1","10","0","1","4","14"
"1","4","10","0","2","5","14"
"2","11","0","0","1","6","14"
"2","1","0","0","1","7","14"
"1","1","10","0","1","8","14"
"3","12","12","0","1","9","14"
"3","12","12","0","1","10","14"
"3","5","0","0","1","11","14"
"1","5","12","0","1","12","14"
"1","10","6","0","2","13","14"
"1","11","10","0","1","14","14"
"1","10","6","0","3","15","14"
"1","11","10","0","1","16","14"
"1","2","6","0","3","17","14"
"1","10","6","0","2","18","14"
"1","11","4","0","1","19","14"
"2","8","10","0","1","20","14"
"1","8","4","0","3","21","14"
"2","12","10","0","1","1","15"
"1","12","12","0","1","2","15"
"3","11","12","0","1","3","15"
"1","11","6","0","1","4","15"
"2","12","12","0","1","5","15"
"2","5","0","0","1","6","15"
"1","11","12","0","1","7","15"
"1","1","0","0","1","8","15"
"1","5","0","0","1","9","15"
"1","12","12","0","2","10","15"
"3","11","0","0","1","11","15"
"3","12","11","0","1","12","15"
"2","1","9","0","1","13","15"
"1","1","12","0","1","14","15"
"1","12","0","0","1","15","15"
"1","12","9","0","1","16","15"
"2","11","4","0","1","17","15"
"1","11","4","0","3","18","15"
"2","5","12","0","1","19","15"
"2","12","0","0","1","20","15"
"2","12","7","0","1","21","15"
"1","12","12","0","3","22","15"
"1","1","7","0","3","23","15"
"3","4","0","0","1","24","15"
"1","4","10","0","3","25","15"
"2","8","0","0","1","26","15"
"1","11","0","0","1","27","15"
"2","11","0","0","1","28","15"
"1","6","0","0","1","1","16"
"2","11","10","0","1","2","16"
"3","12","0","0","1","3","16"
"2","4","0","0","1","4","16"
"1","6","12","0","1","5","16"
"1","6","0","0","1","6","16"
"2","4","4","0","1","7","16"
"3","5","4","0","1","8","16"
"3","1","0","0","1","9","16"
"1","12","17","0","1","10","16"
"2","11","0","0","1","11","16"
"3","1","10","0","1","12","16"
"2","11","11","0","1","13","16"
"3","11","0","0","1","14","16"
"1","12","12","0","1","15","16"
"1","11","10","0","1","16","16"
"1","11","10","0","1","17","16"
"1","6","6","0","1","18","16"
"2","11","6","0","1","19","16"
"3","1","8","0","1","20","16"
"3","5","8","0","1","21","16"
"1","4","9","0","1","22","16"
"1","11","10","0","1","23","16"
"1","11","4","0","1","1","17"
"1","4","10","0","3","2","17"
"1","11","4","0","1","3","17"
"1","1","0","0","1","4","17"
"1","1","10","0","2","5","17"
"2","11","4","0","1","6","17"
"1","1","10","0","2","7","17"
"2","11","4","0","1","8","17"
"3","1","0","0","1","9","17"
"1","8","10","0","2","10","17"
"1","12","12","0","1","11","17"
"3","11","4","0","1","12","17"
"1","1","4","0","3","13","17"
"1","11","10","0","1","14","17"
"1","1","0","0","2","15","17"
"1","11","4","0","2","16","17"
"1","8","7","0","2","17","17"
"1","11","0","0","1","18","17"
"1","2","6","0","3","19","17"
"1","10","10","0","1","20","17"
"2","11","10","0","1","21","17"
"3","8","7","0","1","22","17"
"1","11","4","0","1","1","18"
"1","5","13","0","2","2","18"
"1","4","10","0","1","3","18"
"2","4","10","0","1","4","18"
"3","11","10","0","1","5","18"
"1","5","7","0","3","6","18"
"1","11","10","0","1","7","18"
"3","4","10","0","1","8","18"
"2","11","10","0","1","9","18"
"1","5","6","0","3","10","18"
"1","11","10","0","1","11","18"
"2","11","10","0","1","12","18"
"3","4","10","0","1","13","18"
"1","5","8","0","2","14","18"
"1","6","6","0","2","15","18"
"3","10","0","0","1","16","18"
"2","10","0","0","1","17","18"
"1","10","0","0","1","18","18"
"1","10","7","0","2","19","18"
"1","8","10","0","1","20","18"
"1","11","10","0","1","21","18"
"1","2","9","0","2","22","18"
"1","13","0","0","2","1","19"
"1","4","8","0","2","2","19"
"1","8","0","0","2","3","19"
"1","14","10","0","2","1","20"
"1","8","0","0","2","2","20"
"1","15","13","0","2","1","21"
"1","15","0","0","2","1","22"
"1","13","0","0","2","2","22"
"1","42","0","0","2","1","23"
"1","72","0","0","2","2","23"
"1","43","0","0","2","1","24"
"1","44","0","0","2","1","25"
"1","45","0","0","2","1","26"
"1","46","0","0","2","1","27"
"1","47","0","0","2","1","28"
"1","14","0","0","2","1","29"
"1","15","0","0","1","1","30"
"2","8","0","0","1","2","30"
"1","10","13","0","1","3","30"
"2","10","13","0","1","4","30"
"2","12","9","0","1","5","30"
"1","72","6","0","1","6","30"
"1","2","8","0","2","7","30"
"1","13","0","0","2","8","30"
"1","4","8","0","1","1","31"
"2","1","0","0","1","2","31"
"1","10","6","0","1","3","31"
"2","4","0","0","1","4","31"
"1","9","7","0","1","5","31"
"2","1","0","0","1","6","31"
"1","10","6","0","1","1","32"
"2","10","13","0","1","2","32"
"3","1","0","0","1","3","32"
"2","2","11","0","1","4","32"
"1","2","8","0","1","5","32"
"3","1","0","0","1","6","32"
"3","72","7","0","1","7","32"
"3","6","0","0","1","1","33"
"1","10","13","0","3","2","33"
"3","3","3","0","1","3","33"
"1","72","0","0","3","4","33"
"3","12","2","0","1","5","33"
"1","4","6","0","2","1","34"
"1","5","7","0","1","2","34"
"2","1","0","0","1","3","34"
"2","12","8","0","1","4","34"
"1","1","0","0","1","5","34"
"1","15","0","0","2","6","34"
"1","8","0","0","2","1","35"
"1","72","10","0","2","2","35"
"1","13","0","0","2","3","35"
"1","4","0","0","2","1","36"
"1","6","6","0","1","2","36"
"1","1","0","0","1","3","36"
"2","72","10","0","1","4","36"
"2","9","0","0","1","5","36"
"2","2","7","0","2","6","36"
"1","8","7","0","2","1","37"
"1","4","0","0","1","2","37"
"2","5","0","0","1","3","37"
"1","13","6","0","2","4","37"
"1","13","10","0","2","1","38"
"1","5","8","0","1","2","38"
"2","6","7","0","1","3","38"
"1","1","0","0","1","4","38"
"2","9","7","0","1","5","38"
"2","15","13","0","1","6","38"
"1","8","0","0","2","7","38"
"1","4","6","0","2","1","39"
"1","6","13","0","1","2","39"
"2","72","10","0","1","3","39"
"1","13","6","0","2","4","39"
