251b2b9658a37d497c90c0dc4a1223fbc1b19296fafcf0befb4ce5519d63101d,aa061e44e771cd793f2fd08f043be76646e2abf256ce84d926fa8086b8390e89,1b4e20b1e992f926b65a6cb2dbf74127c3652be59c114861ac773615441dbe72,3ba5c70a99cd106cea42368e557e77f3a1a8926ed00a49e9fdd604ab89fd3cca,e3341b77ea2a138e28d1ec7e5b4f4c450a496bc7cf654a90d62806b22537bfdd,a6f640a8915ba715d8fccafa4f2caee7f2819a87c67329d9d83c63e19d982b95
"ジータ（ウォーロック）","125501","500033","0","ランドソル_繁華街_祭_昼","4"
"ビカラ","125601","500033","0","ランドソル_繁華街_祭_昼","4"
"カリン（アルケミスト）","125701","500371","0","ランドソル_お役所","2"
"リリ（フォールン）","125801","501670","0","ジオ・テオゴニア_街道_昼","2"
"クリア（フォールン）","126001","501670","0","ジオ・テオゴニア_街道_昼","2"
"プレシア（フォールン）","126101","501670","0","ジオ・テオゴニア_街道_昼","2"
"イリヤ（儀装束）","126201","501372","0","滝壺_夜","20"
"ユキ（儀装束）","126301","500040","0","ランドソル ギルドハウス","4"
"クローチェ","126401","501660","0","ジオ・テオゴニア_平原_昼","4"
"ライラエル","126501","501720","0","ジオ・テオゴニア_キャッスル・オブ・パルフェ_玉座の間_昼","4"
"ネネカ（サマー）","126601","500692","0","海辺の店_夜","2"
"アキノ（サマー）","126701","501030","0","ウィッシュビーチ","4"
"ユカリ（サマー）","126801","500280","0","無人島","4"
"ランファ（サマー）","126901","501030","0","ウィッシュビーチ","2"
"クウカ（サマー）","127001","500160","0","マルジェン海岸_昼","4"
"シノブ（サマー）","127101","500162","0","マルジェン海岸_夜","4"
"キャル（編入生）","127201","502030","0","アンブローズ魔法学園_屋上_昼","2"
"スズナ（編入生）","127301","502030","0","アンブローズ魔法学園_屋上_昼","4"
"サレン（サラサリア）","127501","502060","0","砂漠の国の大通り_昼","2"
"ルカ（サラサリア）","127601","501370","0","滝壺_昼","3"
"リンド","127701","501730","0","ジオ・テオゴニア_キャッスル・オブ・パルフェ_大広間","20"
"ヴルム","127801","501730","0","ジオ・テオゴニア_キャッスル・オブ・パルフェ_大広間","4"
"ペコリーヌ（クリスマス）","127901","500036","0","ランドソル_繁華街_クリスマス_昼","2"
"クレジッタ（クリスマス）","128001","500036","0","ランドソル_繁華街_クリスマス_昼","2"
"イノリ（ニューイヤー）","128301","500893","0","路地裏_雪_昼","4"
"ハツネ（ニューイヤー）","128401","501470","0","ランドソル_繁華街_お正月_昼","4"
"カスミ（ニューイヤー）","128501","501470","0","ランドソル_繁華街_お正月_昼","18"
"ヒヨリ（アストラル）","128701","500140","0","プラノ平原","2"
"レイ（アストラル）","128801","500140","0","プラノ平原","3"
"ユイ（アストラル）","128901","500140","0","プラノ平原","2"
"エリス","129001","500510","0","花畑","2"
"ユニ（ウィンター）","129301","502220","0","メルクリゾート_プールエリア_昼","2"
"クロエ（ウィンター）","129401","502220","0","メルクリゾート_プールエリア_昼","2"
"チエル（ウィンター）","129501","502220","0","メルクリゾート_プールエリア_昼","2"
"アネモネ","129601","502071","0","ジオ・ゲヘナ_ジャングル_夜","2"
"ネフィ＝ネラ","129701","502170","0","ジオ・ゲヘナ_鬼岩城塞_王座の間_昼","2"
"マコト（コマンダー）","129801","501680","0","平原_昼","2"
"エリコ（コマンダー）","129901","500030","0","ランドソル 繁華街","4"
"ヤマト","130001","501760","0","バンディシャーク号_室内_居住部","3"
"ワカナ","130101","501760","0","バンディシャーク号_室内_居住部","4"
"フブキ","130201","501760","0","バンディシャーク号_室内_居住部","4"
"キョウカ（スプリング）","130701","500020","0","ランドソル_郊外","20"
"スズメ（スプリング）","130801","500351","0","サレンディア救護院_庭","2"
"クルル","130901","502270","0","グランドリームパーク_エントランス_昼","4"
"マホ（ドリームパーク）","131001","502280","0","グランドリームパーク_園内_昼","2"
"ネア（サマー）","131101","501030","0","ウィッシュビーチ","3"
"ミソラ（サマー）","131201","500690","0","海辺の店_昼","4"
"リリ（サマー）","131601","500163","0","海_パラソル_昼","2"
"アメス（サマー）","131701","500160","0","マルジェン海岸_昼","4"
"ホマレ（サマー）","131801","500285","0","無人島","2"
"エミリア（サマー）","131901","501030","0","ウィッシュビーチ","2"
"エキドナ（サマー）","132001","500160","0","マルジェン海岸_昼","2"
"レム（サマー）","132101","500160","0","マルジェン海岸_昼","2"
"ノゾミ（アルケミスト）","132201","502360","0","アルケス錬金堂_工房_昼","4"
"ライラエル（クリスマス）","132801","500038","0","ランドソル_繁華街_クリスマス_夜","4"
"イオ（クリスマス）","132901","500038","0","ランドソル_繁華街_クリスマス_夜","2"
"グレイス","133001","502290","0","ジオ・ニヴルヘル_遺灰砂漠","4"
"モニカ（ニューイヤー）","133201","501470","0","ランドソル_繁華街_お正月_昼","4"
"サレン（ニューイヤー）","133501","501470","0","ランドソル_繁華街_お正月_昼","2"
"メドゥーサ","133601","500110","0","サレンディア救護院_広間_昼","2"
"ラビリスタ（アルファ）","133701","500341","0","ラビリンスギルド拠点","2"
"ネネカ（アルファ）","133801","500260","0","古城","2"
"クリスティーナ（アルファ）","133901","500780","0","ランドソル_繁華街_祭_壊れ_昼","4"
"フィオ","134001","500130","0","エステレラ街道","2"
"ランファ（儀装束）","134301","501202","0","コッコロの里_夜","2"
"ヒヨリ（プリンセス）","180101","500130","0","エステレラ街道","2"
"ユイ（プリンセス）","180201","500130","0","エステレラ街道","4"
"レイ（プリンセス）","180301","500130","0","エステレラ街道","3"
"ぺコリーヌ（プリンセス）","180401","500130","0","エステレラ街道","4"
"コッコロ（プリンセス）","180501","500130","0","エステレラ街道","2"
"キャル（プリンセス）","180601","500130","0","エステレラ街道","18"
"ハツネ＆シオリ","180701","501370","0","滝壺_昼","2"
"ミソギ＆ミミ＆キョウカ","180801","500194","0","エルフの森_秘密基地","2"
"アキノ＆サレン","180901","500140","0","プラノ平原","2"
"アン＆グレア","181001","500213","0","中腹_昼","2"
"シズル＆リノ","181101","500010","0","ランドソル_市街地_昼","2"
"シェフィ（プリンセス）","181201","500130","0","エステレラ街道","2"
