38e906eb9e95b7eb8cca326202a47c31b551ef8f9d962a49ea7a75915d4e9ef2,8f5720755e610114bcf3aa0be0d177ba85a0b8ec67dd12420b5ede7bdd1a8a98,0cc55b218265cb30b143ec8dfb0492a8c52336e4757de7e9a370bbac9e8445ba,18096d29b3942d3dced5519de6442fe3a2e60444c0f0f9926bc2f42757e07864,e3220a402c5d8c19552a6897912108c8e545ad16f6e182d889910fc2af11a005,8b672aa16eadb9df928b564ab4316168341b493dc1a3a39176a63ec6c5f9a498,003440a64498c031be2877e37cfcef26a2186bba9bf08b017d6f5c746afeac90
"10020","1002001","vo_minigame_1004","2","3","vo_minigame_1004_top_2_044","ぐも……（ハラヘッタ チョコホシイ）"
"10020","1002002","vo_minigame_1004","1","2","vo_minigame_1004_top_2_045","なんだ？眠いのか？"
"10021","1002101","vo_minigame_1004","2","3","vo_minigame_1004_top_2_046","ぐもも（コイツ……キケン）"
"10021","1002102","vo_minigame_1004","1","2","vo_minigame_1004_top_2_047","うん？　なんだ？オレの舎弟にでもなりたいのか？"
"10022","1002201","vo_minigame_1004","2","3","vo_minigame_1004_top_2_048","ぐも…（かやピィノウキン）"
"10022","1002202","vo_minigame_1004","1","2","vo_minigame_1004_top_2_049","おい、今失礼なこと考えてるだろ？"
"10023","1002301","vo_minigame_1004","1","2","vo_minigame_1004_top_3_058","なあ、これいつまで続けるんだ？"
"10023","1002302","vo_minigame_1004","2","1","vo_minigame_1004_top_3_059","カヤぴぃが降参するまでです！"
"10023","1002303","vo_minigame_1004","2","3","vo_minigame_1004_top_3_060","ぐもも！（コウサンシロ！）"
"10024","1002401","vo_minigame_1004","2","3","vo_minigame_1004_top_3_065","ぐも！（イノリ チョコホシイ）"
"10024","1002402","vo_minigame_1004","1","1","vo_minigame_1004_top_3_066","しょうがないですね、食べ過ぎはダメですよ"
"10024","1002403","vo_minigame_1004","1","2","vo_minigame_1004_top_3_067","土産のチョコ、そうとう気に入ったみたいだな"
"10025","1002501","vo_minigame_1004","2","3","vo_minigame_1004_top_3_068","ぐも！（かやピィニハ マケナイ！）"
"10025","1002502","vo_minigame_1004","1","2","vo_minigame_1004_top_3_069","お？なんだ？腹でも減ってるのか？"
"10025","1002503","vo_minigame_1004","2","1","vo_minigame_1004_top_3_070","……全然話が通じてないです"
