309d81b2e1543bca69a61069ef7bafecd7c940e45e717132cc62799a54bd62f5,c729abde301986e5c88ef84fa53ff65e6c66643a9a53cc548c6d2c1a15872296,2c84ddb8acfe24f89615b619270ec3485d3634827a45fc7049ab3fd8fc942c90,12ecb0cf14a79ffa1ca895c6912784e549e4645e2aaf05c6998d2aebf86c2c50,37c28575148e29740c15534cc02a92b367b571146d6a859e64be9b512edde0de,787594f43d9b1dddc3ec1de5a949b68e428b218a2cec945c748aed76c5e1e056,b726be59122811d2e209cf693c4a116c6f44ce484b370f5cc5a50c6f793317e6,ad3e95c5f2e380121aeefa06d5fa37fb348bed8a6cee85b06b61183d9fb60dcd,4a0b7944545a6e533e530c89b6ccf9d075b88181c7e2d45d22371823821345ff,891435904cc91e1b6ca9ee35494bee7ff7a2898a6523825a05d849502ec71a67,a4972455e4b7d4e33dc17b199f58733ab42195ea7fa887e8fdcaa1964b981e87
"5","0","0.5","0","11","1","129911","1016","訓練の糧になれるなら\n彼らも光栄でしょう\nクスクス…喜びの声が\n聞こえてくるようです","0","1"
"","","","","91","1","0","1017","","",""
"1","","","","3","1","129911","1018","drama_idle","0.2",""
"1","","","","3","1","129811","1019","drama_idle","0.2",""
"100","1","drama_idle","-224","1","2","1","2001","129811","1.65","167"
"100","0","drama_idle","-224","1","2","1","2002","129911","1.65","-49"
"1","","","","3","2","129911","2003","drama_idle","0.2",""
"0","","","1","3","2","129811","2004","drama_talk_admire_in","0.2","drama_talk_admire_loop"
"0","","","","21","2","vo_minigame_1013","2005","vo_minigame_1013_top_talk_2_000","","0"
"7","0","0.5","0","11","2","129811","2006","こうして兵士が大勢\n集まると、壮観だな\n訓練兵とは思えない\n迫力ってやつがあるよ","0","1"
"","","","","91","2","0","2007","","",""
"1","","","","3","2","129811","2008","drama_idle_admire","0.2",""
"0","","","1","3","2","129911","2009","drama_talk_arm_crossed_in","0.2","drama_talk_arm_crossed_loop"
"0","","","","21","2","vo_minigame_1013","2010","vo_minigame_1013_top_talk_2_001","","0"
"5","0","0.3","0","11","2","129911","2011","そんな彼らを従えて\n教育するのが私たち…\n期待に応え、全力で\nしつけてあげましょう","0","1"
"","","","","91","2","0","2012","","",""
"1","","","","3","2","129911","2013","drama_idle_arm_crossed","0.2",""
"0","","","1","3","2","129811","2014","drama_talk_guts2_in","0.2","drama_talk_guts2_loop"
"0","","","","21","2","vo_minigame_1013","2015","vo_minigame_1013_top_talk_2_002","","0"
"8","0","0.3","0","11","2","129811","2016","エリコの教官姿も、\nしっかり決まってるし\nよ～しっ、あたしも\n負けてられねえぜ！","0","1"
"","","","","91","2","0","2017","","",""
"1","","","","3","2","129811","2018","drama_idle","0.2",""
"1","","","","3","2","129911","2019","drama_idle","0.2",""
"100","1","drama_idle","-224","1","3","1","3001","129811","1.65","167"
"100","0","drama_idle","-224","1","3","1","3002","129911","1.65","-49"
"1","","","","3","3","129811","3003","drama_idle","0.2",""
"1","","","","3","3","129911","3004","drama_talk_thinking","0.2",""
"0","","","","21","3","vo_minigame_1013","3005","vo_minigame_1013_top_talk_3_000","","0"
"5","0","0.8","0","11","3","129911","3006","実際に魔物と対峙し、\nその体に刃を打ち込む\n訓練もこの感触が\nあってこそですわね","0","1"
"","","","","91","3","0","3007","","",""
"1","","","","3","3","129911","3008","drama_idle_thinking","0.2",""
"0","","","1","3","3","129811","3009","drama_talk_sad_in","0.2","drama_talk_sad_loop"
"0","","","","21","3","vo_minigame_1013","3010","vo_minigame_1013_top_talk_3_001","","0"
"7","0","0.5","0","11","3","129811","3011","相変わらず物騒な\n物言いしてるけど…\nま、理屈よりまず実践\nって教え方もありか","0","1"
"","","","","91","3","0","3012","","",""
"1","","","","3","3","129811","3013","drama_idle_sad","0.2",""
"0","","","1","3","3","129911","3014","drama_talk_arm_crossed_in","0.2","drama_talk_arm_crossed_loop"
"0","","","","21","3","vo_minigame_1013","3015","vo_minigame_1013_top_talk_3_002","","0"
"6","0","0.3","0","11","3","129911","3016","では新兵たちにも\n実践的教育の良さを\n身をもって体験して\nいただきましょう","0","1"
"","","","","91","3","0","3017","","",""
"1","","","","3","3","129811","3018","drama_idle","0.2",""
"1","","","","3","3","129911","3019","drama_idle","0.2",""
"100","1","drama_idle","-224","1","4","1","4001","129811","1.65","167"
"100","0","drama_idle","-224","1","4","1","4002","129911","1.65","-49"
"1","","","","3","4","129911","4003","drama_idle","0.2",""
"0","","","1","3","4","129811","4004","drama_talk_doya_in_shy","0.2","drama_talk_doya_loop_shy"
"0","","","","21","4","vo_minigame_1013","4005","vo_minigame_1013_top_talk_4_000","","0"
"7","0","0.3","0","11","4","129811","4006","あたしもどちらかと\n言えば感覚派だから、\n人に物を教えるのって\n少し苦手なんだよなぁ","0","1"
"","","","","91","4","0","4007","","",""
"1","","","","3","4","129811","4008","drama_idle_doya_shy","0.2",""
"0","","","1","3","4","129911","4009","drama_talk_wish_in","0.2","drama_talk_wish_loop"
"0","","","","21","4","vo_minigame_1013","4010","vo_minigame_1013_top_talk_4_001","","0"
"5","0","0.5","0","11","4","129911","4011","信じ合える間柄なら\n言葉などなくても\n伝わりますわ。私と\nあのおかたのように…","0","1"
"","","","","91","4","0","4012","","",""
"1","","","","3","4","129911","4013","drama_idle_wish","0.2",""
"1","","","0","3","4","129811","4014","drama_idle_thinking_shy","0.2",""
"0","","","","21","4","vo_minigame_1013","4015","vo_minigame_1013_top_talk_4_002","","0"
"8","0","0","0","11","4","129811","4016","（なるほど、それなら\nあいつにもちゃんと…\nって、何考えてるんだ\nあたしは～っ！）","0","1"
"","","","","91","4","0","4017","","",""
"1","","","","3","4","129911","4018","drama_idle","0.2",""
"1","","","","3","4","129811","4019","drama_idle","0.2",""
"100","1","drama_idle","-224","1","5","1","5001","129811","1.65","167"
"100","0","drama_idle","-224","1","5","1","5002","129911","1.65","-49"
"1","","","","3","5","129811","5003","drama_idle","0.2",""
"1","","","","3","5","129911","5004","drama_talk_thinking","0.2",""
"0","","","","21","5","vo_minigame_1013","5005","vo_minigame_1013_top_talk_5_000","","0"
"6","0","0.8","0","11","5","129911","5006","訓練で成果を出せば\nそれだけ勲章も輝きを\n増すというもの…\n素晴らしいですわ","0","1"
"","","","","91","5","0","5007","","",""
"1","","","","3","5","129911","5008","drama_idle_thinking","0.2",""
"0","","","1","3","5","129811","5009","drama_talk_wonder_in","0.2","drama_talk_wonder_loop"
"0","","","","21","5","vo_minigame_1013","5010","vo_minigame_1013_top_talk_5_001","","0"
"7","0","0.3","0","11","5","129811","5011","動機は不純だけど、\nやっぱ教官としては\n優秀なんだよな～…\n不思議なもんだぜ","0","1"
"","","","","91","5","0","5012","","",""
"1","","","","3","5","129811","5013","drama_idle_wonder","0.2",""
"1","","","","3","5","129911","5014","drama_talk_memory","0.2",""
"0","","","","21","5","vo_minigame_1013","5015","vo_minigame_1013_top_talk_5_002","","0"
"5","0","0.5","0","11","5","129911","5016","「さすがエリコだね！\n伴侶の僕も、とても\n誇らしいよ」なんて…\nクスクスクス…","0","1"
"","","","","91","5","0","5017","","",""
"1","","","","3","5","129811","5018","drama_idle","0.2",""
"1","","","","3","5","129911","5019","drama_idle","0.2",""
"100","1","drama_idle","-224","1","6","1","6001","129811","1.65","167"
"100","0","drama_idle","-224","1","6","1","6002","129911","1.65","-49"
"1","","","","3","6","129911","6003","drama_idle","0.2",""
"1","","","","3","6","129811","6004","drama_talk_thinking_shy","0.2",""
"0","","","","21","6","vo_minigame_1013","6005","vo_minigame_1013_top_talk_6_000","","0"
"8","0","0.3","0","11","6","129811","6006","あたしも教官の仕事を\n頑張れば、あいつに\n喜んでもらえたり\nするのかな…","0","1"
"","","","","91","6","0","6007","","",""
"1","","","","3","6","129811","6008","drama_idle_thinking_shy","0.2",""
"0","","","1","3","6","129911","6009","drama_talk_doubt_in","0.2","drama_talk_doubt_loop"
"0","","","","21","6","vo_minigame_1013","6010","vo_minigame_1013_top_talk_6_001","","0"
"6","0","0.8","0","11","6","129911","6011","マコトさん？\nどうかしましたか？\n何やら不穏な気配を\n感じ取ったのですが","0","1"
"","","","","91","6","0","6012","","",""
"1","","","","3","6","129911","6013","drama_idle_doubt","0.2",""
"0","","","1","3","6","129811","6014","drama_talk_surprise_in_shy","0.2","drama_talk_surprise_loop_shy"
"0","","","","21","6","vo_minigame_1013","6015","vo_minigame_1013_top_talk_6_002","","0"
"9","0","0.3","0","11","6","129811","6016","いやいや何でもない！\nあたしは別に変なこと\n考えてないからな！\nそれより訓練だっ！","0","1"
"","","","","91","6","0","6017","","",""
"1","","","","3","6","129911","6018","drama_idle","0.2",""
"1","","","","3","6","129811","6019","drama_idle","0.2",""
"100","1","drama_idle","-224","1","7","1","7001","129811","1.65","167"
"100","0","drama_idle","-224","1","7","1","7002","129911","1.65","-49"
"1","","","","3","7","129811","7003","drama_idle","0.2",""
"0","","","1","3","7","129911","7004","drama_talk_arm_crossed_in","0.2","drama_talk_arm_crossed_loop"
"0","","","","21","7","vo_minigame_1013","7005","vo_minigame_1013_top_talk_7_000","","0"
"6","0","0.3","0","11","7","129911","7006","私の班のみなさんも\n変わらず訓練に励んで\nいるようですわね\n殊勝なことです","0","1"
"","","","","91","7","0","7007","","",""
"1","","","","3","7","129911","7008","drama_idle_arm_crossed","0.2",""
"0","","","1","3","7","129811","7009","drama_talk_guts2_in","0.2","drama_talk_guts2_loop"
"0","","","","21","7","vo_minigame_1013","7010","vo_minigame_1013_top_talk_7_001","","0"
"6","0","0","0","11","7","129811","7011","エリコ班の急成長は\n騎士団の中でも話題に\nなってたからな\nホントすげえ奴等だよ","0","1"
"","","","","91","7","0","7012","","",""
"1","","","","3","7","129811","7013","drama_idle_guts2","0.2",""
"1","","","","3","7","129911","7014","drama_talk_thinking","0.2",""
"0","","","","21","7","vo_minigame_1013","7015","vo_minigame_1013_top_talk_7_002","","0"
"6","0","0.5","0","11","7","129911","7016","彼らが私に逆らわずに\n努力したからこそ、\n得たものもありますし\n…感謝しておきますわ","0","1"
"","","","","91","7","0","7017","","",""
"1","","","","3","7","129811","7018","drama_idle","0.2",""
"1","","","","3","7","129911","7019","drama_idle","0.2",""
"100","1","drama_idle","-224","1","8","1","8001","129811","1.65","167"
"100","0","drama_idle","-224","1","8","1","8002","129911","1.65","-49"
"1","","","","3","8","129911","8003","drama_idle","0.2",""
"0","","","1","3","8","129811","8004","drama_talk_doya_in_smile","0.2","drama_talk_doya_loop_smile"
"0","","","","21","8","vo_minigame_1013","8005","vo_minigame_1013_top_talk_8_000","","0"
"7","0","0.3","0","11","8","129811","8006","マコト班のみんなも、\nしっかり頑張って\nくれてるみたいだ\n教官としても嬉しいぜ","0","1"
"","","","","91","8","0","8007","","",""
"1","","","","3","8","129811","8008","drama_idle_doya_smile","0.2",""
"0","","","1","3","8","129911","8009","drama_talk_arm_crossed_in","0.2","drama_talk_arm_crossed_loop"
"0","","","","21","8","vo_minigame_1013","8010","vo_minigame_1013_top_talk_8_001","","0"
"5","0","0.8","0","11","8","129911","8011","訓練もそつなくこなす\nまさに優等生でしたわ\nまあ私の班の成績には\n及びませんでしたが","0","1"
"","","","","91","8","0","8012","","",""
"1","","","","3","8","129911","8013","drama_idle_arm_crossed","0.2",""
"1","","","","3","8","129811","8014","drama_talk_anger","0.2",""
"0","","","","21","8","vo_minigame_1013","8015","vo_minigame_1013_top_talk_8_002","","0"
"7","0","0.3","0","11","8","129811","8016","くっ、そう言われると\n悔しいな…！\nならこの行軍訓練で\n逆転してやるぜ！","0","1"
"","","","","91","8","0","8017","","",""
"1","","","","3","8","129811","8018","drama_idle","0.2",""
"1","","","","3","8","129911","8019","drama_idle","0.2",""
"100","1","drama_idle","-224","1","30","1","30001","129811","1.65","167"
"100","0","drama_idle","-224","1","30","1","30002","129911","1.65","-49"
"1","","","","3","30","129811","30003","drama_idle","0.2",""
"1","","","","3","30","129911","30004","drama_idle","0.2",""
"","","","","93","30","0.5","30005","0","",""
"","","","","26","30","2","30006","","",""
"1.2","","","0.9","121","30","-80","30007","10","3","1.2"
"0","0.2","","","3","30","129911","30008","drama_joy_eriko","0.2",""
"0","","","","140","30","1","30009","1","",""
"100","1","drama_idle","-224","1","31","1","31001","129811","1.65","167"
"100","0","drama_idle","-224","1","31","1","31002","129911","1.65","-49"
"1","","","","3","31","129811","31003","drama_idle","0.2",""
"1","","","","3","31","129911","31004","drama_idle","0.2",""
"","","","","93","31","0.5","31005","0","",""
"","","","","26","31","2","31006","","",""
"1.2","","","0.9","121","31","-80","31007","10","3","1.2"
"0","0.2","","","3","31","129811","31008","drama_joy_makoto","0.2",""
"0","","","","140","31","1","31009","2","",""
"1","1","drama_talk_1","28","5","32","0","32001","1","0.28","320"
"0","0","drama_talk_2","28","5","32","0","32002","2","0.28","228"
"90","1","drama_swing","64","5","32","0","32003","3","0.26","45"
"91","0","drama_streach","-23","5","32","0","32004","4","0.3","-187"
"","","","","93","32","1","32005","0","",""
"0","","","","3","32","1","32006","drama_joy","0.2",""
"0","","","","3","32","2","32007","drama_joy","0.2",""
"0","","","","3","32","3","32008","drama_joy","0.2",""
"0","","","","3","32","4","32009","drama_joy","0.2",""
"","","","","93","32","1.5","32010","0","",""
"1","1","drama_talk_1","28","5","33","0","33001","1","0.28","320"
"0","0","drama_talk_2","28","5","33","0","33002","2","0.28","228"
"90","1","drama_swing","64","5","33","0","33003","3","0.26","45"
"91","0","drama_streach","-23","5","33","0","33004","4","0.3","-187"
