27753e76b85c859bfae86c2c5579e7771844461d2be1e2fd6f59ab2b3d238d6d,80db138bb4113d7cc33a5406d0b85e7c6953dd2eee4efe5af3ba6628270673a9,2b82803253cfcb2d5deca2ca69c29d53a1209794da45bbef4ddd99bc1c595e2e,e3ad83585f8d6f2ecdf402b86084f81458764f4c97f4aa559b3765ec0e2c9de1,c7f243f9f3034a006eec79a8d41797796ea6462df1a9fec5d11b37c9d484c263,6950d81d9385d8e51b6a673beb0c79cec9becf59205bc45b60f8fe9c960eb56c,03c9c2277d80f680a9b6505aeac1db3976cfdf0ce86070341363c46459674218,7be1c2280831b936c92822761df8213b0ab32e9cfe912b771ad72ee105e90f32,0529fc33666abc736e3fcb8f2a3addd49c2ff1c5d6ce4fdc284b69c324928114,3a7c84738ff6f46dc14f9a3215808272ea7a2192fd49c08cc65205d6db8c4b02,76dd5bbdce3a22fdaf739bd64aaf6f773d17fd78c1c2c996e1254f4bcf50f01f
"351","-180","1","23","<unit_id>","cmn_swm_flutterKick_floatRing","1.75","-850","0","1","13510002"
"351","-180","1","22","1","cmn_swm_flutterKick_floatBoad","1.75","-850","0","5","13510003"
"351","1","1","-850","1","","1","-180","","31","13510004"
"351","","0","","0","","","","","91","13510005"
"351","","<unit_id>","-180","1050","","","10","","2","13510006"
"351","","1","-180","1050","","","10","","2","13510007"
"351","","1","-180","1050","","","10","","33","13510008"
"352","","se_10053800","","se_fpc_water_random","","","","","23","13520001"
"352","-180","1","23","<unit_id>","cmn_swm_flutterKick_floatRing","1.75","-850","0","1","13520002"
"352","-180","1","22","1","cmn_swm_flutterKick_floatBoad_blue","1.75","-850","0","5","13520003"
"352","1","1","-850","1","","1","-180","","31","13520004"
"352","","0","","0","","","","","91","13520005"
"352","","<unit_id>","-180","1050","","","10","","2","13520006"
"352","","1","-180","1050","","","10","","2","13520007"
"352","","1","-180","1050","","","10","","33","13520008"
"401","","se_10053800","","se_fpc_water_random","","","","","23","14010001"
"401","-180","1","22","<unit_id>","cmn_float","1.75","-850","0","1","14010002"
"401","1","6","-850","6","","1","-180","","31","14010003"
"401","","0","","0","","","","","91","14010004"
"401","","<unit_id>","-180","1050","","","10","","2","14010005"
"401","","6","-180","1050","","","10","","33","14010006"
"402","","se_10053800","","se_fpc_water_random","","","","","23","14020001"
"402","-180","1","22","<unit_id>","cmn_float_4","1.75","-850","0","1","14020002"
"402","1","6","-850","6","","1","-180","","31","14020003"
"402","","0","","0","","","","","91","14020004"
"402","","<unit_id>","-180","1050","","","10","","2","14020005"
"402","","6","-180","1050","","","10","","33","14020006"
"451","","se_10053800","","se_fpc_water_random","","","","","23","14510001"
"451","-180","1","22","<unit_id>","cmn_crawl","1.75","-850","0","1","14510002"
"451","1","1","-850","1","","1","-180","","31","14510003"
"451","","0","","0","","","","","91","14510004"
"451","","<unit_id>","-180","1050","","","10","","2","14510005"
"451","","1","-180","1050","","","10","","33","14510006"
"501","","se_10053800","","se_fpc_water_random","","","","","23","15010001"
"501","-250","1","45","<unit_id>","cmn_surfing","1.75","-850","0","1","15010002"
"501","-250","6","44","6","cmn_surfing","1.75","-850","0","5","15010003"
"501","1","11","-850","11","","1","-250","","31","15010004"
"501","","0","","0","","","","","91","15010005"
"501","","<unit_id>","-250","1800","","","6","","2","15010006"
"501","","6","-250","1800","","","6","","2","15010007"
"501","","11","-250","1800","","","6","","33","15010008"
"501","","se_10053800","","se_10053800_surfing_wave","","","","","23","15010009"
"851","","se_10053800","","se_fpc_water_random","","","","","23","18510001"
"851","-125","1","45","107511","cmn_surfing","1.75","-850","0","1","18510002"
"851","-250","1","45","107611","cmn_surfing","1.75","-1100","0","1","18510003"
"851","-125","1","45","107811","cmn_surfing","1.75","-1350","0","1","18510004"
"851","-125","6","44","1","cmn_surfing","1.75","-850","0","5","18510005"
"851","-250","6","44","2","cmn_surfing","1.75","-1100","0","5","18510006"
"851","-125","6","44","3","cmn_surfing","1.75","-1350","0","5","18510007"
"851","1","11","-850","1","","1","-125","","31","18510008"
"851","1","11","-1100","2","","1","-250","","31","18510009"
"851","1","11","-1350","3","","1","-125","","31","18510010"
"851","","107511","-125","2350","","","6","","2","18510011"
"851","","107611","-250","2100","","","6","","2","18510012"
"851","","107811","-125","1850","","","6","","2","18510013"
"851","","1","-125","2350","","","6","","2","18510014"
"851","","2","-250","2100","","","6","","2","18510015"
"851","","3","-125","1850","","","6","","2","18510016"
"851","","1","-125","2350","","","6","","33","18510017"
"851","","2","-250","2100","","","6","","33","18510018"
"851","","3","-125","1850","","","6","","33","18510019"
"851","","se_10053800","","se_10053800_surfing_wave","","","","","23","18510020"
"851","","0.3","","","","","","","93","18510021"
"851","","vo_fpc","","vo_fpc_85101","","","0","","21","18510022"
"852","","se_10053800","","se_fpc_water_random","","","","","23","18520001"
"852","-125","1","13","122411","cmn_swm_flutterKick_floatRing","1.75","-850","0","1","18520002"
"852","-250","1","33","122511","cmn_swm_flutterKick_floatRing","1.75","-1100","0","1","18520003"
"852","-125","1","13","122611","cmn_swm_flutterKick_floatRing","1.75","-1350","0","1","18520004"
"852","-125","1","12","1","cmn_swm_flutterKick_floatRing","1.75","-850","0","5","18520005"
"852","-250","1","32","2","cmn_swm_flutterKick_floatRing_blue","1.75","-1100","0","5","18520006"
"852","-125","1","12","3","cmn_swm_flutterKick_floatRing_pink","1.75","-1350","0","5","18520007"
"852","1","7","-850","1","","1","-125","","31","18520008"
"852","1","1","-1100","2","","1","-250","","31","18520009"
"852","1","7","-1350","3","","1","-125","","31","18520010"
"852","","122411","-125","1750","","","10","","2","18520011"
"852","","122511","-250","1500","","","10","","2","18520012"
"852","","122611","-125","1250","","","10","","2","18520013"
"852","","1","-125","1750","","","10","","2","18520014"
"852","","2","-250","1500","","","10","","2","18520015"
"852","","3","-125","1250","","","10","","2","18520016"
"852","","1","-125","1750","","","10","","33","18520017"
"852","","2","-250","1500","","","10","","33","18520018"
"852","","3","-125","1250","","","10","","33","18520019"
"853","","se_10053800","","se_fpc_water_random","","","","","23","18530001"
"853","-125","1","12","117211","cmn_swm_breastStroke","1.75","-850","0","1","18530002"
"853","-250","1","32","117311","cmn_swm_breastStroke","1.75","-1100","0","1","18530003"
"853","-125","1","12","117411","cmn_swm_breastStroke","1.75","-1350","0","1","18530004"
"853","1","2","-850","1","","1","-125","","31","18530005"
"853","1","2","-1100","2","","1","-250","","31","18530006"
"853","1","2","-1350","3","","1","-125","","31","18530007"
"853","","117211","-125","1750","","","10","","2","18530008"
"853","","117311","-250","1500","","","10","","2","18530009"
"853","","117411","-125","1250","","","10","","2","18530010"
"853","","1","-125","1750","","","10","","33","18530011"
"853","","2","-250","1500","","","10","","33","18530012"
"853","","3","-125","1250","","","10","","33","18530013"
"854","","se_10053800","","se_fpc_water_random","","","","","23","18540001"
"854","-125","1","13","122711","cmn_swm_flutterKick_floatRing","1.75","-850","0","1","18540002"
"854","-250","1","33","122811","cmn_swm_flutterKick_floatRing","1.75","-1100","0","1","18540003"
"854","-125","1","13","122911","cmn_swm_flutterKick_floatRing","1.75","-1350","0","1","18540004"
"854","-125","1","12","1","cmn_swm_flutterKick_floatBoad","1.75","-850","0","5","18540005"
"854","-250","1","32","2","cmn_swm_flutterKick_floatBoad_blue","1.75","-1100","0","5","18540006"
"854","-125","1","12","3","cmn_swm_flutterKick_floatBoad","1.75","-1350","0","5","18540007"
"854","1","7","-850","1","","1","-125","","31","18540008"
"854","1","1","-1100","2","","1","-250","","31","18540009"
"854","1","7","-1350","3","","1","-125","","31","18540010"
"854","","122711","-125","1750","","","10","","2","18540011"
"854","","122811","-250","1500","","","10","","2","18540012"
"854","","122911","-125","1250","","","10","","2","18540013"
"854","","1","-125","1750","","","10","","2","18540014"
"854","","2","-250","1500","","","10","","2","18540015"
"854","","3","-125","1250","","","10","","2","18540016"
"854","","1","-125","1750","","","10","","33","18540017"
"854","","2","-250","1500","","","10","","33","18540018"
"854","","3","-125","1250","","","10","","33","18540019"
"855","","se_10053800","","se_fpc_water_random","","","","","23","18550001"
"855","-125","1","13","113411","cmn_swm_flutterKick_floatRing","1.75","-850","0","1","18550002"
"855","-250","1","33","113511","cmn_swm_flutterKick_floatRing","1.75","-1100","0","1","18550003"
"855","-125","1","12","1","cmn_swm_flutterKick_floatBoad","1.75","-850","0","5","18550004"
"855","-250","1","32","2","cmn_swm_flutterKick_floatBoad_blue","1.75","-1100","0","5","18550005"
"855","1","7","-850","1","","1","-125","","31","18550006"
"855","1","1","-1100","2","","1","-250","","31","18550007"
"855","","113411","-125","1750","","","10","","2","18550008"
"855","","113511","-250","1500","","","10","","2","18550009"
"855","","1","-125","1750","","","10","","2","18550010"
"855","","2","-250","1500","","","10","","2","18550011"
"855","","1","-125","1750","","","10","","33","18550012"
"855","","2","-250","1500","","","10","","33","18550013"
"856","","se_10053800","","se_fpc_water_random","","","","","23","18560001"
"856","-125","1","13","110311","cmn_swm_tread","1.75","-850","0","1","18560002"
"856","-250","1","33","107711","cmn_swm_tread","1.75","-1100","0","1","18560003"
"856","-125","1","12","1","cmn_swm_tread_pink","1.75","-850","0","5","18560004"
"856","-250","1","32","2","cmn_swm_tread","1.75","-1100","0","5","18560005"
"856","1","13","-850","1","","1","-125","","31","18560006"
"856","1","3","-1100","2","","1","-250","","31","18560007"
"856","","110311","-125","1750","","","13.5","","2","18560008"
"856","","107711","-250","1500","","","13.5","","2","18560009"
"856","","1","-125","1750","","","13.5","","2","18560010"
"856","","2","-250","1500","","","13.5","","2","18560011"
"856","","1","-125","1750","","","13.5","","33","18560012"
"856","","2","-250","1500","","","13.5","","33","18560013"
"857","","se_10053800","","se_fpc_water_random","","","","","23","18570001"
"857","-125","1","13","110411","cmn_swm_tread","1.75","-850","0","1","18570002"
"857","-250","1","33","110511","cmn_swm_tread","1.75","-1100","0","1","18570003"
"857","-125","1","13","115711","cmn_swm_tread","1.75","-1350","0","1","18570004"
"857","-250","1","33","110611","cmn_boat_relax","1.75","-1600","0","1","18570005"
"857","-125","1","12","1","cmn_swm_tread_blue","1.75","-850","0","5","18570006"
"857","-250","1","32","2","cmn_swm_tread","1.75","-1100","0","5","18570007"
"857","-125","1","12","3","cmn_swm_tread_pink","1.75","-1350","0","5","18570008"
"857","-250","2","32","4","cmn_boat_idle_l","1.75","-1600","0","5","18570009"
"857","1","13","-850","1","","1","-125","","31","18570010"
"857","1","3","-1100","2","","1","-250","","31","18570011"
"857","1","13","-1350","3","","1","-125","","31","18570012"
"857","1","116","-1600","4","","1","-250","","31","18570013"
"857","","110411","-125","1750","","","13.5","","2","18570014"
"857","","110511","-250","1500","","","13.5","","2","18570015"
"857","","115711","-125","1250","","","13.5","","2","18570016"
"857","","110611","-250","1000","","","13.5","","2","18570017"
"857","","1","-125","1750","","","13.5","","2","18570018"
"857","","2","-250","1500","","","13.5","","2","18570019"
"857","","3","-125","1250","","","13.5","","2","18570020"
"857","","4","-250","1000","","","13.5","","2","18570021"
"857","","1","-125","1750","","","13.5","","33","18570022"
"857","","2","-250","1500","","","13.5","","33","18570023"
"857","","3","-125","1250","","","13.5","","33","18570024"
"857","","4","-250","1000","","","13.5","","33","18570025"
"858","","se_10053800","","se_fpc_water_random","","","","","23","18580001"
"858","-125","1","13","126711","cmn_swm_tread","1.75","-850","0","1","18580002"
"858","-125","1","13","126711","cmn_swm_tread","1.75","-850","0","1","18580003"
"858","-250","1","33","126811","cmn_swm_tread","1.75","-1100","0","1","18580004"
"858","-125","1","13","108011","cmn_swm_tread","1.75","-1350","0","1","18580005"
"858","-250","1","33","107911","cmn_boat_cat","1.75","-1600","0","1","18580006"
"858","-125","1","12","1","cmn_swm_tread_pink","1.75","-850","0","5","18580007"
"858","-250","1","32","2","cmn_swm_tread","1.75","-1100","0","5","18580008"
"858","-125","1","12","3","cmn_swm_tread_blue","1.75","-1350","0","5","18580009"
"858","-250","2","32","4","cmn_boat_idle_l","1.75","-1600","0","5","18580010"
"858","1","13","-850","1","","1","-125","","31","18580011"
"858","1","3","-1100","2","","1","-250","","31","18580012"
"858","1","13","-1350","3","","1","-125","","31","18580013"
"858","1","116","-1600","4","","1","-250","","31","18580014"
"858","","126711","-125","1750","","","13.5","","2","18580015"
"858","","126811","-250","1500","","","13.5","","2","18580016"
"858","","108011","-125","1250","","","13.5","","2","18580017"
"858","","107911","-250","1000","","","13.5","","2","18580018"
"858","","1","-125","1750","","","13.5","","2","18580019"
"858","","2","-250","1500","","","13.5","","2","18580020"
"858","","3","-125","1250","","","13.5","","2","18580021"
"858","","4","-250","1000","","","13.5","","2","18580022"
"858","","1","-125","1750","","","13.5","","33","18580023"
"858","","2","-250","1500","","","13.5","","33","18580024"
"858","","3","-125","1250","","","13.5","","33","18580025"
"858","","4","-250","1000","","","13.5","","33","18580026"
"859","","se_10053800","","se_fpc_water_random","","","","","23","18590001"
"859","-125","1","45","113111","cmn_surfing","1.75","-850","0","1","18590002"
"859","-250","1","45","113211","cmn_surfing","1.75","-1100","0","1","18590003"
"859","-125","1","45","113311","cmn_surfing","1.75","-1350","0","1","18590004"
"859","-250","1","45","117011","cmn_surfing","1.75","-1600","0","1","18590005"
"859","-125","6","44","1","cmn_surfing","1.75","-850","0","5","18590006"
"859","-250","6","44","2","cmn_surfing","1.75","-1100","0","5","18590007"
"859","-125","6","44","3","cmn_surfing","1.75","-1350","0","5","18590008"
"859","-250","6","44","4","cmn_surfing","1.75","-1600","0","5","18590009"
"859","1","11","-850","1","","1","-125","","31","18590010"
"859","1","11","-1100","2","","1","-250","","31","18590011"
"859","1","11","-1350","3","","1","-125","","31","18590012"
"859","1","11","-1600","4","","1","-250","","31","18590013"
"859","","113111","-125","2350","","","6","","2","18590014"
"859","","113211","-250","2100","","","6","","2","18590015"
"859","","113311","-125","1850","","","6","","2","18590016"
"859","","117011","-250","1600","","","6","","2","18590017"
"859","","1","-125","2350","","","6","","2","18590018"
"859","","2","-250","2100","","","6","","2","18590019"
"859","","3","-125","1850","","","6","","2","18590020"
"859","","4","-250","1600","","","6","","2","18590021"
"859","","1","-125","2350","","","6","","33","18590022"
"859","","2","-250","2100","","","6","","33","18590023"
"859","","3","-125","1850","","","6","","33","18590024"
"859","","4","-250","1600","","","6","","33","18590025"
"859","","se_10053800","","se_10053800_surfing_wave","","","","","23","18590026"
"859","","0.3","","","","","","","93","18590027"
"859","","vo_fpc","","vo_fpc_85901","","","0","","21","18590028"
"860","","se_10053800","","se_fpc_water_random","","","","","23","18600001"
"860","-180","1","23","110011","cmn_boat_relax_l","1.75","-850","0","1","18600002"
"860","-180","1","23","110111","cmn_boat_relax","1.75","-1200","0","1","18600003"
"860","-180","2","22","1","cmn_boat_idle_blue","1.75","-850","0","5","18600004"
"860","-180","2","22","2","cmn_boat_idle_l","1.75","-1200","0","5","18600005"
"860","1","116","-850","1","","1","-180","","31","18600006"
"860","1","116","-1200","2","","1","-180","","31","18600007"
"860","","110011","-180","1750","","","13.5","","2","18600008"
"860","","110111","-180","1400","","","13.5","","2","18600009"
"860","","1","-180","1750","","","13.5","","2","18600010"
"860","","2","-180","1400","","","13.5","","2","18600011"
"860","","1","-180","1750","","","13.5","","33","18600012"
"860","","2","-180","1400","","","13.5","","33","18600013"
"860","","2.7","","","","","","","93","18600014"
"860","","vo_fpc","","vo_fpc_86001","","","0","","21","18600015"
"861","","se_10053800","","se_fpc_water_random","","","","","23","18610001"
"861","-125","1","13","129511","cmn_swm_tread","1.75","-850","0","1","18610002"
"861","-250","1","33","129411","cmn_swm_tread","1.75","-1100","0","1","18610003"
"861","-125","1","13","129311","cmn_swm_tread","1.75","-1350","0","1","18610004"
"861","-125","1","12","1","cmn_swm_tread_pink","1.75","-850","0","5","18610005"
"861","-250","1","32","2","cmn_swm_tread_blue","1.75","-1100","0","5","18610006"
"861","-125","1","12","3","cmn_swm_tread","1.75","-1350","0","5","18610007"
"861","1","13","-850","1","","1","-125","","31","18610008"
"861","1","3","-1100","2","","1","-250","","31","18610009"
"861","1","13","-1350","3","","1","-125","","31","18610010"
"861","","129511","-125","1750","","","13.5","","2","18610011"
"861","","129411","-250","1500","","","13.5","","2","18610012"
"861","","129311","-125","1250","","","13.5","","2","18610013"
"861","","1","-125","1750","","","13.5","","2","18610014"
"861","","2","-250","1500","","","13.5","","2","18610015"
"861","","3","-125","1250","","","13.5","","2","18610016"
"861","","1","-125","1750","","","13.5","","33","18610017"
"861","","2","-250","1500","","","13.5","","33","18610018"
"861","","3","-125","1250","","","13.5","","33","18610019"
"862","","se_10053800","","se_fpc_water_random","","","","","23","18620001"
"862","-125","1","13","126711","cmn_swm_tread","1.75","-850","0","1","18620002"
"862","-250","1","33","126811","cmn_swm_tread","1.75","-1100","0","1","18620003"
"862","-180","21","22","21","02_neneka_floatRing","1.66","-1350","0","5","18620004"
"862","-125","1","12","1","cmn_swm_tread","1.75","-850","0","5","18620005"
"862","-250","1","32","2","cmn_swm_tread_blue","1.75","-1100","0","5","18620006"
"862","1","13","-850","1","","1","-125","","31","18620007"
"862","1","3","-1100","2","","1","-250","","31","18620008"
"862","1","102","-1350","3","","1","-180","","31","18620009"
"862","","126711","-125","1750","","","13.5","","2","18620010"
"862","","126811","-250","1500","","","13.5","","2","18620011"
"862","","21","-180","1250","","","13.5","","2","18620012"
"862","","1","-125","1750","","","13.5","","2","18620013"
"862","","2","-250","1500","","","13.5","","2","18620014"
"862","","1","-125","1750","","","13.5","","33","18620015"
"862","","2","-250","1500","","","13.5","","33","18620016"
"862","","3","-180","1250","","","13.5","","33","18620017"
"863","","se_10053800","","se_fpc_water_random","","","","","23","18630001"
"863","-180","1","22","126911","cmn_float","1.75","-1100","1","1","18630002"
"863","-125","1","12","127011","cmn_float","1.75","-1350","0","1","18630003"
"863","-180","1","22","127111","cmn_float","1.75","-1600","0","1","18630004"
"863","1","6","-1070","2","","1","-180","","31","18630005"
"863","1","6","-1350","3","","1","-125","","31","18630006"
"863","1","6","-1600","4","","1","-180","","31","18630007"
"863","","126911","-180","1500","","","13.5","","2","18630008"
"863","","127011","-125","1250","","","13.5","","2","18630009"
"863","","127111","-180","1000","","","13.5","","2","18630010"
"863","","2","-180","1530","","","13.5","","33","18630011"
"863","","3","-125","1250","","","13.5","","33","18630012"
"863","","4","-180","1000","","","13.5","","33","18630013"
"863","","2.3","","","","","","","93","18630014"
"863","","vo_fpc","","vo_fpc_86301","","","0","","21","18630015"
"864","","se_10053800","","se_fpc_water_random","","","","","23","18640001"
"864","-125","1","45","107811","cmn_surfing","1.75","-850","0","1","18640002"
"864","-250","1","45","110011","cmn_surfing","1.75","-1100","0","1","18640003"
"864","-125","6","44","1","cmn_surfing","1.75","-850","0","5","18640004"
"864","-250","6","44","2","cmn_surfing","1.75","-1100","0","5","18640005"
"864","1","11","-850","1","","1","-125","","31","18640006"
"864","1","11","-1100","2","","1","-250","","31","18640007"
"864","","107811","-125","2350","","","6","","2","18640008"
"864","","110011","-250","2100","","","6","","2","18640009"
"864","","1","-125","2350","","","6","","2","18640010"
"864","","2","-250","2100","","","6","","2","18640011"
"864","","1","-125","2350","","","6","","33","18640012"
"864","","2","-250","2100","","","6","","33","18640013"
"864","","se_10053800","","se_10053800_surfing_wave","","","","","23","18640014"
"864","","0.2","","","","","","","93","18640015"
"864","","vo_fpc","","vo_fpc_86401","","","0","","21","18640016"
"865","","se_10053800","","se_fpc_water_random","","","","","23","18650001"
"865","-125","1","13","110311","cmn_swm_flutterKick_floatRing","1.75","-850","0","1","18650002"
"865","-250","1","33","113111","cmn_swm_flutterKick_floatRing","1.75","-1100","0","1","18650003"
"865","-125","1","12","1","cmn_swm_flutterKick_floatRing_pink","1.75","-850","0","5","18650004"
"865","-250","1","32","2","cmn_swm_flutterKick_floatRing_blue","1.75","-1100","0","5","18650005"
"865","1","7","-850","1","","1","-125","","31","18650006"
"865","1","1","-1100","2","","1","-250","","31","18650007"
"865","","110311","-125","1750","","","10","","2","18650008"
"865","","113111","-250","1500","","","10","","2","18650009"
"865","","1","-125","1750","","","10","","2","18650010"
"865","","2","-250","1500","","","10","","2","18650011"
"865","","1","-125","1750","","","10","","33","18650012"
"865","","2","-250","1500","","","10","","33","18650013"
"866","","se_10053800","","se_fpc_water_random","","","","","23","18660001"
"866","-125","1","13","113411","cmn_swm_flutterKick_floatRing","1.75","-850","0","1","18660002"
"866","-250","1","33","115711","cmn_swm_flutterKick_floatRing","1.75","-1100","0","1","18660003"
"866","-125","1","12","1","cmn_swm_flutterKick_floatRing_pink","1.75","-850","0","5","18660004"
"866","-250","1","32","2","cmn_swm_flutterKick_floatRing_blue","1.75","-1100","0","5","18660005"
"866","1","7","-850","1","","1","-125","","31","18660006"
"866","1","1","-1100","2","","1","-250","","31","18660007"
"866","","113411","-125","1750","","","10","","2","18660008"
"866","","115711","-250","1500","","","10","","2","18660009"
"866","","1","-125","1750","","","10","","2","18660010"
"866","","2","-250","1500","","","10","","2","18660011"
"866","","1","-125","1750","","","10","","33","18660012"
"866","","2","-250","1500","","","10","","33","18660013"
"867","","se_10053800","","se_fpc_water_random","","","","","23","18670001"
"867","-125","1","13","113211","cmn_swm_tread","1.75","-850","0","1","18670002"
"867","-250","1","33","127111","cmn_swm_tread","1.75","-1100","0","1","18670003"
"867","-125","1","12","1","cmn_swm_tread_pink","1.75","-850","0","5","18670004"
"867","-250","1","32","2","cmn_swm_tread_blue","1.75","-1100","0","5","18670005"
"867","1","13","-850","1","","1","-125","","31","18670006"
"867","1","3","-1100","2","","1","-250","","31","18670007"
"867","","113211","-125","1750","","","13.5","","2","18670008"
"867","","127111","-250","1500","","","13.5","","2","18670009"
"867","","1","-125","1750","","","13.5","","2","18670010"
"867","","2","-250","1500","","","13.5","","2","18670011"
"867","","1","-125","1750","","","13.5","","33","18670012"
"867","","2","-250","1500","","","13.5","","33","18670013"
"868","","se_10053800","","se_fpc_water_random","","","","","23","18680001"
"868","-125","1","12","117011","cmn_swm_diving","1.75","-850","0","1","18680002"
"868","-180","1","22","117111","cmn_swm_diving","1.75","-1100","0","1","18680003"
"868","1","9","-850","1","","1","-125","","31","18680004"
"868","1","9","-1100","2","","1","-180","","31","18680005"
"868","","117011","-125","1750","","","13.5","","2","18680006"
"868","","117111","-180","1500","","","13.5","","2","18680007"
"868","","1","-125","1750","","","13.5","","33","18680008"
"868","","2","-180","1500","","","13.5","","33","18680009"
"869","","se_10053800","","se_fpc_water_random","","","","","23","18690001"
"869","-125","1","13","110511","cmn_swm_flutterKick_floatRing","1.75","-850","0","1","18690002"
"869","-250","1","33","110011","cmn_swm_flutterKick_floatRing","1.75","-1100","0","1","18690003"
"869","-125","1","12","1","cmn_swm_flutterKick_floatBoad","1.75","-850","0","5","18690004"
"869","-250","1","32","2","cmn_swm_flutterKick_floatBoad_blue","1.75","-1100","0","5","18690005"
