24ce2ffbdeecc0b7e98bec92504cbbcdd3f0a051452cbc68c0de7b04e1c1fc3e,149a0cb35d4816cced9d206ae44323dcb276f0ec20dc30636397ab21e0c0bab9,dfef556db57bfc728ac2c8fb279ff0ff5ef2bf3cd135c54a84ca5ba05e3de9a5,f2bbd2089475438e65759360131976b74e467edeb4a6001743aceafcfe2e054f,2bb11dfbaa6e34d84d5f7326ad9bc46b98bef2296319a809c3b60a269263b775
"180","0","4","367","1077"
"181","0","1","368","1078"
"182","0","2","370","1078"
"183","0","3","371","1078"
"184","0","4","372","1078"
"185","0","1","373","1079"
"186","0","2","375","1079"
"187","0","3","376","1079"
"188","0","4","377","1079"
"189","0","1","378","1080"
"190","0","2","380","1080"
"191","0","3","381","1080"
"192","0","4","382","1080"
"193","0","1","383","1081"
"194","0","2","385","1081"
"195","0","3","386","1081"
"196","0","4","387","1081"
"197","0","1","388","1082"
"198","0","2","390","1082"
"199","0","3","391","1082"
"200","0","4","392","1082"
"201","0","1","393","1083"
"202","0","2","395","1083"
"203","0","3","396","1083"
"204","0","4","397","1083"
"205","0","1","398","1084"
"206","0","2","400","1084"
"207","0","3","401","1084"
"208","0","4","402","1084"
"209","0","1","403","1085"
"210","0","2","405","1085"
"211","0","3","406","1085"
"212","0","4","407","1085"
"213","0","1","408","1086"
"214","0","2","410","1086"
"215","0","3","411","1086"
"216","0","4","412","1086"
"217","0","1","413","1087"
"218","0","2","415","1087"
"219","0","3","416","1087"
"220","0","4","417","1087"
"221","0","1","418","1088"
"222","0","2","420","1088"
"223","0","3","421","1088"
"224","0","4","422","1088"
"225","0","1","423","1089"
"226","0","2","425","1089"
"227","0","3","426","1089"
"228","0","4","427","1089"
