628f4e4f1d5b69dd6117f0668f5d398148582d8cf5d895bf8b13e4db148ff868,b422e5de0aec74c19393f298dd145d85d5f3c3ebd01c0d57818dbe2685efcfea,e341e5192a1acf73358e064e4d887c1b8969bdf322145f53ad5eb1369030c51d,5e8d19484f1b465215c7ff3128ce86ae3f48d39b3e90908641111f5c647b7692,113e958b64fb72d51bf10d54db92295e8752f8df53620d0550d2b2397fde6bb7,b46837ffb3d1f162b871e5a76781dd5442f5f4f5181e8a9aed0707d4789adaae,4c291aee4c0d0cfdea3b8f182ec5eeaa75e1d34fb7d4bce118a19d7b6d0f69aa,0da736c15968468bd8640bca4c0719bffe89cab13fd7b5295aa91f68b53e9708,f4f8a3cbcada4799f394f8580fb2077d85c273e4f03019811a811f5d59b61321,e30965049060ab7afdf7533aba8f40e90429a20a92410a55fe7ca280a8d7d114,88c7de629897204fb8b1155c7b428a43c911cd2749aeca3dbb3d03ae302eeac3,bdab23eb2de4abd8ef6835939fb4c5355d5623e6d55e8d3cb3794864f3010ce6
"100700302","2","vo_svd_0301","0","2","vo_svd","0","0","0","1007003","0","0"
"100700303","3","0","1.205","1","0","1","0","0","1007003","185","0"
"100700304","4","0","0","4","0","0","1","0","1007003","0","1.739"
"100700305","5","0","1.278","1","0","1","0","185","1007003","355","0"
"100700306","6","0","0","4","0","0","1","0","1007003","0","0.687"
"100700307","7","0","0.735","1","0","2","0","0","1007003","132","0"
"100700308","8","0","0","4","0","0","1","0","1007003","0","2.357"
"100700309","9","vo_svd_0302","0","2","vo_svd","0","0","0","1007003","0","0"
"100700310","10","0","1.542","1","0","2","0","132","1007003","364","0"
"100700311","11","0","0","4","0","0","1","0","1007003","0","1.9"
"100700312","12","0","1.82","1","0","3","0","0","1007003","336","0"
"100700313","13","0","0","4","0","0","1","0","1007003","0","1.754"
"100700314","14","0","1.133","1","0","4","0","0","1007003","255","0"
"100700315","15","0","0","4","0","0","1","0","1007003","0","2.697"
"100700316","16","vo_svd_0303","0","2","vo_svd","0","0","0","1007003","0","0"
"100700317","17","0","1.827","1","0","5","0","0","1007003","336","0"
"100700318","18","0","0","4","0","0","1","0","1007003","0","2.182"
"100700319","19","0","1.186","1","0","6","0","0","1007003","275","0"
"100700320","20","0","0","4","0","0","1","0","1007003","0","2.842"
"100700321","21","vo_svd_0304","0","2","vo_svd","0","0","0","1007003","0","0"
"100700322","22","0","2.067","1","0","7","0","0","1007003","336","0"
"100700323","23","0","0","4","0","0","1","0","1007003","0","1.844"
"100700324","24","0","2.068","1","0","8","0","0","1007003","364","0"
"100700325","25","0","0","4","0","0","1","0","1007003","0","2.5"
"100700401","1","0","0","4","0","0","1","0","1007004","0","0.8"
"100700402","2","vo_svd_0401","0","2","vo_svd","0","0","0","1007004","0","0"
"100700403","3","0","1.105","1","0","1","0","0","1007004","201","0"
"100700404","4","0","0","4","0","0","1","0","1007004","0","1.504"
"100700405","5","0","0.62","1","0","1","0","201","1007004","313","0"
"100700406","6","0","0","4","0","0","1","0","1007004","0","0.554"
"100700407","7","0","0.728","1","0","2","0","0","1007004","165","0"
"100700408","8","0","0","4","0","0","1","0","1007004","0","2.154"
"100700409","9","vo_svd_0402","0","2","vo_svd","0","0","0","1007004","0","0"
"100700410","10","0","1.051","1","0","2","0","165","1007004","334","0"
"100700411","11","0","0","4","0","0","1","0","1007004","0","0.915"
"100700412","12","0","0.927","1","0","3","0","0","1007004","161","0"
"100700413","13","0","0","4","0","0","1","0","1007004","0","1.701"
"100700414","14","0","0.905","1","0","3","0","161","1007004","311","0"
"100700415","15","0","0","4","0","0","1","0","1007004","0","0.816"
"100700416","16","0","1.249","1","0","4","0","0","1007004","329","0"
"100700417","17","0","0","4","0","0","1","0","1007004","0","1.252"
"100700418","18","0","0.987","1","0","5","0","0","1007004","268","0"
"100700419","19","0","0","4","0","0","1","0","1007004","0","2.864"
"100700420","20","vo_svd_0403","0","2","vo_svd","0","0","0","1007004","0","0"
"100700421","21","0","2.056","1","0","6","0","0","1007004","336","0"
"100700422","22","0","0","4","0","0","1","0","1007004","0","1.844"
"100700423","23","0","1.963","1","0","7","0","0","1007004","364","0"
"100700424","24","0","0","4","0","0","1","0","1007004","0","2.5"
"100700501","1","0","0","4","0","0","1","0","1007005","0","0.8"
"100700502","2","vo_svd_0501","0","2","vo_svd","0","0","0","1007005","0","0"
"100700503","3","0","1.741","1","0","1","0","0","1007005","329","0"
"100700504","4","0","0","4","0","0","1","0","1007005","0","2.972"
"100700505","5","vo_svd_0502","0","2","vo_svd","0","0","0","1007005","0","0"
"100700506","6","0","1.539","1","0","2","0","0","1007005","320","0"
"100700507","7","0","0","4","0","0","1","0","1007005","0","1.258"
"100700508","8","0","0.762","1","0","3","0","0","1007005","175","0"
"100700509","9","0","0","4","0","0","1","0","1007005","0","2.583"
"100700510","10","vo_svd_0503","0","2","vo_svd","0","0","0","1007005","0","0"
"100700511","11","0","2.131","1","0","4","0","0","1007005","336","0"
"100700512","12","0","0","4","0","0","1","0","1007005","0","2.924"
"100700513","13","0","1.868","1","0","5","0","0","1007005","329","0"
"100700514","14","0","0","4","0","0","1","0","1007005","0","3.266"
"100700515","15","vo_svd_0504","0","2","vo_svd","0","0","0","1007005","0","0"
"100700516","16","0","1.269","1","0","6","0","0","1007005","275","0"
"100700517","17","0","0","4","0","0","1","0","1007005","0","2.653"
"100700518","18","vo_svd_0505","0","2","vo_svd","0","0","0","1007005","0","0"
"100700519","19","0","2.056","1","0","7","0","0","1007005","336","0"
"100700520","20","0","0","4","0","0","1","0","1007005","0","1.844"
"100700521","21","0","1.965","1","0","8","0","0","1007005","364","0"
"100700522","22","0","0","4","0","0","1","0","1007005","0","2.5"
"100700601","1","0","0","4","0","0","1","0","1007006","0","0.8"
"100700602","2","vo_svd_0601","0","2","vo_svd","0","0","0","1007006","0","0"
"100700603","3","0","1.875","1","0","1","0","0","1007006","336","0"
"100700604","4","0","0","4","0","0","1","0","1007006","0","3.353"
"100700605","5","vo_svd_0602","0","2","vo_svd","0","0","0","1007006","0","0"
"100700606","6","0","1.734","1","0","2","0","0","1007006","336","0"
"100700607","7","0","0","4","0","0","1","0","1007006","0","1.665"
"100700608","8","0","1.035","1","0","3","0","0","1007006","219","0"
"100700609","9","0","0","4","0","0","1","0","1007006","0","1.893"
"100700610","10","0","0.821","1","0","3","0","248","1007006","354","0"
"100700611","11","0","0","4","0","0","1","0","1007006","0","0.664"
"100700612","12","0","1.361","1","0","4","0","0","1007006","275","0"
"100700613","13","0","0","4","0","0","1","0","1007006","0","1.108"
"100700614","14","0","1.269","1","0","5","0","0","1007006","259","0"
"100700615","15","0","0","4","0","0","1","0","1007006","0","3.112"
"100700616","16","vo_svd_0603","0","2","vo_svd","0","0","0","1007006","0","0"
"100700617","17","0","2.056","1","0","6","0","0","1007006","336","0"
"100700618","18","0","0","4","0","0","1","0","1007006","0","1.844"
"100700619","19","0","1.965","1","0","7","0","0","1007006","364","0"
"100700620","20","0","0","4","0","0","1","0","1007006","0","2.5"
"100700701","1","0","0","4","0","0","1","0","1007007","0","0.8"
"100700702","2","vo_svd_0701","0","2","vo_svd","0","0","0","1007007","0","0"
"100700703","3","0","0.926","1","0","1","0","0","1007007","132","0"
"100700704","4","0","0","4","0","0","1","0","1007007","0","1.549"
"100700705","5","0","1.457","1","0","1","0","132","1007007","345","0"
"100700706","6","0","0","4","0","0","1","0","1007007","0","1.228"
"100700707","7","0","0.762","1","0","2","0","0","1007007","168","0"
"100700708","8","0","0","4","0","0","1","0","1007007","0","2.221"
"100700709","9","vo_svd_0702","0","2","vo_svd","0","0","0","1007007","0","0"
"100700710","10","0","0.969","1","0","2","0","168","1007007","347","0"
"100700711","11","0","0","4","0","0","1","0","1007007","0","0.747"
"100700712","12","0","2.085","1","0","3","0","0","1007007","336","0"
"100700713","13","0","0","4","0","0","1","0","1007007","0","2.932"
"100700714","14","0","1.436","1","0","4","0","0","1007007","275","0"
"100700715","15","0","0","4","0","0","1","0","1007007","0","2.164"
"100700716","16","0","1.928","1","0","5","0","0","1007007","356","0"
"100700717","17","0","0","4","0","0","1","0","1007007","0","1.673"
"100700718","18","0","1.269","1","0","6","0","0","1007007","259","0"
"100700719","19","0","0","4","0","0","1","0","1007007","0","3.156"
"100700720","20","vo_svd_0703","0","2","vo_svd","0","0","0","1007007","0","0"
"100700721","21","0","2.077","1","0","7","0","0","1007007","336","0"
"100700722","22","0","0","4","0","0","1","0","1007007","0","1.841"
"100700723","23","0","1.965","1","0","8","0","0","1007007","364","0"
"100700724","24","0","0","4","0","0","0","0","1007007","0","2.5"
"100700801","1","0","0","4","0","0","1","0","1007008","0","0.8"
"100700802","2","vo_svd_0801","0","2","vo_svd","0","0","0","1007008","0","0"
"100700803","3","0","2.027","1","0","1","0","0","1007008","356","0"
"100700804","4","0","0","4","0","0","1","0","1007008","0","3.309"
"100700805","5","vo_svd_0802","0","2","vo_svd","0","0","0","1007008","0","0"
"100700806","6","0","1.879","1","0","2","0","0","1007008","336","0"
"100700807","7","0","0","4","0","0","1","0","1007008","0","3.041"
"100700808","8","vo_svd_0803","0","2","vo_svd","0","0","0","1007008","0","0"
"100700809","9","0","1.848","1","0","3","0","0","1007008","336","0"
"100700810","10","0","0","4","0","0","1","0","1007008","0","1.437"
"100700811","11","0","0.796","1","0","4","0","0","1007008","168","0"
"100700812","12","","0","4","","0","1","0","1007008","0","2.532"
"100700813","13","vo_svd_0804","0","2","vo_svd","0","0","0","1007008","0","0"
"100700814","14","0","1.002","1","0","5","0","0","1007008","101","0"
"100700815","15","0","0","4","0","0","1","0","1007008","0","2.164"
"100700816","16","0","1.574","1","0","5","0","101","1007008","299","0"
"100700817","17","0","0","4","0","0","1","0","1007008","0","2.164"
"100700818","18","0","1.269","1","0","6","0","0","1007008","259","0"
"100700819","19","0","0","4","0","0","1","0","1007008","0","2.5"
"100700901","1","0","0","4","0","0","1","0","1007009","0","0.8"
"100700902","2","vo_svd_0901","0","2","vo_svd","0","0","0","1007009","0","0"
"100700903","3","0","2.285","1","0","1","0","0","1007009","356","0"
"100700904","4","0","0","4","0","0","1","0","1007009","0","2.031"
"100700905","5","0","1.362","1","0","2","0","0","1007009","215","0"
"100700906","6","0","0","4","0","0","1","0","1007009","0","2.479"
"100700907","7","vo_svd_0902","0","2","vo_svd","0","0","0","1007009","0","0"
"100700908","8","0","2.004","1","0","3","0","0","1007009","356","0"
"100700909","9","0","0","4","0","0","1","0","1007009","0","1.804"
"100700910","10","0","2.026","1","0","4","0","0","1007009","266","0"
"100700911","11","0","0","4","0","0","1","0","1007009","0","2.473"
"100700912","12","0","0.518","1","0","4","0","266","1007009","338","0"
"100700913","13","0","0","4","0","0","1","0","1007009","0","0.556"
"100700914","14","0","2.021","1","0","5","0","0","1007009","336","0"
"100700915","15","0","0","4","0","0","1","0","1007009","0","1.713"
"100700916","16","0","1.513","1","0","6","0","0","1007009","250","0"
"100700917","17","0","0","4","0","0","1","0","1007009","0","1.981"
"100700918","18","vo_svd_0903","0","2","vo_svd","0","0","0","1007009","0","0"
"100700919","19","0","1.672","1","0","7","0","0","1007009","279","0"
"100700920","20","0","0","4","0","0","1","0","1007009","0","1.924"
"100700921","21","0","0.796","1","0","7","0","279","1007009","338","0"
"100700922","22","","0","4","","0","1","0","1007009","0","1.832"
"100700923","23","vo_svd_0904","0","2","vo_svd","0","0","0","1007009","0","0"
"100700924","24","0","0.703","1","0","8","0","0","1007009","96","0"
"100700925","25","0","0","4","0","0","1","0","1007009","0","1.523"
"100700926","26","vo_svd_0905","0","2","vo_svd","0","0","0","1007009","0","0"
"100700927","27","0","1.198","1","0","8","0","96","1007009","218","0"
"100700928","28","0","0","4","0","0","1","0","1007009","0","1.764"
"100700929","29","vo_svd_0906","0","2","vo_svd","0","0","0","1007009","0","0"
"100700930","30","0","2.335","1","0","9","0","0","1007009","336","0"
"100700931","31","0","0","4","0","0","1","0","1007009","0","3.423"
"100700932","32","vo_svd_0907","0","2","vo_svd","0","0","0","1007009","0","0"
"100700933","33","0","0.682","1","0","10","0","0","1007009","69","0"
"100700934","34","0","0","4","0","0","1","0","1007009","0","1.357"
"100700935","35","0","2.106","1","0","10","0","69","1007009","336","0"
"100700936","36","0","0","4","0","0","1","0","1007009","0","1.43"
"100700937","37","0","2.283","1","0","11","0","0","1007009","336","0"
"100700938","38","0","0","4","0","0","1","0","1007009","0","2.989"
"100700939","39","vo_svd_0908","0","2","vo_svd","0","0","0","1007009","0","0"
"100700940","40","0","1.978","1","0","12","0","0","1007009","322","0"
"100700941","41","0","0","4","0","0","1","0","1007009","0","1"
"100701001","1","0","0","4","0","0","1","0","1007010","0","0.8"
"100701002","2","vo_svd_1001","0","2","vo_svd","0","0","0","1007010","0","0"
"100701003","3","0","2.705","1","0","1","0","0","1007010","356","0"
"100701004","4","0","0","4","0","0","1","0","1007010","0","3.154"
"100701005","5","0","0.918","1","0","2","0","0","1007010","96","0"
"100701006","6","0","0","4","0","0","1","0","1007010","0","1.231"
"100701007","7","0","1.672","1","0","2","0","96","1007010","356","0"
"100701008","8","0","0","4","0","0","1","0","1007010","0","3.307"
"100701009","9","vo_svd_1002","0","2","vo_svd","0","0","0","1007010","0","0"
"100701010","10","0","0.835","1","0","3","0","0","1007010","131","0"
"100701011","11","0","0","4","0","0","1","0","1007010","0","1.164"
"100701012","12","0","1.623","1","0","3","0","131","1007010","336","0"
"100701013","13","0","0","4","0","0","1","0","1007010","0","1.712"
"100701014","14","0","2.294","1","0","4","0","0","1007010","356","0"
"100701015","15","0","0","4","0","0","1","0","1007010","0","2.186"
"100701016","16","0","2.184","1","0","5","0","0","1007010","322","0"
"100701017","17","0","0","4","0","0","1","0","1007010","0","3.034"
"100701018","18","vo_svd_1003","0","2","vo_svd","0","0","0","1007010","0","0"
"100701019","19","0","2.704","1","0","6","0","0","1007010","356","0"
"100701020","20","0","0","4","0","0","1","0","1007010","0","2.522"
"100701021","21","0","1.005","1","0","7","0","0","1007010","162","0"
"100701022","22","0","0","4","0","0","1","0","1007010","0","2.617"
"100701023","23","vo_svd_1004","0","2","vo_svd","0","0","0","1007010","0","0"
"100701024","24","0","0.975","1","0","8","0","0","1007010","131","0"
"100701025","25","0","0","4","0","0","1","0","1007010","0","1.202"
"100701026","26","0","1.214","1","0","8","0","131","1007010","291","0"
"100701027","27","0","0","4","0","0","1","0","1007010","0","1.187"
"100701028","28","0","2.043","1","0","9","0","0","1007010","345","0"
"100701029","29","0","0","4","0","0","1","0","1007010","0","3.356"
"100701030","30","vo_svd_1005","0","2","vo_svd","0","0","0","1007010","0","0"
"100701031","31","0","1.862","1","0","10","0","0","1007010","155","0"
"100701032","32","0","0","4","0","0","1","0","1007010","0","2.285"
"100701033","33","vo_svd_1006","0","2","vo_svd","0","0","0","1007010","0","0"
"100701034","34","0","0.682","1","0","11","0","0","1007010","85","0"
"100701035","35","0","0","4","0","0","1","0","1007010","0","1.529"
"100701036","36","0","1.042","1","0","11","0","85","1007010","220","0"
"100701037","37","0","0","4","0","0","1","0","1007010","0","2.384"
"100701038","38","vo_svd_1007","0","2","vo_svd","0","0","0","1007010","0","0"
"100701039","39","0","1.106","1","0","12","0","0","1007010","100","0"
"100701040","40","0","0","4","0","0","1","0","1007010","0","1.891"
"100701041","41","0","1.322","1","0","12","0","100","1007010","289","0"
"100701042","42","0","0","4","0","0","1","0","1007010","0","1"
