34dc28084d6dbd22dca707284e6cf833bd1d77de2675ef0fd39b19efefc58ce7,a146d9230590b30a208160f695924eeae482c77b3046fff5b4a6608a9c5c4041,6a1100fdc6a20f07c8761ca99637a41c1a60751efcc4d0e8279bcc86f663ca48,c7915a575b4eca405fd80bd024745e6435b5ecc685866d46ff6c04952b0a5a32,0eb9997b6edc5dcbfef802702dceba8c36b444945a41f97c69098c4e55e47ebf,9def07ba3b31da6de672805a0f72e06439c9c639a1207e3c353135b15908b8ea,c59a0eed761934320a146aed427bd7414b8df2135d243bcb3844bb8ebcc589fa,a09eae06b84986b61908eb4da696c735968baf37e1355f4c74d1db9835d5dbfc,8a996d851b7369e8663968689c8f3051a34061a0fa1bf11fbf95e1d268dc94c3,87ec6850c63cd309fc977a99e1a7d916b999a8a263dd3a861a7d1bf837fca486,a7f3b72c26d68ae65a0c440cabf3515cd54c488de105637f2a252e016c381393
"111010010","","1000001","640","0","","2","-250","","1101","2.1"
"111010011","","1.7","0","","","93","","","1101",""
"111010012","","101","1","","","32","","","1101",""
"111010013","","0.7","0","","","93","","","1101",""
"120010001","1.3","1","1000001","-240","look_loop","1","55","0","2001","0"
"120010002","0","1","1","1","","31","0","0","2001","0"
"120010003","","1","0","","","35","","","2001",""
"120010004","","1","1","","","32","","","2001",""
"120010005","1","2","2","1","","31","345.4","0","2001","0"
"120010006","","2","0","","","35","","","2001",""
"120010007","0","3","3","1","","31","345.4","0","2001","0"
"120010008","","3","0","","","35","","","2001",""
"120010009","","3","1","","","32","","","2001",""
"120010010","1","31000001","31000001","1","","31","-345.4","","2001","0"
"120010011","1","31000002","31000002","1","","31","345.4","","2001","0"
"120010012","1","100","100","1","","31","0","","2001","0"
"120010013","0","101","101","1","","31","0","","2001","0"
"120010014","","0","","","","91","","","2001",""
"120010015","","100","1","","","35","","","2001",""
"120010016","0","1000001","look_in","1","","3","0","0","2001","look_loop"
"120010017","","1.3","0","","","93","","","2001",""
"121010001","0","12","998","1","","31","0","","2101","0"
"121010002","0","14","997","1","","31","0","","2101","0"
"121010003","0","16","996","1","","31","0","","2101","0"
"121010004","","31000001","0","","","32","","","2101",""
"121010005","","31000002","0","","","32","","","2101",""
"121010006","0","0","0","0","","121","-1","","2101","1"
"121010007","","1","1","","","35","","","2101",""
"121010008","","3","1","","","35","","","2101",""
"121010009","0","1000001","pointing","","","3","0","","2101",""
"121010010","","1","0","","","93","","","2101",""
"121010011","0","505","100","2","","121","-1.47","","2101","1.47"
"121010012","0.2","1000001","run_talk1","","","3","1","","2101",""
"121010013","","1000001","100","0","","2","-240","","2101","1"
"121010014","","se_travel","se_travel_treasure_cha_run","","","23","0","","2101",""
"121010015","","1","0","","","93","","","2101",""
"122010001","0","11","998","1","","31","0","","2201","0"
"122010002","0","13","997","1","","31","0","","2201","0"
"122010003","0","15","996","1","","31","0","","2201","0"
"122010004","","31000001","0","","","32","","","2201",""
"122010005","","31000002","0","","","32","","","2201",""
"122010006","","1","1","","","35","","","2201",""
"122010007","","3","1","","","35","","","2201",""
"122010008","0","1000001","pointing","","","3","0","","2201",""
"122010009","","1","0","","","93","","","2201",""
"122010010","0","-505","100","2","","121","1.47","","2201","1.47"
"122010011","0.2","1000001","run_talk1","","","3","1","","2201",""
"122010012","","1000001","100","0","","2","-240","","2201","1"
"122010013","","se_travel","se_travel_treasure_cha_run","","","23","0","","2201",""
"122010014","","1","0","","","93","","","2201",""
"130000001","0","300000","300000","1","","31","345.4","","3000","0"
"130000002","","0","","","","91","","","3000",""
"130000003","0","1.05","1.05","7.4","","123","1.05","","3000","1.05"
"130000004","0.2","1000001","wait","","","3","0","","3000",""
"130000005","","2","1","","","35","","","3000",""
"130000006","","4.9","0","","","93","","","3000",""
"130000007","0","0.95","0.95","0.4","","123","0.95","","3000","0.95"
"130000008","","300000","1","","","32","","","3000",""
"130000009","","0.1","0","","","93","","","3000",""
"130000010","","2","0","","","32","","","3000",""
"130000011","","0.1","0","","","93","","","3000",""
"130000012","","996","1","","","32","","","3000",""
"130000013","0","1000001","joy_from_wait","","","3","0","","3000",""
"130000014","","1.9","0","","","93","","","3000",""
"130000015","0","1000001","glad_from_joy","","","3","0","","3000",""
"130000016","","1.5","0","","","93","","","3000",""
"130000017","0.2","1000001","run_gatein","","","3","1","","3000",""
"130000018","","se_travel","se_travel_treasure_cha_run","","","23","","","3000",""
"130000019","","1000001","450","0","","2","-195","","3000","1"
"130000020","","0.5","1","","","93","","","3000",""
"130000021","0.4","1000001","1","0","","6","1","0","3000","1"
"130000022","","0.4","0","","","93","","","3000",""
"130000023","","1","","","","113","","","3000",""
"130010001","0","300100","300100","1","","31","345.4","","3001","0"
"130010002","1","990001","990001","1","","31","345.4","","3001","0"
"130010003","","0","","","","91","","","3001",""
"130010004","0","1.05","1.05","7.4","","123","1.05","","3001","1.05"
"130010005","0.2","1000001","wait","","","3","0","","3001",""
"130010006","","2","1","","","35","","","3001",""
"130010007","","5.4","0","","","93","","","3001",""
"130010008","0","0.95","0.95","0.4","","123","0.95","","3001","0.95"
"130010009","0.2","1000001","glad","","","3","0","","3001",""
"130010010","","300100","1","","","32","","","3001",""
"130010011","","996","1","","","32","","","3001",""
"130010012","","0.1","0","","","93","","","3001",""
"130010013","","2","0","","","32","","","3001",""
"130010014","","3","0","","","32","","","3001",""
"130010015","","1.5","0","","","93","","","3001",""
"130010016","0.2","1000001","joy","","","3","0","","3001",""
"130010017","","1.7","0","","","93","","","3001",""
"130010018","0","1000001","run_gatein","","","3","1","","3001",""
"130010019","","1000001","450","0","","2","-195","","3001","1"
"130010020","","0.5","1","","","93","","","3001",""
"130010021","0.4","1000001","1","0","","6","1","0","3001","1"
"130010022","","0.4","0","","","93","","","3001",""
"130010023","","1","","","","113","","","3001",""
"130020001","0","300100","300100","1","","31","345.4","","3002","0"
"130020002","1","990002","990002","1","","31","345.4","","3002","0"
"130020003","","0","","","","91","","","3002",""
"130020004","0","1.05","1.05","7.4","","123","1.05","","3002","1.05"
"130020005","0.2","1000001","wait","","","3","0","","3002",""
"130020006","","2","1","","","35","","","3002",""
"130020007","","5.4","0","","","93","","","3002",""
"130020008","0","0.95","0.95","0.4","","123","0.95","","3002","0.95"
"130020009","0.2","1000001","glad","","","3","0","","3002",""
"130020010","","300100","1","","","32","","","3002",""
"130020011","","996","1","","","32","","","3002",""
"130020012","","0.1","0","","","93","","","3002",""
"130020013","","2","0","","","32","","","3002",""
"130020014","","3","0","","","32","","","3002",""
"130020015","","1.5","0","","","93","","","3002",""
"130020016","0.2","1000001","joy","","","3","0","","3002",""
"130020017","","1.7","0","","","93","","","3002",""
"130020018","0","1000001","run_gatein","","","3","1","","3002",""
"130020019","","1000001","450","0","","2","-195","","3002","1"
"130020020","","0.5","1","","","93","","","3002",""
"130020021","0.4","1000001","1","0","","6","1","0","3002","1"
"130020022","","0.4","0","","","93","","","3002",""
"130020023","","1","","","","113","","","3002",""
"130110001","0","6","6","1","","31","345.4","","3011","0"
"130110002","0","8","8","1","","31","345.4","","3011","0"
"130110003","0","301100","301100","1","","31","345.4","","3011","0"
"130110004","","0","","","","91","","","3011",""
"130110005","0","1.05","1.05","7.4","","123","1.05","","3011","1.05"
"130110006","0.2","1000001","wait","","","3","0","","3011",""
"130110007","","2","1","","","35","","","3011",""
"130110008","","4.9","0","","","93","","","3011",""
"130110009","0","0.95","0.95","0.3","","123","0.95","","3011","0.95"
"130110010","","se_travel","se_travel_treasure_ghost_success","","","23","0","","3011",""
"130110011","","8","1","","","32","","","3011",""
"130110012","","8","0","","","35","","","3011",""
"130110013","","6","1","","","32","","","3011",""
"130110014","","0.1","0","","","93","","","3011",""
"130110015","","2","0","","","32","","","3011",""
"130110016","","3","0","","","32","","","3011",""
"130110017","","1000001","dotEyes","","","3","0","","3011",""
"130110018","","0.87","0","","","93","","","3011",""
"130110019","0.2","1000001","glad","","","3","0","","3011",""
"130110020","","301100","1","","","32","","","3011",""
"130110021","","8","1","","","35","","","3011",""
"130110022","","0.6","0","","","93","","","3011",""
"130110023","","996","1","","","32","","","3011",""
"130110024","","0.5","0","","","93","","","3011",""
"130110025","","1000001","joy","","","3","0","","3011",""
"130110026","","1.67","0","","","93","","","3011",""
"130110027","0","1000001","run_gatein","","","3","1","","3011",""
"130110028","","1000001","450","0","","2","-195","","3011","1"
"130110029","","0.5","1","","","93","","","3011",""
"130110030","0.4","1000001","1","0","","6","1","0","3011","1"
"130110031","","0.4","0","","","93","","","3011",""
"130110032","","1","","","","113","","","3011",""
"130120001","0.2","1000001","idle","","","3","1","","3012",""
"130120002","0","301200","13","1","","31","0","","3012","0"
"130120003","0","101","14","1","","31","0","","3012","0"
"130120004","0","301204","16","1","","31","260","","3012","-150"
"130120005","0","301205","17","1","","31","0","","3012","0"
"130120006","0","6","18","1","","31","345.4","","3012","0"
"130120007","0","301201","20","1","","31","345.4","","3012","0"
"130120008","0","301202","21","1","","31","345.4","","3012","0"
"130120009","1","1","3","-234","round_monster_walk","5","55","0","3012","9340"
"130120010","","0","","","","91","","","3012",""
"130120011","0","3","1","0","","6","1","0","3012","1"
"130120012","0","3","345","0","","2","-234","0","3012","0"
"130120013","0","1.05","1.05","7.4","","123","1.05","0","3012","1.05"
"130120014","0.2","1000001","wait","","","3","0","","3012",""
"130120015","","2","1","","","35","","","3012",""
"130120016","0","301203","15","1","","31","0","","3012","0"
"130120017","0.89","2","1000002","-250","<weapon>_run","1","57","0","3012","9340"
"130120018","","4.3","0","","","93","","","3012",""
"130120019","0","0.95","0.95","0.4","","123","0.95","","3012","0.95"
"130120020","","21","1","","","32","","","3012",""
"130120021","","21","0","","","35","","","3012",""
"130120022","","se_travel","se_travel_treasure_success_monster_helper_1","","","23","","","3012",""
"130120023","","18","1","","","32","","","3012",""
"130120024","","0.1","0","","","93","","","3012",""
"130120025","","2","0","","","32","","","3012",""
"130120026","0.3","3","1","1","","6","1","0","3012","1"
"130120027","","13","1","","","32","","","3012",""
"130120028","","3","round_monster_appear","","","3","0","","3012",""
"130120029","","1000001","back","","","3","0","","3012",""
"130120030","","0.67","0","","","93","","","3012",""
"130120031","0.2","3","round_monster_walk","","","3","0","","3012",""
"130120032","","3","220","0","","2","-234","","3012","1.4"
"130120033","","20","1","","","32","","","3012",""
"130120034","","0.1","0","","","93","","","3012",""
"130120035","","18","0","","","32","","","3012",""
"130120036","","0.5","0","","","93","","","3012",""
"130120037","","1000002","1","","","4","","","3012",""
"130120038","","1000002","1445","0","","2","-240","","3012","0"
"130120039","","0.5","0","","","93","","","3012",""
"130120040","0.3","3","round_monster_attack","","","3","0","","3012",""
"130120041","","0.5","0","","","93","","","3012",""
"130120042","","17","1","","","32","","","3012",""
"130120043","0.1","1000001","back_loop","","","3","0","","3012",""
"130120044","","0.5","0","","","93","","","3012",""
"130120045","","1000002","950","0","","2","-240","","3012","0"
"130120046","","1000002","650","0","","2","-240","","3012","0.16"
"130120047","0.2","1000002","<weapon>_run","","","3","0","","3012",""
"130120048","","0.16","0","","","93","","","3012",""
"130120049","0.2","1000002","<weapon>_attack_skipQuest","","","3","0","","3012",""
"130120050","","0.1","0","","","93","","","3012",""
"130120051","","3","280","0","","2","-234","","3012","0"
"130120052","","3","1","","","4","","","3012",""
"130120053","0.2","3","round_monster_die","","","3","0","","3012",""
"130120054","","16","1","","","32","","","3012",""
"130120055","","0.5","0","","","93","","","3012",""
"130120056","","1000001","20","0","","2","-240","","3012","0"
"130120057","0","1000001","back_origin","","","3","0","","3012",""
"130120058","0.2","1000001","surprise","","","3","0","","3012",""
"130120059","0.2","1000002","<weapon>_idle","","","3","1","","3012",""
"130120060","","0.66","0","","","93","","","3012",""
"130120061","","15","1","","","32","","","3012",""
"130120062","","996","1","","","32","","","3012",""
"130120063","0.6","3","1","0","","6","1","","3012","1"
"130120064","0.2","1000001","joy_short","","","3","0","","3012",""
"130120065","","18","1","","","32","","","3012",""
"130120066","","0.02","0","","","93","","","3012",""
"130120067","","20","0","","","32","","","3012",""
"130120068","","21","0","","","32","","","3012",""
"130120069","","1.5","0","","","93","","","3012",""
"130120070","0.2","1000001","smile","","","3","0","","3012",""
"130120071","0","1000002","<weapon>_run","","","3","1","","3012",""
"130120072","","1000002","0","","","4","","","3012",""
"130120073","","1000002","1500","0","","2","-250","","3012","2"
"130120074","","1","0","","","93","","","3012",""
"130120075","0.2","1000002","1","0","","6","1","","3012","1"
"130120076","0.2","1000001","run_gatein","","","3","1","","3012",""
"130120077","","1000001","360","0","","2","-200","","3012","1"
"130120078","","0.5","0","","","93","","","3012",""
"130120079","0.4","1000001","1","0","","6","1","","3012","1"
"130120080","","0.4","0","","","93","","","3012",""
"130120081","","1","0","","","113","","","3012",""
"130130001","0","301300","301300","1","","31","345.4","","3013","0"
"130130002","","0","","","","91","","","3013",""
"130130003","0.2","1000001","wait_gradeUp","","","3","0","","3013",""
"130130004","","301300","1","","","32","","","3013",""
"130130005","","0.1","0","","","93","","","3013",""
"130130006","","2","0","","","32","","","3013",""
"130130007","","0.8","0","","","93","","","3013",""
"130130008","0","1.05","1.05","0","","123","1.05","","3013","1.05"
"130130009","","5","5","","","122","0.5","","3013",""
"130130010","","1.1","0","","","93","","","3013",""
"130130011","0","1.05","1.05","0","","123","1.05","","3013","1.05"
"130130012","","10","10","","","122","0.5","","3013",""
"130130013","","0.8","0","","","93","","","3013",""
"130130014","0.2","1000001","glad","","","3","0","","3013",""
"130130015","","0.1","0","","","93","","","3013",""
"130130016","2","0.907","0.907","2","","123","0.907","","3013","0.907"
"130130017","","0.3","0","","","93","","","3013",""
"130130018","","996","1","","","32","","","3013",""
"130130019","","0.5","0","","","93","","","3013",""
"130130020","0.2","1000001","joy","","","3","0","","3013",""
"130130021","","1.7","0","","","93","","","3013",""
"130130022","0","1000001","run_gatein","","","3","1","","3013",""
"130130023","","1000001","450","0","","2","-195","","3013","1"
"130130024","","0.5","1","","","93","","","3013",""
"130130025","0.4","1000001","1","0","","6","1","0","3013","1"
"130130026","","0.4","0","","","93","","","3013",""
"130130027","","1","","","","113","","","3013",""
"130140001","0","301400","301400","1","","31","345.4","","3014","0"
"130140002","","0","","","","91","","","3014",""
"130140003","0","1.05","1.05","7.4","","123","1.05","","3014","1.05"
"130140004","0.2","1000001","wait","","","3","0","","3014",""
"130140005","","301400","1","","","32","","","3014",""
"130140006","","0.1","0","","","93","","","3014",""
"130140007","","2","0","","","32","","","3014",""
"130140008","","3.4","0","","","93","","","3014",""
"130140009","5","0.95","0.95","3.2","","123","0.95","","3014","0.95"
"130140010","","1.6","0","","","93","","","3014",""
"130140011","0.2","1000001","relief","","","3","0","","3014",""
"130140012","","996","1","","","32","","","3014",""
"130140013","","1.7","0","","","93","","","3014",""
"130140014","0","1000001","run_gatein","","","3","1","","3014",""
"130140015","","1000001","450","0","","2","-195","","3014","1"
"130140016","","0.5","1","","","93","","","3014",""
"130140017","0.4","1000001","1","0","","6","1","0","3014","1"
"130140018","","0.4","0","","","93","","","3014",""
"130140019","","1","","","","113","","","3014",""
"130150001","0","301501","301501","1","","31","345.4","","3015","0"
"130150002","1","301500","301500","1","","31","345.4","","3015","0"
"130150003","","0","","","","91","","","3015",""
"130150004","0","1.05","1.05","7.4","","123","1.05","","3015","1.05"
"130150005","0.2","1000001","wait_wakuwaku","","","3","0","","3015",""
"130150006","","2","1","","","35","","","3015",""
"130150007","","5.4","0","","","93","","","3015",""
"130150008","0","0.95","0.95","0.4","","123","0.95","","3015","0.95"
"130150009","0.2","1000001","glad","","","3","0","","3015",""
"130150010","","301501","1","","","32","","","3015",""
"130150011","","996","1","","","32","","","3015",""
"130150012","","0.1","0","","","93","","","3015",""
"130150013","","2","0","","","32","","","3015",""
"130150014","","3","0","","","32","","","3015",""
"130150015","","1.5","0","","","93","","","3015",""
"130150016","0.2","1000001","joy","","","3","0","","3015",""
"130150017","","1.7","0","","","93","","","3015",""
"130150018","0","1000001","run_gatein","","","3","1","","3015",""
"130150019","","1000001","450","0","","2","-195","","3015","1"
"130150020","","0.5","1","","","93","","","3015",""
"130150021","0.4","1000001","1","0","","6","1","0","3015","1"
"130150022","","0.4","0","","","93","","","3015",""
"130150023","","1","","","","113","","","3015",""
"130160001","0","6","6","1","","31","345.4","","3016","0"
"130160002","0","8","8","1","","31","345.4","","3016","0"
"130160003","0","301600","301600","1","","31","345.4","","3016","-80"
"130160004","0","301601","301601","1","","31","345.4","","3016","0"
"130160005","1","990002","990002","1","","31","345.4","","3016","0"
"130160006","","0","","","","91","","","3016",""
"130160007","0","1.05","1.05","7.4","","123","1.05","","3016","1.05"
"130160008","0.2","1000001","wait","","","3","0","","3016",""
"130160009","","2","1","","","35","","","3016",""
"130160010","","5.4","0","","","93","","","3016",""
"130160011","0","0.95","0.95","0.4","","123","0.95","","3016","0.95"
"130160012","","8","1","","","32","","","3016",""
"130160013","","8","0","","","35","","","3016",""
"130160014","","301600","1","","","32","","","3016",""
"130160015","","6","1","","","32","","","3016",""
"130160016","","0.1","0","","","93","","","3016",""
"130160017","","2","0","","","32","","","3016",""
"130160018","","3","0","","","32","","","3016",""
"130160019","0.1","1000001","glad","","","3","0","","3016",""
"130160020","","se_travel","se_travel_treasure_success_butterfly","","","23","0","","3016",""
"130160021","","0.5","0","","","93","","","3016",""
"130160022","","8","1","","","35","","","3016",""
"130160023","","1.1","0","","","93","","","3016",""
"130160024","","301601","1","","","32","","","3016",""
"130160025","","996","1","","","32","","","3016",""
"130160026","0.2","1000001","joy","","","3","0","","3016",""
"130160027","","1.67","0","","","93","","","3016",""
"130160028","0","1000001","run_gatein","","","3","1","","3016",""
"130160029","","se_travel","se_travel_treasure_cha_run","","","23","0","","3016",""
"130160030","","1000001","450","0","","2","-195","","3016","1"
"130160031","","0.5","1","","","93","","","3016",""
"130160032","0.4","1000001","1","0","","6","1","0","3016","1"
"130160033","","0.4","0","","","93","","","3016",""
"130160034","","1","","","","113","","","3016",""
"130170001","0","310000","310000","1","","31","345.4","","3017","0"
"130170002","0","310001","310001","1","","31","0","","3017","0"
"130170003","0","301700","301700","1","","31","345.4","","3017","0"
"130170004","0","301701","301701","1","","31","740","","3017","-115"
"130170005","0","301702","301702","1","","31","345.4","","3017","0"
"130170006","0","301703","301703","1","","31","345.4","","3017","0"
"130170007","0.44","5","15","-235","empty","5","100","0","3017","610"
"130170008","0.44","5","16","-235","empty","5","55","0","3017","610"
"130170009","","0","","","","91","","","3017",""
"130170010","0","1.05","1.05","7.4","","123","1.05","","3017","1.05"
"130170011","0.2","1000001","wait","","","3","0","","3017",""
"130170012","","2","1","","","35","","","3017",""
"130170013","","5.4","0","","","93","","","3017",""
"130170014","0","0.95","0.95","0.3","","123","0.95","","3017","0.95"
"130170015","","310000","1","","","32","","","3017",""
"130170016","","310001","1","","","32","","","3017",""
"130170017","","0.2","0","","","93","","","3017",""
"130170018","","50","50","","","122","0.6","","3017",""
"130170019","0.2","1000001","shock","","","3","0","","3017",""
"130170020","","1.6","0","","","93","","","3017",""
"130170021","","301700","1","","","32","","","3017",""
"130170022","","1.2","0","","","93","","","3017",""
"130170023","","se_travel","se_travel_treasure_croce_ui","","","23","0","","3017",""
"130170024","","15","punch","","","3","0","","3017",""
"130170025","","16","punch_B","","","3","0","","3017",""
"130170026","","0.2","0","","","93","","","3017",""
"130170027","11","1.05","1.05","0.1","","123","1.05","","3017","1.05"
"130170028","","0.1","0","","","93","","","3017",""
"130170029","0","0.95","0.95","0.3","","123","0.95","","3017","0.95"
"130170030","","1","0","","","93","","","3017",""
"130170031","","se_travel","se_travel_treasure_croce_door","","","23","0","","3017",""
"130170032","","0.4","0","","","93","","","3017",""
"130170033","","301701","1","","","32","","","3017",""
"130170034","","0.9","0","","","93","","","3017",""
"130170035","0","1.05","1.05","0","","123","1.05","","3017","1.05"
"130170036","","75","75","","","122","0.6","","3017",""
"130170037","","301702","1","","","32","","","3017",""
"130170038","","0.4","0","","","93","","","3017",""
"130170039","","2","0","","","32","","","3017",""
"130170040","","310000","0","","","32","","","3017",""
"130170041","","0.4","0","","","93","","","3017",""
"130170042","11","0.95","0.95","2","","123","0.95","","3017","0.95"
"130170043","","0.2","0","","","93","","","3017",""
"130170044","0.2","1000001","glad","","","3","0","","3017",""
"130170045","","301703","1","","","32","","","3017",""
"130170046","","0.1","0","","","93","","","3017",""
"130170047","","996","1","","","32","","","3017",""
"130170048","","0.9","0","","","93","","","3017",""
"130170049","0.2","1000001","joy","","","3","0","","3017",""
"130170050","","1.7","0","","","93","","","3017",""
"130170051","0","1000001","run_gatein","","","3","1","","3017",""
"130170052","","se_travel","se_travel_treasure_cha_run","","","23","","","3017",""
"130170053","","1000001","450","0","","2","-195","","3017","1"
"130170054","","0.5","1","","","93","","","3017",""
"130170055","0.4","1000001","1","0","","6","1","0","3017","1"
"130170056","","0.4","0","","","93","","","3017",""
"130170057","","1","","","","113","","","3017",""
"131000001","0","310000","310000","1","","31","345.4","","3100","0"
"131000002","0","310001","310001","1","","31","0","","3100","0"
"131000003","","0","","","","91","","","3100",""
"131000004","0","1.05","1.05","7.4","","123","1.05","","3100","1.05"
"131000005","0.2","1000001","wait","","","3","0","","3100",""
"131000006","","2","1","","","35","","","3100",""
"131000007","","5.4","0","","","93","","","3100",""
"131000008","0","0.95","0.95","0.3","","123","0.95","","3100","0.95"
"131000009","","310000","1","","","32","","","3100",""
"131000010","","310001","1","","","32","","","3100",""
"131000011","","0.2","0","","","93","","","3100",""
"131000012","","50","50","","","122","0.6","","3100",""
"131000013","0.2","1000001","shock","","","3","0","","3100",""
"131000014","","1.6","0","","","93","","","3100",""
"131000015","","2","","","","113","","","3100",""
"131110001","0","6","6","1","","31","345.4","","3111","0"
"131110002","0","7","7","1","","31","345.4","","3111","0"
"131110003","0","8","8","1","","31","345.4","","3111","0"
"131110004","1.3","3","13","0","appear","5","55","0","3111","8000"
"131110005","","0","","","","91","","","3111",""
"131110006","0","13","1","0","","6","1","0","3111","1"
"131110007","","13","95","0","","2","-250","","3111","0"
"131110008","0","1.05","1.05","7.4","","123","1.05","","3111","1.05"
"131110009","0.2","1000001","wait","","","3","0","","3111",""
"131110010","","2","1","","","35","","","3111",""
"131110011","","4.9","0","","","93","","","3111",""
"131110012","0","0.95","0.95","0.3","","123","0.95","","3111","0.95"
"131110013","","se_travel","se_travel_treasure_ghost_fail","","","23","0","","3111",""
"131110014","","8","1","","","32","","","3111",""
"131110015","","8","0","","","35","","","3111",""
"131110016","","6","1","","","32","","","3111",""
"131110017","","0.1","0","","","93","","","3111",""
"131110018","","2","0","","","32","","","3111",""
"131110019","","3","0","","","32","","","3111",""
"131110020","","1000001","dotEyes","","","3","0","","3111",""
"131110021","","0.3","0","","","93","","","3111",""
"131110022","","13","appear","","","3","0","","3111",""
"131110023","0","13","1","1","","6","1","0","3111","1"
"131110024","","0.67","0","","","93","","","3111",""
"131110025","","1000001","shock_jump","","","3","0","","3111",""
"131110026","","1000001","70","0","","2","-250","","3111","1"
"131110027","","1.1","0","","","93","","","3111",""
"131110028","","1000001","escape","","","3","1","","3111",""
"131110029","","1000001","-350","0","","2","-250","","3111","1.2"
"131110030","","13","march","","","3","0","","3111",""
"131110031","","0.2","0","","","93","","","3111",""
"131110032","","7","1","","","32","","","3111",""
"131110033","","0.1","0","","","93","","","3111",""
"131110034","","6","0","","","32","","","3111",""
"131110035","","1.6","0","","","93","","","3111",""
"131110036","","2","","","","113","","","3111",""
"131120001","0.2","1000001","idle","","","3","1","","3112",""
"131120002","0","301200","13","1","","31","0","","3112","0"
"131120003","0","101","14","1","","31","0","","3112","0"
"131120004","0","301205","15","1","","31","0","","3112","0"
"131120005","0","301206","16","1","","31","130","","3112","-170"
"131120006","0","6","18","1","","31","345.4","","3112","0"
"131120007","0","301201","20","1","","31","345.4","","3112","0"
"131120008","0","301202","21","1","","31","345.4","","3112","0"
"131120009","1","1","3","-234","round_monster_walk","5","55","0","3112","9340"
"131120010","","0","","","","91","","","3112",""
"131120011","0","3","1","0","","6","1","0","3112","1"
"131120012","0","3","345","0","","2","-234","0","3112","0"
"131120013","0","1.05","1.05","7.4","","123","1.05","0","3112","1.05"
"131120014","0.2","1000001","wait","","","3","0","","3112",""
"131120015","","2","1","","","35","","","3112",""
"131120016","","4.3","0","","","93","","","3112",""
"131120017","0","0.95","0.95","0.4","","123","0.95","","3112","0.95"
"131120018","","21","1","","","32","","","3112",""
"131120019","","21","0","","","35","","","3112",""
"131120020","","se_travel","se_travel_treasure_monster_failure","","","23","","","3112",""
"131120021","","18","1","","","32","","","3112",""
"131120022","","0.1","0","","","93","","","3112",""
"131120023","","2","0","","","32","","","3112",""
"131120024","0.3","3","1","1","","6","1","0","3112","1"
"131120025","","13","1","","","32","","","3112",""
"131120026","","3","round_monster_appear","","","3","0","","3112",""
"131120027","","1000001","back","","","3","0","","3112",""
"131120028","","0.67","0","","","93","","","3112",""
"131120029","0.2","3","round_monster_walk","","","3","0","","3112",""
"131120030","0","3","220","0","","2","-234","0","3112","1.4"
"131120031","","20","1","","","32","","","3112",""
"131120032","","0.1","0","","","93","","","3112",""
"131120033","","18","0","","","32","","","3112",""
"131120034","","1","0","","","93","","","3112",""
"131120035","0.3","3","round_monster_attack","","","3","0","","3112",""
"131120036","","0.5","0","","","93","","","3112",""
"131120037","","15","1","","","32","","","3112",""
"131120038","0.2","1000001","back_loop","","","3","1","","3112",""
"131120039","","1","0","","","93","","","3112",""
"131120040","","16","1","","","32","","","3112",""
"131120041","","0","50","","","122","0.5","","3112",""
"131120042","","1000001","40","0","","2","-250","","3112","0"
"131120043","0","1000001","shock_jump","","","3","0","","3112",""
"131120044","","0.6","0","","","93","","","3112",""
