7ca2a35bdf65420fb8e37ea2a40e3d7c088e43c89dd827dedd20981ac52a9993,9e1659088c45cdb3c801ea7c9823369ba49b9f1fd6bf31c146c33786d8d54a9e,b8918007fe7f4eb5440f904a7a3270a0d838c7a516ee8a50f4979f6bc490b677,c5e402894fd51e19264a60956096c656a03c88e45e2d7995e55c2224f237eea0,5d6038aa924d3dfbcc437ce041d8f903dc02643f963b6895a920047525f31e5b
"71","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","92407240","ＨＰ吸収ダウン"
"72","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92407240","ＴＰダウンカット"
"73","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","12","92407310","火属性ボーナス特大アップ"
"74","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92407310","ダメージ減衰"
"75","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92407310","物理防御力（ダウン不可）アップ"
"76","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92407310","魔法防御力（ダウン不可）アップ"
"77","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92407310","ＴＰ上昇上限付与"
"78","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","92407310","ＨＰ吸収ダウン"
"79","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92407310","ＴＰダウンカット"
"80","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","12","92407320","火属性ボーナス特大アップ"
"81","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92407320","ダメージ減衰"
"82","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92407320","物理防御力（ダウン不可）アップ"
"83","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92407320","魔法防御力（ダウン不可）アップ"
"84","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92407320","ＴＰ上昇上限付与"
"85","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","92407320","ＨＰ吸収ダウン"
"86","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92407320","ＴＰダウンカット"
"87","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","12","92407330","火属性ボーナス特大アップ"
"88","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92407330","ダメージ減衰"
"89","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92407330","物理防御力（ダウン不可）アップ"
"90","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92407330","魔法防御力（ダウン不可）アップ"
"91","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92407330","ＴＰ上昇上限付与"
"92","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","92407330","ＨＰ吸収ダウン"
"93","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92407330","ＴＰダウンカット"
"94","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性以外の属性ボーナスを無効化する。","12","92407340","火属性ボーナス特大アップ"
"95","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92407340","ダメージ減衰"
"96","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92407340","物理防御力（ダウン不可）アップ"
"97","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92407340","魔法防御力（ダウン不可）アップ"
"98","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92407340","ＴＰ上昇上限付与"
"99","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","92407340","ＨＰ吸収ダウン"
"100","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92407340","ＴＰダウンカット"
"101","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","13","92408010","水属性ボーナス特大アップ"
"102","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92408010","物理防御力（ダウン不可）アップ"
"103","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92408010","魔法防御力（ダウン不可）アップ"
"104","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92408010","ＴＰ上昇上限付与"
"105","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","92408010","ＨＰ吸収ダウン"
"106","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","13","92408020","水属性ボーナス特大アップ"
"107","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92408020","物理防御力（ダウン不可）アップ"
"108","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92408020","魔法防御力（ダウン不可）アップ"
"109","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92408020","ＴＰ上昇上限付与"
"110","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","92408020","ＨＰ吸収ダウン"
"111","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","13","92408030","水属性ボーナス特大アップ"
"112","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92408030","物理防御力（ダウン不可）アップ"
"113","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92408030","魔法防御力（ダウン不可）アップ"
"114","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92408030","ＴＰ上昇上限付与"
"115","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","92408030","ＨＰ吸収ダウン"
"116","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","13","92408110","水属性ボーナス特大アップ"
"117","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92408110","物理防御力（ダウン不可）アップ"
"118","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92408110","魔法防御力（ダウン不可）アップ"
"119","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92408110","ＴＰダウンカット"
"120","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92408110","ダメージ減衰"
"121","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92408110","ＴＰ上昇上限付与"
"122","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","92408110","ＨＰ吸収ダウン"
"123","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","13","92408120","水属性ボーナス特大アップ"
"124","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92408120","物理防御力（ダウン不可）アップ"
"125","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92408120","魔法防御力（ダウン不可）アップ"
"126","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92408120","ＴＰダウンカット"
"127","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92408120","ダメージ減衰"
"128","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92408120","ＴＰ上昇上限付与"
"129","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","92408120","ＨＰ吸収ダウン"
"130","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","13","92408130","水属性ボーナス特大アップ"
"131","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92408130","物理防御力（ダウン不可）アップ"
"132","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92408130","魔法防御力（ダウン不可）アップ"
"133","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92408130","ＴＰダウンカット"
"134","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92408130","ダメージ減衰"
"135","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92408130","ＴＰ上昇上限付与"
"136","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","92408130","ＨＰ吸収ダウン"
"137","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","13","92408140","水属性ボーナス特大アップ"
"138","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92408140","物理防御力（ダウン不可）アップ"
"139","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92408140","魔法防御力（ダウン不可）アップ"
"140","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92408140","ＴＰダウンカット"
"141","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92408140","ダメージ減衰"
"142","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92408140","ＴＰ上昇上限付与"
"143","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","92408140","ＨＰ吸収ダウン"
"144","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","13","92408210","水属性ボーナス特大アップ"
"145","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92408210","物理防御力（ダウン不可）アップ"
"146","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92408210","魔法防御力（ダウン不可）アップ"
"147","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92408210","ＴＰダウンカット"
"148","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92408210","ダメージ減衰"
"149","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92408210","ＴＰ上昇上限付与"
"150","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","92408210","ＨＰ吸収ダウン"
"151","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","13","92408220","水属性ボーナス特大アップ"
"152","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92408220","物理防御力（ダウン不可）アップ"
"153","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92408220","魔法防御力（ダウン不可）アップ"
"154","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92408220","ＴＰダウンカット"
"155","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92408220","ダメージ減衰"
"156","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92408220","ＴＰ上昇上限付与"
"157","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","92408220","ＨＰ吸収ダウン"
"158","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","13","92408230","水属性ボーナス特大アップ"
"159","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92408230","物理防御力（ダウン不可）アップ"
"160","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92408230","魔法防御力（ダウン不可）アップ"
"161","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92408230","ＴＰダウンカット"
"162","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92408230","ダメージ減衰"
"163","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92408230","ＴＰ上昇上限付与"
"164","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","92408230","ＨＰ吸収ダウン"
"165","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","13","92408240","水属性ボーナス特大アップ"
"166","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92408240","物理防御力（ダウン不可）アップ"
"167","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92408240","魔法防御力（ダウン不可）アップ"
"168","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92408240","ＴＰダウンカット"
"169","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92408240","ダメージ減衰"
"170","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92408240","ＴＰ上昇上限付与"
"171","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","92408240","ＨＰ吸収ダウン"
"172","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","13","92408310","水属性ボーナス特大アップ"
"173","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92408310","物理防御力（ダウン不可）アップ"
"174","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92408310","魔法防御力（ダウン不可）アップ"
"175","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92408310","ＴＰダウンカット"
"176","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92408310","ダメージ減衰"
"177","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92408310","ＴＰ上昇上限付与"
"178","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","92408310","ＨＰ吸収ダウン"
"179","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","13","92408320","水属性ボーナス特大アップ"
"180","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","boss_def_lower_limit","92408320","物理防御力（ダウン不可）アップ"
"181","バトル開始時、すべてのモンスターの魔法防御力を大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","boss_magic_def_lower_limit","92408320","魔法防御力（ダウン不可）アップ"
"182","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","boss_tp_down_cut","92408320","ＴＰダウンカット"
"183","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","18","92408320","ダメージ減衰"
"184","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","17","92408320","ＴＰ上昇上限付与"
"185","バトル開始時、すべてのキャラのＨＰ吸収を大ダウンさせる。","9","92408320","ＨＰ吸収ダウン"
