40fb30fe700ed47f28566380e78e48b4713420d307155919296332a51f5fd3c1,9d127c9177a602eb3b8471a4f6dc096b3eda5cb51283c59418fa6ff4d7eaca0a,987770c61c0c2dced1167aaba5a9dd655cf455d3da4c60ba75952586c2bff5c2,a42ba85cb20b1eaadf514597f5483ff68d0db5f431ce2f25da136bcc72bfc0d9,13d6bab5f099102bdebb30bc001df7f85d1e8ebb70efd6826339a3b8081f966b,b3ae6f3311285ed19c9be393458be9fc65c8f10108032d9a21a761cb009997ed,565b48a99c7840feb9d395a92f2efe3d950ad926164b3705e82647e2d8357902,27984f16ba5f1a0a82403391bbb7ed12c652e8c83ee32e3f71839e2cdbfef94c,55dbfd2a3b66f4eeeb0075126c3b76e453e5c1a4c1b4a563a0fa23a53655425c,3d3d7b1a6a79ca41bfdcb8b971ce71b1d9e737ef029359e09f86f79ea257ca9a,0d8ef4be2e4d52b1e4b192f366a060ce66e84e405bbef4ab135ebc9bcd6d72f1
"100","0","1","104031","14","03_uek_cmn_idol_def_N","1.3","-86","1","-25","1140001"
"0","","1","1","14","","1","250","31","1","1140002"
"0","","104031","03_uek_14_aoi","14","","","03_uek_14_aoi_loop","3","1","1140003"
"10","","104031","うう、ぼっちへの\n風当たりが\n強すぎませんか！？","14","","","0","11","0","1140004"
"100","0","1","100731","15","03_uek_cmn_idol_def_N","1.3","-75","1","-20","1150001"
"100","1","1","103131","15","03_uek_15_father","1.3","65","1","10","1150002"
"1","","100731","03_uek_15_miyako","15","","","","3","0","1150003"
"10","","100731","空は気持ちいいの～\nこれが天にも昇る\n気持ちってやつなの","15","","","0","11","0","1150004"
"","","0","","15","","","","91","","1150005"
"1","","103131","03_uek_15_father","15","","","","3","0","1150006"
"10","","103131","ガキんちょもか？\nオレも身体が\n軽くなってきたぞ！","15","","","0","11","0","1150007"
"","","0","","15","","","","91","","1150008"
"1","","103131","03_uek_talk_normal","15","","","","3","0","1150009"
"10","","103131","ミヤコさんは\n本当に昇天しちゃ\nだめですよ…？","15","","","0","11","0","1150010"
"","","0","","15","","","","91","","1150011"
"1","","103131","03_uek_cmn_idol_def_N","15","","0.2","","3","0","1150012"
"100","0","1","112431","16","01_uek_cmn_idol_def_N","1.3","-110","1","-45","1160001"
"100","1","1","105831","16","01_uek_cmn_idol_def_N","1.3","40","1","-15","1160002"
"100","1","1","105931","16","01_uek_cmn_idol_def_N","1.3","140","1","10","1160003"
"0","","105931","01_uek_01_kokkoro","16","","","01_uek_cmn_idol_def_N","3","0","1160004"
"0","","112431","01_uek_01_uduki","16","","","01_uek_cmn_idol_def_N","3","1","1160005"
"0","","105831","01_uek_01_peko","16","","","01_uek_cmn_idol_def_N","3","1","1160006"
"","","0","","16","","","","91","","1160007"
"1","","105931","01_uek_talk_normal","16","","","","3","1","1160008"
"10","","105931","ウヅキさま。先は長\nそうですが、休まな\nくて大丈夫ですか？","16","","","0","11","0","1160009"
"","","0","","16","","","","91","","1160010"
"1","","105931","01_uek_cmn_idol_def_N","16","","","","3","1","1160011"
"1","","112431","01_uek_talk_joy1","16","","","","3","","1160012"
"10","","112431","はい、平気です！\nとっても楽しくって\nやばいです☆","16","","","0","11","0","1160013"
"","","1.5","","16","","","","93","","1160014"
"0","","112431","01_uek_16_uduki","16","","0.2","01_uek_16_uduki_loop","3","1","1160015"
"","","1160013","","16","","","","91","","1160016"
"1","","105831","01_uek_talk_joy1","16","","","","3","","1160017"
"10","","105831","元気いっぱいですね\nウヅキさん、一緒に\n頑張りましょう～☆","16","","","0","11","0","1160018"
"","","2.2","","16","","","","93","","1160019"
"0","","105831","01_uek_16_peco","16","","0.2","01_uek_16_uduki_loop","3","1","1160020"
"","","1160018","","16","","","","91","","1160021"
"300","1","1","102331","17","03_uek_cmn_idol_def_N","1.3","150","1","10","1170001"
"100","0","1","102131","17","03_uek_cmn_idol_def_N","1.3","-100","1","-15","1170002"
"20","","3","3","17","","0","10","31","1.3","1170003"
"0","0.2","102331","03_uek_17_ayane","17","","0.2","03_uek_17_ayane_loop","3","1","1170004"
"0","","102131","03_uek_cmn_pose05","17","","0.2","03_uek_cmn_idol_def_N","3","1","1170005"
"","","3","1","17","","","","32","","1170006"
"10","","102331","見て見て！\n雲でぷうきちを\n作ったよー！","17","","","0","11","0","1170007"
"","","0","","17","","","","91","","1170008"
"1","","102131","03_uek_talk_joy1","17","","0.2","","3","","1170009"
"10","","102131","わぁ、すご～い…！\n私も何か\n作りたいなぁ…♪","17","","","0","11","0","1170010"
"","","0","","17","","","","91","","1170011"
"1","","102131","03_uek_cmn_idol_def_N","17","","0.2","","3","","1170012"
"100","0","1","112631","18","01_uek_cmn_idol_def_N","1.3","229","1","45","1180001"
"110","0","1","105831","18","01_uek_cmn_idol_def_N","1.3","170","1","20","1180002"
"100","0","1","105931","18","01_uek_cmn_idol_def_N","1.3","-85","1","-10","1180003"
"0","","112631","01_uek_18_mio","18","","","01_uek_18_mio_loop","3","1","1180004"
"10","","112631","だいぶ登ったね～\nちょっと下のほう\n見てみようよ！","18","","","0","11","0","1180005"
"","","0","","18","","","","91","","1180006"
"0","","105831","01_uek_18_mio","18","","","01_uek_18_mio_loop","3","1","1180007"
"10","","105831","そうですね！\nえーと、どれどれ…\nって、わわわわ！","18","","","0","11","0","1180008"
"","","3","","18","","","","93","","1180009"
"5","","105831","170","18","","","2","2","1","1180010"
"","","1180008","","18","","","","91","","1180011"
"0","","105931","01_uek_18_kokkoro","18","","","01_uek_cmn_idol_def_N","3","1","1180012"
"10","","105931","ふふ、お二人とも\nはしゃがれて、楽し\nそうでございますね","18","","","0","11","0","1180013"
"100","0","1","101231","19","02_uek_19_hatsune","1.3","402","1","110","1190001"
"100","0","1","103831","19","02_uek_talk_surprise2","1.3","166","1","30","1190002"
"1","","103831","02_uek_talk_surprise2","19","","0.2","","3","0","1190003"
"10","","103831","あ！　お姉ちゃん！\nこんなところで\n寝ちゃ危ないよー！","19","","","0","11","0","1190004"
"","","0","","19","","","","91","","1190005"
"10","","101231","しおりんの声が\n聞こえたような…\nすやぁ…☆","19","","","0","11","0","1190006"
"100","0","2","105831","20","05_idle","0.9","-195","1","-35","1200001"
"1000","0","2","304602","20","304602_idle","1.4","150","1","30","1200002"
"150","","102","17","20","","1","50","31","1","1200003"
"150","","103","18","20","","1","400","31","1","1200004"
"110","0","1","105931","21","01_uek_21_kokkoro_loop","1.3","185","1","25","1210001"
"120","0","1","112531","21","01_uek_21_rin_loop","1.3","65","1","-5","1210002"
"100","0","1","106031","21","01_uek_cmn_idol_def_N","1.3","-140","1","-35","1210003"
"10","","105931","風が心地よいですね\n優しく、囁きかけて\nいるように感じます","21","","","0","11","0","1210004"
"","","0","","21","","","","91","","1210005"
"10","","112531","上に向かう私たちに\n蒼い風が語りかけて\nきてるのかもね…","21","","","0","11","0","1210006"
"","","0","","21","","","","91","","1210007"
"0","","106031","01_uek_21_kyaru","21","","","01_uek_cmn_idol_def_N","3","1","1210008"
"10","","106031","…あんたたち\nなんか妙なところで\nシンクロしてるわね","21","","","0","11","0","1210009"
"","","0","","21","","","","91","","1210010"
"100","0","1","105831","22","01_uek_cmn_idol_def_N","1.3","180","1","40","1220001"
"420","","4","4","22","","1","250","31","1.3","1220002"
"1","","105831","01_uek_cmn_pose03","22","","0.2","","3","","1220003"
"10","","105831","おにぎり型の雲って\nどんな味がするんで\nしょう…じゅるり☆","22","","","0","11","0","1220004"
"","","0","","22","","","","91","","1220005"
"100","0","1","105231","23","03_uek_cmn_idol_def_N","1.3","33","1","5","1230001"
"1010","0","1","102631","23","03_uek_23_rin","1.3","200","1","40","1230002"
"100","0","1","103331","23","03_uek_cmn_idol_def_N","1.3","-110","1","-25","1230003"
"220","","5","5","23","","1","32","31","1","1230004"
"1","","102631","03_uek_23_rin","23","","0.2","","3","","1230005"
"10","","102631","この雲、ふかふかで\n気持ちいい～\nぐっすり眠れそう～","23","","","0","11","0","1230006"
"","","0","","23","","","","91","","1230007"
"40","","102631","1100","23","","","45","2","0","1230008"
"32","","5","1120","23","","","45","33","0","1230009"
"1","","105231","03_uek_cmn_pose04","23","","0.2","","3","","1230010"
"1","","103331","03_uek_talk_surprise2","23","","0.2","","3","","1230011"
"10","","105231","リンちゃんの寝てる\n雲が流されてるわ！\nど、どうしよう！","23","","","0","11","0","1230012"
"","","0","","23","","","","91","","1230013"
"10","","103331","干し草のほうが\nふかふかだべー！\n戻ってくるべさー！","23","","","0","11","0","1230014"
"","","0","","23","","","","91","","1230015"
"10","0","1","105531","24","03_uek_24_ayumi","1.3","-240","1","-45","1240001"
"1","","105531","03_uek_24_ayumi","24","","","","3","0","1240002"
"10","","105531","あっ、あそこに\n先輩がいる\nじーーーー…","24","","","0","11","0","1240003"
"100","1","1","103631","25","03_uek_cmn_idol_def_N","1.3","175","1","15","1250001"
"100","0","1","100431","25","03_uek_cmn_idol_def_N","1.3","-36","1","-10","1250002"
"100","0","1","102031","25","03_uek_cmn_idol_def_N","1.3","-158","1","-45","1250003"
"1","","102031","03_uek_cmn_pose06","25","","","","3","0","1250004"
"10","","102031","お空で遊ぶのって\nすごく気持ちいいね\nるんたった～♪","25","","","0","11","0","1250005"
"","","0","","25","","","","91","","1250006"
"0","","100431","03_uek_25_misogi","25","","","03_uek_25_misogi_loop","3","1","1250007"
"10","","100431","うん！　キョウカも\nそう思うでしょー？\n…わぁっ！","25","","","0","11","0","1250008"
"1","","103631","03_uek_25_kyouka","25","","","03_uek_25_kyouka_loop","3","0","1250009"
"","","0","","25","","","","91","","1250010"
"10","","103631","ちょっとミソギ！\n落ちたら危ないから\nおどかさないでよ！","25","","","0","11","0","1250011"
"","","0","","25","","","","91","","1250012"
"100","0","1","104831","27","01_uek_cmn_idol_def_N","1.3","-179","1","-43","1270001"
"100","0","1","104631","27","01_uek_27_tamaki_loop","1.3","0","1","-14","1270002"
"100","1","1","103231","27","01_uek_cmn_idol_def_N","1.3","200","1","24","1270003"
"10","","104631","はぁはぁ…\nも、もう限界にゃ…\n帰りたいにゃ…","27","","","0","11","0","1270004"
"","","0","","27","","","","91","","1270005"
"0","","104831","01_uek_cmn_pose02","27","","","01_uek_talk_normal","3","1","1270006"
"10","","104831","効率的な体力配分で\n登れば、これくらい\n楽勝のはずよ","27","","","0","11","0","1270007"
"","","0","","27","","","","91","","1270008"
"1","","104831","01_uek_cmn_idol_def_N","27","","0.3","","3","0","1270009"
"1","","103231","01_uek_27_akino_loop","27","","","","3","0","1270010"
"10","","103231","おーっほっほっほ！\nいい眺めですわ！\n先が楽しみですわね","27","","","0","11","0","1270011"
"110","0","1","102931","28","04_uek_cmn_idol_def_N","1.3","0","1","-10","1280001"
"120","0","1","104231","28","04_uek_cmn_idol_def_N","1.3","-120","1","-30","1280002"
"100","0","1","105431","28","04_uek_cmn_idol_def_N","1.3","120","1","10","1280003"
"35","","6","6","28","","0","10","31","1.3","1280004"
"-85","","6","9","28","","0","-10","31","1.3","1280005"
"155","","6","10","28","","0","30","31","1.3","1280006"
"1","","102931","04_uek_28_nozomi","28","","0.2","","3","","1280007"
"1","","104231","04_uek_28_chika","28","","0.2","","3","","1280008"
"1","","105431","04_uek_28_tsumugi","28","","0.2","","3","","1280009"
"","","6","1","28","","","","32","","1280010"
"","","9","1","28","","","","32","","1280011"
"","","10","1","28","","","","32","","1280012"
"10","","102931","空の上でも\nカルミナ…\nオンステージ！","28","","","0","11","0","1280013"
"","","0","","28","","","","91","","1280014"
"10","","104231","風が気持ちいい…！\n精霊たちも\n楽しそうです！","28","","","0","11","0","1280015"
"","","0","","28","","","","91","","1280016"
"10","","105431","最っ高ですね！\nアンコールまで\n駆け抜けましょう！","28","","","0","11","0","1280017"
"","","0","","28","","","","91","","1280018"
"100","0","1","101531","29","03_uek_cmn_idol_def_N","1.3","-40","1","-10","1290001"
"100","1","1","101831","29","03_uek_cmn_idol_def_N","1.3","95","1","10","1290002"
"1","","101831","03_uek_talk_joy1","29","","","","3","0","1290003"
"10","","101831","気持ちいいところね\n遠足で生徒たちも\n連れてこようかしら","29","","","0","11","0","1290004"
"","","0","","29","","","","91","","1290005"
"1","","101831","03_uek_cmn_idol_def_N","29","","0.3","","3","0","1290006"
"1","","101531","03_uek_talk_joy1","29","","0.3","","3","0","1290007"
"10","","101531","あらあら～、じゃあ\n里の子どもたちも\nご一緒したいです～","29","","","0","11","0","1290008"
"","","0","","29","","","","91","","1290009"
"1","","101531","03_uek_cmn_idol_def_N","29","","0.3","","3","0","1290010"
"100","0","2","105831","30","05_idle","0.9","-195","1","-35","1300001"
"1000","0","2","307505","30","307505_idle","1.5","150","1","-50","1300002"
"150","","102","19","30","","1","50","31","1","1300003"
"150","","103","20","30","","1","400","31","1","1300004"
"0","","307505","307505_awake","30","","0","307505_idle","3","1","1300005"
"110","0","1","105831","31","01_uek_cmn_idol_def_N","1.3","140","1","10","1310001"
"110","0","1","105931","31","01_uek_cmn_idol_def_N","1.3","20","1","0","1310002"
"110","0","1","106031","31","01_uek_26_kyaru_loop","1.3","-200","1","-55","1310003"
"","","1","","31","","","","93","","1310004"
"","","105831","1","31","","","","4","","1310005"
"1","","105831","01_uek_cmn_pose04","31","","0","","3","","1310006"
"10","","105831","見てください！\nお星様の世界です！\nすごい景色ですね☆","31","","","","11","","1310007"
"","","2.3","","31","","","","93","","1310008"
"0","","105831","01_uek_cmn_idol_def_N","31","","0.2","","3","0","1310009"
"","","1310007","","31","","","","91","","1310010"
"1","","105831","01_uek_cmn_idol_def_N","31","","0.2","","3","0","1310011"
"1","","105931","01_uek_talk_normal","31","","","","3","","1310012"
"10","","105931","本当に素晴らしい\n場所でございます\n堪能いたしましょう","31","","","","11","","1310013"
"","","0","","31","","","","91","","1310014"
"1","","105931","01_uek_cmn_idol_def_N","31","","0.2","","3","","1310015"
"10","","106031","何落ち着いてるのよ\nおかしいでしょ\nなんか色々と…！","31","","","","11","","1310016"
"100","1","1","104531","32","02_uek_32_kuka_loop","1.3","255","1","91","1320001"
"100","0","1","105331","32","02_uek_cmn_idol_def_N","1.3","-97","1","-29","1320002"
"100","0","1","103031","32","02_uek_cmn_idol_def_N","1.3","50","1","0","1320003"
"0","","104531","02_uek_32_kuka","32","","0.5","","3","0","1320004"
"0","","105331","02_uek_cmn_shock_def_N","32","","0.5","02_uek_talk_surprise2","3","1","1320005"
"0","","103031","02_uek_cmn_shock_def_N","32","","0.5","02_uek_talk_surprise2","3","1","1320006"
"","","0","","32","","","","91","","1320007"
"1","","103031","02_uek_talk_surprise2","32","","0.5","","3","0","1320008"
"10","","103031","せっかく見つけた\nクウカがまた\n飛んでマス！","32","","","0","11","0","1320009"
"","","0","","32","","","","91","","1320010"
"1","","105331","02_uek_talk_surprise2","32","","0.5","","3","0","1320011"
"10","","105331","やっぱりよろこんで\nなかったか！？","32","","","0","11","0","1320012"
"100","1","1","100831","33","02_uek_cmn_idol_def_N","1.3","0","1","0","1330001"
"-120","","7","7","33","","1","130","31","1.3","1330002"
"0","","100831","02_uek_33_yuki","33","","0.2","02_uek_33_yuki_loop","3","1","1330003"
"10","","100831","星の輝きを浴びた\nボクはまた一段と\n美しいね…","33","","","0","11","0","1330004"
"","","0","","33","","","","91","","1330005"
"110","1","1","100931","34","02_uek_cmn_idol_def_N","1.3","10","1","0","1340001"
"110","1","1","101331","34","02_uek_cmn_idol_def_N","1.3","180","1","10","1340002"
"","","1","","34","","","","93","","1340003"
"1","0.2","101331","02_uek_cmn_pose01","34","","0.2","02_uek_cmn_idol_def_N","3","1","1340004"
"10","","101331","ウチュウキター！\nテンション爆上がり\nですしおすし！","34","","","0","11","0","1340005"
"","","0","","34","","","","91","","1340006"
"0","0","100931","02_uek_34_anna","34","","0.2","02_uek_34_anna_loop","3","1","1340007"
"10","","100931","くくく…星の力を\n強く感じるぞ！\n覚醒の時は近い…！","34","","","0","11","0","1340008"
"100","1","1","100231","35","01_uek_cmn_idol_def_N","1.3","-200","1","-60","1350001"
"100","1","1","100331","35","01_uek_cmn_idol_def_N","1.3","0","1","10","1350002"
"100","1","1","100131","35","01_uek_cmn_idol_def_N","1.3","200","1","20","1350003"
"0","","8","8","35","","1","270","31","1","1350004"
"0","0.2","100231","01_uek_35_yui","35","","0.2","01_uek_35_yui_loop","3","1","1350005"
"0","0.2","100331","01_uek_35_rei","35","","0.2","01_uek_35_rei_loop","3","1","1350006"
"1","","100131","01_uek_cmn_pose03","35","","0.2","","3","","1350007"
"10","","100231","見て、流れ星…！\nみんなで願い事を\nしようよ","35","","","0","11","0","1350008"
"","","0","","35","","","","91","","1350009"
"10","","100331","ああ、そうだね\n私たちにぴったりな\nシチュエーションだ","35","","","0","11","0","1350010"
"","","0","","35","","","","91","","1350011"
