902d5b81f231b5709b256a416279138c2204a81d3dc72f4ae087a2c5a5b6ec0b,3458717aecce80eff38299d1009ac8dcd3dccd16d451172957539b0d7c161937,f8767b06a8535ceb820da142e2ddc5fc0d210cb88f539405b368583cc86187f0,7afc801145a7107fcaa107e3afd0f57aa84c9249c94b24e8caa0c1b198080941,b5c33cccecf36eb07bf5621ce97f106361e868f06fd52f2243e7212be312de1e,f083c5cc16ffb1b794be1ec728402a092cd37c7678d51c89187cc0c6684bbddc,f26027b27c083d4a5fafc820a118051ccff1538310a5b43f7e290fff0279c248,8d89ea3f7aa3ae34eb94d119107e2d2f686f1b37895055faecc4bfc854f8b662,eb6440759cc35f3d7d6c39719f3a7e039e94c06f222ea520d466356af47096e4,cb7553be96574545f9781fd0a0a6bf29b8629dd82b0a759f46b273e199691823,39ebbc568fd16dad3a5c4d12ab54dd378668250d001b117e05b505c4ec91eded,1b688ed0d3bf957405181dbde813559c3c2636a8c2d3466a8db3256cfda708dc
"0","0","1.298","0","0","4","1","1","17","0","0","1010017"
"131","0","0","1.118","0","1","0","1","18","5","0","1010018"
"0","0","1.199","0","0","4","1","1","19","0","0","1010019"
"244","0","0","0.958","0","1","0","1","20","5","131","1010020"
"0","0","1.269","0","0","4","1","1","21","0","0","1010021"
"394","0","0","1.373","0","1","0","1","22","5","244","1010022"
"0","0","1.373","0","0","4","1","1","23","0","0","1010023"
"25","0","0","0.193","0","1","0","1","24","6","0","1010024"
"0","0","0.552","0","0","4","1","1","25","0","0","1010025"
"368","0","0","2.64","0","1","0","1","26","6","25","1010026"
"0","0","3.195","0","0","4","1","1","27","0","0","1010027"
"65","0","0","0.599","0","1","0","1","28","7","0","1010028"
"0","0","0.929","0","0","4","1","1","29","0","0","1010029"
"252","0","0","1.302","0","1","0","1","30","7","65","1010030"
"0","0","2.395","0","0","4","1","1","31","0","0","1010031"
"0","vo_minigame_1005_nikki01_002","0","0","vo_minigame_1005","2","0","1","32","0","0","1010032"
"271","0","0","2.09","0","1","0","1","33","8","0","1010033"
"0","0","2.512","0","0","4","1","1","34","0","0","1010034"
"400","0","0","0.868","0","1","0","1","35","8","271","1010035"
"0","0","0.907","0","0","4","1","1","36","0","0","1010036"
"315","0","0","2.214","0","1","0","1","37","9","0","1010037"
"0","0","2.562","0","0","4","1","1","38","0","0","1010038"
"242","0","0","1.65","0","1","0","1","39","10","0","1010039"
"0","0","2.654","0","0","4","1","1","40","0","0","1010040"
"0","vo_minigame_1005_nikki01_003","0","0","vo_minigame_1005","2","0","1","41","0","0","1010041"
"345","0","0","0.685","0","1","0","1","42","10","242","1010042"
"0","0","1.036","0","0","4","1","1","43","0","0","1010043"
"397","0","0","0.378","0","1","0","1","44","10","345","1010044"
"0","0","0.378","0","0","4","1","1","45","0","0","1010045"
"377","0","0","2.438","0","1","0","1","46","11","0","1010046"
"0","0","3.395","0","0","4","1","1","47","0","0","1010047"
"0","vo_minigame_1005_nikki01_004","0","0","vo_minigame_1005","2","0","1","48","0","0","1010048"
"83","0","0","0.642","0","1","0","1","49","12","0","1010049"
"0","0","1.061","0","0","4","1","1","50","0","0","1010050"
"159","0","0","0.539","0","1","0","1","51","12","83","1010051"
"0","0","0.877","0","0","4","1","1","52","0","0","1010052"
"316","0","0","1.135","0","1","0","1","53","12","159","1010053"
"0","0","2.635","0","0","4","1","1","54","0","0","1010054"
"0","0","1","0","0","4","3","2","1","0","0","1020001"
"0","vo_minigame_1005_nikki02_000","0","0","vo_minigame_1005","2","0","2","2","0","0","1020002"
"345","0","0","2.91","0","1","0","2","3","1","0","1020003"
"0","0","3.814","0","0","4","1","2","4","0","0","1020004"
"0","vo_minigame_1005_nikki02_001","0","0","vo_minigame_1005","2","0","2","5","0","0","1020005"
"239","0","0","1.67","0","1","0","2","6","2","0","1020006"
"0","0","2.19","0","0","4","1","2","7","0","0","1020007"
"314","0","0","2.455","0","1","0","2","8","3","0","1020008"
"0","0","3.527","0","0","4","1","2","9","0","0","1020009"
"0","vo_minigame_1005_nikki02_002","0","0","vo_minigame_1005","2","0","2","10","0","0","1020010"
"70","0","0","0.454","0","1","0","2","11","4","0","1020011"
"0","0","0.874","0","0","4","1","2","12","0","0","1020012"
"392","0","0","2.154","0","1","0","2","13","4","70","1020013"
"0","0","3.373","0","0","4","1","2","14","0","0","1020014"
"0","vo_minigame_1005_nikki02_003","0","0","vo_minigame_1005","2","0","2","15","0","0","1020015"
"125","0","0","0.895","0","1","0","2","16","5","0","1020016"
"0","0","1.311","0","0","4","1","2","17","0","0","1020017"
"265","0","0","1.114","0","1","0","2","18","5","125","1020018"
"0","0","1.181","0","0","4","1","2","19","0","0","1020019"
"340","0","0","0.497","0","1","0","2","20","5","265","1020020"
"0","0","0.497","0","0","4","1","2","21","0","0","1020021"
"189","0","0","1.37","0","1","0","2","22","6","0","1020022"
"0","0","2.407","0","0","4","1","2","23","0","0","1020023"
"0","vo_minigame_1005_nikki02_004","0","0","vo_minigame_1005","2","0","2","24","0","0","1020024"
"195","0","0","1.616","0","1","0","2","25","7","0","1020025"
"0","0","2.035","0","0","4","1","2","26","0","0","1020026"
"295","0","0","0.951","0","1","0","2","27","7","195","1020027"
"0","0","1.322","0","0","4","1","2","28","0","0","1020028"
"258","0","0","1.924","0","1","0","2","29","8","0","1020029"
"0","0","2.98","0","0","4","1","2","30","0","0","1020030"
"0","vo_minigame_1005_nikki02_005","0","0","vo_minigame_1005","2","0","2","31","0","0","1020031"
"114","0","0","0.93","0","1","0","2","32","9","0","1020032"
"0","0","1.24","0","0","4","1","2","33","0","0","1020033"
"257","0","0","0.879","0","1","0","2","34","9","114","1020034"
"0","0","1.877","0","0","4","1","2","35","0","0","1020035"
"0","vo_minigame_1005_nikki02_006","0","0","vo_minigame_1005","2","0","2","36","0","0","1020036"
"144","0","0","1.148","0","1","0","2","37","10","0","1020037"
"0","0","1.541","0","0","4","1","2","38","0","0","1020038"
"307","0","0","1.145","0","1","0","2","39","10","144","1020039"
"0","0","2.645","0","0","4","1","2","40","0","0","1020040"
"0","0","1","0","0","4","3","3","1","0","0","1030001"
"0","vo_minigame_1005_nikki03_000","0","0","vo_minigame_1005","2","0","3","2","0","0","1030002"
"332","0","0","2.61","0","1","0","3","3","1","0","1030003"
"0","0","3.007","0","0","4","1","3","4","0","0","1030004"
"233","0","0","1.47","0","1","0","3","5","2","0","1030005"
"0","0","2.171","0","0","4","1","3","6","0","0","1030006"
"0","vo_minigame_1005_nikki03_001","0","0","vo_minigame_1005","2","0","3","7","0","0","1030007"
"322","0","0","2.1","0","1","0","3","8","3","0","1030008"
"0","0","2.579","0","0","4","1","3","9","0","0","1030009"
"349","0","0","2.298","0","1","0","3","10","4","0","1030010"
"0","0","3.18","0","0","4","1","3","11","0","0","1030011"
"0","vo_minigame_1005_nikki03_002","0","0","vo_minigame_1005","2","0","3","12","0","0","1030012"
"173","0","0","1.262","0","1","0","3","13","5","0","1030013"
"0","0","1.993","0","0","4","1","3","14","0","0","1030014"
"0","vo_minigame_1005_nikki03_003","0","0","vo_minigame_1005","2","0","3","15","0","0","1030015"
"243","0","0","0.373","0","1","0","3","16","5","173","1030016"
"0","0","0.69","0","0","4","1","3","17","0","0","1030017"
"362","0","0","1.045","0","1","0","3","18","5","243","1030018"
"0","0","2.131","0","0","4","1","3","19","0","0","1030019"
"0","vo_minigame_1005_nikki03_004","0","0","vo_minigame_1005","2","0","3","20","0","0","1030020"
"289","0","0","2.147","0","1","0","3","21","6","0","1030021"
"0","0","2.618","0","0","4","1","3","22","0","0","1030022"
"202","0","0","1.445","0","1","0","3","23","7","0","1030023"
"0","0","2.552","0","0","4","1","3","24","0","0","1030024"
"0","vo_minigame_1005_nikki03_005","0","0","vo_minigame_1005","2","0","3","25","0","0","1030025"
"123","0","0","0.876","0","1","0","3","26","8","0","1030026"
"0","0","1.252","0","0","4","1","3","27","0","0","1030027"
"324","0","0","1.306","0","1","0","3","28","8","123","1030028"
"0","0","1.507","0","0","4","1","3","29","0","0","1030029"
"186","0","0","1.319","0","1","0","3","30","9","0","1030030"
"0","0","2.549","0","0","4","1","3","31","0","0","1030031"
"0","vo_minigame_1005_nikki03_006","0","0","vo_minigame_1005","2","0","3","32","0","0","1030032"
"383","0","0","2.728","0","1","0","3","33","10","0","1030033"
"0","0","3.023","0","0","4","1","3","34","0","0","1030034"
"123","0","0","0.91","0","1","0","3","35","11","0","1030035"
"0","0","1.977","0","0","4","1","3","36","0","0","1030036"
"0","vo_minigame_1005_nikki03_007","0","0","vo_minigame_1005","2","0","3","37","0","0","1030037"
"208","0","0","0.558","0","1","0","3","38","11","123","1030038"
"0","0","0.973","0","0","4","1","3","39","0","0","1030039"
"392","0","0","1.35","0","1","0","3","40","11","208","1030040"
"0","0","2.103","0","0","4","1","3","41","0","0","1030041"
"0","vo_minigame_1005_nikki03_008","0","0","vo_minigame_1005","2","0","3","42","0","0","1030042"
"150","0","0","0.935","0","1","0","3","43","12","0","1030043"
"0","0","2.435","0","0","4","1","3","44","0","0","1030044"
"0","0","1","0","0","4","3","4","1","0","0","1040001"
"0","vo_minigame_1005_nikki04_000","0","0","vo_minigame_1005","2","0","4","2","0","0","1040002"
"222","0","0","1.597","0","1","0","4","3","1","0","1040003"
"0","0","1.881","0","0","4","1","4","4","0","0","1040004"
"239","0","0","1.46","0","1","0","4","5","2","0","1040005"
"0","0","2.457","0","0","4","1","4","6","0","0","1040006"
"0","vo_minigame_1005_nikki04_001","0","0","vo_minigame_1005","2","0","4","7","0","0","1040007"
"171","0","0","1.208","0","1","0","4","8","3","0","1040008"
"0","0","1.578","0","0","4","1","4","9","0","0","1040009"
"270","0","0","0.673","0","1","0","4","10","3","171","1040010"
"0","0","1.009","0","0","4","1","4","11","0","0","1040011"
"352","0","0","0.65","0","1","0","4","12","3","270","1040012"
"0","0","0.729","0","0","4","1","4","13","0","0","1040013"
"166","0","0","0.976","0","1","0","4","14","4","0","1040014"
"0","0","1.993","0","0","4","1","4","15","0","0","1040015"
"0","vo_minigame_1005_nikki04_002","0","0","vo_minigame_1005","2","0","4","16","0","0","1040016"
"220","0","0","0.396","0","1","0","4","17","4","166","1040017"
"0","0","0.864","0","0","4","1","4","18","0","0","1040018"
"352","0","0","0.74","0","1","0","4","19","4","220","1040019"
"0","0","1.855","0","0","4","1","4","20","0","0","1040020"
"0","vo_minigame_1005_nikki04_003","0","0","vo_minigame_1005","2","0","4","21","0","0","1040021"
"52","0","0","0.437","0","1","0","4","22","5","0","1040022"
"0","0","0.497","0","0","4","1","4","23","0","0","1040023"
"289","0","0","1.776","0","1","0","4","24","5","52","1040024"
"0","0","2.233","0","0","4","1","4","25","0","0","1040025"
"153","0","0","1.29","0","1","0","4","26","6","0","1040026"
"0","0","1.638","0","0","4","1","4","27","0","0","1040027"
"329","0","0","1.137","0","1","0","4","28","6","153","1040028"
"0","0","2.3","0","0","4","1","4","29","0","0","1040029"
"0","vo_minigame_1005_nikki04_004","0","0","vo_minigame_1005","2","0","4","30","0","0","1040030"
"55","0","0","0.336","0","1","0","4","31","7","0","1040031"
"0","0","0.826","0","0","4","1","4","32","0","0","1040032"
"252","0","0","1.223","0","1","0","4","33","7","55","1040033"
"0","0","1.223","0","0","4","1","4","34","0","0","1040034"
"179","0","0","0.994","0","1","0","4","35","8","0","1040035"
"0","0","1.487","0","0","4","1","4","36","0","0","1040036"
"312","0","0","0.89","0","1","0","4","37","8","179","1040037"
"0","0","1.567","0","0","4","1","4","38","0","0","1040038"
"0","vo_minigame_1005_nikki04_005","0","0","vo_minigame_1005","2","0","4","39","0","0","1040039"
"151","0","0","0.74","0","1","0","4","40","9","0","1040040"
"0","0","1.731","0","0","4","1","4","41","0","0","1040041"
"0","vo_minigame_1005_nikki04_006","0","0","vo_minigame_1005","2","0","4","42","0","0","1040042"
"278","0","0","1.937","0","1","0","4","43","10","0","1040043"
"0","0","2.435","0","0","4","1","4","44","0","0","1040044"
"126","0","0","0.822","0","1","0","4","45","11","0","1040045"
"0","0","1.376","0","0","4","1","4","46","0","0","1040046"
"199","0","0","0.576","0","1","0","4","47","11","126","1040047"
"0","0","0.923","0","0","4","1","4","48","0","0","1040048"
"353","0","0","0.785","0","1","0","4","49","11","199","1040049"
"0","0","2.285","0","0","4","1","4","50","0","0","1040050"
"0","0","1","0","0","4","3","5","1","0","0","1050001"
"0","vo_minigame_1005_nikki05_000","0","0","vo_minigame_1005","2","0","5","2","0","0","1050002"
"183","0","0","1.419","0","1","0","5","3","1","0","1050003"
"0","0","1.662","0","0","4","1","5","4","0","0","1050004"
"265","0","0","1.614","0","1","0","5","5","2","0","1050005"
"0","0","2.394","0","0","4","1","5","6","0","0","1050006"
"0","vo_minigame_1005_nikki05_001","0","0","vo_minigame_1005","2","0","5","7","0","0","1050007"
"394","0","0","2.658","0","1","0","5","8","3","0","1050008"
"0","0","3.202","0","0","4","1","5","9","0","0","1050009"
"0","vo_minigame_1005_nikki05_002","0","0","vo_minigame_1005","2","0","5","10","0","0","1050010"
"298","0","0","1.745","0","1","0","5","11","4","0","1050011"
"0","0","2.545","0","0","4","1","5","12","0","0","1050012"
"0","vo_minigame_1005_nikki05_003","0","0","vo_minigame_1005","2","0","5","13","0","0","1050013"
"115","0","0","0.964","0","1","0","5","14","5","0","1050014"
"0","0","1.34","0","0","4","1","5","15","0","0","1050015"
"394","0","0","1.919","0","1","0","5","16","5","115","1050016"
"0","0","2.719","0","0","4","1","5","17","0","0","1050017"
"0","vo_minigame_1005_nikki05_004","0","0","vo_minigame_1005","2","0","5","18","0","0","1050018"
"60","0","0","0.434","0","1","0","5","19","6","0","1050019"
"0","0","0.903","0","0","4","1","5","20","0","0","1050020"
"250","0","0","1.262","0","1","0","5","21","6","60","1050021"
"0","0","1.758","0","0","4","1","5","22","0","0","1050022"
"309","0","0","2.473","0","1","0","5","23","7","0","1050023"
"0","0","3.315","0","0","4","1","5","24","0","0","1050024"
"0","vo_minigame_1005_nikki05_005","0","0","vo_minigame_1005","2","0","5","25","0","0","1050025"
"82","0","0","0.509","0","1","0","5","26","8","0","1050026"
"0","0","0.988","0","0","4","1","5","27","0","0","1050027"
"364","0","0","1.775","0","1","0","5","28","8","82","1050028"
"0","0","2.507","0","0","4","1","5","29","0","0","1050029"
"0","vo_minigame_1005_nikki05_006","0","0","vo_minigame_1005","2","0","5","30","0","0","1050030"
"201","0","0","1.139","0","1","0","5","31","9","0","1050031"
"0","0","2.066","0","0","4","1","5","32","0","0","1050032"
"0","vo_minigame_1005_nikki05_007","0","0","vo_minigame_1005","2","0","5","33","0","0","1050033"
"94","0","0","0.665","0","1","0","5","34","10","0","1050034"
"0","0","1.144","0","0","4","1","5","35","0","0","1050035"
"271","0","0","1.389","0","1","0","5","36","10","94","1050036"
"0","0","1.789","0","0","4","1","5","37","0","0","1050037"
"376","0","0","0.823","0","1","0","5","38","10","271","1050038"
"0","0","2.023","0","0","4","1","5","39","0","0","1050039"
