9dbe12536312ab49d9c38fba8ab6c60eea205e712618b0ab7c186559675ae909,52a6ace2fb8e5dd1731fb789fc9d130c349bfb59ce9dfe215e5bd746b22d7d84,925494db5e12a366720b267a1d1db0b5552460689c4a4504242cb03ffd21d87d,83190d7ed8716f9c70e45a3f3b5b832edf04b727bdfe6ca63c5bb76b830f4a71,cf001bfbbd1082098037a85e9ea2aa3ebf4a8f87d275f1ac7e4880e7755d7135,806164ff4d1b3716ac3355687c4e31bfc885de8a4396c5f26b27f498698fb79c,752e5a3abe645d4d5dd8e3186d7ecaddfad174c6c9a4c2fac6a91f9d3b5480d5,d53b68dd9589b08ecece33348df03b94efab5ae4be81533e46061eeda5090a72,192bb9548a94f341504d34118171babf1b27a211b291f36208c741d4a4380851,baed9c19f4b95b91b467e08976be0ab49504afb940cd3da9bb479485dca9679a,987df4a7de326001cff7f9237fe7d97becfa9a3c1e1ae9f0af0fa878370abb53,27d30e7357ce79ed6aadb2507a1337b501386a86991bb1eebb219aac61740103,498c5753ecae29f441acccacc204b9b7df84c27f4b1756d5f04ad164f7a45b4b,458f38f4a22503301638b593bc5b027990cb1d08e293d416e4680fc619da2af0,9842f7caa2944c92169da48950270faf37957af7679597143f51a4debf064b21,3a3e38616ef5048ef8d64cf173d4a2d84171d35271b5b67b3c7ba56ea3b35644
"リノ","156","覚えていないと思うんですけど…\n私は妹なんですよ！\nだからお兄ちゃんって呼んでいいですか？","0","阿澄佳奈","3","8","25","ヒューマン","44","15","ラビリンス","A","お裁縫","人懐っこくてマシンガントークな妹系少女","101101"
"ハツネ","156","私はハツネ！　困っている人の味方だよ！\n困った時は、いつでも言ってね♪\n私のちょ…ま、魔法で助けてあげるから！","0","大橋彩香","6","12","24","エルフ","46","17","フォレスティエ","A","妹と遊ぶこと、二度寝、昼寝、早寝","みんなのために超能力を使う眠り姫","101201"
"ナナカ","166","","0","佳村はるか","13","8","21","魔族","55","18","トワイライトキャラバン","O","読書、魔法","オタク全開な魔法少女","101301"
"カスミ","152","test","0","水瀬いのり","10","11","3","獣人族","41","15","自警団（カォン）","AB","読書、推理","頭脳明晰な美少女名探偵","101401"
"ミサト","165","test","0","國府田マリ子","6","9","5","エルフ","54","21","フォレスティエ","O","絵本作り","母性溢れる優しいみんなの「ミサト先生」","101501"
"スズナ","167","ヒデサイ、ちょっす～！　うち、漢字と計算は\nちょっち…てか、おに苦手なんだ～\nでもでも、ファッションだったら任せて～！","0","上坂すみれ","14","4","10","魔族","48","18","ルーセント学院","O","ファッション","天真爛漫で人気者のカリスマモデル","101601"
"カオリ","158","ハイターイ！　歌って踊って、\n最高に盛り上がるさ～！\nやさやさ、キミも一緒に踊るさ～！","0","高森奈津美","10","7","7","獣人族","53","19","自警団（カォン）","A","踊り、空手","いつでも「なんくるないさ～」な天然娘","101701"
"イオ","162","いつも助けてくれてありがとう\n私のほうが年上なのに\n頼ってばかりでごめんなさい～","0","伊藤静","14","8","14","魔族","52","23","ルーセント学院","B","恋愛小説、恋愛舞台、恋愛漫画の鑑賞","多くの男性を魅了する無垢な女教師","101801"
"ミミ","117","ぴょんぴょん、うさぎさんになりたいな～♪　\nミミ、うさぎさんになれたら、\n最初におにいちゃんに見せてあげるね！","0","日高里菜","5","4","3","獣人族","21","10","リトルリリカル","O","かわいいもの集め","お歌もにんじんも、ウサギさんも大好き♪","102001"
"クルミ","150","あの、えっと…私、く、クルミですぅ…\nふ、ふぇぇぇ…ど、どうしようぅ…\nは、恥かしくて…ご、ごめんなさいぃぃ！","0","植田佳奈","9","6","9","ヒューマン","40","12","サレンディア救護院","B","観劇、おままごと","泣き虫で臆病な守ってあげたい女の子","102101"
"ヨリ","150","え、えっと…こ、こういうときって、\nどういうことを言えばいいんだっけ…\nうう、どうしてちゃんと喋れないの…","0","原紗友里","7","11","22","魔族","40","13","悪魔偽王国軍（ディアボロス）","O","ゲーム全般","人見知りであまのじゃくな女の子","102201"
"アヤネ","148","この子はね、ぷうきちって言うんだ\n武器なんだけど、しゃべるんだよ♪\n大事な大事な、私の友達なんだぁ～！","0","芹澤優","9","5","10","ヒューマン","38","14","サレンディア救護院","B","屋内でできる遊び","ぷうきちといつも一緒！","102301"
"スズメ","154","うぅ…ごめんなさい～…\nまたキッチンを爆発させてしまいました～\nこれじゃあメイド失格です…","0","悠木碧","9","12","12","ヒューマン","43","15","サレンディア救護院","O","ご奉仕","お嬢さまのためにがんばるドジっ娘メイド","102501"
"リン","144","test","0","小岩井ことり","11","1","1","獣人族","42","17","牧場（エリザベスパーク）","B","あんパン","遊びと睡眠が何より大事なぐうたら娘","102601"
"エリコ","154","『壊し屋』の二つ名を持つ私…\nですが、怖がる必要はありませんわ\nあなた様は大切な運命の人ですから…","0","橋本ちなみ","13","7","30","魔族","43","16","トワイライトキャラバン","B","実験、裁縫、料理","運命の相手に一途すぎる乙女","102701"
"サレン","156","貧乏性？　いいえ、\n「もったいない」の精神で\n日々を過ごしてるだけよ！","0","堀江由衣","9","10","4","エルフ","43","17","サレンディア救護院","A","経営、お茶会","救護院を経営する優しい庶民派お嬢様","102801"
"ノゾミ","157","いつか世界中の人達をファンにしてみせる！\nトップアイドルになるその日まで、\n応援よろしくね♪","0","日笠陽子","4","1","24","ヒューマン","40","17","カルミナ","B","舞台鑑賞、ダンス","歌って踊れる大人気アイドル","102901"
"ニノン","163","スシ、ゲイシャ、テンプラ…\nはふぅ～！\nトーゴクの文化はステキデスね～！","0","佐藤聡美","15","8","31","ヒューマン","51","16","ヴァイスフリューゲル　ランドソル支部","O","忍法開発","トーゴクの神秘、オシエテクダサイ！","103001"
"シノブ","157","私、小さい頃から人には見えないものが\n見えていたんです。今もあなたの後ろに\n一人、二人、三人…賑やかですね","0","大坪由佳","7","12","22","魔族","42","18","悪魔偽王国軍（ディアボロス）","AB","占い","占いが得意な霊能少女","103101"
"アキノ","157","この私とともにいる限り、\nお金に不自由はさせませんわ！","0","松嵜麗","12","3","12","ヒューマン","45","18","メルクリウス財団","AB","慈善事業","一人前の商人を目指すパワフルお嬢様","103201"
"マヒル","142","オラはどんな時でもみんなに笑顔を届ける\n最高の芸人目指してる！\n一緒に頑張るべ！","0","新田恵海","11","3","3","ヒューマン","35","20","牧場（エリザベスパーク）","B","漫才","みんなを笑顔にするお笑い牧場主","103301"
"ユカリ","164","キミには情けないところばかり\n見られているけど、こんなところ、\nキミ以外には見せないんだからね？","0","今井麻美","12","3","16","エルフ","55","22","メルクリウス財団","A","ウインドーショッピング","純情でほっとけない大人の女性","103401"
"キョウカ","118","test","0","小倉唯","5","2","2","エルフ","21","8","リトルリリカル","A","お勉強","礼儀正しくしっかり者のちびっ子優等生","103601"
"トモ","149","test","0","茅原実里","8","8","11","ヒューマン","43","13","王宮騎士団（NIGHTMARE）","A","剣術、年長者をからかう","義理堅くてからかい好きな剣術少女","103701"
"シオリ","153","ゴホッ、ゴホッ…か、身体は弱いけど、\nせめて気持ちだけでも前向きに…！\nあっ、でもダメ…立ちくらみが…","0","小清水亜美","11","11","3","獣人族","40","14","牧場（エリザベスパーク）","A","読書、お散歩","読書が趣味の病弱少女","103801"
"アオイ","158","友達ができるその日まで…\nBB団で\nトレーニングですっ！","0","花澤香菜","6","6","6","エルフ","44","13","フォレスティエ","AB","友達作りのイメトレ","「友達」に憧れる、エルフの森の女の子","104001"
"チカ","163","私は人々の平和を守るため、唱喚術を使って\n戦います。…最近は、ア、アイドルとしても\n活動してますが、そちらはまだ不慣れで…","0","福原綾香","4","6","3","ヒューマン","46","17","カルミナ","O","各種楽器","人々を守るために歌う、唱喚士の少女","104201"
"マコト","168","腹へってたら言えよな\n簡単でよければ\nすっげー旨いもん食わせてやるよ！","0","小松未可子","10","8","9","獣人族","54","17","自警団（カォン）","O","お菓子作り","男勝りで情に厚いワイルド娘","104301"
"イリヤ","172","test","0","丹下桜","7","5","5","魔族","50","??","悪魔偽王国軍（ディアボロス）","A","世界征服","かつては夜を支配した最強の吸血鬼","104401"
"クウカ","157","あなたのことを考えていました\n…逆らえないクウカをああして、こうして\nぐふ、ぐふふふ…","0","長妻樹里","15","11","19","ヒューマン","49","18","ヴァイスフリューゲル　ランドソル支部","AB","小説を読むこと","妄想大好き！　ほんとは照れ屋な女の子","104501"
"タマキ","158","お金もうけの話なら、ぜひともあたしに\n持ってくるにゃ！　稼げるなら１ルピだって\n見逃さないのが、あたしの信条にゃ～♪","0","沼倉愛美","12","3","1","獣人族","48","18","メルクリウス財団","AB","猫とたわむれること","弱きを助け強きをくじく猫娘","104601"
"ジュン","171","？？？","0","川澄綾子","8","10","25","ヒューマン","50","25","王宮騎士団（NIGHTMARE）","A","格闘技、湯浴み","素顔を見せない冷静沈着な女性騎士","104701"
"ミフユ","163","私がキミの師匠になってあげる！\nもちろんタダとはいかないわ\n時給はしっかりもらうから","0","田所あずさ","12","11","11","ヒューマン","49","20","メルクリウス財団","O","傭兵などのアルバイト","仕事も私事も効率優先な傭兵少女","104801"
"シズル","168","身の回りのお世話はお姉ちゃんがやってあげるね！\nお料理も、お洗濯も、お掃除も\nお風呂で背中も流してあげちゃうぞっ！","0","生天目仁美","3","10","24","ヒューマン","54","18","ラビリンス","O","家事全般","お姉ちゃんがお世話してあげるからねっ！","104901"
"ミサキ","120","アタシのこと呼んだ？\nレディの魅力で夢中にさせてあげるわね！","0","久野美咲","14","1","3","魔族","22","11","ルーセント学院","A","ファッション誌鑑賞、コスメ集め","ちょっとおませな恋に恋する女の子","105001"
"ミツキ","166","私は科学者だけど、\n医者の真似事もしてるの\n病気になったら診てあげるわ","0","三石琴乃","13","3","7","ヒューマン","53","27","トワイライトキャラバン","A","研究、実験","実験が趣味の危険な科学者","105101"
"リマ","150","私、ごく普通の、どこにでもいる女の子よ！\nみ、見た目以外はね…","0","徳井青空","11","3","14","獣人族","100","18","牧場（エリザベスパーク）","A","毛繕い、お喋り","乙女チックなもふもふアニマル","105201"
"モニカ","140","「白き翼」こと、ヴァイスフリューゲル…\nその名に恥じぬよう、天高く舞い、\n華麗に敵を倒してみせる！","0","辻あゆみ","15","7","28","ヒューマン","33","18","ヴァイスフリューゲル　ランドソル支部","A","お菓子屋通い","見た目も中身もお子ちゃまな異国の軍人","105301"
"ツムギ","153","test","0","木戸衣吹","4","9","7","ヒューマン","45","14","カルミナ","AB","裁縫","ファッション大好きなキュートガール","105401"
"アユミ","155","test","0","大関英里","15","4","7","エルフ","43","16","ヴァイスフリューゲル　ランドソル支部","O","観察","どこまでも一途に慕う、純情乙女","105501"
"ルカ","167","test","0","佐藤利奈","13","7","11","ヒューマン","54","25","トワイライトキャラバン","B","釣り","人情味溢れる粋でいなせな「姉御」","105601"
"ジータ","156","私ね、一人前の騎空士になりたいんだ\nいつか父さんみたいな騎空士になって、\n空の果てまで旅する。それが私の夢だよ！","0","金元寿子","","3","10","ヒューマン","45","17","？？？","O","冒険、おしゃべり","空への冒険を夢見る騎空士の少女","105701"
"ペコリーヌ","156","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","0","M・A・O","1","3","31","ヒューマン","46","17","美食殿","O","食べ歩き、料理","いつも元気な腹ペコ少女","105801"
"コッコロ","140","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","0","伊藤美来","1","5","11","エルフ","35","11","美食殿","B","瞑想、動植物の飼育","主を慕う、小さなガイド役","105901"
"キャル","152","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","0","立花理香","1","9","2","獣人族","39","14","美食殿","A","猫と遊ぶ","行き倒れの謎のネコミミ魔法使い","106001"
"ムイミ","148","いいんだ、アタシは……独りでも。大丈夫だから、もう慣れたからさぁ","0","潘めぐみ","","8","11","ヒューマン","40","16","？？？","O","冒険、思い出話","さまよえる謎の少女","106101"
"アリサ","155","","0","優木かな","","6","17","エルフ","42","15","？？？","O","キレイな葉っぱを集めること","森番を目指すエルフの少女","106301"
"シェフィ","147","","0","近藤玲奈","1","12","14","ドラゴン族","???","14","美食殿","B","読書、ストレッチ","記憶喪失のドラゴン娘","106401"
"カヤ","156","","0","小市眞琴","17","6","25","ドラゴン族","???","16","ドラゴンズネスト","B","格闘技","拳で語る喧嘩屋ドラゴン少女","106501"
"イノリ","145","","0","藤田茜","17","9","29","ドラゴン族","???","13","ドラゴンズネスト","AB","ゲーム","口が達者なヘタレドラゴン","106601"
"ホマレ","168","","0","大西沙織","17","4","17","ドラゴン族","???","25","ドラゴンズネスト","O","絵画、読書","妖しい微笑で全てを見透かす臥竜の頭領","106701"
"ラビリスタ","160","","0","沢城みゆき","3","7","25","ヒューマン","??","25","ラビリンス","AB","人間観察","秘密結社ラビリンスの『迷宮女王』","106801"
"カイザーインサイト","166","","0","蒼井翔太","","7","1","獣人族","??","29","？？？","AB","占い、支配","謎に包まれたランドソルの主","106901"
"ネネカ","149","","0","井口裕香","","3","24","エルフ","??","24","？？？","O","物真似、芸術鑑賞","研究所に隠れ住む物静かなお姉さん","107001"
"クリスティーナ","165","","0","たかはし智秋","8","2","7","ヒューマン","??","27","王宮騎士団（NIGHTMARE）","O","強敵との闘争","傍若無人な王宮騎士団副団長","107101"
"ペコリーヌ（サマー）","156","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","0","M・A・O","1","3","31","ヒューマン","46","17","美食殿","O","食べ歩き、料理","いつも元気な腹ペコ少女","107501"
"コッコロ（サマー）","140","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","0","伊藤美来","1","5","11","エルフ","35","11","美食殿","B","瞑想、動植物の飼育","主を慕う、小さなガイド役","107601"
"スズメ（サマー）","154","うぅ…ごめんなさい～…\nまたキッチンを爆発させてしまいました～\nこれじゃあメイド失格です…","0","悠木碧","9","12","12","ヒューマン","43","15","サレンディア救護院","O","ご奉仕","お嬢さまのためにがんばるドジっ娘メイド","107701"
"キャル（サマー）","152","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","0","立花理香","1","9","2","獣人族","39","14","美食殿","A","猫と遊ぶ","行き倒れの謎のネコミミ魔法使い","107801"
"タマキ（サマー）","158","お金もうけの話なら、ぜひともあたしに\n持ってくるにゃ！　稼げるなら１ルピだって\n見逃さないのが、あたしの信条にゃ～♪","0","沼倉愛美","12","3","1","獣人族","48","18","メルクリウス財団","AB","猫とたわむれること","弱きを助け強きをくじく猫娘","107901"
"ミフユ（サマー）","163","私がキミの師匠になってあげる！\nもちろんタダとはいかないわ\n時給はしっかりもらうから","0","田所あずさ","12","11","11","ヒューマン","49","20","メルクリウス財団","O","傭兵などのアルバイト","仕事も私事も効率優先な傭兵少女","108001"
"シノブ（ハロウィン）","157","私、小さい頃から人には見えないものが\n見えていたんです。今もあなたの後ろに\n一人、二人、三人…賑やかですね","0","大坪由佳","7","12","22","魔族","42","18","悪魔偽王国軍（ディアボロス）","AB","占い","占いが得意な霊能少女","108101"
"ミヤコ（ハロウィン）","130","難しいことはわからないの～\nただ毎日プリンを食べられるなら、\n幽霊のままでいいの～","0","雨宮天","7","1","23","魔族","32","14","悪魔偽王国軍（ディアボロス）","B","プリンを食べること","プリン大好きゴースト娘","108201"
"ミサキ（ハロウィン）","120","アタシのこと呼んだ？\nレディの魅力で夢中にさせてあげるわね！","0","久野美咲","14","1","3","魔族","22","11","ルーセント学院","A","ファッション誌鑑賞、コスメ集め","ちょっとおませな恋に恋する女の子","108301"
"チカ（クリスマス）","163","私は人々の平和を守るため、唱喚術を使って\n戦います。…最近は、ア、アイドルとしても\n活動してますが、そちらはまだ不慣れで…","0","福原綾香","4","6","3","ヒューマン","46","17","カルミナ","O","各種楽器","人々を守るために歌う、唱喚士の少女","108401"
"クルミ（クリスマス）","150","あの、えっと…私、く、クルミですぅ…\nふ、ふぇぇぇ…ど、どうしようぅ…\nは、恥かしくて…ご、ごめんなさいぃぃ！","0","植田佳奈","9","6","9","ヒューマン","40","12","サレンディア救護院","B","観劇、おままごと","泣き虫で臆病な守ってあげたい女の子","108501"
"アヤネ（クリスマス）","148","この子はね、ぷうきちって言うんだ\n武器なんだけど、しゃべるんだよ♪\n大事な大事な、私の友達なんだぁ～！","0","芹澤優","9","5","10","ヒューマン","38","14","サレンディア救護院","B","屋内でできる遊び","ぷうきちといつも一緒！","108601"
"ヒヨリ（ニューイヤー）","155","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","0","東山奈央","2","8","27","獣人族","44","16","トゥインクルウィッシュ","A","人助け、応援","人助けが大好き！　前向き格闘娘","108701"
"ユイ（ニューイヤー）","158","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","0","種田梨沙","2","4","5","ヒューマン","47","17","トゥインクルウィッシュ","O","料理、人間観察","戦闘のサポートが得意な、心優しい少女","108801"
"レイ（ニューイヤー）","163","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","0","早見沙織","2","1","12","魔族","46","18","トゥインクルウィッシュ","B","読書、乗馬、お茶","クールで何事にも真っ直ぐな剣士","108901"
"エリコ（バレンタイン）","154","『壊し屋』の二つ名を持つ私…\nですが、怖がる必要はありませんわ\nあなた様は大切な運命の人ですから…","0","橋本ちなみ","13","7","30","魔族","43","16","トワイライトキャラバン","B","実験、裁縫、料理","運命の相手に一途すぎる乙女","109001"
"シズル（バレンタイン）","168","身の回りのお世話はお姉ちゃんがやってあげるね！\nお料理も、お洗濯も、お掃除も\nお風呂で背中も流してあげちゃうぞっ！","0","生天目仁美","3","10","24","ヒューマン","54","18","ラビリンス","O","家事全般","お姉ちゃんがお世話してあげるからねっ！","109101"
"アン","156","私はアン！一応、マナリア王国の\n第一王女だけど…あまりかしこまらないで、\n気軽に仲良くしてくれたら嬉しいな！","0","日笠陽子","","12","1","ヒューマン","55","17","？？？","AB","読書","英霊と契約を結んだマナリアの天才王女","109201"
"ルゥ","144","ルゥはルゥですぅ！マナリア魔法学院に\n通ってるですぅ。あなたもルゥの\nお友だちになってくれるですか？","0","こやまきみこ","","2","4","ヒューマン","45","15","？？？","O","食べること、眠ること","マナリア魔法学院の新入生","109301"
"グレア","167","私はグレア。竜と人、両方の血を\n受け継いでいるの…\nえっと…よ、よろしくね","0","福原綾香","","11","3","半人半竜","67","17","？？？","B","ピアノ","人を超越した力を有す心優しい竜姫","109401"
"クウカ（オーエド）","157","あなたのことを考えていました\n…逆らえないクウカをああして、こうして\nぐふ、ぐふふふ…","0","長妻樹里","15","11","19","ヒューマン","49","18","ヴァイスフリューゲル　ランドソル支部","AB","小説を読むこと","妄想大好き！　ほんとは照れ屋な女の子","109501"
"ニノン（オーエド）","163","スシ、ゲイシャ、テンプラ…\nはふぅ～！\nトーゴクの文化はステキデスね～！","0","佐藤聡美","15","8","31","ヒューマン","51","16","ヴァイスフリューゲル　ランドソル支部","O","忍法開発","トーゴクの神秘、オシエテクダサイ！","109601"
"レム","154","","0","水瀬いのり","","2","2","鬼族","??","17","？？？","?","演劇鑑賞、詩文","鬼がかりの万能妹メイド","109701"
"ラム","154","","0","村川梨衣","","2","2","鬼族","??","17","？？？","?","読書","毒舌系鬼姉メイド","109801"
"エミリア","164","","0","高橋李依","","9","23","ハーフエルフ","??","114","？？？","?","パックの毛繕い、勉強","銀髪のおっとりハーフエルフ","109901"
"スズナ（サマー）","167","ヒデサイ、ちょっす～！　うち、漢字と計算は\nちょっち…てか、おに苦手なんだ～\nでもでも、ファッションだったら任せて～！","0","上坂すみれ","14","4","10","魔族","48","18","ルーセント学院","O","ファッション","天真爛漫で人気者のカリスマモデル","110001"
"イオ（サマー）","162","いつも助けてくれてありがとう\n私のほうが年上なのに\n頼ってばかりでごめんなさい～","0","伊藤静","14","8","14","魔族","52","23","ルーセント学院","B","恋愛小説、恋愛舞台、恋愛漫画の鑑賞","多くの男性を魅了する無垢な女教師","110101"
"ミサキ（サマー）","120","","0","久野美咲","14","1","3","魔族","22","11","ルーセント学院","A","ファッション誌鑑賞、コスメ集め","ちょっとおませな恋に恋する女の子","110201"
"サレン（サマー）","156","貧乏性？　いいえ、\n「もったいない」の精神で\n日々を過ごしてるだけよ！","0","堀江由衣","9","10","4","エルフ","43","17","サレンディア救護院","A","経営、お茶会","救護院を経営する優しい庶民派お嬢様","110301"
"マコト（サマー）","168","腹へってたら言えよな\n簡単でよければ\nすっげー旨いもん食わせてやるよ！","0","小松未可子","10","8","9","獣人族","54","17","自警団（カォン）","O","お菓子作り","男勝りで情に厚いワイルド娘","110401"
"カオリ（サマー）","158","ハイターイ！　歌って踊って、\n最高に盛り上がるさ～！\nやさやさ、キミも一緒に踊るさ～！","0","高森奈津美","10","7","7","獣人族","53","19","自警団（カォン）","A","踊り、空手","いつでも「なんくるないさ～」な天然娘","110501"
"マホ（サマー）","155","マホマホ王国のお姫はんの、マホ姫どす！\nけったいな顔してどないしはったん？\nマホマホ王国はずーっと遠くの国なんどす？","0","内田真礼","10","9","22","獣人族","42","16","自警団（カォン）","O","空想、ぬいぐるみ集め","マホマホ王国のプリンセス","110601"
"アオイ（編入生）","158","","0","花澤香菜","6","6","6","エルフ","44","13","フォレスティエ","AB","友達作りのイメトレ","「友達」に憧れる、エルフの森の女の子","110701"
"クロエ","154","","0","種﨑敦美","16","8","7","エルフ","42","17","聖テレサ女学院（なかよし部）","O","ダーツ","ダウンタウン育ちのダウナー系エルフ","110801"
"チエル","156","","0","佐倉綾音","16","9","15","ヒューマン","46","16","聖テレサ女学院（なかよし部）","O","ダンス、カラオケ","自由奔放ナチュラル無礼な現代っ子","110901"
"ユニ","142","","0","小原好美","16","2","28","ヒューマン","36","18","聖テレサ女学院（なかよし部）","O","読書","書庫に眠れる小さな賢人","111001"
"キョウカ（ハロウィン）","118","","0","小倉唯","5","2","2","エルフ","21","8","リトルリリカル","A","お勉強","礼儀正しくしっかり者のちびっ子優等生","111101"
"ミソギ（ハロウィン）","128","イタズラなら任せて！\nにいちゃん、引っかからないように気を付けなよー♪","0","諸星すみれ","5","8","10","ヒューマン","27","9","リトルリリカル","O","いたずら、探検","探検好きのイタズラっ子","111201"
"ミミ（ハロウィン）","117","ぴょんぴょん、うさぎさんになりたいな～♪　\nミミ、うさぎさんになれたら、\n最初におにいちゃんに見せてあげるね！","0","日高里菜","5","4","3","獣人族","21","10","リトルリリカル","O","かわいいもの集め","お歌もにんじんも、ウサギさんも大好き♪","111301"
"ルナ","142","","0","小倉唯","","?","?","ヒューマン","28","??","？？？","?","「おともだち」を探すこと","おともだちを探す死霊術師の少女","111401"
"クリスティーナ（クリスマス）","165","","0","たかはし智秋","8","2","7","ヒューマン","??","27","王宮騎士団（NIGHTMARE）","O","強敵との闘争","傍若無人な王宮騎士団副団長","111501"
"ノゾミ（クリスマス）","157","","0","日笠陽子","4","1","24","ヒューマン","40","17","カルミナ","B","舞台鑑賞、ダンス","歌って踊れる大人気アイドル","111601"
"イリヤ（クリスマス）","172","","0","丹下桜","7","5","5","魔族","50","??","悪魔偽王国軍（ディアボロス）","A","世界征服","かつては夜を支配した最強の吸血鬼","111701"
"ぺコリーヌ（ニューイヤー）","156","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","0","M・A・O","1","3","31","ヒューマン","46","17","美食殿","O","食べ歩き、料理","いつも元気な腹ペコ少女","111801"
"コッコロ（ニューイヤー）","140","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","0","伊藤美来","1","5","11","エルフ","35","11","美食殿","B","瞑想、動植物の飼育","主を慕う、小さなガイド役","111901"
"キャル（ニューイヤー）","152","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","0","立花理香","1","9","2","獣人族","39","14","美食殿","A","猫と遊ぶ","行き倒れの謎のネコミミ魔法使い","112001"
