7c2a4a1a74933f1a7c66e80366903f9c478ee5d72323eff0f9b5097eb24646f5,85931c3eefcb447970f47b05c5dd55b74dfbb852f9bad4bb4a9035c3e81cf72d,591588b0eaea477a988b21562123cf2e8344b05bec3ab7dd56ba8cf08089df4e,8a6118426c1bae6ef3a1fae72b1ebc57e444bb6ffda76cee568d0b8ae591c5c3,547917069f780c83a3d5d4b5a58d2f6f4b88651f33857483ed7bf3c8c81a1e7f,aaf509cfc4d2e04e9d0061aa64870e60c5efb09c2992ca02cd62d603fe625b9f,1a48e2ea87bc5e9a73fd1160faa0ec08187dab084dcddbe73bf5dc1745828346,06e34f58c09472e169c4b12f288e76499948957a8f100e750771d86c8fd41259,12edc12ea4b1f25e4f1e002ef30e7a0ecb60aa44ee871f58986b0898ca83c58a,d1f58395679b15e8d7fd1f85e24e2a6040bac2ca3676c3a4e85bb11ee659475f,7b2271b631615de9f6b1c1cd1549cfaafd1d4283f0189c09a8bfdd34bd9f48bb
"","1","1","102","","0.2","","3","cgg_idle_normal","102029",""
"","1","105911","102","","0.2","","3","cgg_talk_joy3_blink","102030",""
"","1.4","105911","102","","0.2","","12","10","102031",""
"","","3","102","","","","93","0","102032",""
"","1","105911","102","","0.2","","3","cgg_idle_def","102033",""
"","1","106411","102","","0.2","","3","cgg_talk_joy1","102034",""
"","1.4","106411","102","","0.2","","12","11","102035",""
"","","3","102","","","","93","0","102036",""
"","1","106411","102","","0.2","","3","cgg_idle_def","102037",""
"","1","1","102","","0.2","","3","cgg_idle_surprise3","102038",""
"","1.4","1","102","","0.2","","12","6","102039",""
"","","3","102","","","","93","0","102040",""
"","","102029","102","","","","101","0","102041",""
"","","0","102","","","","22","0.5","102042",""
"","1","1","102","0","0.1","0","6","1","102043","1"
"","1","105911","102","0","0.1","0","6","1","102044","1"
"","1","106411","102","0","0.1","0","6","1","102045","1"
"","","0.1","102","","","","93","0","102046",""
"","1","1","102","","0","","3","cgg_idle_normal","102047",""
"","1","105911","102","","0","","3","cgg_idle_def","102048",""
"","1","106411","102","","0","","3","cgg_idle_def","102049",""
"cgg_idle_normal","100","1","103","-230","160","0","5","1","103001","-420"
"cgg_idle_def","100","1","103","-230","1.6","1","1","100211","103002","375"
"cgg_idle_def","101","1","103","-230","1.6","1","1","100111","103003","490"
"","1","1","103","1","0.1","0","6","1","103004","1"
"","1","100211","103","1","0.1","0","6","1","103005","1"
"","1","100111","103","1","0.1","0","6","1","103006","1"
"","","0.2","103","","","","93","0","103007",""
"","0","vo_minigame_1007","103","","","","21","vo_minigame_1007_top_talk_3_005","103008","0"
"0","6","100211","103","0","0","0","11","次は何が出るのかな？\n楽しみだね、\nヒヨリちゃん","103009","0"
"","1","1","103","","0.2","","3","cgg_idle_surprise1","103010",""
"","1","100211","103","","0.2","","3","cgg_talk_wish","103011",""
"","","2.4","103","","","","93","0","103012",""
"","1","100211","103","","0.2","","3","cgg_talk_joy3","103013",""
"","","103009","103","","","","91","","103014",""
"","1","100211","103","","0.2","","3","cgg_idle_def","103015",""
"","0","vo_minigame_1007","103","","","","21","vo_minigame_1007_top_talk_3_006","103016","0"
"0","5","100111","103","0","0","0","11","そうだねユイちゃん！\nよーっし、どんどん\n回しまくるよー！\nぐるぐるぐるー♪","103017","0"
"","1","1","103","","0.2","","3","cgg_idle_reaction5","103018",""
"","1","100111","103","","0.2","","3","cgg_talk_joy1","103019",""
"","","2.5","103","","","","93","0","103020",""
"","0","100111","103","1","0.2","0","3","cgg_talk_guts_NoBlink","103021","cgg_idle_guts"
"","","4","103","","","","93","0","103022",""
"","0","1","103","1","0.2","0.2","3","cgg_joy","103023","cgg_idle_reaction3"
"","1","100111","103","","0.2","","3","cgg_talk_joy2","103024",""
"","","103017","103","","","","91","","103025",""
"","","0.7","103","","","","93","0","103026",""
"","1","1","103","","0.2","","3","cgg_idle_normal","103027",""
"","1","100111","103","","0.2","","3","cgg_idle_def","103028",""
"","1","100211","103","","0.2","","3","cgg_idle_bitter3","103029",""
"","1.4","100211","103","","0.2","","12","1","103030",""
"","","3","103","","","","93","0","103031",""
"","1","100211","103","","0.2","","3","cgg_idle_def","103032",""
"","0","1","103","1","0.2","0.2","3","cgg_talk_handsup","103033","cgg_idle_reaction1"
"","1.4","1","103","","0.2","","12","10","103034",""
"","","3","103","","","","93","0","103035",""
"","1","1","103","","0.2","","3","cgg_idle_normal","103036",""
"","1","100111","103","","0.2","","3","cgg_idle_joy3","103037",""
"","1.4","100111","103","","0.2","","12","6","103038",""
"","","3","103","","","","93","0","103039",""
"","","103028","103","","","","101","0","103040",""
"","","0","103","","","","22","0.5","103041",""
"","1","1","103","0","0.1","0","6","1","103042","1"
"","1","100211","103","0","0.1","0","6","1","103043","1"
"","1","100111","103","0","0.1","0","6","1","103044","1"
"","","0.1","103","","","","93","0","103045",""
"","1","1","103","","0","","3","cgg_idle_normal","103046",""
"","1","100211","103","","0","","3","cgg_idle_def","103047",""
"","1","100111","103","","0","","3","cgg_idle_def","103048",""
"cgg_idle_normal","100","1","104","-230","160","0","5","1","104001","-420"
"cgg_idle_def","100","1","104","-230","1.6","1","1","100111","104002","375"
"cgg_idle_def","101","1","104","-230","1.6","1","1","100311","104003","490"
"","1","1","104","1","0.1","0","6","1","104004","1"
"","1","100111","104","1","0.1","0","6","1","104005","1"
"","1","100311","104","1","0.1","0","6","1","104006","1"
"","","0.2","104","","","","93","0","104007",""
"","0","vo_minigame_1007","104","","","","21","vo_minigame_1007_top_talk_4_007","104008","0"
"0","5","100111","104","0","0","0","11","ねーねーレイさん、\nもっかい引いていい？","104009","0"
"","1","1","104","","0.2","","3","cgg_idle_reaction2","104010",""
"","1","100111","104","","0.2","","3","cgg_talk_joy3_dere","104011",""
"","","2.7","104","","","","93","0","104012",""
"","0","1","104","1","0.2","0","3","cgg_talk_guts2","104013","cgg_idle_guts2"
"","1","100111","104","","0.2","","3","cgg_talk_normal_dere2","104014",""
"","","104009","104","","","","91","","104015",""
"","0","vo_minigame_1007","104","","","","21","vo_minigame_1007_top_talk_4_008","104016","0"
"0","5","100311","104","0","0","0","11","ダメだよヒヨリ。\n次は私の番なんだから\n…ふふ、意外に夢中に\nなってしまうね","104017","0"
"","1","1","104","","0.2","","3","cgg_idle_reaction2","104018",""
"","0","100311","104","1","0.2","0","3","cgg_No","104019","cgg_idle_def"
"","","0.8","104","","","","93","0","104020",""
"","1","100111","104","","0.2","","3","cgg_idle_surprise2","104021",""
"","","0.9","104","","","","93","0","104022",""
"","0","1","104","1","0.2","0","3","cgg_surprise2","104023","cgg_idle_surprise2"
"","0","100311","104","1","0.2","0","3","cgg_talk_arm_crossed2","104024","cgg_idle_arm_crossed2"
"","","2.5","104","","","","93","0","104025",""
"","1","100311","104","","0.2","","3","cgg_idle_bitter","104026",""
"","","2","104","","","","93","0","104027",""
"","0","1","104","1","0.2","0","3","cgg_talk_nod","104028","cgg_idle_nod"
"","","104017","104","","","","91","","104029",""
"","","0.5","104","","","","93","0","104030",""
"","1","100311","104","","0.2","","3","cgg_idle_def","104031",""
"","1","1","104","","0.2","","3","cgg_idle_normal","104032",""
"","1","100111","104","","0.2","","3","cgg_idle_anger","104033",""
"","1.4","100111","104","","0.2","","12","17","104034",""
"","","3","104","","","","93","0","104035",""
"","1","100111","104","","0.2","","3","cgg_idle_def","104036",""
"","1","100311","104","","0.2","","3","cgg_idle_bitter4","104037",""
"","1.4","100311","104","","0.2","","12","2","104038",""
"","","3","104","","","","93","0","104039",""
"","1","100311","104","","0.2","","3","cgg_idle_def","104040",""
"","1","1","104","","0.2","","3","cgg_idle_surprise2","104041",""
"","1.4","1","104","","0.2","","12","1","104042",""
"","","3","104","","","","93","0","104043",""
"","","104032","104","","","","101","0","104044",""
"","","0","104","","","","22","0.5","104045",""
"","1","1","104","0","0.1","0","6","1","104046","1"
"","1","100111","104","0","0.1","0","6","1","104047","1"
"","1","100311","104","0","0.1","0","6","1","104048","1"
"","","0.1","104","","","","93","0","104049",""
"","1","1","104","","0","","3","cgg_idle_normal","104050",""
"","1","100111","104","","0","","3","cgg_idle_def","104051",""
"","1","100311","104","","0","","3","cgg_idle_def","104052",""
"cgg_idle_normal","100","1","105","-230","160","0","5","1","105001","-420"
"cgg_idle_def","100","1","105","-230","1.6","1","1","100211","105002","375"
"cgg_idle_def","101","1","105","-230","1.6","1","1","105811","105003","490"
"","1","1","105","1","0.1","0","6","1","105004","1"
"","1","100211","105","1","0.1","0","6","1","105005","1"
"","1","105811","105","1","0.1","0","6","1","105006","1"
"","","0.2","105","","","","93","0","105007",""
"","0","vo_minigame_1007","105","","","","21","vo_minigame_1007_top_talk_5_009","105008","0"
"0","7","100211","105","0","0","0","11","グッズは種類が\nいっぱいあるから\n全種類揃えるまで\n頑張ろうね！","105009","0"
"","1","1","105","","0.2","","3","cgg_idle_reaction1","105010",""
"","1","100211","105","","0.2","","3","cgg_talk_normal","105011",""
"","","2.4","105","","","","93","0","105012",""
"","1","100211","105","","0.2","","3","cgg_talk_joy3","105013",""
"","","1.1","105","","","","93","0","105014",""
"","0","1","105","1","0.2","0.2","3","cgg_talk_handsup","105015","cgg_idle_reaction1"
"","","105009","105","","","","91","","105016",""
"","1","100211","105","","0.2","","3","cgg_idle_def","105017",""
"","0","vo_minigame_1007","105","","","","21","vo_minigame_1007_top_talk_5_010","105018","0"
"0","6","105811","105","0","0","0","11","集めたグッズは\n棚に飾って、あとで\nじっくり鑑賞です♪\nやばいですね☆","105019","0"
"","0","1","105","0","0.2","0","3","cgg_talk_arm_crossed","105020","cgg_idle_arm_crossed"
"","1","105811","105","","0.2","","3","cgg_talk_joy1","105021",""
"","","5","105","","","","93","0","105022",""
"","0","1","105","1","0.2","0","3","cgg_talk_guts2","105023","cgg_idle_guts2"
"","0","105811","105","1","0.2","0.2","3","cgg_jump_def_N","105024","cgg_idle_def"
"","","105019","105","","","","91","","105025",""
"","","0.5","105","","","","93","0","105026",""
"","1","1","105","","0.2","","3","cgg_idle_normal","105027",""
"","1","100211","105","","0.2","","3","cgg_talk_joy3","105028",""
"","1.4","100211","105","","0.2","","12","10","105029",""
"","","3","105","","","","93","0","105030",""
"","1","100211","105","","0.2","","3","cgg_idle_def","105031",""
"","0","105811","105","1","0.2","0","3","cgg_talk_guts_anger","105032","cgg_idle_guts_anger"
"","1.4","105811","105","","0.2","","12","4","105033",""
"","","3","105","","","","93","0","105034",""
"","1","105811","105","","0.2","","3","cgg_idle_def","105035",""
"","0","1","105","1","0.2","0","3","cgg_talk_guts2","105036","cgg_idle_guts2"
"","1.4","1","105","","0.2","","12","7","105037",""
"","","3","105","","","","93","0","105038",""
"","","105027","105","","","","101","0","105039",""
"","","0","105","","","","22","0.5","105040",""
"","1","1","105","0","0.1","0","6","1","105041","1"
"","1","100211","105","0","0.1","0","6","1","105042","1"
"","1","105811","105","0","0.1","0","6","1","105043","1"
"","","0.1","105","","","","93","0","105044",""
"","1","1","105","","0","","3","cgg_idle_normal","105045",""
"","1","100211","105","","0","","3","cgg_idle_def","105046",""
"","1","105811","105","","0","","3","cgg_idle_def","105047",""
"cgg_idle_normal","100","1","106","-230","160","0","5","1","106001","-420"
"cgg_idle_def","100","1","106","-230","1.6","1","1","110911","106002","420"
"","1","1","106","1","0.1","0","6","1","106003","1"
"","1","110911","106","1","0.1","0","6","1","106004","1"
"","","0.2","106","","","","93","0","106005",""
"","0","vo_minigame_1007","106","","","","21","vo_minigame_1007_top_talk_6_011","106006","0"
"0","6","110911","106","0","0","0","11","え…うそでしょ先輩…\nカルミナグッズまだ\nフルコンしてないとか\nありえないんですけど","106007","0"
"","1","1","106","","0.2","","3","cgg_idle_reaction2","106008",""
"","0","110911","106","","0.2","","3","cgg_shock","106009",""
"","","1","106","","","","93","0","106010",""
"","1","110911","106","","0.2","","3","cgg_idle_bitter2","106011",""
"","","4.2","106","","","","93","0","106012",""
"","0","1","106","1","0.2","0","3","cgg_shock","106013","cgg_idle_shock"
"","","106007","106","","","","91","","106014",""
"","0","vo_minigame_1007","106","","","","21","vo_minigame_1007_top_talk_6_012","106015","0"
"0","6","110911","106","0","0","0","11","いい加減にして下さい\n呑気に一般美少女と\n話してる暇があったら\nほら、早く回す！","106016","0"
"","1","110911","106","1","0.2","0","3","cgg_talk_tsun_pain","106017",""
"","","0.7","106","","","","93","0","106018",""
"","0","1","106","1","0.2","0","3","cgg_surprise2","106019","cgg_idle_surprise2"
"","","1.3","106","","","","93","0","106020",""
"","1","110911","106","1","0.2","0","3","cgg_talk_joy1_sad","106021",""
"","","3","106","","","","93","0","106022",""
"","0","110911","106","1","0.2","","3","cgg_talk_guts_anger","106023","cgg_idle_guts_anger"
"","","0.7","106","","","","93","0","106024",""
"","0","1","106","1","0.2","0","3","cgg_talk_guts2","106025","cgg_idle_guts2"
"","","106016","106","","","","91","","106026",""
"","","0.5","106","","","","93","0","106027",""
"","1","110911","106","","0.2","","3","cgg_idle_def","106028",""
"","0","1","106","1","0.2","0","3","cgg_talk_doya","106029","cgg_idle_doya"
"","1.4","1","106","","0.2","","12","6","106030",""
"","","3","106","","","","93","0","106031",""
"","1","1","106","","0.2","","3","cgg_idle_normal","106032",""
"","0","110911","106","1","0.2","0","3","cgg_talk_guts_anger","106033","cgg_idle_guts_anger"
"","1.4","110911","106","","0.2","","12","11","106034",""
"","","3","106","","","","93","0","106035",""
"","1","110911","106","","0.2","","3","cgg_idle_def","106036",""
"","0","1","106","1","0.2","0","3","cgg_surprise1","106037","cgg_idle_surprise1"
"","1.4","1","106","","0.2","","12","4","106038",""
"","","3","106","","","","93","0","106039",""
"","1","1","106","","0.2","","3","cgg_idle_normal","106040",""
"","1","110911","106","","0.2","","3","cgg_talk_joy3_blink","106041",""
"","1.4","110911","106","","0.2","","12","10","106042",""
"","","3","106","","","","93","0","106043",""
"","","106028","106","","","","101","0","106044",""
"","","0","106","","","","22","0.5","106045",""
"","1","1","106","0","0.1","0","6","1","106046","1"
"","1","110911","106","0","0.1","0","6","1","106047","1"
"","","0.1","106","","","","93","0","106048",""
"","1","1","106","","0","","3","cgg_idle_normal","106049",""
"","1","110911","106","","0","","3","cgg_idle_def","106050",""
"cgg_idle_normal","100","1","201","-230","160","0","5","1","201001","-420"
"cgg_idle_def","100","1","201","-230","1.6","1","1","100411","201002","420"
"","1","1","201","1","0.1","0","6","1","201003","1"
"","1","100411","201","1","0.1","0","6","1","201004","1"
"","","0.2","201","","","","93","0","201005",""
"","0","vo_minigame_1007","201","","","","21","vo_minigame_1007_top_talk_7_013","201006","0"
"0","7","100411","201","0","0","0","11","ねぇねぇにいちゃん！\nグッズが半分くらい\n集まってるよ！\nあとちょっとだね！","201007","0"
"","1","1","201","","0.2","","3","cgg_idle_reaction2","201008",""
"","1","100411","201","","0.2","","3","cgg_talk_joy1_normal","201009",""
"","","1.3","201","","","","93","0","201010",""
"","0","1","201","1","0.2","0","3","cgg_talk_doya","201011","cgg_idle_doya"
"","1","100411","201","","0.2","","3","cgg_talk_surprise_kira","201012",""
"","","2.7","201","","","","93","0","201013",""
"","0","1","201","1","0.2","0.2","3","cgg_talk_handsup","201014","cgg_idle_reaction1"
"","0","100411","201","1","0.2","0","3","cgg_talk_guts","201015","cgg_idle_guts"
"","","201007","201","","","","91","","201016",""
"","","0.5","201","","","","93","0","201017",""
"","1","100411","201","","0.2","","3","cgg_idle_def","201018",""
"","1","1","201","","0.2","","3","cgg_idle_surprise3","201019",""
"","1.4","1","201","","0.2","","12","6","201020",""
"","","3","201","","","","93","0","201021",""
"","1","1","201","","0.2","","3","cgg_idle_normal","201022",""
"","1","100411","201","","0.2","","3","cgg_talk_surprise_kira","201023",""
"","1.4","100411","201","","0.2","","12","7","201024",""
"","","3","201","","","","93","0","201025",""
"","1","100411","201","","0.2","","3","cgg_idle_def","201026",""
"","0","1","201","1","0.2","0","3","cgg_talk_handsup","201027","cgg_idle_reaction1"
"","1.4","1","201","","0.2","","12","11","201028",""
"","","3","201","","","","93","0","201029",""
"","1","1","201","","0.2","","3","cgg_idle_normal","201030",""
"","1","100411","201","","0.2","","3","cgg_talk_joy1","201031",""
"","1.4","100411","201","","0.2","","12","10","201032",""
"","","3","201","","","","93","0","201033",""
"","","201018","201","","","","101","0","201034",""
"","","0","201","","","","22","0.5","201035",""
"","1","1","201","0","0.1","0","6","1","201036","1"
"","1","100411","201","0","0.1","0","6","1","201037","1"
"","","0.1","201","","","","93","0","201038",""
"","1","1","201","","0","","3","cgg_idle_normal","201039",""
"","1","100411","201","","0","","3","cgg_idle_def","201040",""
"cgg_idle_normal","100","1","202","-230","160","0","5","1","202001","-420"
"cgg_idle_def","100","1","202","-230","1.6","1","1","102011","202002","420"
"","1","1","202","1","0.1","0","6","1","202003","1"
"","1","102011","202","1","0.1","0","6","1","202004","1"
"","","0.2","202","","","","93","0","202005",""
"","0","vo_minigame_1007","202","","","","21","vo_minigame_1007_top_talk_8_014","202006","0"
"0","5","102011","202","0","0","0","11","すごいね～♪\n全部そろったところが\n見てみたいな～♪","202007","0"
"","1","1","202","","0.2","","3","cgg_idle_reaction1","202008",""
"","1","102011","202","","0.2","","3","cgg_talk_joy3","202009",""
"","","2","202","","","","93","0","202010",""
"","1","1","202","","0.2","","3","cgg_idle_nod","202011",""
"","1","102011","202","","0.2","","3","cgg_talk_wish","202012",""
"","","202007","202","","","","91","","202013",""
"","","0.5","202","","","","93","0","202014",""
"","1","102011","202","","0.2","","3","cgg_idle_def","202015",""
"","1","1","202","","0.2","","3","cgg_idle_reaction3","202016",""
"","1.4","1","202","","0.2","","12","6","202017",""
"","","3","202","","","","93","0","202018",""
"","1","1","202","","0.2","","3","cgg_idle_normal","202019",""
"","1","102011","202","","0.2","","3","cgg_talk_joy1_normal","202020",""
"","1.4","102011","202","","0.2","","12","11","202021",""
"","","3","202","","","","93","0","202022",""
"","1","102011","202","","0.2","","3","cgg_idle_def","202023",""
"","0","1","202","1","0.2","0","3","cgg_talk_guts2","202024","cgg_idle_guts2"
"","1.4","1","202","","0.2","","12","11","202025",""
"","","3","202","","","","93","0","202026",""
"","1","1","202","","0.2","","3","cgg_idle_normal","202027",""
"","1","102011","202","","0.2","","3","cgg_talk_joy3","202028",""
"","1.4","102011","202","","0.2","","12","7","202029",""
"","","3","202","","","","93","0","202030",""
"","","202015","202","","","","101","0","202031",""
"","","0","202","","","","22","0.5","202032",""
"","1","1","202","0","0.1","0","6","1","202033","1"
"","1","102011","202","0","0.1","0","6","1","202034","1"
"","","0.1","202","","","","93","0","202035",""
"","1","1","202","","0","","3","cgg_idle_normal","202036",""
"","1","102011","202","","0","","3","cgg_idle_def","202037",""
"cgg_idle_normal","100","1","203","-230","160","0","5","1","203001","-420"
"cgg_idle_def","100","1","203","-230","1.6","1","1","103611","203002","420"
"","1","1","203","1","0.1","0","6","1","203003","1"
"","1","103611","203","1","0.1","0","6","1","203004","1"
"","","0.2","203","","","","93","0","203005",""
"","0","vo_minigame_1007","203","","","","21","vo_minigame_1007_top_talk_9_015","203006","0"
"0","6","103611","203","0","0","0","11","あと少しですね\n全部揃えられたら\n褒めてあげます\n…頑張ってください","203007","0"
"","0","1","203","1","0.2","0","3","cgg_talk_arm_crossed","203008","cgg_idle_arm_crossed"
"","1","103611","203","","0.2","","3","cgg_talk_normal","203009",""
"","","1.9","203","","","","93","0","203010",""
"","1","1","203","","0.2","","3","cgg_idle_surprise1","203011",""
"","1","103611","203","","0.2","","3","cgg_talk_joy3_blink","203012",""
"","","3.1","203","","","","93","0","203013",""
"","0","1","203","1","0.2","0","3","cgg_talk_guts2","203014","cgg_idle_guts2"
"","1","103611","203","","0.2","","3","cgg_talk_surprise_dere","203015",""
"","","203007","203","","","","91","","203016",""
"","","0.5","203","","","","93","0","203017",""
"","1","103611","203","","0.2","","3","cgg_idle_def","203018",""
"","0","1","203","1","0.2","0","3","cgg_talk_nod","203019","cgg_idle_nod"
"","1.4","1","203","","0.2","","12","6","203020",""
"","","3","203","","","","93","0","203021",""
"","1","1","203","","0.2","","3","cgg_idle_normal","203022",""
"","1","103611","203","","0.2","","3","cgg_talk_joy1","203023",""
"","1.4","103611","203","","0.2","","12","10","203024",""
"","","3","203","","","","93","0","203025",""
"","1","103611","203","","0.2","","3","cgg_idle_def","203026",""
"","0","1","203","1","0.2","0","3","cgg_talk_guts1","203027","cgg_idle_guts1"
"","1.4","1","203","","0.2","","12","4","203028",""
"","","3","203","","","","93","0","203029",""
"","1","1","203","","0.2","","3","cgg_idle_normal","203030",""
"","1","103611","203","","0.2","","3","cgg_talk_joy3_dere","203031",""
"","1.4","103611","203","","0.2","","12","7","203032",""
"","","3","203","","","","93","0","203033",""
"","","203018","203","","","","101","0","203034",""
"","","0","203","","","","22","0.5","203035",""
"","1","1","203","0","0.1","0","6","1","203036","1"
"","1","103611","203","0","0.1","0","6","1","203037","1"
"","","0.1","203","","","","93","0","203038",""
"","1","1","203","","0","","3","cgg_idle_normal","203039",""
"","1","103611","203","","0","","3","cgg_idle_def","203040",""
"cgg_idle_normal","100","1","204","-230","160","0","5","1","204001","-420"
"cgg_idle_def","100","1","204","-230","1.6","1","1","102811","204002","420"
"","1","1","204","1","0.1","0","6","1","204003","1"
"","1","102811","204","1","0.1","0","6","1","204004","1"
"","","0.2","204","","","","93","0","204005",""
"","0","vo_minigame_1007","204","","","","21","vo_minigame_1007_top_talk_10_016","204006","0"
"0","6","102811","204","0","0","0","11","こんなに\nグッズ集めたの？\nやるわね…あたしも\n集めようかしら","204007","0"
"","0","1","204","1","0.2","0","3","cgg_talk_doya","204008","cgg_idle_doya"
"","0","102811","204","1","0.2","0","3","cgg_surprise","204009","cgg_talk_surprise1"
"","","2.5","204","","","","93","0","204010",""
"","1","1","204","","0.2","","3","cgg_idle_reaction5","204011",""
"","1","102811","204","","0.2","","3","cgg_talk_bitter","204012",""
"","","204007","204","","","","91","","204013",""
"","","0.5","204","","","","93","0","204014",""
"","1","102811","204","","0.2","","3","cgg_idle_def","204015",""
"","0","1","204","1","0.2","0","3","cgg_talk_doya","204016","cgg_idle_doya"
"","1.4","1","204","","0.2","","12","6","204017",""
