464b5e6c466d27b5785868f74e290f878115781413a3da083efbb38d7a82b30c,4416325fe3bd34eb45fa882ad5b4e5f654e3ef364a4114043f7616313864b994,4e52755168c49be9625b8400621d0059c805abe0b18be55764909d35c8149573,acef9da885a0d9fcd6f5e2dd000adbec1fe4b133ca812169b8bb97044a5c23c0,e80c19bdf1a4f49defe862059dc7af5976e410937261558659a9de2900a10669,bb20037a3f06dfb4aa637a4d7f8f538d207be16722017560a85da4dbcc5f431c,1ed94dbd8bd55a358cde0334292fe76eacb046ab1d9e766f3396748571c9f265,6db8d1c6afe158fcc815e0ee3bef8eb76f24e61288e75a20eefa3b8d0dcbddec,720b14065f95a84f751ed69cd09fa6c300da7c2f3dc4ea9b4c71beadd20d5ccb,d843f06d823c1a569a41d1fb75cbf9b793dc4eb60f1ae980dd61b6253b6013c2,907c81c5878afc89a389329c8afc4a9652698ffa957b6a86108b8488bdc58b11
"drama_idle_sad","","","129811","3","3","3013","0.2","","1",""
"drama_talk_arm_crossed_in","1","","129911","3","3","3014","0.2","","0","drama_talk_arm_crossed_loop"
"vo_minigame_1013_top_talk_3_002","","","vo_minigame_1013","3","21","3015","","","0","0"
"では新兵たちにも\n実践的教育の良さを\n身をもって体験して\nいただきましょう","0","0.3","129911","3","11","3016","0","0","6","1"
"","","","0","3","91","3017","","","",""
"drama_idle","","","129811","3","3","3018","0.2","","1",""
"drama_idle","","","129911","3","3","3019","0.2","","1",""
"129811","-224","drama_idle","1","4","1","4001","1.65","1","100","167"
"129911","-224","drama_idle","1","4","1","4002","1.65","0","100","-49"
"drama_idle","","","129911","4","3","4003","0.2","","1",""
"drama_talk_doya_in_shy","1","","129811","4","3","4004","0.2","","0","drama_talk_doya_loop_shy"
"vo_minigame_1013_top_talk_4_000","","","vo_minigame_1013","4","21","4005","","","0","0"
"あたしもどちらかと\n言えば感覚派だから、\n人に物を教えるのって\n少し苦手なんだよなぁ","0","0.3","129811","4","11","4006","0","0","7","1"
"","","","0","4","91","4007","","","",""
"drama_idle_doya_shy","","","129811","4","3","4008","0.2","","1",""
"drama_talk_wish_in","1","","129911","4","3","4009","0.2","","0","drama_talk_wish_loop"
"vo_minigame_1013_top_talk_4_001","","","vo_minigame_1013","4","21","4010","","","0","0"
"信じ合える間柄なら\n言葉などなくても\n伝わりますわ。私と\nあのおかたのように…","0","0.5","129911","4","11","4011","0","0","5","1"
"","","","0","4","91","4012","","","",""
"drama_idle_wish","","","129911","4","3","4013","0.2","","1",""
"drama_idle_thinking_shy","0","","129811","4","3","4014","0.2","","1",""
"vo_minigame_1013_top_talk_4_002","","","vo_minigame_1013","4","21","4015","","","0","0"
"（なるほど、それなら\nあいつにもちゃんと…\nって、何考えてるんだ\nあたしは～っ！）","0","0","129811","4","11","4016","0","0","8","1"
"","","","0","4","91","4017","","","",""
"drama_idle","","","129911","4","3","4018","0.2","","1",""
"drama_idle","","","129811","4","3","4019","0.2","","1",""
"129811","-224","drama_idle","1","5","1","5001","1.65","1","100","167"
"129911","-224","drama_idle","1","5","1","5002","1.65","0","100","-49"
"drama_idle","","","129811","5","3","5003","0.2","","1",""
"drama_talk_thinking","","","129911","5","3","5004","0.2","","1",""
"vo_minigame_1013_top_talk_5_000","","","vo_minigame_1013","5","21","5005","","","0","0"
"訓練で成果を出せば\nそれだけ勲章も輝きを\n増すというもの…\n素晴らしいですわ","0","0.8","129911","5","11","5006","0","0","6","1"
"","","","0","5","91","5007","","","",""
"drama_idle_thinking","","","129911","5","3","5008","0.2","","1",""
"drama_talk_wonder_in","1","","129811","5","3","5009","0.2","","0","drama_talk_wonder_loop"
"vo_minigame_1013_top_talk_5_001","","","vo_minigame_1013","5","21","5010","","","0","0"
"動機は不純だけど、\nやっぱ教官としては\n優秀なんだよな～…\n不思議なもんだぜ","0","0.3","129811","5","11","5011","0","0","7","1"
"","","","0","5","91","5012","","","",""
"drama_idle_wonder","","","129811","5","3","5013","0.2","","1",""
"drama_talk_memory","","","129911","5","3","5014","0.2","","1",""
"vo_minigame_1013_top_talk_5_002","","","vo_minigame_1013","5","21","5015","","","0","0"
"「さすがエリコだね！\n伴侶の僕も、とても\n誇らしいよ」なんて…\nクスクスクス…","0","0.5","129911","5","11","5016","0","0","5","1"
"","","","0","5","91","5017","","","",""
"drama_idle","","","129811","5","3","5018","0.2","","1",""
"drama_idle","","","129911","5","3","5019","0.2","","1",""
"129811","-224","drama_idle","1","6","1","6001","1.65","1","100","167"
"129911","-224","drama_idle","1","6","1","6002","1.65","0","100","-49"
"drama_idle","","","129911","6","3","6003","0.2","","1",""
"drama_talk_thinking_shy","","","129811","6","3","6004","0.2","","1",""
"vo_minigame_1013_top_talk_6_000","","","vo_minigame_1013","6","21","6005","","","0","0"
"あたしも教官の仕事を\n頑張れば、あいつに\n喜んでもらえたり\nするのかな…","0","0.3","129811","6","11","6006","0","0","8","1"
"","","","0","6","91","6007","","","",""
"drama_idle_thinking_shy","","","129811","6","3","6008","0.2","","1",""
"drama_talk_doubt_in","1","","129911","6","3","6009","0.2","","0","drama_talk_doubt_loop"
"vo_minigame_1013_top_talk_6_001","","","vo_minigame_1013","6","21","6010","","","0","0"
"マコトさん？\nどうかしましたか？\n何やら不穏な気配を\n感じ取ったのですが","0","0.8","129911","6","11","6011","0","0","6","1"
"","","","0","6","91","6012","","","",""
"drama_idle_doubt","","","129911","6","3","6013","0.2","","1",""
"drama_talk_surprise_in_shy","1","","129811","6","3","6014","0.2","","0","drama_talk_surprise_loop_shy"
"vo_minigame_1013_top_talk_6_002","","","vo_minigame_1013","6","21","6015","","","0","0"
"いやいや何でもない！\nあたしは別に変なこと\n考えてないからな！\nそれより訓練だっ！","0","0.3","129811","6","11","6016","0","0","9","1"
"","","","0","6","91","6017","","","",""
"drama_idle","","","129911","6","3","6018","0.2","","1",""
"drama_idle","","","129811","6","3","6019","0.2","","1",""
"129811","-224","drama_idle","1","7","1","7001","1.65","1","100","167"
"129911","-224","drama_idle","1","7","1","7002","1.65","0","100","-49"
"drama_idle","","","129811","7","3","7003","0.2","","1",""
"drama_talk_arm_crossed_in","1","","129911","7","3","7004","0.2","","0","drama_talk_arm_crossed_loop"
"vo_minigame_1013_top_talk_7_000","","","vo_minigame_1013","7","21","7005","","","0","0"
"私の班のみなさんも\n変わらず訓練に励んで\nいるようですわね\n殊勝なことです","0","0.3","129911","7","11","7006","0","0","6","1"
"","","","0","7","91","7007","","","",""
"drama_idle_arm_crossed","","","129911","7","3","7008","0.2","","1",""
"drama_talk_guts2_in","1","","129811","7","3","7009","0.2","","0","drama_talk_guts2_loop"
"vo_minigame_1013_top_talk_7_001","","","vo_minigame_1013","7","21","7010","","","0","0"
"エリコ班の急成長は\n騎士団の中でも話題に\nなってたからな\nホントすげえ奴等だよ","0","0","129811","7","11","7011","0","0","6","1"
"","","","0","7","91","7012","","","",""
"drama_idle_guts2","","","129811","7","3","7013","0.2","","1",""
"drama_talk_thinking","","","129911","7","3","7014","0.2","","1",""
"vo_minigame_1013_top_talk_7_002","","","vo_minigame_1013","7","21","7015","","","0","0"
"彼らが私に逆らわずに\n努力したからこそ、\n得たものもありますし\n…感謝しておきますわ","0","0.5","129911","7","11","7016","0","0","6","1"
"","","","0","7","91","7017","","","",""
"drama_idle","","","129811","7","3","7018","0.2","","1",""
"drama_idle","","","129911","7","3","7019","0.2","","1",""
"129811","-224","drama_idle","1","8","1","8001","1.65","1","100","167"
"129911","-224","drama_idle","1","8","1","8002","1.65","0","100","-49"
"drama_idle","","","129911","8","3","8003","0.2","","1",""
"drama_talk_doya_in_smile","1","","129811","8","3","8004","0.2","","0","drama_talk_doya_loop_smile"
"vo_minigame_1013_top_talk_8_000","","","vo_minigame_1013","8","21","8005","","","0","0"
"マコト班のみんなも、\nしっかり頑張って\nくれてるみたいだ\n教官としても嬉しいぜ","0","0.3","129811","8","11","8006","0","0","7","1"
"","","","0","8","91","8007","","","",""
"drama_idle_doya_smile","","","129811","8","3","8008","0.2","","1",""
"drama_talk_arm_crossed_in","1","","129911","8","3","8009","0.2","","0","drama_talk_arm_crossed_loop"
"vo_minigame_1013_top_talk_8_001","","","vo_minigame_1013","8","21","8010","","","0","0"
"訓練もそつなくこなす\nまさに優等生でしたわ\nまあ私の班の成績には\n及びませんでしたが","0","0.8","129911","8","11","8011","0","0","5","1"
"","","","0","8","91","8012","","","",""
"drama_idle_arm_crossed","","","129911","8","3","8013","0.2","","1",""
"drama_talk_anger","","","129811","8","3","8014","0.2","","1",""
"vo_minigame_1013_top_talk_8_002","","","vo_minigame_1013","8","21","8015","","","0","0"
"くっ、そう言われると\n悔しいな…！\nならこの行軍訓練で\n逆転してやるぜ！","0","0.3","129811","8","11","8016","0","0","7","1"
"","","","0","8","91","8017","","","",""
"drama_idle","","","129811","8","3","8018","0.2","","1",""
"drama_idle","","","129911","8","3","8019","0.2","","1",""
"129811","-224","drama_idle","1","30","1","30001","1.65","1","100","167"
"129911","-224","drama_idle","1","30","1","30002","1.65","0","100","-49"
"drama_idle","","","129811","30","3","30003","0.2","","1",""
"drama_idle","","","129911","30","3","30004","0.2","","1",""
"0","","","0.5","30","93","30005","","","",""
"","","","2","30","26","30006","","","",""
"10","0.9","","-80","30","121","30007","3","","1.2","1.2"
"drama_joy_eriko","","","129911","30","3","30008","0.2","0.2","0",""
"1","","","1","30","140","30009","","","0",""
"129811","-224","drama_idle","1","31","1","31001","1.65","1","100","167"
"129911","-224","drama_idle","1","31","1","31002","1.65","0","100","-49"
"drama_idle","","","129811","31","3","31003","0.2","","1",""
"drama_idle","","","129911","31","3","31004","0.2","","1",""
"0","","","0.5","31","93","31005","","","",""
"","","","2","31","26","31006","","","",""
"10","0.9","","-80","31","121","31007","3","","1.2","1.2"
"drama_joy_makoto","","","129811","31","3","31008","0.2","0.2","0",""
"2","","","1","31","140","31009","","","0",""
"1","28","drama_talk_1","0","32","5","32001","0.28","1","1","320"
"2","28","drama_talk_2","0","32","5","32002","0.28","0","0","228"
"3","64","drama_swing","0","32","5","32003","0.26","1","90","45"
"4","-23","drama_streach","0","32","5","32004","0.3","0","91","-187"
"0","","","1","32","93","32005","","","",""
"drama_joy","","","1","32","3","32006","0.2","","0",""
"drama_joy","","","2","32","3","32007","0.2","","0",""
"drama_joy","","","3","32","3","32008","0.2","","0",""
"drama_joy","","","4","32","3","32009","0.2","","0",""
"0","","","1.5","32","93","32010","","","",""
"1","28","drama_talk_1","0","33","5","33001","0.28","1","1","320"
"2","28","drama_talk_2","0","33","5","33002","0.28","0","0","228"
"3","64","drama_swing","0","33","5","33003","0.26","1","90","45"
"4","-23","drama_streach","0","33","5","33004","0.3","0","91","-187"
