54b037ae59f5e80493059834e9e6b5cb51653d7ac30159e7ec14db769e4ec9f1,387db111f487d72bfa658d82cb1b6de438c4fe0823e2b598b03d3456cd06b2c3,2ae25aeb234d759b0f10a32c98ad0ecc6c57da6db345b26ccad364b468419cdd,4cb3a04ad37ca2d9d2cddf8d71afc2988bcabf2bb4928c924727fcb4709fa284,fa98773a1e96a40624f38b83254cfcd1ebac7f7a8c28cd21579a833d768b6f1e,a6fa79634db0240cd87a1ce143df11a2beddc03fcb506a517b098cc8424f72e1,5e6d63655bd70c47fb233f7c828422e5c6d9b97a62551100c1b0317c3d89182c,6dfbc9c665a3a4a5c4c7691f33b825c7091e69a3953c9c2ffd6804831235b277,8a9bc52c20fc56ac9a157d3a4b8ccc60654bfafe61cb4b79eef4d04aa69d9ee9,e67999b76f126575038a29c7a8cc36ec0d038becd5bd588a95ed7e8e59bb6351,65068262e41aaffb25b359fc2be58ece73c4055963a7040d8c6b3be5bdd77e74
"3016","6","3","1","0.3","129911","0","11","0","では新兵たちにも\n実践的教育の良さを\n身をもって体験して\nいただきましょう","0"
"3017","","3","","","0","","91","","",""
"3018","1","3","","","129811","","3","0.2","drama_idle",""
"3019","1","3","","","129911","","3","0.2","drama_idle",""
"4001","100","4","167","drama_idle","1","-224","1","1.65","129811","1"
"4002","100","4","-49","drama_idle","1","-224","1","1.65","129911","0"
"4003","1","4","","","129911","","3","0.2","drama_idle",""
"4004","0","4","drama_talk_doya_loop_shy","","129811","1","3","0.2","drama_talk_doya_in_shy",""
"4005","0","4","0","","vo_minigame_1013","","21","","vo_minigame_1013_top_talk_4_000",""
"4006","7","4","1","0.3","129811","0","11","0","あたしもどちらかと\n言えば感覚派だから、\n人に物を教えるのって\n少し苦手なんだよなぁ","0"
"4007","","4","","","0","","91","","",""
"4008","1","4","","","129811","","3","0.2","drama_idle_doya_shy",""
"4009","0","4","drama_talk_wish_loop","","129911","1","3","0.2","drama_talk_wish_in",""
"4010","0","4","0","","vo_minigame_1013","","21","","vo_minigame_1013_top_talk_4_001",""
"4011","5","4","1","0.5","129911","0","11","0","信じ合える間柄なら\n言葉などなくても\n伝わりますわ。私と\nあのおかたのように…","0"
"4012","","4","","","0","","91","","",""
"4013","1","4","","","129911","","3","0.2","drama_idle_wish",""
"4014","1","4","","","129811","0","3","0.2","drama_idle_thinking_shy",""
"4015","0","4","0","","vo_minigame_1013","","21","","vo_minigame_1013_top_talk_4_002",""
"4016","8","4","1","0","129811","0","11","0","（なるほど、それなら\nあいつにもちゃんと…\nって、何考えてるんだ\nあたしは～っ！）","0"
"4017","","4","","","0","","91","","",""
"4018","1","4","","","129911","","3","0.2","drama_idle",""
"4019","1","4","","","129811","","3","0.2","drama_idle",""
"5001","100","5","167","drama_idle","1","-224","1","1.65","129811","1"
"5002","100","5","-49","drama_idle","1","-224","1","1.65","129911","0"
"5003","1","5","","","129811","","3","0.2","drama_idle",""
"5004","1","5","","","129911","","3","0.2","drama_talk_thinking",""
"5005","0","5","0","","vo_minigame_1013","","21","","vo_minigame_1013_top_talk_5_000",""
"5006","6","5","1","0.8","129911","0","11","0","訓練で成果を出せば\nそれだけ勲章も輝きを\n増すというもの…\n素晴らしいですわ","0"
"5007","","5","","","0","","91","","",""
"5008","1","5","","","129911","","3","0.2","drama_idle_thinking",""
"5009","0","5","drama_talk_wonder_loop","","129811","1","3","0.2","drama_talk_wonder_in",""
"5010","0","5","0","","vo_minigame_1013","","21","","vo_minigame_1013_top_talk_5_001",""
"5011","7","5","1","0.3","129811","0","11","0","動機は不純だけど、\nやっぱ教官としては\n優秀なんだよな～…\n不思議なもんだぜ","0"
"5012","","5","","","0","","91","","",""
"5013","1","5","","","129811","","3","0.2","drama_idle_wonder",""
"5014","1","5","","","129911","","3","0.2","drama_talk_memory",""
"5015","0","5","0","","vo_minigame_1013","","21","","vo_minigame_1013_top_talk_5_002",""
"5016","5","5","1","0.5","129911","0","11","0","「さすがエリコだね！\n伴侶の僕も、とても\n誇らしいよ」なんて…\nクスクスクス…","0"
"5017","","5","","","0","","91","","",""
"5018","1","5","","","129811","","3","0.2","drama_idle",""
"5019","1","5","","","129911","","3","0.2","drama_idle",""
"6001","100","6","167","drama_idle","1","-224","1","1.65","129811","1"
"6002","100","6","-49","drama_idle","1","-224","1","1.65","129911","0"
"6003","1","6","","","129911","","3","0.2","drama_idle",""
"6004","1","6","","","129811","","3","0.2","drama_talk_thinking_shy",""
"6005","0","6","0","","vo_minigame_1013","","21","","vo_minigame_1013_top_talk_6_000",""
"6006","8","6","1","0.3","129811","0","11","0","あたしも教官の仕事を\n頑張れば、あいつに\n喜んでもらえたり\nするのかな…","0"
"6007","","6","","","0","","91","","",""
"6008","1","6","","","129811","","3","0.2","drama_idle_thinking_shy",""
"6009","0","6","drama_talk_doubt_loop","","129911","1","3","0.2","drama_talk_doubt_in",""
"6010","0","6","0","","vo_minigame_1013","","21","","vo_minigame_1013_top_talk_6_001",""
"6011","6","6","1","0.8","129911","0","11","0","マコトさん？\nどうかしましたか？\n何やら不穏な気配を\n感じ取ったのですが","0"
"6012","","6","","","0","","91","","",""
"6013","1","6","","","129911","","3","0.2","drama_idle_doubt",""
"6014","0","6","drama_talk_surprise_loop_shy","","129811","1","3","0.2","drama_talk_surprise_in_shy",""
"6015","0","6","0","","vo_minigame_1013","","21","","vo_minigame_1013_top_talk_6_002",""
"6016","9","6","1","0.3","129811","0","11","0","いやいや何でもない！\nあたしは別に変なこと\n考えてないからな！\nそれより訓練だっ！","0"
"6017","","6","","","0","","91","","",""
"6018","1","6","","","129911","","3","0.2","drama_idle",""
"6019","1","6","","","129811","","3","0.2","drama_idle",""
"7001","100","7","167","drama_idle","1","-224","1","1.65","129811","1"
"7002","100","7","-49","drama_idle","1","-224","1","1.65","129911","0"
"7003","1","7","","","129811","","3","0.2","drama_idle",""
"7004","0","7","drama_talk_arm_crossed_loop","","129911","1","3","0.2","drama_talk_arm_crossed_in",""
"7005","0","7","0","","vo_minigame_1013","","21","","vo_minigame_1013_top_talk_7_000",""
"7006","6","7","1","0.3","129911","0","11","0","私の班のみなさんも\n変わらず訓練に励んで\nいるようですわね\n殊勝なことです","0"
"7007","","7","","","0","","91","","",""
"7008","1","7","","","129911","","3","0.2","drama_idle_arm_crossed",""
"7009","0","7","drama_talk_guts2_loop","","129811","1","3","0.2","drama_talk_guts2_in",""
"7010","0","7","0","","vo_minigame_1013","","21","","vo_minigame_1013_top_talk_7_001",""
"7011","6","7","1","0","129811","0","11","0","エリコ班の急成長は\n騎士団の中でも話題に\nなってたからな\nホントすげえ奴等だよ","0"
"7012","","7","","","0","","91","","",""
"7013","1","7","","","129811","","3","0.2","drama_idle_guts2",""
"7014","1","7","","","129911","","3","0.2","drama_talk_thinking",""
"7015","0","7","0","","vo_minigame_1013","","21","","vo_minigame_1013_top_talk_7_002",""
"7016","6","7","1","0.5","129911","0","11","0","彼らが私に逆らわずに\n努力したからこそ、\n得たものもありますし\n…感謝しておきますわ","0"
"7017","","7","","","0","","91","","",""
"7018","1","7","","","129811","","3","0.2","drama_idle",""
"7019","1","7","","","129911","","3","0.2","drama_idle",""
"8001","100","8","167","drama_idle","1","-224","1","1.65","129811","1"
"8002","100","8","-49","drama_idle","1","-224","1","1.65","129911","0"
"8003","1","8","","","129911","","3","0.2","drama_idle",""
"8004","0","8","drama_talk_doya_loop_smile","","129811","1","3","0.2","drama_talk_doya_in_smile",""
"8005","0","8","0","","vo_minigame_1013","","21","","vo_minigame_1013_top_talk_8_000",""
"8006","7","8","1","0.3","129811","0","11","0","マコト班のみんなも、\nしっかり頑張って\nくれてるみたいだ\n教官としても嬉しいぜ","0"
"8007","","8","","","0","","91","","",""
"8008","1","8","","","129811","","3","0.2","drama_idle_doya_smile",""
"8009","0","8","drama_talk_arm_crossed_loop","","129911","1","3","0.2","drama_talk_arm_crossed_in",""
"8010","0","8","0","","vo_minigame_1013","","21","","vo_minigame_1013_top_talk_8_001",""
"8011","5","8","1","0.8","129911","0","11","0","訓練もそつなくこなす\nまさに優等生でしたわ\nまあ私の班の成績には\n及びませんでしたが","0"
"8012","","8","","","0","","91","","",""
"8013","1","8","","","129911","","3","0.2","drama_idle_arm_crossed",""
"8014","1","8","","","129811","","3","0.2","drama_talk_anger",""
"8015","0","8","0","","vo_minigame_1013","","21","","vo_minigame_1013_top_talk_8_002",""
"8016","7","8","1","0.3","129811","0","11","0","くっ、そう言われると\n悔しいな…！\nならこの行軍訓練で\n逆転してやるぜ！","0"
"8017","","8","","","0","","91","","",""
"8018","1","8","","","129811","","3","0.2","drama_idle",""
"8019","1","8","","","129911","","3","0.2","drama_idle",""
"30001","100","30","167","drama_idle","1","-224","1","1.65","129811","1"
"30002","100","30","-49","drama_idle","1","-224","1","1.65","129911","0"
"30003","1","30","","","129811","","3","0.2","drama_idle",""
"30004","1","30","","","129911","","3","0.2","drama_idle",""
"30005","","30","","","0.5","","93","","0",""
"30006","","30","","","2","","26","","",""
"30007","1.2","30","1.2","","-80","0.9","121","3","10",""
"30008","0","30","","","129911","","3","0.2","drama_joy_eriko","0.2"
"30009","0","30","","","1","","140","","1",""
"31001","100","31","167","drama_idle","1","-224","1","1.65","129811","1"
"31002","100","31","-49","drama_idle","1","-224","1","1.65","129911","0"
"31003","1","31","","","129811","","3","0.2","drama_idle",""
"31004","1","31","","","129911","","3","0.2","drama_idle",""
"31005","","31","","","0.5","","93","","0",""
"31006","","31","","","2","","26","","",""
"31007","1.2","31","1.2","","-80","0.9","121","3","10",""
"31008","0","31","","","129811","","3","0.2","drama_joy_makoto","0.2"
"31009","0","31","","","1","","140","","2",""
"32001","1","32","320","drama_talk_1","0","28","5","0.28","1","1"
"32002","0","32","228","drama_talk_2","0","28","5","0.28","2","0"
"32003","90","32","45","drama_swing","0","64","5","0.26","3","1"
"32004","91","32","-187","drama_streach","0","-23","5","0.3","4","0"
"32005","","32","","","1","","93","","0",""
"32006","0","32","","","1","","3","0.2","drama_joy",""
"32007","0","32","","","2","","3","0.2","drama_joy",""
"32008","0","32","","","3","","3","0.2","drama_joy",""
"32009","0","32","","","4","","3","0.2","drama_joy",""
"32010","","32","","","1.5","","93","","0",""
"33001","1","33","320","drama_talk_1","0","28","5","0.28","1","1"
"33002","0","33","228","drama_talk_2","0","28","5","0.28","2","0"
"33003","90","33","45","drama_swing","0","64","5","0.26","3","1"
"33004","91","33","-187","drama_streach","0","-23","5","0.3","4","0"
