30a328b23b84afdeeed2e23565b31e4ce5f66cc0d50ff1f5332a31fad59fa73c,ed404310503eea269c050b6590f40762f73068bca3a37640c5e50f16658ef83b,765ae8da837881735f35d5b56ae30902c1eee20d4628dfe8a6b2c7a07f1e28d6,b0ab7fe394d2cba5cafd1c1b831713d6273ea39f38cb83ddc573b13a0fbc290e,8740d3df12eda3888a9b281b2c1492d22db79eca39833670cdd13e166d8eae0a,2b050a7c4c054108de2588c9d1e0834ddc6f177acaf4412467a3928741cf9263,8a364e8d59fd368e4af4a48c8dc18817361a893528635f66c55790941b4f06e2,0b451e8d75e497b466ded45dfa993fb2924a0a130f81e7213f7e63c7252bf553,e9d613acbb15c4ea3797e5fd691ca426690e2df13163378ee1310201acac596a
"","610202203","190","1","0","1.7","1","0","-45"
"","610202301","190","1","0","1.4","1","0","-55"
"","610202302","190","1","0","1.7","1","0","-45"
"","610202303","190","1","0","1.7","1","0","-45"
"","610202401","0","0","0","1","2","-200","0"
"","610202402","0","0","0","1","3","-140","0"
"","610202403","0","0","0","1","4","-60","0"
"","610202404","0","0","0","1","5","-60","0"
"","610202501","0","0","0","1","2","-200","0"
"","610202502","0","0","0","1","3","-140","0"
"","610202503","0","0","0","1","4","-60","0"
"","610202504","0","0","0","1","5","-60","0"
"","610203101","190","1","0","1.03","1","0","-80"
"","610203201","190","1","0","0.66","1","0","-42"
"","610203202","190","1","0","1.03","1","0","-80"
"","610203203","190","1","0","1.03","1","0","-80"
"","610203301","190","1","0","0.66","1","0","-42"
"","610203302","190","1","0","1.03","1","0","-80"
"","610203303","190","1","0","1.03","1","0","-80"
"","610203401","0","0","0","0.78","2","-200","0"
"","610203402","0","0","0","0.78","3","-140","0"
"","610203403","0","0","0","0.78","4","-60","0"
"","610203404","0","0","0","0.78","5","-30","0"
"","610203501","0","0","0","0.78","2","-200","0"
"","610203502","0","0","0","0.78","3","-140","0"
"","610203503","0","0","0","0.78","4","-60","0"
"","610203504","0","0","0","0.78","5","-30","0"
"","610204101","305","1","0","1.75","1","0","-65"
"","610204201","305","1","0","1.4","1","0","-55"
"","610204202","305","1","0","1.75","1","0","-65"
"","610204203","305","1","0","1.75","1","0","-65"
"","610204301","305","1","0","1.4","1","0","-55"
"","610204302","305","1","0","1.75","1","0","-65"
"","610204303","305","1","0","1.75","1","0","-65"
"","610204401","0","0","0","0.85","2","-200","0"
"","610204402","0","0","0","0.85","3","-140","0"
"","610204403","0","0","0","1","4","-60","0"
"","610204404","0","0","0","1","5","-60","0"
"","610204501","0","0","0","0.85","2","-200","0"
"","610204502","0","0","0","0.85","3","-140","0"
"","610204503","0","0","0","1","4","-60","0"
"","610204504","0","0","0","1","5","-60","0"
"","610205101","160","1","0","1.38","1","0","-60"
"","610205201","160","1","0","0.94","1","0","0"
"","610205202","160","1","0","1.38","1","0","-60"
"","610205203","160","1","0","1.38","1","0","-60"
"","610205301","160","1","0","0.94","1","0","0"
"","610205302","160","1","0","1.38","1","0","-60"
"","610205303","160","1","0","1.38","1","0","-60"
"","610205401","0","0","0","0.9","2","-200","0"
"","610205402","0","0","0","0.9","3","-140","0"
"","610205403","0","0","0","0.9","4","-60","0"
"","610205404","0","0","0","0.9","5","-60","0"
"","610205501","0","0","0","0.9","2","-200","0"
"","610205502","0","0","0","0.9","3","-140","0"
"","610205503","0","0","0","0.9","4","-60","0"
"","610205504","0","0","0","0.9","5","-60","0"
"","610206101","295","1","0","0.86","1","0","-80"
"","610206201","295","1","0","0.68","1","0","-50"
"","610206202","295","1","0","0.68","1","0","-50"
"","610206203","295","1","0","0.86","1","0","-80"
"","610206301","295","1","0","0.68","1","0","-50"
"","610206302","295","1","0","0.68","1","0","-50"
"","610206303","295","1","0","0.86","1","0","-80"
"","610206401","0","0","0","0.85","2","-200","0"
"","610206402","0","0","0","1","3","-140","0"
"","610206403","0","0","0","1","4","-60","0"
"","610206404","0","0","0","1","5","-60","0"
"","610206405","0","0","0","0.78","6","-200","0"
"","610206406","0","0","0","0.78","7","-140","0"
"","610206407","0","0","0","0.78","8","-60","0"
"","610206408","0","0","0","0.78","9","-60","0"
"","610206501","0","0","0","0.85","2","-200","0"
"","610206502","0","0","0","1","3","-140","0"
"","610206503","0","0","0","1","4","-60","0"
"","610206504","0","0","0","1","5","-60","0"
"","610206505","0","0","0","0.78","6","-200","0"
"","610206506","0","0","0","0.78","7","-140","0"
"","610206507","0","0","0","0.78","8","-60","0"
"","610206508","0","0","0","0.78","9","-60","0"
