b9ccb9f1685a6f7a9ccee3697dbdb13d339238e5da4112fd0880e2dbaaca4919,da0079a29bae460b0253ec76d62139a76cbd731d39df90f1e861581ee1c12485,65c3c47e5ccf02bbb0fd323ba2f23fd01980d6969d36e9880f64d2e125c331c7,cf605e01ef774b0fa59deac1f89109350d6614f7c3a08ab697ce6606192b5179,3188e486b84015b74575d1c14d05a6dbaa10f8a14d13454bd9d19a08610a7f59,73759112a7b7890bf014b4ce623ccf5fba56cdc3a7b7b8a2c75f1f6bd07ea2b7,df9229b08b28460f81d7548bc9905226a6bddb0bc2fc357923dd561c843abcfd,f8a2d55f331c177bc5d8847e2043479d8963008dd4e662758b05001849b671cc,f4e085d31428fdbd4c0ad3a3b17198378b983ecbf6042c896683c17d7ed73c1d,a3cbb8cc1454a93d0ccf6721b8a5786acd667111b68b6edf5166ee36a65e03d5,7243beb86b4bebb0da24039ff1bff9dc02996c1ecf78eac7a8bb6ee0d9b4dfde,e87fd510525fb9646a9a6601c6245b76a76397ff676dcd685e642f6c0ddfea75,703f19ab809987f30fdb156ed54bba5213807dbfab6defe55ac02dc211c5f4e2,56c582bc5ceb018076deaf2ee9b195c216dd397c861c24bf4dd60fe56c4cee5f,129fde9ced013ae694898df77545238f4cbaea6cc56b46e380ef46098c77c57b,2fd8dbd245674014be4d000d5235ee85873c56e0ed86edf3204e81f84c16339f,b019e7b84546397911f9ab47ef12794064bf321e490de2c0a5b2d53ca3695347,48d3c1c584c0879e82be1a07d535bb461e55b436caa28ed61663c1352281f771,eccdcd9e74df4133d851c7f84599d79ef975658a9142d67fd66de0c42989d2e7
"1.5","0","0","0","","1","1.18","0","307","58","0","2","1","-45","0","0","5","10146","610146008"
"1.5","0","0","0","","1","1.18","0","307","0","0","3","1","-45","0","0","5","10146","610146009"
"5.5","0","0","610148501","","2","1.4","3","310","0","0","1","1","-50","600","0","5","10148","610148007"
"1.5","0","0","0","","1","1.7","0","310","68","0","2","1","-50","0","0","5","10148","610148008"
"1.5","0","0","0","","1","1.7","0","310","0","0","3","1","-50","0","0","5","10148","610148009"
"5.5","0","0","0","","1","1.35","3","313","71","0","1","1","-33","0","0","5","10150","610150007"
"1.5","0","0","0","","1","1.35","3","313","50","0","2","1","-33","0","0","5","10150","610150008"
"1.5","0","0","0","","1","1.35","0","313","0","0","3","1","-33","0","0","5","10150","610150009"
"5.5","0","0","610152501","","2","0.7","4.8","316","0","0","1","1","20","600","0","5","10152","610152007"
"1.5","0","0","0","","1","0.96","0","316","81","0","2","1","30","0","0","5","10152","610152008"
"1.5","0","0","0","","1","0.96","0","316","0","0","3","1","30","0","0","5","10152","610152009"
"5.5","0","0","0","","1","1.25","3","319","68","0","1","1","-33","0","0","5","10154","610154007"
"1.5","0","0","610154502","","2","1","3","319","0","0","2","1","-10","600","0","5","10154","610154008"
"1.5","0","0","0","","1","1.25","0","319","0","0","3","1","-33","0","0","5","10154","610154009"
"5.5","0","0","610156501","","2","0.85","3","322","0","0","1","1","5","600","0","5","10156","610156007"
"1.5","0","0","0","","1","1.11","3","322","75","0","2","1","-10","600","0","5","10156","610156008"
"1.5","0","0","0","","1","1.11","0","322","0","0","3","1","-10","0","0","5","10156","610156009"
"5.5","0","0","610158501","","2","1.5","3","325","0","0","1","1","-40","600","0","5","10158","610158007"
"1.5","0","0","0","","1","1.75","0","325","65","0","2","1","-33","0","0","5","10158","610158008"
"1.5","0","0","0","","1","1.75","0","325","0","0","3","1","-33","0","0","5","10158","610158009"
"5.5","20","0","610160501","","3","1.4","4.8","328","0","0","1","1","-35","600","0","5","10160","610160007"
"1.5","0","0","0","","1","1.4","0","328","70","0","2","1","-35","0","0","5","10160","610160008"
"1.5","0","0","0","","1","1.4","0","328","0","0","3","1","-35","0","0","5","10160","610160009"
