39c9b537a52837641ad3937386290298f083224081d35dc12b283b0325fa6167,8c0bd1579d905814f0b42c70d1ca0aad5c135af0975d0ec0472891c009da61c1,5983b0a8470456b4d2a7a1df0eb4b812c0ca2d31606e269b910ff267bab6f353,ed6ca12ba2c074f992c9e5158d136be2590c9b228cf3ad0e1c52e5015d214902,d58fa2fb5ffaf308e6a08244a8eee8e650fb432d2bc63cbbd94c2b01df8129aa,f7345b8b58b946baffe92ba53554a2558201958b665fdc6ba6aaf9d74f729840,c7bd10aa2515367079e3b67ef9e492f6821165fe04665ffdac394c07cd905bc9
"2","vo_minigame_1004","1","へっ、なかなかやるじゃねえか","vo_minigame_1004_top_2_027","1001601","10016"
"1","vo_minigame_1004","2","カヤぴぃも思ったよりやるですね！","vo_minigame_1004_top_2_028","1001602","10016"
"2","vo_minigame_1004","1","お～い、ドラゴンもどき？","vo_minigame_1004_top_2_029","1001701","10017"
"3","vo_minigame_1004","2","ぐもっ！？（ヒッ！）","vo_minigame_1004_top_2_030","1001702","10017"
"2","vo_minigame_1004","1","いやあ、あんときは悪かったなはっはっは","vo_minigame_1004_top_2_031","1001801","10018"
"3","vo_minigame_1004","2","ぐももも……（かやピィ コワカッタ）","vo_minigame_1004_top_2_032","1001802","10018"
"2","vo_minigame_1004","1","お前ってさ……ほんとマヌケな顔してるよな","vo_minigame_1004_top_2_033","1001901","10019"
"3","vo_minigame_1004","2","ぐも……（オマエガ イウカ）","vo_minigame_1004_top_2_034","1001902","10019"
"3","vo_minigame_1004","2","ぐも……（ハラヘッタ チョコホシイ）","vo_minigame_1004_top_2_044","1002001","10020"
"2","vo_minigame_1004","1","なんだ？眠いのか？","vo_minigame_1004_top_2_045","1002002","10020"
"3","vo_minigame_1004","2","ぐもも（コイツ……キケン）","vo_minigame_1004_top_2_046","1002101","10021"
"2","vo_minigame_1004","1","うん？　なんだ？オレの舎弟にでもなりたいのか？","vo_minigame_1004_top_2_047","1002102","10021"
"3","vo_minigame_1004","2","ぐも…（かやピィノウキン）","vo_minigame_1004_top_2_048","1002201","10022"
"2","vo_minigame_1004","1","おい、今失礼なこと考えてるだろ？","vo_minigame_1004_top_2_049","1002202","10022"
"2","vo_minigame_1004","1","なあ、これいつまで続けるんだ？","vo_minigame_1004_top_3_058","1002301","10023"
"1","vo_minigame_1004","2","カヤぴぃが降参するまでです！","vo_minigame_1004_top_3_059","1002302","10023"
"3","vo_minigame_1004","2","ぐもも！（コウサンシロ！）","vo_minigame_1004_top_3_060","1002303","10023"
"3","vo_minigame_1004","2","ぐも！（イノリ チョコホシイ）","vo_minigame_1004_top_3_065","1002401","10024"
"1","vo_minigame_1004","1","しょうがないですね、食べ過ぎはダメですよ","vo_minigame_1004_top_3_066","1002402","10024"
"2","vo_minigame_1004","1","土産のチョコ、そうとう気に入ったみたいだな","vo_minigame_1004_top_3_067","1002403","10024"
"3","vo_minigame_1004","2","ぐも！（かやピィニハ マケナイ！）","vo_minigame_1004_top_3_068","1002501","10025"
"2","vo_minigame_1004","1","お？なんだ？腹でも減ってるのか？","vo_minigame_1004_top_3_069","1002502","10025"
"1","vo_minigame_1004","2","……全然話が通じてないです","vo_minigame_1004_top_3_070","1002503","10025"
