38c16ea57cfd1b81aed7a2a31d837342145464504b4e93f8a57627a6ca8950db,bfa384fb544b0335ca0ee4a6b6f9c42a17bd0b89c991b3ef7635b80891e9c586,5816a1564cb17ff23d71e2125a41f8d35b0bd3887948a0e6071248fa75a9a58b,fe2b9b5403c46bedf54693568d4fd6fa22d3af950d1b4560d969f205586910a0,e7ae47b76bd21df91fb34f7d386ffe6defd32e18ec2bc5364fe167d5c122241e
"-7","3","-10","30020116","2"
"3.9","2","-8","30020119","2"
"-4.9","2","-8.8","30020121","2"
"-4","2","-7.7","30020122","2"
"-3","2","-8.9","30020123","2"
"-14.2","3","-2.6","30020125","2"
"-14.2","1","-1","30020126","2"
"-13.1","3","0.2","30020127","2"
"-11.8","1","1.1","30020128","2"
"-7.4","1","1.2","30020131","2"
"-10.5","3","2.2","30020132","2"
"-8.5","3","2.2","30020133","2"
"-9.5","1","1.1","30020134","2"
"-6","3","0","30020135","2"
"-4.5","1","1.3","30020136","2"
"2.8","1","-1","30020141","2"
"0.4","2","-10.2","30020142","2"
"6.2","1","-2.8","30020143","2"
"8","1","-2.7","30020145","2"
"6.9","1","-4.3","30020146","2"
"3.8","3","0.9","30020147","2"
"6.2","3","0.9","30020148","2"
"8","3","0.5","30020149","2"
"10.4","3","0.5","30020150","2"
"8","3","-9.5","30020151","2"
"8.7","3","-8","30020152","2"
"3","1","-4.1","30020153","2"
"2.3","2","-12","30020154","2"
"3.8","2","-12.5","30020155","2"
"5.5","2","-12","30020156","2"
"11.9","1","-1.1","30020157","2"
"13","1","-2.5","30020158","2"
"13","1","-3.7","30020159","2"
"15","3","-3.5","30020160","2"
"15","3","-1.9","30020161","2"
"15","2","-9","30020162","2"
"16","2","-7.6","30020163","2"
"17","2","-9.1","30020164","2"
"18.1","2","-7.6","30020165","2"
"18.7","2","-9.1","30020166","2"
"16.5","1","-1.1","30020167","2"
"18.2","1","0","30020168","2"
"19.5","1","-0.8","30020169","2"
"21","3","1","30020170","2"
"23","3","1","30020171","2"
"10","3","-10","30020172","2"
"11.5","3","-10.8","30020173","2"
"13","3","-10","30020174","2"
"17.4","1","-11.3","30020176","2"
"16","3","-12","30020177","2"
"14.4","1","-11.3","30020178","2"
"10.1","2","-13.9","30020179","2"
"8.5","2","-13.2","30020180","2"
"-10.2","991003","-9.2","30020189","2"
"-10.2","991004","-8.7","30020190","2"
"2.8","991003","-9.4","30020193","2"
"2.8","991004","-8.3","30020194","2"
"9.9","991001","-5.7","30020197","2"
"10.3","991002","-5.7","30020198","2"
"16","990001","-6.5","30020199","2"
"11.8","991001","-16.6","30020204","2"
"12.2","991002","-16.6","30020205","2"
"-8.2","991003","-20.6","30020209","2"
"-11","990001","-4.5","30020213","2"
"-3.2","991003","-2.11","30020214","2"
"-3.2","991004","-1.7","30020215","2"
"-3","3","1.9","30020216","2"
"-1.2","1","1.2","30020217","2"
"1.3","3","0.9","30020218","2"
"-4.5","2","-6.1","30020219","2"
"-3.7","2","-4.7","30020220","2"
"-22.2","991001","-15.2","30020221","2"
"-21.8","991002","-15.2","30020222","2"
"-0.2","991001","-18.6","30020223","2"
"0.2","991002","-18.6","30020224","2"
"21.5","991001","-8.6","30020225","2"
"22.5","991002","-8.6","30020226","2"
"21.4","991003","-16.6","30020227","2"
"22.6","991002","-15.3","30020228","2"
"20.7","991003","-4.1","30020229","2"
"21","991002","-3.6","30020230","2"
"-15.7","991003","-8","30020231","2"
"-14.3","991002","-7.3","30020232","2"
"-22.7","991001","-10.6","30020233","2"
"-21.3","991002","-10.6","30020234","2"
"7","11","-23.6","30030001","3"
"16","12","-20.7","30030003","3"
"6.4","13","-21.8","30030005","3"
"8.4","13","-21.8","30030006","3"
"4","11","-21","30030007","3"
"1.6","11","-15.7","30030008","3"
"3.5","11","-16.7","30030009","3"
"1.5","13","-21.9","30030010","3"
"2.7","13","-23.7","30030011","3"
"-3","13","-23.7","30030012","3"
"-5.9","12","-22.8","30030018","3"
"-10.5","11","-21.6","30030019","3"
"-11.5","13","-19.7","30030020","3"
"-13.5","13","-19.7","30030021","3"
"-9.5","13","-19.7","30030022","3"
"-16.1","12","-23.8","30030023","3"
"-18.7","11","-23.8","30030024","3"
"-21","11","-21.8","30030025","3"
"-19.4","12","-16.1","30030027","3"
"-11.1","13","-3.8","30030036","3"
"-14.9","13","-3.7","30030037","3"
"-10.4","12","-11.7","30030043","3"
"-10.4","12","-13.6","30030044","3"
"-15.1","12","-4.8","30030045","3"
"-8.9","13","-8.4","30030046","3"
"-8.9","13","-4.7","30030048","3"
"-10.1","11","1.3","30030054","3"
"-5.1","13","-3.2","30030058","3"
"4.1","12","-6.3","30030062","3"
"13","11","-4","30030064","3"
"11.9","11","-2.6","30030065","3"
"15.3","13","-6.4","30030067","3"
"16.4","13","-9.7","30030068","3"
"18.8","13","-5.7","30030069","3"
"16","11","-23.8","30030073","3"
"17.9","13","-19.5","30030076","3"
"17.9","13","-17.8","30030077","3"
"21.4","990002","-10.8","30030079","3"
"5","990001","-23.7","30030080","3"
"-14.1","990001","-9.4","30030081","3"
"6.9","990001","-9.6","30030082","3"
"1.8","11","-13","30030083","3"
"8.5","13","-12.7","30030085","3"
"8.5","13","-16.7","30030086","3"
"11.5","12","-13.8","30030087","3"
"9.8","12","-13.7","30030088","3"
"-0.5","13","-3.7","30030089","3"
"0.6","13","-3.7","30030090","3"
"-6.5","12","-7.3","30030091","3"
"-5.4","12","-6.1","30030092","3"
"-6.5","13","-6.2","30030093","3"
"-5.5","13","-7.5","30030094","3"
"-11.1","13","-5.8","30030095","3"
"-11.1","11","-7.2","30030097","3"
"-20","12","-11.4","30030098","3"
"-20.1","12","-9.2","30030099","3"
"-17.5","13","-9.7","30030100","3"
"-15.5","13","-9.7","30030101","3"
"-17.5","13","-21.5","30030102","3"
"-16.1","13","-20.1","30030103","3"
"-17.5","12","-20.1","30030104","3"
"-2.1","13","-21.9","30030106","3"
"15.8","11","-18.6","30030107","3"
"18.8","11","-22.2","30030108","3"
"22.2","12","-15.8","30030109","3"
"20.1","12","-15.8","30030110","3"
"17.9","12","-15.8","30030111","3"
"16.8","12","-1.8","30030115","3"
"1","11","-10.6","30030116","3"
"2.5","11","-10.6","30030117","3"
"9","13","0.1","30030118","3"
"7.5","13","0.1","30030119","3"
"4.8","11","-0.6","30030120","3"
"19.4","12","-1.8","30030121","3"
"21.7","12","-1.8","30030122","3"
"20.5","13","-1.7","30030123","3"
"18.1","13","-1.7","30030124","3"
"15.7","11","1.2","30030125","3"
"18.5","13","0.3","30030126","3"
"20.1","13","0.3","30030127","3"
"21.5","13","0.3","30030128","3"
"20","13","-11.5","30030130","3"
"-4","11","-10.1","30030132","3"
"-8","12","-22.8","30030135","3"
"-13.2","11","-15.8","30030137","3"
"-11.2","11","-15.7","30030138","3"
"-4","12","-12","30030139","3"
"10.4","13","-16.7","30030140","3"
"-12.6","11","-21.6","30030141","3"
"-22","11","-16.4","30030144","3"
"-22","11","-18.7","30030145","3"
"-5.1","13","-1.9","30030146","3"
"-5.1","13","-0.4","30030147","3"
"-7","11","-0.8","30030148","3"
"-7","11","-2.4","30030149","3"
"13.6","11","1.3","30030150","3"
"8.5","11","-1.7","30030151","3"
"10","11","-2.6","30030152","3"
"13","12","-6.2","30030153","3"
"13.1","13","-9","30030154","3"
"13.1","13","-7.6","30030155","3"
"17.5","12","-5.8","30030156","3"
"20.1","12","-5.8","30030157","3"
"21.5","11","-5.6","30030158","3"
"23","11","-5.6","30030159","3"
"20","12","-12.8","30030160","3"
"5.5","12","-18.8","30030161","3"
"7.5","11","-18.7","30030162","3"
"9.5","12","-18.8","30030163","3"
"11.5","11","-18.6","30030164","3"
"12.5","13","-18.7","30030165","3"
"14.1","13","-18.7","30030166","3"
"-16.1","12","-21.3","30030167","3"
"-6","13","-14.8","30030168","3"
"-4.5","12","-14.8","30030169","3"
"-3","13","-14.8","30030170","3"
"-1.5","12","-14.8","30030171","3"
"-17.5","11","-16.6","30030172","3"
"-14.9","11","-16.6","30030174","3"
"-18.5","11","-6.9","30030175","3"
"-16.5","11","-6.9","30030176","3"
"-9.1","12","-6.6","30030177","3"
"-14.9","13","-6.1","30030178","3"
"-21.8","13","-20.6","30030179","3"
"-21.9","13","-14.9","30030180","3"
"10","11","-23.6","30030181","3"
"19","13","-15.7","30030182","3"
"21.1","13","-15.7","30030183","3"
"23.8","11","-11.8","30030184","3"
"23.8","11","-13.7","30030185","3"
"-8","990001","-4.6","30040001","4"
"-6.6","990002","2.9","30040002","4"
"11","990001","-21.6","30040003","4"
"-4","990001","-21.6","30040004","4"
"-9.8","991001","-21.7","30040005","4"
"-12.2","991001","-16","30040006","4"
"-11.8","991002","-16","30040007","4"
"-15.2","991003","-12.6","30040008","4"
"-15.2","991004","-11.1","30040009","4"
"-14.8","991003","-8.7","30040010","4"
"-14.8","991004","-7.1","30040011","4"
"-17.2","991001","-1","30040012","4"
"-16.8","991002","-1","30040013","4"
"-17.8","991004","6","30040015","4"
"-16.2","991002","5.3","30040016","4"
"-0.8","991003","3.4","30040019","4"
"0.8","991002","3.9","30040020","4"
"10.8","991001","-2.7","30040021","4"
"11.2","991002","-2.7","30040022","4"
"10.3","991001","-6.1","30040023","4"
"11.8","991002","-6.1","30040024","4"
"10.2","991001","-13.1","30040025","4"
"11.8","991003","-13.7","30040026","4"
"5.1","991001","-21.7","30040027","4"
"6.9","991004","-20","30040028","4"
"4.8","991001","-11","30040029","4"
"5.2","991002","-11","30040030","4"
"-3.2","991001","-11.7","30040031","4"
"-2.8","991002","-11.7","30040032","4"
"-3.8","991001","-15.1","30040033","4"
"-2.1","991002","-15.1","30040034","4"
"-11.2","11","-22","30040035","4"
"-10.1","11","-17.9","30040037","4"
"-7.4","11","-19","30040038","4"
"-15.6","12","-15.4","30040040","4"
"-8.4","12","-15.4","30040041","4"
"-10","11","-11.9","30040042","4"
"-13.6","13","-10.8","30040043","4"
"-16.9","11","-13.8","30040044","4"
"-19.2","11","-13.6","30040045","4"
"-19.7","11","-12.9","30040046","4"
"-21.3","11","-11","30040047","4"
"-21.3","12","-9.1","30040048","4"
"-18","11","-9","30040049","4"
"-18.7","13","-6.5","30040050","4"
"-16.4","11","-8.8","30040051","4"
"-12.4","13","-7.9","30040052","4"
"-11.5","11","-9.8","30040053","4"
"-9.5","11","-9.3","30040054","4"
"-6.2","11","-9.1","30040055","4"
"-7.4","12","-9","30040056","4"
"-4.6","11","-7.7","30040057","4"
"-7.3","13","-6.5","30040058","4"
"-9.1","11","-4.9","30040061","4"
"-16.5","11","-5.3","30040062","4"
"-10.5","12","-5","30040063","4"
"-12.5","12","-5","30040064","4"
"-14.5","12","-5","30040065","4"
"-18.3","11","-3.9","30040066","4"
"-19.4","11","-3","30040067","4"
"-18.2","13","-2.9","30040068","4"
"-18.4","11","0.4","30040069","4"
"-15.3","11","1.9","30040070","4"
"-17","12","1.9","30040071","4"
"-21.4","11","-0.5","30040072","4"
"-21.2","11","1.2","30040073","4"
"-21.5","11","2.9","30040074","4"
"-19.6","11","4.8","30040075","4"
"-15.6","13","4.4","30040076","4"
"-13","13","-2.7","30040077","4"
"-18.3","11","7.2","30040078","4"
"-16.9","11","8.9","30040079","4"
"-12.1","12","8.1","30040080","4"
"-14.7","11","9","30040081","4"
"-8.1","11","6.6","30040082","4"
"-8.3","11","4.2","30040083","4"
"-7.6","11","1.7","30040084","4"
"-7.6","13","-0.6","30040085","4"
"-3.9","12","2.1","30040088","4"
"-4","11","5","30040089","4"
"-6.8","11","8","30040090","4"
"-4.5","11","8.6","30040091","4"
"-3.6","11","8.1","30040092","4"
"-0.7","11","8","30040093","4"
"-1.3","12","4.9","30040094","4"
"-1.6","11","1.9","30040095","4"
"-0.3","13","0.1","30040096","4"
"0.8","11","0.1","30040097","4"
"7.1","11","1","30040099","4"
"4.4","13","0.9","30040100","4"
"5.8","11","0.9","30040101","4"
"2.2","11","5.1","30040102","4"
"8.7","11","0.8","30040106","4"
"12.8","11","5.4","30040108","4"
"10.5","12","6","30040109","4"
"13.4","11","2.9","30040110","4"
"13","11","0.8","30040111","4"
"11.1","13","-3.8","30040112","4"
"7.6","11","-2.4","30040113","4"
"8.1","11","-5.8","30040114","4"
"7.5","12","-4.5","30040115","4"
"14.2","12","-5.8","30040116","4"
"14.5","13","-2.9","30040117","4"
"8.8","11","-8.6","30040118","4"
"9.5","13","-10.6","30040119","4"
"13.7","13","-9.4","30040120","4"
"15","11","-10","30040121","4"
"15.5","11","-12.1","30040122","4"
"13.1","11","-14.7","30040123","4"
"12.8","13","-16.5","30040124","4"
"13.4","13","-17.8","30040125","4"
"8.5","11","-14.3","30040126","4"
"8.1","11","-16.4","30040127","4"
"9","11","-19","30040128","4"
"9","11","-12.1","30040129","4"
"9.7","11","-22.1","30040130","4"
"13","11","-22","30040131","4"
"12.7","13","-19.9","30040132","4"
"7.3","12","-22.1","30040133","4"
"3.7","11","-22.3","30040134","4"
"2.4","11","-22","30040135","4"
"0.5","11","-19.9","30040136","4"
"3.4","13","-19.4","30040137","4"
"4.7","13","-18.4","30040138","4"
"3.8","13","-17.5","30040139","4"
"0","11","-18","30040140","4"
"1","11","-15","30040141","4"
"2.3","11","-13.8","30040142","4"
"3.4","12","-13.1","30040143","4"
"1","13","-13","30040144","4"
"0.4","13","-10.9","30040145","4"
"5","12","-9.7","30040146","4"
"3.3","13","-9.3","30040147","4"
"0.4","11","-9.3","30040148","4"
"2","11","-6","30040149","4"
"3.4","11","-5.2","30040150","4"
"1.3","13","-4.5","30040151","4"
"-1","11","-3","30040154","4"
"-6.5","11","-11.3","30040155","4"
"-6.5","12","-13.8","30040156","4"
"-5.6","12","-17.1","30040157","4"
"-5.5","11","-18.6","30040158","4"
"-2.3","11","-22.4","30040159","4"
"-6.8","12","-22.2","30040160","4"
"-5","11","-22.5","30040161","4"
"-1.5","13","-20.2","30040162","4"
"-15.5","11","-18.8","30040163","4"
"-15","11","-21","30040164","4"
"-16","13","-20","30040165","4"
"4","11","5.8","30040166","4"
"9","11","6","30040167","4"
"7","13","6.4","30040168","4"
"5.2","13","6.2","30040169","4"
"1.5","11","-1","30040170","4"
"4.4","13","-2.3","30040171","4"
"2.8","11","-3.9","30040172","4"
"17.1","990001","-22.5","30050013","5"
"-8.2","991004","-19","30050074","5"
"-16","990001","-22.5","30050076","5"
"2.8","991003","-9.4","30050193","5"
"2.8","991004","-8.3","30050194","5"
"11.8","991001","-16.6","30050204","5"
"12.2","991002","-16.6","30050205","5"
"-8.2","991003","-20.6","30050209","5"
"-11","990001","-4.5","30050213","5"
"-6.4","991003","1.7","30050214","5"
"-6.4","991004","2.2","30050215","5"
"-22.2","991001","-15.2","30050221","5"
"-21.8","991002","-15.2","30050222","5"
"-0.2","991001","-18.6","30050223","5"
"0.2","991002","-18.6","30050224","5"
"-22.7","991001","-10.6","30050233","5"
"-21.3","991002","-10.6","30050234","5"
"12","990001","-2.7","30050235","5"
"-4.2","991006","-16.7","30050236","5"
"-5.7","991006","-16.7","30050237","5"
"-25.5","13","24.3","30050238","5"
"-25.2","11","24.5","30050239","5"
"8.2","13","-22.8","30050240","5"
"7.1","11","-22.7","30050241","5"
"5","11","-22.7","30050242","5"
"4.8","13","-21.5","30050243","5"
"6","13","-22.8","30050244","5"
"-25.4","12","24.4","30050245","5"
"4.5","12","-19.2","30050246","5"
"9","13","-17","30050247","5"
"9","13","-16","30050248","5"
"9","13","-18","30050249","5"
"2.9","11","-15.6","30050250","5"
"3","11","-17.8","30050251","5"
"7.5","12","-14.1","30050252","5"
"7.5","12","-11.9","30050253","5"
"5.4","13","-11.7","30050254","5"
"3.5","13","-11.7","30050255","5"
"1.5","11","-10.9","30050256","5"
"-0.5","11","-10.9","30050257","5"
"3.5","12","-14.4","30050258","5"
"1.5","12","-14.3","30050259","5"
"1.6","12","-21.3","30050260","5"
"1.6","11","-22.8","30050261","5"
"-0.5","12","-24","30050262","5"
"-2.7","12","-24","30050263","5"
"-4","13","-16","30050264","5"
"-5","13","-16","30050265","5"
"-6","13","-16","30050266","5"
"-4","13","-18","30050267","5"
"-5","13","-18","30050268","5"
"-6","13","-18","30050269","5"
"-7","11","-21","30050270","5"
"-5.5","12","-19.8","30050271","5"
"-9.3","12","-17.1","30050272","5"
"-10.6","12","-16.3","30050273","5"
"-12.2","12","-17.2","30050274","5"
"-10","11","-22","30050275","5"
"-12","11","-22","30050276","5"
"-14.4","12","-16.8","30050277","5"
"-16.6","11","-15.9","30050278","5"
"-19.5","11","-16","30050279","5"
"-18.1","12","-16","30050280","5"
"-19","12","-14","30050281","5"
"-17","12","-13","30050282","5"
"-16.6","12","-14.7","30050283","5"
"-24.1","11","-13.5","30050284","5"
"-24","11","-15.7","30050285","5"
"-23.5","11","-20.4","30050286","5"
"-23.5","11","-17.8","30050287","5"
"-20","12","-22","30050288","5"
"-22","12","-22","30050289","5"
"-23.2","13","-19.3","30050290","5"
"-23","13","-13","30050291","5"
"-23","12","-11.8","30050292","5"
"-23","13","-11","30050293","5"
"-20.1","11","-12.4","30050294","5"
"-20","11","-11","30050295","5"
"-19.3","11","-9.5","30050296","5"
"-19.3","12","-8.4","30050297","5"
"-19.1","11","-6.8","30050299","5"
"-20.4","13","-6.5","30050300","5"
"-19.2","12","-4.2","30050301","5"
"-20.6","12","-4.1","30050302","5"
"-23.4","12","-5.9","30050303","5"
"-23.4","11","-4.1","30050304","5"
